dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,1996-12-31,1997-03-31,1996-12-31,1996-Q4,68023175.000000,151616979.000000,2025-05-05,41870.000000,77956582.000000,,72090689.000000,5865893.000000,,4.386000,,11325361.000000,11325361.000000,,,17.724000,0.071000,1630462.000000,783718.000000,846744.000000,1630462.000000,918750.000000,,0.000000,0.000000,0.000000,,,,,,,,,,72766968.000000,,72766968.000000,141922080.000000,22.000000,19.244000,,,1.000000,,,1443403.000000,,62750766.000000,,0.000000,58594853.000000,58594853.000000,0.000000,5189614.000000,4067514.000000,1122100.000000,,,,,,,,,,,,,,,,,,,800157.000000,,2.084000,25.812000,25.714000,3546420.000000,,9.000000,7.890000,7.770000,1329513.000000,-10021545.000000,,,,,,,,,,1.000000,16846331.000000,16589415.000000,,,76513179.000000,0.000000,,0.000000,4.612000
ARQ,1997-03-31,1997-05-14,1997-03-31,1997-Q1,71746960.000000,162409950.000000,2025-05-05,0.000000,82891112.000000,,76253774.000000,6637338.000000,,4.253000,-413527.000000,7218310.000000,7218310.000000,0.000000,4141382.000000,16.920000,0.074000,3610704.000000,3610704.000000,0.000000,3610704.000000,0.000000,222031.000000,0.000000,0.000000,0.000000,4243008.000000,4465039.000000,0.504000,4465039.000000,4243008.000000,4195382.000000,0.230000,,0.230000,77169870.000000,,77169870.000000,158802344.000000,,,1912459.000000,0.105000,1.000000,8853891.000000,1.000000,1397785.000000,47626.000000,73378907.000000,,0.000000,64611999.000000,64611999.000000,0.000000,5721242.000000,4506814.000000,1214428.000000,-4107051.000000,0.000000,303021.000000,-224842.000000,0.000000,80796.000000,-6513833.000000,-6100306.000000,2325986.000000,0.000000,4141382.000000,4141382.000000,4141382.000000,0.000000,0.000000,0.468000,5733627.000000,3120264.000000,896110.000000,0.000000,2.105000,,,3783534.000000,0.000000,9.625000,,,3121885.000000,-5880163.000000,8853891.000000,8853891.000000,4589078.000000,,,,,0.000000,1144549.000000,1.000000,16873761.000000,18145102.000000,,0.488000,81493327.000000,0.000000,54000.000000,0.000000,4.491000
ARQ,1997-06-30,1997-08-14,1997-06-30,1997-Q2,67062085.000000,147259619.000000,2025-05-05,0.000000,84020525.000000,,72558104.000000,11462421.000000,,4.252000,-2024154.000000,22945469.000000,22945469.000000,0.000000,103413.000000,13.202000,0.086000,4969128.000000,4969128.000000,0.000000,4969128.000000,0.000000,337154.000000,0.000000,0.000000,0.000000,166591.000000,503745.000000,0.105000,503745.000000,166591.000000,125806.000000,0.010000,,0.010000,77374319.000000,,77374319.000000,129283278.000000,,,-8136375.000000,-0.447000,1.000000,4801194.000000,1.000000,1352265.000000,40785.000000,59195900.000000,,0.000000,40631271.000000,40631271.000000,0.000000,6646206.000000,5496019.000000,1150187.000000,15727159.000000,0.000000,62760.000000,-186056.000000,0.000000,-120676.000000,21960056.000000,23984210.000000,-6112221.000000,0.000000,103413.000000,103413.000000,103413.000000,0.000000,0.000000,0.022000,5784152.000000,-982958.000000,526891.000000,0.000000,1.903000,,,5516054.000000,0.000000,8.688000,,,7653719.000000,-5776750.000000,4801194.000000,4801194.000000,4440251.000000,,,,,0.000000,1343901.000000,1.000000,16949772.000000,18197434.000000,,0.264000,82668260.000000,0.000000,22393.000000,0.000000,4.543000
ARQ,1997-09-30,1997-11-14,1997-09-30,1997-Q3,68241308.000000,151240961.000000,2025-05-05,0.000000,84905832.000000,,73512990.000000,11392842.000000,,4.272000,-110481.000000,15094554.000000,15094554.000000,0.000000,812511.000000,13.945000,0.078000,3579421.000000,3579421.000000,0.000000,3579421.000000,0.000000,331203.000000,0.000000,0.000000,0.000000,992760.000000,1323963.000000,0.212000,1323963.000000,992760.000000,957672.000000,0.040000,,0.040000,78782468.000000,,78782468.000000,139725828.000000,,,5214416.000000,0.283000,1.000000,6240779.000000,1.000000,1306705.000000,35088.000000,66812312.000000,,0.000000,53832352.000000,53832352.000000,0.000000,6123364.000000,5271682.000000,851682.000000,-7850915.000000,0.000000,86094.000000,-183048.000000,0.000000,-94335.000000,-13081477.000000,-12970996.000000,5324897.000000,0.000000,812511.000000,812511.000000,812511.000000,0.000000,0.000000,0.130000,6564414.000000,-323635.000000,1692261.000000,0.000000,1.920000,,,5340892.000000,0.000000,8.875000,,,2631488.000000,-4964238.000000,6240779.000000,6240779.000000,4997731.000000,,,,,0.000000,1566683.000000,1.000000,17041235.000000,18439495.000000,,0.338000,83599127.000000,0.000000,145161.000000,0.000000,4.534000
ARQ,1997-12-31,1998-04-10,1997-12-31,1997-Q4,69007761.000000,144991589.000000,2025-05-05,2500.000000,91903385.000000,,76377631.000000,15525754.000000,,4.912000,-3891571.000000,15771099.000000,15771099.000000,0.000000,69537.000000,10.363000,0.105000,1594489.000000,872595.000000,721894.000000,1594489.000000,1918750.000000,431843.000000,0.000000,0.000000,0.000000,91389.000000,523232.000000,0.084000,523232.000000,91389.000000,62071.000000,0.020000,,0.020000,83152475.000000,,83152475.000000,130814979.000000,24.000000,19.192000,5562005.000000,0.329000,1.000000,6247753.000000,1.000000,1185384.000000,29318.000000,69171521.000000,,0.000000,62664835.000000,59321095.000000,3343740.000000,8750910.000000,7369870.000000,1381040.000000,676545.000000,0.000000,235087.000000,557973.000000,0.000000,793060.000000,-9570091.000000,-5678520.000000,9453576.000000,0.000000,69537.000000,69537.000000,69537.000000,0.000000,0.000000,0.011000,7469306.000000,-1221553.000000,1822173.000000,0.000000,1.744000,28.281000,27.293000,8846179.000000,0.000000,8.188000,5.546000,5.302000,193784.000000,-4894701.000000,6247753.000000,6247753.000000,5860859.000000,,,,,0.000000,1608447.000000,1.000000,17707815.000000,16929925.000000,,0.369000,90718001.000000,0.000000,-7466.000000,0.000000,5.358000
ARQ,1998-03-31,1998-05-15,1998-03-31,1998-Q1,68328553.000000,157281019.000000,2025-05-05,0.000000,88261899.000000,,73149513.000000,15112386.000000,,4.642000,-424235.000000,14136961.000000,14136961.000000,0.000000,-1185166.000000,15.173000,0.074000,0.000000,0.000000,0.000000,0.000000,0.000000,377260.000000,0.000000,0.000000,0.000000,-1151033.000000,-773773.000000,-0.187000,-773773.000000,-1151033.000000,-1185166.000000,-0.070000,-0.070000,-0.070000,82198931.000000,,82198931.000000,143144058.000000,1436.000000,90.760000,-6095970.000000,-0.344000,1.000000,4136471.000000,1.000000,1130733.000000,34133.000000,68173245.000000,,0.000000,57705404.000000,54761587.000000,2943817.000000,6062968.000000,4820960.000000,1242008.000000,-1634138.000000,0.000000,134550.000000,-249298.000000,0.000000,-114748.000000,4152345.000000,4576580.000000,-5671735.000000,0.000000,-1185166.000000,-1185166.000000,-1185166.000000,0.000000,0.000000,-0.287000,6569516.000000,-2433045.000000,488101.000000,0.000000,1.913000,-787.567000,,8947805.000000,0.000000,8.875000,7.341000,7.334000,1967755.000000,-6079867.000000,4136471.000000,4136471.000000,5041036.000000,,,,,0.000000,1528480.000000,1.000000,17721805.000000,17706576.000000,17706576.000000,0.234000,87131166.000000,0.000000,0.000000,0.000000,4.921000
ARQ,1998-06-30,1998-08-14,1998-06-30,1998-Q2,63139146.000000,106699553.000000,2025-05-05,0.000000,83535941.000000,,66545355.000000,16990586.000000,,4.388000,-1254460.000000,10643020.000000,10643020.000000,0.000000,-7975852.000000,19.536000,0.065000,0.000000,0.000000,0.000000,0.000000,0.000000,403577.000000,0.000000,0.000000,0.000000,-7945780.000000,-7542203.000000,-3.292000,-7542203.000000,-7945780.000000,-7975852.000000,-0.450000,-0.450000,-0.450000,78423861.000000,,78423861.000000,96056533.000000,-12.000000,-14.849000,-3365924.000000,-0.188000,1.000000,2290765.000000,1.000000,1076079.000000,30072.000000,68410633.000000,,0.000000,58457258.000000,54555970.000000,3901288.000000,5112080.000000,3406209.000000,1705871.000000,-3493941.000000,0.000000,-25230.000000,-297474.000000,0.000000,-321656.000000,-1060821.000000,193639.000000,-2111464.000000,0.000000,-7975852.000000,-7975852.000000,-7975852.000000,0.000000,0.000000,-3.482000,11714987.000000,-9424222.000000,614357.000000,0.000000,1.361000,-12.888000,-12.772000,9853342.000000,0.000000,5.875000,5.641000,5.551000,921097.000000,-14055719.000000,2290765.000000,2290765.000000,4866448.000000,,,,,0.000000,1338838.000000,1.000000,18161626.000000,17874018.000000,17874018.000000,0.128000,82459862.000000,0.000000,0.000000,0.000000,4.613000
ARQ,1998-09-30,1998-11-16,1998-09-30,1998-Q3,62835000.000000,129737600.000000,2025-05-05,23000.000000,86878000.000000,,67896000.000000,18982000.000000,,4.325000,-1390305.000000,18562000.000000,18562000.000000,0.000000,-4037000.000000,13.416000,0.104000,0.000000,0.000000,0.000000,0.000000,0.000000,480163.000000,0.000000,0.000000,0.000000,-4014000.000000,-3533837.000000,-0.699000,-3533837.000000,-4014000.000000,-4037000.000000,-0.220000,-0.220000,-0.220000,78664000.000000,,78664000.000000,111175600.000000,-9.000000,-9.815000,-1600106.000000,-0.088000,1.000000,5054000.000000,1.000000,0.000000,23000.000000,63255000.000000,,0.000000,56856000.000000,47526000.000000,9330000.000000,8214000.000000,5061000.000000,3153000.000000,7919079.000000,0.000000,367680.000000,2104772.000000,0.000000,2472404.000000,5656476.000000,7046781.000000,-209801.000000,0.000000,-4037000.000000,-4037000.000000,-4037000.000000,0.000000,0.000000,-0.799000,10506000.000000,-5452000.000000,1145000.000000,0.000000,1.649000,-9.882000,-9.896000,7333000.000000,0.000000,7.125000,7.318000,7.310000,1400000.000000,-18092000.000000,5054000.000000,5054000.000000,8692000.000000,,,,,0.000000,1814000.000000,1.000000,18208786.000000,18189000.000000,18189000.000000,0.278000,86878000.000000,0.000000,0.000000,0.000000,4.776000
ARQ,1998-12-31,1999-03-31,1998-12-31,1998-Q4,60064000.000000,98367494.000000,2025-05-05,31000.000000,80529000.000000,,65633000.000000,14896000.000000,,3.830000,-614000.000000,11708000.000000,11708000.000000,0.000000,-6757000.000000,11.785000,0.119000,3089000.000000,842000.000000,2247000.000000,3089000.000000,169000.000000,459000.000000,0.000000,0.000000,0.000000,-6692000.000000,-6233000.000000,-1.368000,-6233000.000000,-6692000.000000,-6756000.000000,-0.360000,-0.360000,-0.360000,71958000.000000,,71958000.000000,89748494.000000,-5.000000,-4.963000,-3317000.000000,-0.177000,1.000000,4556000.000000,1.000000,967000.000000,64000.000000,65374000.000000,,0.000000,52373000.000000,50962000.000000,1411000.000000,8571000.000000,5569000.000000,3002000.000000,-6854000.000000,0.000000,-44000.000000,-2564000.000000,0.000000,-108000.000000,-4043000.000000,-3429000.000000,-2703000.000000,0.000000,-6757000.000000,-6757000.000000,-6757000.000000,0.000000,0.000000,-1.483000,4516000.000000,40000.000000,2481000.000000,0.000000,1.367000,-4.929000,-4.716000,10899000.000000,0.000000,5.188000,6.134000,5.869000,1407000.000000,-24850000.000000,4556000.000000,4556000.000000,3204000.000000,,,,,194000.000000,1912000.000000,1.000000,18960581.000000,18789000.000000,18789000.000000,0.242000,79562000.000000,0.000000,1000.000000,0.000000,4.234000
ARQ,1999-03-31,1999-05-11,1999-03-31,1999-Q1,56750000.000000,94802905.000000,2025-05-05,-4000.000000,74643000.000000,,60421000.000000,14222000.000000,,3.587000,-560000.000000,6160000.000000,6160000.000000,0.000000,-4089000.000000,16.459000,0.098000,2058000.000000,0.000000,2058000.000000,2058000.000000,1497000.000000,632000.000000,0.000000,0.000000,0.000000,-4043000.000000,-3411000.000000,-0.961000,-3411000.000000,-4043000.000000,-4089000.000000,-0.220000,-0.220000,-0.220000,67990000.000000,,67990000.000000,90700905.000000,-4.000000,-4.377000,-4594000.000000,-0.242000,1.000000,3551000.000000,1.000000,0.000000,46000.000000,66870000.000000,,0.000000,51778000.000000,51778000.000000,0.000000,6653000.000000,3671000.000000,2982000.000000,-5548000.000000,0.000000,125000.000000,-228000.000000,0.000000,-103000.000000,-1411000.000000,-851000.000000,-4034000.000000,0.000000,-4089000.000000,-4089000.000000,-4089000.000000,0.000000,0.000000,-1.152000,8077000.000000,-4526000.000000,688000.000000,0.000000,1.394000,-4.147000,-4.000000,10900000.000000,0.000000,5.000000,6.135000,6.134000,1682000.000000,-28939000.000000,3551000.000000,3551000.000000,6371000.000000,,,,,31000.000000,1706000.000000,1.000000,18960581.000000,18955000.000000,18955000.000000,0.187000,74643000.000000,0.000000,0.000000,0.000000,3.938000
