dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2019-06-30,2019-08-15,2019-06-30,2019-Q2,88518000.000000,,2025-05-08,66000.000000,286859000.000000,,166006000.000000,120853000.000000,,-1.703000,,48765000.000000,48765000.000000,,,2.142000,-0.693000,10564000.000000,74000.000000,10490000.000000,10564000.000000,27764000.000000,,0.000000,,0.000000,,,,,,,,,,-145435000.000000,,-145435000.000000,,,,,,1.000000,,,4177000.000000,,166993000.000000,,0.000000,82294000.000000,82294000.000000,0.000000,100773000.000000,77488000.000000,23285000.000000,,,,,,,,,,,,,,,,,,,17128000.000000,,,,,84640000.000000,,,,,29926000.000000,-232698000.000000,,,,,,,,,,1.000000,293343687.000000,85382000.000000,,,282682000.000000,0.000000,,0.000000,3.311000
ARQ,2019-06-30,2019-09-11,2019-06-30,2019-Q2,88518000.000000,,2025-05-08,66000.000000,286859000.000000,,166006000.000000,120853000.000000,,-1.703000,,48765000.000000,48765000.000000,,,2.142000,-0.693000,10564000.000000,74000.000000,10490000.000000,10564000.000000,27764000.000000,,0.000000,,0.000000,,,,,,,,,,-145435000.000000,,-145435000.000000,,,,,,1.000000,,,4177000.000000,,166993000.000000,,0.000000,82294000.000000,82294000.000000,0.000000,100773000.000000,77488000.000000,23285000.000000,,,,,,,,,,,,,,,,,,,17128000.000000,,,,,84640000.000000,,,,,29926000.000000,-232698000.000000,,,,,,,,,,1.000000,293343687.000000,85382000.000000,,,282682000.000000,0.000000,,0.000000,3.311000
ARQ,2019-09-30,2019-11-12,2019-09-30,2019-Q3,618539000.000000,4851075022.000000,2025-05-08,73000.000000,839847000.000000,,695678000.000000,144169000.000000,,6.272000,-15852000.000000,508366000.000000,508366000.000000,16033000.000000,-40853000.000000,9.018000,0.134000,10538000.000000,37000.000000,10501000.000000,10538000.000000,30651000.000000,7763000.000000,0.000000,0.000000,0.000000,-40658000.000000,-32895000.000000,-0.445000,-32895000.000000,-40658000.000000,-41065000.000000,-0.350000,-0.350000,-0.350000,740398000.000000,,740398000.000000,4353247022.000000,,,-33638000.000000,-0.285000,1.000000,57908000.000000,0.783000,4145000.000000,407000.000000,260735000.000000,,0.000000,159568000.000000,143399000.000000,16169000.000000,99449000.000000,77139000.000000,22310000.000000,459601000.000000,0.000000,573006000.000000,-25000.000000,0.000000,570216000.000000,-92829000.000000,-76982000.000000,-17786000.000000,0.000000,-40853000.000000,-40853000.000000,-40853000.000000,0.000000,0.000000,-0.553000,98994000.000000,-41086000.000000,9517000.000000,0.000000,6.552000,,,92485000.000000,0.000000,16.160000,,,32205000.000000,-273551000.000000,73941000.000000,73941000.000000,27863000.000000,,,,,22911000.000000,71131000.000000,1.000000,300190286.000000,118056000.000000,118056000.000000,0.626000,835702000.000000,0.000000,-212000.000000,0.000000,7.079000
ARQ,2019-12-31,2020-03-04,2019-12-31,2019-Q4,605989000.000000,6869833977.000000,2025-05-08,61000.000000,830824000.000000,,689872000.000000,140952000.000000,,4.961000,-14966000.000000,145636000.000000,145636000.000000,18198000.000000,-28155000.000000,8.224000,0.145000,10506000.000000,0.000000,10506000.000000,10506000.000000,31647000.000000,8556000.000000,0.000000,0.000000,0.000000,-27389000.000000,-18833000.000000,-0.224000,-18833000.000000,-27389000.000000,-27531000.000000,0.090000,0.090000,0.090000,725828000.000000,,725828000.000000,6734703977.000000,-65.000000,-90.860000,-23540000.000000,-0.161000,1.000000,65732000.000000,0.783000,4114000.000000,142000.000000,607697000.000000,,0.000000,497972000.000000,497972000.000000,0.000000,104996000.000000,83883000.000000,21113000.000000,-362730000.000000,0.000000,69000.000000,-32000.000000,0.000000,-1497000.000000,-352659000.000000,-337707000.000000,-8574000.000000,0.000000,-28155000.000000,-28155000.000000,-28155000.000000,0.000000,0.000000,-0.335000,95674000.000000,-29942000.000000,11463000.000000,0.000000,9.465000,-64.915000,-31.528000,101466000.000000,0.000000,22.700000,23.935000,11.571000,33867000.000000,-301706000.000000,83930000.000000,83930000.000000,26289000.000000,,,,,11615000.000000,69385000.000000,1.000000,302635858.000000,146306000.000000,146306000.000000,0.574000,826710000.000000,0.000000,624000.000000,0.000000,5.651000
ARQ,2020-03-31,2020-05-11,2020-03-31,2020-Q1,539320000.000000,8538858405.000000,2025-05-08,1407000.000000,858531000.000000,,647604000.000000,210927000.000000,,2.386000,-16327000.000000,117910000.000000,117910000.000000,20821000.000000,-32746000.000000,5.981000,0.215000,50804000.000000,17009000.000000,33795000.000000,50804000.000000,38092000.000000,15106000.000000,0.000000,0.000000,0.000000,-33017000.000000,-17911000.000000,-0.196000,-17911000.000000,-33017000.000000,-33084000.000000,-0.110000,-0.110000,-0.110000,706352000.000000,,706352000.000000,8471752405.000000,,,-30603000.000000,-0.103000,1.000000,70429000.000000,0.772000,21299000.000000,67000.000000,661842000.000000,,0.000000,478791000.000000,478791000.000000,0.000000,152179000.000000,108284000.000000,43895000.000000,-27726000.000000,-13639000.000000,2637000.000000,-200000.000000,0.000000,-4678000.000000,-8772000.000000,20971000.000000,-14276000.000000,0.000000,-32746000.000000,-32746000.000000,-32746000.000000,0.000000,0.000000,-0.359000,106500000.000000,-36071000.000000,14301000.000000,0.000000,12.089000,,,148408000.000000,0.000000,28.120000,,,39778000.000000,-333896000.000000,91250000.000000,91250000.000000,33354000.000000,,,,,12897000.000000,73146000.000000,1.000000,303657838.000000,296077000.000000,296077000.000000,0.308000,837232000.000000,0.000000,-338000.000000,0.000000,2.828000
ARQ,2020-06-30,2020-08-10,2020-06-30,2020-Q2,1011377000.000000,11308808735.000000,2025-05-08,1224000.000000,1364055000.000000,,1132124000.000000,231931000.000000,,2.792000,-24141000.000000,322830000.000000,322830000.000000,24164000.000000,-26135000.000000,9.376000,0.632000,414057000.000000,17239000.000000,396818000.000000,414057000.000000,45018000.000000,16339000.000000,0.000000,0.000000,0.000000,-23066000.000000,-6727000.000000,-0.067000,-6727000.000000,-23066000.000000,-28073000.000000,-0.090000,-0.090000,-0.090000,835618000.000000,,835618000.000000,11400035735.000000,-92.000000,-149.282000,-20154000.000000,-0.067000,1.000000,75557000.000000,0.758000,21367000.000000,5007000.000000,1313168000.000000,,0.000000,755108000.000000,755108000.000000,0.000000,528437000.000000,120747000.000000,407690000.000000,204920000.000000,-52000.000000,7124000.000000,495147000.000000,0.000000,501702000.000000,-300769000.000000,-276576000.000000,3987000.000000,0.000000,-26135000.000000,-26135000.000000,-26135000.000000,0.000000,0.000000,-0.262000,100261000.000000,-24704000.000000,17278000.000000,0.000000,13.533000,-88.427000,-80.413000,160699000.000000,0.000000,36.990000,32.418000,31.739000,43646000.000000,-360031000.000000,99721000.000000,99721000.000000,28131000.000000,,,,,12449000.000000,72130000.000000,1.000000,305726108.000000,299321000.000000,299321000.000000,0.333000,1342688000.000000,0.000000,-1938000.000000,0.000000,4.486000
ARQ,2020-09-30,2020-11-10,2020-09-30,2020-Q3,996375000.000000,18819112383.000000,2025-05-08,570000.000000,1371225000.000000,,1127379000.000000,243846000.000000,,2.739000,-19827000.000000,120806000.000000,120806000.000000,27005000.000000,-26468000.000000,8.606000,0.659000,421451000.000000,17265000.000000,404186000.000000,421451000.000000,50072000.000000,17718000.000000,0.000000,0.000000,0.000000,-20144000.000000,-2426000.000000,-0.021000,-2426000.000000,-20144000.000000,-29972000.000000,-0.090000,-0.090000,-0.090000,826447000.000000,,826447000.000000,19119757383.000000,-185.000000,-416.580000,-17854000.000000,-0.059000,1.000000,87157000.000000,0.763000,20667000.000000,9828000.000000,1520199000.000000,,0.000000,939338000.000000,939338000.000000,0.000000,544778000.000000,131004000.000000,413774000.000000,-202024000.000000,0.000000,1477000.000000,-22000.000000,0.000000,1156000.000000,-205153000.000000,-185498000.000000,1973000.000000,0.000000,-26468000.000000,-26468000.000000,-26468000.000000,0.000000,0.000000,-0.232000,108409000.000000,-21252000.000000,16995000.000000,0.000000,22.771000,-165.801000,-306.200000,167529000.000000,0.000000,61.240000,48.370000,47.487000,48783000.000000,-386499000.000000,114162000.000000,114162000.000000,30902000.000000,,,,,14745000.000000,77507000.000000,1.000000,307300986.000000,301689000.000000,301689000.000000,0.378000,1350558000.000000,0.000000,-3504000.000000,0.000000,4.477000
ARQ,2020-12-31,2021-02-25,2020-12-31,2020-Q4,988577000.000000,22148984726.000000,2025-05-08,163000.000000,1380651000.000000,,1129954000.000000,250697000.000000,,2.694000,-14667000.000000,118146000.000000,118146000.000000,29065000.000000,-34021000.000000,7.992000,0.690000,428301000.000000,17717000.000000,410584000.000000,428301000.000000,56836000.000000,19989000.000000,0.000000,0.000000,0.000000,-23782000.000000,-3793000.000000,-0.030000,-3793000.000000,-23782000.000000,-33844000.000000,-0.110000,-0.110000,-0.110000,816940000.000000,,816940000.000000,22459139726.000000,-225.000000,-727.846000,-23480000.000000,-0.077000,1.000000,96861000.000000,0.769000,19967000.000000,10062000.000000,1529462000.000000,,0.000000,923201000.000000,923201000.000000,0.000000,563711000.000000,141377000.000000,422334000.000000,-2660000.000000,-250000.000000,7226000.000000,0.000000,0.000000,6732000.000000,-579000.000000,14336000.000000,-8813000.000000,0.000000,-34021000.000000,-34021000.000000,-34021000.000000,0.000000,0.000000,-0.270000,121602000.000000,-24741000.000000,14485000.000000,0.000000,27.112000,-185.549000,-179.300000,166836000.000000,0.000000,71.720000,51.383000,49.877000,63499000.000000,-420520000.000000,125926000.000000,125926000.000000,34757000.000000,,,,,16243000.000000,86845000.000000,1.000000,308825777.000000,303212000.000000,303212000.000000,0.415000,1360684000.000000,0.000000,177000.000000,0.000000,4.488000
ARQ,2021-03-31,2021-05-07,2021-03-31,2021-Q1,971722000.000000,22247034693.000000,2025-05-08,34000.000000,1405526000.000000,,1139868000.000000,265658000.000000,,2.628000,-25713000.000000,196795000.000000,196795000.000000,32084000.000000,-39963000.000000,6.779000,0.748000,435863000.000000,17990000.000000,417873000.000000,435863000.000000,71482000.000000,20564000.000000,0.000000,0.000000,0.000000,-30562000.000000,-9998000.000000,-0.072000,-9998000.000000,-30562000.000000,-40796000.000000,-0.130000,-0.130000,-0.130000,804040000.000000,,804040000.000000,22486102693.000000,-230.000000,-980.043000,-2219000.000000,-0.007000,1.000000,105971000.000000,0.768000,19267000.000000,10234000.000000,1457181000.000000,,0.000000,847748000.000000,847748000.000000,0.000000,601486000.000000,168146000.000000,433340000.000000,78649000.000000,0.000000,7909000.000000,0.000000,0.000000,7379000.000000,47776000.000000,73445000.000000,23494000.000000,0.000000,-39963000.000000,-39963000.000000,-39963000.000000,0.000000,0.000000,-0.289000,137225000.000000,-31254000.000000,20475000.000000,0.000000,27.669000,-175.745000,-170.524000,177540000.000000,0.000000,71.620000,46.555000,45.854000,71240000.000000,-460483000.000000,138055000.000000,138055000.000000,39527000.000000,,,,,18042000.000000,97698000.000000,1.000000,310626008.000000,305947000.000000,305947000.000000,0.451000,1386259000.000000,0.000000,-833000.000000,0.000000,4.531000
ARQ,2021-06-30,2021-08-06,2021-06-30,2021-Q2,945477000.000000,37122967177.000000,2025-05-08,-44000.000000,1445932000.000000,,1145953000.000000,299979000.000000,,2.599000,-17230000.000000,256870000.000000,256870000.000000,35029000.000000,-35510000.000000,5.716000,0.805000,448395000.000000,20031000.000000,428364000.000000,448395000.000000,84557000.000000,21685000.000000,0.000000,0.000000,0.000000,-29376000.000000,-7691000.000000,-0.050000,-7691000.000000,-29376000.000000,-39820000.000000,-0.120000,-0.120000,-0.120000,801096000.000000,,801096000.000000,37314492177.000000,-359.000000,-1560.753000,-9775000.000000,-0.032000,1.000000,117399000.000000,0.770000,18567000.000000,10444000.000000,1418414000.000000,,0.000000,785991000.000000,785991000.000000,0.000000,644836000.000000,200476000.000000,444360000.000000,60075000.000000,0.000000,10710000.000000,0.000000,0.000000,10150000.000000,42470000.000000,59694000.000000,7455000.000000,0.000000,-35510000.000000,-35510000.000000,-35510000.000000,0.000000,0.000000,-0.233000,146271000.000000,-28872000.000000,29558000.000000,0.000000,46.340000,-273.039000,-264.044000,201175000.000000,0.000000,118.820000,69.968000,69.035000,75853000.000000,-495993000.000000,152428000.000000,152428000.000000,41349000.000000,,,,,20547000.000000,104922000.000000,1.000000,312430291.000000,308263000.000000,308263000.000000,0.494000,1427365000.000000,0.000000,-4310000.000000,0.000000,4.630000
