dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2002-03-31,2002-05-20,2002-03-31,2002-Q1,-9547000.000000,,2025-04-18,0.000000,44740000.000000,,19865000.000000,24875000.000000,,-3.171000,-5798000.000000,17362000.000000,17362000.000000,15158000.000000,-4508000.000000,0.675000,-0.372000,6592000.000000,2475000.000000,4117000.000000,6592000.000000,6287000.000000,5080000.000000,0.000000,,0.000000,-3977000.000000,1103000.000000,0.036000,1103000.000000,-3977000.000000,-4508000.000000,-0.157000,-0.157000,-0.157000,-90872000.000000,,-90872000.000000,,,,707000.000000,0.025000,1.000000,15369000.000000,0.503000,8424000.000000,531000.000000,-3866000.000000,,0.000000,0.000000,0.000000,0.000000,33782000.000000,29412000.000000,4370000.000000,-460000.000000,0.000000,87000.000000,-1254000.000000,0.000000,-1167000.000000,-5798000.000000,0.000000,6505000.000000,0.000000,-4508000.000000,-4508000.000000,-4508000.000000,0.000000,0.000000,-0.148000,15268000.000000,101000.000000,16292000.000000,0.000000,,,,7426000.000000,0.000000,,,,0.000000,-141774000.000000,30527000.000000,30527000.000000,3181000.000000,,,,,2840000.000000,9247000.000000,1.000000,288566516.000000,28658000.000000,28658000.000000,1.065000,36316000.000000,0.000000,0.000000,0.000000,1.267000
ARQ,2002-06-30,2002-08-14,2002-06-30,2002-Q2,64865000.000000,257221399.000000,2025-04-18,-107000.000000,117898000.000000,,95031000.000000,22867000.000000,,0.606000,-3477000.000000,51455000.000000,51455000.000000,18092000.000000,-13429000.000000,3.150000,0.360000,2675000.000000,1910000.000000,765000.000000,2675000.000000,7066000.000000,6255000.000000,0.000000,0.000000,0.000000,-13429000.000000,-7174000.000000,-0.197000,-7174000.000000,-13429000.000000,-13429000.000000,-0.094000,-0.094000,-0.094000,86698000.000000,,86698000.000000,208441399.000000,,,4639000.000000,0.032000,1.000000,18268000.000000,0.502000,7710000.000000,0.000000,31242000.000000,,0.000000,42040000.000000,42040000.000000,0.000000,31200000.000000,30166000.000000,1034000.000000,34088000.000000,0.000000,86425000.000000,-14838000.000000,0.000000,71587000.000000,-45615000.000000,-42147000.000000,8116000.000000,0.000000,-13429000.000000,-13429000.000000,-13429000.000000,0.000000,0.000000,-0.369000,15956000.000000,2312000.000000,13371000.000000,0.000000,2.967000,,,6727000.000000,0.000000,0.834000,,,0.000000,-155203000.000000,36360000.000000,36360000.000000,3518000.000000,,,,,2746000.000000,9692000.000000,1.000000,308577514.000000,143024000.000000,143024000.000000,0.254000,110188000.000000,0.000000,0.000000,0.000000,0.770000
ARQ,2002-09-30,2002-11-14,2002-09-30,2002-Q3,66358000.000000,191621206.000000,2025-04-18,603000.000000,122907000.000000,,101275000.000000,21632000.000000,,0.284000,-5824000.000000,55506000.000000,55506000.000000,21496000.000000,-1695000.000000,2.900000,0.408000,1876000.000000,1482000.000000,394000.000000,1876000.000000,7179000.000000,7047000.000000,0.000000,0.000000,0.000000,-1695000.000000,5352000.000000,0.131000,5352000.000000,-1695000.000000,-1695000.000000,-0.006000,-0.006000,-0.006000,87311000.000000,,87311000.000000,137991206.000000,,,5250000.000000,0.017000,1.000000,19235000.000000,0.472000,6902000.000000,0.000000,27458000.000000,,0.000000,43217000.000000,43217000.000000,0.000000,35596000.000000,34917000.000000,679000.000000,4562000.000000,0.000000,91000.000000,-836000.000000,0.000000,-745000.000000,-5767000.000000,-467000.000000,11074000.000000,0.000000,-1695000.000000,-1695000.000000,-1695000.000000,0.000000,0.000000,-0.042000,16602000.000000,2633000.000000,18148000.000000,0.000000,2.195000,,,5870000.000000,0.000000,0.619000,,,0.000000,-156898000.000000,40731000.000000,40731000.000000,3966000.000000,,,,,1507000.000000,11169000.000000,1.000000,309780240.000000,306908000.000000,306908000.000000,0.133000,116005000.000000,0.000000,0.000000,0.000000,0.378000
ARQ,2002-12-31,2003-03-31,2002-12-31,2002-Q4,66649000.000000,465821492.000000,2025-04-18,774000.000000,130530000.000000,,107075000.000000,23455000.000000,,0.453000,-9734000.000000,61504000.000000,61504000.000000,23390000.000000,-2315000.000000,2.649000,0.461000,1691000.000000,1231000.000000,460000.000000,1691000.000000,9743000.000000,8095000.000000,0.000000,0.000000,0.000000,9657000.000000,17752000.000000,0.393000,17752000.000000,9657000.000000,-2315000.000000,0.011000,0.011000,0.011000,89356000.000000,,89356000.000000,406008492.000000,-41.000000,24.604000,4685000.000000,0.024000,1.000000,21798000.000000,0.482000,6094000.000000,11972000.000000,24197000.000000,,0.000000,43796000.000000,43796000.000000,0.000000,41174000.000000,40426000.000000,748000.000000,5493000.000000,0.000000,1411000.000000,-216000.000000,0.000000,1195000.000000,-10121000.000000,-408000.000000,14419000.000000,0.000000,-2315000.000000,-2315000.000000,-2315000.000000,0.000000,0.000000,-0.051000,19150000.000000,2648000.000000,20350000.000000,0.000000,5.213000,-21.225000,-13.095000,5620000.000000,0.000000,1.454000,3.048000,1.878000,0.000000,-159213000.000000,45188000.000000,45188000.000000,3960000.000000,,,,,2778000.000000,12412000.000000,1.000000,320466874.000000,197428000.000000,197428000.000000,0.229000,124436000.000000,0.000000,0.000000,0.000000,0.630000
ARQ,2003-03-31,2003-05-14,2003-03-31,2003-Q1,69284000.000000,580906606.000000,2025-04-18,902000.000000,135629000.000000,,113194000.000000,22435000.000000,,0.286000,-6582000.000000,67722000.000000,67722000.000000,30007000.000000,-4521000.000000,2.578000,0.489000,1316000.000000,940000.000000,376000.000000,1316000.000000,11227000.000000,8762000.000000,0.000000,0.000000,0.000000,-4330000.000000,4432000.000000,0.080000,4432000.000000,-4330000.000000,-4521000.000000,-0.014000,-0.014000,-0.014000,91064000.000000,,91064000.000000,514500606.000000,-53.000000,25.268000,6245000.000000,0.020000,1.000000,25662000.000000,0.461000,5285000.000000,191000.000000,20028000.000000,,0.000000,44304000.000000,44304000.000000,0.000000,44565000.000000,43910000.000000,655000.000000,6214000.000000,0.000000,1549000.000000,-407000.000000,0.000000,1142000.000000,-7755000.000000,-380000.000000,12827000.000000,0.000000,-4521000.000000,-4521000.000000,-4521000.000000,0.000000,0.000000,-0.081000,24190000.000000,1472000.000000,22218000.000000,0.000000,6.379000,-26.453000,-17.143000,4848000.000000,0.000000,1.749000,3.264000,3.128000,0.000000,-163734000.000000,55669000.000000,55669000.000000,4183000.000000,,,,,4552000.000000,15455000.000000,1.000000,332217830.000000,318318000.000000,318318000.000000,0.175000,130344000.000000,0.000000,0.000000,0.000000,0.409000
ARQ,2003-06-30,2003-07-31,2003-06-30,2003-Q2,68053000.000000,628913996.000000,2025-04-18,1331000.000000,150065000.000000,,119585000.000000,30480000.000000,,0.296000,-19311000.000000,72913000.000000,72913000.000000,35241000.000000,3313000.000000,2.321000,0.531000,1091000.000000,835000.000000,256000.000000,1091000.000000,12394000.000000,11340000.000000,0.000000,0.000000,0.000000,3408000.000000,14748000.000000,0.233000,14748000.000000,3408000.000000,3313000.000000,0.010000,0.008000,0.010000,98006000.000000,,98006000.000000,557091996.000000,79.000000,13.175000,4309000.000000,0.013000,1.000000,27946000.000000,0.442000,4477000.000000,95000.000000,22234000.000000,,0.000000,45096000.000000,45096000.000000,0.000000,52059000.000000,51532000.000000,527000.000000,5201000.000000,0.000000,1496000.000000,-261000.000000,0.000000,1235000.000000,-19654000.000000,-363000.000000,23620000.000000,0.000000,3313000.000000,3313000.000000,3313000.000000,0.000000,0.000000,0.052000,17877000.000000,10069000.000000,28009000.000000,0.000000,6.417000,-120.528000,1871.429000,6108000.000000,0.000000,1.871000,3.071000,3.026000,0.000000,-158867000.000000,63187000.000000,63187000.000000,4123000.000000,,,,,-442000.000000,12050000.000000,1.000000,336060914.000000,331072000.000000,431368000.000000,0.191000,145588000.000000,0.000000,0.000000,0.000000,0.440000
ARQ,2003-09-30,2003-10-31,2003-09-30,2003-Q3,74047000.000000,1417185993.000000,2025-04-18,1118000.000000,158864000.000000,,127602000.000000,31262000.000000,,0.311000,-14139000.000000,80854000.000000,80854000.000000,38648000.000000,3303000.000000,2.383000,0.515000,556000.000000,371000.000000,185000.000000,556000.000000,13771000.000000,14214000.000000,0.000000,0.000000,0.000000,3390000.000000,17604000.000000,0.244000,17604000.000000,3390000.000000,3303000.000000,0.010000,0.007000,0.010000,104861000.000000,,104861000.000000,1336887993.000000,110.000000,24.514000,7847000.000000,0.023000,1.000000,33554000.000000,0.465000,3704000.000000,87000.000000,21307000.000000,,0.000000,45237000.000000,45237000.000000,0.000000,54003000.000000,53555000.000000,448000.000000,7941000.000000,0.000000,988000.000000,-551000.000000,0.000000,437000.000000,-14482000.000000,-354000.000000,21986000.000000,0.000000,3303000.000000,3303000.000000,3303000.000000,0.000000,0.000000,0.046000,22376000.000000,11178000.000000,28459000.000000,0.000000,13.515000,-6441.755000,240.420000,6586000.000000,0.000000,4.087000,5.999000,5.834000,0.000000,-155564000.000000,72202000.000000,72202000.000000,4738000.000000,,,,,2777000.000000,14861000.000000,1.000000,346742466.000000,337204000.000000,440440000.000000,0.214000,155160000.000000,0.000000,0.000000,0.000000,0.460000
ARQ,2003-12-31,2004-02-27,2003-12-31,2003-Q4,75927000.000000,1765098400.000000,2025-04-18,596000.000000,176012000.000000,,138946000.000000,37066000.000000,,0.321000,-22627000.000000,91166000.000000,91166000.000000,44464000.000000,2271000.000000,2.205000,0.562000,460000.000000,416000.000000,44000.000000,460000.000000,18324000.000000,16675000.000000,0.000000,0.000000,0.000000,2315000.000000,18990000.000000,0.234000,18990000.000000,2315000.000000,2271000.000000,0.007000,0.004000,0.007000,112708000.000000,,112708000.000000,1674392400.000000,242.000000,28.909000,8732000.000000,0.025000,1.000000,36721000.000000,0.452000,2948000.000000,44000.000000,19339000.000000,,0.000000,45297000.000000,45297000.000000,0.000000,63304000.000000,63019000.000000,285000.000000,10724000.000000,0.000000,2266000.000000,-115000.000000,0.000000,2151000.000000,-22786000.000000,-582000.000000,31359000.000000,0.000000,2271000.000000,2271000.000000,2271000.000000,0.000000,0.000000,0.028000,25840000.000000,10881000.000000,32654000.000000,0.000000,15.661000,271.053000,245.714000,9772000.000000,0.000000,4.914000,6.484000,6.038000,0.000000,-153293000.000000,81185000.000000,81185000.000000,4840000.000000,,,,,3832000.000000,17168000.000000,1.000000,359177000.000000,351218000.000000,472024000.000000,0.231000,173064000.000000,0.000000,0.000000,0.000000,0.493000
ARQ,2004-03-31,2004-04-30,2004-03-31,2004-Q1,71458000.000000,1309682812.000000,2025-04-18,949000.000000,191233000.000000,,148958000.000000,42275000.000000,,0.316000,-24831000.000000,101490000.000000,101490000.000000,56627000.000000,-5790000.000000,1.922000,0.685000,360000.000000,360000.000000,0.000000,360000.000000,21496000.000000,20005000.000000,0.000000,0.000000,0.000000,-5759000.000000,14246000.000000,0.142000,14246000.000000,-5759000.000000,-5790000.000000,-0.016000,-0.016000,-0.016000,113525000.000000,,113525000.000000,1208552812.000000,360.000000,18.426000,8969000.000000,0.025000,1.000000,43743000.000000,0.436000,2322000.000000,31000.000000,10281000.000000,,0.000000,46014000.000000,46014000.000000,0.000000,77708000.000000,77500000.000000,208000.000000,10294000.000000,0.000000,1819000.000000,-111000.000000,0.000000,1708000.000000,-25214000.000000,-364000.000000,33800000.000000,0.000000,-5790000.000000,-5790000.000000,-5790000.000000,0.000000,0.000000,-0.058000,39303000.000000,4440000.000000,43183000.000000,0.000000,11.537000,422.888000,329.351000,10328000.000000,0.000000,3.623000,4.132000,4.103000,0.000000,-159083000.000000,100370000.000000,100370000.000000,5039000.000000,,,,,4435000.000000,29829000.000000,1.000000,361505508.000000,358974000.000000,358974000.000000,0.280000,188911000.000000,0.000000,0.000000,0.000000,0.526000
ARQ,2004-06-30,2004-08-02,2004-06-30,2004-Q2,76813000.000000,1051383332.000000,2025-04-18,0.000000,204193000.000000,,158721000.000000,45472000.000000,,0.336000,-25520000.000000,154925000.000000,154925000.000000,69788000.000000,2891000.000000,1.938000,0.675000,253000.000000,253000.000000,0.000000,253000.000000,25251000.000000,22918000.000000,0.000000,0.000000,0.000000,2921000.000000,25839000.000000,0.215000,25839000.000000,2921000.000000,2891000.000000,0.009000,0.006000,0.009000,121906000.000000,,121906000.000000,896711332.000000,313.000000,11.694000,6446000.000000,0.018000,1.000000,50533000.000000,0.420000,1868000.000000,30000.000000,-34255000.000000,,0.000000,0.000000,0.000000,0.000000,82287000.000000,81908000.000000,379000.000000,53256000.000000,0.000000,2305000.000000,-118000.000000,0.000000,2187000.000000,19103000.000000,44791000.000000,31966000.000000,0.000000,2891000.000000,2891000.000000,2891000.000000,0.000000,0.000000,0.024000,33543000.000000,16990000.000000,42552000.000000,0.000000,8.625000,393.040000,288.000000,11053000.000000,0.000000,2.880000,2.811000,2.797000,0.000000,-156192000.000000,120321000.000000,120321000.000000,5652000.000000,,,,,4134000.000000,23757000.000000,1.000000,365063657.000000,363286000.000000,454825000.000000,0.331000,202325000.000000,0.000000,0.000000,0.000000,0.557000
