dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,1996-12-31,1997-01-14,1996-11-30,1997-Q2,1605414000.000000,17734456110.000000,2025-04-03,-1716000.000000,4421155000.000000,,3070956000.000000,1350199000.000000,,1.187000,,267534000.000000,267534000.000000,1277628000.000000,176872000.000000,2.095000,0.568000,534701000.000000,435731000.000000,98970000.000000,534701000.000000,0.000000,,0.000000,0.005000,0.013000,299100000.000000,,,,299100000.000000,288872000.000000,0.075000,0.075000,0.075000,2819709000.000000,,2819709000.000000,18001623110.000000,,,,,1.000000,829406000.000000,0.394000,471394000.000000,10228000.000000,2751386000.000000,,981080000.000000,0.000000,0.000000,0.000000,1601446000.000000,1465542000.000000,135904000.000000,,,,,,,,,,,176872000.000000,176872000.000000,176872000.000000,0.000000,0.000000,0.084000,530306000.000000,299100000.000000,465686000.000000,0.173000,6.289000,,,757757000.000000,0.000000,7.688000,,,1572426000.000000,2638596000.000000,2107034000.000000,2107034000.000000,0.000000,,,,,,530453000.000000,1.000000,2306921120.000000,2376176000.000000,2376176000.000000,0.887000,3949761000.000000,104820000.000000,112000000.000000,44576000.000000,1.662000
ARQ,1997-03-31,1997-04-14,1997-02-28,1997-Q3,1896659000.000000,16313219292.000000,2025-04-03,-26376000.000000,4944501000.000000,,3500500000.000000,1444001000.000000,,1.267000,-126136000.000000,300801000.000000,300801000.000000,1435427000.000000,237133000.000000,2.183000,0.640000,819409000.000000,530034000.000000,289375000.000000,819409000.000000,0.000000,36578000.000000,0.000000,0.006000,0.013000,402926000.000000,439504000.000000,0.181000,439504000.000000,402926000.000000,387133000.000000,0.100000,0.100000,0.100000,3014499000.000000,,3014499000.000000,16831827292.000000,,,-194349000.000000,-0.082000,1.000000,988221000.000000,0.408000,467497000.000000,15793000.000000,3391771000.000000,,1089143000.000000,0.000000,0.000000,0.000000,1930002000.000000,1603841000.000000,326161000.000000,33267000.000000,0.000000,4891000.000000,294201000.000000,-28838000.000000,270254000.000000,-157493000.000000,0.000000,-68213000.000000,-11281000.000000,237133000.000000,237133000.000000,237133000.000000,0.000000,0.000000,0.098000,585295000.000000,402926000.000000,511802000.000000,0.130000,5.412000,,,828792000.000000,0.000000,7.062000,,,1850310000.000000,2846854000.000000,2423648000.000000,2423648000.000000,0.000000,,,,,0.000000,577579000.000000,1.000000,2309836360.000000,2378944000.000000,2378944000.000000,1.019000,4477004000.000000,257372000.000000,150000000.000000,91632000.000000,1.882000
ARQ,1997-06-30,1997-08-29,1997-05-31,1997-Q4,1964002000.000000,15474100214.000000,2025-04-03,-31333000.000000,5361207000.000000,,3830919000.000000,1530288000.000000,,1.327000,-147252000.000000,445421000.000000,445421000.000000,1427819000.000000,155754000.000000,2.052000,0.699000,851389000.000000,555369000.000000,296020000.000000,851389000.000000,0.000000,43261000.000000,0.000000,0.007000,0.013000,263910000.000000,307171000.000000,0.129000,307171000.000000,263910000.000000,250254000.000000,0.065000,0.065000,0.065000,3155838000.000000,,3155838000.000000,15880068214.000000,12.000000,10.689000,119065000.000000,0.050000,1.000000,946112000.000000,0.399000,464191000.000000,13656000.000000,3436067000.000000,,1338640000.000000,0.000000,0.000000,0.000000,2205369000.000000,1866917000.000000,338452000.000000,144620000.000000,0.000000,8149000.000000,31979000.000000,-28905000.000000,11223000.000000,-135429000.000000,0.000000,266317000.000000,2509000.000000,155754000.000000,155754000.000000,155754000.000000,0.000000,0.000000,0.066000,649925000.000000,296187000.000000,687121000.000000,0.200000,4.903000,19.444000,19.918000,922369000.000000,0.000000,6.673000,1.684000,1.726000,1754137000.000000,2973663000.000000,2373931000.000000,2373931000.000000,0.000000,,,,,0.000000,666135000.000000,1.000000,2319085832.000000,2378040000.000000,2378040000.000000,0.998000,4897016000.000000,279391000.000000,94500000.000000,96055000.000000,2.059000
ARQ,1997-09-30,1997-10-15,1997-08-31,1998-Q1,2207166000.000000,15140244974.000000,2025-04-03,-39953000.000000,5625412000.000000,,4002767000.000000,1622645000.000000,,1.423000,-104748000.000000,403087000.000000,403087000.000000,1665465000.000000,253130000.000000,2.229000,0.662000,824659000.000000,431485000.000000,393174000.000000,824659000.000000,0.000000,43792000.000000,0.000000,0.008000,0.013000,428549000.000000,472341000.000000,0.171000,472341000.000000,428549000.000000,411630000.000000,0.106000,0.106000,0.106000,3385539000.000000,,3385539000.000000,15561816974.000000,11.000000,,32614000.000000,0.014000,1.000000,1100634000.000000,0.398000,459336000.000000,16919000.000000,3792047000.000000,,1293593000.000000,0.000000,0.000000,0.000000,2239873000.000000,1795601000.000000,444272000.000000,-42334000.000000,0.000000,14246000.000000,-23028000.000000,-28932000.000000,-37714000.000000,-145954000.000000,0.000000,137362000.000000,3972000.000000,253130000.000000,253130000.000000,253130000.000000,0.000000,0.000000,0.092000,672085000.000000,428549000.000000,534694000.000000,0.123000,4.472000,18.399000,18.833000,972274000.000000,0.000000,6.516000,1.566000,1.604000,1992390000.000000,3197738000.000000,2766099000.000000,2766099000.000000,0.000000,,,,,0.000000,658916000.000000,1.000000,2323459808.000000,2379952000.000000,2379952000.000000,1.162000,5166076000.000000,320420000.000000,158500000.000000,217950000.000000,2.171000
ARQ,1997-12-31,1998-01-14,1997-11-30,1998-Q2,2180482000.000000,11972003578.000000,2025-04-03,-58160000.000000,5383140000.000000,,3675999000.000000,1707141000.000000,,1.456000,-131882000.000000,139686000.000000,139686000.000000,1409522000.000000,141049000.000000,2.458000,0.558000,629899000.000000,243664000.000000,386235000.000000,629899000.000000,0.000000,44266000.000000,0.000000,0.010000,0.015000,246385000.000000,290651000.000000,0.129000,290651000.000000,246385000.000000,229249000.000000,0.060000,0.060000,0.060000,3456237000.000000,,3456237000.000000,12462216578.000000,9.000000,8.255000,19810000.000000,0.008000,1.000000,845750000.000000,0.375000,454753000.000000,17136000.000000,3923083000.000000,,1448550000.000000,0.000000,0.000000,0.000000,1926903000.000000,1495517000.000000,431386000.000000,-263401000.000000,0.000000,-29709000.000000,-188260000.000000,-29046000.000000,-247015000.000000,-152181000.000000,0.000000,151692000.000000,-15897000.000000,141049000.000000,141049000.000000,141049000.000000,0.000000,0.000000,0.063000,599365000.000000,246385000.000000,495461000.000000,0.250000,3.464000,15.211000,15.555000,1051206000.000000,0.000000,5.149000,1.219000,1.245000,1759450000.000000,3264676000.000000,2255272000.000000,2255272000.000000,0.000000,,,,,0.000000,593044000.000000,1.000000,2325225264.000000,2373768000.000000,2373768000.000000,0.950000,4928387000.000000,341212000.000000,88200000.000000,112306000.000000,2.076000
ARQ,1998-03-31,1998-04-14,1998-02-28,1998-Q3,2056284000.000000,12625472564.000000,2025-04-03,-61966000.000000,5638103000.000000,,3893032000.000000,1745071000.000000,,1.466000,-104899000.000000,150280000.000000,150280000.000000,1428849000.000000,73118000.000000,2.120000,0.671000,1016936000.000000,631625000.000000,385311000.000000,1016936000.000000,0.000000,44922000.000000,0.000000,0.010000,0.015000,135785000.000000,180707000.000000,0.081000,180707000.000000,135785000.000000,122618000.000000,0.031000,0.031000,0.031000,3374577000.000000,,3374577000.000000,13492128564.000000,13.000000,10.786000,-233220000.000000,-0.101000,1.000000,795146000.000000,0.358000,449718000.000000,13167000.000000,4218293000.000000,,1566099000.000000,0.000000,0.000000,0.000000,2263526000.000000,1836748000.000000,426778000.000000,10594000.000000,0.000000,-112117000.000000,387520000.000000,-34802000.000000,240601000.000000,-120702000.000000,0.000000,-128321000.000000,19016000.000000,73118000.000000,73118000.000000,73118000.000000,0.000000,0.000000,0.033000,659361000.000000,135785000.000000,471575000.000000,0.484000,3.741000,20.264000,20.856000,1091519000.000000,0.000000,5.485000,1.313000,1.313000,1809830000.000000,3183400000.000000,2223995000.000000,2223995000.000000,0.000000,,,,,0.000000,651378000.000000,1.000000,2301818152.000000,2301818152.000000,,0.966000,5188385000.000000,341842000.000000,49500000.000000,100536000.000000,2.254000
ARQ,1998-06-30,1998-08-26,1998-05-31,1998-Q4,1828800000.000000,10736624767.000000,2025-04-03,-47200000.000000,5397400000.000000,,3532600000.000000,1864800000.000000,,1.419000,-147571000.000000,108600000.000000,108600000.000000,1561664000.000000,-67697000.000000,2.073000,0.655000,861200000.000000,481800000.000000,379400000.000000,861200000.000000,0.000000,51520000.000000,0.000000,0.012000,0.015000,-97719000.000000,-46199000.000000,-0.020000,-46199000.000000,-97719000.000000,-110497000.000000,-0.029000,-0.029000,-0.029000,3261600000.000000,,3261600000.000000,11489224767.000000,16.000000,12.801000,209196000.000000,0.091000,1.000000,746070000.000000,0.323000,435800000.000000,12778000.000000,4010400000.000000,,1396600000.000000,0.000000,0.000000,0.000000,2135800000.000000,1703800000.000000,432000000.000000,-41659000.000000,0.000000,-42520000.000000,-150232000.000000,-34520000.000000,-227272000.000000,-176163000.000000,0.000000,356767000.000000,5009000.000000,-67697000.000000,-67697000.000000,-67697000.000000,0.000000,0.000000,-0.029000,822889000.000000,-76819000.000000,584600000.000000,-0.517000,3.292000,26.868000,27.166000,1153100000.000000,0.000000,4.673000,1.124000,1.124000,1674400000.000000,3043400000.000000,2307734000.000000,2307734000.000000,0.000000,,,,,0.000000,720462000.000000,1.000000,2297833016.000000,2297833016.000000,,1.004000,4961600000.000000,432700000.000000,-42800000.000000,81200000.000000,2.159000
ARQ,1998-09-30,1998-10-15,1998-08-31,1999-Q1,1876200000.000000,11435510046.000000,2025-04-03,-52300000.000000,5304600000.000000,,3409100000.000000,1895500000.000000,,1.462000,-82000000.000000,167800000.000000,167800000.000000,1562600000.000000,163800000.000000,2.224000,0.584000,725300000.000000,349600000.000000,375700000.000000,725300000.000000,0.000000,57200000.000000,0.000000,0.012000,0.015000,285000000.000000,342200000.000000,0.137000,342200000.000000,285000000.000000,270800000.000000,0.071000,0.070000,0.071000,3349100000.000000,,3349100000.000000,11993010046.000000,21.000000,15.629000,286900000.000000,0.125000,1.000000,942200000.000000,0.376000,436500000.000000,14200000.000000,3892700000.000000,,1160100000.000000,0.000000,0.000000,0.000000,1955500000.000000,1532900000.000000,422600000.000000,59200000.000000,0.000000,-36900000.000000,-132300000.000000,-34400000.000000,-203600000.000000,-98000000.000000,0.000000,368900000.000000,-8100000.000000,163800000.000000,163800000.000000,163800000.000000,0.000000,0.000000,0.065000,657200000.000000,285000000.000000,432500000.000000,0.211000,3.415000,36.857000,37.257000,1177200000.000000,0.000000,4.992000,1.231000,1.231000,1755000000.000000,3130800000.000000,2504800000.000000,2504800000.000000,0.000000,,,,,0.000000,652600000.000000,1.000000,2290537816.000000,2290537816.000000,,1.094000,4868100000.000000,440000000.000000,107000000.000000,158900000.000000,2.125000
ARQ,1998-12-31,1999-01-14,1998-11-30,1999-Q2,1726800000.000000,11673229927.000000,2025-04-03,-55900000.000000,5249900000.000000,,3299500000.000000,1950400000.000000,,1.431000,-79900000.000000,254600000.000000,254600000.000000,1229600000.000000,68900000.000000,2.098000,0.623000,822000000.000000,432900000.000000,389100000.000000,822000000.000000,0.000000,44800000.000000,0.000000,0.012000,0.015000,123900000.000000,168700000.000000,0.088000,168700000.000000,123900000.000000,113800000.000000,0.030000,0.030000,0.030000,3235500000.000000,,3235500000.000000,12240629927.000000,27.000000,18.966000,222300000.000000,0.098000,1.000000,683400000.000000,0.357000,435500000.000000,10100000.000000,3809100000.000000,,1197700000.000000,0.000000,0.000000,0.000000,2014400000.000000,1572700000.000000,441700000.000000,86800000.000000,0.000000,-147800000.000000,82800000.000000,-34200000.000000,-99200000.000000,-97000000.000000,0.000000,302200000.000000,-19200000.000000,68900000.000000,68900000.000000,68900000.000000,0.000000,0.000000,0.036000,559500000.000000,123900000.000000,429900000.000000,0.500000,3.608000,49.022000,49.651000,1230800000.000000,0.000000,5.164000,1.304000,1.304000,1511200000.000000,3016300000.000000,1913000000.000000,1913000000.000000,0.000000,,,,,0.000000,531900000.000000,1.000000,2260610976.000000,2260610976.000000,,0.846000,4814400000.000000,459100000.000000,44900000.000000,83700000.000000,2.130000
ARQ,1999-03-31,1999-04-14,1999-02-28,1999-Q3,1751200000.000000,15786169590.000000,2025-04-03,-66800000.000000,5292200000.000000,,3342200000.000000,1950000000.000000,,1.448000,-86600000.000000,127900000.000000,127900000.000000,1364900000.000000,124200000.000000,2.101000,0.624000,945600000.000000,556900000.000000,388700000.000000,945600000.000000,0.000000,49200000.000000,0.000000,0.009000,0.015000,215800000.000000,265000000.000000,0.122000,265000000.000000,215800000.000000,205400000.000000,0.055000,0.055000,0.055000,3258100000.000000,,3258100000.000000,16603869590.000000,32.000000,22.754000,-143600000.000000,-0.064000,1.000000,811900000.000000,0.373000,431400000.000000,10400000.000000,4087500000.000000,,1147400000.000000,0.000000,0.000000,0.000000,2034100000.000000,1591000000.000000,443100000.000000,-126700000.000000,0.000000,-59700000.000000,123900000.000000,-33700000.000000,30500000.000000,-106900000.000000,0.000000,-57000000.000000,6700000.000000,124200000.000000,124200000.000000,124200000.000000,0.000000,0.000000,0.057000,596100000.000000,215800000.000000,329800000.000000,0.273000,4.845000,54.585000,55.246000,1244300000.000000,0.000000,7.016000,1.773000,1.773000,1737700000.000000,3042600000.000000,2176800000.000000,2176800000.000000,0.000000,,,,,0.000000,569800000.000000,1.000000,2249944000.000000,2249944000.000000,,0.967000,4860800000.000000,452400000.000000,81200000.000000,88200000.000000,2.160000
