dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,1996-12-31,1997-03-31,1996-12-31,1996-Q4,31304000.000000,260835116.000000,2025-05-09,0.000000,41492000.000000,,37548000.000000,3944000.000000,,1.564000,,18568000.000000,18568000.000000,,,6.013000,0.183000,353000.000000,166000.000000,187000.000000,353000.000000,2723000.000000,,0.000000,0.000000,0.000000,,,,,,,,,,35061000.000000,,35061000.000000,242620116.000000,-25.000000,-27.630000,,,1.000000,,,0.000000,,17033000.000000,,0.000000,17741000.000000,17741000.000000,0.000000,6431000.000000,6244000.000000,187000.000000,,,,,,,,,,,,,,,,,,,1130000.000000,,7.439000,-26.323000,-21.727000,3770000.000000,,9.560000,37.857000,31.100000,0.000000,-27691000.000000,,,,,,,,,,1.000000,27284008.000000,22414000.000000,,,41492000.000000,0.000000,,0.000000,1.851000
ARQ,1997-03-31,1997-05-13,1997-03-31,1997-Q1,59457000.000000,272840080.000000,2025-05-09,0.000000,73017000.000000,,68672000.000000,4345000.000000,,2.470000,-898000.000000,36662000.000000,36662000.000000,0.000000,-2044000.000000,7.452000,0.148000,175000.000000,0.000000,175000.000000,175000.000000,5191000.000000,0.000000,0.000000,0.000000,0.000000,-2044000.000000,-2044000.000000,-0.643000,-2044000.000000,-2044000.000000,-2044000.000000,-0.080000,,-0.080000,63627000.000000,,63627000.000000,236353080.000000,,,970000.000000,0.038000,1.000000,3177000.000000,1.000000,0.000000,0.000000,27315000.000000,,0.000000,31123000.000000,31123000.000000,0.000000,9390000.000000,9215000.000000,175000.000000,18094000.000000,0.000000,30575000.000000,-63000.000000,0.000000,30512000.000000,-14286000.000000,-13388000.000000,1868000.000000,0.000000,-2044000.000000,-2044000.000000,-2044000.000000,0.000000,0.000000,-0.643000,5951000.000000,-2774000.000000,2987000.000000,0.000000,4.288000,,,4210000.000000,0.000000,10.000000,,,0.000000,-29741000.000000,3177000.000000,3177000.000000,4569000.000000,,,,,0.000000,1382000.000000,1.000000,27284008.000000,25756000.000000,,0.123000,73017000.000000,0.000000,0.000000,0.000000,2.835000
ARQ,1997-06-30,1997-08-13,1997-06-30,1997-Q2,55341000.000000,300226082.000000,2025-05-09,0.000000,74802000.000000,,67966000.000000,6836000.000000,,2.272000,-3021000.000000,33149000.000000,33149000.000000,0.000000,-2298000.000000,5.383000,0.206000,162000.000000,0.000000,162000.000000,162000.000000,6208000.000000,0.000000,0.000000,0.000000,0.000000,-2298000.000000,-2298000.000000,-0.578000,-2298000.000000,-2298000.000000,-2298000.000000,-0.085000,,-0.085000,62015000.000000,,62015000.000000,267239082.000000,,,-6622000.000000,-0.243000,1.000000,3973000.000000,1.000000,0.000000,0.000000,29190000.000000,,0.000000,33020000.000000,33020000.000000,0.000000,12787000.000000,12625000.000000,162000.000000,-3513000.000000,0.000000,27000.000000,-40000.000000,0.000000,587000.000000,101000.000000,3122000.000000,-3601000.000000,0.000000,-2298000.000000,-2298000.000000,-2298000.000000,0.000000,0.000000,-0.578000,7161000.000000,-3188000.000000,5160000.000000,0.000000,4.841000,,,6701000.000000,0.000000,10.970000,,,0.000000,-32033000.000000,3973000.000000,3973000.000000,5644000.000000,,,,,0.000000,1517000.000000,1.000000,27367920.000000,27296000.000000,,0.146000,74802000.000000,0.000000,0.000000,0.000000,2.740000
ARQ,1997-09-30,1997-10-06,1997-09-30,1997-Q3,49743000.000000,445836334.000000,2025-05-09,0.000000,74848000.000000,,64358000.000000,10490000.000000,,2.180000,-4277000.000000,9627000.000000,9627000.000000,0.000000,-2651000.000000,4.404000,0.251000,148000.000000,0.000000,148000.000000,148000.000000,8508000.000000,0.000000,0.000000,0.000000,0.000000,-2651000.000000,-2651000.000000,-0.615000,-2651000.000000,-2651000.000000,-2651000.000000,-0.095000,,-0.095000,59845000.000000,,59845000.000000,436357334.000000,,,-4559000.000000,-0.166000,1.000000,4309000.000000,1.000000,0.000000,0.000000,50754000.000000,,0.000000,53032000.000000,53032000.000000,0.000000,15003000.000000,14615000.000000,388000.000000,-23522000.000000,0.000000,1087000.000000,-25000.000000,0.000000,462000.000000,-24302000.000000,-20025000.000000,-282000.000000,0.000000,-2651000.000000,-2651000.000000,-2651000.000000,0.000000,0.000000,-0.615000,7772000.000000,-3463000.000000,5038000.000000,0.000000,7.450000,,,10355000.000000,0.000000,16.190000,,,0.000000,-34684000.000000,4309000.000000,4309000.000000,6427000.000000,,,,,0.000000,1345000.000000,1.000000,27537760.000000,27452000.000000,,0.157000,74848000.000000,0.000000,0.000000,0.000000,2.727000
ARQ,1997-09-30,1997-10-09,1997-09-30,1997-Q3,49743000.000000,437161940.000000,2025-05-09,0.000000,74848000.000000,,64358000.000000,10490000.000000,,2.180000,-4277000.000000,9627000.000000,9627000.000000,0.000000,-2651000.000000,4.404000,0.251000,148000.000000,0.000000,148000.000000,148000.000000,8508000.000000,0.000000,0.000000,0.000000,0.000000,-2651000.000000,-2651000.000000,-0.615000,-2651000.000000,-2651000.000000,-2651000.000000,-0.095000,,-0.095000,59845000.000000,,59845000.000000,427682940.000000,,,-3959000.000000,-0.144000,1.000000,4309000.000000,1.000000,0.000000,0.000000,50754000.000000,,0.000000,53032000.000000,53032000.000000,0.000000,15003000.000000,14615000.000000,388000.000000,-23522000.000000,0.000000,487000.000000,-25000.000000,0.000000,-138000.000000,-24302000.000000,-20025000.000000,318000.000000,0.000000,-2651000.000000,-2651000.000000,-2651000.000000,0.000000,0.000000,-0.615000,7772000.000000,-3463000.000000,5038000.000000,0.000000,7.305000,,,10355000.000000,0.000000,15.875000,,,0.000000,-34684000.000000,4309000.000000,4309000.000000,6427000.000000,,,,,0.000000,1345000.000000,1.000000,27537760.000000,27452000.000000,,0.157000,74848000.000000,0.000000,0.000000,0.000000,2.727000
ARQ,1997-12-31,1998-03-23,1997-12-31,1997-Q4,83811000.000000,428453988.000000,2025-05-09,0.000000,119762000.000000,,100925000.000000,18837000.000000,,3.254000,-9065000.000000,14948000.000000,14948000.000000,0.000000,-2990000.000000,5.897000,0.233000,5185000.000000,83000.000000,5102000.000000,5185000.000000,6686000.000000,2337000.000000,0.000000,0.000000,0.000000,-2924000.000000,-587000.000000,-0.123000,-587000.000000,-2924000.000000,-2990000.000000,-0.100000,,-0.100000,97093000.000000,,97093000.000000,418690988.000000,-42.000000,-55.236000,-2671000.000000,-0.090000,1.000000,4790000.000000,1.000000,0.000000,66000.000000,92885000.000000,,0.000000,85225000.000000,85225000.000000,0.000000,22669000.000000,17114000.000000,5555000.000000,5321000.000000,0.000000,40193000.000000,4960000.000000,0.000000,45153000.000000,-46226000.000000,-37161000.000000,6394000.000000,0.000000,-2990000.000000,-2990000.000000,-2990000.000000,0.000000,0.000000,-0.624000,9089000.000000,-4299000.000000,5975000.000000,0.000000,4.413000,-42.918000,-38.194000,18694000.000000,0.000000,13.750000,26.368000,23.342000,0.000000,-37642000.000000,4790000.000000,4790000.000000,7005000.000000,,,,,101000.000000,2084000.000000,1.000000,31160290.000000,29834000.000000,,0.161000,119762000.000000,0.000000,0.000000,0.000000,4.014000
ARQ,1998-03-31,1998-05-14,1998-03-31,1998-Q1,72338000.000000,480359096.000000,2025-05-09,0.000000,113873000.000000,,86980000.000000,26893000.000000,,3.004000,-8774000.000000,11397000.000000,11397000.000000,0.000000,-4149000.000000,5.940000,0.218000,5088000.000000,0.000000,5088000.000000,5088000.000000,6743000.000000,0.000000,0.000000,0.000000,0.000000,-4149000.000000,-4149000.000000,-1.073000,-4149000.000000,-4149000.000000,-4149000.000000,-0.135000,-0.135000,-0.135000,93529000.000000,,93529000.000000,474050096.000000,-39.000000,-48.947000,-16938000.000000,-0.544000,1.000000,3865000.000000,1.000000,0.000000,0.000000,92922000.000000,,0.000000,72443000.000000,72443000.000000,0.000000,20344000.000000,14642000.000000,5702000.000000,-3551000.000000,0.000000,651000.000000,-20000.000000,0.000000,631000.000000,3982000.000000,12756000.000000,-8164000.000000,0.000000,-4149000.000000,-4149000.000000,-4149000.000000,0.000000,0.000000,-1.073000,9142000.000000,-5277000.000000,7899000.000000,0.000000,5.136000,-39.739000,-37.048000,26750000.000000,0.000000,15.375000,28.362000,28.265000,0.000000,-41817000.000000,3865000.000000,3865000.000000,7217000.000000,,,,,0.000000,1925000.000000,1.000000,31242868.000000,31136000.000000,31136000.000000,0.124000,113873000.000000,0.000000,0.000000,0.000000,3.657000
ARQ,1998-06-30,1998-08-13,1998-06-30,1998-Q2,63476000.000000,439214328.000000,2025-05-09,0.000000,110067000.000000,,76557000.000000,33510000.000000,,2.917000,-7384000.000000,28481000.000000,28481000.000000,0.000000,-2850000.000000,5.853000,0.206000,4974000.000000,0.000000,4974000.000000,4974000.000000,3920000.000000,0.000000,0.000000,0.000000,0.000000,-2850000.000000,-2850000.000000,-0.427000,-2850000.000000,-2850000.000000,-2850000.000000,-0.090000,-0.090000,-0.090000,91233000.000000,,91233000.000000,415707328.000000,-33.000000,-40.608000,-10035000.000000,-0.321000,1.000000,6679000.000000,1.000000,0.000000,0.000000,73479000.000000,,0.000000,45824000.000000,45824000.000000,0.000000,18834000.000000,13081000.000000,5753000.000000,17084000.000000,0.000000,654000.000000,-131000.000000,0.000000,523000.000000,19212000.000000,26596000.000000,-2651000.000000,0.000000,-2850000.000000,-2850000.000000,-2850000.000000,0.000000,0.000000,-0.427000,10670000.000000,-3991000.000000,9161000.000000,0.000000,4.814000,-34.748000,-33.333000,33408000.000000,0.000000,14.000000,22.360000,22.291000,0.000000,-44690000.000000,6679000.000000,6679000.000000,8645000.000000,,,,,0.000000,2025000.000000,1.000000,31372452.000000,31276000.000000,31276000.000000,0.214000,110067000.000000,0.000000,0.000000,0.000000,3.519000
ARQ,1998-09-30,1998-11-12,1998-09-30,1998-Q3,54169000.000000,423643365.000000,2025-05-09,0.000000,102599000.000000,,64537000.000000,38062000.000000,,2.756000,-5388000.000000,18312000.000000,18312000.000000,0.000000,-5042000.000000,6.225000,0.187000,4957000.000000,0.000000,4957000.000000,4957000.000000,5060000.000000,2321000.000000,0.000000,0.000000,0.000000,-5042000.000000,-2721000.000000,-0.557000,-2721000.000000,-5042000.000000,-5042000.000000,-0.160000,-0.160000,-0.160000,86425000.000000,,86425000.000000,410288365.000000,-27.000000,-39.807000,-11416000.000000,-0.364000,1.000000,4883000.000000,1.000000,0.000000,0.000000,78876000.000000,,0.000000,44552000.000000,44552000.000000,0.000000,16174000.000000,10368000.000000,5806000.000000,-10169000.000000,0.000000,-11000.000000,-14000.000000,0.000000,-25000.000000,-4116000.000000,1272000.000000,-6028000.000000,0.000000,-5042000.000000,-5042000.000000,-5042000.000000,0.000000,0.000000,-1.033000,10760000.000000,-5877000.000000,5308000.000000,0.000000,4.902000,-28.185000,-27.835000,37918000.000000,0.000000,13.500000,20.955000,20.942000,0.000000,-49732000.000000,4883000.000000,4883000.000000,8941000.000000,,,,,127000.000000,1819000.000000,1.000000,31380990.000000,31362000.000000,31362000.000000,0.156000,102599000.000000,0.000000,0.000000,0.000000,3.271000
ARQ,1998-12-31,1999-03-29,1998-12-31,1998-Q4,71784000.000000,429566018.000000,2025-05-09,-19000.000000,134496000.000000,,84540000.000000,49956000.000000,,3.624000,-13038000.000000,24916000.000000,24916000.000000,0.000000,-6315000.000000,6.627000,0.161000,5004000.000000,64000.000000,4940000.000000,5004000.000000,4359000.000000,1094000.000000,0.000000,0.000000,0.000000,-6045000.000000,-4951000.000000,-0.777000,-4951000.000000,-6045000.000000,-6315000.000000,-0.200000,-0.200000,-0.200000,115881000.000000,,115881000.000000,409654018.000000,-23.000000,-27.923000,-15418000.000000,-0.482000,1.000000,6368000.000000,1.000000,0.000000,270000.000000,101828000.000000,,0.000000,57946000.000000,57946000.000000,0.000000,18615000.000000,12756000.000000,5859000.000000,7448000.000000,0.000000,35422000.000000,-16000.000000,0.000000,35406000.000000,-25578000.000000,-12540000.000000,-2380000.000000,0.000000,-6315000.000000,-6315000.000000,-6315000.000000,0.000000,0.000000,-0.992000,13213000.000000,-6845000.000000,3678000.000000,0.000000,3.707000,-23.402000,-21.692000,49863000.000000,0.000000,12.690000,19.709000,18.305000,0.000000,-56018000.000000,6368000.000000,6368000.000000,10595000.000000,,,,,56000.000000,2618000.000000,1.000000,33850750.000000,31972000.000000,31972000.000000,0.199000,134496000.000000,0.000000,0.000000,0.000000,4.207000
ARQ,1999-03-31,1999-05-13,1999-03-31,1999-Q1,62150000.000000,444705292.000000,2025-05-09,-32000.000000,131349000.000000,,76807000.000000,54542000.000000,,3.272000,-5744000.000000,18023000.000000,18023000.000000,0.000000,-5223000.000000,5.240000,0.186000,4925000.000000,0.000000,4925000.000000,4925000.000000,3755000.000000,0.000000,0.000000,0.000000,0.000000,-5223000.000000,-5223000.000000,-0.671000,-5223000.000000,-5223000.000000,-5223000.000000,-0.155000,-0.155000,-0.155000,110778000.000000,,110778000.000000,431607292.000000,-23.000000,-27.412000,-9330000.000000,-0.276000,1.000000,7780000.000000,1.000000,0.000000,0.000000,103594000.000000,,0.000000,55553000.000000,55553000.000000,0.000000,20571000.000000,14657000.000000,5914000.000000,-6893000.000000,0.000000,71000.000000,-16000.000000,0.000000,55000.000000,-3362000.000000,2382000.000000,-3586000.000000,0.000000,-5223000.000000,-5223000.000000,-5223000.000000,0.000000,0.000000,-0.671000,13980000.000000,-6200000.000000,10902000.000000,0.000000,4.014000,-22.888000,-21.694000,54449000.000000,0.000000,13.125000,17.297000,17.285000,0.000000,-61241000.000000,7780000.000000,7780000.000000,12716000.000000,,,,,0.000000,1264000.000000,1.000000,33882308.000000,33858000.000000,33858000.000000,0.230000,131349000.000000,0.000000,0.000000,0.000000,3.879000
ARQ,1999-06-30,1999-08-16,1999-06-30,1999-Q2,56828000.000000,466022712.000000,2025-05-09,-100000.000000,126688000.000000,,72459000.000000,54229000.000000,,3.100000,-4181000.000000,14671000.000000,14671000.000000,0.000000,-6006000.000000,4.636000,0.206000,4917000.000000,0.000000,4917000.000000,4917000.000000,3163000.000000,0.000000,0.000000,0.000000,0.000000,-6006000.000000,-6006000.000000,-0.608000,-6006000.000000,-6006000.000000,-6006000.000000,-0.175000,-0.175000,-0.175000,105082000.000000,,105082000.000000,456268712.000000,-20.000000,-24.140000,-15507000.000000,-0.457000,1.000000,9877000.000000,1.000000,0.000000,0.000000,101303000.000000,,0.000000,43618000.000000,43618000.000000,0.000000,21606000.000000,15631000.000000,5975000.000000,-3352000.000000,0.000000,298000.000000,-9000.000000,0.000000,289000.000000,7685000.000000,11866000.000000,-11326000.000000,0.000000,-6006000.000000,-6006000.000000,-6006000.000000,0.000000,0.000000,-0.608000,16546000.000000,-6669000.000000,12468000.000000,0.000000,4.435000,-20.633000,-19.884000,54136000.000000,0.000000,13.720000,16.121000,16.090000,13632000.000000,-67246000.000000,9877000.000000,9877000.000000,14613000.000000,,,,,0.000000,1933000.000000,1.000000,33966670.000000,33902000.000000,33902000.000000,0.291000,126688000.000000,0.000000,0.000000,0.000000,3.737000
ARQ,1999-09-30,1999-11-12,1999-09-30,1999-Q3,48438000.000000,528144086.000000,2025-05-09,-53000.000000,121369000.000000,,64466000.000000,56903000.000000,,2.916000,-473000.000000,19284000.000000,19284000.000000,0.000000,-7045000.000000,4.022000,0.224000,4904000.000000,0.000000,4904000.000000,4904000.000000,4216000.000000,0.000000,0.000000,0.000000,0.000000,-7045000.000000,-7045000.000000,-0.663000,-7045000.000000,-7045000.000000,-7045000.000000,-0.205000,-0.205000,-0.205000,99145000.000000,,99145000.000000,513764086.000000,-21.000000,-22.121000,-919000.000000,-0.027000,1.000000,10628000.000000,1.000000,0.000000,0.000000,90961000.000000,,0.000000,39077000.000000,39077000.000000,0.000000,22224000.000000,16028000.000000,6196000.000000,4613000.000000,0.000000,965000.000000,-21000.000000,0.000000,944000.000000,4115000.000000,4588000.000000,-446000.000000,0.000000,-7045000.000000,-7045000.000000,-7045000.000000,0.000000,0.000000,-0.663000,18261000.000000,-7633000.000000,11812000.000000,0.000000,5.327000,-21.479000,-21.088000,56810000.000000,0.000000,15.500000,15.241000,15.208000,1167000.000000,-74290000.000000,10628000.000000,10628000.000000,16084000.000000,,,,,0.000000,2177000.000000,1.000000,34073812.000000,34000000.000000,34000000.000000,0.313000,121369000.000000,0.000000,0.000000,0.000000,3.570000
ARQ,1999-12-31,2000-03-10,1999-12-31,1999-Q4,122239000.000000,2491194948.000000,2025-05-09,1469000.000000,226806000.000000,,147318000.000000,79488000.000000,,2.525000,-10104000.000000,33430000.000000,33430000.000000,0.000000,-20174000.000000,5.874000,1.618000,113390000.000000,45000.000000,113345000.000000,113390000.000000,4811000.000000,6889000.000000,0.000000,0.000000,0.000000,-18099000.000000,-11210000.000000,-0.857000,-11210000.000000,-18099000.000000,-20174000.000000,-0.590000,-0.590000,-0.590000,86629000.000000,,86629000.000000,2571154948.000000,-71.000000,-87.205000,-10080000.000000,-0.294000,1.000000,13073000.000000,1.000000,0.000000,2075000.000000,281687000.000000,,0.000000,111083000.000000,104755000.000000,6328000.000000,140177000.000000,25079000.000000,115098000.000000,14146000.000000,-15288000.000000,211000.000000,104788000.000000,0.000000,104999000.000000,-90877000.000000,-65485000.000000,24000.000000,0.000000,-20174000.000000,-20174000.000000,-20174000.000000,0.000000,0.000000,-1.543000,33055000.000000,-19982000.000000,13374000.000000,0.000000,28.757000,-64.794000,-53.540000,63852000.000000,0.000000,60.500000,60.235000,49.760000,1756000.000000,-94466000.000000,13073000.000000,13073000.000000,20670000.000000,,,,,1163000.000000,2495000.000000,1.000000,41176776.000000,34304000.000000,34304000.000000,0.381000,226806000.000000,0.000000,0.000000,0.000000,6.612000
ARQ,1999-12-31,2000-03-14,1999-12-31,1999-Q4,122239000.000000,2053691703.000000,2025-05-09,1469000.000000,226806000.000000,,147318000.000000,79488000.000000,,2.525000,-10104000.000000,33430000.000000,33430000.000000,0.000000,-20174000.000000,5.874000,1.618000,113390000.000000,45000.000000,113345000.000000,113390000.000000,4811000.000000,6889000.000000,0.000000,0.000000,0.000000,-18099000.000000,-11210000.000000,-0.857000,-11210000.000000,-18099000.000000,-20174000.000000,-0.590000,-0.590000,-0.590000,86629000.000000,,86629000.000000,2133651703.000000,-59.000000,-72.366000,-10080000.000000,-0.294000,1.000000,13073000.000000,1.000000,0.000000,2075000.000000,281687000.000000,,0.000000,111083000.000000,104755000.000000,6328000.000000,140177000.000000,25079000.000000,115098000.000000,14146000.000000,-15288000.000000,211000.000000,104788000.000000,0.000000,104999000.000000,-90877000.000000,-65485000.000000,24000.000000,0.000000,-20174000.000000,-20174000.000000,-20174000.000000,0.000000,0.000000,-1.543000,33055000.000000,-19982000.000000,13374000.000000,0.000000,23.707000,-53.415000,-44.137000,63852000.000000,0.000000,49.875000,49.656000,41.021000,1756000.000000,-94466000.000000,13073000.000000,13073000.000000,20670000.000000,,,,,1163000.000000,2495000.000000,1.000000,41176776.000000,34304000.000000,34304000.000000,0.381000,226806000.000000,0.000000,0.000000,0.000000,6.612000
