dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2020-06-30,2020-06-23,2020-05-07,2020-Q1,,,2025-05-08,0.000000,96115.000000,,,,,0.008000,0.000000,0.000000,0.000000,0.000000,-1000.000000,,3.005000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,-1000.000000,-1000.000000,,-1000.000000,-1000.000000,-1000.000000,0.000000,0.000000,0.000000,24000.000000,,24000.000000,,,,0.000000,0.000000,1.000000,0.000000,,0.000000,0.000000,24000.000000,,0.000000,0.000000,,,72115.000000,72115.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1000.000000,-1000.000000,-1000.000000,0.000000,0.000000,,1000.000000,-1000.000000,0.000000,,,,,0.000000,0.000000,,,,0.000000,-1000.000000,0.000000,0.000000,0.000000,,,,,0.000000,1000.000000,1.000000,16075000.000000,3125000.000000,3125000.000000,0.000000,96115.000000,0.000000,0.000000,0.000000,0.031000
ARQ,2020-06-30,2020-08-14,2020-06-30,2020-Q2,,211693188.000000,2025-05-08,0.000000,171115.000000,,,,,0.008000,0.000000,3379.000000,3379.000000,0.000000,-1000.000000,,6.130000,80000.000000,80000.000000,0.000000,80000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1000.000000,-1000.000000,,-1000.000000,-1000.000000,-1000.000000,0.000000,0.000000,0.000000,24000.000000,,24000.000000,211769808.000000,,,0.000000,0.000000,1.000000,0.000000,,0.000000,0.000000,100621.000000,,0.000000,0.000000,,,147115.000000,147115.000000,0.000000,3379.000000,0.000000,0.000000,80000.000000,0.000000,3379.000000,0.000000,0.000000,0.000000,0.000000,-1000.000000,-1000.000000,-1000.000000,0.000000,0.000000,,1000.000000,-1000.000000,0.000000,,8820.549000,,,0.000000,0.000000,11.470000,,,0.000000,-1000.000000,0.000000,0.000000,0.000000,,,,,0.000000,1000.000000,1.000000,18456250.000000,3125000.000000,3125000.000000,0.000000,171115.000000,0.000000,0.000000,0.000000,0.055000
ARQ,2020-09-30,2020-11-16,2020-09-30,2020-Q3,771284.000000,185762156.000000,2025-05-08,0.000000,145498702.000000,,1745315.000000,143753387.000000,,0.278000,0.000000,1344680.000000,1344680.000000,0.000000,-734266.000000,1.792000,0.195000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-734266.000000,-734266.000000,,-734266.000000,-734266.000000,-734266.000000,0.000000,0.000000,0.000000,5000001.000000,,5000001.000000,184417476.000000,,,-489257.000000,-0.027000,1.000000,0.000000,,0.000000,0.000000,143179991.000000,,0.000000,143753387.000000,0.000000,143753387.000000,974031.000000,974031.000000,0.000000,1341301.000000,0.000000,145750000.000000,-80000.000000,0.000000,145580558.000000,0.000000,0.000000,-489257.000000,0.000000,-734266.000000,-734266.000000,-734266.000000,0.000000,0.000000,,737653.000000,-737653.000000,650031.000000,,37.152000,,,0.000000,0.000000,10.065000,,,0.000000,-735266.000000,0.000000,0.000000,0.000000,,,,,0.000000,737653.000000,1.000000,18456250.000000,17968750.000000,17968750.000000,0.000000,145498702.000000,0.000000,0.000000,0.000000,8.097000
ARQ,2020-12-31,2021-03-11,2020-12-31,2020-Q4,214132000.000000,3016629762.000000,2025-05-08,1557000.000000,221792000.000000,,220683000.000000,1109000.000000,,-0.189000,,29755000.000000,29755000.000000,,,33.687000,-0.128000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,,,,,,,,,,-52437000.000000,,-52437000.000000,2986874762.000000,-72.000000,-71.876000,,,1.000000,,,0.000000,,185486000.000000,,0.000000,185997000.000000,185997000.000000,143757011.000000,6708000.000000,6551000.000000,157000.000000,,,,,,,,,,,,,,,,,,,2171000.000000,,-57.529000,-46.929000,-60.261000,688000.000000,,13.860000,,,0.000000,-75955000.000000,,,,,,,,,,1.000000,217650055.000000,277529317.000000,,,221792000.000000,0.000000,,0.000000,0.799000
ARQ,2020-12-31,2021-03-29,2020-12-31,2020-Q4,214132000.000000,2139500041.000000,2025-05-08,1557000.000000,221792000.000000,,220683000.000000,1109000.000000,,-0.189000,,29755000.000000,29755000.000000,,,33.687000,-0.128000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,,,,,,,,,,-52437000.000000,,-52437000.000000,2109745041.000000,-51.000000,-50.769000,,,1.000000,,,0.000000,,185486000.000000,,0.000000,185997000.000000,185997000.000000,0.000000,6708000.000000,6551000.000000,157000.000000,,,,,,,,,,,,,,,,,,,2171000.000000,,-40.801000,-33.284000,-42.739000,688000.000000,,9.830000,,,0.000000,-75955000.000000,,,,,,,,,,1.000000,217650055.000000,277529317.000000,,,221792000.000000,0.000000,,0.000000,0.799000
ARQ,2021-03-31,2021-05-17,2021-03-31,2021-Q1,820879000.000000,2592212155.000000,2025-05-08,981000.000000,832059000.000000,,830866000.000000,1193000.000000,,4.753000,-114000.000000,638904000.000000,638904000.000000,0.000000,-20402000.000000,83.195000,0.032000,0.000000,0.000000,0.000000,0.000000,0.000000,30000.000000,0.000000,0.000000,0.000000,-20402000.000000,-20372000.000000,,-20372000.000000,-20402000.000000,-20402000.000000,-0.120000,-0.120000,-0.120000,806344000.000000,,806344000.000000,1953308155.000000,,,-14844000.000000,-0.087000,1.000000,0.000000,,0.000000,0.000000,183168000.000000,,0.000000,185809000.000000,185809000.000000,0.000000,25715000.000000,9987000.000000,15728000.000000,609149000.000000,0.000000,624964000.000000,0.000000,0.000000,624964000.000000,-1085000.000000,-971000.000000,-14730000.000000,0.000000,-20402000.000000,-20402000.000000,-20402000.000000,0.000000,0.000000,,20484000.000000,-20484000.000000,6003000.000000,0.000000,3.215000,,,772000.000000,0.000000,11.910000,,,0.000000,-96357000.000000,0.000000,0.000000,15879000.000000,,,,,1566000.000000,4605000.000000,1.000000,217650055.000000,169659037.000000,169659037.000000,0.000000,832059000.000000,0.000000,0.000000,0.000000,4.904000
ARQ,2021-06-30,2021-08-12,2021-06-30,2021-Q2,802986000.000000,1929345467.000000,2025-05-08,757000.000000,814263000.000000,,813076000.000000,1187000.000000,,3.867000,-4000.000000,449533000.000000,449533000.000000,0.000000,-19333000.000000,80.582000,0.032000,0.000000,0.000000,0.000000,0.000000,0.000000,41000.000000,0.000000,0.000000,0.000000,-19333000.000000,-19292000.000000,,-19292000.000000,-19333000.000000,-19333000.000000,-0.090000,-0.090000,-0.090000,788935000.000000,,788935000.000000,1479812467.000000,-30.000000,-30.102000,-16834000.000000,-0.083000,1.000000,0.000000,,0.000000,0.000000,354640000.000000,,0.000000,357074000.000000,357074000.000000,0.000000,25328000.000000,10090000.000000,15238000.000000,-189371000.000000,0.000000,57000.000000,0.000000,0.000000,57000.000000,-172598000.000000,-172594000.000000,-16830000.000000,0.000000,-19333000.000000,-19333000.000000,-19333000.000000,0.000000,0.000000,,20434000.000000,-20434000.000000,4497000.000000,0.000000,2.446000,-39.208000,-80.545000,766000.000000,0.000000,8.860000,,,0.000000,-115690000.000000,0.000000,0.000000,14034000.000000,,,,,2153000.000000,6400000.000000,1.000000,217759082.000000,204017000.000000,204017000.000000,0.000000,814263000.000000,0.000000,0.000000,0.000000,3.991000
ARQ,2021-09-30,2021-11-10,2021-09-30,2021-Q3,783304000.000000,1901286027.000000,2025-05-08,388000.000000,797791000.000000,,796612000.000000,1179000.000000,,3.715000,-29000.000000,344631000.000000,344631000.000000,0.000000,-21979000.000000,59.860000,0.037000,0.000000,0.000000,0.000000,0.000000,0.000000,70000.000000,0.000000,0.000000,0.000000,-21979000.000000,-21909000.000000,,-21909000.000000,-21979000.000000,-21979000.000000,-0.110000,-0.110000,-0.110000,769366000.000000,,769366000.000000,1556655027.000000,-22.000000,-22.132000,-13177000.000000,-0.064000,1.000000,0.000000,,0.000000,0.000000,439852000.000000,,0.000000,447153000.000000,447153000.000000,0.000000,28425000.000000,13308000.000000,15117000.000000,-104902000.000000,0.000000,-32000.000000,0.000000,0.000000,-32000.000000,-91722000.000000,-91693000.000000,-13148000.000000,0.000000,-21979000.000000,-21979000.000000,-21979000.000000,0.000000,0.000000,,22791000.000000,-22791000.000000,5163000.000000,0.000000,2.471000,-26.987000,-39.682000,758000.000000,0.000000,8.730000,,,0.000000,-137669000.000000,0.000000,0.000000,17122000.000000,,,,,2749000.000000,5669000.000000,1.000000,217787632.000000,207101000.000000,207101000.000000,0.000000,797791000.000000,0.000000,0.000000,0.000000,3.852000
ARQ,2021-12-31,2022-02-28,2021-12-31,2021-Q4,755148000.000000,1108439172.000000,2025-05-08,-1185000.000000,776151000.000000,,772073000.000000,4078000.000000,,3.546000,-135000.000000,132423000.000000,132423000.000000,0.000000,-25134000.000000,45.617000,0.040000,3055000.000000,863000.000000,2192000.000000,3055000.000000,0.000000,227000.000000,0.000000,0.000000,0.000000,-25134000.000000,-24907000.000000,,-24907000.000000,-25134000.000000,-25134000.000000,-0.120000,-0.120000,-0.120000,745997000.000000,,745997000.000000,979071172.000000,-11.000000,-11.321000,-23617000.000000,-0.112000,1.000000,0.000000,,0.000000,0.000000,629858000.000000,,0.000000,632969000.000000,632969000.000000,0.000000,30154000.000000,16925000.000000,13229000.000000,-212208000.000000,0.000000,538000.000000,0.000000,0.000000,538000.000000,-189264000.000000,-189129000.000000,-23482000.000000,0.000000,-25134000.000000,-25134000.000000,-25134000.000000,0.000000,0.000000,,29609000.000000,-29609000.000000,3925000.000000,0.000000,1.486000,-12.763000,-11.500000,3657000.000000,0.000000,5.060000,,,0.000000,-162803000.000000,0.000000,0.000000,22002000.000000,,,,,2800000.000000,7607000.000000,1.000000,219059125.000000,210358000.000000,210358000.000000,0.000000,776151000.000000,0.000000,0.000000,0.000000,3.690000
ARQ,2022-03-31,2022-05-09,2022-03-31,2022-Q1,726596000.000000,922728499.000000,2025-05-08,-6217000.000000,751805000.000000,,748037000.000000,3768000.000000,,3.390000,-7000.000000,106207000.000000,106207000.000000,0.000000,-21293000.000000,34.888000,0.039000,2785000.000000,697000.000000,2088000.000000,2785000.000000,0.000000,47000.000000,0.000000,0.000000,0.000000,-21293000.000000,-21246000.000000,,-21246000.000000,-21293000.000000,-21293000.000000,-0.100000,-0.100000,-0.100000,723563000.000000,,723563000.000000,819306499.000000,-9.000000,-9.379000,-24936000.000000,-0.117000,1.000000,0.000000,,0.000000,0.000000,626942000.000000,,0.000000,631496000.000000,631496000.000000,0.000000,28242000.000000,21441000.000000,6801000.000000,-26216000.000000,0.000000,314000.000000,0.000000,0.000000,4264000.000000,-5551000.000000,-5544000.000000,-24929000.000000,0.000000,-21293000.000000,-21293000.000000,-21293000.000000,0.000000,0.000000,,28192000.000000,-28192000.000000,13623000.000000,0.000000,1.275000,-10.517000,-10.071000,3347000.000000,0.000000,4.230000,,,0.000000,-184096000.000000,0.000000,0.000000,20729000.000000,,,,,3577000.000000,7463000.000000,1.000000,218139125.000000,213411000.000000,213411000.000000,0.000000,751805000.000000,0.000000,0.000000,0.000000,3.523000
