dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,1996-12-31,1997-03-21,1996-12-31,1996-Q4,2571838.000000,46839323.000000,2025-05-08,0.000000,5721952.000000,,3153105.000000,2568847.000000,,10.100000,,2481258.000000,2481258.000000,,,5.425000,0.118000,34351.000000,10744.000000,23607.000000,34351.000000,0.000000,,0.000000,0.000000,0.000000,,,,,,,,,,5117078.000000,,5117078.000000,44392416.000000,-8.000000,-8.758000,,,1.000000,,,1494880.000000,,1198898.000000,,0.000000,500820.000000,500820.000000,0.000000,604874.000000,581267.000000,23607.000000,,,,,,,,,,,,,,,,,,,373930.000000,,9.154000,-8.524000,,977911.000000,,78.800000,843.450000,718.917000,0.000000,-26796164.000000,,,,,,,,,,1.000000,594408.000000,506645.000000,,,4227072.000000,0.000000,,0.000000,8.343000
ARQ,1997-03-31,1997-05-09,1997-03-31,1997-Q1,6578523.000000,40896464.000000,2025-05-08,0.000000,9490796.000000,,6944117.000000,2546679.000000,,16.721000,-30317.000000,6841069.000000,6841069.000000,0.000000,-1209622.000000,18.994000,0.042000,31800.000000,10744.000000,21056.000000,31800.000000,0.000000,67862.000000,0.000000,0.000000,0.000000,-1209622.000000,-1141760.000000,,-1141760.000000,-1209622.000000,-1209622.000000,-2.200000,,-2.200000,9104146.000000,,9104146.000000,34087195.000000,,,-1143982.000000,-2.101000,1.000000,0.000000,,1500593.000000,0.000000,815340.000000,,0.000000,0.000000,0.000000,0.000000,386650.000000,365594.000000,21056.000000,4359811.000000,0.000000,5049780.000000,-2551.000000,0.000000,5047229.000000,426247.000000,500820.000000,-1113665.000000,0.000000,-1209622.000000,-1209622.000000,-1209622.000000,0.000000,0.000000,,1243876.000000,-1243876.000000,269217.000000,0.000000,4.492000,,,968909.000000,0.000000,68.800000,,,0.000000,-28005786.000000,0.000000,0.000000,601623.000000,,,,,146910.000000,642253.000000,1.000000,594425.000000,544477.000000,,0.000000,7990203.000000,0.000000,0.000000,0.000000,14.675000
ARQ,1997-06-30,1997-08-12,1997-06-30,1997-Q2,5585836.000000,55803998.000000,2025-05-08,0.000000,8601744.000000,,6035644.000000,2566100.000000,,13.681000,-6007.000000,5846499.000000,5846499.000000,0.000000,-1133941.000000,13.418000,0.057000,28264.000000,10744.000000,17520.000000,28264.000000,0.000000,67477.000000,0.000000,0.000000,0.000000,-1133941.000000,-1066464.000000,-7.122000,-1066464.000000,-1133941.000000,-1133941.000000,-2.000000,,-2.000000,8134416.000000,,8134416.000000,49985763.000000,,,-939943.000000,-1.581000,1.000000,149733.000000,1.000000,1552941.000000,0.000000,780760.000000,,0.000000,0.000000,0.000000,0.000000,467328.000000,449808.000000,17520.000000,-994570.000000,0.000000,19800.000000,-3536.000000,0.000000,16264.000000,-76898.000000,0.000000,-933936.000000,0.000000,-1133941.000000,-1133941.000000,-1133941.000000,0.000000,0.000000,-7.573000,1362400.000000,-1212667.000000,349916.000000,0.000000,6.860000,,,935982.000000,0.000000,93.800000,,,92653.000000,-29139727.000000,149733.000000,149733.000000,760833.000000,,,,,144411.000000,601567.000000,1.000000,594925.000000,594575.000000,,0.252000,7048803.000000,0.000000,0.000000,0.000000,11.855000
ARQ,1997-09-30,1997-11-14,1997-09-30,1997-Q3,4684343.000000,53830742.000000,2025-05-08,0.000000,7406414.000000,,4906116.000000,2500298.000000,,12.049000,-6253.000000,4844024.000000,4844024.000000,0.000000,-1138916.000000,22.122000,0.033000,26057.000000,10744.000000,15313.000000,26057.000000,0.000000,70895.000000,0.000000,0.000000,0.000000,-1138916.000000,-1068021.000000,-13.360000,-1068021.000000,-1138916.000000,-1138916.000000,-2.000000,,-2.000000,7169328.000000,,7169328.000000,49012774.000000,,,-1033299.000000,-1.737000,1.000000,79944.000000,1.000000,1517754.000000,0.000000,848920.000000,,0.000000,0.000000,0.000000,0.000000,237086.000000,221773.000000,15313.000000,-1002475.000000,0.000000,29420.000000,-2207.000000,0.000000,27213.000000,-2642.000000,0.000000,-1027046.000000,0.000000,-1138916.000000,-1138916.000000,-1138916.000000,0.000000,0.000000,-14.246000,1284567.000000,-1204623.000000,138246.000000,0.000000,7.508000,,,902916.000000,0.000000,90.000000,,,11382.000000,-30278645.000000,79944.000000,79944.000000,670669.000000,,,,,144410.000000,613898.000000,1.000000,598119.000000,595026.000000,,0.134000,5888660.000000,0.000000,0.000000,0.000000,9.896000
ARQ,1997-12-31,1998-03-31,1997-12-31,1997-Q4,4014406.000000,48965399.000000,2025-05-08,0.000000,6823271.000000,,4303044.000000,2520227.000000,,10.875000,-2938.000000,3847107.000000,3847107.000000,0.000000,-1064136.000000,14.908000,0.046000,23607.000000,10744.000000,12863.000000,23607.000000,0.000000,47357.000000,0.000000,0.000000,0.000000,-1064136.000000,-1016779.000000,-3.506000,-1016779.000000,-1064136.000000,-1064136.000000,-1.800000,,-1.800000,6521770.000000,,6521770.000000,45141899.000000,-10.000000,-10.515000,-1173024.000000,-1.956000,1.000000,290036.000000,1.000000,1573454.000000,0.000000,1137679.000000,,0.000000,0.000000,0.000000,0.000000,301501.000000,288638.000000,12863.000000,-996917.000000,0.000000,264935.000000,-2450.000000,0.000000,262485.000000,-89316.000000,0.000000,-1170086.000000,0.000000,-1064136.000000,-1064136.000000,-1064136.000000,0.000000,0.000000,-3.669000,1420450.000000,-1130414.000000,237884.000000,0.000000,7.508000,-10.770000,-10.410000,889175.000000,0.000000,81.200000,94.216000,91.146000,217150.000000,-31342780.000000,290036.000000,290036.000000,841003.000000,,,,,151642.000000,579447.000000,1.000000,603022.000000,599696.000000,,0.484000,5249817.000000,0.000000,0.000000,0.000000,8.754000
ARQ,1997-12-31,1998-04-06,1997-12-31,1997-Q4,4014406.000000,48241772.000000,2025-05-08,0.000000,6823271.000000,,4303044.000000,2520227.000000,,10.875000,-2938.000000,3847107.000000,3847107.000000,0.000000,-1064136.000000,14.908000,0.046000,23607.000000,10744.000000,12863.000000,23607.000000,0.000000,47357.000000,0.000000,0.000000,0.000000,-1064136.000000,-1016779.000000,-3.506000,-1016779.000000,-1064136.000000,-1064136.000000,-1.800000,,-1.800000,6521770.000000,,6521770.000000,44418272.000000,-10.000000,-10.347000,-1173024.000000,-1.956000,1.000000,290036.000000,1.000000,1573454.000000,0.000000,1137679.000000,,0.000000,0.000000,0.000000,0.000000,301501.000000,288638.000000,12863.000000,-996917.000000,0.000000,264935.000000,-2450.000000,0.000000,262485.000000,-89316.000000,0.000000,-1170086.000000,0.000000,-1064136.000000,-1064136.000000,-1064136.000000,0.000000,0.000000,-3.669000,1420450.000000,-1130414.000000,237884.000000,0.000000,7.397000,-10.610000,-10.256000,889175.000000,0.000000,80.000000,92.824000,89.799000,217150.000000,-31342780.000000,290036.000000,290036.000000,841003.000000,,,,,151642.000000,579447.000000,1.000000,603022.000000,599696.000000,,0.484000,5249817.000000,0.000000,0.000000,0.000000,8.754000
ARQ,1998-03-31,1998-05-13,1998-03-31,1998-Q1,9272134.000000,54321620.000000,2025-05-08,0.000000,12118733.000000,,9544792.000000,2573941.000000,,19.624000,-83807.000000,9188116.000000,9188116.000000,0.000000,-833599.000000,35.006000,0.026000,67860.000000,32229.000000,35631.000000,67860.000000,0.000000,66925.000000,0.000000,0.000000,0.000000,-833599.000000,-766674.000000,-3.746000,-766674.000000,-833599.000000,-833599.000000,-2.200000,-2.200000,-2.200000,11810444.000000,,11810444.000000,45201364.000000,-11.000000,-11.537000,-745472.000000,-1.239000,1.000000,204664.000000,1.000000,1568340.000000,0.000000,1157479.000000,,0.000000,0.000000,0.000000,0.000000,308289.000000,272658.000000,35631.000000,5341009.000000,0.000000,122100.000000,-6092.000000,0.000000,6113607.000000,-110933.000000,0.000000,-661665.000000,0.000000,-833599.000000,-1288647.000000,-1288647.000000,0.000000,0.000000,-6.296000,1131300.000000,-926636.000000,168333.000000,0.000000,4.599000,-11.744000,-11.250000,988642.000000,455048.000000,90.000000,74.991000,74.774000,176679.000000,-32176379.000000,204664.000000,204664.000000,594379.000000,,,,,2574.000000,536921.000000,1.000000,603574.000000,601828.000000,601828.000000,0.340000,10550393.000000,0.000000,0.000000,0.000000,17.531000
ARQ,1998-06-30,1998-08-13,1998-06-30,1998-Q2,8254888.000000,26121300.000000,2025-05-08,0.000000,11104600.000000,,8521465.000000,2583135.000000,,17.875000,-38850.000000,8344316.000000,8344316.000000,0.000000,-1158839.000000,31.966000,0.027000,58554.000000,32230.000000,26324.000000,58554.000000,0.000000,65463.000000,0.000000,0.000000,0.000000,-1158839.000000,-1093376.000000,-9.107000,-1093376.000000,-1158839.000000,-1158839.000000,-2.000000,-2.000000,-2.000000,10811699.000000,,10811699.000000,17835538.000000,-4.000000,-4.521000,-947104.000000,-1.566000,1.000000,120055.000000,1.000000,1572434.000000,0.000000,979827.000000,,0.000000,0.000000,0.000000,0.000000,292901.000000,266577.000000,26324.000000,-843800.000000,0.000000,148416.000000,-9306.000000,0.000000,139110.000000,-74656.000000,0.000000,-908254.000000,0.000000,-1158839.000000,-1158839.000000,-1158839.000000,0.000000,0.000000,-9.653000,1398014.000000,-1277959.000000,150484.000000,0.000000,2.416000,-5.617000,-5.300000,993741.000000,0.000000,42.400000,37.601000,36.916000,69949.000000,-33335218.000000,120055.000000,120055.000000,673619.000000,,,,,12810.000000,724395.000000,1.000000,616068.000000,604844.000000,604844.000000,0.198000,9532166.000000,0.000000,0.000000,0.000000,15.760000
ARQ,1998-09-30,1998-11-16,1998-09-30,1998-Q3,7159912.000000,38952998.000000,2025-05-08,0.000000,9983378.000000,,7371971.000000,2611407.000000,,15.812000,-75759.000000,7217107.000000,7217107.000000,0.000000,-1180558.000000,34.764000,0.024000,49509.000000,32230.000000,17279.000000,49509.000000,0.000000,65979.000000,0.000000,0.000000,0.000000,-1180558.000000,-1114579.000000,-5.610000,-1114579.000000,-1180558.000000,-1180558.000000,-2.000000,-2.000000,-2.000000,9754040.000000,,9754040.000000,31785400.000000,-8.000000,-7.963000,-1214184.000000,-1.968000,1.000000,198692.000000,1.000000,1559464.000000,0.000000,1044257.000000,,0.000000,0.000000,0.000000,0.000000,229338.000000,212059.000000,17279.000000,-1127209.000000,0.000000,114512.000000,-9045.000000,0.000000,105467.000000,-94251.000000,0.000000,-1138425.000000,0.000000,-1180558.000000,-1180558.000000,-1180558.000000,0.000000,0.000000,-5.942000,1484477.000000,-1285785.000000,137651.000000,0.000000,3.994000,-8.302000,-7.350000,1034983.000000,0.000000,58.800000,47.886000,44.590000,118504.000000,-34515774.000000,198692.000000,198692.000000,856530.000000,,,,,7503.000000,627947.000000,1.000000,662466.000000,616868.000000,616868.000000,0.322000,8423914.000000,0.000000,0.000000,0.000000,13.656000
ARQ,1998-12-31,1999-04-15,1998-12-31,1998-Q4,349000.000000,51422102.000000,2025-05-08,0.000000,3819000.000000,,1207000.000000,2612000.000000,,4.472000,-32584.000000,1031000.000000,1031000.000000,0.000000,-1644006.000000,1.407000,0.290000,36000.000000,36000.000000,0.000000,36000.000000,0.000000,82633.000000,0.000000,0.000000,0.000000,-1644006.000000,-1561373.000000,-9.908000,-1561373.000000,-1644006.000000,-1644006.000000,-5.400000,-5.400000,-5.400000,2961000.000000,,2961000.000000,50427102.000000,-10.000000,-11.117000,-948240.000000,-1.432000,1.000000,157589.000000,1.000000,1590000.000000,0.000000,376000.000000,,0.000000,0.000000,0.000000,0.000000,858000.000000,858000.000000,0.000000,-6186000.000000,0.000000,-3028.000000,-13557.000000,0.000000,-5173184.000000,-97160.000000,0.000000,-915656.000000,0.000000,-1644006.000000,-3416958.000000,-3416958.000000,0.000000,0.000000,-21.683000,1819209.000000,-1661620.000000,793000.000000,0.000000,17.366000,-7.299000,-6.807000,1020000.000000,1772952.000000,77.600000,75.510000,70.811000,138000.000000,-38388000.000000,157589.000000,157589.000000,1236472.000000,,,,,9113.000000,582737.000000,1.000000,662656.000000,662116.000000,662116.000000,0.238000,2229000.000000,0.000000,0.000000,0.000000,3.366000
