dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,1998-09-30,1999-01-20,1998-10-25,1999-Q3,10559000.000000,,2025-04-21,0.000000,76502000.000000,,66735000.000000,9767000.000000,,0.001000,,12461000.000000,12461000.000000,,,1.188000,3.182000,8875000.000000,6843000.000000,2032000.000000,8875000.000000,0.000000,,0.000000,,0.000000,,,,,,,,,,18294000.000000,,18294000.000000,,,,,,1.000000,,,0.000000,,16740000.000000,,17193000.000000,0.000000,0.000000,0.000000,58208000.000000,56176000.000000,2032000.000000,,,,,,,,,,,,,,,,,,,46370000.000000,,,,,9218000.000000,,,,,35918000.000000,-17074000.000000,,,,,,,,,,1.000000,13726068480.000000,13726068480.000000,,,76502000.000000,0.000000,,0.000000,0.006000
ARQ,1998-12-31,1999-04-29,1999-01-31,1999-Q4,53984000.000000,527561712.000000,2025-04-21,0.000000,113332000.000000,,101112000.000000,12220000.000000,,0.008000,-3594000.000000,50257000.000000,50257000.000000,42346000.000000,7662000.000000,2.145000,0.765000,8381000.000000,6386000.000000,1995000.000000,8381000.000000,0.000000,1210000.000000,0.000000,0.000000,0.000000,8416000.000000,9626000.000000,0.147000,9626000.000000,8416000.000000,8327000.000000,0.001000,0.001000,0.001000,64209000.000000,,64209000.000000,485685712.000000,108.000000,56.992000,431000.000000,0.000000,1.000000,23191000.000000,0.354000,0.000000,89000.000000,24328000.000000,,28623000.000000,0.000000,0.000000,0.000000,49123000.000000,47128000.000000,1995000.000000,37796000.000000,0.000000,37862000.000000,-542000.000000,0.000000,37365000.000000,-3594000.000000,0.000000,4025000.000000,0.000000,7662000.000000,7662000.000000,7662000.000000,0.000000,0.000000,0.117000,14775000.000000,8416000.000000,35730000.000000,0.000000,8.216000,127.739000,37.500000,11650000.000000,0.000000,0.037000,3.334000,1.657000,20633000.000000,-9412000.000000,65537000.000000,65537000.000000,8417000.000000,,,,,346000.000000,6358000.000000,1.000000,14068312320.000000,7585920000.000000,13148640000.000000,0.009000,113332000.000000,0.000000,665000.000000,0.000000,0.015000
ARQ,1999-03-31,1999-06-15,1999-05-02,2000-Q1,64719000.000000,500271529.000000,2025-04-21,0.000000,126656000.000000,,103375000.000000,23281000.000000,,0.005000,-2483000.000000,51823000.000000,51823000.000000,45946000.000000,6261000.000000,2.674000,0.651000,3156000.000000,1858000.000000,1298000.000000,3156000.000000,0.000000,1458000.000000,0.000000,0.000000,0.000000,9345000.000000,10803000.000000,0.152000,10803000.000000,9345000.000000,9345000.000000,0.000000,0.000000,0.000000,76702000.000000,,76702000.000000,451604529.000000,,,877000.000000,0.000000,1.000000,25072000.000000,0.353000,0.000000,0.000000,39333000.000000,,15193000.000000,0.000000,0.000000,0.000000,49954000.000000,38656000.000000,11298000.000000,1566000.000000,0.000000,5930000.000000,-5241000.000000,0.000000,689000.000000,-2483000.000000,0.000000,3360000.000000,0.000000,6261000.000000,6261000.000000,6261000.000000,0.000000,0.000000,0.088000,16069000.000000,9003000.000000,37509000.000000,,6.522000,,,22691000.000000,0.000000,0.035000,,,34199000.000000,-3151000.000000,71018000.000000,71018000.000000,8785000.000000,,,,,302000.000000,7284000.000000,1.000000,14125313760.000000,14052960000.000000,17017920000.000000,0.005000,126656000.000000,0.000000,3084000.000000,0.000000,0.009000
ARQ,1999-06-30,1999-09-10,1999-08-01,2000-Q2,63126000.000000,783290445.000000,2025-04-21,0.000000,134403000.000000,,108123000.000000,26280000.000000,,0.006000,-2233000.000000,46757000.000000,46757000.000000,49625000.000000,6686000.000000,2.403000,0.630000,2708000.000000,1766000.000000,942000.000000,2708000.000000,0.000000,2182000.000000,0.000000,0.000000,0.000000,9832000.000000,12014000.000000,0.154000,12014000.000000,9832000.000000,9832000.000000,0.000000,0.000000,0.000000,82464000.000000,,82464000.000000,739241445.000000,,,-5488000.000000,0.000000,1.000000,28392000.000000,0.364000,0.000000,0.000000,45357000.000000,,8441000.000000,0.000000,0.000000,0.000000,51939000.000000,44997000.000000,6942000.000000,-5066000.000000,0.000000,870000.000000,-448000.000000,0.000000,422000.000000,-2233000.000000,0.000000,-3255000.000000,0.000000,6686000.000000,6686000.000000,6686000.000000,0.000000,0.000000,0.086000,18929000.000000,9463000.000000,40779000.000000,,9.499000,,,22742000.000000,0.000000,0.055000,,,50179000.000000,3535000.000000,78017000.000000,78017000.000000,10813000.000000,,,,,653000.000000,8116000.000000,1.000000,14187902400.000000,14085120000.000000,17018400000.000000,0.006000,134403000.000000,0.000000,3146000.000000,0.000000,0.010000
ARQ,1999-09-30,1999-12-10,1999-10-31,2000-Q3,75328000.000000,1165418004.000000,2025-04-21,0.000000,157553000.000000,,127562000.000000,29991000.000000,,0.007000,-5233000.000000,55200000.000000,55200000.000000,60195000.000000,10564000.000000,2.442000,0.601000,3185000.000000,2016000.000000,1169000.000000,3185000.000000,0.000000,2503000.000000,0.000000,0.000000,0.000000,15537000.000000,18040000.000000,0.186000,18040000.000000,15537000.000000,15537000.000000,0.001000,0.001000,0.001000,98400000.000000,,98400000.000000,1113403004.000000,26.000000,22.055000,5230000.000000,0.000000,1.000000,36820000.000000,0.380000,0.000000,0.000000,53304000.000000,,11734000.000000,0.000000,0.000000,0.000000,59153000.000000,52234000.000000,6919000.000000,8443000.000000,0.000000,3889000.000000,-676000.000000,0.000000,3213000.000000,-5233000.000000,0.000000,10463000.000000,0.000000,10564000.000000,10564000.000000,10564000.000000,0.000000,0.000000,0.109000,21713000.000000,15107000.000000,48777000.000000,0.000000,11.844000,37.385000,26.347000,26624000.000000,0.000000,0.079000,3.740000,3.655000,56419000.000000,14099000.000000,97015000.000000,97015000.000000,12420000.000000,,,,,1480000.000000,9293000.000000,1.000000,14744350080.000000,14407200000.000000,17246880000.000000,0.007000,157553000.000000,0.000000,4973000.000000,0.000000,0.011000
ARQ,1999-12-31,2000-03-13,2000-01-30,2000-Q4,96950000.000000,4657350943.000000,2025-04-21,0.000000,202250000.000000,,173175000.000000,29075000.000000,,0.008000,-1640000.000000,61560000.000000,61560000.000000,79809000.000000,14587000.000000,2.272000,0.624000,2748000.000000,1786000.000000,962000.000000,2748000.000000,0.000000,2863000.000000,0.000000,0.000000,0.000000,19698000.000000,22561000.000000,0.176000,22561000.000000,19698000.000000,21452000.000000,0.001000,0.001000,0.001000,124563000.000000,,124563000.000000,4598538943.000000,85.000000,72.512000,3663000.000000,0.000000,1.000000,48646000.000000,0.379000,0.000000,-1754000.000000,67213000.000000,,37631000.000000,0.000000,0.000000,0.000000,77687000.000000,76225000.000000,1462000.000000,6360000.000000,0.000000,-4948000.000000,-532000.000000,0.000000,2697000.000000,-1640000.000000,0.000000,5303000.000000,0.000000,14587000.000000,14587000.000000,14587000.000000,0.000000,0.000000,0.114000,27807000.000000,20839000.000000,65410000.000000,0.000000,37.390000,122.247000,103.681000,25886000.000000,0.000000,0.311000,12.436000,11.909000,67224000.000000,28686000.000000,128455000.000000,128455000.000000,15421000.000000,,,,,8840000.000000,12386000.000000,1.000000,14973398880.000000,14809440000.000000,18025440000.000000,0.009000,202250000.000000,0.000000,6865000.000000,0.000000,0.014000
ARQ,2000-03-31,2000-06-14,2000-04-30,2001-Q1,328828000.000000,4085743640.000000,2025-04-21,0.000000,447791000.000000,,413226000.000000,34565000.000000,,0.011000,-7451000.000000,269800000.000000,269800000.000000,92975000.000000,18287000.000000,4.896000,1.757000,2247000.000000,1550000.000000,697000.000000,2247000.000000,200000000.000000,3048000.000000,0.000000,0.000000,0.000000,26892000.000000,29940000.000000,0.202000,29940000.000000,26892000.000000,26892000.000000,0.001000,0.001000,0.001000,162446000.000000,,162446000.000000,3818190640.000000,53.000000,46.250000,3175000.000000,0.000000,1.000000,55508000.000000,0.374000,0.000000,0.000000,95840000.000000,,55241000.000000,0.000000,0.000000,0.000000,285345000.000000,84398000.000000,200947000.000000,208240000.000000,0.000000,0.000000,-501000.000000,0.000000,205065000.000000,-7451000.000000,0.000000,10626000.000000,0.000000,18287000.000000,18287000.000000,18287000.000000,0.000000,0.000000,0.123000,29944000.000000,25564000.000000,68777000.000000,0.000000,25.151000,81.513000,88.056000,30443000.000000,0.000000,0.264000,9.040000,8.888000,71998000.000000,46973000.000000,148483000.000000,148483000.000000,17830000.000000,,,,,14030000.000000,12114000.000000,1.000000,15466537440.000000,15206400000.000000,18666720000.000000,0.010000,447791000.000000,0.000000,8605000.000000,0.000000,0.029000
ARQ,2000-06-30,2000-09-13,2000-07-30,2001-Q2,366515000.000000,4583738648.000000,2025-04-21,0.000000,507183000.000000,,466936000.000000,40247000.000000,,0.013000,-7609000.000000,289205000.000000,289205000.000000,106631000.000000,22522000.000000,4.650000,1.461000,1776000.000000,1104000.000000,672000.000000,1776000.000000,200000000.000000,3311000.000000,0.000000,0.000000,0.000000,33121000.000000,36432000.000000,0.214000,36432000.000000,33121000.000000,33121000.000000,0.001000,0.001000,0.001000,206090000.000000,,206090000.000000,4296309648.000000,45.000000,40.163000,16458000.000000,0.001000,1.000000,63767000.000000,0.374000,0.000000,0.000000,119333000.000000,,68135000.000000,0.000000,0.000000,0.000000,301093000.000000,100421000.000000,200672000.000000,19405000.000000,0.000000,0.000000,-471000.000000,0.000000,2947000.000000,-7609000.000000,0.000000,24067000.000000,0.000000,22522000.000000,22522000.000000,22522000.000000,0.000000,0.000000,0.132000,34744000.000000,29023000.000000,75887000.000000,0.000000,22.241000,69.493000,72.948000,34908000.000000,0.000000,0.292000,8.421000,8.313000,85092000.000000,69495000.000000,170398000.000000,170398000.000000,20141000.000000,,,,,16380000.000000,14603000.000000,1.000000,15708942960.000000,15508080000.000000,19076880000.000000,0.011000,507183000.000000,0.000000,10599000.000000,0.000000,0.033000
ARQ,2000-09-30,2000-12-08,2000-10-29,2001-Q3,804511000.000000,3377506655.000000,2025-04-21,0.000000,983346000.000000,,925740000.000000,57606000.000000,,0.023000,-6534000.000000,694883000.000000,694883000.000000,124643000.000000,28068000.000000,7.636000,1.720000,301329000.000000,685000.000000,300644000.000000,301329000.000000,200000000.000000,4362000.000000,0.000000,0.000000,0.000000,41277000.000000,45639000.000000,0.230000,45639000.000000,41277000.000000,41277000.000000,0.002000,0.001000,0.002000,361473000.000000,,361473000.000000,2983952655.000000,25.000000,22.174000,11147000.000000,0.001000,1.000000,73522000.000000,0.371000,0.000000,0.000000,468563000.000000,,93192000.000000,0.000000,0.000000,0.000000,621873000.000000,121229000.000000,500644000.000000,405678000.000000,0.000000,113124000.000000,290391000.000000,0.000000,394531000.000000,-6534000.000000,0.000000,17681000.000000,0.000000,28068000.000000,28068000.000000,28068000.000000,0.000000,0.000000,0.142000,36875000.000000,36647000.000000,86716000.000000,0.000000,9.344000,40.467000,41.458000,37425000.000000,0.000000,0.207000,5.232000,5.087000,104352000.000000,97563000.000000,198165000.000000,198165000.000000,22023000.000000,,,,,23117000.000000,14852000.000000,1.000000,16293499440.000000,15840720000.000000,19304400000.000000,0.013000,983346000.000000,0.000000,13209000.000000,0.000000,0.062000
ARQ,2000-12-31,2001-04-27,2001-01-28,2001-Q4,820074000.000000,5523784833.000000,2025-04-21,0.000000,1016427000.000000,,930409000.000000,86018000.000000,,0.025000,-14735000.000000,698775000.000000,698775000.000000,135849000.000000,31060000.000000,8.433000,1.505000,300966000.000000,588000.000000,300378000.000000,300966000.000000,200000000.000000,4966000.000000,0.000000,0.000000,0.000000,50526000.000000,55492000.000000,0.254000,55492000.000000,50526000.000000,45674000.000000,0.002000,0.002000,0.002000,405714000.000000,,405714000.000000,5125975833.000000,34.000000,30.602000,800000.000000,0.000000,1.000000,82369000.000000,0.377000,0.000000,4852000.000000,508283000.000000,,89905000.000000,0.000000,0.000000,0.000000,610713000.000000,110335000.000000,500378000.000000,-20608000.000000,0.000000,-16455000.000000,-363000.000000,0.000000,3092000.000000,-39235000.000000,0.000000,15535000.000000,0.000000,31060000.000000,31060000.000000,31060000.000000,0.000000,0.000000,0.142000,43312000.000000,39057000.000000,76535000.000000,0.000000,13.615000,55.273000,54.861000,47280000.000000,0.000000,0.329000,7.513000,7.038000,104988000.000000,128623000.000000,218218000.000000,218218000.000000,26444000.000000,,,,,9784000.000000,16868000.000000,1.000000,16781118480.000000,16323840000.000000,19412640000.000000,0.013000,1016427000.000000,0.000000,14614000.000000,0.000000,0.062000
