dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,1996-09-30,1997-01-29,1996-10-31,1996-Q4,14376919.000000,493111554.000000,2025-03-10,0.000000,31127202.000000,,21883335.000000,9243867.000000,,3.251000,,1677739.000000,1677739.000000,,,2.915000,0.321000,1103000.000000,1103000.000000,0.000000,1103000.000000,0.000000,,0.000000,0.000000,0.000000,,,,,,,,,,23571559.000000,,23571559.000000,492536815.000000,41.000000,39.182000,,,1.000000,,,0.000000,,23046047.000000,,10261437.000000,0.000000,0.000000,0.000000,7555643.000000,7506416.000000,49227.000000,,,,,,,,,,,,,,,,,,,5488765.000000,,20.920000,53.480000,,9175871.000000,,68.000000,10.921000,10.921000,9723992.000000,4977443.000000,,,,,,,,,,1.000000,7251640.000000,7251640.000000,,,31127202.000000,155304.000000,,287153.000000,4.292000
ARQ,1996-12-31,1997-03-17,1997-01-31,1997-Q1,15068302.000000,502780408.000000,2025-03-10,0.000000,30075053.000000,,19447675.000000,10627378.000000,,3.537000,-2147441.000000,303307.000000,303307.000000,7139646.000000,2080361.000000,4.441000,0.172000,720000.000000,720000.000000,0.000000,720000.000000,0.000000,172975.000000,0.000000,0.000000,0.000000,3214071.000000,3387046.000000,0.271000,3387046.000000,3214071.000000,3203870.000000,0.267000,0.267000,0.267000,25651920.000000,,25651920.000000,503197101.000000,,,-991432.000000,-0.137000,1.000000,5351665.000000,0.428000,0.000000,10201.000000,26112373.000000,,9530041.000000,0.000000,0.000000,0.000000,4423133.000000,4379373.000000,43760.000000,-1374432.000000,0.000000,0.000000,-383000.000000,0.000000,-383000.000000,-2147441.000000,0.000000,1156009.000000,0.000000,2080361.000000,2080361.000000,2080361.000000,0.000000,0.000000,0.167000,2138576.000000,3213089.000000,1792875.000000,0.000000,19.600000,,,10563633.000000,0.000000,69.333000,,,9323216.000000,7057804.000000,12491311.000000,12491311.000000,0.000000,,,,,0.000000,2138576.000000,1.000000,7251640.000000,7251640.000000,7251640.000000,1.723000,30075053.000000,168349.000000,1123509.000000,1308707.000000,4.147000
ARQ,1997-03-31,1997-06-13,1997-04-30,1997-Q2,15423953.000000,362775402.000000,2025-03-10,0.000000,30945672.000000,,19361422.000000,11584250.000000,,3.718000,-832901.000000,349130.000000,349130.000000,6352983.000000,1312523.000000,4.917000,0.148000,359000.000000,359000.000000,0.000000,359000.000000,0.000000,173673.000000,0.000000,0.000000,0.000000,2036703.000000,2210376.000000,0.208000,2210376.000000,2036703.000000,2035806.000000,0.181000,0.181000,0.181000,26964443.000000,,26964443.000000,362785272.000000,,,406823.000000,0.056000,1.000000,4292588.000000,0.403000,0.000000,897.000000,27018073.000000,,10257219.000000,0.000000,0.000000,0.000000,3981229.000000,3937469.000000,43760.000000,45823.000000,0.000000,0.000000,-361000.000000,0.000000,-361000.000000,-832901.000000,0.000000,1239724.000000,0.000000,1312523.000000,1312523.000000,1312523.000000,0.000000,0.000000,0.123000,2258486.000000,2034102.000000,2992401.000000,0.000000,13.454000,,,11524756.000000,0.000000,50.027000,,,8321643.000000,8370327.000000,10645571.000000,10645571.000000,0.000000,,,,,0.000000,2258486.000000,1.000000,7251640.000000,7251640.000000,7251640.000000,1.468000,30945672.000000,245865.000000,723283.000000,43760.000000,4.267000
ARQ,1997-06-30,1997-09-03,1997-07-31,1997-Q3,17505145.000000,565434582.000000,2025-03-10,0.000000,35034899.000000,,23515158.000000,11519741.000000,,3.996000,-447116.000000,335554.000000,335554.000000,8669025.000000,2016683.000000,3.913000,0.209000,921000.000000,921000.000000,0.000000,921000.000000,0.000000,185552.000000,0.000000,0.000000,0.000000,3103923.000000,3289475.000000,0.230000,3289475.000000,3103923.000000,3102845.000000,0.277000,0.277000,0.277000,28981126.000000,,28981126.000000,566020028.000000,,,-575576.000000,-0.079000,1.000000,5616809.000000,0.393000,0.000000,1078.000000,29610332.000000,,12131240.000000,0.000000,0.000000,0.000000,6053773.000000,6010013.000000,43760.000000,-13576.000000,0.000000,0.000000,562000.000000,0.000000,562000.000000,-447116.000000,0.000000,-128460.000000,0.000000,2016683.000000,2016683.000000,2016683.000000,0.000000,0.000000,0.141000,2516972.000000,3099837.000000,4062903.000000,0.000000,19.510000,,,11464498.000000,0.000000,77.973000,,,10750459.000000,10387010.000000,14285834.000000,14285834.000000,0.000000,,,,,0.000000,2516972.000000,1.000000,7251640.000000,7251640.000000,7251640.000000,1.970000,35034899.000000,168349.000000,1086162.000000,465406.000000,4.831000
ARQ,1997-09-30,1998-01-29,1997-10-31,1997-Q4,19911701.000000,453071634.000000,2025-03-10,0.000000,35214078.000000,,23682692.000000,11531386.000000,,4.327000,-201269.000000,985807.000000,985807.000000,8451036.000000,2397579.000000,6.280000,0.122000,0.000000,0.000000,0.000000,0.000000,0.000000,173876.000000,0.000000,0.000000,0.000000,3620173.000000,3794049.000000,0.257000,3794049.000000,3620173.000000,3614419.000000,0.331000,0.331000,0.331000,31378705.000000,,31378705.000000,452085827.000000,38.000000,35.651000,1571253.000000,0.217000,1.000000,6315098.000000,0.428000,0.000000,5754.000000,30457280.000000,,12019443.000000,0.000000,0.000000,0.000000,3835373.000000,3770991.000000,64382.000000,650253.000000,0.000000,0.000000,-921000.000000,0.000000,-921000.000000,-201269.000000,0.000000,1772522.000000,0.000000,2397579.000000,2397579.000000,2397579.000000,0.000000,0.000000,0.162000,2658027.000000,3657071.000000,2593256.000000,0.000000,14.439000,58.033000,58.186000,11480433.000000,0.000000,62.667000,8.681000,8.708000,10474912.000000,12784589.000000,14766134.000000,14766134.000000,0.000000,,,,,0.000000,2658027.000000,1.000000,7229866.000000,7251640.000000,7251640.000000,2.036000,35214078.000000,81484.000000,1216840.000000,629381.000000,4.856000
ARQ,1997-12-31,1998-03-17,1998-01-31,1998-Q1,20126730.000000,383646120.000000,2025-03-10,0.000000,35862843.000000,,24400718.000000,11462125.000000,,4.379000,-334309.000000,2489726.000000,2489726.000000,6804207.000000,1822972.000000,5.709000,0.138000,0.000000,0.000000,0.000000,0.000000,0.000000,187385.000000,0.000000,0.000000,0.000000,2808872.000000,2996257.000000,0.252000,2996257.000000,2808872.000000,2808872.000000,0.251000,0.251000,0.251000,31500490.000000,,31500490.000000,381156394.000000,33.000000,31.013000,3205106.000000,0.446000,1.000000,5068908.000000,0.427000,0.000000,0.000000,29099129.000000,,12353867.000000,0.000000,0.000000,0.000000,4362353.000000,4273988.000000,88365.000000,1503919.000000,0.000000,-1701187.000000,0.000000,0.000000,-1701187.000000,-334309.000000,0.000000,3539415.000000,0.000000,1822972.000000,1822972.000000,1822972.000000,0.000000,0.000000,0.154000,2283226.000000,2785682.000000,2683708.000000,0.000000,12.179000,50.816000,51.282000,11415423.000000,0.000000,53.333000,7.439000,7.439000,9297054.000000,14607561.000000,11873115.000000,11873115.000000,0.000000,,,,,0.000000,2283226.000000,1.000000,7193365.000000,7193365.000000,,1.651000,35862843.000000,136822.000000,985900.000000,1069619.000000,4.986000
ARQ,1998-03-31,1998-06-12,1998-04-30,1998-Q2,18852953.000000,386710864.000000,2025-03-10,0.000000,34140327.000000,,22772755.000000,11367572.000000,,4.204000,-120268.000000,517642.000000,517642.000000,6612485.000000,1712448.000000,5.810000,0.134000,0.000000,0.000000,0.000000,0.000000,0.000000,187385.000000,0.000000,0.000000,0.000000,2646637.000000,2834022.000000,0.242000,2834022.000000,2646637.000000,2646442.000000,0.240000,0.235000,0.240000,30118050.000000,,30118050.000000,386193222.000000,32.000000,29.905000,1122804.000000,0.157000,1.000000,5076615.000000,0.434000,0.000000,195.000000,29702883.000000,,13274436.000000,0.000000,0.000000,0.000000,4022277.000000,3919802.000000,102475.000000,-1972084.000000,0.000000,-3094888.000000,0.000000,0.000000,-3094888.000000,-120268.000000,0.000000,1243072.000000,0.000000,1712448.000000,1712448.000000,1712448.000000,0.000000,0.000000,0.146000,2444208.000000,2632407.000000,3255043.000000,0.000000,12.840000,48.645000,49.111000,11325121.000000,0.000000,53.973000,7.350000,7.350000,8505774.000000,16320009.000000,11689100.000000,11689100.000000,0.000000,,,,,0.000000,2444208.000000,1.000000,7164850.000000,7164850.000000,,1.631000,34140327.000000,347019.000000,933994.000000,206610.000000,4.765000
ARQ,1998-06-30,1998-09-14,1998-07-31,1998-Q3,19177860.000000,292363311.000000,2025-03-10,0.000000,34980886.000000,,23690375.000000,11290511.000000,,4.253000,-107927.000000,396092.000000,396092.000000,8056752.000000,1991374.000000,5.250000,0.154000,405000.000000,405000.000000,0.000000,405000.000000,0.000000,202219.000000,0.000000,0.000000,0.000000,3072899.000000,3275118.000000,0.239000,3275118.000000,3072899.000000,3072777.000000,0.277000,0.277000,0.277000,30318300.000000,,30318300.000000,292372219.000000,24.000000,22.665000,1264574.000000,0.177000,1.000000,5670681.000000,0.413000,0.000000,122.000000,30477279.000000,,12021517.000000,0.000000,0.000000,0.000000,4662586.000000,4512515.000000,150071.000000,-121550.000000,0.000000,-1791124.000000,405000.000000,0.000000,-1386124.000000,-107927.000000,0.000000,1372501.000000,0.000000,1991374.000000,1991374.000000,1991374.000000,0.000000,0.000000,0.145000,2602800.000000,3067881.000000,3219070.000000,0.000000,9.643000,36.894000,37.319000,11252311.000000,0.000000,41.013000,5.616000,5.616000,10900685.000000,18311383.000000,13727433.000000,13727433.000000,0.000000,,,,,0.000000,2602800.000000,1.000000,7128494.000000,7128494.000000,,1.926000,34980886.000000,218626.000000,1081403.000000,484620.000000,4.907000
ARQ,1998-09-30,1999-01-29,1998-10-31,1998-Q4,18991443.000000,487674616.000000,2025-03-10,0.000000,32829151.000000,,21711280.000000,11117871.000000,,4.225000,-59890.000000,1122277.000000,1122277.000000,7856378.000000,1743170.000000,7.983000,0.095000,0.000000,0.000000,0.000000,0.000000,0.000000,210685.000000,0.000000,0.000000,0.000000,2849556.000000,3060241.000000,0.230000,3060241.000000,2849556.000000,2849368.000000,0.245000,0.240000,0.245000,29991193.000000,,29991193.000000,486552339.000000,43.000000,39.994000,3351821.000000,0.472000,1.000000,5442867.000000,0.409000,0.000000,188.000000,28987037.000000,,9967012.000000,0.000000,0.000000,0.000000,2837958.000000,2719837.000000,118121.000000,726185.000000,0.000000,-2220636.000000,-405000.000000,0.000000,-2625636.000000,-59890.000000,0.000000,3411711.000000,0.000000,1743170.000000,1743170.000000,1743170.000000,0.000000,0.000000,0.131000,2609024.000000,2833843.000000,1952360.000000,0.000000,16.261000,67.081000,67.812000,11083921.000000,0.000000,68.693000,9.640000,9.640000,10313487.000000,20054553.000000,13299245.000000,13299245.000000,0.000000,,,,,0.000000,2609024.000000,1.000000,7099300.000000,7099300.000000,,1.873000,32829151.000000,212738.000000,1106198.000000,229570.000000,4.624000
ARQ,1998-12-31,1999-03-17,1999-01-31,1999-Q1,19917787.000000,414622565.000000,2025-03-10,0.000000,35132037.000000,,24160947.000000,10971090.000000,,4.324000,-40722.000000,5160812.000000,5160812.000000,6119752.000000,1448235.000000,5.694000,0.143000,0.000000,0.000000,0.000000,0.000000,0.000000,211282.000000,0.000000,0.000000,0.000000,2252663.000000,2463945.000000,0.227000,2463945.000000,2252663.000000,2252663.000000,0.203000,0.203000,0.203000,30730566.000000,,30730566.000000,409461753.000000,38.000000,35.197000,4788075.000000,0.674000,1.000000,4722187.000000,0.436000,0.000000,0.000000,25728065.000000,,9830055.000000,0.000000,0.000000,0.000000,4401471.000000,4243160.000000,158311.000000,4038535.000000,0.000000,-749540.000000,0.000000,0.000000,-749540.000000,-40722.000000,0.000000,4828797.000000,0.000000,1448235.000000,1448235.000000,1448235.000000,0.000000,0.000000,0.134000,2509772.000000,2212415.000000,2984341.000000,0.000000,13.492000,60.132000,60.463000,10915958.000000,0.000000,58.347000,8.366000,8.366000,8807688.000000,21502788.000000,10841939.000000,10841939.000000,0.000000,,,,,0.000000,2509772.000000,1.000000,7106191.000000,7106191.000000,,1.526000,35132037.000000,219826.000000,804428.000000,1000408.000000,4.944000
