dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2020-12-31,2021-03-17,2020-12-31,2020-Q4,894000000.000000,,2025-05-02,-622000000.000000,9920000000.000000,,3378000000.000000,6542000000.000000,,21.673000,,70000000.000000,70000000.000000,,,1.360000,0.808000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,,0.000000,,,,,,,,,,5486000000.000000,,5486000000.000000,,,,,,1.000000,,,5106000000.000000,,2260000000.000000,,971000000.000000,0.000000,0.000000,0.000000,4434000000.000000,2484000000.000000,1950000000.000000,,,,,,,,,,,,,,,,,,,1444000000.000000,,,,,998000000.000000,,,,,1360000000.000000,,,,,,,,,,,1.000000,253130375.000000,253130375.000000,,,4814000000.000000,0.000000,,416000000.000000,19.018000
ARQ,2020-12-31,2021-04-14,2020-12-31,2020-Q4,894000000.000000,,2025-05-02,-622000000.000000,9920000000.000000,,3378000000.000000,6542000000.000000,,21.673000,,70000000.000000,70000000.000000,,,1.360000,0.808000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,,0.000000,,,,,,,,,,5486000000.000000,,5486000000.000000,,,,,,1.000000,,,5106000000.000000,,2260000000.000000,,971000000.000000,0.000000,0.000000,0.000000,4434000000.000000,2484000000.000000,1950000000.000000,,,,,,,,,,,,,,,,,,,1444000000.000000,,,,,998000000.000000,,,,,1360000000.000000,,,,,,,,,,,1.000000,253130375.000000,253130375.000000,,,4814000000.000000,0.000000,,416000000.000000,19.018000
ARQ,2020-12-31,2021-04-29,2020-12-31,2020-Q4,894000000.000000,,2025-05-02,-622000000.000000,9920000000.000000,,3378000000.000000,6542000000.000000,,21.673000,,70000000.000000,70000000.000000,,,1.360000,0.808000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,,0.000000,,,,,,,,,,5486000000.000000,,5486000000.000000,,,,,,1.000000,,,5106000000.000000,,2260000000.000000,,971000000.000000,0.000000,0.000000,0.000000,4434000000.000000,2484000000.000000,1950000000.000000,,,,,,,,,,,,,,,,,,,1444000000.000000,,,,,998000000.000000,,,,,1360000000.000000,,,,,,,,,,,1.000000,253130375.000000,253130375.000000,,,4814000000.000000,0.000000,,416000000.000000,19.018000
ARQ,2021-03-31,2021-06-21,2021-03-31,2021-Q1,102000000.000000,7455905560.000000,2025-05-02,-689000000.000000,9642000000.000000,,2977000000.000000,6665000000.000000,,18.626000,-38000000.000000,141000000.000000,141000000.000000,591000000.000000,399000000.000000,1.035000,1.042000,0.000000,0.000000,0.000000,0.000000,0.000000,38000000.000000,0.000000,0.000000,0.000000,471000000.000000,509000000.000000,0.338000,509000000.000000,471000000.000000,471000000.000000,1.580000,1.580000,1.580000,4722000000.000000,,4722000000.000000,7314905560.000000,,,1466000000.000000,5.783000,1.000000,915000000.000000,0.608000,5085000000.000000,0.000000,1541000000.000000,,924000000.000000,0.000000,0.000000,0.000000,4920000000.000000,2875000000.000000,2045000000.000000,91000000.000000,0.000000,0.000000,-566000000.000000,0.000000,-1361000000.000000,-38000000.000000,0.000000,1504000000.000000,-14000000.000000,399000000.000000,399000000.000000,399000000.000000,-4000000.000000,0.000000,0.265000,448000000.000000,467000000.000000,1784000000.000000,0.000000,1.579000,,,986000000.000000,0.000000,29.410000,,,1010000000.000000,,1506000000.000000,1506000000.000000,67000000.000000,,,,,11000000.000000,382000000.000000,1.000000,253516000.000000,253516000.000000,253516000.000000,5.940000,4557000000.000000,0.000000,72000000.000000,413000000.000000,17.975000
ARQ,2021-06-30,2021-08-16,2021-06-30,2021-Q2,936000000.000000,8704201601.000000,2025-05-02,-464000000.000000,10908000000.000000,,3911000000.000000,6997000000.000000,,-7.629000,-57000000.000000,730000000.000000,730000000.000000,583000000.000000,427000000.000000,1.315000,-6.640000,9348000000.000000,39000000.000000,9309000000.000000,9348000000.000000,0.000000,43000000.000000,0.000000,0.000000,0.000000,433000000.000000,476000000.000000,0.298000,476000000.000000,433000000.000000,433000000.000000,1.680000,1.680000,1.680000,-1934000000.000000,,-1934000000.000000,17322201601.000000,,,482000000.000000,1.901000,1.000000,1012000000.000000,0.634000,5314000000.000000,0.000000,11237000000.000000,,871000000.000000,0.000000,0.000000,0.000000,12842000000.000000,2975000000.000000,9867000000.000000,569000000.000000,-192000000.000000,0.000000,8406000000.000000,0.000000,233000000.000000,-249000000.000000,0.000000,539000000.000000,46000000.000000,427000000.000000,427000000.000000,427000000.000000,4000000.000000,0.000000,0.268000,575000000.000000,437000000.000000,1812000000.000000,0.000000,-4.501000,,,976000000.000000,0.000000,34.330000,,,1507000000.000000,-1473000000.000000,1595000000.000000,1595000000.000000,76000000.000000,,,,,18000000.000000,416000000.000000,1.000000,253545051.000000,253516000.000000,253828232.000000,6.292000,5594000000.000000,0.000000,6000000.000000,289000000.000000,22.066000
ARQ,2021-09-30,2021-11-12,2021-09-30,2021-Q3,1200000000.000000,8544635977.000000,2025-05-02,-493000000.000000,11335000000.000000,,4329000000.000000,7006000000.000000,,-6.382000,-36000000.000000,1008000000.000000,1008000000.000000,609000000.000000,323000000.000000,1.384000,-8.006000,9298000000.000000,39000000.000000,9259000000.000000,9298000000.000000,0.000000,52000000.000000,0.000000,0.008000,0.280000,389000000.000000,441000000.000000,0.276000,441000000.000000,389000000.000000,389000000.000000,1.270000,1.270000,1.270000,-1618000000.000000,,-1618000000.000000,16834635977.000000,,,332000000.000000,1.309000,1.000000,991000000.000000,0.619000,5286000000.000000,0.000000,11210000000.000000,,918000000.000000,0.000000,0.000000,0.000000,12953000000.000000,3129000000.000000,9824000000.000000,278000000.000000,0.000000,0.000000,-10000000.000000,-74000000.000000,-18000000.000000,-61000000.000000,0.000000,368000000.000000,-11000000.000000,323000000.000000,323000000.000000,323000000.000000,0.000000,0.000000,0.202000,602000000.000000,389000000.000000,1673000000.000000,0.220000,-5.281000,,,967000000.000000,0.000000,33.700000,,,1498000000.000000,-1128000000.000000,1600000000.000000,1600000000.000000,111000000.000000,,,,,15000000.000000,388000000.000000,1.000000,253550029.000000,253534000.000000,254172000.000000,6.311000,6049000000.000000,0.000000,66000000.000000,394000000.000000,23.859000
ARQ,2021-12-31,2022-03-21,2021-12-31,2021-Q4,1163000000.000000,8818964714.000000,2025-05-02,-513000000.000000,10681000000.000000,,3760000000.000000,6921000000.000000,,-5.947000,-54000000.000000,737000000.000000,737000000.000000,599000000.000000,202000000.000000,1.448000,-8.083000,9134000000.000000,9000000.000000,9125000000.000000,9134000000.000000,0.000000,62000000.000000,0.000000,0.024000,0.280000,236000000.000000,298000000.000000,0.186000,298000000.000000,236000000.000000,236000000.000000,0.800000,0.790000,0.800000,-1508000000.000000,,-1508000000.000000,17215964714.000000,11.000000,9.986000,-7000000.000000,-0.028000,1.000000,1004000000.000000,0.626000,5254000000.000000,0.000000,11227000000.000000,,915000000.000000,0.000000,0.000000,0.000000,12189000000.000000,2597000000.000000,9592000000.000000,-271000000.000000,0.000000,0.000000,-102000000.000000,-71000000.000000,-187000000.000000,-133000000.000000,0.000000,47000000.000000,2000000.000000,202000000.000000,202000000.000000,202000000.000000,0.000000,0.000000,0.126000,768000000.000000,236000000.000000,1382000000.000000,0.350000,-5.848000,6.528000,6.523000,973000000.000000,0.000000,34.770000,1.399000,1.398000,1382000000.000000,-998000000.000000,1603000000.000000,1603000000.000000,189000000.000000,,,,,15000000.000000,482000000.000000,1.000000,253637179.000000,253561764.000000,254737800.000000,6.322000,5427000000.000000,0.000000,34000000.000000,189000000.000000,21.403000
ARQ,2022-03-31,2022-05-06,2022-03-31,2022-Q1,1413000000.000000,8818964714.000000,2025-05-02,-529000000.000000,10597000000.000000,,3719000000.000000,6878000000.000000,,-4.929000,-33000000.000000,694000000.000000,694000000.000000,561000000.000000,348000000.000000,1.613000,-9.478000,9094000000.000000,9000000.000000,9085000000.000000,9094000000.000000,0.000000,53000000.000000,0.000000,0.024000,0.280000,442000000.000000,495000000.000000,0.316000,495000000.000000,442000000.000000,442000000.000000,1.370000,1.360000,1.370000,-1250000000.000000,,-1250000000.000000,17218964714.000000,11.000000,10.070000,90000000.000000,0.355000,1.000000,1006000000.000000,0.642000,5268000000.000000,0.000000,11423000000.000000,,946000000.000000,0.000000,0.000000,0.000000,11847000000.000000,2306000000.000000,9541000000.000000,-43000000.000000,0.000000,0.000000,-2000000.000000,-71000000.000000,-91000000.000000,-63000000.000000,0.000000,123000000.000000,-12000000.000000,348000000.000000,348000000.000000,348000000.000000,0.000000,0.000000,0.222000,564000000.000000,442000000.000000,1081000000.000000,0.204000,-7.055000,6.784000,6.791000,970000000.000000,0.000000,34.770000,1.386000,1.385000,1322000000.000000,-724000000.000000,1567000000.000000,1567000000.000000,96000000.000000,,,,,15000000.000000,371000000.000000,1.000000,253637179.000000,253583000.000000,255052000.000000,6.179000,5329000000.000000,0.000000,94000000.000000,204000000.000000,21.015000
ARQ,2022-06-30,2022-08-05,2022-06-30,2022-Q2,1378000000.000000,8011390370.000000,2025-05-02,-589000000.000000,10614000000.000000,,3774000000.000000,6840000000.000000,,-4.476000,-44000000.000000,545000000.000000,545000000.000000,588000000.000000,234000000.000000,1.575000,-10.335000,8893000000.000000,9000000.000000,8884000000.000000,8893000000.000000,0.000000,50000000.000000,0.000000,0.036000,0.280000,385000000.000000,435000000.000000,0.274000,435000000.000000,385000000.000000,287000000.000000,0.920000,0.920000,0.920000,-1137000000.000000,,-1137000000.000000,16359390370.000000,11.000000,9.802000,107000000.000000,0.421000,1.000000,997000000.000000,0.629000,5241000000.000000,98000000.000000,11325000000.000000,,950000000.000000,0.000000,0.000000,0.000000,11751000000.000000,2396000000.000000,9355000000.000000,-149000000.000000,-69000000.000000,0.000000,-104000000.000000,-72000000.000000,-183000000.000000,-83000000.000000,0.000000,151000000.000000,-34000000.000000,234000000.000000,234000000.000000,234000000.000000,0.000000,0.000000,0.148000,612000000.000000,385000000.000000,1130000000.000000,0.304000,-7.046000,7.237000,7.225000,952000000.000000,0.000000,31.500000,1.261000,1.259000,1490000000.000000,-551000000.000000,1585000000.000000,1585000000.000000,106000000.000000,,,,,19000000.000000,423000000.000000,1.000000,254329853.000000,254018000.000000,255156000.000000,6.240000,5373000000.000000,0.000000,53000000.000000,234000000.000000,21.152000
ARQ,2022-09-30,2022-11-04,2022-09-30,2022-Q3,1264000000.000000,6193773359.000000,2025-05-02,-686000000.000000,10437000000.000000,,3592000000.000000,6845000000.000000,,-4.191000,-53000000.000000,499000000.000000,499000000.000000,551000000.000000,227000000.000000,1.543000,-10.791000,8699000000.000000,8000000.000000,8691000000.000000,8699000000.000000,0.000000,57000000.000000,0.000000,0.046000,0.280000,390000000.000000,447000000.000000,0.291000,447000000.000000,390000000.000000,282000000.000000,0.890000,0.890000,0.890000,-1066000000.000000,,-1066000000.000000,14393773359.000000,10.000000,8.593000,264000000.000000,1.038000,1.000000,986000000.000000,0.642000,5273000000.000000,108000000.000000,11036000000.000000,,879000000.000000,0.000000,0.000000,0.000000,11503000000.000000,2328000000.000000,9175000000.000000,-46000000.000000,-55000000.000000,0.000000,0.000000,-74000000.000000,-77000000.000000,-213000000.000000,0.000000,317000000.000000,-73000000.000000,227000000.000000,227000000.000000,227000000.000000,0.000000,0.000000,0.148000,592000000.000000,394000000.000000,1028000000.000000,0.315000,-5.810000,6.126000,6.118000,906000000.000000,0.000000,24.350000,0.984000,0.984000,1440000000.000000,-383000000.000000,1537000000.000000,1537000000.000000,127000000.000000,,,,,18000000.000000,440000000.000000,1.000000,254364409.000000,254348000.000000,255067000.000000,6.043000,5164000000.000000,0.000000,55000000.000000,260000000.000000,20.303000
