dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2016-12-31,2017-04-05,2017-01-31,2017-Q4,-42838000.000000,,2025-03-06,-167000.000000,130635000.000000,,92790000.000000,37845000.000000,,-12.796000,,23282000.000000,23282000.000000,,,0.684000,-0.601000,0.000000,0.000000,0.000000,0.000000,113723000.000000,,0.000000,,0.000000,,,,,,,,,,-243605000.000000,,-243605000.000000,,,,,,1.000000,,,11785000.000000,,-40060000.000000,,0.000000,14390000.000000,14390000.000000,0.000000,146286000.000000,135628000.000000,10658000.000000,,,,,,,,,,,,,,,,,,,11897000.000000,,,,,11026000.000000,,,,,34544000.000000,-287909000.000000,,,,,,,,,,1.000000,90758777.000000,19038000.000000,,,118850000.000000,0.000000,,0.000000,6.243000
ARQ,2017-03-31,2017-06-08,2017-04-30,2018-Q1,136738000.000000,2587010990.000000,2025-03-06,-99000.000000,320230000.000000,,279799000.000000,40431000.000000,,4.171000,-3656000.000000,221726000.000000,221726000.000000,17463000.000000,-28901000.000000,1.956000,0.930000,0.000000,0.000000,0.000000,0.000000,120644000.000000,1575000.000000,0.000000,0.000000,0.000000,-28653000.000000,-27078000.000000,-0.511000,-27078000.000000,-28653000.000000,-28653000.000000,-0.730000,-0.730000,-0.730000,165919000.000000,,165919000.000000,2365284990.000000,,,-13342000.000000,-0.335000,1.000000,35544000.000000,0.671000,16117000.000000,0.000000,-60674000.000000,,0.000000,2500000.000000,2500000.000000,0.000000,154311000.000000,143061000.000000,11250000.000000,198707000.000000,0.000000,199997000.000000,-207000.000000,0.000000,200108000.000000,8217000.000000,11873000.000000,-9686000.000000,68000.000000,-28901000.000000,-28901000.000000,-28901000.000000,0.000000,0.000000,-0.545000,64178000.000000,-28634000.000000,15909000.000000,0.000000,15.592000,,,13180000.000000,0.000000,27.150000,,,32171000.000000,-317010000.000000,53007000.000000,53007000.000000,15359000.000000,,,,,8906000.000000,48819000.000000,1.000000,95285856.000000,39783000.000000,39783000.000000,1.332000,304113000.000000,0.000000,248000.000000,0.000000,7.644000
ARQ,2017-06-30,2017-09-08,2017-07-31,2018-Q2,121887000.000000,2896156174.000000,2025-03-06,70000.000000,316227000.000000,,274686000.000000,41541000.000000,,1.634000,-4243000.000000,126464000.000000,126464000.000000,19682000.000000,-27002000.000000,1.798000,1.069000,0.000000,0.000000,0.000000,0.000000,131326000.000000,1713000.000000,0.000000,0.000000,0.000000,-26773000.000000,-25060000.000000,-0.411000,-25060000.000000,-26773000.000000,-26773000.000000,-0.290000,-0.290000,-0.290000,152869000.000000,,152869000.000000,2769692174.000000,,,-10481000.000000,-0.112000,1.000000,41313000.000000,0.677000,17333000.000000,0.000000,19631000.000000,,0.000000,86755000.000000,86755000.000000,0.000000,163358000.000000,152799000.000000,10559000.000000,-95246000.000000,0.000000,-49000.000000,-66000.000000,0.000000,-555000.000000,-88519000.000000,-84276000.000000,-6238000.000000,66000.000000,-27002000.000000,-27002000.000000,-27002000.000000,0.000000,0.000000,-0.443000,68468000.000000,-27155000.000000,9848000.000000,0.000000,18.945000,,,13302000.000000,0.000000,30.300000,,,35304000.000000,-344012000.000000,60995000.000000,60995000.000000,16923000.000000,,,,,11978000.000000,51545000.000000,1.000000,95582712.000000,93576000.000000,93576000.000000,0.652000,298894000.000000,0.000000,229000.000000,0.000000,3.194000
ARQ,2017-09-30,2017-12-07,2017-10-31,2018-Q3,123711000.000000,2973128564.000000,2025-03-06,-69000.000000,337157000.000000,,294672000.000000,42485000.000000,,1.639000,-1743000.000000,137575000.000000,137575000.000000,21123000.000000,-33778000.000000,1.724000,1.155000,0.000000,0.000000,0.000000,0.000000,141648000.000000,1823000.000000,0.000000,0.000000,0.000000,-34718000.000000,-32895000.000000,-0.482000,-32895000.000000,-34718000.000000,-34718000.000000,-0.350000,-0.350000,-0.350000,156455000.000000,,156455000.000000,2835553564.000000,,,-11214000.000000,-0.117000,1.000000,47115000.000000,0.690000,17737000.000000,0.000000,10884000.000000,,0.000000,86043000.000000,86043000.000000,0.000000,180702000.000000,170961000.000000,9741000.000000,11101000.000000,0.000000,0.000000,-70000.000000,0.000000,21814000.000000,-1161000.000000,582000.000000,-9471000.000000,-81000.000000,-33778000.000000,-33778000.000000,-33778000.000000,0.000000,0.000000,-0.495000,82342000.000000,-35227000.000000,12875000.000000,0.000000,19.003000,,,13122000.000000,0.000000,29.170000,,,46882000.000000,-377790000.000000,68238000.000000,68238000.000000,19190000.000000,,,,,14408000.000000,63152000.000000,1.000000,101924188.000000,95474000.000000,95474000.000000,0.715000,319420000.000000,0.000000,-940000.000000,0.000000,3.346000
ARQ,2017-12-31,2018-03-12,2018-01-31,2018-Q4,124656000.000000,4153837084.000000,2025-03-06,391000.000000,367397000.000000,,315416000.000000,51981000.000000,,1.971000,-2339000.000000,127949000.000000,127949000.000000,22487000.000000,-24678000.000000,1.653000,1.246000,0.000000,0.000000,0.000000,0.000000,168667000.000000,1890000.000000,0.000000,0.000000,0.000000,-24536000.000000,-22646000.000000,-0.291000,-22646000.000000,-24536000.000000,-24536000.000000,-0.210000,-0.210000,-0.210000,163586000.000000,,163586000.000000,4025888084.000000,-35.000000,-37.388000,-2184000.000000,-0.026000,1.000000,55263000.000000,0.711000,18043000.000000,0.000000,30645000.000000,,0.000000,101765000.000000,101765000.000000,0.000000,203811000.000000,190760000.000000,13051000.000000,-1611000.000000,0.000000,8369000.000000,343000.000000,0.000000,16041000.000000,-18241000.000000,-15902000.000000,155000.000000,434000.000000,-24678000.000000,-24678000.000000,-24678000.000000,0.000000,0.000000,-0.317000,80609000.000000,-25346000.000000,9566000.000000,0.000000,25.392000,-36.323000,-28.761000,12540000.000000,0.000000,39.690000,15.977000,12.671000,52248000.000000,-402468000.000000,77750000.000000,77750000.000000,19349000.000000,,,,,14568000.000000,61260000.000000,1.000000,104657019.000000,83004000.000000,83004000.000000,0.937000,349354000.000000,0.000000,142000.000000,0.000000,4.209000
ARQ,2018-03-31,2018-06-08,2018-04-30,2019-Q1,433237000.000000,5466735527.000000,2025-03-06,-178000.000000,726904000.000000,,636163000.000000,90741000.000000,,2.395000,-5528000.000000,211756000.000000,211756000.000000,24107000.000000,-25962000.000000,3.135000,1.912000,259920000.000000,0.000000,259920000.000000,259920000.000000,177894000.000000,2069000.000000,0.000000,0.000000,0.000000,-26193000.000000,-24124000.000000,-0.288000,-24124000.000000,-26193000.000000,-26193000.000000,-0.250000,-0.250000,-0.250000,249617000.000000,,249617000.000000,5514899527.000000,-49.000000,-52.661000,-1556000.000000,-0.015000,1.000000,59514000.000000,0.712000,18145000.000000,0.000000,553997000.000000,,0.000000,335285000.000000,335285000.000000,0.000000,477287000.000000,202926000.000000,274361000.000000,84088000.000000,0.000000,0.000000,307455000.000000,0.000000,319445000.000000,-238942000.000000,-233414000.000000,3972000.000000,-387000.000000,-25962000.000000,-25962000.000000,-25962000.000000,0.000000,0.000000,-0.310000,84492000.000000,-24978000.000000,11830000.000000,0.000000,21.900000,-49.064000,-46.618000,19176000.000000,0.000000,51.280000,18.812000,18.388000,50368000.000000,-392676000.000000,83621000.000000,83621000.000000,19929000.000000,,,,,14135000.000000,64563000.000000,1.000000,106605607.000000,104203000.000000,104203000.000000,0.802000,708759000.000000,0.000000,-231000.000000,0.000000,6.802000
ARQ,2018-06-30,2018-09-07,2018-07-31,2019-Q2,415236000.000000,7852439202.000000,2025-03-06,-480000.000000,763917000.000000,,633376000.000000,130541000.000000,,2.297000,-5987000.000000,192882000.000000,192882000.000000,28228000.000000,-39207000.000000,2.904000,2.116000,263762000.000000,0.000000,263762000.000000,263762000.000000,191898000.000000,1630000.000000,0.000000,0.000000,0.000000,-40192000.000000,-38562000.000000,-0.408000,-38562000.000000,-40192000.000000,-40192000.000000,-0.370000,-0.370000,-0.370000,245145000.000000,,245145000.000000,7923319202.000000,-63.000000,-67.018000,-11330000.000000,-0.106000,1.000000,66358000.000000,0.702000,34101000.000000,0.000000,582556000.000000,,0.000000,343374000.000000,343374000.000000,0.000000,518772000.000000,218140000.000000,300632000.000000,-18879000.000000,-15638000.000000,6654000.000000,-75000.000000,0.000000,15438000.000000,-28729000.000000,-7104000.000000,-5343000.000000,-245000.000000,-39207000.000000,-39207000.000000,-39207000.000000,0.000000,0.000000,-0.415000,104788000.000000,-38430000.000000,12577000.000000,0.000000,32.032000,-63.518000,-60.949000,40670000.000000,0.000000,71.920000,24.221000,23.671000,59839000.000000,-431883000.000000,94586000.000000,94586000.000000,24829000.000000,,,,,18222000.000000,79959000.000000,1.000000,109182970.000000,106702000.000000,106702000.000000,0.886000,729816000.000000,0.000000,-985000.000000,0.000000,6.840000
ARQ,2018-09-30,2018-12-06,2018-10-31,2019-Q3,413328000.000000,7393865877.000000,2025-03-06,-918000.000000,796709000.000000,,658114000.000000,138595000.000000,,2.248000,-5067000.000000,195898000.000000,195898000.000000,29700000.000000,-29517000.000000,2.689000,2.258000,267665000.000000,0.000000,267665000.000000,267665000.000000,211123000.000000,2125000.000000,0.000000,0.000000,0.000000,-30184000.000000,-28059000.000000,-0.266000,-28059000.000000,-30184000.000000,-30184000.000000,-0.270000,-0.270000,-0.270000,244503000.000000,,244503000.000000,7465632877.000000,-62.000000,-65.840000,1372000.000000,0.013000,1.000000,75876000.000000,0.719000,33063000.000000,0.000000,590627000.000000,,0.000000,350105000.000000,350105000.000000,0.000000,552206000.000000,244786000.000000,307420000.000000,3005000.000000,22000.000000,0.000000,0.000000,0.000000,7469000.000000,-10545000.000000,-5500000.000000,6439000.000000,-358000.000000,-29517000.000000,-29517000.000000,-29517000.000000,0.000000,0.000000,-0.280000,104355000.000000,-28479000.000000,12085000.000000,0.000000,30.240000,-61.944000,-60.864000,44251000.000000,0.000000,66.950000,20.451000,20.144000,70136000.000000,-461400000.000000,105576000.000000,105576000.000000,27596000.000000,,,,,21542000.000000,76759000.000000,1.000000,110438624.000000,108776000.000000,108776000.000000,0.971000,763646000.000000,0.000000,-667000.000000,0.000000,7.020000
ARQ,2018-12-31,2019-03-14,2019-01-31,2019-Q4,145139000.000000,9301234107.000000,2025-03-06,-319000.000000,864335000.000000,,709330000.000000,155005000.000000,,2.289000,-5340000.000000,298394000.000000,298394000.000000,31386000.000000,-30811000.000000,1.257000,2.425000,271628000.000000,271628000.000000,0.000000,271628000.000000,254390000.000000,2177000.000000,0.000000,0.000000,0.000000,-13873000.000000,-11696000.000000,-0.101000,-11696000.000000,-13873000.000000,-28945000.000000,-0.280000,-0.280000,-0.280000,252377000.000000,,252377000.000000,9274468107.000000,-84.000000,-90.535000,4764000.000000,0.043000,1.000000,84085000.000000,0.728000,31986000.000000,15072000.000000,241392000.000000,,0.000000,265374000.000000,265374000.000000,0.000000,611958000.000000,564191000.000000,47767000.000000,106768000.000000,-16000.000000,7073000.000000,0.000000,0.000000,15410000.000000,80896000.000000,86252000.000000,10104000.000000,358000.000000,-30811000.000000,-30811000.000000,-30811000.000000,0.000000,0.000000,-0.267000,111820000.000000,-27735000.000000,17212000.000000,0.000000,36.855000,-74.115000,-70.838000,52921000.000000,0.000000,82.880000,23.297000,22.316000,91926000.000000,-492211000.000000,115471000.000000,115471000.000000,30031000.000000,,,,,22421000.000000,81789000.000000,1.000000,112225315.000000,110255000.000000,110255000.000000,1.047000,832349000.000000,0.000000,1866000.000000,0.000000,7.549000
ARQ,2019-03-31,2019-05-31,2019-04-30,2020-Q1,75016000.000000,12922825732.000000,2025-03-06,-457000.000000,998542000.000000,,676929000.000000,321613000.000000,,2.125000,-8079000.000000,208106000.000000,208106000.000000,35095000.000000,-51966000.000000,1.125000,3.170000,421697000.000000,275653000.000000,146044000.000000,421697000.000000,275704000.000000,3399000.000000,0.000000,0.000000,0.000000,-48882000.000000,-45483000.000000,-0.363000,-45483000.000000,-48882000.000000,-53123000.000000,-0.460000,-0.460000,-0.460000,239444000.000000,,239444000.000000,13136416732.000000,-99.000000,-106.110000,13183000.000000,0.117000,1.000000,90128000.000000,0.720000,75986000.000000,4241000.000000,534234000.000000,,0.000000,339377000.000000,339377000.000000,0.000000,759098000.000000,601913000.000000,157185000.000000,-91365000.000000,-44223000.000000,0.000000,0.000000,0.000000,13262000.000000,-125607000.000000,-73305000.000000,21262000.000000,-282000.000000,-51966000.000000,-51966000.000000,-51966000.000000,0.000000,0.000000,-0.415000,141910000.000000,-51782000.000000,4352000.000000,0.000000,53.970000,-85.299000,-82.043000,172105000.000000,0.000000,113.220000,29.313000,28.939000,83328000.000000,-544177000.000000,125223000.000000,125223000.000000,34032000.000000,,,,,22685000.000000,107878000.000000,1.000000,114139072.000000,112682000.000000,112682000.000000,1.111000,922556000.000000,0.000000,-1157000.000000,0.000000,8.187000
