dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,1996-12-31,1997-03-13,1996-12-31,1996-Q4,510000000.000000,2170346540.000000,2025-05-02,-9000000.000000,2339000000.000000,,1336000000.000000,1003000000.000000,,18.089000,,524000000.000000,524000000.000000,,,1.617000,1.473000,415000000.000000,139000000.000000,276000000.000000,415000000.000000,0.000000,,0.000000,0.047000,1.365000,,,,,,,,,,946000000.000000,,946000000.000000,2061346540.000000,4.000000,3.453000,,,1.000000,,,0.000000,,1404000000.000000,,315000000.000000,261000000.000000,87000000.000000,174000000.000000,1393000000.000000,826000000.000000,567000000.000000,,,,,,,,,,,,,,,,,,,268000000.000000,,2.294000,7.864000,7.772000,657000000.000000,,41.500000,0.823000,0.823000,321000000.000000,414000000.000000,,,,,,,,,,1.000000,52297507.000000,52297507.000000,,,2339000000.000000,0.000000,,127000000.000000,44.725000
ARQ,1997-03-31,1997-05-14,1997-03-31,1997-Q1,504300000.000000,2116553482.000000,2025-05-02,-14300000.000000,2163100000.000000,,1174600000.000000,988500000.000000,,17.975000,-13900000.000000,249800000.000000,249800000.000000,449900000.000000,41800000.000000,1.752000,1.319000,411200000.000000,134900000.000000,276300000.000000,411200000.000000,0.000000,26700000.000000,0.000000,0.047000,0.190000,71300000.000000,98000000.000000,0.166000,98000000.000000,71300000.000000,63800000.000000,0.810000,0.800000,0.810000,932900000.000000,,932900000.000000,2277953482.000000,,,-95500000.000000,-1.840000,1.000000,141300000.000000,0.239000,0.000000,7500000.000000,1654200000.000000,,330900000.000000,155100000.000000,87900000.000000,67200000.000000,1230200000.000000,670300000.000000,559900000.000000,-273700000.000000,-123000000.000000,-40200000.000000,-3800000.000000,-15700000.000000,-54700000.000000,-137400000.000000,-600000.000000,-81600000.000000,0.000000,41800000.000000,41800000.000000,41800000.000000,0.000000,0.000000,0.071000,79800000.000000,61500000.000000,245500000.000000,0.235000,2.269000,,,745600000.000000,0.000000,41.380000,,,414700000.000000,439800000.000000,591200000.000000,591200000.000000,7400000.000000,,,,,0.000000,72400000.000000,1.000000,51149190.000000,51900000.000000,52200000.000000,11.391000,2163100000.000000,0.000000,22000000.000000,27900000.000000,41.678000
ARQ,1997-06-30,1997-08-13,1997-06-30,1997-Q2,458200000.000000,2205963584.000000,2025-05-02,-12700000.000000,1929500000.000000,,930200000.000000,999300000.000000,,17.976000,-23800000.000000,22000000.000000,22000000.000000,491600000.000000,38600000.000000,1.971000,1.109000,276400000.000000,7800000.000000,268600000.000000,276400000.000000,0.000000,32800000.000000,0.000000,0.044000,0.190000,65900000.000000,98700000.000000,0.156000,98700000.000000,65900000.000000,58900000.000000,0.750000,0.750000,0.750000,915000000.000000,,915000000.000000,2460363584.000000,,,-22100000.000000,-0.434000,1.000000,140800000.000000,0.223000,0.000000,7000000.000000,1711900000.000000,,341300000.000000,163100000.000000,58700000.000000,104400000.000000,1014500000.000000,472000000.000000,542500000.000000,-227800000.000000,-39200000.000000,-41600000.000000,-134900000.000000,-15300000.000000,-193300000.000000,-36200000.000000,29100000.000000,1700000.000000,0.000000,38600000.000000,38600000.000000,38600000.000000,0.000000,0.000000,0.061000,82200000.000000,58600000.000000,209100000.000000,0.253000,2.411000,,,741600000.000000,0.000000,44.000000,,,413500000.000000,462900000.000000,632400000.000000,632400000.000000,7200000.000000,,,,,0.000000,75000000.000000,1.000000,50135536.000000,50900000.000000,51200000.000000,12.424000,1929500000.000000,0.000000,20300000.000000,1000000.000000,37.908000
ARQ,1997-09-30,1997-11-14,1997-09-30,1997-Q3,397200000.000000,2459871555.000000,2025-05-02,-16800000.000000,1904200000.000000,,880400000.000000,1023800000.000000,,17.978000,-34900000.000000,36000000.000000,36000000.000000,469900000.000000,38000000.000000,1.822000,1.123000,275200000.000000,7200000.000000,268000000.000000,275200000.000000,0.000000,30700000.000000,0.000000,0.039000,0.190000,64000000.000000,94700000.000000,0.156000,94700000.000000,64000000.000000,58100000.000000,0.760000,0.750000,0.760000,897100000.000000,,897100000.000000,2699071555.000000,,,45500000.000000,0.912000,1.000000,138000000.000000,0.227000,0.000000,5900000.000000,1660200000.000000,,338900000.000000,139100000.000000,2000000.000000,137100000.000000,1007100000.000000,483200000.000000,523900000.000000,14000000.000000,-33200000.000000,-36700000.000000,-1300000.000000,-15100000.000000,-53300000.000000,-13100000.000000,56800000.000000,80400000.000000,0.000000,38000000.000000,38000000.000000,38000000.000000,0.000000,0.000000,0.063000,79300000.000000,58700000.000000,221200000.000000,0.250000,2.742000,,,746700000.000000,0.000000,49.880000,,,411200000.000000,486000000.000000,607900000.000000,607900000.000000,7600000.000000,,,,,0.000000,71700000.000000,1.000000,49315789.000000,49900000.000000,50300000.000000,12.182000,1904200000.000000,0.000000,20100000.000000,3000000.000000,38.160000
ARQ,1997-12-31,1998-03-13,1997-12-31,1997-Q4,424000000.000000,2323823785.000000,2025-05-02,-24000000.000000,1946000000.000000,,936000000.000000,1010000000.000000,,18.016000,-67400000.000000,166000000.000000,166000000.000000,454600000.000000,34600000.000000,1.828000,1.214000,277000000.000000,9000000.000000,268000000.000000,277000000.000000,0.000000,33800000.000000,0.000000,0.016000,0.190000,57800000.000000,91600000.000000,0.158000,91600000.000000,57800000.000000,53200000.000000,0.700000,0.700000,0.700000,879000000.000000,,879000000.000000,2434823785.000000,9.000000,6.357000,-14900000.000000,-0.305000,1.000000,123900000.000000,0.214000,0.000000,4600000.000000,1545000000.000000,,347000000.000000,59000000.000000,28000000.000000,31000000.000000,1067000000.000000,512000000.000000,555000000.000000,129500000.000000,224400000.000000,-31500000.000000,2000000.000000,-14900000.000000,-44700000.000000,121700000.000000,-26300000.000000,52500000.000000,0.000000,34600000.000000,34600000.000000,34600000.000000,0.000000,0.000000,0.060000,72700000.000000,51200000.000000,256000000.000000,0.271000,2.644000,15.188000,15.772000,795000000.000000,0.000000,47.630000,0.964000,0.964000,350000000.000000,506000000.000000,578500000.000000,578500000.000000,6800000.000000,,,,,0.000000,65900000.000000,1.000000,48789078.000000,48789078.000000,,11.857000,1946000000.000000,0.000000,18600000.000000,5000000.000000,39.886000
ARQ,1998-03-31,1998-05-14,1998-03-31,1998-Q1,405400000.000000,2183646420.000000,2025-05-02,-26400000.000000,1873000000.000000,,867500000.000000,1005500000.000000,,17.790000,-19300000.000000,53500000.000000,53500000.000000,431900000.000000,39100000.000000,1.877000,1.166000,275500000.000000,7500000.000000,268000000.000000,275500000.000000,0.000000,30500000.000000,0.000000,0.017000,0.190000,64600000.000000,95100000.000000,0.166000,95100000.000000,64600000.000000,59600000.000000,0.810000,0.800000,0.810000,864600000.000000,,864600000.000000,2405646420.000000,10.000000,6.329000,-60100000.000000,-1.237000,1.000000,141200000.000000,0.246000,0.000000,5000000.000000,1632900000.000000,,361300000.000000,59300000.000000,21000000.000000,38300000.000000,1008400000.000000,462100000.000000,546300000.000000,-112300000.000000,-4600000.000000,-36800000.000000,-1700000.000000,-14700000.000000,-53700000.000000,-17800000.000000,7100000.000000,-40800000.000000,0.000000,39100000.000000,39100000.000000,39100000.000000,0.000000,0.000000,0.068000,83400000.000000,57800000.000000,204000000.000000,0.235000,2.526000,14.529000,15.066000,785100000.000000,0.000000,45.500000,0.913000,0.924000,388400000.000000,529900000.000000,573100000.000000,573100000.000000,6800000.000000,,,,,0.000000,76600000.000000,1.000000,47992229.000000,48600000.000000,49000000.000000,11.792000,1873000000.000000,0.000000,20500000.000000,18900000.000000,38.539000
ARQ,1998-06-30,1998-08-11,1998-06-30,1998-Q2,366600000.000000,1584328434.000000,2025-05-02,-27000000.000000,1844400000.000000,,831000000.000000,1013400000.000000,,18.129000,-31700000.000000,7700000.000000,7700000.000000,471900000.000000,38600000.000000,1.789000,1.124000,238300000.000000,1800000.000000,236500000.000000,238300000.000000,0.000000,30900000.000000,0.000000,0.023000,0.190000,63700000.000000,94600000.000000,0.154000,94600000.000000,63700000.000000,59000000.000000,0.810000,0.800000,0.810000,868400000.000000,,868400000.000000,1814928434.000000,7.000000,4.827000,20900000.000000,0.436000,1.000000,141200000.000000,0.230000,0.000000,4700000.000000,1610600000.000000,,349900000.000000,54000000.000000,20000000.000000,34000000.000000,976000000.000000,464400000.000000,511600000.000000,-45800000.000000,3100000.000000,-20000000.000000,-37200000.000000,-14300000.000000,-71700000.000000,-26700000.000000,1000000.000000,52600000.000000,0.000000,38600000.000000,38600000.000000,38600000.000000,0.000000,0.000000,0.063000,81600000.000000,59600000.000000,219300000.000000,0.235000,1.824000,10.541000,10.776000,785900000.000000,0.000000,33.190000,0.668000,0.670000,409600000.000000,554200000.000000,613100000.000000,613100000.000000,6700000.000000,,,,,0.000000,74900000.000000,1.000000,47735114.000000,47900000.000000,48300000.000000,12.800000,1844400000.000000,0.000000,20400000.000000,8300000.000000,38.505000
ARQ,1998-09-30,1998-11-13,1998-09-30,1998-Q3,409100000.000000,1421651179.000000,2025-05-02,-25400000.000000,1816400000.000000,,877100000.000000,939300000.000000,,17.514000,-42700000.000000,81400000.000000,81400000.000000,470100000.000000,-7200000.000000,1.874000,1.183000,237000000.000000,1300000.000000,235700000.000000,237000000.000000,0.000000,32400000.000000,0.000000,0.025000,0.190000,-8700000.000000,23700000.000000,0.041000,23700000.000000,-8700000.000000,-12900000.000000,-0.150000,-0.150000,-0.150000,831900000.000000,,831900000.000000,1577251179.000000,9.000000,5.171000,123800000.000000,2.606000,1.000000,111900000.000000,0.192000,0.000000,4200000.000000,1504000000.000000,,328600000.000000,61300000.000000,33400000.000000,27900000.000000,984500000.000000,468000000.000000,516500000.000000,73700000.000000,3600000.000000,-16500000.000000,1000000.000000,-14300000.000000,-32000000.000000,-60800000.000000,-13400000.000000,166500000.000000,0.000000,-7200000.000000,-7200000.000000,-7200000.000000,0.000000,0.000000,-0.012000,80400000.000000,31500000.000000,200800000.000000,-1.267000,1.709000,13.527000,14.000000,806200000.000000,0.000000,30.380000,0.606000,0.615000,395200000.000000,532600000.000000,582000000.000000,582000000.000000,7000000.000000,,,,,0.000000,73400000.000000,1.000000,46795628.000000,47500000.000000,47500000.000000,12.253000,1816400000.000000,0.000000,-5700000.000000,0.000000,38.240000
ARQ,1998-12-31,1999-03-16,1998-12-31,1998-Q4,225000000.000000,505595849.000000,2025-05-02,-25000000.000000,1577000000.000000,,517000000.000000,1060000000.000000,,17.188000,15700000.000000,50000000.000000,50000000.000000,-212900000.000000,7500000.000000,1.771000,0.996000,231000000.000000,1000000.000000,230000000.000000,231000000.000000,0.000000,-15800000.000000,0.000000,0.069000,0.190000,-3600000.000000,-19400000.000000,0.057000,-19400000.000000,-3600000.000000,-6700000.000000,0.170000,0.170000,0.170000,790000000.000000,,790000000.000000,686595849.000000,6.000000,3.539000,17400000.000000,0.379000,1.000000,-129300000.000000,0.378000,0.000000,3100000.000000,1466000000.000000,,199000000.000000,37000000.000000,25000000.000000,12000000.000000,787000000.000000,292000000.000000,495000000.000000,-22600000.000000,-1100000.000000,-35700000.000000,-1100000.000000,-14700000.000000,-51600000.000000,27300000.000000,8300000.000000,1700000.000000,0.000000,7500000.000000,7500000.000000,7500000.000000,-40000000.000000,0.000000,-0.022000,-49400000.000000,-79900000.000000,118000000.000000,1.118000,0.640000,6.482000,6.707000,475000000.000000,0.000000,11.000000,0.355000,0.355000,192000000.000000,526000000.000000,-342200000.000000,-342200000.000000,-10500000.000000,,,,,0.000000,-101900000.000000,1.000000,45963259.000000,45963259.000000,,-7.445000,1577000000.000000,33000000.000000,-14200000.000000,5000000.000000,34.310000
ARQ,1999-03-31,1999-05-17,1999-03-31,1999-Q1,280600000.000000,623130947.000000,2025-05-02,-10200000.000000,1069600000.000000,,533000000.000000,536600000.000000,,7.095000,-8300000.000000,67000000.000000,67000000.000000,287400000.000000,39100000.000000,2.112000,2.102000,230800000.000000,1000000.000000,229800000.000000,230800000.000000,0.000000,18600000.000000,0.000000,0.056000,0.200000,56000000.000000,74600000.000000,0.208000,74600000.000000,56000000.000000,51200000.000000,0.810000,0.800000,0.810000,344800000.000000,,344800000.000000,786930947.000000,7.000000,4.536000,-29500000.000000,-0.607000,1.000000,71700000.000000,0.200000,0.000000,4800000.000000,981000000.000000,,206900000.000000,47300000.000000,40300000.000000,7000000.000000,724800000.000000,252400000.000000,472400000.000000,16800000.000000,2400000.000000,-3200000.000000,74600000.000000,-13800000.000000,57600000.000000,-19600000.000000,-14800000.000000,-21200000.000000,0.000000,39100000.000000,39100000.000000,39100000.000000,-16300000.000000,0.000000,0.109000,35500000.000000,36200000.000000,90100000.000000,0.247000,1.807000,7.989000,8.348000,465200000.000000,0.000000,13.690000,0.514000,0.549000,198500000.000000,68500000.000000,359100000.000000,359100000.000000,1600000.000000,,,,,0.000000,33900000.000000,1.000000,45517235.000000,48600000.000000,49000000.000000,7.389000,1069600000.000000,3200000.000000,12100000.000000,10700000.000000,22.008000
