dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2015-12-31,2016-06-27,2015-12-31,2015-Q4,179240400.000000,,2025-05-08,-29666160.000000,778631760.000000,,191131920.000000,587499840.000000,,6.327000,,186126480.000000,186126480.000000,,,16.073000,0.154000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,,0.000000,,,,,,,,,,673804800.000000,,673804800.000000,,,,,,1.000000,,,80066880.000000,,500546880.000000,,0.000000,107781120.000000,144000.000000,107637120.000000,103819680.000000,11891520.000000,91928160.000000,,,,,,,,,,,,,,,,,,,8257680.000000,,,,,393475680.000000,,,,,4495680.000000,146736000.000000,,,,,,,,,,1.000000,106497315.000000,106497315.000000,,,698564880.000000,6320160.000000,,85511520.000000,6.559000
ARQ,2016-06-30,2016-08-04,2016-06-30,2016-Q2,303438960.000000,1444103591.000000,2025-05-08,-9633600.000000,975455280.000000,,311330160.000000,664125120.000000,,7.845000,-1098720.000000,305633520.000000,305633520.000000,0.000000,11270160.000000,39.453000,0.166000,32636160.000000,0.000000,32636160.000000,32636160.000000,0.000000,2064240.000000,0.000000,0.000000,0.000000,14949360.000000,17013600.000000,1.496000,17013600.000000,14949360.000000,14258160.000000,0.108000,0.108000,0.108000,835426800.000000,,835426800.000000,1171106231.000000,,,9732960.000000,0.091000,1.000000,11370240.000000,1.000000,80066880.000000,691200.000000,614499840.000000,,0.000000,148505040.000000,72000.000000,148433040.000000,138653280.000000,7891200.000000,130762080.000000,-10452960.000000,0.000000,1175760.000000,0.000000,-2852640.000000,-1864800.000000,-19883520.000000,-4384800.000000,10831680.000000,463680.000000,11330640.000000,11330640.000000,11330640.000000,0.000000,60480.000000,0.997000,-2390400.000000,13760640.000000,3422160.000000,0.000000,1.729000,,,427554000.000000,0.000000,13.560000,,,5219280.000000,161045280.000000,11370240.000000,11370240.000000,268560.000000,,,,,2318400.000000,5890320.000000,1.000000,106497315.000000,106497315.000000,,0.107000,895388400.000000,8071200.000000,2927520.000000,88333200.000000,8.408000
ARQ,2016-09-30,2016-11-10,2016-09-30,2016-Q3,280133280.000000,1015984385.000000,2025-05-08,6739200.000000,1007288640.000000,,290143440.000000,717145200.000000,,8.105000,-1833120.000000,282756240.000000,282756240.000000,0.000000,12726000.000000,28.985000,0.165000,32797440.000000,0.000000,32797440.000000,32797440.000000,0.000000,1942560.000000,0.000000,0.003000,0.030000,16973280.000000,18915840.000000,1.495000,18915840.000000,16973280.000000,16279920.000000,0.122000,0.122000,0.122000,863212320.000000,,863212320.000000,766025585.000000,,,8951040.000000,0.084000,1.000000,12650400.000000,1.000000,80066880.000000,693360.000000,667252800.000000,,0.000000,204267600.000000,72000.000000,204195600.000000,142760160.000000,10010160.000000,132750000.000000,-22877280.000000,0.000000,788400.000000,0.000000,-2732400.000000,-1985040.000000,-33048720.000000,-30675600.000000,10784160.000000,1372320.000000,12785040.000000,12785040.000000,12785040.000000,0.000000,59040.000000,1.011000,-2046960.000000,14697360.000000,4021920.000000,0.246000,1.177000,,,427369680.000000,0.000000,9.540000,,,6481440.000000,170508960.000000,12650400.000000,12650400.000000,173520.000000,,,,,678240.000000,3630240.000000,1.000000,106497315.000000,106497315.000000,,0.119000,927221760.000000,5513040.000000,3494880.000000,91687680.000000,8.707000
ARQ,2016-12-31,2017-03-16,2016-12-31,2016-Q4,356315040.000000,1201289713.000000,2025-05-08,5643360.000000,1019738880.000000,,367732080.000000,652006800.000000,,8.197000,-519840.000000,359459280.000000,359459280.000000,0.000000,6230880.000000,32.209000,0.167000,32961600.000000,0.000000,32961600.000000,32961600.000000,0.000000,2060640.000000,0.000000,0.005000,0.030000,8040240.000000,10100880.000000,1.023000,10100880.000000,8040240.000000,7378560.000000,0.058000,0.058000,0.058000,872954640.000000,,872954640.000000,874792033.000000,22.000000,18.194000,8683200.000000,0.082000,1.000000,9870480.000000,1.000000,80066880.000000,661680.000000,601757280.000000,,0.000000,139255920.000000,1512000.000000,137743920.000000,145440000.000000,11417040.000000,134022960.000000,76703040.000000,0.000000,234720.000000,0.000000,-2941920.000000,-2090880.000000,65761200.000000,69881040.000000,9203040.000000,3829680.000000,6249600.000000,6249600.000000,6249600.000000,0.000000,18720.000000,0.633000,4487040.000000,5383440.000000,5355360.000000,0.517000,1.376000,39.619000,39.167000,428451840.000000,0.000000,11.280000,26.620000,26.620000,6059520.000000,180220320.000000,9870480.000000,9870480.000000,-1566720.000000,,,,,1193760.000000,4312080.000000,1.000000,106497315.000000,106497315.000000,,0.093000,939672000.000000,5744160.000000,1128960.000000,92109600.000000,8.823000
ARQ,2016-12-31,2017-03-27,2016-12-31,2016-Q4,356315040.000000,1225784096.000000,2025-05-08,5643360.000000,1019738880.000000,,367732080.000000,652006800.000000,,8.197000,-519840.000000,359459280.000000,359459280.000000,0.000000,6230880.000000,32.209000,0.167000,32961600.000000,0.000000,32961600.000000,32961600.000000,0.000000,2060640.000000,0.000000,0.005000,0.030000,8040240.000000,10100880.000000,1.023000,10100880.000000,8040240.000000,7378560.000000,0.058000,0.058000,0.058000,872954640.000000,,872954640.000000,899286416.000000,23.000000,18.703000,8683200.000000,0.082000,1.000000,9870480.000000,1.000000,80066880.000000,661680.000000,601757280.000000,,0.000000,139255920.000000,1512000.000000,137743920.000000,145440000.000000,11417040.000000,134022960.000000,76703040.000000,0.000000,234720.000000,0.000000,-2941920.000000,-2090880.000000,65761200.000000,69881040.000000,9203040.000000,3829680.000000,6249600.000000,6249600.000000,6249600.000000,0.000000,18720.000000,0.633000,4487040.000000,5383440.000000,5355360.000000,0.517000,1.404000,40.426000,39.965000,428451840.000000,0.000000,11.510000,27.163000,27.163000,6059520.000000,180220320.000000,9870480.000000,9870480.000000,-1566720.000000,,,,,1193760.000000,4312080.000000,1.000000,106497315.000000,106497315.000000,,0.093000,939672000.000000,5744160.000000,1128960.000000,92109600.000000,8.823000
ARQ,2017-03-31,2017-05-04,2017-03-31,2017-Q1,301914000.000000,1077752828.000000,2025-05-08,6538320.000000,1023529680.000000,,311863680.000000,711666000.000000,,8.227000,-30045600.000000,304968240.000000,304968240.000000,2463120.000000,2880000.000000,31.344000,0.167000,33123600.000000,0.000000,33123600.000000,33123600.000000,0.000000,2413440.000000,0.000000,0.009000,0.030000,4857120.000000,7270560.000000,0.590000,7270560.000000,4857120.000000,4173840.000000,0.029000,0.029000,0.029000,876180240.000000,,876180240.000000,805908188.000000,18.000000,15.120000,-21396240.000000,-0.201000,1.000000,9867600.000000,0.800000,80066880.000000,683280.000000,661668480.000000,,0.000000,169276320.000000,1833840.000000,167442480.000000,146053440.000000,9949680.000000,136103760.000000,-54491760.000000,,-686160.000000,0.000000,-2939040.000000,-2694960.000000,-59426640.000000,-29381040.000000,8649360.000000,-1018800.000000,2934720.000000,2934720.000000,2934720.000000,0.000000,54720.000000,0.238000,3922560.000000,5945040.000000,3055680.000000,1.034000,1.230000,32.365000,31.924000,457616160.000000,0.000000,10.120000,23.317000,23.317000,4480560.000000,181177200.000000,12330720.000000,12330720.000000,30240.000000,,,,,1916640.000000,6062400.000000,1.000000,106497315.000000,106497315.000000,,0.116000,943462800.000000,6540480.000000,1239120.000000,92766240.000000,8.859000
ARQ,2017-03-31,2017-07-03,2017-03-31,2017-Q1,106117200.000000,1281162699.000000,2025-05-08,6538320.000000,1677152160.000000,,117662400.000000,1559489760.000000,,13.327000,-37957392.000000,107785440.000000,107785440.000000,30929760.000000,-2664000.000000,10.191000,0.181000,141123600.000000,0.000000,141123600.000000,141123600.000000,0.000000,-121752.000000,0.000000,0.010000,0.030000,-1699200.000000,-1820952.000000,-0.052000,-1820952.000000,-1699200.000000,-3120480.000000,-0.014000,-0.014000,-0.014000,1419323040.000000,,1419323040.000000,1314500859.000000,26.000000,23.398000,-61995096.000000,-0.582000,1.000000,4091760.000000,0.117000,216264240.000000,1421280.000000,1482680880.000000,,0.000000,169276320.000000,1833840.000000,167442480.000000,256533120.000000,11545200.000000,244987920.000000,-40375080.000000,,,-7824816.000000,,41480136.000000,-52151832.000000,-32734440.000000,-24037704.000000,-5665680.000000,-2609280.000000,-2609280.000000,-2609280.000000,0.000000,54720.000000,-0.075000,4171680.000000,-79920.000000,4651200.000000,-2.143000,0.903000,33.085000,47.738000,1162496160.000000,0.000000,12.030000,11.869000,11.869000,5184000.000000,175417200.000000,35021520.000000,35021520.000000,30240.000000,,,,,,7477920.000000,1.000000,106497315.000000,106497315.000000,,0.329000,1460887920.000000,13286880.000000,-511200.000000,93650400.000000,13.718000
ARQ,2017-06-30,2017-08-04,2017-06-30,2017-Q2,237547440.000000,1325891572.000000,2025-05-08,-527760.000000,1035727920.000000,,257761440.000000,777966480.000000,,8.225000,-10173600.000000,251022240.000000,251022240.000000,2841120.000000,7873920.000000,12.752000,0.181000,33289920.000000,0.000000,33289920.000000,33289920.000000,0.000000,2671200.000000,0.000000,0.010000,0.030000,10116000.000000,12787200.000000,0.967000,12787200.000000,10116000.000000,9407520.000000,0.072000,0.072000,0.072000,875958480.000000,,875958480.000000,1108159252.000000,24.000000,21.329000,-31680.000000,0.000000,1.000000,10377360.000000,0.785000,80066880.000000,708480.000000,717714720.000000,,0.000000,225635760.000000,1113840.000000,224521920.000000,158550480.000000,20214000.000000,138336480.000000,-53946000.000000,,1091520.000000,0.000000,-2841840.000000,-1750320.000000,-57936240.000000,-47762640.000000,10141920.000000,-4401360.000000,7950960.000000,7950960.000000,7950960.000000,0.000000,77040.000000,0.602000,-4350960.000000,14728320.000000,4196880.000000,0.417000,1.514000,37.515000,57.639000,464587920.000000,0.000000,12.450000,12.076000,12.076000,5140080.000000,186151680.000000,13218480.000000,13218480.000000,30240.000000,,,,,2641680.000000,6796800.000000,1.000000,106497315.000000,106497315.000000,,0.124000,955661040.000000,8789760.000000,1456560.000000,94215600.000000,8.974000
ARQ,2017-09-30,2017-11-08,2017-09-30,2017-Q3,81856080.000000,1308852001.000000,2025-05-08,-7574400.000000,1671069600.000000,,97656480.000000,1573413120.000000,,13.049000,-1277280.000000,78409440.000000,78409440.000000,37827360.000000,4772880.000000,6.181000,0.202000,139491360.000000,0.000000,139491360.000000,139491360.000000,0.000000,6019920.000000,0.000000,0.011000,0.040000,6417360.000000,12437280.000000,0.253000,12437280.000000,6417360.000000,5246640.000000,0.036000,0.036000,0.036000,1389718800.000000,,1389718800.000000,1369933921.000000,39.000000,30.124000,-489600.000000,-0.005000,1.000000,11261520.000000,0.229000,80066880.000000,1170720.000000,1636284240.000000,,6069600.000000,224087040.000000,1041840.000000,223045200.000000,280203120.000000,15800400.000000,264402720.000000,-172612800.000000,-448142400.000000,188507520.000000,106072560.000000,-2685600.000000,291757680.000000,-459455760.000000,5135760.000000,787680.000000,-5702400.000000,4844160.000000,4844160.000000,4844160.000000,0.000000,71280.000000,0.099000,720.000000,11260800.000000,6195600.000000,1.111000,0.942000,47.764000,94.538000,73699200.000000,0.000000,12.290000,8.951000,8.951000,11298240.000000,196894800.000000,49088880.000000,49088880.000000,41040.000000,,,,,2106720.000000,11283120.000000,1.000000,106497315.000000,106497315.000000,,0.461000,1591002720.000000,8303760.000000,402480.000000,115061040.000000,14.939000
ARQ,2017-12-31,2018-02-20,2017-12-31,2017-Q4,233352720.000000,1239728910.000000,2025-05-08,-2072160.000000,1811766960.000000,,254111760.000000,1557655200.000000,,10.661000,-17100000.000000,240267600.000000,240267600.000000,67539600.000000,-46334160.000000,12.241000,0.328000,334301760.000000,0.000000,334301760.000000,334301760.000000,0.000000,9206640.000000,0.000000,0.014000,0.039000,-62620560.000000,-53413920.000000,-0.677000,-53413920.000000,-62620560.000000,-66094560.000000,-0.374000,-0.367000,-0.374000,1363971600.000000,,1363971600.000000,1333763070.000000,-32.000000,-63.759000,-1603440.000000,-0.013000,1.000000,11337840.000000,0.144000,80066880.000000,3474000.000000,1804975200.000000,,7098480.000000,268247520.000000,0.000000,268247520.000000,447795360.000000,20759040.000000,427036320.000000,161858160.000000,712800.000000,55440.000000,216000000.000000,-5447520.000000,201522240.000000,-54992160.000000,-38604960.000000,15496560.000000,-168480.000000,-46330560.000000,-46330560.000000,-46330560.000000,0.000000,3600.000000,-0.587000,71788320.000000,-60450480.000000,11023200.000000,-0.104000,0.909000,-40.513000,-40.714000,73571040.000000,0.000000,9.690000,8.076000,8.076000,6037200.000000,145802160.000000,78877440.000000,78877440.000000,45360.000000,,,,,912240.000000,8172720.000000,1.000000,127939000.000000,127939000.000000,,0.617000,1731700080.000000,0.000000,-19764000.000000,91268640.000000,13.535000
