dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,1993-12-31,1994-01-11,1993-11-30,1994-Q2,266609000.000000,15169960359.000000,2025-03-11,0.000000,1229312000.000000,,795409000.000000,433903000.000000,,0.099000,,194734000.000000,194734000.000000,116198000.000000,62125000.000000,1.504000,1.073000,94295000.000000,9615000.000000,84680000.000000,94295000.000000,180574000.000000,,0.000000,0.000000,0.000000,91892000.000000,,,,91892000.000000,91892000.000000,0.010000,0.010000,0.010000,593106000.000000,,593106000.000000,15069521359.000000,,,,,1.000000,335972000.000000,0.743000,101366000.000000,0.000000,498707000.000000,,0.000000,113072000.000000,97037000.000000,16035000.000000,636206000.000000,528800000.000000,107406000.000000,,,,,,,,,,,62125000.000000,62125000.000000,62125000.000000,0.000000,0.000000,0.137000,244051000.000000,91921000.000000,77439000.000000,0.000000,25.577000,,,280655000.000000,0.000000,2.583000,,,374780000.000000,,452170000.000000,452170000.000000,45867000.000000,,,,,,198184000.000000,1.000000,5873084739.000000,5992623000.000000,5992623000.000000,0.075000,1127946000.000000,47462000.000000,29767000.000000,91759000.000000,0.188000
ARQ,1994-03-31,1994-04-01,1994-02-28,1994-Q3,280467000.000000,13766744923.000000,2025-03-11,0.000000,1328704000.000000,,839491000.000000,489213000.000000,,0.109000,-85446000.000000,254398000.000000,254398000.000000,127408000.000000,69748000.000000,1.502000,1.032000,91764000.000000,7692000.000000,84072000.000000,91764000.000000,187714000.000000,26663000.000000,0.000000,0.000000,0.000000,104110000.000000,130773000.000000,0.271000,130773000.000000,104110000.000000,104110000.000000,0.012000,0.012000,0.012000,653733000.000000,,653733000.000000,13604110923.000000,,,41418000.000000,0.007000,1.000000,355382000.000000,0.736000,100849000.000000,0.000000,506197000.000000,,0.000000,77580000.000000,69042000.000000,8538000.000000,674971000.000000,559024000.000000,115947000.000000,59664000.000000,0.000000,-12029000.000000,-3341000.000000,0.000000,-15370000.000000,-52708000.000000,35493000.000000,126864000.000000,878000.000000,69748000.000000,69748000.000000,69748000.000000,0.000000,0.000000,0.144000,251512000.000000,103870000.000000,90469000.000000,0.000000,21.059000,,,341626000.000000,0.000000,2.380000,,,380889000.000000,,482790000.000000,482790000.000000,48496000.000000,,,,,0.000000,203016000.000000,1.000000,5784346606.000000,5989342500.000000,5989342500.000000,0.081000,1227855000.000000,47318000.000000,34362000.000000,105181000.000000,0.205000
ARQ,1994-06-30,1994-07-27,1994-05-31,1994-Q4,393511000.000000,15411850825.000000,2025-03-11,-2542000.000000,1594984000.000000,,1075612000.000000,519372000.000000,,0.124000,-63068000.000000,404810000.000000,404810000.000000,155429000.000000,114487000.000000,1.577000,1.154000,89743000.000000,6898000.000000,82845000.000000,89743000.000000,227118000.000000,29267000.000000,0.000000,0.000000,0.000000,177726000.000000,206993000.000000,0.310000,206993000.000000,177726000.000000,170855000.000000,0.019000,0.019000,0.019000,740553000.000000,,740553000.000000,15096783825.000000,35.000000,28.224000,135779000.000000,0.023000,1.000000,512704000.000000,0.767000,100329000.000000,6871000.000000,497487000.000000,,0.000000,59948000.000000,59948000.000000,0.000000,854431000.000000,682101000.000000,172330000.000000,150412000.000000,0.000000,595000.000000,-2840000.000000,0.000000,-2245000.000000,-50531000.000000,17632000.000000,198847000.000000,4341000.000000,114487000.000000,114487000.000000,114487000.000000,0.000000,0.000000,0.171000,343297000.000000,169407000.000000,95799000.000000,0.000000,20.811000,54.321000,56.533000,378483000.000000,0.000000,2.657000,7.702000,7.951000,515669000.000000,488595000.000000,668133000.000000,668133000.000000,56157000.000000,,,,,0.000000,287140000.000000,1.000000,5800389912.000000,5978225250.000000,5978225250.000000,0.112000,1494655000.000000,53765000.000000,56368000.000000,146288000.000000,0.250000
ARQ,1994-09-30,1994-10-14,1994-08-31,1995-Q1,410744000.000000,19201438901.000000,2025-03-11,0.000000,1622364000.000000,,1082850000.000000,539514000.000000,,0.130000,-40951000.000000,462548000.000000,462548000.000000,156523000.000000,61200000.000000,1.611000,1.080000,95299000.000000,12613000.000000,82686000.000000,95299000.000000,243709000.000000,30639000.000000,0.000000,0.000000,0.000000,91343000.000000,121982000.000000,0.219000,121982000.000000,91343000.000000,91343000.000000,0.010000,0.010000,0.010000,780061000.000000,,780061000.000000,18834189901.000000,40.000000,,60851000.000000,0.010000,1.000000,399951000.000000,0.719000,100270000.000000,0.000000,482739000.000000,,0.000000,30743000.000000,30743000.000000,0.000000,842303000.000000,672106000.000000,170197000.000000,57738000.000000,0.000000,-28009000.000000,3993000.000000,0.000000,-24016000.000000,-23536000.000000,29205000.000000,101802000.000000,3488000.000000,61200000.000000,61200000.000000,61200000.000000,0.000000,0.000000,0.110000,312408000.000000,87543000.000000,102994000.000000,0.000000,24.615000,62.432000,63.661000,388755000.000000,0.000000,3.310000,8.891000,9.173000,436182000.000000,,556474000.000000,556474000.000000,55157000.000000,,,,,0.000000,257251000.000000,1.000000,5800389912.000000,5983834500.000000,5983834500.000000,0.093000,1522094000.000000,60021000.000000,30143000.000000,122904000.000000,0.254000
ARQ,1994-12-31,1995-01-13,1994-11-30,1995-Q2,314865000.000000,18103541101.000000,2025-03-11,0.000000,1744419000.000000,,1036885000.000000,707534000.000000,,0.137000,-89576000.000000,221097000.000000,221097000.000000,187578000.000000,93866000.000000,1.436000,1.120000,90975000.000000,8558000.000000,82417000.000000,90975000.000000,237058000.000000,34469000.000000,0.000000,0.000000,0.000000,140098000.000000,174567000.000000,0.260000,174567000.000000,140098000.000000,140098000.000000,0.016000,0.016000,0.016000,822727000.000000,,822727000.000000,17973419101.000000,35.000000,28.335000,-24926000.000000,-0.004000,1.000000,482702000.000000,0.720000,100216000.000000,0.000000,792061000.000000,,0.000000,108350000.000000,108350000.000000,0.000000,921692000.000000,722020000.000000,199672000.000000,-241451000.000000,0.000000,-20831000.000000,-3878000.000000,0.000000,-24709000.000000,-282692000.000000,-77607000.000000,64650000.000000,1300000.000000,93866000.000000,93866000.000000,93866000.000000,0.000000,0.000000,0.140000,344770000.000000,137932000.000000,127296000.000000,0.000000,22.004000,53.355000,54.750000,442168000.000000,0.000000,3.121000,7.614000,7.857000,539263000.000000,,670280000.000000,670280000.000000,57226000.000000,,,,,0.000000,287544000.000000,1.000000,5801039755.000000,5986345500.000000,5986345500.000000,0.112000,1644203000.000000,68166000.000000,46232000.000000,118695000.000000,0.275000
ARQ,1995-03-31,1995-04-06,1995-02-28,1995-Q3,382607000.000000,19004897960.000000,2025-03-11,0.000000,1910409000.000000,,1156023000.000000,754386000.000000,,0.158000,-83807000.000000,276916000.000000,276916000.000000,196683000.000000,104777000.000000,1.495000,1.026000,91836000.000000,9947000.000000,81889000.000000,91836000.000000,262140000.000000,37147000.000000,0.000000,0.000000,0.000000,156384000.000000,193531000.000000,0.268000,193531000.000000,156384000.000000,156384000.000000,0.018000,0.018000,0.018000,943019000.000000,,943019000.000000,18819817960.000000,33.000000,26.998000,67237000.000000,0.011000,1.000000,525562000.000000,0.728000,100538000.000000,0.000000,851375000.000000,,0.000000,125631000.000000,125631000.000000,0.000000,967390000.000000,773416000.000000,193974000.000000,55819000.000000,0.000000,5327000.000000,574000.000000,0.000000,5901000.000000,-104830000.000000,-17281000.000000,151044000.000000,3704000.000000,104777000.000000,104777000.000000,104777000.000000,0.000000,0.000000,0.145000,370711000.000000,154851000.000000,115174000.000000,0.000000,20.153000,50.770000,51.817000,487606000.000000,0.000000,3.264000,7.262000,7.460000,558659000.000000,,722245000.000000,722245000.000000,67363000.000000,,,,,0.000000,303348000.000000,1.000000,5821786305.000000,5980837500.000000,5980837500.000000,0.121000,1809871000.000000,89196000.000000,51607000.000000,127450000.000000,0.303000
ARQ,1995-06-30,1995-08-25,1995-05-31,1995-Q4,562045000.000000,27796131140.000000,2025-03-11,18234000.000000,2424517000.000000,,1617194000.000000,807323000.000000,,0.202000,-95899000.000000,480158000.000000,480158000.000000,238228000.000000,181675000.000000,1.533000,1.001000,91320000.000000,9599000.000000,81721000.000000,91320000.000000,316273000.000000,45517000.000000,0.000000,0.000000,0.000000,278127000.000000,323644000.000000,0.318000,323644000.000000,278127000.000000,271157000.000000,0.030000,0.030000,0.030000,1211358000.000000,,1211358000.000000,27407293140.000000,41.000000,33.681000,155289000.000000,0.026000,1.000000,779651000.000000,0.766000,99855000.000000,6970000.000000,880675000.000000,,0.000000,105660000.000000,105660000.000000,0.000000,1213159000.000000,1055149000.000000,158010000.000000,203242000.000000,0.000000,28301000.000000,-1511000.000000,0.000000,26790000.000000,-84711000.000000,19971000.000000,251188000.000000,9975000.000000,181675000.000000,181675000.000000,181675000.000000,0.000000,0.000000,0.178000,510256000.000000,269395000.000000,124773000.000000,0.000000,22.946000,62.956000,64.189000,535034000.000000,0.000000,4.750000,9.369000,9.588000,846342000.000000,854138000.000000,1017879000.000000,1017879000.000000,80851000.000000,,,,,0.000000,429405000.000000,1.000000,5851817082.000000,6003328500.000000,6003328500.000000,0.170000,2324662000.000000,135491000.000000,89482000.000000,229060000.000000,0.387000
ARQ,1995-09-30,1995-09-29,1995-08-31,1996-Q1,558791000.000000,25020740070.000000,2025-03-11,0.000000,2349408000.000000,,1433864000.000000,915544000.000000,,0.217000,-72253000.000000,475586000.000000,475586000.000000,231509000.000000,53763000.000000,1.639000,0.799000,91732000.000000,10385000.000000,81347000.000000,91732000.000000,326669000.000000,50339000.000000,0.000000,0.000000,0.000000,81459000.000000,131798000.000000,0.171000,131798000.000000,81459000.000000,81459000.000000,0.009000,0.009000,0.009000,1305902000.000000,,1305902000.000000,24636886070.000000,38.000000,29.916000,90424000.000000,0.015000,1.000000,540294000.000000,0.700000,99509000.000000,0.000000,990972000.000000,,0.000000,112128000.000000,101714000.000000,10414000.000000,1043506000.000000,875073000.000000,168433000.000000,-4572000.000000,0.000000,8384000.000000,721000.000000,0.000000,26280000.000000,-186845000.000000,-6468000.000000,162677000.000000,-6684000.000000,53763000.000000,53763000.000000,53763000.000000,0.000000,0.000000,0.070000,466103000.000000,74191000.000000,113786000.000000,0.000000,19.160000,57.641000,58.417000,557373000.000000,0.000000,4.264000,7.863000,8.078000,611063000.000000,,771803000.000000,771803000.000000,84441000.000000,,,,,0.000000,330731000.000000,1.000000,5867291835.000000,6027979500.000000,6027979500.000000,0.128000,2249899000.000000,122251000.000000,27696000.000000,138515000.000000,0.373000
ARQ,1995-12-31,1995-12-26,1995-11-30,1996-Q2,634990000.000000,28978198797.000000,2025-03-11,0.000000,2530293000.000000,,1591411000.000000,938882000.000000,,0.242000,-93714000.000000,497726000.000000,497726000.000000,255422000.000000,136901000.000000,1.664000,0.731000,91138000.000000,9895000.000000,81243000.000000,91138000.000000,301568000.000000,54508000.000000,0.000000,0.000000,0.000000,207426000.000000,261934000.000000,0.271000,261934000.000000,207426000.000000,207426000.000000,0.023000,0.023000,0.023000,1461696000.000000,,1461696000.000000,28571610797.000000,39.000000,31.366000,-13594000.000000,-0.002000,1.000000,711762000.000000,0.736000,99299000.000000,0.000000,1067985000.000000,,0.000000,64362000.000000,56736000.000000,7626000.000000,1068597000.000000,956421000.000000,112176000.000000,22140000.000000,0.000000,-14352000.000000,-921000.000000,0.000000,-15273000.000000,-44961000.000000,47766000.000000,80120000.000000,2254000.000000,136901000.000000,136901000.000000,136901000.000000,0.000000,0.000000,0.142000,507150000.000000,204612000.000000,129244000.000000,0.000000,19.825000,60.736000,61.639000,602993000.000000,0.000000,4.931000,8.329000,8.556000,766918000.000000,,967184000.000000,967184000.000000,93272000.000000,,,,,0.000000,413878000.000000,1.000000,5876606336.000000,6036390000.000000,6036390000.000000,0.160000,2430994000.000000,131626000.000000,70525000.000000,152047000.000000,0.403000
ARQ,1996-03-31,1996-04-12,1996-02-29,1996-Q3,705910000.000000,28704247050.000000,2025-03-11,0.000000,2763032000.000000,,1775908000.000000,987124000.000000,,0.264000,-90533000.000000,612667000.000000,612667000.000000,286843000.000000,146290000.000000,1.660000,0.736000,90968000.000000,9885000.000000,81083000.000000,90968000.000000,350219000.000000,54868000.000000,0.000000,0.000000,0.000000,221651000.000000,276519000.000000,0.271000,276519000.000000,221651000.000000,221651000.000000,0.024000,0.024000,0.024000,1591153000.000000,,1591153000.000000,28182548050.000000,36.000000,28.356000,191070000.000000,0.032000,1.000000,733396000.000000,0.719000,98951000.000000,0.000000,1072384000.000000,,0.000000,106529000.000000,97078000.000000,9451000.000000,1171879000.000000,1069998000.000000,101881000.000000,114941000.000000,0.000000,-24498000.000000,-220000.000000,0.000000,-24718000.000000,-139340000.000000,-42167000.000000,281603000.000000,-2604000.000000,146290000.000000,146290000.000000,146290000.000000,0.000000,0.000000,0.143000,513454000.000000,219942000.000000,153597000.000000,0.000000,18.040000,55.346000,56.034000,642987000.000000,0.000000,4.875000,7.600000,7.788000,774523000.000000,,1020239000.000000,1020239000.000000,92805000.000000,,,,,0.000000,420649000.000000,1.000000,5888050677.000000,6034311000.000000,6034311000.000000,0.169000,2664081000.000000,142136000.000000,75361000.000000,166636000.000000,0.441000
