dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2020-12-31,2021-05-17,2020-12-31,2020-Q4,11518000.000000,,2025-05-01,-2525000.000000,678929000.000000,,240162000.000000,438767000.000000,,11.014000,,105364000.000000,105364000.000000,,,1.050000,1.082000,233449000.000000,117911000.000000,115538000.000000,233449000.000000,0.000000,,0.000000,,0.000000,,,,,,,,,,326086000.000000,,326086000.000000,,,,,,1.000000,,,156463000.000000,,421907000.000000,,39115000.000000,0.000000,0.000000,0.000000,352843000.000000,228644000.000000,124199000.000000,,,,,,,,,,,,,,,,,,,45295000.000000,,,,,275728000.000000,,,,,90210000.000000,-119661000.000000,,,,,,,,,,0.050000,592139917.000000,592139917.000000,,,522466000.000000,540000.000000,,2159000.000000,17.647000
ARQ,2021-06-30,2021-08-16,2021-06-30,2021-Q2,864317000.000000,9856386196.000000,2025-05-01,-26593000.000000,1656430000.000000,,1044810000.000000,611620000.000000,,46.507000,,524238000.000000,524238000.000000,107544000.000000,-59064000.000000,5.789000,0.187000,80257000.000000,10137000.000000,70120000.000000,80257000.000000,0.000000,,0.000000,0.000000,0.000000,-48104000.000000,,,,-48104000.000000,-58800000.000000,-2.200000,-2.200000,-2.200000,1394973000.000000,,1394973000.000000,9412405196.000000,,,,,1.000000,38607000.000000,0.264000,154804000.000000,10696000.000000,877152000.000000,,57074000.000000,322685000.000000,322685000.000000,0.000000,261457000.000000,180493000.000000,80964000.000000,,,,,,,,,,,-59064000.000000,-59064000.000000,-59064000.000000,0.000000,0.000000,-0.404000,86711000.000000,-48104000.000000,64316000.000000,0.000000,7.066000,,,455833000.000000,0.000000,328.600000,,,114432000.000000,-206642000.000000,146151000.000000,146151000.000000,3952000.000000,,,,,,83132000.000000,0.050000,599901777.000000,599901777.000000,,4.872000,1501626000.000000,488000.000000,264000.000000,3438000.000000,50.062000
ARQ,2021-09-30,2021-11-15,2021-09-30,2021-Q3,754758000.000000,5615080633.000000,2025-05-01,-49798000.000000,1650419000.000000,,941751000.000000,708668000.000000,,44.679000,-52281000.000000,403054000.000000,403054000.000000,126185000.000000,-41193000.000000,5.036000,0.232000,127830000.000000,15559000.000000,112271000.000000,127830000.000000,0.000000,7922000.000000,0.000000,0.000000,0.000000,-44457000.000000,-36535000.000000,-0.214000,-36535000.000000,-44457000.000000,-40626000.000000,-1.400000,-1.400000,-1.400000,1340143000.000000,,1340143000.000000,5339856633.000000,,,-128351000.000000,-4.279000,1.000000,44877000.000000,0.262000,151594000.000000,-3831000.000000,1036608000.000000,,78023000.000000,305165000.000000,305165000.000000,0.000000,310276000.000000,186993000.000000,123283000.000000,-119720000.000000,,0.000000,-2195000.000000,,-2195000.000000,-41455000.000000,11493000.000000,-76070000.000000,-1464000.000000,-41193000.000000,-41193000.000000,-41193000.000000,0.000000,0.000000,-0.241000,89334000.000000,-44457000.000000,70929000.000000,0.000000,4.190000,,,555662000.000000,0.000000,187.200000,,,122853000.000000,-238267000.000000,171062000.000000,171062000.000000,4052000.000000,,,,,9568000.000000,85090000.000000,0.050000,599901777.000000,599901777.000000,,5.703000,1498825000.000000,902000.000000,567000.000000,3476000.000000,49.969000
ARQ,2021-12-31,2022-03-09,2021-12-31,2021-Q4,563677000.000000,3384964446.000000,2025-05-01,-74486000.000000,1628912000.000000,,807064000.000000,821848000.000000,,42.087000,-87100000.000000,295572000.000000,295572000.000000,156330000.000000,-79753000.000000,3.316000,0.308000,149206000.000000,22690000.000000,126516000.000000,149206000.000000,0.000000,10836000.000000,0.000000,0.000000,0.000000,-92667000.000000,-81831000.000000,-0.440000,-81831000.000000,-92667000.000000,-85187000.000000,-2.600000,-2.600000,-2.600000,1245299000.000000,,1245299000.000000,3238598446.000000,-15.000000,-17.363000,-152336000.000000,-5.148000,1.000000,29595000.000000,0.159000,145925000.000000,-7480000.000000,1093234000.000000,,95661000.000000,249937000.000000,249937000.000000,0.000000,383613000.000000,243387000.000000,140226000.000000,-106388000.000000,,0.000000,-2873000.000000,,-2873000.000000,-38279000.000000,49432000.000000,-65236000.000000,-1094000.000000,-79753000.000000,-79753000.000000,-79753000.000000,0.000000,0.000000,-0.429000,122262000.000000,-92667000.000000,93043000.000000,0.000000,2.718000,-15.937000,-14.667000,668096000.000000,0.000000,114.400000,5.263000,4.883000,143282000.000000,-308423000.000000,185925000.000000,185925000.000000,5675000.000000,,,,,9598000.000000,118900000.000000,0.050000,591777001.000000,591777001.000000,591777001.000000,6.284000,1482987000.000000,2728000.000000,-5434000.000000,3244000.000000,50.120000
ARQ,2021-12-31,2022-04-06,2021-12-31,2021-Q4,563677000.000000,2769516365.000000,2025-05-01,-74486000.000000,1628912000.000000,,807064000.000000,821848000.000000,,45.359000,-87100000.000000,295572000.000000,295572000.000000,156330000.000000,-79753000.000000,3.316000,0.308000,149206000.000000,22690000.000000,126516000.000000,149206000.000000,0.000000,10836000.000000,0.000000,0.000000,0.000000,-78232000.000000,-67396000.000000,-0.362000,-67396000.000000,-78232000.000000,-85187000.000000,-2.800000,-2.800000,-2.800000,1245299000.000000,,1245299000.000000,2623150365.000000,-13.000000,-15.243000,-152336000.000000,-5.549000,1.000000,29595000.000000,0.159000,145925000.000000,6955000.000000,1093234000.000000,,95661000.000000,249937000.000000,249937000.000000,0.000000,383613000.000000,243387000.000000,140226000.000000,-106388000.000000,,0.000000,-2873000.000000,,-2873000.000000,-38279000.000000,49432000.000000,-65236000.000000,-1094000.000000,-79753000.000000,-79753000.000000,-79753000.000000,0.000000,0.000000,-0.429000,122262000.000000,-92667000.000000,93043000.000000,0.000000,2.224000,-13.040000,-12.000000,668096000.000000,0.000000,93.600000,4.306000,3.995000,143282000.000000,-308423000.000000,185925000.000000,185925000.000000,5675000.000000,,,,,9598000.000000,118900000.000000,0.050000,591777001.000000,549080310.000000,,6.772000,1482987000.000000,2728000.000000,-5434000.000000,3244000.000000,54.017000
ARQ,2022-03-31,2022-05-04,2022-03-31,2022-Q1,426078000.000000,2331601384.000000,2025-05-01,-97440000.000000,1529282000.000000,,666188000.000000,863094000.000000,,38.694000,-53278000.000000,219045000.000000,219045000.000000,150338000.000000,-87459000.000000,2.775000,0.336000,154725000.000000,26063000.000000,128662000.000000,154725000.000000,0.000000,10731000.000000,0.000000,0.000000,0.000000,-92157000.000000,-81426000.000000,-0.490000,-81426000.000000,-92157000.000000,-88580000.000000,-3.000000,-3.000000,-3.000000,1144923000.000000,,1144923000.000000,2267281384.000000,-9.000000,,-122216000.000000,-4.130000,1.000000,15848000.000000,0.095000,142244000.000000,-3577000.000000,1082608000.000000,,98933000.000000,192233000.000000,192233000.000000,0.000000,384359000.000000,240110000.000000,144249000.000000,-74550000.000000,,,-4165000.000000,,-4165000.000000,-1447000.000000,53266000.000000,-68938000.000000,-1977000.000000,-87459000.000000,-87459000.000000,-87459000.000000,0.000000,0.000000,-0.526000,108005000.000000,-92157000.000000,75621000.000000,0.000000,2.036000,-8.717000,-8.383000,712855000.000000,0.000000,78.800000,3.484000,3.484000,139617000.000000,-385845000.000000,166186000.000000,166186000.000000,4264000.000000,,,,,10037000.000000,104073000.000000,0.050000,591777001.000000,591777001.000000,591777001.000000,5.617000,1387038000.000000,3038000.000000,-1121000.000000,3352000.000000,46.877000
ARQ,2022-06-30,2022-08-02,2022-06-30,2022-Q2,263221000.000000,1917903961.000000,2025-05-01,-157652000.000000,1442992000.000000,,543482000.000000,899510000.000000,,34.527000,-57986000.000000,182201000.000000,182201000.000000,149814000.000000,-71990000.000000,1.939000,0.412000,149669000.000000,24568000.000000,125101000.000000,149669000.000000,0.000000,11876000.000000,0.000000,0.000000,0.000000,-74429000.000000,-62553000.000000,-0.352000,-62553000.000000,-74429000.000000,-75022000.000000,-2.400000,-2.400000,-2.400000,1021906000.000000,,1021906000.000000,1885371961.000000,-7.000000,-7.605000,-116324000.000000,-3.930000,1.000000,28144000.000000,0.158000,129644000.000000,593000.000000,1000555000.000000,,104439000.000000,92898000.000000,92898000.000000,0.000000,421086000.000000,280261000.000000,140825000.000000,-25157000.000000,,,-2713000.000000,,-2713000.000000,35894000.000000,95003000.000000,-58338000.000000,-11687000.000000,-71990000.000000,-71990000.000000,-71990000.000000,0.000000,0.000000,-0.405000,102573000.000000,-74429000.000000,97155000.000000,0.000000,1.877000,-6.840000,-6.750000,758722000.000000,0.000000,64.800000,2.735000,2.735000,146337000.000000,-448650000.000000,177958000.000000,177958000.000000,5718000.000000,,,,,9185000.000000,97060000.000000,0.050000,591945667.000000,591945667.000000,591945667.000000,6.013000,1313348000.000000,3599000.000000,-3032000.000000,4569000.000000,44.374000
ARQ,2022-09-30,2022-11-14,2022-09-30,2022-Q3,132241000.000000,1267230145.000000,2025-05-01,-200875000.000000,1247995000.000000,,369114000.000000,878881000.000000,,29.694000,-59250000.000000,105603000.000000,105603000.000000,178044000.000000,-107949000.000000,1.558000,0.420000,143884000.000000,23889000.000000,119995000.000000,143884000.000000,0.000000,12158000.000000,0.000000,0.000000,0.000000,-104368000.000000,-92210000.000000,-0.504000,-92210000.000000,-104368000.000000,-111859000.000000,-3.600000,-3.600000,-3.600000,879179000.000000,,879179000.000000,1305511145.000000,-4.000000,-4.300000,-147198000.000000,-4.972000,1.000000,4982000.000000,0.027000,119693000.000000,7491000.000000,929710000.000000,,89326000.000000,14743000.000000,14743000.000000,0.000000,368816000.000000,236873000.000000,131943000.000000,-73642000.000000,,0.000000,-3103000.000000,,-3103000.000000,17409000.000000,77939000.000000,-87948000.000000,-2956000.000000,-107949000.000000,-107949000.000000,-107949000.000000,0.000000,0.000000,-0.590000,109350000.000000,-104368000.000000,66097000.000000,0.000000,1.441000,-3.650000,-3.627000,746732000.000000,0.000000,42.800000,1.777000,1.777000,149638000.000000,-548096000.000000,183026000.000000,183026000.000000,5245000.000000,,,,,8503000.000000,103765000.000000,0.050000,592163619.000000,592163619.000000,592163619.000000,6.182000,1128302000.000000,5250000.000000,-3910000.000000,5081000.000000,38.108000
ARQ,2022-12-31,2023-03-15,2022-12-31,2022-Q4,140344000.000000,1261460497.000000,2025-05-01,-171483000.000000,1225197000.000000,,482251000.000000,742946000.000000,,26.717000,-31141000.000000,82644000.000000,82644000.000000,164015000.000000,-125169000.000000,1.410000,0.549000,151698000.000000,66745000.000000,84953000.000000,151698000.000000,0.000000,13550000.000000,0.000000,0.000000,0.000000,-125031000.000000,-111481000.000000,-0.571000,-111481000.000000,-125031000.000000,-121933000.000000,-4.200000,-4.200000,-4.200000,791143000.000000,,791143000.000000,1330514497.000000,-3.000000,-3.827000,-84863000.000000,-2.866000,1.000000,31053000.000000,0.159000,127688000.000000,-3098000.000000,824656000.000000,,114475000.000000,0.000000,0.000000,0.000000,434054000.000000,341907000.000000,92147000.000000,-24884000.000000,,0.000000,45900000.000000,,45900000.000000,-17062000.000000,14751000.000000,-53722000.000000,1925000.000000,-125169000.000000,-125169000.000000,-125169000.000000,0.000000,0.000000,-0.642000,156084000.000000,-125031000.000000,82516000.000000,0.000000,1.594000,-3.213000,-3.227000,601550000.000000,0.000000,42.600000,1.747000,1.746000,126621000.000000,-665524000.000000,195068000.000000,195068000.000000,7035000.000000,,,,,7741000.000000,107901000.000000,0.050000,592234975.000000,592234975.000000,592234975.000000,6.588000,1097509000.000000,6103000.000000,3236000.000000,5515000.000000,37.063000
ARQ,2022-12-31,2023-04-20,2022-12-31,2022-Q4,140344000.000000,1314950229.000000,2025-05-01,-171483000.000000,1225197000.000000,,482251000.000000,742946000.000000,,26.717000,-31141000.000000,82644000.000000,82644000.000000,164015000.000000,-125169000.000000,1.410000,0.549000,151698000.000000,66745000.000000,84953000.000000,151698000.000000,0.000000,13550000.000000,0.000000,0.000000,0.000000,-109775000.000000,-96225000.000000,-0.493000,-96225000.000000,-109775000.000000,-121933000.000000,-4.200000,-4.200000,-4.200000,791143000.000000,,791143000.000000,1384004229.000000,-4.000000,-4.163000,-84863000.000000,-2.866000,1.000000,31053000.000000,0.159000,127688000.000000,12158000.000000,824656000.000000,,114475000.000000,0.000000,0.000000,0.000000,434054000.000000,341907000.000000,92147000.000000,-24884000.000000,,0.000000,45900000.000000,,45900000.000000,-17062000.000000,14751000.000000,-53722000.000000,1925000.000000,-125169000.000000,-125169000.000000,-125169000.000000,0.000000,0.000000,-0.642000,156084000.000000,-125031000.000000,82516000.000000,0.000000,1.662000,-3.350000,-3.364000,601550000.000000,0.000000,44.400000,1.821000,1.820000,126621000.000000,-665524000.000000,195068000.000000,195068000.000000,7035000.000000,,,,,7741000.000000,107901000.000000,0.050000,592319923.000000,592237204.000000,592237204.000000,6.587000,1097509000.000000,6103000.000000,3236000.000000,5515000.000000,37.063000
