dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2011-03-31,2011-06-10,2011-04-30,2012-Q1,36218000.000000,,2023-07-10,0.000000,101605000.000000,,88159000.000000,13446000.000000,,-6.092000,-2086000.000000,43718000.000000,43718000.000000,4360000.000000,-6754000.000000,1.697000,-0.701000,7433000.000000,0.000000,7433000.000000,7433000.000000,17456000.000000,759000.000000,0.000000,,0.000000,-6623000.000000,-5864000.000000,-0.115000,-5864000.000000,-6623000.000000,-6732000.000000,-0.610000,-0.610000,-0.610000,-90767000.000000,,-90767000.000000,,,,689000.000000,0.046000,1.000000,46680000.000000,0.915000,0.000000,109000.000000,13379000.000000,,0.000000,0.000000,0.000000,0.000000,63615000.000000,51941000.000000,11674000.000000,670000.000000,0.000000,145000.000000,-164000.000000,0.000000,-19000.000000,-2086000.000000,0.000000,2775000.000000,0.000000,-6754000.000000,-9144000.000000,-9144000.000000,0.000000,0.000000,-0.179000,51796000.000000,-5116000.000000,1474000.000000,0.000000,,,,10010000.000000,2390000.000000,,,,41205000.000000,-92073000.000000,51040000.000000,51040000.000000,2731000.000000,,,,,936000.000000,19907000.000000,1.000000,159727692.000000,14900000.000000,14900000.000000,3.426000,101605000.000000,0.000000,22000.000000,0.000000,6.819000
ARQ,2011-06-30,2011-09-02,2011-07-31,2012-Q2,92427000.000000,1946462768.000000,2023-07-10,0.000000,165249000.000000,,150913000.000000,14336000.000000,,1.267000,-3285000.000000,95307000.000000,95307000.000000,5460000.000000,-1812000.000000,2.580000,0.582000,0.000000,0.000000,0.000000,0.000000,19203000.000000,956000.000000,0.000000,0.000000,0.000000,-1530000.000000,-574000.000000,-0.009000,-574000.000000,-1530000.000000,-1791000.000000,-0.040000,-0.040000,-0.040000,104426000.000000,,104426000.000000,1851155768.000000,,,-2689000.000000,-0.033000,1.000000,61506000.000000,0.918000,0.000000,261000.000000,11456000.000000,,0.000000,0.000000,0.000000,0.000000,60823000.000000,58486000.000000,2337000.000000,51589000.000000,0.000000,92175000.000000,-7432000.000000,0.000000,54278000.000000,-3285000.000000,0.000000,596000.000000,0.000000,-1812000.000000,-3180000.000000,-3180000.000000,0.000000,0.000000,-0.047000,60061000.000000,1445000.000000,2089000.000000,0.000000,18.640000,,,12339000.000000,1368000.000000,12.070000,,,51435000.000000,-93885000.000000,66966000.000000,66966000.000000,3426000.000000,,,,,2128000.000000,22912000.000000,1.000000,161264521.000000,82389000.000000,82389000.000000,0.813000,165249000.000000,0.000000,21000.000000,0.000000,2.006000
ARQ,2011-09-30,2011-11-29,2011-10-31,2012-Q3,93784000.000000,1589466516.000000,2023-07-10,-11000.000000,169914000.000000,,153546000.000000,16368000.000000,,0.667000,-3653000.000000,53876000.000000,53876000.000000,6260000.000000,638000.000000,2.569000,0.579000,0.000000,0.000000,0.000000,0.000000,18432000.000000,1272000.000000,0.000000,0.000000,0.000000,784000.000000,2056000.000000,0.027000,2056000.000000,784000.000000,661000.000000,0.000000,0.000000,0.000000,107629000.000000,,107629000.000000,1535590516.000000,,,-3542000.000000,-0.022000,1.000000,68748000.000000,0.917000,0.000000,123000.000000,56276000.000000,,0.000000,36923000.000000,36923000.000000,0.000000,62285000.000000,59762000.000000,2523000.000000,-41431000.000000,0.000000,-580000.000000,0.000000,0.000000,-955000.000000,-40587000.000000,-36934000.000000,111000.000000,0.000000,638000.000000,638000.000000,638000.000000,0.000000,0.000000,0.009000,67992000.000000,756000.000000,2149000.000000,,14.768000,,,14437000.000000,0.000000,9.850000,,,60247000.000000,-93247000.000000,75008000.000000,75008000.000000,3685000.000000,,,,,2675000.000000,26649000.000000,1.000000,161367159.000000,161288000.000000,191014000.000000,0.465000,169914000.000000,0.000000,23000.000000,0.000000,1.053000
ARQ,2011-12-31,2012-03-19,2012-01-31,2012-Q4,89218000.000000,1750206014.000000,2023-07-10,-5000.000000,178015000.000000,,160125000.000000,17890000.000000,,0.987000,-2620000.000000,44126000.000000,44126000.000000,6679000.000000,-8179000.000000,2.258000,0.703000,0.000000,0.000000,0.000000,0.000000,19232000.000000,1468000.000000,0.000000,0.000000,0.000000,-8047000.000000,-6579000.000000,-0.081000,-6579000.000000,-8047000.000000,-8170000.000000,-0.060000,-0.060000,-0.060000,104540000.000000,,104540000.000000,1706080014.000000,-111.000000,-155.650000,-224000.000000,-0.002000,1.000000,74647000.000000,0.918000,0.000000,123000.000000,62982000.000000,,0.000000,46455000.000000,46455000.000000,0.000000,73475000.000000,70907000.000000,2568000.000000,-9750000.000000,0.000000,966000.000000,0.000000,0.000000,966000.000000,-13112000.000000,-9972000.000000,2396000.000000,0.000000,-8179000.000000,-8179000.000000,-8179000.000000,0.000000,0.000000,-0.101000,82722000.000000,-8075000.000000,2053000.000000,0.000000,16.742000,-88.105000,-55.842000,15576000.000000,0.000000,10.610000,6.380000,4.098000,66738000.000000,-101426000.000000,81326000.000000,81326000.000000,3583000.000000,,,,,3448000.000000,30970000.000000,1.000000,164958154.000000,105955000.000000,105955000.000000,0.768000,178015000.000000,0.000000,9000.000000,0.000000,1.680000
ARQ,2012-03-31,2012-06-04,2012-04-30,2013-Q1,77737000.000000,1666546530.000000,2023-07-10,-2000.000000,171861000.000000,,154368000.000000,17493000.000000,,0.555000,-1243000.000000,44690000.000000,44690000.000000,6917000.000000,-20228000.000000,2.014000,0.871000,0.000000,0.000000,0.000000,0.000000,21741000.000000,1541000.000000,0.000000,0.000000,0.000000,-20110000.000000,-18569000.000000,-0.230000,-18569000.000000,-20110000.000000,-20234000.000000,-0.120000,-0.120000,-0.120000,91850000.000000,,91850000.000000,1621856530.000000,-56.000000,-68.531000,-11823000.000000,-0.071000,1.000000,73867000.000000,0.914000,0.000000,124000.000000,50540000.000000,,0.000000,35900000.000000,35900000.000000,0.000000,80011000.000000,76631000.000000,3380000.000000,564000.000000,0.000000,1928000.000000,0.000000,0.000000,1928000.000000,9216000.000000,10459000.000000,-10580000.000000,0.000000,-20228000.000000,-20228000.000000,-20228000.000000,0.000000,0.000000,-0.250000,94009000.000000,-20142000.000000,1595000.000000,0.000000,18.144000,-53.848000,-45.455000,15246000.000000,0.000000,10.000000,5.481000,5.439000,70531000.000000,-121654000.000000,80784000.000000,80784000.000000,4119000.000000,,,,,5500000.000000,34072000.000000,1.000000,166654653.000000,165404000.000000,165404000.000000,0.488000,171861000.000000,0.000000,-6000.000000,0.000000,1.039000
ARQ,2012-06-30,2012-09-04,2012-07-31,2013-Q2,79252000.000000,2072141367.000000,2023-07-10,-2000.000000,184493000.000000,,166235000.000000,18258000.000000,,0.563000,-2644000.000000,49539000.000000,49539000.000000,68036000.000000,-5415000.000000,1.911000,0.958000,0.000000,0.000000,0.000000,0.000000,24145000.000000,1795000.000000,0.000000,0.000000,0.000000,-5278000.000000,-3483000.000000,-0.034000,-3483000.000000,-5278000.000000,-5414000.000000,-0.030000,-0.030000,-0.030000,94218000.000000,,94218000.000000,2022602367.000000,-62.000000,-76.109000,202000.000000,0.001000,1.000000,33231000.000000,0.328000,0.000000,136000.000000,47971000.000000,,0.000000,32758000.000000,32758000.000000,0.000000,90275000.000000,86983000.000000,3292000.000000,4849000.000000,0.000000,1639000.000000,0.000000,0.000000,1639000.000000,364000.000000,3008000.000000,2846000.000000,0.000000,-5415000.000000,-5415000.000000,-5415000.000000,0.000000,0.000000,-0.053000,38534000.000000,-5303000.000000,3473000.000000,0.000000,21.993000,-62.444000,-58.429000,16104000.000000,0.000000,12.270000,6.124000,6.071000,80387000.000000,-127069000.000000,101267000.000000,101267000.000000,4475000.000000,,,,,6037000.000000,34059000.000000,1.000000,168878677.000000,167429000.000000,167429000.000000,0.605000,184493000.000000,0.000000,1000.000000,0.000000,1.102000
ARQ,2012-09-30,2012-12-07,2012-10-31,2013-Q3,89802000.000000,1355508510.000000,2023-07-10,-5000.000000,201775000.000000,,182776000.000000,18999000.000000,,0.618000,-2094000.000000,57725000.000000,57725000.000000,74051000.000000,2052000.000000,1.966000,0.926000,0.000000,0.000000,0.000000,0.000000,26976000.000000,1811000.000000,0.000000,0.000000,0.000000,2189000.000000,4000000.000000,0.033000,4000000.000000,2189000.000000,2052000.000000,0.010000,0.010000,0.010000,104737000.000000,,104737000.000000,1297783510.000000,-42.000000,-52.689000,-2972000.000000,-0.018000,1.000000,45954000.000000,0.383000,0.000000,137000.000000,51076000.000000,,0.000000,22778000.000000,22778000.000000,0.000000,97038000.000000,92974000.000000,4064000.000000,8186000.000000,0.000000,1498000.000000,0.000000,0.000000,1290000.000000,7775000.000000,9869000.000000,-878000.000000,-1000.000000,2052000.000000,2052000.000000,2052000.000000,0.000000,0.000000,0.017000,43785000.000000,2169000.000000,3615000.000000,0.000000,12.942000,-42.666000,-39.850000,16387000.000000,0.000000,7.970000,3.536000,3.521000,97864000.000000,-125017000.000000,120005000.000000,120005000.000000,4371000.000000,,,,,7073000.000000,39414000.000000,1.000000,170076350.000000,169391000.000000,190278000.000000,0.708000,201775000.000000,0.000000,0.000000,0.000000,1.191000
ARQ,2012-12-31,2013-03-18,2013-01-31,2013-Q4,82644000.000000,2389429091.000000,2023-07-10,-6000.000000,218832000.000000,,198614000.000000,20218000.000000,,0.579000,-1599000.000000,65725000.000000,65725000.000000,85945000.000000,-14557000.000000,1.713000,1.211000,0.000000,0.000000,0.000000,0.000000,29266000.000000,1929000.000000,0.000000,0.000000,0.000000,-14409000.000000,-12480000.000000,-0.100000,-12480000.000000,-14409000.000000,-14547000.000000,-0.090000,-0.090000,-0.090000,98989000.000000,,98989000.000000,2323704091.000000,-62.000000,-76.107000,6763000.000000,0.040000,1.000000,39144000.000000,0.313000,0.000000,138000.000000,37137000.000000,,0.000000,23247000.000000,23247000.000000,0.000000,119843000.000000,115970000.000000,3873000.000000,8000000.000000,0.000000,1812000.000000,0.000000,0.000000,1812000.000000,-2170000.000000,-571000.000000,8362000.000000,-4000.000000,-14557000.000000,-14557000.000000,-14557000.000000,0.000000,0.000000,-0.116000,53570000.000000,-14426000.000000,4471000.000000,0.000000,24.138000,-62.636000,-60.087000,17758000.000000,0.000000,13.820000,5.594000,5.445000,103410000.000000,-139574000.000000,125089000.000000,125089000.000000,5153000.000000,,,,,6890000.000000,48417000.000000,1.000000,172896461.000000,170907000.000000,170907000.000000,0.732000,218832000.000000,0.000000,10000.000000,0.000000,1.280000
ARQ,2013-03-31,2013-05-29,2013-04-30,2014-Q1,61797000.000000,2966386801.000000,2023-07-10,4000.000000,210138000.000000,,186934000.000000,23204000.000000,,0.469000,-4434000.000000,55435000.000000,55435000.000000,92632000.000000,-28587000.000000,1.494000,1.581000,0.000000,0.000000,0.000000,0.000000,37299000.000000,2132000.000000,0.000000,0.000000,0.000000,-28431000.000000,-26299000.000000,-0.210000,-26299000.000000,-28431000.000000,-28574000.000000,-0.160000,-0.160000,-0.160000,81430000.000000,,81430000.000000,2910951801.000000,-63.000000,-76.079000,-17042000.000000,-0.098000,1.000000,32878000.000000,0.262000,0.000000,143000.000000,29566000.000000,,0.000000,19983000.000000,19983000.000000,0.000000,128708000.000000,125137000.000000,3571000.000000,-10290000.000000,0.000000,3530000.000000,0.000000,0.000000,3530000.000000,-1215000.000000,3219000.000000,-12608000.000000,3000.000000,-28587000.000000,-28587000.000000,-28587000.000000,0.000000,0.000000,-0.228000,61325000.000000,-28447000.000000,7471000.000000,0.000000,36.429000,-63.784000,-62.852000,20866000.000000,0.000000,16.970000,6.286000,6.242000,105318000.000000,-168161000.000000,125510000.000000,125510000.000000,7033000.000000,,,,,7381000.000000,54292000.000000,1.000000,174801815.000000,173579000.000000,173579000.000000,0.723000,210138000.000000,0.000000,13000.000000,0.000000,1.211000
ARQ,2013-06-30,2013-08-27,2013-07-31,2014-Q2,65361000.000000,3203786020.000000,2023-07-10,-53000.000000,235352000.000000,,198932000.000000,36420000.000000,,0.503000,-6197000.000000,53610000.000000,53610000.000000,92917000.000000,-7787000.000000,1.489000,1.668000,10000000.000000,0.000000,10000000.000000,10000000.000000,43848000.000000,2770000.000000,0.000000,0.000000,0.000000,-7620000.000000,-4850000.000000,-0.031000,-4850000.000000,-7620000.000000,-7770000.000000,-0.040000,-0.040000,-0.040000,88218000.000000,,88218000.000000,3160176020.000000,-65.000000,-79.744000,-8516000.000000,-0.049000,1.000000,64438000.000000,0.410000,0.000000,150000.000000,58171000.000000,,0.000000,15304000.000000,15304000.000000,0.000000,147134000.000000,133571000.000000,13563000.000000,-1825000.000000,-400000.000000,3688000.000000,10000000.000000,0.000000,13688000.000000,-13133000.000000,4664000.000000,-2319000.000000,-61000.000000,-7787000.000000,-7787000.000000,-7787000.000000,0.000000,0.000000,-0.049000,72072000.000000,-7634000.000000,7112000.000000,0.000000,36.317000,-65.545000,-64.857000,23256000.000000,0.000000,18.160000,6.068000,6.031000,122880000.000000,-175948000.000000,157355000.000000,157355000.000000,7926000.000000,,,,,10542000.000000,64146000.000000,1.000000,176419935.000000,175343000.000000,175343000.000000,0.897000,235352000.000000,0.000000,17000.000000,0.000000,1.342000
