dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2012-03-31,2012-07-17,2012-04-30,2012-Q3,36047000.000000,,2025-05-21,0.000000,166489000.000000,,141616000.000000,24873000.000000,,-0.142000,,90283000.000000,90283000.000000,,,1.341000,-3.941000,0.000000,0.000000,0.000000,0.000000,116652000.000000,,0.000000,,0.000000,,,,,,,,,,-56614000.000000,,-56614000.000000,,,,,,1.000000,,,0.000000,,-29363000.000000,,0.000000,0.000000,0.000000,0.000000,223103000.000000,105569000.000000,117534000.000000,,,,,,,,,,,,,,,,,,,10514000.000000,,,,,19613000.000000,,,,,38796000.000000,-75429000.000000,,,,,,,,,,1.000000,399608664.000000,399608664.000000,,,166489000.000000,0.000000,,0.000000,0.417000
ARQ,2012-06-30,2012-10-04,2012-07-31,2012-Q4,259651000.000000,4464705429.000000,2025-05-21,0.000000,407804000.000000,,381657000.000000,26147000.000000,,1.951000,-3284000.000000,322642000.000000,322642000.000000,21567000.000000,-4599000.000000,3.128000,0.780000,0.000000,0.000000,0.000000,0.000000,135808000.000000,1941000.000000,0.000000,0.000000,0.000000,249000.000000,2190000.000000,0.029000,2190000.000000,249000.000000,249000.000000,0.000000,0.000000,0.000000,229071000.000000,,229071000.000000,4142063429.000000,2009.000000,505.376000,15606000.000000,0.133000,1.000000,54075000.000000,0.715000,0.000000,0.000000,-36844000.000000,,0.000000,0.000000,0.000000,0.000000,178733000.000000,122006000.000000,56727000.000000,232359000.000000,0.000000,215835000.000000,0.000000,0.000000,216753000.000000,-3284000.000000,0.000000,18890000.000000,0.000000,-40000.000000,-40000.000000,-40000.000000,0.000000,-4559000.000000,-0.001000,58319000.000000,-4244000.000000,9214000.000000,,19.490000,,,20979000.000000,0.000000,10.960000,17.499000,5.044000,45642000.000000,-80028000.000000,75642000.000000,75642000.000000,11746000.000000,,,,,6272000.000000,46573000.000000,1.000000,407363634.000000,117414000.000000,117414000.000000,0.644000,407804000.000000,0.000000,289000.000000,0.000000,3.473000
ARQ,2012-06-30,2012-10-15,2012-07-31,2012-Q4,259651000.000000,4450447701.000000,2025-05-21,0.000000,407804000.000000,,381657000.000000,26147000.000000,,1.951000,-3284000.000000,322642000.000000,322642000.000000,21567000.000000,-4599000.000000,3.128000,0.780000,0.000000,0.000000,0.000000,0.000000,135808000.000000,1941000.000000,0.000000,0.000000,0.000000,249000.000000,2190000.000000,0.029000,2190000.000000,249000.000000,249000.000000,0.000000,0.000000,0.000000,229071000.000000,,229071000.000000,4127805701.000000,2002.000000,503.637000,15606000.000000,0.133000,1.000000,54075000.000000,0.715000,0.000000,0.000000,-36844000.000000,,0.000000,0.000000,0.000000,0.000000,178733000.000000,122006000.000000,56727000.000000,232359000.000000,0.000000,215835000.000000,0.000000,0.000000,216753000.000000,-3284000.000000,0.000000,18890000.000000,0.000000,-40000.000000,-40000.000000,-40000.000000,0.000000,-4559000.000000,-0.001000,58319000.000000,-4244000.000000,9214000.000000,,19.428000,,,20979000.000000,0.000000,10.925000,17.443000,5.028000,45642000.000000,-80028000.000000,75642000.000000,75642000.000000,11746000.000000,,,,,6272000.000000,46573000.000000,1.000000,407363634.000000,117414000.000000,117414000.000000,0.644000,407804000.000000,0.000000,289000.000000,0.000000,3.473000
ARQ,2012-09-30,2012-12-10,2012-10-31,2013-Q1,252123000.000000,3341738813.000000,2025-05-21,-27000.000000,444297000.000000,,394739000.000000,49558000.000000,,0.588000,-4015000.000000,174473000.000000,174473000.000000,24190000.000000,-3515000.000000,2.768000,0.884000,0.000000,0.000000,0.000000,0.000000,160408000.000000,2053000.000000,0.000000,0.000000,0.000000,-3203000.000000,-1150000.000000,-0.013000,-1150000.000000,-3203000.000000,-3203000.000000,-0.008000,-0.008000,-0.008000,235789000.000000,,235789000.000000,3167265813.000000,,,19061000.000000,0.048000,1.000000,61744000.000000,0.719000,0.000000,0.000000,127208000.000000,,0.000000,167651000.000000,147084000.000000,20567000.000000,208508000.000000,142616000.000000,65892000.000000,-148169000.000000,0.000000,1245000.000000,0.000000,0.000000,1245000.000000,-172490000.000000,-168475000.000000,23076000.000000,0.000000,-3515000.000000,-3515000.000000,-3515000.000000,0.000000,0.000000,-0.041000,64875000.000000,-3131000.000000,10290000.000000,0.000000,14.173000,,,22965000.000000,0.000000,8.137000,,,56369000.000000,-83543000.000000,85934000.000000,85934000.000000,13312000.000000,,,,,8284000.000000,51563000.000000,1.000000,410701206.000000,400878000.000000,400878000.000000,0.214000,444297000.000000,0.000000,312000.000000,0.000000,1.108000
ARQ,2012-12-31,2013-03-04,2013-01-31,2013-Q2,257678000.000000,3871372568.000000,2025-05-21,-11000.000000,490149000.000000,,426674000.000000,63475000.000000,,0.600000,-6221000.000000,187924000.000000,187924000.000000,27618000.000000,-2613000.000000,2.525000,1.013000,0.000000,0.000000,0.000000,0.000000,188183000.000000,2415000.000000,0.000000,0.000000,0.000000,-2101000.000000,314000.000000,0.003000,314000.000000,-2101000.000000,-2101000.000000,-0.007000,-0.007000,-0.007000,243520000.000000,,243520000.000000,3683448568.000000,,,28286000.000000,0.070000,1.000000,68881000.000000,0.714000,0.000000,0.000000,133229000.000000,,0.000000,180391000.000000,149520000.000000,30871000.000000,246629000.000000,168996000.000000,77633000.000000,13451000.000000,0.000000,-1424000.000000,0.000000,0.000000,-1318000.000000,-19738000.000000,-13517000.000000,34507000.000000,0.000000,-2613000.000000,-2613000.000000,-2613000.000000,0.000000,0.000000,-0.027000,71038000.000000,-2157000.000000,10769000.000000,0.000000,15.898000,,,25980000.000000,0.000000,9.333000,,,68586000.000000,-86156000.000000,96499000.000000,96499000.000000,15495000.000000,,,,,8640000.000000,55543000.000000,1.000000,414789918.000000,405906000.000000,405906000.000000,0.238000,490149000.000000,0.000000,512000.000000,0.000000,1.208000
ARQ,2012-12-31,2013-03-05,2013-01-31,2013-Q2,257678000.000000,3929443157.000000,2025-05-21,-11000.000000,490149000.000000,,426674000.000000,63475000.000000,,0.600000,-6221000.000000,187924000.000000,187924000.000000,27618000.000000,-2613000.000000,2.525000,1.013000,0.000000,0.000000,0.000000,0.000000,188183000.000000,2415000.000000,0.000000,0.000000,0.000000,-2101000.000000,314000.000000,0.003000,314000.000000,-2101000.000000,-2101000.000000,-0.007000,-0.007000,-0.007000,243520000.000000,,243520000.000000,3741519157.000000,,,28286000.000000,0.070000,1.000000,68881000.000000,0.714000,0.000000,0.000000,133229000.000000,,0.000000,180391000.000000,149520000.000000,30871000.000000,246629000.000000,168996000.000000,77633000.000000,13451000.000000,0.000000,-1424000.000000,0.000000,0.000000,-1318000.000000,-19738000.000000,-13517000.000000,34507000.000000,0.000000,-2613000.000000,-2613000.000000,-2613000.000000,0.000000,0.000000,-0.027000,71038000.000000,-2157000.000000,10769000.000000,0.000000,16.136000,,,25980000.000000,0.000000,9.473000,,,68586000.000000,-86156000.000000,96499000.000000,96499000.000000,15495000.000000,,,,,8640000.000000,55543000.000000,1.000000,414789918.000000,405906000.000000,405906000.000000,0.238000,490149000.000000,0.000000,512000.000000,0.000000,1.208000
ARQ,2013-03-31,2013-06-04,2013-04-30,2013-Q3,290706000.000000,3134257227.000000,2025-05-21,23000.000000,538777000.000000,,472724000.000000,66053000.000000,,0.632000,-6359000.000000,213664000.000000,213664000.000000,27690000.000000,-7282000.000000,2.597000,1.042000,0.000000,0.000000,0.000000,0.000000,219304000.000000,2753000.000000,0.000000,0.000000,0.000000,-6474000.000000,-3721000.000000,-0.037000,-3721000.000000,-6474000.000000,-6474000.000000,-0.017000,-0.017000,-0.017000,263881000.000000,,263881000.000000,2920593227.000000,-253.000000,-1233.880000,8847000.000000,0.021000,1.000000,73599000.000000,0.727000,0.000000,0.000000,143095000.000000,,0.000000,177800000.000000,148033000.000000,29767000.000000,274896000.000000,182018000.000000,92878000.000000,25740000.000000,0.000000,14872000.000000,0.000000,0.000000,14943000.000000,-4409000.000000,1950000.000000,15206000.000000,0.000000,-7282000.000000,-7282000.000000,-7282000.000000,0.000000,0.000000,-0.072000,80049000.000000,-6450000.000000,12810000.000000,0.000000,11.878000,-233.030000,-229.479000,29500000.000000,0.000000,7.343000,8.722000,8.530000,91489000.000000,-93438000.000000,101289000.000000,101289000.000000,16048000.000000,,,,,12507000.000000,64001000.000000,1.000000,426816690.000000,417450000.000000,417450000.000000,0.243000,538777000.000000,0.000000,808000.000000,0.000000,1.291000
ARQ,2013-06-30,2013-09-25,2013-07-31,2013-Q4,323597000.000000,3317472975.000000,2025-05-21,-16000.000000,585606000.000000,,529699000.000000,55907000.000000,,0.641000,-5847000.000000,310614000.000000,310614000.000000,30258000.000000,-15836000.000000,2.570000,1.150000,0.000000,0.000000,0.000000,0.000000,249230000.000000,2671000.000000,0.000000,0.000000,0.000000,-6878000.000000,-4207000.000000,-0.037000,-4207000.000000,-6878000.000000,-6878000.000000,-0.038000,-0.038000,-0.038000,272420000.000000,,272420000.000000,3006858975.000000,-161.000000,-343.092000,35883000.000000,0.084000,1.000000,82127000.000000,0.731000,0.000000,0.000000,68890000.000000,,0.000000,126321000.000000,109007000.000000,17314000.000000,313186000.000000,206102000.000000,107084000.000000,96950000.000000,0.000000,3563000.000000,0.000000,0.000000,10148000.000000,45072000.000000,50919000.000000,41730000.000000,0.000000,-15836000.000000,-15836000.000000,-15836000.000000,0.000000,0.000000,-0.141000,89010000.000000,-6883000.000000,15544000.000000,0.000000,12.178000,-113.433000,-107.153000,32086000.000000,0.000000,7.715000,8.375000,8.026000,87461000.000000,-109274000.000000,112385000.000000,112385000.000000,17627000.000000,,,,,7511000.000000,71383000.000000,1.000000,430002978.000000,424728000.000000,424728000.000000,0.265000,585606000.000000,0.000000,8958000.000000,0.000000,1.379000
ARQ,2013-09-30,2013-12-05,2013-10-31,2014-Q1,324003000.000000,3614408240.000000,2025-05-21,5000.000000,639943000.000000,,552332000.000000,87611000.000000,,0.674000,-15680000.000000,266182000.000000,266182000.000000,33807000.000000,-7861000.000000,2.419000,1.208000,0.000000,0.000000,0.000000,0.000000,278956000.000000,3146000.000000,0.000000,0.000000,0.000000,-6614000.000000,-3468000.000000,-0.027000,-3468000.000000,-6614000.000000,-6614000.000000,-0.018000,-0.018000,-0.018000,289779000.000000,,289779000.000000,3348226240.000000,-152.000000,-302.132000,23201000.000000,0.054000,1.000000,94373000.000000,0.736000,0.000000,0.000000,145432000.000000,,0.000000,204193000.000000,170551000.000000,33642000.000000,350164000.000000,228329000.000000,121835000.000000,-44432000.000000,0.000000,10590000.000000,0.000000,0.000000,10646000.000000,-93959000.000000,-78279000.000000,38881000.000000,0.000000,-7861000.000000,-7861000.000000,-7861000.000000,0.000000,0.000000,-0.061000,101384000.000000,-7011000.000000,15218000.000000,0.000000,12.473000,-107.597000,-103.875000,42409000.000000,0.000000,8.310000,8.245000,8.153000,91439000.000000,-117135000.000000,128180000.000000,128180000.000000,19893000.000000,,,,,14327000.000000,81491000.000000,1.000000,434946840.000000,430086000.000000,430086000.000000,0.298000,639943000.000000,0.000000,1247000.000000,0.000000,1.488000
ARQ,2013-12-31,2014-02-24,2014-01-31,2014-Q2,292478000.000000,5686699720.000000,2025-05-21,43000.000000,689026000.000000,,555287000.000000,133739000.000000,,0.651000,-9803000.000000,261867000.000000,261867000.000000,37504000.000000,-39946000.000000,2.113000,1.422000,0.000000,0.000000,0.000000,0.000000,324591000.000000,3936000.000000,0.000000,0.000000,0.000000,-37340000.000000,-33404000.000000,-0.237000,-33404000.000000,-37340000.000000,-37340000.000000,-0.092000,-0.092000,-0.092000,284444000.000000,,284444000.000000,5424832720.000000,-95.000000,-121.090000,31593000.000000,0.072000,1.000000,103564000.000000,0.734000,0.000000,0.000000,164350000.000000,,0.000000,239450000.000000,176345000.000000,63105000.000000,404582000.000000,262809000.000000,141773000.000000,-4315000.000000,-10102000.000000,9374000.000000,0.000000,0.000000,9992000.000000,-55703000.000000,-35798000.000000,41396000.000000,0.000000,-39946000.000000,-39946000.000000,-39946000.000000,0.000000,0.000000,-0.283000,140720000.000000,-37156000.000000,10341000.000000,0.000000,19.992000,-80.179000,-77.556000,45735000.000000,0.000000,12.797000,11.776000,11.583000,86090000.000000,-157081000.000000,141068000.000000,141068000.000000,24253000.000000,,,,,23728000.000000,116467000.000000,1.000000,444389142.000000,437124000.000000,437124000.000000,0.323000,689026000.000000,0.000000,2606000.000000,0.000000,1.576000
