dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,1996-12-31,1997-03-31,1996-12-31,1996-Q4,-1083223000.000000,8639223220.000000,2025-05-08,-31297000.000000,8155722000.000000,,2222066000.000000,5933656000.000000,,7.613000,,135271000.000000,135271000.000000,,,0.672000,2.553000,3211915000.000000,1911481000.000000,1300434000.000000,3211915000.000000,331864000.000000,,0.000000,0.024000,0.200000,,,,,,,,,,2239046000.000000,,2239046000.000000,11715867220.000000,13.000000,10.044000,,,1.000000,,,205802000.000000,,7721275000.000000,,281942000.000000,5424699000.000000,1340786000.000000,4083913000.000000,5716676000.000000,3305289000.000000,2411387000.000000,,,,,,,,,,,,,,,,,,,849789000.000000,,3.858000,18.404000,18.830000,1307183000.000000,,29.375000,2.239000,2.239000,340730000.000000,2450294000.000000,,,,,,,,,,1.000000,294101216.000000,294101216.000000,,,7949920000.000000,0.000000,,932995000.000000,27.031000
ARQ,1997-03-31,1997-05-15,1997-03-31,1997-Q1,-1079291000.000000,10166337176.000000,2025-05-08,-54088000.000000,8184794000.000000,,2283824000.000000,5900970000.000000,,7.171000,-60251000.000000,142718000.000000,142718000.000000,381482000.000000,119945000.000000,0.679000,2.737000,3285348000.000000,1986193000.000000,1299155000.000000,3285348000.000000,343369000.000000,73905000.000000,0.000000,0.021000,0.200000,233131000.000000,307036000.000000,0.319000,307036000.000000,233131000.000000,183635000.000000,0.405000,0.405000,0.405000,2136513000.000000,,2136513000.000000,13308967176.000000,,,139365000.000000,0.468000,1.000000,579888000.000000,0.603000,204188000.000000,49496000.000000,7760121000.000000,,263947000.000000,5452153000.000000,1415206000.000000,4036947000.000000,5848281000.000000,3363115000.000000,2485166000.000000,7447000.000000,0.000000,-140503000.000000,75594000.000000,-59184000.000000,-124093000.000000,-66586000.000000,-6335000.000000,199616000.000000,-1490000.000000,119945000.000000,119945000.000000,119945000.000000,0.000000,0.000000,0.125000,346757000.000000,233131000.000000,850954000.000000,0.494000,4.758000,,,1297492000.000000,0.000000,34.875000,,,326709000.000000,2511055000.000000,961370000.000000,961370000.000000,20648000.000000,,,,,0.000000,326109000.000000,1.000000,291507876.000000,297951034.000000,297951034.000000,3.227000,7980606000.000000,0.000000,63690000.000000,983252000.000000,26.785000
ARQ,1997-06-30,1997-08-14,1997-06-30,1997-Q2,-1247959000.000000,11073567134.000000,2025-05-08,-52477000.000000,8288497000.000000,,2266322000.000000,6022175000.000000,,7.108000,-73122000.000000,130743000.000000,130743000.000000,397531000.000000,131071000.000000,0.645000,2.824000,3345503000.000000,2173450000.000000,1172053000.000000,3345503000.000000,351059000.000000,72521000.000000,0.000000,0.019000,0.200000,251063000.000000,323584000.000000,0.322000,323584000.000000,251063000.000000,200110000.000000,0.445000,0.445000,0.445000,2088831000.000000,,2088831000.000000,14288327134.000000,,,109366000.000000,0.372000,1.000000,608580000.000000,0.605000,202092000.000000,50953000.000000,7786884000.000000,,255791000.000000,5528781000.000000,1425333000.000000,4103448000.000000,5899666000.000000,3514281000.000000,2385385000.000000,-11975000.000000,0.000000,-122502000.000000,56986000.000000,-58190000.000000,-23706000.000000,-172628000.000000,-48273000.000000,182488000.000000,1871000.000000,131071000.000000,131071000.000000,131071000.000000,0.000000,0.000000,0.130000,357517000.000000,251063000.000000,827394000.000000,0.449000,5.301000,,,1311484000.000000,0.000000,38.375000,,,322679000.000000,2583936000.000000,1006111000.000000,1006111000.000000,21835000.000000,,,,,0.000000,335682000.000000,1.000000,288562010.000000,293870172.000000,293870172.000000,3.424000,8086405000.000000,0.000000,69039000.000000,993858000.000000,27.517000
ARQ,1997-09-30,1997-11-14,1997-09-30,1997-Q3,-1094732000.000000,11594463280.000000,2025-05-08,-65890000.000000,8242294000.000000,,2419017000.000000,5823277000.000000,,6.830000,-69206000.000000,125140000.000000,125140000.000000,405237000.000000,127805000.000000,0.688000,2.994000,3347327000.000000,2176026000.000000,1171301000.000000,3347327000.000000,342281000.000000,76273000.000000,0.000000,0.019000,0.200000,246196000.000000,322469000.000000,0.318000,322469000.000000,246196000.000000,195170000.000000,0.440000,0.440000,0.440000,1988795000.000000,,1988795000.000000,14816650280.000000,,,126385000.000000,0.434000,1.000000,607491000.000000,0.600000,200681000.000000,51026000.000000,7750051000.000000,,251287000.000000,5451224000.000000,1571069000.000000,3880155000.000000,5953499000.000000,3513749000.000000,2439750000.000000,-5603000.000000,0.000000,-156790000.000000,2563000.000000,-57619000.000000,-211846000.000000,12937000.000000,102606000.000000,195591000.000000,-2285000.000000,127805000.000000,127805000.000000,127805000.000000,0.000000,0.000000,0.126000,361295000.000000,246196000.000000,866995000.000000,0.455000,5.830000,,,1311685000.000000,0.000000,40.875000,,,328194000.000000,2654122000.000000,1012728000.000000,1012728000.000000,21578000.000000,,,,,0.000000,339717000.000000,1.000000,283656594.000000,291167128.000000,291167128.000000,3.478000,8041613000.000000,0.000000,67365000.000000,1018989000.000000,27.619000
ARQ,1997-12-31,1998-03-27,1997-12-31,1997-Q4,-909718000.000000,13863358133.000000,2025-05-08,-63348000.000000,7893389000.000000,,2463515000.000000,5429874000.000000,,6.704000,-41486000.000000,137073000.000000,137073000.000000,455056000.000000,147206000.000000,0.730000,3.055000,3051383000.000000,1982988000.000000,1068395000.000000,3051383000.000000,363565000.000000,77387000.000000,0.000000,0.017000,0.225000,281902000.000000,359289000.000000,0.321000,359289000.000000,281902000.000000,224183000.000000,0.535000,0.515000,0.535000,1872577000.000000,,1872577000.000000,16777668133.000000,17.000000,12.784000,84232000.000000,0.302000,1.000000,665199000.000000,0.594000,203419000.000000,57719000.000000,7231047000.000000,,249207000.000000,4857396000.000000,1548264000.000000,3309132000.000000,5720812000.000000,3373233000.000000,2347579000.000000,11933000.000000,0.000000,-209567000.000000,-301933000.000000,-56399000.000000,-567899000.000000,452849000.000000,528162000.000000,125718000.000000,1265000.000000,147206000.000000,147206000.000000,147206000.000000,0.000000,0.000000,0.131000,391756000.000000,273443000.000000,878759000.000000,0.421000,7.403000,26.355000,27.269000,1289692000.000000,0.000000,49.630000,3.381000,3.381000,348792000.000000,2744929000.000000,1120255000.000000,1120255000.000000,25402000.000000,,,,,0.000000,366354000.000000,1.000000,279334236.000000,279334236.000000,,4.010000,7689970000.000000,0.000000,76977000.000000,1053689000.000000,27.530000
ARQ,1998-03-31,1998-05-14,1998-03-31,1998-Q1,-526542000.000000,13098463371.000000,2025-05-08,-73387000.000000,8313598000.000000,,2676559000.000000,5637039000.000000,,6.862000,-79074000.000000,117200000.000000,117200000.000000,413379000.000000,129687000.000000,0.836000,3.269000,3345319000.000000,1718449000.000000,1626870000.000000,3345319000.000000,377343000.000000,79916000.000000,0.000000,0.017000,0.225000,243582000.000000,323498000.000000,0.320000,323498000.000000,243582000.000000,197997000.000000,0.460000,0.460000,0.460000,1877214000.000000,,1877214000.000000,16326582371.000000,16.000000,12.286000,193054000.000000,0.706000,1.000000,598195000.000000,0.591000,204058000.000000,45585000.000000,8134558000.000000,,241553000.000000,4993046000.000000,1760925000.000000,3232121000.000000,6136384000.000000,3203101000.000000,2933283000.000000,-19873000.000000,0.000000,-50906000.000000,291820000.000000,-62941000.000000,177973000.000000,-468280000.000000,-229977000.000000,272128000.000000,-1694000.000000,129687000.000000,129687000.000000,129687000.000000,0.000000,0.000000,0.128000,354613000.000000,243582000.000000,937532000.000000,0.489000,6.978000,24.448000,25.468000,1298785000.000000,0.000000,47.880000,3.156000,3.156000,347263000.000000,2811675000.000000,1011574000.000000,1011574000.000000,23631000.000000,,,,,0.000000,330982000.000000,1.000000,273568575.000000,273568575.000000,,3.698000,8109540000.000000,0.000000,68310000.000000,1107284000.000000,29.644000
ARQ,1998-06-30,1998-08-13,1998-06-30,1998-Q2,-551847000.000000,14718528790.000000,2025-05-08,-74630000.000000,8072968000.000000,,2571615000.000000,5501353000.000000,,6.298000,-90430000.000000,115322000.000000,115322000.000000,435814000.000000,142017000.000000,0.823000,3.497000,3388289000.000000,1761162000.000000,1627127000.000000,3388289000.000000,376871000.000000,86530000.000000,0.000000,0.016000,0.225000,265723000.000000,352253000.000000,0.326000,352253000.000000,265723000.000000,216853000.000000,0.520000,0.510000,0.520000,1728503000.000000,,1728503000.000000,17991495790.000000,17.000000,13.253000,13574000.000000,0.049000,1.000000,643704000.000000,0.596000,208946000.000000,48870000.000000,8013527000.000000,,240045000.000000,4787850000.000000,1683005000.000000,3104845000.000000,6044465000.000000,3123462000.000000,2921003000.000000,-1878000.000000,0.000000,-229805000.000000,38612000.000000,-61612000.000000,-252805000.000000,146577000.000000,233832000.000000,104004000.000000,346000.000000,142017000.000000,142017000.000000,142017000.000000,0.000000,0.000000,0.132000,377981000.000000,265723000.000000,845562000.000000,0.433000,8.515000,26.922000,27.432000,1319162000.000000,0.000000,53.630000,3.484000,3.484000,367409000.000000,2892080000.000000,1079518000.000000,1079518000.000000,25065000.000000,,,,,0.000000,352916000.000000,1.000000,274445810.000000,274445810.000000,,3.933000,7864022000.000000,0.000000,74836000.000000,1065704000.000000,28.654000
ARQ,1998-09-30,1998-11-16,1998-09-30,1998-Q3,-99662000.000000,14466315542.000000,2025-05-08,-90548000.000000,8232345000.000000,,3115141000.000000,5117204000.000000,,6.276000,-50392000.000000,144974000.000000,144974000.000000,415740000.000000,141586000.000000,0.969000,3.636000,3554610000.000000,1844077000.000000,1710533000.000000,3554610000.000000,362801000.000000,99681000.000000,0.000000,0.016000,0.225000,251410000.000000,351091000.000000,0.334000,351091000.000000,251410000.000000,214706000.000000,0.520000,0.510000,0.520000,1711011000.000000,,1711011000.000000,17875951542.000000,17.000000,12.896000,231715000.000000,0.850000,1.000000,636663000.000000,0.605000,213778000.000000,36704000.000000,8213400000.000000,,235568000.000000,4193450000.000000,1437725000.000000,2755725000.000000,6221334000.000000,3214803000.000000,3006531000.000000,29652000.000000,0.000000,-81581000.000000,164354000.000000,-61783000.000000,20990000.000000,-271865000.000000,-171804000.000000,282107000.000000,-1580000.000000,141586000.000000,141586000.000000,141586000.000000,-2367000.000000,0.000000,0.135000,387620000.000000,249043000.000000,842511000.000000,0.433000,8.455000,25.810000,26.074000,1277757000.000000,0.000000,53.060000,3.393000,3.393000,346475000.000000,2971883000.000000,1052403000.000000,1052403000.000000,24699000.000000,,,,,0.000000,362921000.000000,1.000000,272640700.000000,272640700.000000,,3.860000,8018567000.000000,0.000000,73120000.000000,1094613000.000000,29.411000
ARQ,1998-12-31,1999-03-30,1998-12-31,1998-Q4,-212849000.000000,17235753742.000000,2025-05-08,-88217000.000000,7661039000.000000,,2508963000.000000,5152076000.000000,,6.114000,-78519000.000000,125684000.000000,125684000.000000,438931000.000000,163104000.000000,0.922000,3.461000,2972130000.000000,1259193000.000000,1712937000.000000,2972130000.000000,369628000.000000,95206000.000000,0.000000,0.015000,0.255000,304893000.000000,400099000.000000,0.349000,400099000.000000,304893000.000000,246411000.000000,0.600000,0.590000,0.600000,1648002000.000000,,1648002000.000000,20082199742.000000,19.000000,14.319000,30360000.000000,0.113000,1.000000,708190000.000000,0.617000,222980000.000000,58482000.000000,7562693000.000000,,266734000.000000,4231006000.000000,1404088000.000000,2826918000.000000,5702940000.000000,2721812000.000000,2981128000.000000,-19290000.000000,789936000.000000,-166651000.000000,-587278000.000000,-61148000.000000,-804980000.000000,675762000.000000,-26910000.000000,108879000.000000,1049000.000000,163104000.000000,163104000.000000,163104000.000000,-700000.000000,0.000000,0.142000,423322000.000000,284868000.000000,898548000.000000,0.425000,10.459000,29.903000,30.448000,1287804000.000000,0.000000,63.940000,4.084000,4.084000,382406000.000000,3073839000.000000,1147121000.000000,1147121000.000000,27411000.000000,,,,,0.000000,395911000.000000,1.000000,269561366.000000,269561366.000000,,4.256000,7438059000.000000,0.000000,83307000.000000,1114964000.000000,27.593000
ARQ,1999-03-31,1999-05-13,1999-03-31,1999-Q1,-227320000.000000,18434800657.000000,2025-05-08,-88665000.000000,7842303000.000000,,2705057000.000000,5137246000.000000,,5.902000,-91797000.000000,129687000.000000,129687000.000000,436200000.000000,142271000.000000,0.922000,3.751000,3194026000.000000,1483599000.000000,1710427000.000000,3194026000.000000,393829000.000000,99418000.000000,0.000000,0.014000,0.255000,258690000.000000,358108000.000000,0.331000,358108000.000000,258690000.000000,215080000.000000,0.530000,0.520000,0.530000,1585376000.000000,,1585376000.000000,21499139657.000000,20.000000,14.710000,118733000.000000,0.442000,1.000000,645622000.000000,0.597000,223213000.000000,43610000.000000,7751052000.000000,,260727000.000000,4328117000.000000,1544982000.000000,2783135000.000000,5946927000.000000,2932377000.000000,3014550000.000000,4003000.000000,0.000000,-135332000.000000,220636000.000000,-69164000.000000,16140000.000000,-221439000.000000,-120786000.000000,210530000.000000,-1228000.000000,142271000.000000,142271000.000000,142271000.000000,0.000000,0.000000,0.132000,386932000.000000,258690000.000000,830084000.000000,0.481000,11.628000,31.300000,31.627000,1307873000.000000,0.000000,68.630000,4.227000,4.227000,419002000.000000,3146946000.000000,1081822000.000000,1081822000.000000,25904000.000000,,,,,0.000000,361028000.000000,1.000000,268611404.000000,268611404.000000,,4.027000,7619090000.000000,0.000000,72809000.000000,1174187000.000000,28.365000
