dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2017-12-31,2018-07-24,2017-12-31,2017-Q4,1028321000.000000,,2025-04-28,0.000000,13314470000.000000,,13137828000.000000,176642000.000000,,2.731000,,12429001000.000000,1827794265.000000,,,1.085000,10.050000,0.000000,0.000000,0.000000,0.000000,0.000000,,1834538000.000000,,0.000000,,,,,,,,,,1204963000.000000,,177200441.000000,,,,,,6.800000,,,0.000000,,-11224038000.000000,,0.000000,217363000.000000,50000000.000000,167363000.000000,12109507000.000000,12109507000.000000,0.000000,,,,,,,,,,,,,,,,,,,9914576000.000000,,,,,9279000.000000,,,,,531085000.000000,,,,,,,,,,,0.250000,4431145380.000000,1764799000.000000,,,13314470000.000000,0.000000,,0.000000,30.178000
ARQ,2018-06-30,2018-08-31,2018-06-30,2018-Q2,6588792000.000000,21435665776.000000,2025-04-28,396540000.000000,23273504000.000000,,20471938000.000000,2801566000.000000,,-3.216000,0.000000,17816012000.000000,2612318475.000000,387830000.000000,-6493888000.000000,1.475000,-8.899000,0.000000,0.000000,0.000000,0.000000,0.000000,,3299622000.000000,0.000000,0.000000,-6493888000.000000,,,,-952182991.000000,-6493888000.000000,-13.400000,-13.400000,-1.965000,-1560147000.000000,,-228760557.000000,18823347301.000000,,,360904000.000000,0.744000,6.820000,2321216000.000000,0.857000,2786690000.000000,0.000000,-11212344000.000000,,0.000000,1300000000.000000,1300000000.000000,0.000000,13883146000.000000,13883146000.000000,0.000000,396585000.000000,,,,,-3789000.000000,-291150000.000000,,360904000.000000,330620000.000000,-6493888000.000000,-6493888000.000000,-952182991.000000,0.000000,0.000000,-2.397000,8957436000.000000,-6636220000.000000,9318220000.000000,0.000000,-93.704000,,,14876000.000000,0.000000,19.350000,,,682521000.000000,-7805642000.000000,2709046000.000000,397220821.000000,186029000.000000,,,,,,8771407000.000000,0.250000,4431145380.000000,1940536606.000000,1940536606.000000,0.819000,20486814000.000000,0.000000,0.000000,0.000000,42.229000
ARQ,2018-09-30,2018-11-20,2018-09-30,2018-Q3,18000173000.000000,25634176023.000000,2025-04-28,986807000.000000,37003857000.000000,,34243427000.000000,2760430000.000000,,22.578000,0.000000,25126827000.000000,3625804762.000000,774684000.000000,-1098323000.000000,2.108000,0.782000,0.000000,0.000000,0.000000,0.000000,0.000000,,3794931000.000000,0.000000,0.000000,-1098323000.000000,,,,-158488167.000000,-1098323000.000000,-1.200000,-1.200000,-0.173000,20760603000.000000,,2995758009.000000,22008371261.000000,,,249742000.000000,0.272000,6.930000,2597734000.000000,0.770000,2741320000.000000,0.000000,-7107544000.000000,,0.000000,7511280000.000000,7511280000.000000,0.000000,16243254000.000000,16243254000.000000,0.000000,5929144000.000000,,,,,11537514000.000000,-6217168000.000000,,249742000.000000,359056000.000000,-1098323000.000000,-1098323000.000000,-158488167.000000,0.000000,0.000000,-0.326000,3867213000.000000,-1269479000.000000,10793733000.000000,0.000000,8.557000,,,19110000.000000,0.000000,23.140000,,,820375000.000000,-8903965000.000000,3372418000.000000,486640404.000000,331997000.000000,,,,,,3535216000.000000,0.250000,4431145380.000000,3678050953.000000,3678050953.000000,0.529000,34262537000.000000,0.000000,0.000000,0.000000,37.262000
ARQ,2018-12-31,2019-03-15,2018-12-31,2018-Q4,16031514000.000000,27162921179.000000,2025-04-28,1035783000.000000,43182063000.000000,,40390983000.000000,2791080000.000000,,16.898000,0.000000,30539686000.000000,4558162090.000000,1424035000.000000,-2423893000.000000,1.658000,1.294000,0.000000,0.000000,0.000000,0.000000,0.000000,,4379755000.000000,0.000000,0.000000,-2423893000.000000,,,,-361775075.000000,-2423893000.000000,-2.160000,-2.160000,-0.322000,18822594000.000000,,2809342388.000000,22604759090.000000,-15.000000,,5732397000.000000,5.146000,6.700000,4229887000.000000,0.748000,2579338000.000000,0.000000,-14296430000.000000,,0.000000,7630689000.000000,7630689000.000000,0.000000,24359469000.000000,24359469000.000000,0.000000,5412859000.000000,,,,,-13936000.000000,-238635000.000000,,5732397000.000000,-66967000.000000,-2423893000.000000,-2423893000.000000,-361775075.000000,0.000000,0.000000,-0.429000,6870796000.000000,-2640909000.000000,17275934000.000000,0.000000,9.669000,-17.673000,-11.836000,29075000.000000,0.000000,24.520000,13.871000,9.292000,1266619000.000000,-11327858000.000000,5653922000.000000,843868955.000000,525213000.000000,,,,,,6345583000.000000,0.250000,4431145380.000000,4455688688.000000,4455688688.000000,0.758000,40602725000.000000,0.000000,0.000000,0.000000,36.450000
ARQ,2018-12-31,2019-04-24,2018-12-31,2018-Q4,16031514000.000000,26667296798.000000,2025-04-28,0.000000,43182063000.000000,,40390983000.000000,2791080000.000000,,25.365000,-27292000.000000,30539686000.000000,4558162090.000000,1424035000.000000,-2423893000.000000,1.658000,1.294000,0.000000,0.000000,0.000000,0.000000,0.000000,,4379755000.000000,0.000000,0.000000,-2423893000.000000,,,,-361775075.000000,-2423893000.000000,-1.120000,-1.120000,-0.167000,18822594000.000000,,2809342388.000000,22109134708.000000,-14.000000,-15.240000,6501065000.000000,8.761000,6.700000,4229887000.000000,0.748000,2579338000.000000,0.000000,-14296430000.000000,,0.000000,7630689000.000000,7630689000.000000,0.000000,24359469000.000000,24359469000.000000,0.000000,6208819000.000000,,,,,-13936000.000000,-238635000.000000,,6528357000.000000,-66967000.000000,-2423893000.000000,-2423893000.000000,-361775075.000000,0.000000,0.000000,-0.429000,6870796000.000000,-2640909000.000000,17275934000.000000,0.000000,9.492000,-17.351000,-11.556000,29075000.000000,0.000000,23.940000,13.618000,9.072000,1266619000.000000,,5653922000.000000,843868955.000000,525213000.000000,,,,,,6345583000.000000,0.250000,4455688688.000000,2968319549.000000,2968319549.000000,1.137000,40602725000.000000,0.000000,0.000000,0.000000,54.715000
ARQ,2019-03-31,2019-05-21,2019-03-31,2019-Q1,22224358000.000000,23971605141.000000,2025-04-28,627566000.000000,49783765000.000000,,46806774000.000000,2976991000.000000,,21.960000,0.000000,37219239000.000000,5555110299.000000,873314000.000000,-1877708000.000000,1.904000,0.989000,236822000.000000,73037000.000000,163785000.000000,35346567.000000,0.000000,,5151626000.000000,0.000000,0.000000,-1877708000.000000,,,,-280254925.000000,-1877708000.000000,-1.640000,-1.640000,-0.245000,25029129000.000000,,3735690896.000000,18451841410.000000,-10.000000,,-1543251000.000000,-1.354000,6.700000,3671890000.000000,0.808000,2381247000.000000,0.000000,-14162315000.000000,,0.000000,6919548000.000000,6919548000.000000,0.000000,24754636000.000000,24582416000.000000,172220000.000000,6679553000.000000,,,,,7993828000.000000,457473000.000000,,-1543251000.000000,-228497000.000000,-1877708000.000000,-1877708000.000000,-280254925.000000,0.000000,0.000000,-0.413000,5792411000.000000,-2120521000.000000,15657163000.000000,0.000000,6.417000,-13.504000,-8.306000,254925000.000000,0.000000,21.520000,9.865000,10.094000,1399145000.000000,-13205566000.000000,4545204000.000000,678388657.000000,667081000.000000,,,,,,5125330000.000000,0.250000,4455688688.000000,4559017000.000000,4559017000.000000,0.595000,47402518000.000000,0.000000,0.000000,0.000000,41.590000
ARQ,2019-06-30,2019-08-22,2019-06-30,2019-Q2,22307391000.000000,34074879241.000000,2025-04-28,1116597000.000000,54360850000.000000,,51305759000.000000,3055091000.000000,,21.600000,0.000000,40664166000.000000,5792616239.000000,1594709000.000000,-1003250000.000000,1.769000,1.165000,327452000.000000,80026000.000000,247426000.000000,46645584.000000,0.000000,,6101200000.000000,0.000000,0.000000,-1003250000.000000,,,,-142913105.000000,-1003250000.000000,-0.880000,-0.880000,-0.125000,25106885000.000000,,3576479345.000000,28328908586.000000,-31.000000,,4147982000.000000,3.569000,7.020000,5695299000.000000,0.781000,2277009000.000000,0.000000,-17251241000.000000,,0.000000,7935421000.000000,7935421000.000000,0.000000,29253965000.000000,28998368000.000000,255597000.000000,3444927000.000000,,,,,0.000000,-1139423000.000000,,4147982000.000000,436368000.000000,-1003250000.000000,-1003250000.000000,-142913105.000000,0.000000,0.000000,-0.138000,7185712000.000000,-1490413000.000000,17830719000.000000,0.000000,9.527000,-37.357000,-44.368000,341144000.000000,0.000000,30.590000,11.466000,11.965000,1495524000.000000,-14208816000.000000,7290008000.000000,1038462678.000000,803664000.000000,,,,,,6382048000.000000,0.250000,4455688688.000000,4649429000.000000,4649429000.000000,0.893000,52083841000.000000,0.000000,0.000000,0.000000,44.809000
ARQ,2019-09-30,2019-11-21,2019-09-30,2019-Q3,28372360000.000000,36707241955.000000,2025-04-28,1804675000.000000,64576062000.000000,,61589384000.000000,2986678000.000000,,22.331000,0.000000,34366077000.000000,4909439571.000000,1833318000.000000,-2335008000.000000,1.854000,1.488000,5475695000.000000,80882000.000000,5394813000.000000,782242143.000000,0.000000,,7033131000.000000,0.000000,0.000000,-2328858000.000000,,,,-332694000.000000,-2335008000.000000,-2.000000,-2.000000,-0.286000,25956276000.000000,,3708039429.000000,32580044526.000000,-30.000000,,2618232000.000000,2.253000,7.000000,5680630000.000000,0.756000,2182296000.000000,6150000.000000,286360000.000000,,0.000000,24560779000.000000,24560779000.000000,0.000000,38619786000.000000,33217024000.000000,5402762000.000000,-6298089000.000000,,,,,6967004000.000000,-16175856000.000000,,2618232000.000000,292531000.000000,-2335008000.000000,-2335008000.000000,-333572571.000000,0.000000,0.000000,-0.311000,8472603000.000000,-2791973000.000000,19819656000.000000,0.000000,9.899000,-33.633000,-39.195000,354392000.000000,0.000000,31.580000,10.277000,10.277000,1777926000.000000,-16543824000.000000,7513948000.000000,1073421143.000000,1127238000.000000,,,,,,7345365000.000000,0.250000,4649429000.000000,4649429000.000000,4649429000.000000,0.923000,62393766000.000000,0.000000,0.000000,0.000000,53.679000
ARQ,2019-12-31,2020-03-12,2019-12-31,2019-Q4,27233657000.000000,38136941372.000000,2025-04-28,1448230000.000000,76057336000.000000,,73001463000.000000,3055873000.000000,,21.202000,0.000000,33345857000.000000,4763693857.000000,2037437000.000000,-1751637000.000000,1.595000,2.086000,6649757000.000000,1014482000.000000,5635275000.000000,949965286.000000,605970000.000000,,7840912000.000000,0.000000,0.000000,-1611929000.000000,,,,-230275571.000000,-1751637000.000000,-1.520000,-1.520000,-0.217000,24646866000.000000,,3520980857.000000,34323212801.000000,-35.000000,,9598013000.000000,8.256000,7.000000,8755289000.000000,0.811000,1994292000.000000,139708000.000000,1599138000.000000,,0.000000,35288827000.000000,35288827000.000000,0.000000,51410470000.000000,45767806000.000000,5642664000.000000,-1020220000.000000,,,,,893899000.000000,-11461872000.000000,,9598013000.000000,-50260000.000000,-1751637000.000000,-1751637000.000000,-250233857.000000,0.000000,0.000000,-0.162000,10890593000.000000,-2135304000.000000,29926488000.000000,0.000000,10.831000,-38.314000,-38.025000,558461000.000000,0.000000,32.810000,8.857000,8.815000,3416502000.000000,-18295461000.000000,10792726000.000000,1541818000.000000,1272375000.000000,,,,,,9618218000.000000,0.250000,4649429000.000000,4649996000.000000,4649996000.000000,1.326000,74063044000.000000,0.000000,0.000000,0.000000,63.710000
ARQ,2019-12-31,2020-04-24,2019-12-31,2019-Q4,27233657000.000000,57625480516.000000,2025-04-28,1448230000.000000,76057336000.000000,,73001463000.000000,3055873000.000000,,21.200000,-26961000.000000,33345857000.000000,4696599577.000000,2037437000.000000,-1751637000.000000,1.595000,2.086000,6649757000.000000,1014482000.000000,5635275000.000000,936585493.000000,0.000000,,8446882000.000000,0.000000,0.000000,-1611929000.000000,,,,-227032254.000000,-1751637000.000000,-1.520000,-1.520000,-0.214000,24646866000.000000,,3471389577.000000,53865466432.000000,-56.000000,-62.586000,9571052000.000000,8.233000,7.100000,8755289000.000000,0.811000,1994292000.000000,139708000.000000,1599138000.000000,,0.000000,35288827000.000000,35288827000.000000,0.000000,51410470000.000000,45767806000.000000,5642664000.000000,-1020220000.000000,,,,,893899000.000000,-11461872000.000000,,9598013000.000000,-50260000.000000,-1751637000.000000,-1751637000.000000,-246709437.000000,0.000000,0.000000,-0.162000,10890593000.000000,-2135304000.000000,29926488000.000000,0.000000,16.600000,-58.720000,-58.269000,558461000.000000,0.000000,49.570000,13.574000,13.507000,3416502000.000000,-18295461000.000000,10792726000.000000,1520102254.000000,1272375000.000000,,,,,,9618218000.000000,0.250000,4650028688.000000,4650244576.000000,4650244576.000000,1.308000,74063044000.000000,0.000000,0.000000,0.000000,63.707000
