dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2015-06-30,2015-09-21,2015-06-30,2015-Q2,56400363.000000,,2025-05-15,0.000000,62685415.000000,,60430175.000000,2255240.000000,,-465.486000,,58465083.000000,58465083.000000,,,14.996000,-2.595000,5864400.000000,1640692.000000,4223708.000000,5864400.000000,0.000000,,0.000000,,0.000000,,,,,,,,,,-39298028.000000,,-39298028.000000,,,,,,1.000000,,,0.000000,,6054920.000000,,0.000000,0.000000,0.000000,0.000000,101983443.000000,4029812.000000,97953631.000000,,,,,,,,,,,,,,,,,,,1084412.000000,,,,,2134406.000000,,,,,0.000000,-42237881.000000,,,,,,,,,,1.000000,1292396.000000,84424.000000,,,62685415.000000,0.000000,,0.000000,742.510000
ARQ,2015-09-30,2015-11-06,2015-09-30,2015-Q3,47147184.000000,485174630.000000,2025-05-15,0.000000,58483452.000000,,55597327.000000,2886125.000000,,-599.876000,-352254.000000,52879907.000000,52879907.000000,0.000000,-10130050.000000,6.579000,-2.155000,5901018.000000,2214934.000000,3686084.000000,5901018.000000,0.000000,14646.000000,0.000000,0.000000,0.000000,-9917029.000000,-9902383.000000,,-9902383.000000,-9917029.000000,-10130050.000000,-141.600000,-141.600000,-141.600000,-50643768.000000,,-50643768.000000,438195741.000000,,,-5351135.000000,-63.384000,1.000000,0.000000,,0.000000,213021.000000,3054420.000000,,0.000000,0.000000,0.000000,0.000000,109127220.000000,8450143.000000,100677077.000000,-5585176.000000,0.000000,0.000000,0.000000,0.000000,-234041.000000,-352254.000000,0.000000,-4998881.000000,0.000000,-10130050.000000,-11957618.000000,-11957618.000000,0.000000,0.000000,,8484860.000000,-8484860.000000,2644987.000000,0.000000,-9.580000,,,2781885.000000,1827568.000000,336.800000,,,0.000000,-54195499.000000,0.000000,0.000000,6507972.000000,,,,,611878.000000,1976888.000000,1.000000,1440542.000000,84424.000000,84424.000000,0.000000,58483452.000000,0.000000,0.000000,0.000000,692.737000
ARQ,2015-12-31,2016-03-08,2015-12-31,2015-Q4,122680797.000000,266522285.000000,2025-05-15,0.000000,134092658.000000,,131270505.000000,2822153.000000,,302.865000,-505662.000000,130189421.000000,130189421.000000,0.000000,-7959148.000000,15.282000,0.095000,5296534.000000,2271111.000000,3025423.000000,5296534.000000,0.000000,14756.000000,0.000000,0.000000,0.000000,-8865106.000000,-8850350.000000,,-8850350.000000,-8865106.000000,-9066553.000000,208.600000,208.600000,208.600000,122477527.000000,,122477527.000000,141629398.000000,-5.000000,-5.002000,-7288450.000000,-18.023000,1.000000,0.000000,,0.000000,201447.000000,610063.000000,,0.000000,0.000000,0.000000,0.000000,11615131.000000,8589708.000000,3025423.000000,77309514.000000,0.000000,86060181.000000,-533729.000000,0.000000,84597964.000000,-505662.000000,0.000000,-6782788.000000,0.000000,-7959148.000000,-8058473.000000,-8058473.000000,0.000000,0.000000,,8871380.000000,-8871380.000000,2584249.000000,0.000000,2.176000,-8.217000,-2.307000,2766992.000000,99325.000000,185.000000,,,0.000000,-62253970.000000,0.000000,0.000000,5265496.000000,,,,,1332742.000000,3605884.000000,1.000000,1440661.000000,404396.000000,404396.000000,0.000000,134092658.000000,0.000000,-1107405.000000,0.000000,331.587000
ARQ,2016-03-31,2016-05-03,2016-03-31,2016-Q1,114213529.000000,234260397.000000,2025-05-15,0.000000,123766068.000000,,120784219.000000,2981849.000000,,79.633000,-77287.000000,119942415.000000,119942415.000000,0.000000,-9170410.000000,18.382000,0.079000,4801899.000000,2329485.000000,2472414.000000,4801899.000000,0.000000,15300.000000,0.000000,0.000000,0.000000,-8989546.000000,-8974246.000000,,-8974246.000000,-8989546.000000,-9170410.000000,-6.400000,-6.400000,-6.400000,114722964.000000,,114722964.000000,119119881.000000,,,-9151234.000000,-6.352000,1.000000,0.000000,,0.000000,180864.000000,2054862.000000,,0.000000,0.000000,0.000000,0.000000,9043104.000000,6570690.000000,2472414.000000,-10247006.000000,0.000000,546.000000,-547140.000000,0.000000,-1095772.000000,-77287.000000,0.000000,-9073947.000000,0.000000,-9170410.000000,-9170410.000000,-9170410.000000,0.000000,0.000000,,9032360.000000,-9032360.000000,2882935.000000,0.000000,2.042000,,,2838979.000000,0.000000,162.600000,,,0.000000,-71424380.000000,0.000000,0.000000,5346763.000000,,,,,1415301.000000,3685597.000000,1.000000,1440716.000000,1440645.000000,1440645.000000,0.000000,123766068.000000,0.000000,0.000000,0.000000,85.910000
ARQ,2016-06-30,2016-08-03,2016-06-30,2016-Q2,105051915.000000,281472198.000000,2025-05-15,0.000000,115419833.000000,,111815842.000000,3603991.000000,,74.063000,-118030.000000,111022034.000000,111022034.000000,0.000000,-9376129.000000,16.531000,0.081000,4289024.000000,2389222.000000,1899802.000000,4289024.000000,0.000000,16389.000000,0.000000,0.000000,0.000000,-9214819.000000,-9198430.000000,,-9198430.000000,-9214819.000000,-9376129.000000,-6.600000,-6.600000,-6.600000,106756104.000000,,106756104.000000,174739188.000000,-5.000000,-4.732000,-8393238.000000,-5.823000,1.000000,0.000000,,0.000000,161310.000000,1922896.000000,,0.000000,0.000000,0.000000,0.000000,8663729.000000,6763927.000000,1899802.000000,-8920381.000000,0.000000,28274.000000,-559822.000000,0.000000,-527143.000000,-118030.000000,0.000000,-8275208.000000,0.000000,-9376129.000000,-9376129.000000,-9376129.000000,0.000000,0.000000,,9264195.000000,-9264195.000000,2854796.000000,0.000000,2.637000,-7.299000,3.607000,3461121.000000,0.000000,194.800000,,,0.000000,-80800509.000000,0.000000,0.000000,5975306.000000,,,,,1380995.000000,3288889.000000,1.000000,1444929.000000,1441422.000000,1441422.000000,0.000000,115419833.000000,0.000000,0.000000,0.000000,80.074000
ARQ,2016-09-30,2016-11-01,2016-09-30,2016-Q3,108890886.000000,291776758.000000,2025-05-15,0.000000,116579228.000000,,113144485.000000,3434743.000000,,67.487000,-144093.000000,112784622.000000,112784622.000000,0.000000,-10759262.000000,26.600000,0.196000,14817482.000000,0.000000,14817482.000000,14817482.000000,0.000000,28642.000000,0.000000,0.000000,0.000000,-10384173.000000,-10355531.000000,,-10355531.000000,-10384173.000000,-10759262.000000,-7.400000,-7.400000,-7.400000,97508147.000000,,97508147.000000,193809618.000000,-5.000000,-5.185000,-8937335.000000,-6.186000,1.000000,0.000000,,0.000000,375089.000000,14358489.000000,,0.000000,0.000000,0.000000,0.000000,19071081.000000,4253599.000000,14817482.000000,1762588.000000,0.000000,278275.000000,10421648.000000,0.000000,10699923.000000,-144093.000000,0.000000,-8793242.000000,0.000000,-10759262.000000,-10759262.000000,-10759262.000000,0.000000,0.000000,,10276792.000000,-10276792.000000,1963350.000000,0.000000,2.992000,-7.809000,1.072000,3291873.000000,0.000000,201.800000,,,0.000000,-91559771.000000,0.000000,0.000000,6724503.000000,,,,,1233030.000000,3552289.000000,1.000000,1445871.000000,1444847.000000,1444847.000000,0.000000,116579228.000000,0.000000,0.000000,0.000000,80.686000
ARQ,2016-12-31,2017-03-02,2016-12-31,2016-Q4,100668753.000000,272692769.000000,2025-05-15,0.000000,110914447.000000,,107353500.000000,3560947.000000,,61.761000,-347295.000000,106398919.000000,106398919.000000,0.000000,-9515197.000000,16.059000,0.242000,14953143.000000,0.000000,14953143.000000,14953143.000000,0.000000,39786.000000,0.000000,0.000000,0.000000,-10874772.000000,-10834986.000000,,-10834986.000000,-10874772.000000,-11361183.000000,-6.400000,-6.400000,-6.400000,89276557.000000,,89276557.000000,181246993.000000,-5.000000,-4.604000,-6393566.000000,-4.423000,1.000000,0.000000,,0.000000,486411.000000,12783924.000000,,0.000000,0.000000,0.000000,0.000000,21637890.000000,6684747.000000,14953143.000000,-6385703.000000,0.000000,7863.000000,0.000000,0.000000,7863.000000,-347295.000000,0.000000,-6046271.000000,0.000000,-9515197.000000,-9515197.000000,-9515197.000000,0.000000,0.000000,,10938799.000000,-10938799.000000,3471032.000000,0.000000,3.054000,-7.024000,-7.015000,3418077.000000,0.000000,188.000000,,,0.000000,-101074968.000000,0.000000,0.000000,6778807.000000,,,,,1275744.000000,4159992.000000,1.000000,1450493.000000,1445517.000000,1445517.000000,0.000000,110914447.000000,0.000000,-1845986.000000,0.000000,76.730000
ARQ,2017-03-31,2017-05-03,2017-03-31,2017-Q1,89544427.000000,312427961.000000,2025-05-15,0.000000,99898111.000000,,96290186.000000,3607925.000000,,54.242000,-89284.000000,95590661.000000,95590661.000000,0.000000,-12170220.000000,14.274000,0.270000,15085159.000000,579554.000000,14505605.000000,15085159.000000,0.000000,42306.000000,0.000000,0.000000,0.000000,-11695079.000000,-11652773.000000,,-11652773.000000,-11695079.000000,-12170220.000000,-8.400000,-8.400000,-8.400000,78646747.000000,,78646747.000000,231922459.000000,-5.000000,-5.516000,-10862963.000000,-7.492000,1.000000,0.000000,,0.000000,475141.000000,12646850.000000,,0.000000,0.000000,0.000000,0.000000,21251364.000000,6745759.000000,14505605.000000,-10808258.000000,0.000000,54705.000000,0.000000,0.000000,54705.000000,-89284.000000,0.000000,-10773679.000000,0.000000,-12170220.000000,-12170220.000000,-12170220.000000,0.000000,0.000000,,11791338.000000,-11791338.000000,2527616.000000,0.000000,3.973000,-7.471000,-7.042000,3465055.000000,0.000000,202.800000,,,0.000000,-113258775.000000,0.000000,0.000000,7589496.000000,,,,,1485705.000000,4201842.000000,1.000000,1540572.000000,1449931.000000,1449931.000000,0.000000,99898111.000000,0.000000,0.000000,0.000000,68.899000
ARQ,2017-06-30,2017-08-01,2017-06-30,2017-Q2,97761015.000000,329497139.000000,2025-05-15,0.000000,112985972.000000,,109351483.000000,3634489.000000,,55.433000,-16378.000000,108714544.000000,108714544.000000,0.000000,-13504482.000000,9.435000,0.341000,20213427.000000,3086296.000000,17127131.000000,20213427.000000,0.000000,44903.000000,0.000000,0.000000,0.000000,-12979714.000000,-12934811.000000,,-12934811.000000,-12979714.000000,-13504482.000000,-8.800000,-8.800000,-8.800000,84268373.000000,,84268373.000000,240996022.000000,-5.000000,-5.264000,-9300082.000000,-6.118000,1.000000,0.000000,,0.000000,524768.000000,12894387.000000,,0.000000,0.000000,0.000000,0.000000,28717599.000000,11590468.000000,17127131.000000,13123883.000000,0.000000,17423965.000000,5000000.000000,0.000000,22423965.000000,-16378.000000,0.000000,-9283704.000000,0.000000,-13504482.000000,-13504482.000000,-13504482.000000,0.000000,0.000000,,13148688.000000,-13148688.000000,4350153.000000,0.000000,3.910000,-7.171000,-6.890000,3491619.000000,0.000000,213.600000,,,0.000000,-126763258.000000,0.000000,0.000000,8975304.000000,,,,,1580523.000000,4173384.000000,1.000000,1542590.000000,1520171.000000,1520171.000000,0.000000,112985972.000000,0.000000,0.000000,0.000000,74.325000
ARQ,2017-09-30,2017-11-01,2017-09-30,2017-Q3,85932012.000000,331119216.000000,2025-05-15,0.000000,101239204.000000,,97633991.000000,3605213.000000,,48.394000,-55089.000000,97307258.000000,97307258.000000,0.000000,-11281479.000000,8.343000,0.356000,20337850.000000,5454610.000000,14883240.000000,20337850.000000,0.000000,47360.000000,0.000000,0.000000,0.000000,-10689390.000000,-10642030.000000,,-10642030.000000,-10689390.000000,-11281479.000000,-7.400000,-7.400000,-7.400000,74653985.000000,,74653985.000000,254149808.000000,-5.000000,-5.517000,-11454463.000000,-7.425000,1.000000,0.000000,,0.000000,592089.000000,12567817.000000,,0.000000,0.000000,0.000000,0.000000,26585219.000000,11701979.000000,14883240.000000,-11407286.000000,0.000000,47177.000000,0.000000,0.000000,47177.000000,-55089.000000,0.000000,-11399374.000000,0.000000,-11281479.000000,-11281479.000000,-11281479.000000,0.000000,0.000000,,10903454.000000,-10903454.000000,2964971.000000,0.000000,4.435000,-7.125000,-6.923000,3462343.000000,0.000000,214.600000,,,0.000000,-138044737.000000,0.000000,0.000000,6913171.000000,,,,,1570914.000000,3990283.000000,1.000000,1542960.000000,1542626.000000,1542626.000000,0.000000,101239204.000000,0.000000,0.000000,0.000000,65.628000
