dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,1996-12-31,1997-03-25,1996-12-28,1996-Q4,0.000000,51253564484.000000,2025-04-24,-768000000.000000,24512000000.000000,,5139000000.000000,19373000000.000000,,4.124000,,447000000.000000,447000000.000000,,,1.000000,2.701000,8465000000.000000,26000000.000000,8439000000.000000,8465000000.000000,0.000000,,0.000000,0.014000,0.115000,,,,,,,,,,6623000000.000000,,6623000000.000000,59271564484.000000,22.000000,13.576000,,,1.000000,,,7136000000.000000,,20255000000.000000,,1038000000.000000,1714000000.000000,339000000.000000,1375000000.000000,17889000000.000000,5139000000.000000,12750000000.000000,,,,,,,,,,,,,,,,,,,4626000000.000000,,7.739000,44.607000,46.181000,10191000000.000000,,33.250000,1.620000,1.687000,2516000000.000000,9184000000.000000,,,,,,,,,,1.000000,1541460586.000000,1606000000.000000,,,17376000000.000000,0.000000,,2265000000.000000,10.819000
ARQ,1997-03-31,1997-05-05,1997-03-22,1997-Q1,-319000000.000000,56130298595.000000,2025-04-24,-882000000.000000,24160000000.000000,,5052000000.000000,19108000000.000000,,4.101000,-329000000.000000,440000000.000000,440000000.000000,3257000000.000000,427000000.000000,0.941000,2.722000,8437000000.000000,486000000.000000,7951000000.000000,8437000000.000000,0.000000,362000000.000000,0.000000,0.013000,0.115000,779000000.000000,1141000000.000000,0.170000,1141000000.000000,779000000.000000,656000000.000000,0.270000,0.270000,0.270000,6492000000.000000,,6492000000.000000,64127298595.000000,,,-129000000.000000,-0.081000,1.000000,3445000000.000000,0.514000,6996000000.000000,123000000.000000,19790000000.000000,,1009000000.000000,1636000000.000000,272000000.000000,1364000000.000000,17668000000.000000,5371000000.000000,12297000000.000000,-7000000.000000,112000000.000000,-306000000.000000,89000000.000000,-172000000.000000,-99000000.000000,-107000000.000000,83000000.000000,200000000.000000,-1000000.000000,427000000.000000,427000000.000000,427000000.000000,0.000000,0.000000,0.064000,2679000000.000000,766000000.000000,4279000000.000000,0.426000,8.646000,,,10122000000.000000,0.000000,36.630000,,,2344000000.000000,9434000000.000000,6702000000.000000,6702000000.000000,0.000000,,,,,0.000000,2617000000.000000,1.000000,1532358684.000000,1583000000.000000,1583000000.000000,4.234000,17164000000.000000,0.000000,229000000.000000,2384000000.000000,10.843000
ARQ,1997-06-30,1997-07-29,1997-06-14,1997-Q2,-79000000.000000,57976698301.000000,2025-04-24,-878000000.000000,24904000000.000000,,6310000000.000000,18594000000.000000,,4.203000,-411000000.000000,732000000.000000,732000000.000000,3641000000.000000,656000000.000000,0.988000,2.762000,8523000000.000000,1004000000.000000,7519000000.000000,8523000000.000000,0.000000,386000000.000000,0.000000,0.012000,0.125000,1208000000.000000,1594000000.000000,0.207000,1594000000.000000,1208000000.000000,1079000000.000000,0.420000,0.420000,0.420000,6620000000.000000,,6620000000.000000,65767698301.000000,,,490000000.000000,0.311000,1.000000,4066000000.000000,0.528000,6865000000.000000,129000000.000000,19441000000.000000,,942000000.000000,1713000000.000000,379000000.000000,1334000000.000000,18284000000.000000,6389000000.000000,11895000000.000000,292000000.000000,430000000.000000,-424000000.000000,116000000.000000,-170000000.000000,-464000000.000000,-150000000.000000,-106000000.000000,901000000.000000,5000000.000000,656000000.000000,656000000.000000,656000000.000000,0.000000,0.000000,0.085000,2872000000.000000,1194000000.000000,4783000000.000000,0.298000,8.758000,,,9783000000.000000,0.000000,37.880000,,,3275000000.000000,9899000000.000000,7707000000.000000,7707000000.000000,0.000000,,,,,0.000000,2940000000.000000,1.000000,1530535858.000000,1575000000.000000,1575000000.000000,4.893000,18039000000.000000,0.000000,423000000.000000,2384000000.000000,11.453000
ARQ,1997-09-30,1997-10-22,1997-09-06,1997-Q3,-3122000000.000000,58407807496.000000,2025-04-24,-1035000000.000000,23041000000.000000,,6221000000.000000,16820000000.000000,,4.052000,-217000000.000000,502000000.000000,502000000.000000,2179000000.000000,658000000.000000,0.666000,2.631000,8934000000.000000,5350000000.000000,3584000000.000000,8934000000.000000,0.000000,-2000000.000000,0.000000,0.012000,0.125000,1067000000.000000,1065000000.000000,0.199000,1065000000.000000,1067000000.000000,944000000.000000,0.420000,0.420000,0.420000,6345000000.000000,,6345000000.000000,66839807496.000000,,,734000000.000000,0.469000,1.000000,3183000000.000000,0.594000,5799000000.000000,123000000.000000,16331000000.000000,,775000000.000000,3170000000.000000,1975000000.000000,1195000000.000000,16696000000.000000,9343000000.000000,7353000000.000000,-90000000.000000,-515000000.000000,-634000000.000000,666000000.000000,-203000000.000000,-475000000.000000,-2348000000.000000,-1647000000.000000,951000000.000000,-9000000.000000,658000000.000000,658000000.000000,658000000.000000,-107000000.000000,0.000000,0.123000,2254000000.000000,929000000.000000,3503000000.000000,0.298000,9.205000,,,6007000000.000000,0.000000,38.500000,,,2331000000.000000,10366000000.000000,5362000000.000000,5362000000.000000,0.000000,,,,,0.000000,2209000000.000000,1.000000,1517085909.000000,1566000000.000000,1566000000.000000,3.424000,17242000000.000000,0.000000,286000000.000000,2139000000.000000,11.010000
ARQ,1997-12-31,1998-03-24,1997-12-27,1997-Q4,1994000000.000000,62975363506.000000,2025-04-24,-988000000.000000,20101000000.000000,,6251000000.000000,13850000000.000000,,4.539000,-469000000.000000,1928000000.000000,1928000000.000000,-552000000.000000,401000000.000000,1.468000,1.898000,4946000000.000000,0.000000,4946000000.000000,4946000000.000000,0.000000,360000000.000000,0.000000,0.012000,0.125000,384000000.000000,744000000.000000,0.649000,744000000.000000,384000000.000000,281000000.000000,0.290000,0.250000,0.290000,6936000000.000000,,6936000000.000000,65993363506.000000,19.000000,14.523000,898000000.000000,0.588000,1.000000,1698000000.000000,1.482000,5855000000.000000,103000000.000000,13007000000.000000,,732000000.000000,2156000000.000000,955000000.000000,1201000000.000000,13165000000.000000,4257000000.000000,8908000000.000000,1426000000.000000,75000000.000000,-692000000.000000,-4046000000.000000,-191000000.000000,-4924000000.000000,535000000.000000,1020000000.000000,1367000000.000000,3000000.000000,401000000.000000,401000000.000000,401000000.000000,-544000000.000000,0.000000,0.350000,1925000000.000000,-227000000.000000,3617000000.000000,0.431000,9.079000,29.400000,30.221000,6261000000.000000,0.000000,42.310000,3.011000,3.091000,2150000000.000000,11567000000.000000,1146000000.000000,1146000000.000000,0.000000,,,,,0.000000,1475000000.000000,1.000000,1488427405.000000,1528000000.000000,1570000000.000000,0.750000,14246000000.000000,0.000000,-120000000.000000,2337000000.000000,9.323000
ARQ,1998-03-31,1998-05-05,1998-03-21,1998-Q1,1242000000.000000,59924577205.000000,2025-04-24,-1007000000.000000,19185000000.000000,,5063000000.000000,14122000000.000000,,4.358000,-215000000.000000,1398000000.000000,1398000000.000000,1750000000.000000,377000000.000000,1.325000,1.943000,4715000000.000000,0.000000,4715000000.000000,4715000000.000000,0.000000,246000000.000000,0.000000,0.012000,0.125000,622000000.000000,868000000.000000,0.199000,868000000.000000,622000000.000000,546000000.000000,0.250000,0.240000,0.250000,6519000000.000000,,6519000000.000000,63241577205.000000,19.000000,14.807000,59000000.000000,0.039000,1.000000,2603000000.000000,0.598000,5889000000.000000,76000000.000000,12792000000.000000,,805000000.000000,1355000000.000000,172000000.000000,1183000000.000000,12666000000.000000,3821000000.000000,8845000000.000000,-530000000.000000,-192000000.000000,-685000000.000000,-243000000.000000,-188000000.000000,-1116000000.000000,313000000.000000,783000000.000000,274000000.000000,-1000000.000000,377000000.000000,377000000.000000,377000000.000000,0.000000,0.000000,0.087000,2013000000.000000,590000000.000000,3065000000.000000,0.500000,9.192000,28.645000,29.123000,6304000000.000000,0.000000,40.190000,3.227000,3.238000,2132000000.000000,11758000000.000000,4353000000.000000,4353000000.000000,0.000000,,,,,0.000000,1969000000.000000,1.000000,1491032028.000000,1496000000.000000,1539000000.000000,2.910000,13296000000.000000,0.000000,169000000.000000,2480000000.000000,8.888000
ARQ,1998-06-30,1998-07-28,1998-06-13,1998-Q2,492000000.000000,58736734455.000000,2025-04-24,-1051000000.000000,18893000000.000000,,4558000000.000000,14335000000.000000,,4.091000,-288000000.000000,375000000.000000,375000000.000000,2148000000.000000,494000000.000000,1.121000,2.110000,4879000000.000000,200000000.000000,4679000000.000000,4879000000.000000,0.000000,277000000.000000,0.000000,0.013000,0.130000,793000000.000000,1070000000.000000,0.203000,1070000000.000000,793000000.000000,717000000.000000,0.330000,0.330000,0.330000,6075000000.000000,,6075000000.000000,63240734455.000000,22.000000,16.878000,125000000.000000,0.084000,1.000000,3110000000.000000,0.591000,5990000000.000000,76000000.000000,13341000000.000000,,881000000.000000,1456000000.000000,201000000.000000,1255000000.000000,12818000000.000000,4066000000.000000,8752000000.000000,-1023000000.000000,-360000000.000000,-758000000.000000,170000000.000000,-187000000.000000,-775000000.000000,-661000000.000000,-28000000.000000,413000000.000000,0.000000,494000000.000000,494000000.000000,494000000.000000,0.000000,0.000000,0.094000,2332000000.000000,778000000.000000,3183000000.000000,0.394000,9.669000,30.434000,30.915000,6553000000.000000,0.000000,39.880000,3.644000,3.674000,2507000000.000000,12059000000.000000,5258000000.000000,5258000000.000000,0.000000,,,,,0.000000,2286000000.000000,1.000000,1472836872.000000,1485000000.000000,1530000000.000000,3.541000,12903000000.000000,0.000000,223000000.000000,2432000000.000000,8.689000
ARQ,1998-09-30,1998-10-20,1998-09-05,1998-Q3,-3546000000.000000,49797798452.000000,2025-04-24,-1068000000.000000,22375000000.000000,,4271000000.000000,18104000000.000000,,4.219000,-318000000.000000,326000000.000000,326000000.000000,2283000000.000000,761000000.000000,0.546000,2.600000,8142000000.000000,3911000000.000000,4231000000.000000,8142000000.000000,0.000000,269000000.000000,0.000000,0.015000,0.130000,901000000.000000,1170000000.000000,0.211000,1170000000.000000,901000000.000000,812000000.000000,0.520000,0.500000,0.520000,6215000000.000000,,6215000000.000000,57613798452.000000,21.000000,14.957000,919000000.000000,0.624000,1.000000,3261000000.000000,0.588000,8744000000.000000,89000000.000000,13630000000.000000,,805000000.000000,1561000000.000000,209000000.000000,1352000000.000000,16160000000.000000,7817000000.000000,8343000000.000000,-49000000.000000,-3589000000.000000,-394000000.000000,3120000000.000000,-191000000.000000,2535000000.000000,-3821000000.000000,-9000000.000000,1237000000.000000,0.000000,761000000.000000,761000000.000000,761000000.000000,0.000000,0.000000,0.137000,2372000000.000000,889000000.000000,0.000000,0.250000,8.013000,24.495000,24.417000,6570000000.000000,0.000000,33.940000,3.055000,3.067000,2476000000.000000,12630000000.000000,5544000000.000000,5544000000.000000,0.000000,,,,,0.000000,2326000000.000000,1.000000,1467230361.000000,1473000000.000000,1511000000.000000,3.764000,13631000000.000000,0.000000,51000000.000000,1818000000.000000,9.254000
ARQ,1998-12-31,1999-03-24,1998-12-26,1998-Q4,-3552000000.000000,57160763151.000000,2025-04-24,-1059000000.000000,22660000000.000000,,4362000000.000000,18298000000.000000,,4.325000,-450000000.000000,311000000.000000,311000000.000000,3149000000.000000,361000000.000000,0.551000,2.540000,7949000000.000000,3921000000.000000,4028000000.000000,7949000000.000000,0.000000,442000000.000000,0.000000,0.013000,0.130000,342000000.000000,784000000.000000,0.109000,784000000.000000,342000000.000000,188000000.000000,0.250000,0.240000,0.250000,6401000000.000000,,6401000000.000000,64798763151.000000,24.000000,16.649000,837000000.000000,0.566000,1.000000,4044000000.000000,0.562000,8996000000.000000,154000000.000000,13388000000.000000,,1016000000.000000,1479000000.000000,83000000.000000,1396000000.000000,16259000000.000000,7914000000.000000,8345000000.000000,-15000000.000000,-379000000.000000,22000000.000000,-285000000.000000,-191000000.000000,-454000000.000000,-850000000.000000,152000000.000000,1287000000.000000,2000000.000000,361000000.000000,361000000.000000,361000000.000000,0.000000,0.000000,0.050000,3717000000.000000,327000000.000000,3870000000.000000,0.520000,8.930000,28.681000,28.689000,7318000000.000000,0.000000,38.730000,2.558000,2.565000,2453000000.000000,12800000000.000000,7193000000.000000,7193000000.000000,0.000000,,,,,0.000000,3343000000.000000,1.000000,1475878212.000000,1480000000.000000,1519000000.000000,4.860000,13664000000.000000,0.000000,-173000000.000000,2126000000.000000,9.232000
ARQ,1999-03-31,1999-05-04,1999-03-20,1999-Q1,-2020000000.000000,54737435404.000000,2025-04-24,-1161000000.000000,27105000000.000000,,8872000000.000000,18233000000.000000,,4.445000,-210000000.000000,2124000000.000000,2124000000.000000,2140000000.000000,333000000.000000,0.815000,3.137000,12464000000.000000,7086000000.000000,5378000000.000000,12464000000.000000,0.000000,301000000.000000,0.000000,0.014000,0.130000,615000000.000000,916000000.000000,0.179000,916000000.000000,615000000.000000,491000000.000000,0.230000,0.220000,0.230000,6552000000.000000,,6552000000.000000,65077435404.000000,25.000000,16.517000,91000000.000000,0.062000,1.000000,2974000000.000000,0.582000,8981000000.000000,124000000.000000,17572000000.000000,,1096000000.000000,2698000000.000000,2698000000.000000,0.000000,20553000000.000000,10892000000.000000,9661000000.000000,1813000000.000000,-168000000.000000,82000000.000000,4496000000.000000,-191000000.000000,4387000000.000000,-2876000000.000000,-2615000000.000000,301000000.000000,1000000.000000,333000000.000000,333000000.000000,333000000.000000,0.000000,0.000000,0.065000,2379000000.000000,595000000.000000,3571000000.000000,0.565000,8.354000,28.085000,27.865000,7193000000.000000,0.000000,37.060000,2.369000,2.364000,2380000000.000000,12942000000.000000,5114000000.000000,5114000000.000000,0.000000,,,,,0.000000,2250000000.000000,1.000000,1476995019.000000,1474000000.000000,1510000000.000000,3.469000,18124000000.000000,0.000000,158000000.000000,2198000000.000000,12.296000
