dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2007-12-31,2008-04-15,2007-12-31,2007-Q4,-1218067.000000,,2024-11-07,0.000000,6090.000000,,607.000000,5483.000000,,-0.123000,,2200.000000,2200.000000,,,0.000000,-1.003000,2273581.000000,1088304.000000,1185277.000000,2273581.000000,0.000000,,0.000000,,0.000000,,,,,,,,,,-2397861.000000,,-2397861.000000,,,,,,1.000000,,,3890.000000,,1054907.000000,,0.000000,0.000000,0.000000,0.000000,2403951.000000,1218674.000000,1185277.000000,,,,,,,,,,,,,,,,,,,98403.000000,,,,,0.000000,,,,,0.000000,-3177940.000000,,,,,,,,,,1.000000,19569750.000000,19569750.000000,,,2200.000000,0.000000,,0.000000,0.000000
ARQ,2008-03-31,2008-05-15,2008-03-31,2008-Q1,-1273808.000000,,2024-11-07,0.000000,5970.000000,,740.000000,5230.000000,,-0.125000,0.000000,2333.000000,2333.000000,0.000000,-51936.000000,0.001000,-1.002000,2345977.000000,1164757.000000,1181220.000000,2345977.000000,0.000000,253.000000,0.000000,,0.000000,-11830.000000,-11577.000000,,-11577.000000,-11830.000000,-51936.000000,-0.010000,-0.010000,-0.010000,-2449798.000000,,-2449798.000000,,,,-86795.000000,-0.004000,1.000000,0.000000,,3637.000000,40106.000000,1071429.000000,,0.000000,0.000000,0.000000,0.000000,2455768.000000,1274548.000000,1181220.000000,133.000000,0.000000,0.000000,86928.000000,0.000000,86928.000000,0.000000,0.000000,-86795.000000,0.000000,-51936.000000,-51936.000000,-51936.000000,0.000000,0.000000,,11830.000000,-11830.000000,100824.000000,0.000000,,,,0.000000,0.000000,,,,0.000000,-3229877.000000,0.000000,0.000000,0.000000,,,,,0.000000,11830.000000,1.000000,19569750.000000,19569750.000000,19569750.000000,0.000000,2333.000000,0.000000,0.000000,0.000000,0.000000
ARQ,2008-06-30,2008-08-08,2008-06-30,2008-Q2,-68885.000000,,2024-11-07,0.000000,600.000000,,600.000000,0.000000,,-0.004000,0.000000,600.000000,600.000000,0.000000,-58321.000000,0.009000,-1.009000,46440.000000,46440.000000,0.000000,46440.000000,0.000000,3637.000000,0.000000,,0.000000,-27829.000000,-24192.000000,,-24192.000000,-27829.000000,-58321.000000,-0.010000,-0.010000,-0.010000,-68885.000000,,-68885.000000,,,,-42139.000000,-0.002000,1.000000,0.000000,,0.000000,30492.000000,-23045.000000,,0.000000,0.000000,0.000000,0.000000,69485.000000,69485.000000,0.000000,4499.000000,-4639.000000,0.000000,46638.000000,0.000000,46638.000000,0.000000,0.000000,-42139.000000,0.000000,-58321.000000,-58321.000000,-58321.000000,0.000000,0.000000,,27829.000000,-27829.000000,23045.000000,0.000000,,,,0.000000,0.000000,,,,0.000000,-3288197.000000,0.000000,0.000000,0.000000,,,,,0.000000,27829.000000,1.000000,16224850.000000,19551371.000000,19551371.000000,0.000000,600.000000,0.000000,0.000000,0.000000,0.000000
ARQ,2008-09-30,2008-11-14,2008-09-30,2008-Q3,1123481.000000,,2024-11-07,46807.000000,2917802.000000,,2516951.000000,400851.000000,,0.044000,-6757.000000,93.000000,93.000000,815655.000000,428620.000000,1.806000,0.914000,537355.000000,537355.000000,0.000000,537355.000000,0.000000,18478.000000,0.000000,,0.000000,630466.000000,648944.000000,0.302000,648944.000000,630466.000000,629674.000000,0.010000,0.010000,0.010000,1524332.000000,,1524332.000000,,,,-166516.000000,-0.005000,1.000000,1330279.000000,0.620000,0.000000,792.000000,2061594.000000,,541891.000000,13114.000000,13114.000000,0.000000,1393470.000000,1393470.000000,0.000000,-37503.000000,4639.000000,0.000000,128903.000000,0.000000,128903.000000,-6757.000000,0.000000,-159759.000000,110.000000,428620.000000,428620.000000,428620.000000,0.000000,0.000000,0.200000,697907.000000,632372.000000,607750.000000,0.000000,,,,400851.000000,0.000000,,,,1961462.000000,1553552.000000,2145934.000000,2145934.000000,0.000000,,,,,0.000000,576797.000000,1.000000,45000000.000000,35027397.000000,35027397.000000,0.061000,2917802.000000,0.000000,201054.000000,207959.000000,0.083000
ARQ,2008-12-31,2009-02-13,2008-12-31,2008-Q4,1153312.000000,,2024-11-07,-171367.000000,2601737.000000,,2262822.000000,338915.000000,,0.033000,-1321.000000,27275.000000,27275.000000,624441.000000,186069.000000,2.039000,0.744000,250499.000000,250499.000000,0.000000,250499.000000,0.000000,9158.000000,0.000000,,0.000000,341494.000000,350652.000000,0.221000,350652.000000,341494.000000,337285.000000,0.000000,0.000000,0.000000,1492227.000000,,1492227.000000,,,,171681.000000,0.004000,1.000000,964589.000000,0.607000,0.000000,4209.000000,1715451.000000,,662156.000000,11342.000000,11342.000000,0.000000,1109510.000000,1109510.000000,0.000000,27182.000000,0.000000,0.000000,-139182.000000,0.000000,-139182.000000,-1321.000000,0.000000,173002.000000,-5317.000000,186069.000000,186069.000000,186069.000000,0.000000,0.000000,0.117000,623075.000000,341514.000000,495970.000000,,,,,338915.000000,0.000000,,,,1561711.000000,1739621.000000,1589030.000000,1589030.000000,0.000000,,,,,0.000000,459033.000000,1.000000,45000000.000000,45000000.000000,45000000.000000,0.035000,2601737.000000,0.000000,151216.000000,308163.000000,0.058000
ARQ,2009-03-31,2009-07-09,2009-03-31,2009-Q4,1323354.000000,,2024-11-07,-224828.000000,2269307.000000,,1911694.000000,357613.000000,,0.042000,-41096.000000,226559.000000,226559.000000,1164549.000000,173851.000000,3.249000,0.350000,0.000000,0.000000,0.000000,0.000000,0.000000,9382.000000,0.000000,,0.000000,267883.000000,277265.000000,0.204000,277265.000000,267883.000000,266865.000000,0.010000,0.010000,0.010000,1680967.000000,,1680967.000000,,,,464975.000000,0.012000,1.000000,193180.000000,0.142000,0.000000,1018.000000,1454408.000000,,691900.000000,3110.000000,3110.000000,0.000000,588340.000000,588340.000000,0.000000,199284.000000,0.000000,0.000000,-213921.000000,0.000000,-242331.000000,-42694.000000,-1598.000000,506071.000000,-21762.000000,173851.000000,173851.000000,173851.000000,0.000000,0.000000,0.128000,-75967.000000,269147.000000,147552.000000,0.000000,,,,357613.000000,0.000000,,,,989313.000000,1934032.000000,1357729.000000,1357729.000000,0.000000,,,,,0.000000,-194459.000000,1.000000,45000000.000000,40013699.000000,40013699.000000,0.034000,2269307.000000,0.000000,93014.000000,413862.000000,0.057000
ARQ,2009-06-30,2009-08-11,2009-06-30,2010-Q1,1314167.000000,,2024-11-07,-75137.000000,1963975.000000,,1580557.000000,383418.000000,,0.038000,-4270.000000,236013.000000,236013.000000,251304.000000,-133073.000000,5.933000,0.157000,0.000000,0.000000,0.000000,0.000000,0.000000,10146.000000,0.000000,,0.000000,-191529.000000,-181383.000000,-0.271000,-181383.000000,-191529.000000,-194895.000000,0.000000,0.000000,0.000000,1697585.000000,,1697585.000000,,,,-10553.000000,0.000000,1.000000,418496.000000,0.625000,0.000000,3366.000000,1461572.000000,,710637.000000,2775.000000,2775.000000,0.000000,266390.000000,266390.000000,0.000000,9454.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-4270.000000,0.000000,-6283.000000,20007.000000,-133073.000000,-133073.000000,-133073.000000,0.000000,0.000000,-0.199000,610085.000000,-191589.000000,243189.000000,,,,,383418.000000,0.000000,,,,576175.000000,1800959.000000,669800.000000,669800.000000,0.000000,,,,,0.000000,440711.000000,1.000000,45000000.000000,45000000.000000,45000000.000000,0.015000,1963975.000000,48980.000000,-61822.000000,2054.000000,0.044000
ARQ,2009-09-30,2009-11-18,2009-09-30,2010-Q2,1653684.000000,,2024-11-07,69729.000000,2432015.000000,,2016327.000000,415688.000000,,0.046000,-14518.000000,237320.000000,237320.000000,430061.000000,225245.000000,5.560000,0.175000,0.000000,0.000000,0.000000,0.000000,0.000000,10771.000000,0.000000,,0.000000,316836.000000,327607.000000,0.267000,327607.000000,316836.000000,316646.000000,0.010000,0.010000,0.010000,2069372.000000,,2069372.000000,,,,-14050.000000,0.000000,1.000000,797211.000000,0.650000,0.000000,190.000000,1832052.000000,,720275.000000,2161.000000,2161.000000,0.000000,362643.000000,362643.000000,0.000000,1307.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-14518.000000,0.000000,468.000000,15357.000000,225245.000000,225245.000000,225245.000000,0.000000,0.000000,0.184000,480392.000000,316819.000000,292865.000000,0.000000,,,,415688.000000,0.000000,,,,1052080.000000,2026204.000000,1227272.000000,1227272.000000,0.000000,,,,,1676.000000,316426.000000,1.000000,45000000.000000,45000000.000000,45000000.000000,0.027000,2432015.000000,0.000000,91401.000000,47420.000000,0.054000
ARQ,2009-12-31,2010-02-11,2009-12-31,2010-Q3,2709229.000000,,2024-11-07,169993.000000,4059445.000000,,3636224.000000,423221.000000,,0.070000,-9374.000000,559180.000000,559180.000000,572445.000000,952758.000000,3.923000,0.296000,0.000000,0.000000,0.000000,0.000000,0.000000,11139.000000,0.000000,,0.000000,1349343.000000,1360482.000000,0.516000,1360482.000000,1349343.000000,1349266.000000,0.020000,0.020000,0.020000,3132450.000000,,3132450.000000,,,,298946.000000,0.007000,1.000000,2063997.000000,0.783000,0.000000,77.000000,2573270.000000,,664213.000000,3716.000000,3716.000000,0.000000,926995.000000,926995.000000,0.000000,321860.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-9374.000000,0.000000,308320.000000,22914.000000,952758.000000,952758.000000,952758.000000,0.000000,0.000000,0.361000,714710.000000,1349287.000000,366378.000000,0.000000,,,,423221.000000,0.000000,,,,2407147.000000,2978962.000000,2636442.000000,2636442.000000,0.000000,,,,,10056.000000,516100.000000,1.000000,45000000.000000,45000000.000000,45000000.000000,0.059000,4059445.000000,0.000000,396508.000000,466884.000000,0.090000
ARQ,2010-03-31,2010-06-29,2010-03-31,2010-Q4,2919947.000000,20250000.000000,2024-11-07,272416.000000,4215952.000000,,3656626.000000,559326.000000,,0.077000,-143958.000000,1931757.000000,1931757.000000,1035604.000000,234344.000000,4.964000,0.212000,0.000000,0.000000,0.000000,0.000000,0.000000,28440.000000,0.000000,0.000000,0.000000,255096.000000,283536.000000,0.206000,283536.000000,255096.000000,252448.000000,0.010000,0.010000,0.010000,3479273.000000,,3479273.000000,18318243.000000,11.000000,10.232000,1266816.000000,0.028000,1.000000,343232.000000,0.249000,0.000000,2648.000000,1547516.000000,,624679.000000,7154.000000,7154.000000,0.000000,736679.000000,736679.000000,0.000000,1372577.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-143958.000000,0.000000,1410774.000000,105761.000000,234344.000000,234344.000000,234344.000000,0.000000,0.000000,0.170000,88573.000000,254659.000000,216904.000000,0.000000,5.820000,15.829000,15.000000,559326.000000,0.000000,0.450000,3.425000,3.425000,1092037.000000,3213306.000000,1378836.000000,1378836.000000,0.000000,,,,,10056.000000,-256932.000000,1.000000,45000000.000000,45000000.000000,45467200.000000,0.031000,4215952.000000,0.000000,18104.000000,494321.000000,0.094000
