dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,1993-12-31,1994-03-29,1993-12-31,1993-Q4,,2156151915.000000,2025-05-05,33500000.000000,4011300000.000000,,,,,1.152000,,8700000.000000,8700000.000000,,,,3.020000,477100000.000000,,,477100000.000000,772000000.000000,,0.000000,0.007000,0.004000,,,,,,,,,,997900000.000000,,997900000.000000,2624551915.000000,6.000000,6.119000,,,1.000000,,,0.000000,,4479700000.000000,,0.000000,2786400000.000000,,,3013400000.000000,,,,,,,,,,,,,,,,,,,,,355600000.000000,,2.161000,8.066000,8.328000,106700000.000000,,2.490000,1.103000,1.103000,846100000.000000,446800000.000000,,,,,,,,,,1.000000,865924464.000000,865924464.000000,,,4011300000.000000,78500000.000000,,0.000000,4.632000
ARQ,1994-03-31,1994-05-16,1994-03-31,1994-Q1,,2253877067.000000,2025-05-05,11100000.000000,4415600000.000000,,,,,1.138000,-14700000.000000,17700000.000000,17700000.000000,309000000.000000,48100000.000000,,3.341000,675400000.000000,,,675400000.000000,854700000.000000,4000000.000000,0.000000,0.007000,0.004000,77200000.000000,81200000.000000,0.155000,81200000.000000,77200000.000000,63700000.000000,0.052000,0.052000,0.052000,1017200000.000000,,1017200000.000000,2911577067.000000,,,127300000.000000,0.142000,1.000000,213400000.000000,0.408000,0.000000,13500000.000000,5073300000.000000,,0.000000,3088800000.000000,,,3398400000.000000,,,9000000.000000,0.000000,-1500000.000000,198200000.000000,-5700000.000000,191000000.000000,-324000000.000000,-309300000.000000,142000000.000000,0.000000,48100000.000000,48100000.000000,48100000.000000,0.000000,0.000000,0.092000,136200000.000000,77200000.000000,422100000.000000,0.077000,2.216000,,,116900000.000000,0.000000,2.615000,,,916500000.000000,487800000.000000,522400000.000000,522400000.000000,0.000000,,,,,0.000000,126000000.000000,1.000000,861903276.000000,894000000.000000,894000000.000000,0.584000,4415600000.000000,76200000.000000,15600000.000000,0.000000,4.939000
ARQ,1994-06-30,1994-08-12,1994-06-30,1994-Q2,,2673466425.000000,2025-05-05,-3500000.000000,4528500000.000000,,,,,1.164000,-12800000.000000,11700000.000000,11700000.000000,354400000.000000,60500000.000000,,3.393000,675500000.000000,,,675500000.000000,948600000.000000,4300000.000000,0.000000,0.005000,0.004000,95500000.000000,99800000.000000,0.168000,99800000.000000,95500000.000000,81700000.000000,0.066000,0.066000,0.066000,1030900000.000000,,1030900000.000000,3337266425.000000,,,107600000.000000,0.121000,1.000000,239600000.000000,0.403000,0.000000,13800000.000000,5192300000.000000,,0.000000,3111000000.000000,,,3497600000.000000,,,-6000000.000000,0.000000,-26500000.000000,-100000.000000,-5700000.000000,-32300000.000000,-94100000.000000,-81300000.000000,120400000.000000,0.000000,60500000.000000,60500000.000000,60500000.000000,0.000000,0.000000,0.102000,144100000.000000,95500000.000000,382600000.000000,0.061000,2.593000,,,125600000.000000,0.000000,3.125000,,,966100000.000000,520800000.000000,594000000.000000,594000000.000000,0.000000,,,,,0.000000,132300000.000000,1.000000,855509256.000000,885600000.000000,886800000.000000,0.671000,4528500000.000000,94400000.000000,21200000.000000,0.000000,5.113000
ARQ,1994-09-30,1994-11-04,1994-09-30,1994-Q3,,2665100101.000000,2025-05-05,-4000000.000000,4661900000.000000,,,,,1.228000,-18400000.000000,11900000.000000,11900000.000000,384100000.000000,64800000.000000,,3.279000,675600000.000000,,,675600000.000000,1005200000.000000,5900000.000000,0.000000,0.005000,0.005000,103600000.000000,109500000.000000,0.173000,109500000.000000,103600000.000000,89800000.000000,0.071000,0.071000,0.071000,1089400000.000000,,1089400000.000000,3328800101.000000,,,112500000.000000,0.127000,1.000000,250000000.000000,0.394000,0.000000,13800000.000000,5325600000.000000,,0.000000,3197600000.000000,,,3572500000.000000,,,200000.000000,0.000000,200000.000000,0.000000,-6100000.000000,-5900000.000000,-124800000.000000,-106400000.000000,130900000.000000,0.000000,64800000.000000,64800000.000000,64800000.000000,0.000000,0.000000,0.102000,146400000.000000,103600000.000000,365700000.000000,0.070000,2.446000,,,139400000.000000,0.000000,3.115000,,,987600000.000000,579600000.000000,634100000.000000,634100000.000000,0.000000,,,,,0.000000,137900000.000000,1.000000,855569856.000000,886800000.000000,886800000.000000,0.715000,4661900000.000000,99200000.000000,25000000.000000,0.000000,5.257000
ARQ,1994-12-31,1995-03-28,1994-12-31,1994-Q4,,2899287485.000000,2025-05-05,-30700000.000000,4675100000.000000,,,,,1.345000,-12300000.000000,13400000.000000,13400000.000000,349800000.000000,100900000.000000,,3.059000,675600000.000000,,,675600000.000000,1036700000.000000,5100000.000000,0.000000,0.005000,0.005000,158800000.000000,163900000.000000,0.247000,163900000.000000,158800000.000000,144600000.000000,0.112000,0.112000,0.112000,1151900000.000000,,1151900000.000000,3561487485.000000,8.000000,7.838000,45700000.000000,0.053000,1.000000,315000000.000000,0.474000,0.000000,14200000.000000,5337300000.000000,,0.000000,3180000000.000000,,,3523200000.000000,,,1500000.000000,0.000000,-3400000.000000,-100000.000000,-5900000.000000,-9400000.000000,-47100000.000000,-34800000.000000,58000000.000000,0.000000,100900000.000000,100900000.000000,100900000.000000,0.000000,0.000000,0.152000,156200000.000000,158800000.000000,329200000.000000,0.045000,2.517000,10.570000,11.324000,143300000.000000,0.000000,3.386000,1.200000,1.200000,1005300000.000000,668500000.000000,664800000.000000,664800000.000000,0.000000,,,,,0.000000,146100000.000000,1.000000,856299528.000000,856299528.000000,,0.776000,4675100000.000000,103200000.000000,43700000.000000,0.000000,5.460000
ARQ,1995-03-31,1995-05-12,1995-03-31,1995-Q1,,2757063876.000000,2025-05-05,-7900000.000000,4850900000.000000,,,,,1.399000,-11600000.000000,15200000.000000,15200000.000000,436900000.000000,60700000.000000,,2.906000,675700000.000000,,,675700000.000000,1093100000.000000,4800000.000000,0.000000,0.006000,0.005000,95800000.000000,100600000.000000,0.145000,100600000.000000,95800000.000000,81500000.000000,0.066000,0.066000,0.066000,1241900000.000000,,1241900000.000000,3417563876.000000,8.000000,7.213000,98100000.000000,0.110000,1.000000,256900000.000000,0.370000,0.000000,14300000.000000,5511400000.000000,,0.000000,3260700000.000000,,,3609000000.000000,,,1800000.000000,0.000000,6300000.000000,-100000.000000,-6000000.000000,6300000.000000,-114200000.000000,-102600000.000000,109700000.000000,0.000000,60700000.000000,60700000.000000,60700000.000000,0.000000,0.000000,0.087000,161100000.000000,95800000.000000,310900000.000000,0.076000,2.220000,9.610000,10.186000,149200000.000000,0.000000,3.198000,1.066000,1.098000,1039100000.000000,723300000.000000,693800000.000000,693800000.000000,0.000000,,,,,0.000000,150600000.000000,1.000000,862031436.000000,888000000.000000,889200000.000000,0.781000,4850900000.000000,88400000.000000,20800000.000000,0.000000,5.463000
ARQ,1995-06-30,1995-08-11,1995-06-30,1995-Q2,,2876317160.000000,2025-05-05,12000000.000000,5079200000.000000,,,,,1.484000,-9400000.000000,13200000.000000,13200000.000000,494600000.000000,60800000.000000,,2.853000,675700000.000000,,,675700000.000000,1174700000.000000,5200000.000000,0.000000,0.005000,0.005000,98700000.000000,103900000.000000,0.137000,103900000.000000,98700000.000000,84500000.000000,0.066000,0.066000,0.066000,1318100000.000000,,1318100000.000000,3538817160.000000,8.000000,7.405000,126800000.000000,0.143000,1.000000,264900000.000000,0.349000,0.000000,14200000.000000,5741700000.000000,,0.000000,3485100000.000000,,,3761100000.000000,,,-2000000.000000,0.000000,900000.000000,-100000.000000,-6100000.000000,-4600000.000000,-133600000.000000,-124200000.000000,136200000.000000,0.000000,60800000.000000,60800000.000000,60800000.000000,0.000000,0.000000,0.080000,166200000.000000,98700000.000000,324000000.000000,0.076000,2.182000,10.015000,10.616000,152700000.000000,0.000000,3.333000,1.045000,1.076000,1078700000.000000,778000000.000000,759500000.000000,759500000.000000,0.000000,,,,,0.000000,154900000.000000,1.000000,862895148.000000,888000000.000000,888000000.000000,0.855000,5079200000.000000,88800000.000000,23700000.000000,0.000000,5.720000
ARQ,1995-09-30,1995-11-09,1995-09-30,1995-Q3,,3044695127.000000,2025-05-05,25300000.000000,5275700000.000000,,,,,1.562000,-7600000.000000,18000000.000000,18000000.000000,503900000.000000,62500000.000000,,2.788000,675700000.000000,,,675700000.000000,1193300000.000000,5100000.000000,0.000000,0.005000,0.005000,101800000.000000,106900000.000000,0.138000,106900000.000000,101800000.000000,87500000.000000,0.068000,0.068000,0.068000,1392600000.000000,,1392600000.000000,3702395127.000000,8.000000,7.790000,182000000.000000,0.204000,1.000000,271800000.000000,0.350000,0.000000,14300000.000000,5933400000.000000,,0.000000,3709200000.000000,,,3883100000.000000,,,4800000.000000,0.000000,1800000.000000,-100000.000000,-6000000.000000,-2800000.000000,-182000000.000000,-174400000.000000,189600000.000000,0.000000,62500000.000000,62500000.000000,62500000.000000,0.000000,0.000000,0.081000,170000000.000000,101800000.000000,371300000.000000,0.074000,2.186000,10.687000,11.321000,155100000.000000,0.000000,3.521000,1.052000,1.085000,1072800000.000000,835800000.000000,775700000.000000,775700000.000000,0.000000,,,,,0.000000,163100000.000000,1.000000,864765480.000000,891600000.000000,892800000.000000,0.870000,5275700000.000000,64700000.000000,25000000.000000,0.000000,5.917000
ARQ,1995-12-31,1996-03-15,1995-12-31,1995-Q4,,3257114242.000000,2025-05-05,51100000.000000,5352500000.000000,,,,,1.704000,-9700000.000000,16200000.000000,16200000.000000,508400000.000000,66400000.000000,,2.627000,675900000.000000,,,675900000.000000,1209600000.000000,5300000.000000,0.000000,0.005000,0.005000,106600000.000000,111900000.000000,0.143000,111900000.000000,106600000.000000,92300000.000000,0.072000,0.071000,0.072000,1475800000.000000,,1475800000.000000,3916814242.000000,10.000000,9.251000,85400000.000000,0.099000,1.000000,274500000.000000,0.351000,0.000000,14300000.000000,6012200000.000000,,0.000000,3768000000.000000,,,3876700000.000000,,,-1800000.000000,0.000000,-1200000.000000,-100000.000000,-6000000.000000,-7100000.000000,-89800000.000000,-80100000.000000,95100000.000000,0.000000,66400000.000000,66400000.000000,66400000.000000,0.000000,0.000000,0.085000,167900000.000000,106600000.000000,339900000.000000,0.069000,2.207000,13.002000,13.825000,159200000.000000,0.000000,3.760000,1.081000,1.081000,1058500000.000000,894200000.000000,782900000.000000,782900000.000000,0.000000,,,,,0.000000,158300000.000000,1.000000,866157804.000000,866157804.000000,,0.904000,5352500000.000000,58300000.000000,25900000.000000,0.000000,6.180000
ARQ,1996-03-31,1996-05-01,1996-03-31,1996-Q1,,3368375334.000000,2025-05-05,26600000.000000,5686700000.000000,,,,,1.683000,-11100000.000000,13900000.000000,13900000.000000,525400000.000000,63300000.000000,,2.775000,675900000.000000,,,675900000.000000,1295800000.000000,5200000.000000,0.000000,0.005000,0.005000,101400000.000000,106600000.000000,0.133000,106600000.000000,101400000.000000,87100000.000000,0.068000,0.068000,0.068000,1506600000.000000,,1506600000.000000,4030375334.000000,10.000000,9.388000,148000000.000000,0.165000,1.000000,273600000.000000,0.342000,0.000000,14300000.000000,6348700000.000000,,0.000000,4067400000.000000,,,4180100000.000000,,,-2300000.000000,0.000000,-4500000.000000,-100000.000000,-5900000.000000,-8100000.000000,-153300000.000000,-142200000.000000,159100000.000000,0.000000,63300000.000000,63300000.000000,63300000.000000,0.000000,0.000000,0.079000,172200000.000000,101400000.000000,517100000.000000,0.074000,2.236000,13.314000,14.232000,165100000.000000,0.000000,3.885000,1.081000,1.116000,1134100000.000000,949400000.000000,799000000.000000,799000000.000000,0.000000,,,,,0.000000,161100000.000000,1.000000,866927700.000000,895200000.000000,895200000.000000,0.893000,5686700000.000000,54100000.000000,23800000.000000,0.000000,6.352000
