dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,1996-12-31,1997-03-27,1996-12-31,1996-Q4,7251550.000000,,2025-05-11,0.000000,7339985.000000,,7331513.000000,8472.000000,,285.828000,,7330171.000000,7330171.000000,,,91.686000,0.011000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,,0.000000,,,,,,,,,,7260022.000000,,7260022.000000,,,,,,1.000000,,,0.000000,,-70149.000000,,0.000000,0.000000,0.000000,0.000000,79963.000000,79963.000000,0.000000,,,,,,,,,,,,,,,,,,,0.000000,,,,,0.000000,,,,,0.000000,,,,,,,,,,,1.000000,25400.000000,25400.000000,,,7339985.000000,8472.000000,,76476.000000,288.976000
ARQ,1997-03-31,1997-05-14,1997-03-31,1997-Q1,7296971.000000,,2025-05-11,0.000000,7341504.000000,,7333032.000000,8472.000000,,287.616000,0.000000,7331720.000000,7331720.000000,0.000000,45421.000000,203.351000,0.005000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,68922.000000,68922.000000,,68922.000000,68922.000000,68922.000000,2.000000,2.000000,2.000000,7305443.000000,,7305443.000000,,,,-79696.000000,-3.138000,1.000000,0.000000,,0.000000,0.000000,-26277.000000,,0.000000,0.000000,0.000000,0.000000,36061.000000,36061.000000,0.000000,-70802.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8894.000000,8894.000000,-79696.000000,0.000000,45421.000000,45421.000000,45421.000000,0.000000,0.000000,,-12323.000000,12323.000000,0.000000,0.000000,,,,0.000000,0.000000,,,,0.000000,,0.000000,0.000000,0.000000,,,,,0.000000,-12323.000000,1.000000,25400.000000,25400.000000,25400.000000,0.000000,7341504.000000,8472.000000,23501.000000,35978.000000,289.036000
ARQ,1997-06-30,1997-08-12,1997-06-30,1997-Q2,7328862.000000,,2025-05-11,0.000000,7389742.000000,,7381270.000000,8472.000000,,288.581000,,7379823.000000,7379823.000000,0.000000,31891.000000,140.842000,0.007000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,,0.000000,48321.000000,,,,48321.000000,48321.000000,1.000000,1.000000,1.000000,7337334.000000,,7337334.000000,,,,,,1.000000,0.000000,,0.000000,0.000000,-42489.000000,,0.000000,0.000000,0.000000,0.000000,52408.000000,52408.000000,0.000000,,,,,,,,,,,31891.000000,31891.000000,31891.000000,0.000000,0.000000,,-38087.000000,38087.000000,0.000000,0.000000,,,,0.000000,0.000000,,,,0.000000,,0.000000,0.000000,0.000000,,,,,,-38087.000000,1.000000,25400.000000,25426.000000,25426.000000,0.000000,7389742.000000,8472.000000,16430.000000,52408.000000,290.642000
ARQ,1997-09-30,1997-11-14,1997-09-30,1997-Q3,7378052.000000,,2025-05-11,0.000000,7464272.000000,,7455800.000000,8472.000000,,290.808000,,7455800.000000,7455800.000000,0.000000,49191.000000,95.897000,0.011000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,,0.000000,74531.000000,,,,74531.000000,74531.000000,2.000000,2.000000,2.000000,7386524.000000,,7386524.000000,,,,,,1.000000,0.000000,,0.000000,0.000000,-69276.000000,,0.000000,0.000000,0.000000,0.000000,77748.000000,77748.000000,0.000000,,,,,,,,,,,49191.000000,49191.000000,49191.000000,0.000000,0.000000,,-16609.000000,16609.000000,0.000000,0.000000,,,,0.000000,0.000000,,,,0.000000,,0.000000,0.000000,0.000000,,,,,,-16609.000000,1.000000,13000.000000,25400.000000,25400.000000,0.000000,7464272.000000,8472.000000,25340.000000,77748.000000,293.869000
ARQ,1997-12-31,1998-03-31,1997-12-31,1997-Q4,7337245.000000,,2025-05-11,0.000000,7467317.000000,,7426095.000000,41222.000000,,290.491000,,7426095.000000,7426095.000000,,,83.580000,0.012000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,,0.000000,,,,,,,,,,7378467.000000,,7378467.000000,,,,,,1.000000,,,0.000000,,-47628.000000,,0.000000,0.000000,0.000000,0.000000,88850.000000,88850.000000,0.000000,,,,,,,,,,,,,,,,,,,0.000000,,,,,0.000000,,,,,0.000000,,,,,,,,,,,1.000000,25400.000000,25400.000000,,,7467317.000000,41222.000000,,49934.000000,293.989000
ARQ,1998-03-31,1998-05-15,1998-03-31,1998-Q1,7359881.000000,50274414.000000,2025-05-11,0.000000,7472013.000000,,7430791.000000,41222.000000,,125.132000,,7430791.000000,7430791.000000,,,104.792000,0.010000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,,,,,,,,,,7401103.000000,,7401103.000000,42843624.000000,,,,,1.000000,,,0.000000,,-29688.000000,,0.000000,0.000000,0.000000,0.000000,70910.000000,70910.000000,0.000000,,,,,,,,,,,,,,,,,,,0.000000,,6.793000,,,0.000000,,850.000000,,,0.000000,,,,,,,,,,,1.000000,59146.000000,59146.000000,,,7472013.000000,41222.000000,,39095.000000,126.331000
ARQ,1998-06-30,1998-08-14,1998-06-30,1998-Q2,2928489.000000,23658548.000000,2025-05-11,0.000000,5085288.000000,,4004325.000000,1080963.000000,,76.755000,,2846113.000000,2846113.000000,1807779.000000,-45840.000000,3.722000,0.285000,53530.000000,0.000000,53530.000000,53530.000000,21718.000000,,0.000000,0.000000,0.000000,-9652.000000,,,,-9652.000000,-45840.000000,-1.000000,-1.000000,-1.000000,3955922.000000,,3955922.000000,20865965.000000,,,,,1.000000,510858.000000,0.220000,0.000000,36188.000000,1216869.000000,,0.000000,227468.000000,0.000000,227468.000000,1129366.000000,1075836.000000,53530.000000,,,,,,,,,,,-45840.000000,-45840.000000,-45840.000000,0.000000,0.000000,-0.020000,534944.000000,-24086.000000,678173.000000,0.000000,5.981000,,,835092.000000,0.000000,400.000000,,,979275.000000,-949781.000000,2318637.000000,2318637.000000,0.000000,,,,,,534449.000000,1.000000,59146.000000,51540.000000,51540.000000,44.987000,5085288.000000,0.000000,0.000000,375945.000000,98.667000
ARQ,1998-09-30,1998-11-16,1998-09-30,1998-Q3,2812560.000000,16174733.000000,2025-05-11,0.000000,5228916.000000,,3984471.000000,1244445.000000,,67.824000,-31946.000000,1778871.000000,1778871.000000,2271504.000000,-10200.000000,3.400000,0.311000,67814.000000,0.000000,67814.000000,67814.000000,319688.000000,73166.000000,0.000000,0.000000,0.000000,-6214.000000,66952.000000,0.023000,66952.000000,-6214.000000,-10200.000000,-1.000000,-1.000000,-1.000000,3989191.000000,,3989191.000000,14463676.000000,,,-890062.000000,-15.133000,1.000000,628011.000000,0.217000,0.000000,3986.000000,2345948.000000,,0.000000,400080.000000,0.000000,400080.000000,1239725.000000,1171911.000000,67814.000000,-1067242.000000,0.000000,0.000000,-4568.000000,0.000000,-4568.000000,-204558.000000,-172612.000000,-858116.000000,0.000000,-10200.000000,-10200.000000,-10200.000000,0.000000,0.000000,-0.004000,669655.000000,-41644.000000,476278.000000,0.000000,4.055000,,,812693.000000,0.000000,275.000000,,,1144721.000000,-959981.000000,2899515.000000,2899515.000000,0.000000,,,,,-108374.000000,661070.000000,1.000000,58817.000000,58817.000000,58817.000000,49.297000,5228916.000000,0.000000,0.000000,375945.000000,88.901000
ARQ,1998-12-31,1999-04-15,1998-12-31,1998-Q4,1216286.000000,6646345.000000,2025-05-11,0.000000,4772951.000000,,2586471.000000,2186480.000000,,73.511000,-97967.000000,1289481.000000,1289481.000000,2222509.000000,-894576.000000,1.888000,0.423000,64137.000000,16200.000000,47937.000000,64137.000000,108009.000000,71522.000000,0.000000,0.000000,0.000000,-892555.000000,-821033.000000,-0.291000,-821033.000000,-892555.000000,-894576.000000,-19.000000,-19.000000,-19.000000,3354829.000000,,3354829.000000,5421001.000000,-5.000000,-6.070000,-474213.000000,-10.391000,1.000000,595178.000000,0.211000,0.000000,2021.000000,2177422.000000,,0.000000,303040.000000,0.000000,303040.000000,1418122.000000,1370185.000000,47937.000000,-489390.000000,-406560.000000,0.000000,-3677.000000,0.000000,-18090.000000,-95054.000000,409473.000000,-376246.000000,0.000000,-894576.000000,-894576.000000,-894576.000000,0.000000,0.000000,-0.317000,1516691.000000,-921513.000000,1172151.000000,0.000000,1.981000,-5.796000,-4.520000,839193.000000,0.000000,113.000000,0.827000,0.642000,1113254.000000,-1854557.000000,2817687.000000,2817687.000000,0.000000,,,,,195312.000000,708033.000000,1.000000,58817.000000,45637.000000,45637.000000,61.741000,4772951.000000,73825.000000,0.000000,73825.000000,104.585000
ARQ,1999-03-31,1999-05-17,1999-03-31,1999-Q1,1080438.000000,2883550.000000,2025-05-11,0.000000,4226258.000000,,2239625.000000,1986633.000000,,51.452000,-34255.000000,754788.000000,754788.000000,1661894.000000,-372059.000000,1.932000,0.397000,57832.000000,17000.000000,40832.000000,57832.000000,133037.000000,60299.000000,0.000000,0.000000,0.000000,-371586.000000,-311287.000000,-0.144000,-311287.000000,-371586.000000,-372059.000000,-6.000000,-6.000000,-6.000000,3026239.000000,,3026239.000000,2186594.000000,-2.000000,,-545535.000000,-9.275000,1.000000,500834.000000,0.232000,0.000000,473.000000,2370115.000000,,0.000000,287421.000000,0.000000,287421.000000,1200019.000000,1159187.000000,40832.000000,-534693.000000,0.000000,0.000000,-6305.000000,0.000000,-6305.000000,-17108.000000,17147.000000,-511280.000000,0.000000,-372059.000000,-372059.000000,-372059.000000,0.000000,0.000000,-0.172000,898242.000000,-397408.000000,935325.000000,0.000000,0.953000,-2.180000,-1.852000,540229.000000,0.000000,50.000000,0.283000,0.288000,995050.000000,-2226616.000000,2162728.000000,2162728.000000,0.000000,,,,,43469.000000,564183.000000,1.000000,57671.000000,58817.000000,58817.000000,36.770000,4226258.000000,73825.000000,0.000000,73825.000000,71.854000
