dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2006-12-31,2007-09-27,2006-12-31,2006-Q4,4936000000.000000,,2025-04-24,476000000.000000,26120000000.000000,,11925000000.000000,14195000000.000000,,6.764000,,1676000000.000000,1676000000.000000,,,1.706000,0.831000,2786000000.000000,564000000.000000,2222000000.000000,2786000000.000000,0.000000,,0.000000,,0.000000,,,,,,,,,,14267000000.000000,,14267000000.000000,,,,,,1.000000,,,7824000000.000000,,12417000000.000000,,7075000000.000000,0.000000,0.000000,0.000000,11853000000.000000,6989000000.000000,4864000000.000000,,,,,,,,,,,,,,,,,,,672000000.000000,,,,,5238000000.000000,,,,,2748000000.000000,12526000000.000000,,,,,,,,,,1.000000,2109313033.000000,2109313033.000000,,,18296000000.000000,263000000.000000,,5439000000.000000,8.674000
ARQ,2006-12-31,2007-11-27,2006-12-31,2006-Q4,4936000000.000000,,2025-04-24,476000000.000000,26120000000.000000,,11925000000.000000,14195000000.000000,,6.764000,,1676000000.000000,1676000000.000000,,,1.706000,0.831000,2786000000.000000,564000000.000000,2222000000.000000,2786000000.000000,0.000000,,0.000000,,0.000000,,,,,,,,,,14267000000.000000,,14267000000.000000,,,,,,1.000000,,,7824000000.000000,,12417000000.000000,,7075000000.000000,0.000000,0.000000,0.000000,11853000000.000000,6989000000.000000,4864000000.000000,,,,,,,,,,,,,,,,,,,672000000.000000,,,,,5238000000.000000,,,,,2748000000.000000,12526000000.000000,,,,,,,,,,1.000000,2109313033.000000,2109313033.000000,,,18296000000.000000,263000000.000000,,5439000000.000000,8.674000
ARQ,2007-12-31,2008-02-07,2007-12-31,2007-Q4,6501000000.000000,,2025-04-24,1688000000.000000,32043000000.000000,,15052000000.000000,16991000000.000000,,7.301000,,1656000000.000000,1656000000.000000,,,1.760000,1.081000,6307000000.000000,729000000.000000,5578000000.000000,6307000000.000000,0.000000,,0.000000,,0.000000,,,,,,,,,,15401000000.000000,,15401000000.000000,,,,,,1.000000,,,9831000000.000000,,18312000000.000000,,9332000000.000000,0.000000,0.000000,0.000000,16642000000.000000,8551000000.000000,8091000000.000000,,,,,,,,,,,,,,,,,,,852000000.000000,,,,,6435000000.000000,,,,,3497000000.000000,12448000000.000000,,,,,,,,,,1.000000,2109313033.000000,2109313033.000000,,,22212000000.000000,311000000.000000,,6415000000.000000,10.530000
ARQ,2007-12-31,2008-03-05,2007-12-31,2007-Q4,6501000000.000000,,2025-04-24,1688000000.000000,32043000000.000000,,15052000000.000000,16991000000.000000,,7.301000,,1656000000.000000,1656000000.000000,,,1.760000,1.081000,6307000000.000000,729000000.000000,5578000000.000000,6307000000.000000,0.000000,,0.000000,,0.000000,,,,,,,,,,15401000000.000000,,15401000000.000000,,,,,,1.000000,,,9831000000.000000,,18312000000.000000,,9332000000.000000,0.000000,0.000000,0.000000,16642000000.000000,8551000000.000000,8091000000.000000,,,,,,,,,,,,,,,,,,,852000000.000000,,,,,6435000000.000000,,,,,3497000000.000000,12448000000.000000,,,,,,,,,,1.000000,2109313033.000000,2109313033.000000,,,22212000000.000000,311000000.000000,,6415000000.000000,10.530000
ARQ,2008-03-31,2008-05-08,2008-03-31,2008-Q1,6240000000.000000,110106140323.000000,2025-04-24,1844000000.000000,31532000000.000000,,13633000000.000000,17899000000.000000,,7.006000,-301000000.000000,1231000000.000000,1231000000.000000,2299000000.000000,1867000000.000000,1.844000,1.134000,7540000000.000000,897000000.000000,6643000000.000000,7540000000.000000,0.000000,201000000.000000,0.000000,0.000000,0.000000,2753000000.000000,2954000000.000000,0.467000,2954000000.000000,2753000000.000000,2678000000.000000,0.890000,0.890000,0.890000,14778000000.000000,,14778000000.000000,116415140323.000000,,,1365000000.000000,0.647000,1.000000,4031000000.000000,0.637000,10169000000.000000,75000000.000000,20279000000.000000,,9020000000.000000,0.000000,0.000000,0.000000,16754000000.000000,7393000000.000000,9361000000.000000,-425000000.000000,-29000000.000000,0.000000,907000000.000000,0.000000,-1648000000.000000,-317000000.000000,0.000000,1666000000.000000,-126000000.000000,1867000000.000000,1867000000.000000,1867000000.000000,0.000000,0.000000,0.295000,1216000000.000000,2815000000.000000,828000000.000000,0.000000,7.451000,,,6877000000.000000,0.000000,52.200000,,,2786000000.000000,11296000000.000000,6330000000.000000,6330000000.000000,0.000000,,,,,0.000000,1184000000.000000,1.000000,2109313033.000000,2109313033.000000,,3.001000,21363000000.000000,266000000.000000,811000000.000000,5335000000.000000,10.128000
ARQ,2008-06-30,2008-08-07,2008-06-30,2008-Q2,4312000000.000000,112624461399.000000,2025-04-24,2229000000.000000,34318000000.000000,,15750000000.000000,18568000000.000000,,6.728000,-273000000.000000,3028000000.000000,3028000000.000000,2462000000.000000,1692000000.000000,1.377000,1.475000,8323000000.000000,2052000000.000000,6271000000.000000,8323000000.000000,0.000000,203000000.000000,0.000000,0.008000,0.460000,2543000000.000000,2746000000.000000,0.409000,2746000000.000000,2543000000.000000,2482000000.000000,0.800000,0.800000,0.800000,13867000000.000000,,13867000000.000000,117919461399.000000,,,3243000000.000000,1.573000,1.000000,4247000000.000000,0.633000,10700000000.000000,61000000.000000,17475000000.000000,,9003000000.000000,0.000000,0.000000,0.000000,20451000000.000000,11438000000.000000,9013000000.000000,1797000000.000000,0.000000,-1880000000.000000,714000000.000000,0.000000,-1076000000.000000,-656000000.000000,0.000000,3516000000.000000,13000000.000000,1692000000.000000,1692000000.000000,1692000000.000000,0.000000,0.000000,0.252000,1639000000.000000,2608000000.000000,2123000000.000000,0.575000,8.122000,,,7044000000.000000,0.000000,54.640000,,,3093000000.000000,12032000000.000000,6709000000.000000,6709000000.000000,0.000000,,,,,0.000000,1584000000.000000,1.000000,2061209030.000000,2061209030.000000,,3.255000,23618000000.000000,277000000.000000,790000000.000000,6731000000.000000,11.458000
ARQ,2008-09-30,2008-11-07,2008-09-30,2008-Q3,3910000000.000000,85372029525.000000,2025-04-24,1356000000.000000,35305000000.000000,,15306000000.000000,19999000000.000000,,5.750000,-250000000.000000,2803000000.000000,2803000000.000000,2481000000.000000,2080000000.000000,1.343000,2.035000,11147000000.000000,1949000000.000000,9198000000.000000,11147000000.000000,0.000000,221000000.000000,0.000000,0.024000,0.540000,2816000000.000000,3037000000.000000,0.437000,3037000000.000000,2816000000.000000,2747000000.000000,1.020000,1.000000,1.020000,11632000000.000000,,11632000000.000000,93716029525.000000,,,1753000000.000000,0.867000,1.000000,4472000000.000000,0.643000,12408000000.000000,69000000.000000,19845000000.000000,,8855000000.000000,0.000000,0.000000,0.000000,23673000000.000000,11396000000.000000,12277000000.000000,-225000000.000000,-1625000000.000000,-2417000000.000000,3068000000.000000,-956000000.000000,-450000000.000000,-1879000000.000000,0.000000,2003000000.000000,101000000.000000,2080000000.000000,2080000000.000000,2080000000.000000,0.000000,0.000000,0.299000,1582000000.000000,2890000000.000000,2342000000.000000,0.529000,7.339000,,,6696000000.000000,0.000000,42.200000,,,2975000000.000000,13007000000.000000,6953000000.000000,6953000000.000000,0.000000,,,,,0.000000,1556000000.000000,1.000000,2023033875.000000,2023033875.000000,,3.437000,22897000000.000000,257000000.000000,667000000.000000,6521000000.000000,11.318000
ARQ,2008-12-31,2009-02-26,2008-12-31,2008-Q4,4795000000.000000,68555125840.000000,2025-04-24,-2281000000.000000,32972000000.000000,,14939000000.000000,18033000000.000000,,3.743000,-275000000.000000,1531000000.000000,1531000000.000000,2086000000.000000,1251000000.000000,1.473000,3.396000,11961000000.000000,584000000.000000,11377000000.000000,11961000000.000000,0.000000,217000000.000000,0.000000,0.045000,0.540000,1876000000.000000,2093000000.000000,0.366000,2093000000.000000,1876000000.000000,1770000000.000000,0.620000,0.630000,0.620000,7500000000.000000,,7500000000.000000,78985125840.000000,8.000000,7.293000,475000000.000000,0.237000,1.000000,3627000000.000000,0.635000,11099000000.000000,106000000.000000,22159000000.000000,,9664000000.000000,0.000000,0.000000,0.000000,25472000000.000000,10144000000.000000,15328000000.000000,-1117000000.000000,-9000000.000000,-841000000.000000,1018000000.000000,-1104000000.000000,-1004000000.000000,-309000000.000000,0.000000,750000000.000000,-554000000.000000,1251000000.000000,1251000000.000000,1251000000.000000,0.000000,0.000000,0.219000,1692000000.000000,1935000000.000000,2103000000.000000,0.871000,9.141000,9.950000,10.273000,6348000000.000000,0.000000,34.210000,2.667000,2.667000,2848000000.000000,13354000000.000000,5713000000.000000,5713000000.000000,0.000000,,,,,0.000000,1677000000.000000,1.000000,2003949893.000000,2003949893.000000,,2.851000,21873000000.000000,322000000.000000,519000000.000000,6569000000.000000,10.915000
ARQ,2009-03-31,2009-05-07,2009-03-31,2009-Q1,5505000000.000000,80169654606.000000,2025-04-24,-2969000000.000000,30744000000.000000,,13640000000.000000,17104000000.000000,,3.011000,-145000000.000000,2361000000.000000,2361000000.000000,1971000000.000000,1517000000.000000,1.677000,4.164000,14057000000.000000,913000000.000000,13144000000.000000,14057000000.000000,0.000000,193000000.000000,0.000000,0.051000,0.540000,2279000000.000000,2472000000.000000,0.442000,2472000000.000000,2279000000.000000,2121000000.000000,0.740000,0.740000,0.740000,5906000000.000000,,5906000000.000000,91865654606.000000,10.000000,8.878000,1282000000.000000,0.654000,1.000000,3626000000.000000,0.648000,10815000000.000000,158000000.000000,23490000000.000000,,7824000000.000000,0.000000,0.000000,0.000000,24592000000.000000,8135000000.000000,16457000000.000000,830000000.000000,-209000000.000000,-1358000000.000000,2345000000.000000,-1089000000.000000,-282000000.000000,-188000000.000000,0.000000,1427000000.000000,-127000000.000000,1476000000.000000,1476000000.000000,1476000000.000000,0.000000,41000000.000000,0.264000,1306000000.000000,2320000000.000000,765000000.000000,0.730000,13.574000,12.336000,12.852000,5752000000.000000,0.000000,40.870000,3.210000,3.210000,2602000000.000000,13758000000.000000,5597000000.000000,5597000000.000000,0.000000,,,,,0.000000,1290000000.000000,1.000000,1961577064.000000,1961577064.000000,,2.853000,19929000000.000000,288000000.000000,645000000.000000,5219000000.000000,10.160000
ARQ,2009-06-30,2009-08-06,2009-06-30,2009-Q2,5065000000.000000,90900203740.000000,2025-04-24,-1719000000.000000,33127000000.000000,,14731000000.000000,18396000000.000000,,3.297000,-178000000.000000,2602000000.000000,2602000000.000000,2185000000.000000,1597000000.000000,1.524000,4.146000,14074000000.000000,594000000.000000,13480000000.000000,14074000000.000000,0.000000,202000000.000000,0.000000,0.046000,0.540000,2378000000.000000,2580000000.000000,0.421000,2580000000.000000,2378000000.000000,2185000000.000000,0.790000,0.780000,0.790000,6377000000.000000,,6377000000.000000,102372203740.000000,11.000000,10.054000,2968000000.000000,1.534000,1.000000,3949000000.000000,0.644000,11735000000.000000,193000000.000000,23198000000.000000,,8229000000.000000,0.000000,0.000000,0.000000,26440000000.000000,9666000000.000000,16774000000.000000,241000000.000000,0.000000,-1387000000.000000,-358000000.000000,-1072000000.000000,-2863000000.000000,-207000000.000000,0.000000,3146000000.000000,165000000.000000,1546000000.000000,1546000000.000000,1546000000.000000,0.000000,51000000.000000,0.252000,1520000000.000000,2429000000.000000,774000000.000000,0.684000,14.254000,14.308000,14.823000,6121000000.000000,0.000000,46.990000,3.726000,3.726000,3171000000.000000,14251000000.000000,6134000000.000000,6134000000.000000,0.000000,,,,,0.000000,1498000000.000000,1.000000,1934458475.000000,1934458475.000000,,3.171000,21392000000.000000,284000000.000000,639000000.000000,6818000000.000000,11.058000
