dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,1996-12-31,1997-03-31,1996-12-31,1996-Q4,3803000.000000,22852776.000000,2025-05-19,0.000000,32915000.000000,,11750000.000000,21165000.000000,,1.379000,,3979000.000000,3979000.000000,,,1.479000,4.092000,17473000.000000,73000.000000,17400000.000000,17473000.000000,0.000000,,0.000000,0.000000,0.000000,,,,,,,,,,6464000.000000,,6464000.000000,36346776.000000,18.000000,5.170000,,,1.000000,,,0.000000,,38462000.000000,,0.000000,0.000000,0.000000,0.000000,26451000.000000,7947000.000000,18504000.000000,,,,,,,,,,,,,,,,,,,6595000.000000,,3.535000,24.337000,28.676000,20233000.000000,,4.875000,0.984000,0.984000,7561000.000000,-53000.000000,,,,,,,,,,1.000000,4687749.000000,4687749.000000,,,32915000.000000,119000.000000,,251000.000000,7.021000
ARQ,1997-03-31,1997-05-15,1997-03-31,1997-Q1,1045000.000000,26936732.000000,2025-05-19,0.000000,30712000.000000,,9737000.000000,20975000.000000,,1.458000,-1282000.000000,3402000.000000,3402000.000000,3766000.000000,584000.000000,1.120000,3.495000,14394000.000000,69000.000000,14325000.000000,14394000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,925000.000000,925000.000000,0.125000,925000.000000,925000.000000,649000.000000,0.110000,0.110000,0.110000,6832000.000000,,6832000.000000,37928732.000000,,,2979000.000000,0.636000,1.000000,3642000.000000,0.492000,0.000000,276000.000000,33012000.000000,,0.000000,0.000000,0.000000,0.000000,23880000.000000,8692000.000000,15188000.000000,-537000.000000,0.000000,-445000.000000,-3091000.000000,0.000000,-3536000.000000,-1262000.000000,20000.000000,4261000.000000,0.000000,584000.000000,584000.000000,584000.000000,0.000000,0.000000,0.079000,2717000.000000,925000.000000,7185000.000000,0.000000,3.943000,,,20043000.000000,0.000000,5.750000,,,6166000.000000,531000.000000,7408000.000000,7408000.000000,643000.000000,,,,,0.000000,806000.000000,1.000000,4684649.000000,4684649.000000,,1.581000,30712000.000000,119000.000000,65000.000000,291000.000000,6.556000
ARQ,1997-06-30,1997-08-13,1997-06-30,1997-Q2,2053000.000000,43680459.000000,2025-05-19,0.000000,30318000.000000,,10058000.000000,20260000.000000,,1.473000,-684000.000000,3339000.000000,3339000.000000,3715000.000000,130000.000000,1.256000,3.417000,15105000.000000,55000.000000,15050000.000000,15105000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,434000.000000,434000.000000,0.063000,434000.000000,434000.000000,144000.000000,0.020000,0.020000,0.020000,6864000.000000,,6864000.000000,55446459.000000,,,-572000.000000,-0.123000,1.000000,3122000.000000,0.457000,0.000000,290000.000000,34079000.000000,,0.000000,0.000000,0.000000,0.000000,23454000.000000,8005000.000000,15449000.000000,-403000.000000,0.000000,-332000.000000,481000.000000,0.000000,149000.000000,-664000.000000,20000.000000,112000.000000,0.000000,130000.000000,130000.000000,130000.000000,0.000000,0.000000,0.019000,2688000.000000,434000.000000,6203000.000000,0.000000,6.364000,,,19338000.000000,0.000000,9.375000,,,6496000.000000,661000.000000,6837000.000000,6837000.000000,708000.000000,,,,,0.000000,811000.000000,1.000000,4659249.000000,4659249.000000,,1.467000,30318000.000000,119000.000000,14000.000000,257000.000000,6.507000
ARQ,1997-09-30,1997-11-14,1997-09-30,1997-Q3,68000.000000,42793358.000000,2025-05-19,0.000000,33919000.000000,,11226000.000000,22693000.000000,,1.441000,-3980000.000000,4445000.000000,4445000.000000,3766000.000000,52000.000000,1.006000,4.088000,15893000.000000,38000.000000,15855000.000000,15893000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,332000.000000,332000.000000,0.048000,332000.000000,332000.000000,58000.000000,0.010000,0.010000,0.010000,6666000.000000,,6666000.000000,54241358.000000,,,784000.000000,0.169000,1.000000,3161000.000000,0.456000,0.000000,274000.000000,34209000.000000,,0.000000,0.000000,0.000000,0.000000,27253000.000000,11158000.000000,16095000.000000,1149000.000000,0.000000,-408000.000000,787000.000000,0.000000,379000.000000,-3994000.000000,-14000.000000,4764000.000000,0.000000,52000.000000,52000.000000,52000.000000,0.000000,0.000000,0.008000,2829000.000000,332000.000000,8291000.000000,0.000000,6.420000,,,21768000.000000,0.000000,9.250000,,,6575000.000000,713000.000000,6927000.000000,6927000.000000,906000.000000,,,,,0.000000,611000.000000,1.000000,4626309.000000,4626309.000000,,1.497000,33919000.000000,119000.000000,6000.000000,260000.000000,7.332000
ARQ,1997-12-31,1998-03-31,1997-12-31,1997-Q4,2284000.000000,35598279.000000,2025-05-19,0.000000,34668000.000000,,11209000.000000,23459000.000000,,1.475000,-2852000.000000,3872000.000000,3872000.000000,4153000.000000,258000.000000,1.256000,4.240000,18865000.000000,0.000000,18865000.000000,18865000.000000,0.000000,6795000.000000,0.000000,0.000000,0.000000,594000.000000,7389000.000000,0.978000,7389000.000000,594000.000000,285000.000000,0.080000,0.050000,0.080000,6616000.000000,,6616000.000000,50591279.000000,22.000000,5.572000,-3216000.000000,-0.717000,1.000000,3400000.000000,0.450000,0.000000,309000.000000,40736000.000000,,0.000000,0.000000,0.000000,0.000000,28052000.000000,8925000.000000,19127000.000000,-538000.000000,0.000000,-308000.000000,2972000.000000,0.000000,2664000.000000,-2838000.000000,14000.000000,-364000.000000,0.000000,258000.000000,258000.000000,258000.000000,0.000000,0.000000,0.034000,3100000.000000,300000.000000,7722000.000000,0.000000,5.381000,34.764000,36.082000,22530000.000000,0.000000,7.938000,1.239000,1.239000,7259000.000000,971000.000000,7553000.000000,7553000.000000,154000.000000,,,,,0.000000,800000.000000,1.000000,4484540.000000,4484540.000000,,1.684000,34668000.000000,121000.000000,27000.000000,289000.000000,7.731000
ARQ,1998-03-31,1998-05-15,1998-03-31,1998-Q1,1867000.000000,31398458.000000,2025-05-19,0.000000,35478000.000000,,12485000.000000,22993000.000000,,1.281000,-829000.000000,6498000.000000,6498000.000000,3715000.000000,127000.000000,1.176000,5.172000,18850000.000000,0.000000,18850000.000000,18850000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,510000.000000,510000.000000,0.083000,510000.000000,510000.000000,145000.000000,0.030000,0.020000,0.030000,5748000.000000,,5748000.000000,43750458.000000,23.000000,5.049000,3589000.000000,0.800000,1.000000,2462000.000000,0.399000,0.000000,365000.000000,37212000.000000,,0.000000,0.000000,0.000000,0.000000,29730000.000000,10618000.000000,19112000.000000,2579000.000000,0.000000,-995000.000000,-15000.000000,0.000000,-1010000.000000,-829000.000000,0.000000,4418000.000000,0.000000,127000.000000,127000.000000,127000.000000,0.000000,0.000000,0.021000,1952000.000000,510000.000000,9242000.000000,0.000000,5.463000,55.376000,50.000000,22055000.000000,0.000000,7.000000,1.142000,1.142000,5923000.000000,1098000.000000,6177000.000000,6177000.000000,63000.000000,,,,,0.000000,826000.000000,1.000000,4485494.000000,4485494.000000,,1.377000,35478000.000000,121000.000000,18000.000000,287000.000000,7.909000
ARQ,1998-06-30,1998-08-13,1998-06-30,1998-Q2,1759000.000000,29542160.000000,2025-05-19,0.000000,31914000.000000,,9014000.000000,22900000.000000,,1.289000,-1427000.000000,3307000.000000,3307000.000000,3848000.000000,207000.000000,1.242000,4.553000,18650000.000000,0.000000,18650000.000000,18650000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,574000.000000,574000.000000,0.087000,574000.000000,574000.000000,226000.000000,0.040000,0.040000,0.040000,5747000.000000,,5747000.000000,44885160.000000,22.000000,5.098000,-2768000.000000,-0.621000,1.000000,2725000.000000,0.415000,0.000000,348000.000000,40002000.000000,,0.000000,0.000000,0.000000,0.000000,26167000.000000,7255000.000000,18912000.000000,-3176000.000000,0.000000,-208000.000000,-200000.000000,0.000000,-408000.000000,-1427000.000000,0.000000,-1341000.000000,0.000000,207000.000000,207000.000000,207000.000000,0.000000,0.000000,0.031000,2151000.000000,574000.000000,5553000.000000,0.000000,5.140000,45.873000,41.406000,21947000.000000,0.000000,6.625000,1.085000,1.085000,5704000.000000,1305000.000000,6573000.000000,6573000.000000,32000.000000,,,,,0.000000,820000.000000,1.000000,4459194.000000,4459194.000000,,1.474000,31914000.000000,121000.000000,19000.000000,269000.000000,7.157000
ARQ,1998-09-30,1998-11-12,1998-09-30,1998-Q3,1640000.000000,29479203.000000,2025-05-19,0.000000,33314000.000000,,10608000.000000,22706000.000000,,1.277000,-1391000.000000,4716000.000000,4716000.000000,3683000.000000,10000.000000,1.183000,4.861000,18400000.000000,0.000000,18400000.000000,18400000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,360000.000000,360000.000000,0.058000,360000.000000,360000.000000,11000.000000,0.010000,0.010000,0.010000,5684000.000000,,5684000.000000,43163203.000000,21.000000,4.887000,1552000.000000,0.349000,1.000000,2525000.000000,0.407000,0.000000,349000.000000,38030000.000000,,0.000000,0.000000,0.000000,0.000000,27630000.000000,8968000.000000,18662000.000000,1229000.000000,0.000000,-73000.000000,-250000.000000,0.000000,-323000.000000,-1391000.000000,0.000000,2943000.000000,0.000000,10000.000000,10000.000000,10000.000000,0.000000,0.000000,0.002000,2165000.000000,360000.000000,7086000.000000,0.000000,5.186000,48.969000,41.406000,21752000.000000,0.000000,6.625000,1.112000,1.112000,5799000.000000,1315000.000000,6208000.000000,6208000.000000,18000.000000,,,,,0.000000,800000.000000,1.000000,4449691.000000,4449691.000000,,1.395000,33314000.000000,121000.000000,1000.000000,262000.000000,7.487000
ARQ,1998-12-31,1999-03-31,1998-12-31,1998-Q4,107000.000000,21085839.000000,2025-05-19,0.000000,28611000.000000,,8537000.000000,20074000.000000,,0.815000,326000.000000,2247000.000000,2247000.000000,3714000.000000,-2036000.000000,1.013000,6.906000,16505000.000000,0.000000,16505000.000000,16505000.000000,0.000000,6994000.000000,0.000000,0.000000,0.000000,-1982000.000000,5012000.000000,0.859000,5012000.000000,-1982000.000000,-2257000.000000,-0.460000,-0.450000,-0.460000,3619000.000000,,3619000.000000,35343839.000000,-66.000000,5.475000,-538000.000000,-0.121000,1.000000,2123000.000000,0.364000,0.000000,275000.000000,34439000.000000,,0.000000,0.000000,0.000000,0.000000,24992000.000000,8430000.000000,16562000.000000,-2452000.000000,0.000000,-29000.000000,-1895000.000000,0.000000,-1924000.000000,336000.000000,10000.000000,-864000.000000,0.000000,-2036000.000000,-2036000.000000,-2036000.000000,0.000000,0.000000,-0.349000,4375000.000000,-2252000.000000,7046000.000000,0.000000,5.826000,-12.462000,-12.500000,19127000.000000,0.000000,4.750000,0.850000,0.850000,6167000.000000,-721000.000000,5837000.000000,5837000.000000,1593000.000000,,,,,0.000000,453000.000000,1.000000,4439124.000000,4439124.000000,,1.315000,28611000.000000,18000.000000,-221000.000000,57000.000000,6.445000
ARQ,1999-03-31,1999-05-14,1999-03-31,1999-Q1,1802000.000000,22713764.000000,2025-05-19,0.000000,30420000.000000,,10021000.000000,20399000.000000,,0.701000,-2032000.000000,2359000.000000,2359000.000000,3384000.000000,-450000.000000,1.219000,8.788000,19075000.000000,0.000000,19075000.000000,19075000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-180000.000000,-180000.000000,-0.034000,-180000.000000,-180000.000000,-487000.000000,-0.100000,-0.100000,-0.100000,3108000.000000,,3108000.000000,39429764.000000,-32.000000,6.838000,-2601000.000000,-0.587000,1.000000,1930000.000000,0.363000,0.000000,307000.000000,38917000.000000,,0.000000,0.000000,0.000000,0.000000,27312000.000000,8219000.000000,19093000.000000,-87000.000000,0.000000,-61000.000000,2570000.000000,0.000000,2509000.000000,-2027000.000000,5000.000000,-569000.000000,0.000000,-450000.000000,-450000.000000,-450000.000000,0.000000,0.000000,-0.085000,2110000.000000,-180000.000000,6616000.000000,0.000000,7.308000,-10.010000,-10.049000,19450000.000000,0.000000,5.125000,0.949000,0.949000,7548000.000000,-1171000.000000,5314000.000000,5314000.000000,687000.000000,,,,,0.000000,621000.000000,1.000000,4431954.000000,4431954.000000,,1.199000,30420000.000000,18000.000000,-37000.000000,18000.000000,6.864000
