dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,1996-12-31,1997-02-10,1996-12-31,1997-Q2,161801000.000000,794632606.000000,2025-05-07,0.000000,564496000.000000,,281853000.000000,282643000.000000,,5.255000,,328000.000000,328000.000000,159017000.000000,13691000.000000,2.348000,0.391000,11840000.000000,300000.000000,11540000.000000,11840000.000000,0.000000,,0.000000,0.000000,0.000000,21999000.000000,,,,21999000.000000,21611000.000000,0.180000,,0.180000,405743000.000000,,405743000.000000,806144606.000000,,,,,1.000000,62648000.000000,0.283000,41897000.000000,388000.000000,414059000.000000,,164179000.000000,0.000000,0.000000,0.000000,158753000.000000,120052000.000000,38701000.000000,,,,,,,,,,,13691000.000000,13691000.000000,13691000.000000,0.000000,0.000000,0.062000,40649000.000000,21999000.000000,75736000.000000,0.000000,1.958000,,,232757000.000000,0.000000,10.380000,,,107004000.000000,259512000.000000,221665000.000000,221665000.000000,3671000.000000,,,,,,26998000.000000,1.000000,76554201.000000,77215000.000000,,2.871000,522599000.000000,0.000000,7920000.000000,30060000.000000,6.768000
ARQ,1997-03-31,1997-05-05,1997-03-31,1997-Q3,165210000.000000,928908522.000000,2025-05-07,0.000000,562945000.000000,,281254000.000000,281691000.000000,,5.393000,-6064000.000000,6613000.000000,6613000.000000,156660000.000000,11600000.000000,2.424000,0.349000,1840000.000000,300000.000000,1540000.000000,1840000.000000,0.000000,7249000.000000,0.000000,0.000000,0.000000,18574000.000000,25823000.000000,0.120000,25823000.000000,18574000.000000,18200000.000000,0.150000,,0.150000,417369000.000000,,417369000.000000,924135522.000000,,,16497000.000000,0.213000,1.000000,57920000.000000,0.270000,41377000.000000,374000.000000,400751000.000000,,162542000.000000,0.000000,0.000000,0.000000,145576000.000000,116044000.000000,29532000.000000,6285000.000000,0.000000,26000.000000,-10000000.000000,0.000000,-9974000.000000,-6302000.000000,0.000000,22561000.000000,0.000000,11600000.000000,11600000.000000,11600000.000000,0.000000,0.000000,0.054000,39346000.000000,18574000.000000,67577000.000000,0.000000,2.226000,,,232166000.000000,0.000000,12.130000,,,99039000.000000,271112000.000000,214580000.000000,214580000.000000,3078000.000000,,,,,0.000000,25196000.000000,1.000000,76579433.000000,77387000.000000,,2.773000,521568000.000000,0.000000,6600000.000000,32217000.000000,6.740000
ARQ,1997-06-30,1997-09-26,1997-06-30,1997-Q4,169631000.000000,1184956162.000000,2025-05-07,0.000000,568377000.000000,,282378000.000000,285999000.000000,,5.464000,-9980000.000000,14356000.000000,14356000.000000,143163000.000000,8984000.000000,2.505000,0.335000,1840000.000000,300000.000000,1540000.000000,1840000.000000,0.000000,6904000.000000,0.000000,0.000000,0.000000,14030000.000000,20934000.000000,0.107000,20934000.000000,14030000.000000,14169000.000000,0.110000,,0.110000,425875000.000000,,425875000.000000,1172440162.000000,16.000000,11.634000,9448000.000000,0.121000,1.000000,53009000.000000,0.270000,40834000.000000,-139000.000000,402280000.000000,,161473000.000000,0.000000,0.000000,0.000000,142502000.000000,112747000.000000,29755000.000000,7743000.000000,0.000000,-922000.000000,0.000000,0.000000,-478000.000000,-11207000.000000,0.000000,19428000.000000,0.000000,8984000.000000,8984000.000000,8984000.000000,0.000000,0.000000,0.046000,38979000.000000,14030000.000000,63846000.000000,0.000000,2.782000,26.337000,26.828000,235860000.000000,0.000000,15.560000,1.403000,1.427000,93367000.000000,280096000.000000,196172000.000000,196172000.000000,3634000.000000,,,,,0.000000,26263000.000000,1.000000,76153995.000000,77942000.000000,,2.517000,527543000.000000,0.000000,5185000.000000,29665000.000000,6.768000
ARQ,1997-09-30,1997-10-29,1997-09-30,1998-Q1,176110000.000000,1181796384.000000,2025-05-07,0.000000,622364000.000000,,313590000.000000,308774000.000000,,5.592000,-11946000.000000,1915000.000000,1915000.000000,164307000.000000,13205000.000000,2.281000,0.434000,23135000.000000,2342000.000000,20793000.000000,23135000.000000,0.000000,7321000.000000,0.000000,0.000000,0.000000,21122000.000000,28443000.000000,0.127000,28443000.000000,21122000.000000,20795000.000000,0.170000,0.170000,0.170000,434110000.000000,,434110000.000000,1203016384.000000,16.000000,,-7770000.000000,-0.100000,1.000000,59466000.000000,0.266000,50850000.000000,327000.000000,455254000.000000,,173484000.000000,0.000000,0.000000,0.000000,188254000.000000,137480000.000000,50774000.000000,-12441000.000000,-15827000.000000,-4970000.000000,16706000.000000,0.000000,11736000.000000,-28353000.000000,0.000000,4176000.000000,0.000000,13205000.000000,13205000.000000,13205000.000000,0.000000,0.000000,0.059000,38344000.000000,21122000.000000,80812000.000000,0.000000,2.722000,24.890000,25.410000,247200000.000000,0.000000,15.500000,1.380000,1.405000,123722000.000000,293301000.000000,223773000.000000,223773000.000000,2942000.000000,,,,,0.000000,25689000.000000,1.000000,76244928.000000,77630000.000000,77630000.000000,2.883000,571514000.000000,0.000000,7590000.000000,37659000.000000,7.362000
ARQ,1997-12-31,1998-02-04,1997-12-31,1998-Q2,192022000.000000,816461565.000000,2025-05-07,-99000.000000,641217000.000000,,320216000.000000,321001000.000000,,5.682000,-21040000.000000,2185000.000000,2185000.000000,174447000.000000,14445000.000000,2.498000,0.512000,61344000.000000,3062000.000000,58282000.000000,61344000.000000,0.000000,7514000.000000,0.000000,0.000000,0.000000,23492000.000000,31006000.000000,0.129000,31006000.000000,23492000.000000,22755000.000000,0.190000,0.190000,0.190000,424029000.000000,,424029000.000000,875620565.000000,11.000000,8.245000,-13354000.000000,-0.179000,1.000000,66291000.000000,0.275000,48870000.000000,737000.000000,523312000.000000,,182730000.000000,0.000000,0.000000,0.000000,217188000.000000,128194000.000000,88994000.000000,270000.000000,0.000000,-24427000.000000,38401000.000000,0.000000,13974000.000000,-21390000.000000,0.000000,7686000.000000,0.000000,14445000.000000,14445000.000000,14445000.000000,0.000000,0.000000,0.060000,42799000.000000,23492000.000000,73997000.000000,0.000000,1.925000,16.927000,17.645000,261443000.000000,0.000000,10.940000,0.933000,0.933000,119047000.000000,307746000.000000,240738000.000000,240738000.000000,2999000.000000,,,,,0.000000,29804000.000000,1.000000,74630856.000000,74630856.000000,,3.226000,592347000.000000,0.000000,8310000.000000,34018000.000000,7.937000
ARQ,1998-03-31,1998-05-01,1998-03-31,1998-Q3,189601000.000000,951682389.000000,2025-05-07,0.000000,650289000.000000,,317560000.000000,332729000.000000,,5.805000,-16021000.000000,2136000.000000,2136000.000000,167468000.000000,9475000.000000,2.482000,0.501000,64786000.000000,5235000.000000,59551000.000000,64786000.000000,0.000000,7662000.000000,0.000000,0.000000,0.000000,16014000.000000,23676000.000000,0.106000,23676000.000000,16014000.000000,15326000.000000,0.130000,0.130000,0.130000,433301000.000000,,433301000.000000,1014332389.000000,14.000000,9.748000,-1121000.000000,-0.015000,1.000000,56208000.000000,0.251000,48927000.000000,688000.000000,536053000.000000,,196940000.000000,0.000000,0.000000,0.000000,216988000.000000,127959000.000000,89029000.000000,-49000.000000,0.000000,-302000.000000,3321000.000000,0.000000,3019000.000000,-17968000.000000,0.000000,14900000.000000,0.000000,9475000.000000,9475000.000000,9475000.000000,0.000000,0.000000,0.042000,40194000.000000,16014000.000000,73984000.000000,0.000000,2.196000,20.640000,21.250000,270787000.000000,0.000000,12.750000,1.076000,1.076000,103758000.000000,317221000.000000,223676000.000000,223676000.000000,3402000.000000,,,,,0.000000,26906000.000000,1.000000,74641756.000000,74641756.000000,,2.997000,601362000.000000,0.000000,5851000.000000,34298000.000000,8.057000
ARQ,1998-06-30,1998-10-06,1998-06-30,1998-Q4,230934000.000000,668143861.000000,2025-05-07,0.000000,595861000.000000,,372454000.000000,223407000.000000,,4.713000,-21692000.000000,1496000.000000,1496000.000000,164553000.000000,-88761000.000000,2.632000,0.727000,86998000.000000,5379000.000000,81619000.000000,86998000.000000,0.000000,6976000.000000,0.000000,0.000000,0.000000,-122401000.000000,-115425000.000000,-0.538000,-115425000.000000,-122401000.000000,-124868000.000000,-1.190000,-1.180000,-1.190000,345078000.000000,,345078000.000000,753645861.000000,-12.000000,-23.333000,-26113000.000000,-0.357000,1.000000,49897000.000000,0.233000,20741000.000000,2467000.000000,519102000.000000,,181467000.000000,0.000000,0.000000,0.000000,250783000.000000,141520000.000000,109263000.000000,-640000.000000,1111000.000000,58000.000000,24052000.000000,0.000000,24562000.000000,-20781000.000000,0.000000,-4421000.000000,0.000000,-88761000.000000,-88761000.000000,-88761000.000000,0.000000,0.000000,-0.414000,172298000.000000,-122401000.000000,78791000.000000,0.000000,1.936000,-12.939000,-13.225000,190644000.000000,0.000000,9.125000,0.740000,0.740000,74601000.000000,228460000.000000,214450000.000000,214450000.000000,6599000.000000,,,,,0.000000,31185000.000000,1.000000,73221245.000000,73221245.000000,,2.929000,575120000.000000,42675000.000000,-36107000.000000,30557000.000000,7.855000
ARQ,1998-09-30,1998-11-23,1998-10-03,1999-Q1,252779000.000000,622467282.000000,2025-05-07,0.000000,634102000.000000,,405339000.000000,228763000.000000,,4.341000,-15273000.000000,2770000.000000,2770000.000000,176993000.000000,-12376000.000000,2.657000,0.994000,138659000.000000,4659000.000000,134000000.000000,138659000.000000,0.000000,5624000.000000,0.000000,0.000000,0.000000,-14075000.000000,-8451000.000000,-0.040000,-8451000.000000,-14075000.000000,-17292000.000000,-0.170000,-0.170000,-0.170000,317932000.000000,,317932000.000000,758356282.000000,-8.000000,-10.960000,-30489000.000000,-0.416000,1.000000,35305000.000000,0.166000,20554000.000000,3217000.000000,596877000.000000,,206262000.000000,0.000000,0.000000,0.000000,316170000.000000,152560000.000000,163610000.000000,1274000.000000,0.000000,-14776000.000000,51661000.000000,0.000000,36885000.000000,-20395000.000000,0.000000,-15216000.000000,0.000000,-12376000.000000,-12376000.000000,-12376000.000000,0.000000,0.000000,-0.058000,49380000.000000,-14075000.000000,96531000.000000,0.000000,1.958000,-8.061000,-8.173000,200580000.000000,0.000000,8.500000,0.698000,0.698000,83055000.000000,216084000.000000,212298000.000000,212298000.000000,3606000.000000,,,,,0.000000,37007000.000000,1.000000,73231445.000000,73231445.000000,,2.899000,613548000.000000,45187000.000000,-4916000.000000,29204000.000000,8.378000
ARQ,1998-12-31,1999-02-11,1999-01-02,1999-Q2,298725000.000000,695939030.000000,2025-05-07,0.000000,710387000.000000,,480772000.000000,229615000.000000,,4.438000,-6905000.000000,852000.000000,852000.000000,171826000.000000,7123000.000000,2.641000,1.185000,179201000.000000,5507000.000000,173694000.000000,179201000.000000,0.000000,6017000.000000,0.000000,0.000000,0.000000,12818000.000000,18835000.000000,0.083000,18835000.000000,12818000.000000,9998000.000000,0.100000,0.100000,0.100000,325089000.000000,,325089000.000000,874288030.000000,-8.000000,-10.745000,-42511000.000000,-0.580000,1.000000,54295000.000000,0.240000,20231000.000000,2820000.000000,686458000.000000,,211633000.000000,0.000000,0.000000,0.000000,385298000.000000,182047000.000000,203251000.000000,-1918000.000000,0.000000,15000.000000,40542000.000000,0.000000,40557000.000000,-6869000.000000,0.000000,-35606000.000000,0.000000,7123000.000000,7123000.000000,7123000.000000,0.000000,0.000000,0.032000,41477000.000000,12818000.000000,120685000.000000,0.000000,2.141000,-8.232000,-8.407000,201749000.000000,0.000000,9.500000,0.794000,0.794000,147115000.000000,223207000.000000,226121000.000000,226121000.000000,3851000.000000,,,,,0.000000,28001000.000000,1.000000,73256740.000000,73256740.000000,,3.087000,690156000.000000,42370000.000000,2875000.000000,29146000.000000,9.421000
ARQ,1999-03-31,1999-05-11,1999-04-03,1999-Q3,288189000.000000,618408701.000000,2025-05-07,-2020000.000000,684581000.000000,,446664000.000000,237917000.000000,,4.540000,-5893000.000000,1520000.000000,1520000.000000,193563000.000000,9712000.000000,2.819000,1.057000,171592000.000000,6865000.000000,164727000.000000,171592000.000000,0.000000,4817000.000000,0.000000,0.000000,0.000000,17351000.000000,22168000.000000,0.088000,22168000.000000,17351000.000000,14350000.000000,0.130000,0.130000,0.130000,332753000.000000,,332753000.000000,788480701.000000,-7.000000,-9.514000,9833000.000000,0.134000,1.000000,57863000.000000,0.230000,19980000.000000,3001000.000000,676198000.000000,,205398000.000000,0.000000,0.000000,0.000000,351828000.000000,158475000.000000,193353000.000000,668000.000000,0.000000,25000.000000,-7609000.000000,0.000000,-7584000.000000,-7474000.000000,0.000000,15726000.000000,0.000000,9712000.000000,9712000.000000,9712000.000000,0.000000,0.000000,0.039000,40512000.000000,17351000.000000,91417000.000000,0.000000,1.858000,-7.336000,-7.467000,203101000.000000,0.000000,8.438000,0.684000,0.684000,120419000.000000,232919000.000000,251426000.000000,251426000.000000,3525000.000000,,,,,0.000000,25375000.000000,1.000000,73288540.000000,73288540.000000,,3.431000,664601000.000000,41627000.000000,4638000.000000,30336000.000000,9.068000
ARQ,1999-06-30,1999-10-01,1999-07-03,1999-Q4,249417000.000000,582216897.000000,2025-05-07,436000.000000,615858000.000000,,382587000.000000,233271000.000000,,4.532000,-1271000.000000,1695000.000000,1695000.000000,149511000.000000,-2913000.000000,2.873000,0.853000,142020000.000000,6994000.000000,135026000.000000,142020000.000000,0.000000,4698000.000000,0.000000,0.000000,0.000000,1938000.000000,6636000.000000,0.035000,6636000.000000,1938000.000000,-3042000.000000,-0.040000,-0.040000,-0.040000,332419000.000000,,332419000.000000,722541897.000000,40.000000,18.438000,18426000.000000,0.251000,1.000000,38231000.000000,0.204000,19334000.000000,4980000.000000,603679000.000000,,197437000.000000,0.000000,0.000000,0.000000,283439000.000000,133170000.000000,150269000.000000,175000.000000,9000000.000000,5000.000000,-29572000.000000,0.000000,-29536000.000000,10014000.000000,0.000000,19697000.000000,0.000000,-2913000.000000,-2913000.000000,-2913000.000000,0.000000,0.000000,-0.016000,36293000.000000,1938000.000000,68240000.000000,0.000000,1.751000,376.596000,396.900000,199662000.000000,0.000000,7.938000,0.663000,0.663000,89123000.000000,230006000.000000,187742000.000000,187742000.000000,3885000.000000,,,,,0.000000,27240000.000000,1.000000,73345540.000000,73345540.000000,,2.560000,596524000.000000,33476000.000000,-129000.000000,19657000.000000,8.133000
ARQ,1999-09-30,1999-11-09,1999-10-02,2000-Q1,241430000.000000,568427935.000000,2025-05-07,602000.000000,609528000.000000,,376994000.000000,232534000.000000,,4.672000,-3766000.000000,1264000.000000,1264000.000000,159169000.000000,10025000.000000,2.781000,0.779000,122326000.000000,6952000.000000,115374000.000000,122326000.000000,0.000000,5433000.000000,0.000000,0.000000,0.000000,17814000.000000,23247000.000000,0.111000,23247000.000000,17814000.000000,15352000.000000,0.140000,0.140000,0.140000,342684000.000000,,342684000.000000,689489935.000000,14.000000,9.727000,-11065000.000000,-0.151000,1.000000,50196000.000000,0.240000,19050000.000000,2462000.000000,575976000.000000,,190454000.000000,0.000000,0.000000,0.000000,266844000.000000,135564000.000000,131280000.000000,-431000.000000,31186000.000000,57000.000000,-19694000.000000,0.000000,-20552000.000000,27420000.000000,0.000000,-7299000.000000,0.000000,10025000.000000,10025000.000000,10025000.000000,0.000000,0.000000,0.048000,32382000.000000,17814000.000000,73229000.000000,0.000000,1.659000,23.737000,23.485000,198304000.000000,0.000000,7.750000,0.650000,0.650000,128778000.000000,240031000.000000,209365000.000000,209365000.000000,3517000.000000,,,,,0.000000,23867000.000000,1.000000,73345540.000000,73345540.000000,,2.855000,590478000.000000,27100000.000000,5327000.000000,18153000.000000,8.051000
