dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2005-12-31,2006-05-05,2005-12-31,2005-Q4,1369000000.000000,11682330198.000000,2025-03-14,0.000000,7600000000.000000,,2736000000.000000,4864000000.000000,,4.433000,,902000000.000000,1672913819.000000,,,2.001000,1.085000,1959000000.000000,256000000.000000,1703000000.000000,3633301742.000000,0.000000,,0.000000,0.032000,0.298000,,,,,,,,,,3564000000.000000,,6610049724.000000,13642718121.000000,8.000000,8.359000,,,0.539000,,,4280000000.000000,,3010000000.000000,,373000000.000000,137000000.000000,4000000.000000,133000000.000000,3867000000.000000,1367000000.000000,2500000000.000000,,,,,,,,,,,,,,,,,,,974000000.000000,,1.767000,10.094000,10.018000,384000000.000000,,14.530000,1.538000,1.538000,1139000000.000000,1214000000.000000,,,,,,,,,,1.000000,804020000.000000,804020000.000000,,,3320000000.000000,385000000.000000,,308000000.000000,4.129000
ARQ,2006-12-31,2007-04-30,2006-12-31,2006-Q4,686000000.000000,13752215446.000000,2025-03-14,0.000000,7213000000.000000,,2376000000.000000,4837000000.000000,,4.312000,,592000000.000000,1182254992.000000,,,1.406000,1.027000,1743000000.000000,595000000.000000,1148000000.000000,3480862247.000000,0.000000,,0.000000,0.033000,0.362000,,,,,,,,,,3476000000.000000,,6941753971.000000,16050822701.000000,14.000000,13.622000,,,0.501000,,,3983000000.000000,,2691000000.000000,,354000000.000000,148000000.000000,75000000.000000,73000000.000000,3569000000.000000,1690000000.000000,1879000000.000000,,,,,,,,,,,,,,,,,,,998000000.000000,,1.981000,15.440000,15.282000,348000000.000000,,17.060000,1.665000,1.665000,1077000000.000000,1568000000.000000,,,,,,,,,,1.000000,806108760.000000,806108760.000000,,,3230000000.000000,417000000.000000,,319000000.000000,4.007000
ARQ,2007-12-31,2008-04-25,2007-12-31,2007-Q4,664000000.000000,10779095401.000000,2025-03-14,0.000000,7292000000.000000,,2392000000.000000,4900000000.000000,,4.573000,,560000000.000000,1110540417.000000,,,1.384000,0.925000,1608000000.000000,559000000.000000,1049000000.000000,3188837482.000000,0.000000,,0.000000,0.048000,0.410000,,,,,,,,,,3695000000.000000,,7327583643.000000,12857392467.000000,11.000000,11.475000,,,0.504000,,,4264000000.000000,,2348000000.000000,,368000000.000000,163000000.000000,68000000.000000,95000000.000000,3418000000.000000,1728000000.000000,1690000000.000000,,,,,,,,,,,,,,,,,,,1050000000.000000,,1.471000,19.139000,18.896000,355000000.000000,,13.340000,1.306000,1.306000,1075000000.000000,1724000000.000000,,,,,,,,,,1.000000,808028141.000000,808028141.000000,,,3028000000.000000,328000000.000000,,383000000.000000,3.747000
ARQ,2008-12-31,2009-03-26,2008-12-31,2008-Q4,1310000000.000000,8214157317.000000,2025-03-14,0.000000,9896000000.000000,,3280000000.000000,6616000000.000000,,5.869000,,685000000.000000,994360452.000000,,,1.665000,1.026000,2363000000.000000,344000000.000000,2019000000.000000,3430180654.000000,0.000000,,0.000000,0.023000,0.000000,,,,,,,,,,4750000000.000000,,6895200215.000000,10649977520.000000,12.000000,12.228000,,,0.689000,,,6048000000.000000,,3556000000.000000,,501000000.000000,324000000.000000,57000000.000000,267000000.000000,4872000000.000000,1970000000.000000,2902000000.000000,,,,,,,,,,,,,,,,,,,1429000000.000000,,1.191000,19.379000,19.104000,423000000.000000,,10.150000,1.176000,1.176000,1494000000.000000,1679000000.000000,,,,,,,,,,1.000000,809276583.000000,809276583.000000,,,3848000000.000000,372000000.000000,,583000000.000000,4.755000
ARQ,2009-12-31,2010-03-31,2009-12-31,2009-Q4,1467000000.000000,12721441817.000000,2025-03-14,227000000.000000,9412000000.000000,,3192000000.000000,6220000000.000000,,5.359000,,750000000.000000,1137665056.000000,,,1.850000,1.099000,2008000000.000000,74000000.000000,1934000000.000000,3045908577.000000,0.000000,,0.000000,0.033000,0.000000,,,,,,,,,,4345000000.000000,,6590872892.000000,14629685338.000000,13.000000,12.946000,,,0.659000,,,5779000000.000000,,3166000000.000000,,445000000.000000,267000000.000000,63000000.000000,204000000.000000,4776000000.000000,1725000000.000000,3051000000.000000,,,,,,,,,,,,,,,,,,,1467000000.000000,,1.930000,19.733000,19.443000,388000000.000000,,15.690000,1.491000,1.491000,1396000000.000000,1629000000.000000,,,,,,,,,,1.000000,810799351.000000,810799351.000000,,,3633000000.000000,387000000.000000,,632000000.000000,4.481000
ARQ,2010-06-30,2010-07-26,2010-06-30,2010-Q2,839000000.000000,13045761558.000000,2025-03-14,0.000000,10094000000.000000,,2959000000.000000,7135000000.000000,,5.417000,,468000000.000000,724998025.000000,,,1.396000,1.224000,2616000000.000000,612000000.000000,2004000000.000000,4052553062.000000,0.000000,,0.000000,0.035000,0.351000,,,,,,,,,,4392000000.000000,,6803827618.000000,16373316595.000000,,,,,0.646000,,,5943000000.000000,,4179000000.000000,,532000000.000000,273000000.000000,18000000.000000,255000000.000000,5378000000.000000,2120000000.000000,3258000000.000000,,,,,,,,,,,,,,,,,,,1309000000.000000,,1.917000,,,353000000.000000,,16.090000,,,1373000000.000000,,,,,,,,,,,1.000000,810799351.000000,810799351.000000,,,4151000000.000000,474000000.000000,,620000000.000000,5.120000
ARQ,2010-12-31,2011-02-28,2010-12-31,2010-Q4,1925000000.000000,13921424857.000000,2025-03-14,0.000000,10668000000.000000,,4167000000.000000,6501000000.000000,,6.830000,,1736000000.000000,2819825190.000000,,,1.859000,0.914000,2312000000.000000,404000000.000000,1908000000.000000,3755435392.000000,0.000000,,0.000000,0.032000,0.000000,,,,,,,,,,5538000000.000000,,8995502249.000000,14857035058.000000,6.000000,,,,0.616000,,,6114000000.000000,,2888000000.000000,,429000000.000000,281000000.000000,18000000.000000,263000000.000000,5063000000.000000,2242000000.000000,2821000000.000000,,,,,,,,,,,,,,,,,,,1605000000.000000,,1.548000,6.608000,6.529000,366000000.000000,,17.170000,1.513000,1.513000,1466000000.000000,,,,,,,,,,,1.000000,810799351.000000,810799351.000000,,,4554000000.000000,276000000.000000,,686000000.000000,5.617000
ARQ,2010-12-31,2011-03-25,2010-12-31,2010-Q4,1925000000.000000,14099952491.000000,2025-03-14,402000000.000000,10668000000.000000,,4167000000.000000,6501000000.000000,,6.815000,,1736000000.000000,2788365321.000000,,,1.859000,0.914000,2312000000.000000,404000000.000000,1908000000.000000,3713537225.000000,0.000000,,0.000000,0.032000,0.000000,,,,,,,,,,5538000000.000000,,8895142366.000000,15025124395.000000,6.000000,6.027000,,,0.623000,,,6114000000.000000,,2888000000.000000,,429000000.000000,281000000.000000,18000000.000000,263000000.000000,5063000000.000000,2242000000.000000,2821000000.000000,,,,,,,,,,,,,,,,,,,1605000000.000000,,1.585000,6.768000,6.672000,366000000.000000,,17.350000,1.550000,1.550000,1466000000.000000,2546000000.000000,,,,,,,,,,1.000000,812677377.000000,812677377.000000,,,4554000000.000000,276000000.000000,,686000000.000000,5.604000
ARQ,2011-06-30,2011-07-29,2011-06-30,2011-Q2,1237000000.000000,15481504032.000000,2025-03-14,0.000000,9724000000.000000,,2938000000.000000,6786000000.000000,,6.389000,,541000000.000000,886463812.000000,,,1.727000,0.867000,1969000000.000000,67000000.000000,1902000000.000000,3226335021.000000,0.000000,,0.000000,0.033000,0.000000,,,,,,,,,,5192000000.000000,,8507430894.000000,17821375241.000000,7.000000,,,,0.610000,,,6414000000.000000,,3037000000.000000,,488000000.000000,277000000.000000,8000000.000000,269000000.000000,4499000000.000000,1701000000.000000,2798000000.000000,,,,,,,,,,,,,,,,,,,1375000000.000000,,1.820000,7.469000,7.363000,353000000.000000,,19.050000,1.647000,1.647000,1378000000.000000,,,,,,,,,,,1.000000,812677377.000000,812677377.000000,,,3310000000.000000,266000000.000000,,645000000.000000,4.073000
ARQ,2011-12-31,2012-03-27,2011-12-31,2011-Q4,1731000000.000000,15814992735.000000,2025-03-14,364000000.000000,11244000000.000000,,3821000000.000000,7423000000.000000,,7.286000,,1369000000.000000,2184562848.000000,,,1.828000,0.889000,2051000000.000000,87000000.000000,1964000000.000000,3272854932.000000,0.000000,,0.000000,0.033000,0.000000,,,,,,,,,,5943000000.000000,,9483460194.000000,16903284819.000000,8.000000,8.454000,,,0.627000,,,6992000000.000000,,2844000000.000000,,407000000.000000,244000000.000000,9000000.000000,235000000.000000,5282000000.000000,2090000000.000000,3192000000.000000,,,,,,,,,,,,,,,,,,,1741000000.000000,,1.668000,10.356000,10.160000,383000000.000000,,19.390000,1.691000,1.691000,1537000000.000000,2980000000.000000,,,,,,,,,,1.000000,815626237.000000,815626237.000000,,,4252000000.000000,287000000.000000,,833000000.000000,5.213000
