dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2020-12-31,2021-09-27,2020-12-27,2020-Q4,-11726000.000000,,2025-05-06,0.000000,910222000.000000,,54626000.000000,855596000.000000,,2.750000,,41432000.000000,41432000.000000,,,0.823000,4.043000,469704000.000000,3324000.000000,466380000.000000,469704000.000000,6774000.000000,,0.000000,,0.000000,,,,,,,,,,140709000.000000,,140709000.000000,,,,,,1.000000,,,660478000.000000,,611664000.000000,,5075000.000000,16015000.000000,0.000000,16015000.000000,568942000.000000,66352000.000000,502590000.000000,,,,,,,,,,,,,,,,,,,21427000.000000,,,,,174769000.000000,,,,,5204000.000000,0.000000,,,,,,,,,,1.000000,71480492.000000,51166734.000000,,,249744000.000000,0.000000,,0.000000,4.881000
ARQ,2021-06-30,2021-10-12,2021-06-27,2021-Q2,332000.000000,,2025-05-06,0.000000,924033000.000000,,66333000.000000,857700000.000000,,2.016000,,54392000.000000,54392000.000000,,,1.005000,3.943000,469962000.000000,3324000.000000,466638000.000000,469962000.000000,4414000.000000,,0.000000,,0.000000,,,,,,,,,,144113000.000000,,144113000.000000,,,,,,1.000000,,,656093000.000000,,617509000.000000,,3573000.000000,16184000.000000,0.000000,16184000.000000,568257000.000000,66001000.000000,502256000.000000,,,,,,,,,,,,,,,,,,,20642000.000000,,,,,180907000.000000,,,,,4373000.000000,2781000.000000,,,,,,,,,,1.000000,71480492.000000,71480492.000000,,,267940000.000000,0.000000,,0.000000,3.748000
ARQ,2021-06-30,2021-10-20,2021-06-27,2021-Q2,332000.000000,,2025-05-06,0.000000,924033000.000000,,66333000.000000,857700000.000000,,2.016000,,54392000.000000,54392000.000000,,,1.005000,3.943000,469962000.000000,3324000.000000,466638000.000000,469962000.000000,4414000.000000,,0.000000,,0.000000,,,,,,,,,,144113000.000000,,144113000.000000,,,,,,1.000000,,,656093000.000000,,617509000.000000,,3573000.000000,16184000.000000,0.000000,16184000.000000,568257000.000000,66001000.000000,502256000.000000,,,,,,,,,,,,,,,,,,,20642000.000000,,,,,180907000.000000,,,,,4373000.000000,2781000.000000,,,,,,,,,,1.000000,71480492.000000,71480492.000000,,,267940000.000000,0.000000,,0.000000,3.748000
ARQ,2021-09-30,2021-11-18,2021-09-26,2021-Q3,4862000.000000,3571018937.000000,2025-05-06,0.000000,929462000.000000,,67128000.000000,862334000.000000,,2.835000,-9219000.000000,49557000.000000,49557000.000000,103760000.000000,6531000.000000,1.078000,3.904000,470088000.000000,3324000.000000,466764000.000000,470088000.000000,3929000.000000,5516000.000000,0.000000,0.000000,0.000000,17214000.000000,22730000.000000,0.165000,22730000.000000,17214000.000000,6531000.000000,0.010000,0.010000,0.010000,145177000.000000,,145177000.000000,3991549937.000000,,,-2145000.000000,-0.042000,1.000000,34243000.000000,0.248000,654839000.000000,10683000.000000,632888000.000000,,4399000.000000,16278000.000000,0.000000,16278000.000000,566736000.000000,62266000.000000,504470000.000000,-4835000.000000,0.000000,249000.000000,-831000.000000,0.000000,-2690000.000000,-9219000.000000,0.000000,7074000.000000,0.000000,6531000.000000,645000.000000,645000.000000,0.000000,0.000000,0.005000,17029000.000000,17214000.000000,21531000.000000,0.000000,24.598000,,,186621000.000000,5886000.000000,48.440000,,,5727000.000000,3426000.000000,138003000.000000,138003000.000000,0.000000,,,,,170000.000000,11750000.000000,1.000000,73720457.000000,51210222.000000,51581685.000000,2.695000,274623000.000000,0.000000,0.000000,0.000000,5.363000
ARQ,2021-12-31,2022-03-10,2021-12-26,2021-Q4,-7921000.000000,1666925073.000000,2025-05-06,0.000000,999573000.000000,,59017000.000000,940556000.000000,,4.783000,-8496000.000000,39263000.000000,39263000.000000,103895000.000000,-33820000.000000,0.882000,3.364000,319153000.000000,3324000.000000,315829000.000000,319153000.000000,6893000.000000,5087000.000000,0.000000,0.000000,0.000000,-31549000.000000,-26462000.000000,-0.191000,-26462000.000000,-31549000.000000,-39119000.000000,-0.490000,-0.490000,-0.490000,171264000.000000,,171264000.000000,1946815073.000000,93.000000,43.955000,-5513000.000000,-0.154000,1.000000,35013000.000000,0.252000,654055000.000000,7570000.000000,558470000.000000,,6078000.000000,16170000.000000,0.000000,16170000.000000,576167000.000000,66938000.000000,509229000.000000,-10294000.000000,0.000000,380068000.000000,-158931000.000000,0.000000,-4781000.000000,-8496000.000000,0.000000,2983000.000000,0.000000,-35588000.000000,-38018000.000000,-38018000.000000,0.000000,-19408000.000000,-0.274000,57529000.000000,-22516000.000000,27249000.000000,0.000000,9.733000,-48.188000,-55.524000,190834000.000000,4198000.000000,23.320000,3.116000,1.561000,7840000.000000,-15950000.000000,138908000.000000,138908000.000000,0.000000,,,,,28946000.000000,51334000.000000,1.000000,71480492.000000,35807171.000000,35807171.000000,3.879000,345518000.000000,74455000.000000,-3531000.000000,156638000.000000,9.649000
ARQ,2022-03-31,2022-05-05,2022-03-27,2022-Q1,-2937000.000000,1415390537.000000,2025-05-06,0.000000,989300000.000000,,48885000.000000,940415000.000000,,4.841000,-6279000.000000,32182000.000000,32182000.000000,106499000.000000,550000.000000,0.943000,3.239000,318943000.000000,3324000.000000,315619000.000000,318943000.000000,5063000.000000,5205000.000000,0.000000,0.000000,0.000000,6458000.000000,11663000.000000,0.087000,11663000.000000,6458000.000000,359000.000000,0.010000,0.000000,0.010000,173354000.000000,,173354000.000000,1702151537.000000,,,-5479000.000000,-0.153000,1.000000,27983000.000000,0.208000,653270000.000000,6099000.000000,570969000.000000,,5147000.000000,16127000.000000,0.000000,16127000.000000,561559000.000000,51822000.000000,509737000.000000,-7081000.000000,0.000000,0.000000,-831000.000000,0.000000,-1602000.000000,-6279000.000000,0.000000,800000.000000,0.000000,194000.000000,550000.000000,550000.000000,0.000000,356000.000000,0.004000,21169000.000000,6814000.000000,22170000.000000,0.000000,8.165000,,,192093000.000000,0.000000,19.790000,,,5401000.000000,-15756000.000000,134482000.000000,134482000.000000,0.000000,,,,,3785000.000000,15687000.000000,1.000000,71520492.000000,35807171.000000,39944086.000000,3.756000,336030000.000000,74289000.000000,165000.000000,156638000.000000,9.384000
ARQ,2022-06-30,2022-08-04,2022-06-26,2022-Q2,15803000.000000,1854086324.000000,2025-05-06,0.000000,1007894000.000000,,69281000.000000,938613000.000000,,5.073000,-7631000.000000,49730000.000000,49730000.000000,112237000.000000,10756000.000000,1.296000,3.090000,318734000.000000,3324000.000000,315410000.000000,318734000.000000,4649000.000000,5309000.000000,0.000000,0.000000,0.000000,19193000.000000,24502000.000000,0.163000,24502000.000000,19193000.000000,13096000.000000,0.140000,0.130000,0.140000,182579000.000000,,182579000.000000,2123090324.000000,188.000000,65.461000,16928000.000000,0.470000,1.000000,38386000.000000,0.255000,652486000.000000,6097000.000000,570934000.000000,,5639000.000000,16083000.000000,0.000000,16083000.000000,564082000.000000,53478000.000000,510604000.000000,17548000.000000,0.000000,1451000.000000,-831000.000000,0.000000,620000.000000,-7631000.000000,0.000000,24559000.000000,0.000000,10756000.000000,5111000.000000,5111000.000000,0.000000,5645000.000000,0.034000,20896000.000000,17490000.000000,20382000.000000,0.000000,10.155000,-58.466000,-78.152000,193813000.000000,0.000000,25.790000,3.299000,1.652000,8830000.000000,-10645000.000000,150623000.000000,150623000.000000,0.000000,,,,,3864000.000000,15439000.000000,1.000000,71891676.000000,35991079.000000,39687090.000000,4.185000,355408000.000000,71949000.000000,2340000.000000,154883000.000000,9.875000
ARQ,2022-09-30,2022-11-03,2022-09-25,2022-Q3,6873000.000000,1621569173.000000,2025-05-06,0.000000,1064072000.000000,,64936000.000000,999136000.000000,,5.743000,-16058000.000000,46722000.000000,46722000.000000,117033000.000000,3198000.000000,1.118000,2.775000,318612000.000000,3324000.000000,315288000.000000,318612000.000000,4033000.000000,5289000.000000,0.000000,0.000000,0.000000,11294000.000000,16583000.000000,0.110000,16583000.000000,11294000.000000,4204000.000000,0.040000,0.040000,0.040000,223399000.000000,,223399000.000000,1893459173.000000,351.000000,72.033000,-2448000.000000,-0.063000,1.000000,34088000.000000,0.226000,651701000.000000,7090000.000000,626198000.000000,,5934000.000000,16245000.000000,0.000000,16245000.000000,619947000.000000,58063000.000000,561884000.000000,-3008000.000000,0.000000,271000.000000,-831000.000000,0.000000,-560000.000000,-16058000.000000,0.000000,13610000.000000,0.000000,3198000.000000,1592000.000000,1592000.000000,0.000000,1606000.000000,0.011000,23502000.000000,10586000.000000,27442000.000000,0.000000,7.259000,-52.708000,-74.933000,211741000.000000,0.000000,22.480000,2.819000,1.520000,8110000.000000,-9053000.000000,151121000.000000,151121000.000000,0.000000,,,,,3698000.000000,18059000.000000,1.000000,72133860.000000,38899373.000000,42625160.000000,3.885000,412371000.000000,115202000.000000,1006000.000000,205287000.000000,10.601000
ARQ,2022-12-31,2023-03-02,2022-12-25,2022-Q4,-11971000.000000,1575678791.000000,2025-05-06,0.000000,1280083000.000000,,65326000.000000,1214757000.000000,,5.708000,-17049000.000000,44427000.000000,44427000.000000,118829000.000000,2653000.000000,0.845000,3.305000,523595000.000000,9004000.000000,514591000.000000,523595000.000000,7292000.000000,5104000.000000,0.000000,0.000000,0.000000,3017000.000000,8121000.000000,0.054000,8121000.000000,3017000.000000,-5341000.000000,0.090000,0.080000,0.090000,256336000.000000,,256336000.000000,2054846791.000000,51.000000,33.562000,871000.000000,0.019000,1.000000,32049000.000000,0.212000,650023000.000000,8358000.000000,1031931000.000000,,7387000.000000,16274000.000000,0.000000,16274000.000000,847182000.000000,77297000.000000,769885000.000000,-2295000.000000,0.000000,297000.000000,-831000.000000,0.000000,-3166000.000000,-17049000.000000,0.000000,17920000.000000,0.000000,-3653000.000000,10260000.000000,10260000.000000,0.000000,-1301000.000000,0.068000,25609000.000000,6440000.000000,30273000.000000,0.000000,6.147000,91.839000,77.750000,393844000.000000,0.000000,21.770000,2.684000,1.443000,8590000.000000,-4812000.000000,150878000.000000,150878000.000000,0.000000,,,,,4790000.000000,17707000.000000,1.000000,72378447.000000,44911412.000000,48506610.000000,3.359000,630060000.000000,150497000.000000,-1688000.000000,252816000.000000,14.029000
ARQ,2023-03-31,2023-05-04,2023-03-26,2023-Q1,-47861000.000000,1520167256.000000,2025-05-06,0.000000,1301703000.000000,,35878000.000000,1265825000.000000,,5.851000,-20190000.000000,14611000.000000,14611000.000000,121240000.000000,-1273000.000000,0.428000,3.028000,522249000.000000,22588000.000000,499661000.000000,522249000.000000,5120000.000000,5670000.000000,0.000000,0.000000,0.000000,6371000.000000,12041000.000000,0.077000,12041000.000000,6371000.000000,-1073000.000000,-0.010000,-0.010000,-0.010000,290203000.000000,,290203000.000000,2027805256.000000,51.000000,33.109000,-13704000.000000,-0.276000,1.000000,34821000.000000,0.223000,649301000.000000,7444000.000000,1076301000.000000,,5259000.000000,16238000.000000,0.000000,16238000.000000,878717000.000000,83739000.000000,794978000.000000,-29816000.000000,0.000000,717000.000000,-15997000.000000,0.000000,-16112000.000000,-20190000.000000,0.000000,6486000.000000,0.000000,-514000.000000,-514000.000000,-514000.000000,0.000000,-759000.000000,-0.003000,26328000.000000,8493000.000000,22130000.000000,0.000000,5.238000,92.417000,80.154000,410630000.000000,0.000000,20.840000,2.497000,1.698000,10129000.000000,-5326000.000000,156061000.000000,156061000.000000,0.000000,,,,,3537000.000000,18778000.000000,1.000000,72944686.000000,49599074.000000,49599074.000000,3.146000,652402000.000000,185943000.000000,-559000.000000,298799000.000000,13.154000
