dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2014-12-31,2015-06-26,2014-12-31,2014-Q4,4282000000.000000,,2025-04-29,110000000.000000,21917000000.000000,,17565000000.000000,4352000000.000000,,6.768000,,2201000000.000000,2201000000.000000,,,1.322000,1.657000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,,0.000000,,,,,,,,,,8248000000.000000,,8248000000.000000,,,,,,1.000000,,,3345000000.000000,,3088000000.000000,,0.000000,3646000000.000000,3615000000.000000,31000000.000000,13669000000.000000,13283000000.000000,386000000.000000,,,,,,,,,,,,,,,,,,,11820000000.000000,,,,,922000000.000000,,,,,11371000000.000000,,,,,,,,,,,1.000000,1218735605.000000,1218735605.000000,,,18572000000.000000,0.000000,,29000000.000000,15.239000
ARQ,2015-06-30,2015-07-29,2015-06-30,2015-Q2,7129000000.000000,46251016210.000000,2025-04-29,24000000.000000,26911000000.000000,,19713000000.000000,7198000000.000000,,10.460000,,2562000000.000000,2562000000.000000,1127000000.000000,305000000.000000,1.567000,1.112000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,399000000.000000,,,,399000000.000000,399000000.000000,0.250000,0.250000,0.250000,12740000000.000000,,12740000000.000000,43689016210.000000,,,,,1.000000,1170000000.000000,0.509000,3595000000.000000,0.000000,8170000000.000000,,0.000000,7256000000.000000,4998000000.000000,2258000000.000000,14171000000.000000,12584000000.000000,1587000000.000000,,,,,,,,,,,305000000.000000,305000000.000000,305000000.000000,0.000000,0.000000,0.133000,772000000.000000,398000000.000000,11676000000.000000,0.000000,3.630000,,,1291000000.000000,0.000000,37.950000,,,11570000000.000000,,2297000000.000000,2297000000.000000,241000000.000000,,,,,,380000000.000000,1.000000,1218735605.000000,1218000000.000000,1224000000.000000,1.886000,23316000000.000000,0.000000,94000000.000000,31000000.000000,19.143000
ARQ,2015-09-30,2015-10-29,2015-09-30,2015-Q3,7482000000.000000,43870890055.000000,2025-04-29,3000000.000000,27896000000.000000,,20554000000.000000,7342000000.000000,,10.822000,-118000000.000000,1880000000.000000,1880000000.000000,1169000000.000000,301000000.000000,1.572000,1.111000,0.000000,0.000000,0.000000,0.000000,0.000000,153000000.000000,0.000000,0.000000,0.000000,350000000.000000,503000000.000000,0.223000,503000000.000000,350000000.000000,350000000.000000,0.250000,0.250000,0.250000,13214000000.000000,,13214000000.000000,41990890055.000000,,,534000000.000000,0.437000,1.000000,1089000000.000000,0.482000,3589000000.000000,0.000000,9355000000.000000,,0.000000,8413000000.000000,6021000000.000000,2392000000.000000,14682000000.000000,13072000000.000000,1610000000.000000,-682000000.000000,-10000000.000000,36000000.000000,-4000000.000000,0.000000,62000000.000000,-1380000000.000000,-1252000000.000000,652000000.000000,-16000000.000000,301000000.000000,301000000.000000,301000000.000000,0.000000,0.000000,0.133000,759000000.000000,330000000.000000,11916000000.000000,0.000000,3.320000,,,1298000000.000000,0.000000,35.910000,,,11975000000.000000,301000000.000000,2258000000.000000,2258000000.000000,230000000.000000,,,,,86000000.000000,376000000.000000,1.000000,1221690060.000000,1221000000.000000,1227000000.000000,1.849000,24307000000.000000,0.000000,49000000.000000,67000000.000000,19.907000
ARQ,2015-12-31,2016-02-11,2015-12-31,2015-Q4,7031000000.000000,40984096235.000000,2025-04-29,-9000000.000000,28881000000.000000,,20648000000.000000,8233000000.000000,,11.232000,-164000000.000000,1393000000.000000,1393000000.000000,1315000000.000000,367000000.000000,1.516000,1.099000,0.000000,0.000000,0.000000,0.000000,0.000000,164000000.000000,0.000000,0.000000,0.000000,418000000.000000,582000000.000000,0.228000,582000000.000000,418000000.000000,418000000.000000,0.290000,0.300000,0.290000,13759000000.000000,,13759000000.000000,39591096235.000000,27.000000,18.889000,564000000.000000,0.460000,1.000000,1241000000.000000,0.486000,4427000000.000000,0.000000,9444000000.000000,,0.000000,8550000000.000000,6202000000.000000,2348000000.000000,15122000000.000000,13617000000.000000,1505000000.000000,-487000000.000000,-942000000.000000,39000000.000000,15000000.000000,0.000000,45000000.000000,-1257000000.000000,-151000000.000000,728000000.000000,-3000000.000000,367000000.000000,367000000.000000,367000000.000000,0.000000,0.000000,0.144000,830000000.000000,411000000.000000,12406000000.000000,0.000000,2.979000,33.375000,33.520000,1344000000.000000,0.000000,33.520000,4.432000,4.429000,12398000000.000000,668000000.000000,2556000000.000000,2556000000.000000,252000000.000000,,,,,88000000.000000,415000000.000000,1.000000,1222675902.000000,1225000000.000000,1235000000.000000,2.087000,24454000000.000000,0.000000,51000000.000000,1537000000.000000,19.962000
ARQ,2016-03-31,2016-04-28,2016-03-31,2016-Q1,7606000000.000000,48565908386.000000,2025-04-29,-27000000.000000,29470000000.000000,,21968000000.000000,7502000000.000000,,11.183000,-133000000.000000,2583000000.000000,2583000000.000000,1303000000.000000,365000000.000000,1.530000,1.167000,0.000000,0.000000,0.000000,0.000000,0.000000,174000000.000000,0.000000,0.000000,0.000000,422000000.000000,596000000.000000,0.234000,596000000.000000,422000000.000000,422000000.000000,0.300000,0.300000,0.300000,13598000000.000000,,13598000000.000000,45982908386.000000,29.000000,,605000000.000000,0.498000,1.000000,1241000000.000000,0.488000,4391000000.000000,0.000000,8134000000.000000,,0.000000,8069000000.000000,6408000000.000000,1661000000.000000,15872000000.000000,14362000000.000000,1510000000.000000,1190000000.000000,-19000000.000000,-590000000.000000,-21000000.000000,0.000000,113000000.000000,325000000.000000,-15000000.000000,738000000.000000,14000000.000000,365000000.000000,365000000.000000,365000000.000000,0.000000,0.000000,0.143000,834000000.000000,407000000.000000,13190000000.000000,0.000000,3.572000,36.297000,36.761000,1345000000.000000,0.000000,40.070000,5.030000,5.047000,12391000000.000000,1033000000.000000,2544000000.000000,2544000000.000000,195000000.000000,,,,,94000000.000000,464000000.000000,1.000000,1212026663.000000,1216000000.000000,1225000000.000000,2.092000,25079000000.000000,0.000000,57000000.000000,1537000000.000000,20.624000
ARQ,2016-06-30,2016-07-26,2016-06-30,2016-Q2,8234000000.000000,45488740136.000000,2025-04-29,52000000.000000,30631000000.000000,,23457000000.000000,7174000000.000000,,11.419000,-201000000.000000,2018000000.000000,2018000000.000000,1383000000.000000,323000000.000000,1.541000,1.217000,0.000000,0.000000,0.000000,0.000000,0.000000,176000000.000000,0.000000,0.000000,0.000000,380000000.000000,556000000.000000,0.210000,556000000.000000,380000000.000000,380000000.000000,0.270000,0.270000,0.270000,13817000000.000000,,13817000000.000000,43470740136.000000,28.000000,19.433000,495000000.000000,0.409000,1.000000,1267000000.000000,0.478000,4350000000.000000,0.000000,9040000000.000000,,0.000000,8761000000.000000,7446000000.000000,1315000000.000000,16814000000.000000,15223000000.000000,1591000000.000000,-565000000.000000,0.000000,-249000000.000000,0.000000,0.000000,544000000.000000,-1806000000.000000,-1335000000.000000,696000000.000000,1000000.000000,323000000.000000,323000000.000000,323000000.000000,0.000000,0.000000,0.122000,896000000.000000,371000000.000000,14003000000.000000,0.000000,3.292000,33.546000,33.955000,1412000000.000000,0.000000,37.690000,4.545000,4.557000,13201000000.000000,1356000000.000000,2650000000.000000,2650000000.000000,209000000.000000,,,,,80000000.000000,511000000.000000,1.000000,1206918019.000000,1210000000.000000,1215000000.000000,2.190000,26281000000.000000,0.000000,57000000.000000,1630000000.000000,21.720000
ARQ,2016-09-30,2016-10-25,2016-09-30,2016-Q3,8545000000.000000,52259834622.000000,2025-04-29,39000000.000000,31356000000.000000,,24161000000.000000,7195000000.000000,,11.758000,-183000000.000000,1369000000.000000,1369000000.000000,1426000000.000000,323000000.000000,1.547000,1.209000,0.000000,0.000000,0.000000,0.000000,0.000000,185000000.000000,0.000000,0.000000,0.000000,360000000.000000,545000000.000000,0.204000,545000000.000000,360000000.000000,360000000.000000,0.270000,0.270000,0.270000,14192000000.000000,,14192000000.000000,50890834622.000000,32.000000,22.330000,618000000.000000,0.512000,1.000000,1241000000.000000,0.465000,4313000000.000000,0.000000,10058000000.000000,,0.000000,9873000000.000000,8534000000.000000,1339000000.000000,17164000000.000000,15616000000.000000,1548000000.000000,-649000000.000000,0.000000,-48000000.000000,0.000000,0.000000,238000000.000000,-1689000000.000000,-1904000000.000000,801000000.000000,1000000.000000,323000000.000000,323000000.000000,323000000.000000,0.000000,0.000000,0.121000,893000000.000000,348000000.000000,14294000000.000000,0.000000,3.682000,37.924000,38.327000,1451000000.000000,0.000000,43.310000,5.017000,5.018000,13507000000.000000,1679000000.000000,2667000000.000000,2667000000.000000,215000000.000000,,,,,103000000.000000,494000000.000000,1.000000,1206645916.000000,1207000000.000000,1214000000.000000,2.210000,27043000000.000000,0.000000,37000000.000000,1598000000.000000,22.405000
ARQ,2016-12-31,2017-02-08,2016-12-31,2016-Q4,8855000000.000000,49366002606.000000,2025-04-29,59000000.000000,33103000000.000000,,25733000000.000000,7370000000.000000,,12.189000,-152000000.000000,1590000000.000000,1590000000.000000,1589000000.000000,390000000.000000,1.525000,1.250000,0.000000,0.000000,0.000000,0.000000,0.000000,189000000.000000,0.000000,0.000000,0.000000,469000000.000000,658000000.000000,0.221000,658000000.000000,469000000.000000,469000000.000000,0.330000,0.320000,0.330000,14712000000.000000,,14712000000.000000,47776002606.000000,29.000000,20.287000,771000000.000000,0.639000,1.000000,1392000000.000000,0.467000,4270000000.000000,0.000000,10365000000.000000,,0.000000,10272000000.000000,8733000000.000000,1539000000.000000,18391000000.000000,16878000000.000000,1513000000.000000,221000000.000000,0.000000,1000000.000000,0.000000,0.000000,1143000000.000000,-1829000000.000000,-881000000.000000,923000000.000000,-16000000.000000,390000000.000000,390000000.000000,390000000.000000,0.000000,0.000000,0.131000,932000000.000000,460000000.000000,15355000000.000000,0.000000,3.355000,35.236000,35.241000,1482000000.000000,0.000000,40.880000,4.553000,4.562000,14577000000.000000,2069000000.000000,2981000000.000000,2981000000.000000,215000000.000000,,,,,121000000.000000,528000000.000000,1.000000,1207583234.000000,1207000000.000000,1218000000.000000,2.470000,28833000000.000000,0.000000,79000000.000000,1577000000.000000,23.888000
ARQ,2017-03-31,2017-04-27,2017-03-31,2017-Q1,8139000000.000000,56639337285.000000,2025-04-29,2000000.000000,33493000000.000000,,25425000000.000000,8068000000.000000,,12.158000,-148000000.000000,1240000000.000000,1240000000.000000,1604000000.000000,384000000.000000,1.471000,1.290000,0.000000,0.000000,0.000000,0.000000,0.000000,183000000.000000,0.000000,0.000000,0.000000,438000000.000000,621000000.000000,0.209000,621000000.000000,438000000.000000,438000000.000000,0.320000,0.320000,0.320000,14626000000.000000,,14626000000.000000,55399337285.000000,34.000000,23.277000,603000000.000000,0.501000,1.000000,1371000000.000000,0.461000,4244000000.000000,0.000000,10723000000.000000,,0.000000,10494000000.000000,8169000000.000000,2325000000.000000,18867000000.000000,17286000000.000000,1581000000.000000,-350000000.000000,0.000000,-505000000.000000,0.000000,0.000000,-54000000.000000,-1058000000.000000,-1664000000.000000,751000000.000000,11000000.000000,384000000.000000,384000000.000000,384000000.000000,0.000000,0.000000,0.129000,940000000.000000,431000000.000000,15905000000.000000,0.000000,3.873000,39.887000,39.622000,1448000000.000000,0.000000,47.150000,5.024000,5.032000,15119000000.000000,2412000000.000000,2975000000.000000,2975000000.000000,214000000.000000,,,,,145000000.000000,503000000.000000,1.000000,1201258479.000000,1203000000.000000,1216000000.000000,2.473000,29249000000.000000,0.000000,54000000.000000,1662000000.000000,24.313000
ARQ,2017-06-30,2017-07-27,2017-06-30,2017-Q2,8394000000.000000,72324180994.000000,2025-04-29,-98000000.000000,35290000000.000000,,27035000000.000000,8255000000.000000,,12.478000,-174000000.000000,1271000000.000000,1271000000.000000,1707000000.000000,411000000.000000,1.450000,1.353000,0.000000,0.000000,0.000000,0.000000,0.000000,201000000.000000,0.000000,0.000000,0.000000,447000000.000000,648000000.000000,0.207000,648000000.000000,447000000.000000,447000000.000000,0.340000,0.340000,0.340000,14998000000.000000,,14998000000.000000,71053180994.000000,41.000000,28.743000,747000000.000000,0.621000,1.000000,1429000000.000000,0.456000,4205000000.000000,0.000000,11173000000.000000,,0.000000,11083000000.000000,8572000000.000000,2511000000.000000,20292000000.000000,18641000000.000000,1651000000.000000,31000000.000000,0.000000,-15000000.000000,-6000000.000000,0.000000,1042000000.000000,-1944000000.000000,-1383000000.000000,921000000.000000,12000000.000000,411000000.000000,411000000.000000,411000000.000000,0.000000,0.000000,0.131000,999000000.000000,430000000.000000,17149000000.000000,0.000000,4.822000,47.960000,47.738000,1479000000.000000,0.000000,60.150000,6.151000,6.149000,16354000000.000000,2824000000.000000,3136000000.000000,3136000000.000000,232000000.000000,,,,,176000000.000000,566000000.000000,1.000000,1202397024.000000,1202000000.000000,1215000000.000000,2.609000,31085000000.000000,0.000000,36000000.000000,1736000000.000000,25.861000
