dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2020-09-30,2020-11-19,2020-09-30,2020-Q3,193348000.000000,,2025-05-02,45000.000000,1489541000.000000,,1212259000.000000,277282000.000000,,-0.570000,,801646000.000000,801646000.000000,,,1.190000,-4.576000,0.000000,0.000000,0.000000,0.000000,1299946000.000000,,0.000000,,0.000000,,,,,,,,,,-313953000.000000,,-313953000.000000,,,,,,1.000000,,,0.000000,,-331016000.000000,,0.000000,9018000.000000,9018000.000000,0.000000,1436664000.000000,1018911000.000000,417753000.000000,,,,,,,,,,,,,,,,,,,17446000.000000,,,,,179549000.000000,,,,,157168000.000000,-483973000.000000,,,,,,,,,,1.000000,550540448.000000,550540448.000000,,,1489541000.000000,0.000000,,0.000000,2.706000
ARQ,2020-12-31,2021-02-22,2020-12-31,2020-Q4,195585000.000000,,2025-05-02,90000.000000,1847800000.000000,,1424131000.000000,423669000.000000,,-1.294000,-51440000.000000,893943000.000000,893943000.000000,84986000.000000,-51833000.000000,1.159000,-6.876000,0.000000,0.000000,0.000000,0.000000,1554929000.000000,13576000.000000,0.000000,,0.000000,-56718000.000000,-43142000.000000,-0.129000,-43142000.000000,-56718000.000000,-56718000.000000,-0.250000,-0.250000,-0.250000,-252388000.000000,,-252388000.000000,,,,127564000.000000,0.654000,1.000000,250224000.000000,0.746000,101894000.000000,0.000000,-376583000.000000,,0.000000,0.000000,0.000000,0.000000,1735354000.000000,1228546000.000000,506808000.000000,92297000.000000,-40919000.000000,5502000.000000,0.000000,0.000000,5502000.000000,-92326000.000000,9000000.000000,179004000.000000,117000.000000,-50037000.000000,-50037000.000000,-50037000.000000,0.000000,-1796000.000000,-0.149000,308770000.000000,-58546000.000000,12012000.000000,0.000000,,,,206415000.000000,0.000000,,,,246986000.000000,-492290000.000000,335210000.000000,335210000.000000,63359000.000000,,,,,20527000.000000,48526000.000000,1.000000,550540448.000000,195119000.000000,195119000.000000,1.718000,1745906000.000000,0.000000,-6681000.000000,0.000000,8.948000
ARQ,2021-03-31,2021-05-13,2021-03-31,2021-Q1,662479000.000000,39705856342.000000,2025-05-02,90000.000000,2816079000.000000,,2172834000.000000,643245000.000000,,1.970000,-22133000.000000,1600530000.000000,1600530000.000000,97937000.000000,-136103000.000000,1.439000,3.879000,184721000.000000,0.000000,184721000.000000,184721000.000000,1824368000.000000,16620000.000000,0.000000,0.000000,0.000000,-134215000.000000,-117595000.000000,-0.304000,-117595000.000000,-134215000.000000,-134215000.000000,-0.460000,-0.460000,-0.460000,573473000.000000,,573473000.000000,38290047342.000000,,,142336000.000000,0.489000,1.000000,289039000.000000,0.747000,99770000.000000,0.000000,-209855000.000000,,0.000000,0.000000,0.000000,0.000000,2224485000.000000,1510355000.000000,714130000.000000,706587000.000000,0.000000,30221000.000000,0.000000,0.000000,564507000.000000,-22389000.000000,0.000000,164469000.000000,0.000000,-134217000.000000,-134217000.000000,-134217000.000000,0.000000,-1886000.000000,-0.347000,424095000.000000,-135056000.000000,8269000.000000,0.000000,69.238000,,,414911000.000000,0.000000,69.680000,,,233781000.000000,-626507000.000000,386976000.000000,386976000.000000,96644000.000000,,,,,50744000.000000,114377000.000000,1.000000,569831463.000000,291074000.000000,291074000.000000,1.329000,2716309000.000000,0.000000,2000.000000,0.000000,9.332000
ARQ,2021-06-30,2021-08-16,2021-06-30,2021-Q2,622266000.000000,45764862623.000000,2025-05-02,114000.000000,3073791000.000000,,2394277000.000000,679514000.000000,,0.922000,-23235000.000000,1780262000.000000,1780262000.000000,116930000.000000,-142930000.000000,1.351000,4.807000,206376000.000000,0.000000,206376000.000000,206376000.000000,2039865000.000000,38334000.000000,0.000000,0.000000,0.000000,-140114000.000000,-101780000.000000,-0.224000,-101780000.000000,-140114000.000000,-140114000.000000,-0.250000,-0.250000,-0.250000,526690000.000000,,526690000.000000,44190976623.000000,,,168016000.000000,0.294000,1.000000,337170000.000000,0.743000,97647000.000000,0.000000,-369753000.000000,,0.000000,0.000000,0.000000,0.000000,2531752000.000000,1772011000.000000,759741000.000000,179732000.000000,0.000000,11668000.000000,0.000000,0.000000,11668000.000000,-23235000.000000,0.000000,191251000.000000,48000.000000,-140134000.000000,-140134000.000000,-140134000.000000,0.000000,-2796000.000000,-0.309000,480116000.000000,-142946000.000000,11112000.000000,0.000000,86.891000,,,446813000.000000,0.000000,79.570000,,,217010000.000000,-766641000.000000,454100000.000000,454100000.000000,124748000.000000,,,,,81659000.000000,116668000.000000,1.000000,575152226.000000,571300000.000000,571300000.000000,0.795000,2976144000.000000,0.000000,20000.000000,0.000000,5.209000
ARQ,2021-09-30,2021-11-09,2021-09-30,2021-Q3,594008000.000000,63394079621.000000,2025-05-02,112000.000000,3272280000.000000,,2511599000.000000,760681000.000000,,1.031000,-2963000.000000,1925559000.000000,1925559000.000000,130015000.000000,-77190000.000000,1.310000,4.491000,196447000.000000,0.000000,196447000.000000,196447000.000000,2171304000.000000,30421000.000000,0.000000,0.000000,0.000000,-75000000.000000,-44579000.000000,-0.088000,-44579000.000000,-75000000.000000,-75000000.000000,-0.130000,-0.130000,-0.130000,593717000.000000,,593717000.000000,61664967621.000000,-152.000000,-200.800000,178203000.000000,0.309000,1.000000,379321000.000000,0.745000,181549000.000000,0.000000,-555972000.000000,,0.000000,0.000000,0.000000,0.000000,2666449000.000000,1917591000.000000,748858000.000000,145297000.000000,-45692000.000000,20389000.000000,0.000000,0.000000,20389000.000000,-56255000.000000,0.000000,181166000.000000,-3000.000000,-74002000.000000,-74002000.000000,-74002000.000000,0.000000,-3188000.000000,-0.145000,456767000.000000,-77446000.000000,20733000.000000,0.000000,106.775000,-159.126000,-100.477000,447734000.000000,0.000000,109.520000,37.609000,37.420000,168762000.000000,-840643000.000000,509336000.000000,509336000.000000,138245000.000000,,,,,89319000.000000,71183000.000000,1.000000,578835643.000000,575932000.000000,575932000.000000,0.884000,3090731000.000000,0.000000,-998000.000000,0.000000,5.366000
ARQ,2021-12-31,2022-02-25,2021-12-31,2021-Q4,1582673000.000000,29417356619.000000,2025-05-02,62000.000000,4560596000.000000,,3749765000.000000,810831000.000000,,1.004000,-44942000.000000,3004300000.000000,3004300000.000000,151988000.000000,-147257000.000000,1.730000,6.784000,1182339000.000000,0.000000,1182339000.000000,1182339000.000000,2374856000.000000,34041000.000000,0.000000,0.000000,0.000000,-135644000.000000,-101603000.000000,-0.179000,-101603000.000000,-135644000.000000,-142642000.000000,-0.240000,-0.240000,-0.240000,584817000.000000,,584817000.000000,27595395619.000000,-57.000000,-75.489000,77281000.000000,0.133000,1.000000,416781000.000000,0.733000,177737000.000000,6998000.000000,393806000.000000,,0.000000,0.000000,0.000000,0.000000,3967673000.000000,2167092000.000000,1800581000.000000,1078741000.000000,0.000000,13899000.000000,987661000.000000,0.000000,1001560000.000000,-44942000.000000,0.000000,122223000.000000,-100000.000000,-143298000.000000,-143298000.000000,-143298000.000000,0.000000,-3959000.000000,-0.252000,556431000.000000,-139650000.000000,64395000.000000,0.000000,50.302000,-59.834000,-51.598000,492637000.000000,0.000000,50.050000,15.328000,13.192000,307349000.000000,-983941000.000000,568769000.000000,568769000.000000,173570000.000000,,,,,120220000.000000,87155000.000000,1.000000,587759373.000000,582361000.000000,582361000.000000,0.977000,4382859000.000000,0.000000,656000.000000,0.000000,7.526000
ARQ,2022-03-31,2022-05-11,2022-03-31,2022-Q1,1579285000.000000,14218847979.000000,2025-05-02,-30000.000000,4715831000.000000,,3754013000.000000,961818000.000000,,0.953000,-51790000.000000,3132964000.000000,3132964000.000000,135632000.000000,-162020000.000000,1.726000,7.393000,1247875000.000000,0.000000,1247875000.000000,1247875000.000000,2471653000.000000,38494000.000000,0.000000,0.000000,0.000000,-149927000.000000,-111433000.000000,-0.207000,-111433000.000000,-149927000.000000,-159926000.000000,-0.270000,-0.270000,-0.270000,561087000.000000,,561087000.000000,12333758979.000000,-25.000000,-34.318000,104646000.000000,0.178000,1.000000,401502000.000000,0.747000,173925000.000000,9999000.000000,482089000.000000,,0.000000,0.000000,0.000000,0.000000,4148370000.000000,2174728000.000000,1973642000.000000,128664000.000000,0.000000,24328000.000000,-154000.000000,0.000000,24024000.000000,-51790000.000000,0.000000,156436000.000000,-6000.000000,-160202000.000000,-160202000.000000,-160202000.000000,0.000000,-1818000.000000,-0.298000,553113000.000000,-151611000.000000,54295000.000000,0.000000,25.342000,-27.469000,-26.933000,625121000.000000,0.000000,23.970000,6.871000,6.817000,179732000.000000,-1144143000.000000,537134000.000000,537134000.000000,177762000.000000,,,,,112295000.000000,86874000.000000,1.000000,593193491.000000,588521000.000000,588521000.000000,0.913000,4541906000.000000,0.000000,276000.000000,0.000000,7.717000
ARQ,2022-06-30,2022-08-10,2022-06-30,2022-Q2,1462247000.000000,28650721929.000000,2025-05-02,408000.000000,4919420000.000000,,3725786000.000000,1193634000.000000,,0.921000,-83812000.000000,3075475000.000000,3075475000.000000,143157000.000000,-178734000.000000,1.646000,7.984000,1388121000.000000,0.000000,1388121000.000000,1388121000.000000,2523793000.000000,45299000.000000,0.000000,0.000000,0.000000,-166827000.000000,-121528000.000000,-0.206000,-121528000.000000,-166827000.000000,-176718000.000000,-0.300000,-0.300000,-0.300000,547088000.000000,,547088000.000000,26963367929.000000,-51.000000,-71.117000,-57315000.000000,-0.097000,1.000000,448050000.000000,0.758000,186770000.000000,9891000.000000,781757000.000000,,0.000000,0.000000,0.000000,0.000000,4367827000.000000,2263539000.000000,2104288000.000000,-57489000.000000,-6165000.000000,5548000.000000,0.000000,0.000000,5128000.000000,-89977000.000000,0.000000,26497000.000000,863000.000000,-176440000.000000,-176440000.000000,-176440000.000000,0.000000,-2294000.000000,-0.298000,618317000.000000,-170267000.000000,77509000.000000,0.000000,52.369000,-51.722000,-51.074000,850366000.000000,0.000000,48.010000,12.985000,12.923000,186825000.000000,-1320583000.000000,591207000.000000,591207000.000000,211757000.000000,,,,,146388000.000000,105177000.000000,1.000000,596765714.000000,593928000.000000,593928000.000000,0.995000,4732650000.000000,0.000000,-278000.000000,0.000000,7.968000
ARQ,2022-09-30,2022-11-09,2022-09-30,2022-Q3,1429922000.000000,18577233534.000000,2025-05-02,997000.000000,5038324000.000000,,3668080000.000000,1370244000.000000,,0.709000,-133356000.000000,3021507000.000000,3021507000.000000,126437000.000000,-301902000.000000,1.639000,10.889000,1414636000.000000,0.000000,1414636000.000000,1414636000.000000,2711784000.000000,52867000.000000,0.000000,0.000000,0.000000,-287441000.000000,-234574000.000000,-0.453000,-234574000.000000,-287441000.000000,-297446000.000000,-0.500000,-0.500000,-0.500000,423717000.000000,,423717000.000000,16970362534.000000,-23.000000,-29.818000,-66212000.000000,-0.111000,1.000000,391270000.000000,0.756000,184108000.000000,10005000.000000,1009187000.000000,,0.000000,0.000000,0.000000,0.000000,4613731000.000000,2238158000.000000,2375573000.000000,-53968000.000000,0.000000,12830000.000000,0.000000,0.000000,12680000.000000,-134856000.000000,0.000000,67144000.000000,1064000.000000,-297798000.000000,-297798000.000000,-297798000.000000,0.000000,-4104000.000000,-0.575000,691277000.000000,-300007000.000000,45099000.000000,0.000000,43.843000,-23.886000,-23.603000,978780000.000000,0.000000,30.920000,8.388000,8.345000,185831000.000000,-1618381000.000000,517707000.000000,517707000.000000,235551000.000000,,,,,161359000.000000,113270000.000000,1.000000,600816091.000000,597779000.000000,597779000.000000,0.866000,4854216000.000000,0.000000,352000.000000,0.000000,8.120000
ARQ,2022-12-31,2023-02-28,2022-12-31,2022-Q4,1357769000.000000,22172161789.000000,2025-05-02,671000.000000,5375487000.000000,,3838604000.000000,1536883000.000000,,0.508000,-157205000.000000,2977474000.000000,2977474000.000000,142432000.000000,-291485000.000000,1.547000,16.569000,1483574000.000000,0.000000,1483574000.000000,1483574000.000000,3037234000.000000,62523000.000000,0.000000,0.000000,0.000000,-276716000.000000,-214193000.000000,-0.370000,-214193000.000000,-276716000.000000,-286724000.000000,-0.480000,-0.480000,-0.480000,306026000.000000,,306026000.000000,20678261789.000000,-23.000000,-30.332000,-37986000.000000,-0.063000,1.000000,436572000.000000,0.754000,189052000.000000,10008000.000000,1211700000.000000,,0.000000,0.000000,0.000000,0.000000,5070452000.000000,2480835000.000000,2589617000.000000,-44033000.000000,-7223000.000000,3046000.000000,0.000000,0.000000,1810000.000000,-164428000.000000,0.000000,119219000.000000,-634000.000000,-289926000.000000,-289926000.000000,-289926000.000000,0.000000,-1559000.000000,-0.501000,738471000.000000,-301899000.000000,71182000.000000,0.000000,72.452000,-23.986000,-23.639000,1118376000.000000,0.000000,36.640000,9.965000,9.807000,379353000.000000,-1908307000.000000,579004000.000000,579004000.000000,248407000.000000,,,,,169456000.000000,109444000.000000,1.000000,605135420.000000,601880000.000000,601880000.000000,0.962000,5186435000.000000,0.000000,3202000.000000,0.000000,8.617000
ARQ,2023-03-31,2023-05-10,2023-03-31,2023-Q1,384332000.000000,23737165534.000000,2025-05-02,62000.000000,5471460000.000000,,3018072000.000000,2453388000.000000,,0.409000,-91359000.000000,828129000.000000,828129000.000000,151841000.000000,-269948000.000000,1.146000,21.087000,1456495000.000000,0.000000,1456495000.000000,1456495000.000000,3161017000.000000,68656000.000000,0.000000,0.000000,0.000000,-257570000.000000,-188914000.000000,-0.288000,-188914000.000000,-257570000.000000,-267582000.000000,-0.440000,-0.440000,-0.440000,247842000.000000,,247842000.000000,24365531534.000000,-25.000000,-32.093000,82422000.000000,0.136000,1.000000,503503000.000000,0.768000,185074000.000000,10012000.000000,3281012000.000000,,0.000000,2263791000.000000,1412862000.000000,850929000.000000,5226278000.000000,2633740000.000000,2592538000.000000,-2149345000.000000,0.000000,25472000.000000,0.000000,0.000000,24722000.000000,-2347780000.000000,-2255921000.000000,173781000.000000,-68000.000000,-268313000.000000,-268313000.000000,-268313000.000000,0.000000,-1635000.000000,-0.409000,793350000.000000,-289847000.000000,120256000.000000,0.000000,95.775000,-22.991000,-22.599000,1181027000.000000,0.000000,38.870000,10.130000,10.063000,265246000.000000,-2176620000.000000,655344000.000000,655344000.000000,275537000.000000,,,,,184904000.000000,124329000.000000,1.000000,610680873.000000,606637000.000000,606637000.000000,1.080000,5286386000.000000,0.000000,731000.000000,0.000000,8.714000
ARQ,2023-06-30,2023-08-09,2023-06-30,2023-Q2,267597000.000000,18170048148.000000,2025-05-02,-14095000.000000,5599277000.000000,,2894290000.000000,2704987000.000000,,0.275000,-110915000.000000,520264000.000000,520264000.000000,162029000.000000,-284841000.000000,1.102000,32.256000,1645999000.000000,0.000000,1645999000.000000,1645999000.000000,3266389000.000000,76108000.000000,0.000000,0.000000,0.000000,-273884000.000000,-197776000.000000,-0.291000,-197776000.000000,-273884000.000000,-284013000.000000,-0.460000,-0.460000,-0.460000,168497000.000000,,168497000.000000,19295783148.000000,-18.000000,-23.096000,-82525000.000000,-0.135000,1.000000,518737000.000000,0.762000,193511000.000000,10129000.000000,3904808000.000000,,0.000000,2504499000.000000,1599602000.000000,904897000.000000,5435077000.000000,2626693000.000000,2808384000.000000,-307865000.000000,0.000000,5635000.000000,14700000.000000,0.000000,20335000.000000,-357465000.000000,-233550000.000000,28390000.000000,875000.000000,-282777000.000000,-282777000.000000,-282777000.000000,0.000000,-2064000.000000,-0.415000,832726000.000000,-313989000.000000,72829000.000000,0.000000,107.836000,-15.955000,-15.670000,1359662000.000000,0.000000,29.460000,7.469000,7.419000,257355000.000000,-2459397000.000000,680766000.000000,680766000.000000,315319000.000000,,,,,212362000.000000,126525000.000000,1.000000,616770134.000000,612689000.000000,612689000.000000,1.111000,5405766000.000000,0.000000,-1236000.000000,0.000000,8.823000
ARQ,2023-09-30,2023-11-08,2023-09-30,2023-Q3,174321000.000000,24462965062.000000,2025-05-02,-15879000.000000,5754130000.000000,,2969456000.000000,2784674000.000000,,0.203000,-53196000.000000,580049000.000000,580049000.000000,163581000.000000,-278808000.000000,1.062000,44.793000,1634422000.000000,0.000000,1634422000.000000,1634422000.000000,3397346000.000000,79648000.000000,0.000000,0.000000,0.000000,-266208000.000000,-186560000.000000,-0.262000,-186560000.000000,-266208000.000000,-276476000.000000,-0.450000,-0.450000,-0.450000,125786000.000000,,125786000.000000,25517338062.000000,-24.000000,-32.405000,59508000.000000,0.096000,1.000000,549644000.000000,0.771000,198594000.000000,10268000.000000,3814774000.000000,,0.000000,2535553000.000000,1576293000.000000,959260000.000000,5634276000.000000,2795135000.000000,2839141000.000000,59785000.000000,-3859000.000000,16209000.000000,0.000000,0.000000,16209000.000000,-68719000.000000,-11664000.000000,112704000.000000,-409000.000000,-277158000.000000,-277158000.000000,-277158000.000000,0.000000,-1650000.000000,-0.389000,849682000.000000,-300038000.000000,86781000.000000,0.000000,194.481000,-21.878000,-21.432000,1371761000.000000,0.000000,39.220000,9.307000,9.242000,285315000.000000,-2736555000.000000,713225000.000000,713225000.000000,321613000.000000,,,,,220022000.000000,138382000.000000,1.000000,623736998.000000,619350000.000000,619350000.000000,1.152000,5555536000.000000,0.000000,682000.000000,0.000000,8.970000
ARQ,2023-12-31,2024-02-21,2023-12-31,2023-Q4,223047000.000000,25732941286.000000,2025-05-02,1536000.000000,6168078000.000000,,3275413000.000000,2892665000.000000,,0.122000,-65197000.000000,678466000.000000,678466000.000000,171664000.000000,-325340000.000000,1.073000,79.951000,1651506000.000000,0.000000,1651506000.000000,1651506000.000000,3779542000.000000,80793000.000000,0.000000,0.000000,0.000000,-313123000.000000,-232330000.000000,-0.310000,-232330000.000000,-313123000.000000,-323421000.000000,-0.520000,-0.520000,-0.520000,76290000.000000,,76290000.000000,26705981286.000000,-24.000000,-33.151000,78108000.000000,0.125000,1.000000,578275000.000000,0.771000,195189000.000000,10298000.000000,3893563000.000000,,0.000000,2558207000.000000,1514808000.000000,1043399000.000000,6099452000.000000,3052366000.000000,3047086000.000000,98417000.000000,0.000000,5910000.000000,0.000000,0.000000,5910000.000000,-51135000.000000,14062000.000000,143305000.000000,337000.000000,-323698000.000000,-323698000.000000,-323698000.000000,0.000000,-1642000.000000,-0.432000,933468000.000000,-355193000.000000,60087000.000000,0.000000,337.304000,-22.339000,-21.786000,1360467000.000000,0.000000,40.740000,9.193000,8.972000,505769000.000000,-3060253000.000000,749939000.000000,749939000.000000,341129000.000000,,,,,250679000.000000,147279000.000000,1.000000,631638225.000000,626966000.000000,626966000.000000,1.196000,5972889000.000000,0.000000,277000.000000,0.000000,9.527000
