dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2017-03-31,2017-07-26,2017-03-31,2017-Q1,32686000.000000,,2025-05-06,0.000000,116907000.000000,,72796000.000000,44111000.000000,,-41.528000,-4781000.000000,44873000.000000,44873000.000000,53492000.000000,-28066000.000000,1.815000,-0.082000,233000.000000,233000.000000,0.000000,233000.000000,0.000000,1905000.000000,0.000000,,0.000000,-28066000.000000,-26161000.000000,-0.437000,-26161000.000000,-28066000.000000,-28066000.000000,-3.580000,-3.580000,-3.580000,-613264000.000000,,-613264000.000000,,,,-26792000.000000,-1.814000,1.000000,6376000.000000,0.107000,12846000.000000,0.000000,19311000.000000,,0.000000,1990000.000000,1990000.000000,0.000000,49984000.000000,40110000.000000,9874000.000000,-27821000.000000,0.000000,-1028000.000000,0.000000,0.000000,-1028000.000000,-4782000.000000,-1000.000000,-22011000.000000,0.000000,-28066000.000000,-52836000.000000,-52836000.000000,0.000000,0.000000,-0.883000,34498000.000000,-28122000.000000,11002000.000000,0.000000,,,,22365000.000000,24770000.000000,,,,12275000.000000,-613279000.000000,59868000.000000,59868000.000000,9672000.000000,,,,,2681000.000000,24826000.000000,1.000000,79536768.000000,14767478.000000,14767478.000000,4.054000,104061000.000000,0.000000,0.000000,0.000000,7.047000
ARQ,2017-06-30,2017-09-08,2017-06-30,2017-Q2,40903000.000000,1959960890.000000,2025-05-06,0.000000,131418000.000000,,87460000.000000,43958000.000000,,-48.059000,-4654000.000000,66058000.000000,66058000.000000,67975000.000000,4304000.000000,1.879000,-0.080000,529000.000000,529000.000000,0.000000,529000.000000,0.000000,1634000.000000,0.000000,0.000000,0.000000,4304000.000000,5938000.000000,0.057000,5938000.000000,4304000.000000,4304000.000000,-7.150000,-7.150000,-7.150000,-716718000.000000,,-716718000.000000,1894431890.000000,,,16986000.000000,1.139000,1.000000,36960000.000000,0.352000,12724000.000000,0.000000,6608000.000000,,0.000000,2049000.000000,2049000.000000,0.000000,57030000.000000,46557000.000000,10473000.000000,18001000.000000,0.000000,238000.000000,529000.000000,0.000000,767000.000000,-4406000.000000,248000.000000,21640000.000000,0.000000,4304000.000000,-106617000.000000,-106617000.000000,0.000000,0.000000,-1.016000,32688000.000000,4272000.000000,14688000.000000,0.000000,-2.735000,,,22137000.000000,110921000.000000,24.100000,,,14509000.000000,-716733000.000000,104935000.000000,104935000.000000,10090000.000000,,,,,2639000.000000,22598000.000000,1.000000,81326178.000000,14913234.000000,14913234.000000,7.036000,118694000.000000,0.000000,0.000000,0.000000,7.959000
ARQ,2017-09-30,2017-11-09,2017-09-30,2017-Q3,202740000.000000,1889122570.000000,2025-05-06,0.000000,289085000.000000,,247952000.000000,41133000.000000,,3.967000,-1064000.000000,222537000.000000,222537000.000000,70166000.000000,10558000.000000,5.484000,0.238000,705000.000000,705000.000000,0.000000,705000.000000,0.000000,1787000.000000,0.000000,0.000000,0.000000,10558000.000000,12345000.000000,0.113000,12345000.000000,10558000.000000,10558000.000000,-0.500000,-0.500000,-0.500000,233508000.000000,,233508000.000000,1667290570.000000,,,9858000.000000,0.167000,1.000000,39313000.000000,0.359000,12602000.000000,0.000000,9439000.000000,,0.000000,1984000.000000,1984000.000000,0.000000,55577000.000000,45212000.000000,10365000.000000,158226000.000000,0.000000,147948000.000000,176000.000000,0.000000,148124000.000000,-820000.000000,244000.000000,10922000.000000,0.000000,10558000.000000,-29666000.000000,-29666000.000000,0.000000,0.000000,-0.271000,29066000.000000,10247000.000000,13201000.000000,0.000000,8.090000,,,21600000.000000,40224000.000000,23.200000,,,13336000.000000,-127204000.000000,109479000.000000,109479000.000000,11483000.000000,,,,,2708000.000000,17583000.000000,1.000000,81427697.000000,58868903.000000,58868903.000000,1.860000,276483000.000000,0.000000,0.000000,0.000000,4.697000
ARQ,2017-12-31,2018-02-22,2017-12-31,2017-Q4,204349000.000000,1763954264.000000,2025-05-06,0.000000,281955000.000000,,240206000.000000,41749000.000000,,5.511000,-1614000.000000,212658000.000000,212658000.000000,66583000.000000,-1799000.000000,6.699000,0.198000,2016000.000000,2016000.000000,0.000000,2016000.000000,0.000000,1850000.000000,0.000000,0.000000,0.000000,-1799000.000000,51000.000000,0.001000,51000.000000,-1799000.000000,-1799000.000000,1.900000,1.900000,1.900000,235430000.000000,,235430000.000000,1553312264.000000,-104.000000,-198.481000,-6810000.000000,-0.159000,1.000000,29171000.000000,0.305000,12480000.000000,0.000000,22976000.000000,,0.000000,1891000.000000,1891000.000000,0.000000,46525000.000000,35857000.000000,10668000.000000,-3593000.000000,0.000000,375000.000000,1311000.000000,0.000000,1959000.000000,-356000.000000,1258000.000000,-5196000.000000,0.000000,-1799000.000000,-1799000.000000,-1799000.000000,0.000000,0.000000,-0.019000,31540000.000000,-2369000.000000,5969000.000000,0.000000,7.492000,-9.239000,-4.826000,22318000.000000,0.000000,21.570000,4.767000,2.490000,13334000.000000,-129003000.000000,95754000.000000,95754000.000000,11287000.000000,,,,,3073000.000000,20253000.000000,1.000000,81778130.000000,42722114.000000,42722114.000000,2.241000,269475000.000000,0.000000,0.000000,0.000000,6.308000
ARQ,2018-03-31,2018-05-10,2018-03-31,2018-Q1,177300000.000000,1905830788.000000,2025-05-06,0.000000,269950000.000000,,227660000.000000,42290000.000000,,2.552000,-2305000.000000,201897000.000000,201897000.000000,74197000.000000,-36439000.000000,4.521000,0.290000,1357000.000000,1357000.000000,0.000000,1357000.000000,0.000000,2003000.000000,0.000000,0.000000,0.000000,-36439000.000000,-34436000.000000,-0.431000,-34436000.000000,-36439000.000000,-36439000.000000,-0.440000,-0.440000,-0.440000,209255000.000000,,209255000.000000,1705290788.000000,-73.000000,-105.906000,-22797000.000000,-0.278000,1.000000,5696000.000000,0.071000,12358000.000000,0.000000,6692000.000000,,0.000000,1482000.000000,1482000.000000,0.000000,60695000.000000,50360000.000000,10335000.000000,-10761000.000000,0.000000,5946000.000000,-659000.000000,0.000000,12036000.000000,-2305000.000000,0.000000,-20492000.000000,0.000000,-36439000.000000,-36439000.000000,-36439000.000000,0.000000,0.000000,-0.456000,42870000.000000,-37174000.000000,13805000.000000,0.000000,9.108000,-10.920000,-3.712000,22879000.000000,0.000000,22.980000,4.886000,4.832000,12093000.000000,-165442000.000000,79893000.000000,79893000.000000,12762000.000000,,,,,4196000.000000,30108000.000000,1.000000,82934325.000000,82010913.000000,82010913.000000,0.974000,257592000.000000,0.000000,0.000000,0.000000,3.141000
ARQ,2018-06-30,2018-08-09,2018-06-30,2018-Q2,193256000.000000,2052621181.000000,2025-05-06,0.000000,296983000.000000,,253815000.000000,43168000.000000,,2.713000,-1740000.000000,211645000.000000,211645000.000000,97429000.000000,3207000.000000,4.191000,0.316000,3492000.000000,3492000.000000,0.000000,3492000.000000,0.000000,1899000.000000,0.000000,0.000000,0.000000,3207000.000000,5106000.000000,0.036000,5106000.000000,3207000.000000,3207000.000000,0.040000,0.040000,0.040000,225613000.000000,,225613000.000000,1844468181.000000,-75.000000,-108.921000,-7489000.000000,-0.090000,1.000000,45213000.000000,0.317000,12236000.000000,0.000000,16035000.000000,,14519000.000000,3584000.000000,3584000.000000,0.000000,71370000.000000,60559000.000000,10811000.000000,9748000.000000,0.000000,8448000.000000,2134000.000000,0.000000,17237000.000000,-1740000.000000,0.000000,-5749000.000000,0.000000,3207000.000000,3207000.000000,3207000.000000,0.000000,0.000000,0.022000,42756000.000000,2457000.000000,21555000.000000,0.000000,9.098000,-31.727000,23.140000,23855000.000000,0.000000,23.140000,4.798000,4.499000,18902000.000000,-162235000.000000,142642000.000000,142642000.000000,13033000.000000,,,,,4778000.000000,29723000.000000,1.000000,88704459.000000,83164670.000000,90743178.000000,1.715000,284747000.000000,0.000000,0.000000,0.000000,3.424000
ARQ,2018-09-30,2018-11-08,2018-09-30,2018-Q3,452413000.000000,1329462169.000000,2025-05-06,0.000000,554917000.000000,,512194000.000000,42723000.000000,,4.248000,-1483000.000000,460936000.000000,460936000.000000,97950000.000000,3475000.000000,8.568000,0.489000,117920000.000000,5790000.000000,112130000.000000,117920000.000000,0.000000,2221000.000000,0.000000,0.000000,0.000000,5085000.000000,7306000.000000,0.052000,7306000.000000,5085000.000000,3475000.000000,0.040000,0.040000,0.040000,372748000.000000,,372748000.000000,986446169.000000,-33.000000,-44.894000,3950000.000000,0.045000,1.000000,42305000.000000,0.302000,12114000.000000,1610000.000000,140006000.000000,,25161000.000000,5921000.000000,5921000.000000,0.000000,182169000.000000,59781000.000000,122388000.000000,249291000.000000,0.000000,110513000.000000,141253000.000000,0.000000,245341000.000000,-1483000.000000,0.000000,5433000.000000,0.000000,3475000.000000,3475000.000000,3475000.000000,0.000000,0.000000,0.025000,39016000.000000,3289000.000000,14768000.000000,0.000000,3.567000,-42.130000,9.643000,23361000.000000,0.000000,14.850000,2.899000,2.842000,13254000.000000,-158759000.000000,140255000.000000,140255000.000000,14310000.000000,,,,,5498000.000000,24706000.000000,1.000000,89526072.000000,87743223.000000,94642463.000000,1.598000,542803000.000000,0.000000,0.000000,0.000000,6.186000
ARQ,2018-12-31,2019-02-14,2018-12-31,2018-Q4,450029000.000000,1658649476.000000,2025-05-06,0.000000,542821000.000000,,496247000.000000,46574000.000000,,4.147000,-2775000.000000,439054000.000000,439054000.000000,97920000.000000,-12222000.000000,10.737000,0.459000,118319000.000000,4733000.000000,113586000.000000,118319000.000000,0.000000,2342000.000000,0.000000,0.000000,0.000000,-10151000.000000,-7809000.000000,-0.063000,-7809000.000000,-10151000.000000,-12222000.000000,-0.140000,-0.140000,-0.140000,371938000.000000,,371938000.000000,1337914476.000000,-35.000000,-44.848000,-18669000.000000,-0.208000,1.000000,26209000.000000,0.211000,11992000.000000,2071000.000000,163876000.000000,,22694000.000000,4913000.000000,4913000.000000,0.000000,170883000.000000,46218000.000000,124665000.000000,-21881000.000000,0.000000,6093000.000000,-1058000.000000,0.000000,-1212000.000000,-4775000.000000,-2000000.000000,-15894000.000000,0.000000,-12222000.000000,-12222000.000000,-12222000.000000,0.000000,0.000000,-0.098000,38715000.000000,-12506000.000000,9060000.000000,0.000000,4.459000,-39.512000,-37.408000,25187000.000000,0.000000,18.330000,3.406000,3.225000,15363000.000000,-170981000.000000,124129000.000000,124129000.000000,13692000.000000,,,,,5966000.000000,25023000.000000,1.000000,90488242.000000,89694358.000000,89694358.000000,1.384000,530829000.000000,0.000000,0.000000,0.000000,5.918000
ARQ,2019-03-31,2019-05-08,2019-03-31,2019-Q1,386382000.000000,1823416734.000000,2025-05-06,0.000000,574610000.000000,,489982000.000000,84628000.000000,,3.469000,-3151000.000000,406089000.000000,406089000.000000,107388000.000000,-67180000.000000,4.730000,0.828000,178222000.000000,21561000.000000,156661000.000000,178222000.000000,0.000000,2853000.000000,0.000000,0.000000,0.000000,-65044000.000000,-62191000.000000,-0.565000,-62191000.000000,-65044000.000000,-67180000.000000,-0.740000,-0.740000,-0.740000,314349000.000000,,314349000.000000,1595549734.000000,-24.000000,-27.706000,-50308000.000000,-0.555000,1.000000,2753000.000000,0.025000,11870000.000000,2136000.000000,231273000.000000,,38306000.000000,15748000.000000,15748000.000000,0.000000,260261000.000000,103600000.000000,156661000.000000,-32966000.000000,0.000000,3732000.000000,10460000.000000,0.000000,17342000.000000,-3151000.000000,0.000000,-47157000.000000,0.000000,-67180000.000000,-67180000.000000,-67180000.000000,0.000000,0.000000,-0.610000,70205000.000000,-67452000.000000,27907000.000000,0.000000,5.801000,-25.074000,-25.050000,63355000.000000,0.000000,20.040000,3.526000,3.511000,16253000.000000,-238160000.000000,110141000.000000,110141000.000000,15556000.000000,,,,,6406000.000000,54649000.000000,1.000000,90988859.000000,90610416.000000,90610416.000000,1.216000,562740000.000000,0.000000,0.000000,0.000000,6.211000
ARQ,2019-06-30,2019-08-01,2019-06-30,2019-Q2,343662000.000000,1627305798.000000,2025-05-06,44000.000000,599568000.000000,,461734000.000000,137834000.000000,,3.423000,-6353000.000000,259237000.000000,259237000.000000,149434000.000000,-12625000.000000,3.911000,0.920000,207397000.000000,38146000.000000,169251000.000000,207397000.000000,0.000000,3899000.000000,0.000000,0.000000,0.000000,-10472000.000000,-6573000.000000,-0.033000,-6573000.000000,-10472000.000000,-12625000.000000,-0.140000,-0.140000,-0.140000,312245000.000000,,312245000.000000,1575465798.000000,-20.000000,-22.745000,-102805000.000000,-1.127000,1.000000,48346000.000000,0.244000,11748000.000000,2153000.000000,417908000.000000,,85654000.000000,100488000.000000,65534000.000000,34954000.000000,287323000.000000,118072000.000000,169251000.000000,-146852000.000000,0.000000,5233000.000000,14234000.000000,0.000000,26127000.000000,-76565000.000000,-70212000.000000,-96452000.000000,38000.000000,-12625000.000000,-12625000.000000,-12625000.000000,0.000000,0.000000,-0.064000,60767000.000000,-12421000.000000,22467000.000000,0.000000,5.212000,-18.377000,-18.082000,80505000.000000,0.000000,17.720000,2.843000,2.824000,38686000.000000,-250785000.000000,197780000.000000,197780000.000000,16063000.000000,,,,,5876000.000000,44704000.000000,1.000000,91834413.000000,91216886.000000,91216886.000000,2.168000,587820000.000000,0.000000,0.000000,0.000000,6.444000
