dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,1996-12-31,1997-03-26,1996-12-31,1996-Q4,72960217.000000,224861376.000000,2025-04-29,272199.000000,137581854.000000,,85008679.000000,52573175.000000,,4.371000,,34475060.000000,34475060.000000,,,7.056000,0.287000,8731002.000000,3582905.000000,5148097.000000,8731002.000000,17379282.000000,,0.000000,0.000000,0.000000,,,,,,,,,,106930999.000000,,106930999.000000,199117318.000000,-6.000000,-7.839000,,,1.000000,,,0.000000,,99789334.000000,,0.000000,63758005.000000,45587404.000000,18170601.000000,30650855.000000,12048462.000000,18602393.000000,,,,,,,,,,,,,,,,,,,4357145.000000,,2.103000,-6.935000,-6.579000,34297843.000000,,8.750000,9.325000,8.877000,4334780.000000,-157029112.000000,,,,,,,,,,1.000000,25698443.000000,24463516.000000,,,137581854.000000,0.000000,,0.000000,5.624000
ARQ,1997-03-31,1997-05-09,1997-03-31,1997-Q1,62198605.000000,225266940.000000,2025-04-29,115226.000000,129068259.000000,,71895992.000000,57172267.000000,,3.917000,-1184566.000000,27914539.000000,27914539.000000,492862.000000,-5928849.000000,7.414000,0.277000,7825086.000000,3368509.000000,4456577.000000,7825086.000000,16099628.000000,1201497.000000,0.000000,0.000000,0.000000,-5721122.000000,-4519625.000000,-0.727000,-4519625.000000,-5721122.000000,-5928849.000000,-0.230000,,-0.230000,101042656.000000,,101042656.000000,205177488.000000,,,-4543615.000000,-0.176000,1.000000,5720773.000000,0.921000,0.000000,207727.000000,99281419.000000,,0.000000,63364202.000000,40141043.000000,23223159.000000,28025603.000000,9697387.000000,18328216.000000,-6560521.000000,0.000000,107479.000000,-1155916.000000,0.000000,-1048437.000000,-2153035.000000,-968469.000000,-3359049.000000,0.000000,-5928849.000000,-5928849.000000,-5928849.000000,0.000000,0.000000,-0.954000,9741895.000000,-4021122.000000,3416852.000000,0.000000,2.229000,,,33846173.000000,0.000000,8.500000,,,3312323.000000,-162957961.000000,6213635.000000,6213635.000000,7076471.000000,,,,,0.000000,1463927.000000,1.000000,26501993.000000,25798971.000000,25798971.000000,0.241000,129068259.000000,0.000000,0.000000,0.000000,5.003000
ARQ,1997-06-30,1997-08-13,1997-06-30,1997-Q2,99784881.000000,287628587.000000,2025-04-29,136658.000000,169953873.000000,,110632945.000000,59320928.000000,,5.146000,99139.000000,51445161.000000,51445161.000000,475673.000000,-4269667.000000,10.198000,0.214000,7300144.000000,3129943.000000,4170201.000000,7300144.000000,16454741.000000,1165005.000000,0.000000,0.000000,0.000000,-4072343.000000,-2907338.000000,-0.439000,-2907338.000000,-4072343.000000,-4269667.000000,-0.160000,,-0.160000,139944101.000000,,139944101.000000,243483570.000000,,,-4006329.000000,-0.147000,1.000000,6140599.000000,0.928000,0.000000,197324.000000,114960792.000000,,0.000000,78054738.000000,52808383.000000,25246355.000000,30009772.000000,10848064.000000,19161708.000000,23530622.000000,0.000000,43099690.000000,-893635.000000,0.000000,42206055.000000,-14569965.000000,-14669104.000000,-4105468.000000,0.000000,-4269667.000000,-4269667.000000,-4269667.000000,0.000000,0.000000,-0.645000,9733597.000000,-3592998.000000,5076750.000000,0.000000,2.055000,,,33973564.000000,0.000000,9.313000,,,5984638.000000,-167227638.000000,6616272.000000,6616272.000000,6880316.000000,,,,,0.000000,1688276.000000,1.000000,30884633.000000,27192724.000000,27192724.000000,0.243000,169953873.000000,0.000000,0.000000,0.000000,6.250000
ARQ,1997-09-30,1997-11-14,1997-09-30,1997-Q3,94316999.000000,322755872.000000,2025-04-29,79178.000000,164738473.000000,,102077565.000000,62660908.000000,,4.475000,-394633.000000,40288090.000000,40288090.000000,750560.000000,-1907118.000000,13.153000,0.192000,6724879.000000,2697646.000000,4027233.000000,6724879.000000,15415150.000000,969608.000000,0.000000,0.000000,0.000000,-1732538.000000,-762930.000000,-0.086000,-762930.000000,-1732538.000000,-1907118.000000,-0.060000,,-0.060000,138239402.000000,,138239402.000000,289192661.000000,,,-2155401.000000,-0.070000,1.000000,8122840.000000,0.915000,0.000000,174580.000000,123414696.000000,,0.000000,86768117.000000,57086993.000000,29681124.000000,26499071.000000,7760566.000000,18738505.000000,-11157071.000000,0.000000,129899.000000,-768880.000000,0.000000,-638981.000000,-8757322.000000,-8362689.000000,-1760768.000000,0.000000,-1907118.000000,-1907118.000000,-1907118.000000,0.000000,0.000000,-0.215000,9200594.000000,-1077754.000000,4131356.000000,0.000000,2.335000,,,32882412.000000,0.000000,10.438000,,,4050617.000000,-169134756.000000,8873400.000000,8873400.000000,6802711.000000,,,,,0.000000,1428275.000000,1.000000,30921237.000000,30894514.000000,30894514.000000,0.287000,164738473.000000,0.000000,0.000000,0.000000,5.332000
ARQ,1997-12-31,1998-03-26,1997-12-31,1997-Q4,88952526.000000,233905469.000000,2025-04-29,85241.000000,168380034.000000,,99640152.000000,68739882.000000,,4.491000,-665509.000000,28921366.000000,28921366.000000,897975.000000,526779.000000,9.323000,0.212000,5595205.000000,1843101.000000,3752104.000000,5595205.000000,18982872.000000,1053003.000000,0.000000,0.000000,0.000000,681482.000000,1734485.000000,0.152000,1734485.000000,681482.000000,526779.000000,0.030000,,0.030000,138896874.000000,,138896874.000000,210579308.000000,-19.000000,-32.621000,2481483.000000,0.080000,1.000000,10498415.000000,0.921000,0.000000,154703.000000,134366247.000000,,0.000000,99483573.000000,63601504.000000,35882069.000000,29483160.000000,10687626.000000,18795534.000000,-11366724.000000,0.000000,34630.000000,-1129674.000000,0.000000,-1095044.000000,-13418672.000000,-12753163.000000,3146992.000000,0.000000,526779.000000,526779.000000,526779.000000,0.000000,0.000000,0.046000,9248162.000000,1250253.000000,4662961.000000,0.000000,1.684000,-20.201000,-18.907000,32712670.000000,0.000000,7.563000,7.067000,7.067000,6580857.000000,-168607977.000000,11396390.000000,11396390.000000,7010668.000000,,,,,0.000000,1184491.000000,1.000000,30927604.000000,30927604.000000,,0.368000,168380034.000000,0.000000,0.000000,0.000000,5.444000
ARQ,1998-03-31,1998-05-14,1998-03-31,1998-Q1,83435000.000000,286808960.000000,2025-04-29,46000.000000,161432000.000000,,90906000.000000,70526000.000000,,4.368000,-874000.000000,19258000.000000,19258000.000000,868000.000000,-3829000.000000,12.168000,0.192000,4828000.000000,1357000.000000,3471000.000000,4828000.000000,17233000.000000,869000.000000,0.000000,0.000000,0.000000,-3708000.000000,-2839000.000000,-0.344000,-2839000.000000,-3708000.000000,-3829000.000000,-0.120000,-0.120000,-0.120000,135436000.000000,,135436000.000000,272378960.000000,-31.000000,-57.045000,-5080000.000000,-0.164000,1.000000,7382000.000000,0.895000,0.000000,121000.000000,139531000.000000,,0.000000,103921000.000000,65813000.000000,38108000.000000,25996000.000000,7471000.000000,18525000.000000,-9663000.000000,0.000000,317000.000000,-767000.000000,0.000000,-450000.000000,-5007000.000000,-4133000.000000,-4206000.000000,0.000000,-3829000.000000,-3829000.000000,-3829000.000000,0.000000,0.000000,-0.464000,10403000.000000,-3021000.000000,3683000.000000,0.000000,2.118000,-30.257000,-29.839000,32200000.000000,0.000000,9.250000,8.163000,8.163000,4631000.000000,-172437000.000000,8250000.000000,8250000.000000,8150000.000000,,,,,0.000000,1384000.000000,1.000000,31006374.000000,31006374.000000,,0.266000,161432000.000000,0.000000,0.000000,0.000000,5.206000
ARQ,1998-06-30,1998-08-14,1998-06-30,1998-Q2,79885000.000000,220977557.000000,2025-04-29,62000.000000,165119000.000000,,88398000.000000,76721000.000000,,4.442000,-216000.000000,22538000.000000,22538000.000000,1235000.000000,2140000.000000,10.384000,0.198000,4830000.000000,1229000.000000,3601000.000000,4830000.000000,17176000.000000,780000.000000,0.000000,0.000000,0.000000,2247000.000000,3027000.000000,0.199000,3027000.000000,2247000.000000,2140000.000000,0.070000,0.070000,0.070000,137772000.000000,,137772000.000000,203269557.000000,-81.000000,175.300000,-4707000.000000,-0.152000,1.000000,13960000.000000,0.919000,0.000000,107000.000000,138898000.000000,,0.000000,96798000.000000,52453000.000000,44345000.000000,27347000.000000,8513000.000000,18834000.000000,3280000.000000,0.000000,90000.000000,-449000.000000,0.000000,-359000.000000,8130000.000000,8346000.000000,-4491000.000000,0.000000,2140000.000000,2140000.000000,2140000.000000,0.000000,0.000000,0.141000,11527000.000000,2433000.000000,5079000.000000,0.000000,1.604000,-71.995000,-89.062000,32160000.000000,0.000000,7.125000,5.055000,5.055000,12481000.000000,-170297000.000000,15195000.000000,15195000.000000,9054000.000000,,,,,0.000000,1693000.000000,1.000000,31014394.000000,31014394.000000,,0.490000,165119000.000000,0.000000,0.000000,0.000000,5.324000
ARQ,1998-09-30,1998-11-05,1998-09-30,1998-Q3,79589000.000000,244243156.000000,2025-04-29,417000.000000,162439000.000000,,89217000.000000,73222000.000000,,4.412000,-1290000.000000,22594000.000000,22594000.000000,1286000.000000,-1395000.000000,9.266000,0.187000,4494000.000000,1804000.000000,2690000.000000,4494000.000000,16425000.000000,681000.000000,0.000000,0.000000,0.000000,-1293000.000000,-612000.000000,-0.049000,-612000.000000,-1293000.000000,-1395000.000000,-0.040000,-0.040000,-0.040000,136853000.000000,,136853000.000000,226143156.000000,-109.000000,172.564000,2906000.000000,0.094000,1.000000,11280000.000000,0.898000,0.000000,102000.000000,134711000.000000,,0.000000,100415000.000000,59993000.000000,40422000.000000,25586000.000000,9628000.000000,15958000.000000,56000.000000,0.000000,31000.000000,-336000.000000,0.000000,-305000.000000,-3835000.000000,-2545000.000000,4196000.000000,0.000000,-1395000.000000,-1395000.000000,-1395000.000000,0.000000,0.000000,-0.111000,11895000.000000,-615000.000000,4395000.000000,0.000000,1.785000,-95.511000,-131.250000,32646000.000000,0.000000,7.875000,5.152000,5.152000,5401000.000000,-171692000.000000,12566000.000000,12566000.000000,9891000.000000,,,,,0.000000,1323000.000000,1.000000,31015004.000000,31015004.000000,,0.405000,162439000.000000,0.000000,0.000000,0.000000,5.237000
ARQ,1998-12-31,1999-03-29,1998-12-31,1998-Q4,83499000.000000,205425490.000000,2025-04-29,228000.000000,156915000.000000,,92901000.000000,64014000.000000,,4.192000,-669000.000000,19757000.000000,19757000.000000,1613000.000000,-5541000.000000,9.881000,0.196000,4182000.000000,1116000.000000,3066000.000000,4182000.000000,15673000.000000,689000.000000,0.000000,0.000000,0.000000,-5443000.000000,-4754000.000000,-0.518000,-4754000.000000,-5443000.000000,-5541000.000000,-0.180000,-0.180000,-0.180000,131227000.000000,,131227000.000000,189850490.000000,-23.000000,-36.665000,-6370000.000000,-0.204000,1.000000,7569000.000000,0.824000,0.000000,98000.000000,131938000.000000,,0.000000,96864000.000000,66022000.000000,30842000.000000,25688000.000000,9402000.000000,16286000.000000,-2837000.000000,0.000000,14000.000000,-303000.000000,0.000000,-289000.000000,3153000.000000,3822000.000000,-5701000.000000,0.000000,-5541000.000000,-5541000.000000,-5541000.000000,0.000000,0.000000,-0.603000,12079000.000000,-4510000.000000,5551000.000000,0.000000,1.565000,-23.817000,-23.439000,33019000.000000,0.000000,6.563000,4.546000,4.546000,5710000.000000,-177233000.000000,9182000.000000,9182000.000000,9952000.000000,,,,,0.000000,1438000.000000,1.000000,31300547.000000,31300547.000000,,0.293000,156915000.000000,0.000000,0.000000,0.000000,5.013000
ARQ,1999-03-31,1999-05-14,1999-03-31,1999-Q1,66330000.000000,205431410.000000,2025-04-29,77000.000000,149329000.000000,,76189000.000000,73140000.000000,,3.943000,-993000.000000,21777000.000000,21777000.000000,1254000.000000,-8930000.000000,7.728000,0.210000,3902000.000000,1093000.000000,2809000.000000,3902000.000000,15672000.000000,725000.000000,0.000000,0.000000,0.000000,-8841000.000000,-8116000.000000,-1.173000,-8116000.000000,-8841000.000000,-8930000.000000,-0.290000,-0.290000,-0.290000,123436000.000000,,123436000.000000,187556410.000000,-14.000000,-17.939000,-9420000.000000,-0.301000,1.000000,5664000.000000,0.819000,0.000000,89000.000000,121595000.000000,,0.000000,84919000.000000,46177000.000000,38742000.000000,25893000.000000,9859000.000000,16034000.000000,2020000.000000,0.000000,892000.000000,-280000.000000,0.000000,612000.000000,9835000.000000,10828000.000000,-8427000.000000,0.000000,-8930000.000000,-8930000.000000,-8930000.000000,0.000000,0.000000,-1.291000,13539000.000000,-7875000.000000,6032000.000000,0.000000,1.664000,-14.967000,-14.916000,34239000.000000,0.000000,6.563000,4.684000,4.684000,6895000.000000,-186163000.000000,6918000.000000,6918000.000000,11221000.000000,,,,,0.000000,1593000.000000,1.000000,31301449.000000,31301449.000000,,0.221000,149329000.000000,0.000000,0.000000,0.000000,4.771000
