dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2018-03-31,2018-07-10,2018-03-31,2018-Q4,59539000.000000,,2025-02-12,-238000.000000,65151000.000000,,64703000.000000,448000.000000,,-5.638000,,17661000.000000,17661000.000000,,,12.530000,-0.244000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,,0.000000,,,,,,,,,,-28068000.000000,,-28068000.000000,,,,,,1.000000,,,0.000000,,42326000.000000,,0.000000,43968000.000000,43968000.000000,0.000000,6858000.000000,5164000.000000,1694000.000000,,,,,,,,,,,,,,,,,,,1993000.000000,,,,,370000.000000,,,,,2389000.000000,-28932000.000000,,,,,,,,,,1.000000,30838587.000000,4978539.000000,,,65151000.000000,0.000000,,0.000000,13.086000
ARQ,2018-06-30,2018-08-30,2018-06-30,2019-Q1,50728000.000000,588475983.000000,2025-02-12,-1050000.000000,59293000.000000,,55224000.000000,4069000.000000,,-7.769000,-116000.000000,14766000.000000,14766000.000000,0.000000,-10044000.000000,12.283000,-0.301000,0.000000,0.000000,0.000000,0.000000,0.000000,33000.000000,0.000000,0.000000,0.000000,-10044000.000000,-10011000.000000,,-10011000.000000,-10044000.000000,-10044000.000000,-2.020000,-2.020000,-2.020000,-38699000.000000,,-38699000.000000,573709983.000000,,,-6975000.000000,-1.400000,1.000000,0.000000,,0.000000,0.000000,40031000.000000,,0.000000,39119000.000000,39119000.000000,0.000000,11631000.000000,4496000.000000,7135000.000000,-2895000.000000,0.000000,0.000000,0.000000,0.000000,-195000.000000,4890000.000000,5006000.000000,-6859000.000000,-731000.000000,-10044000.000000,-10044000.000000,-10044000.000000,0.000000,0.000000,,5879000.000000,-5879000.000000,2854000.000000,0.000000,-15.206000,,,443000.000000,0.000000,18.650000,,,2677000.000000,-38976000.000000,0.000000,0.000000,3936000.000000,,,,,225000.000000,1943000.000000,1.000000,31553672.000000,4981227.000000,4981227.000000,0.000000,59293000.000000,0.000000,0.000000,0.000000,11.903000
ARQ,2018-09-30,2018-11-14,2018-09-30,2019-Q2,148123000.000000,444275702.000000,2025-02-12,-1223000.000000,153816000.000000,,151867000.000000,1949000.000000,,6.105000,-3000.000000,24468000.000000,24468000.000000,0.000000,-6461000.000000,40.563000,0.025000,0.000000,0.000000,0.000000,0.000000,0.000000,36000.000000,0.000000,0.000000,0.000000,-6461000.000000,-6425000.000000,,-6425000.000000,-6461000.000000,-6461000.000000,-0.260000,-0.260000,-0.260000,150036000.000000,,150036000.000000,419807702.000000,,,-6386000.000000,-0.260000,1.000000,0.000000,,0.000000,0.000000,125604000.000000,,0.000000,124612000.000000,124612000.000000,0.000000,3780000.000000,3744000.000000,36000.000000,9702000.000000,0.000000,103353000.000000,0.000000,0.000000,101391000.000000,-85109000.000000,-85106000.000000,-6383000.000000,-197000.000000,-6461000.000000,-6461000.000000,-6461000.000000,0.000000,0.000000,,7104000.000000,-7104000.000000,2072000.000000,0.000000,2.961000,,,420000.000000,0.000000,14.080000,,,2564000.000000,-45437000.000000,0.000000,0.000000,4962000.000000,,,,,718000.000000,2142000.000000,1.000000,31553672.000000,24574239.000000,24574239.000000,0.000000,153816000.000000,0.000000,0.000000,0.000000,6.259000
ARQ,2018-12-31,2019-02-14,2018-12-31,2019-Q3,141138000.000000,425016524.000000,2025-02-12,-1380000.000000,152187000.000000,,144946000.000000,7241000.000000,,4.536000,-633000.000000,22238000.000000,22238000.000000,0.000000,-7673000.000000,38.064000,0.062000,0.000000,0.000000,0.000000,0.000000,0.000000,37000.000000,0.000000,0.000000,0.000000,-7673000.000000,-7636000.000000,,-7636000.000000,-7673000.000000,-7673000.000000,-0.240000,-0.240000,-0.240000,143239000.000000,,143239000.000000,402778524.000000,,,-6736000.000000,-0.213000,1.000000,0.000000,,0.000000,0.000000,126141000.000000,,0.000000,120751000.000000,120751000.000000,0.000000,8948000.000000,3808000.000000,5140000.000000,-2230000.000000,0.000000,153000.000000,0.000000,0.000000,153000.000000,3801000.000000,4434000.000000,-6103000.000000,-81000.000000,-7673000.000000,-7673000.000000,-7673000.000000,0.000000,0.000000,,10137000.000000,-10137000.000000,1501000.000000,0.000000,2.967000,,,6055000.000000,0.000000,13.430000,,,1843000.000000,-53110000.000000,0.000000,0.000000,7857000.000000,,,,,880000.000000,2280000.000000,1.000000,31646800.000000,31577313.000000,31577313.000000,0.000000,152187000.000000,0.000000,0.000000,0.000000,4.820000
ARQ,2019-03-31,2019-06-28,2019-03-31,2019-Q4,131096000.000000,464189857.000000,2025-02-12,-1055000.000000,154326000.000000,,140981000.000000,13345000.000000,,5.942000,-1848000.000000,26890000.000000,26890000.000000,0.000000,-6656000.000000,14.262000,0.119000,6561000.000000,0.000000,6561000.000000,6561000.000000,0.000000,42000.000000,0.000000,0.000000,0.000000,-6656000.000000,-6614000.000000,,-6614000.000000,-6656000.000000,-6656000.000000,-0.150000,-0.150000,-0.150000,137856000.000000,,137856000.000000,443860857.000000,-14.000000,-14.465000,-7881000.000000,-0.340000,1.000000,0.000000,,0.000000,0.000000,124112000.000000,,0.000000,109107000.000000,109107000.000000,0.000000,16470000.000000,9885000.000000,6585000.000000,4652000.000000,0.000000,41000.000000,0.000000,0.000000,41000.000000,10474000.000000,12322000.000000,-6033000.000000,170000.000000,-6656000.000000,-6656000.000000,-6656000.000000,0.000000,0.000000,,7826000.000000,-7826000.000000,7084000.000000,0.000000,3.367000,-15.054000,-11.023000,12159000.000000,0.000000,14.660000,,,2474000.000000,-59766000.000000,0.000000,0.000000,5413000.000000,,,,,907000.000000,2413000.000000,1.000000,31663701.000000,23198400.000000,23198400.000000,0.000000,154326000.000000,0.000000,0.000000,0.000000,6.652000
ARQ,2019-06-30,2019-08-14,2019-06-30,2020-Q1,114685000.000000,318245129.000000,2025-02-12,-1172000.000000,143541000.000000,,127738000.000000,15803000.000000,,4.111000,-362000.000000,40000000.000000,40000000.000000,0.000000,-9508000.000000,9.786000,0.103000,730000.000000,394000.000000,336000.000000,730000.000000,0.000000,42000.000000,0.000000,0.000000,0.000000,-9508000.000000,-9466000.000000,,-9466000.000000,-9508000.000000,-9508000.000000,-0.300000,-0.300000,-0.300000,130152000.000000,,130152000.000000,278975129.000000,-9.000000,-9.256000,-13944000.000000,-0.440000,1.000000,0.000000,,0.000000,0.000000,91218000.000000,,0.000000,82435000.000000,82435000.000000,0.000000,13389000.000000,13053000.000000,336000.000000,13110000.000000,0.000000,18000.000000,0.000000,0.000000,18000.000000,26811000.000000,27173000.000000,-13582000.000000,-137000.000000,-9508000.000000,-9508000.000000,-9508000.000000,0.000000,0.000000,,10907000.000000,-10907000.000000,10830000.000000,0.000000,2.445000,-10.504000,-10.579000,1653000.000000,0.000000,10.050000,,,3023000.000000,-69181000.000000,0.000000,0.000000,7457000.000000,,,,,1810000.000000,3450000.000000,1.000000,31666182.000000,31661430.000000,31661430.000000,0.000000,143541000.000000,0.000000,0.000000,0.000000,4.534000
ARQ,2019-09-30,2019-11-12,2019-09-30,2020-Q2,106030000.000000,534542935.000000,2025-02-12,-1430000.000000,151438000.000000,,118012000.000000,33426000.000000,,3.809000,-784000.000000,54934000.000000,54934000.000000,0.000000,-11139000.000000,9.849000,0.255000,19480000.000000,665000.000000,18815000.000000,19480000.000000,0.000000,42000.000000,0.000000,0.000000,0.000000,-10944000.000000,-10902000.000000,,-10902000.000000,-10944000.000000,-11139000.000000,-0.350000,-0.350000,-0.350000,120641000.000000,,120641000.000000,499088935.000000,-14.000000,-14.417000,-20757000.000000,-0.655000,1.000000,0.000000,,0.000000,195000.000000,104002000.000000,,0.000000,56581000.000000,56581000.000000,0.000000,30797000.000000,11982000.000000,18815000.000000,14934000.000000,0.000000,105000.000000,10000000.000000,0.000000,9750000.000000,25324000.000000,26108000.000000,-19973000.000000,-167000.000000,-11139000.000000,-11139000.000000,-11139000.000000,0.000000,0.000000,,12242000.000000,-12242000.000000,7965000.000000,0.000000,4.431000,-15.283000,-16.058000,15506000.000000,0.000000,16.700000,,,3549000.000000,-80320000.000000,0.000000,0.000000,8168000.000000,,,,,1781000.000000,4074000.000000,1.000000,32008559.000000,31675323.000000,31675323.000000,0.000000,151438000.000000,0.000000,0.000000,0.000000,4.781000
ARQ,2019-12-31,2020-02-13,2019-12-31,2020-Q3,176657000.000000,622609594.000000,2025-02-12,-1047000.000000,250423000.000000,,190874000.000000,59549000.000000,,5.664000,-4056000.000000,64638000.000000,64638000.000000,0.000000,-16189000.000000,13.426000,0.268000,42045000.000000,3404000.000000,38641000.000000,42045000.000000,0.000000,107000.000000,0.000000,0.000000,0.000000,-15355000.000000,-15248000.000000,,-15248000.000000,-15355000.000000,-16189000.000000,-0.460000,-0.460000,-0.460000,197565000.000000,,197565000.000000,600016594.000000,-14.000000,-14.208000,-19791000.000000,-0.567000,1.000000,0.000000,,0.000000,834000.000000,213613000.000000,,0.000000,117877000.000000,117877000.000000,0.000000,52858000.000000,14217000.000000,38641000.000000,9704000.000000,0.000000,90386000.000000,-22000.000000,0.000000,90364000.000000,-65209000.000000,-61153000.000000,-15735000.000000,284000.000000,-16189000.000000,-16189000.000000,-16189000.000000,0.000000,0.000000,,16664000.000000,-16664000.000000,6256000.000000,0.000000,3.151000,-14.315000,-13.484000,57913000.000000,0.000000,16.990000,,,4775000.000000,-96509000.000000,0.000000,0.000000,11948000.000000,,,,,2344000.000000,4716000.000000,1.000000,36645650.000000,34877944.000000,34877944.000000,0.000000,250423000.000000,0.000000,0.000000,0.000000,7.180000
ARQ,2020-03-31,2020-06-03,2020-03-31,2020-Q4,162377000.000000,742671585.000000,2025-02-12,-982000.000000,234097000.000000,,174251000.000000,59846000.000000,,4.733000,-1338000.000000,61136000.000000,61136000.000000,0.000000,-15789000.000000,14.675000,0.274000,41789000.000000,3284000.000000,38505000.000000,41789000.000000,0.000000,342000.000000,0.000000,0.000000,0.000000,-14899000.000000,-14557000.000000,,-14557000.000000,-14899000.000000,-15789000.000000,-0.410000,-0.410000,-0.410000,183718000.000000,,183718000.000000,723324585.000000,-14.000000,-14.417000,-12600000.000000,-0.325000,1.000000,0.000000,,0.000000,890000.000000,202876000.000000,,0.000000,109055000.000000,109055000.000000,0.000000,50379000.000000,11874000.000000,38505000.000000,-3502000.000000,0.000000,71000.000000,-37000.000000,0.000000,34000.000000,7841000.000000,9179000.000000,-11262000.000000,-115000.000000,-15789000.000000,-15789000.000000,-15789000.000000,0.000000,0.000000,,16385000.000000,-16385000.000000,3434000.000000,0.000000,4.042000,-14.113000,-13.110000,58210000.000000,0.000000,20.190000,,,2962000.000000,-112298000.000000,0.000000,0.000000,11188000.000000,,,,,1806000.000000,5197000.000000,1.000000,36784130.000000,38819748.000000,38819748.000000,0.000000,234097000.000000,0.000000,0.000000,0.000000,6.030000
ARQ,2020-06-30,2020-08-07,2020-06-30,2021-Q1,255863000.000000,956847814.000000,2025-02-12,-1190000.000000,329583000.000000,,267741000.000000,61842000.000000,,6.969000,-932000.000000,106433000.000000,106433000.000000,0.000000,-17493000.000000,22.541000,0.186000,43150000.000000,3259000.000000,39891000.000000,43150000.000000,0.000000,391000.000000,0.000000,0.000000,0.000000,-16648000.000000,-16257000.000000,,-16257000.000000,-16648000.000000,-17493000.000000,-0.440000,-0.440000,-0.440000,277814000.000000,,277814000.000000,893564814.000000,-15.000000,-15.686000,-16022000.000000,-0.402000,1.000000,0.000000,,0.000000,845000.000000,254422000.000000,,0.000000,156962000.000000,156962000.000000,0.000000,51769000.000000,11878000.000000,39891000.000000,45297000.000000,0.000000,109646000.000000,-32000.000000,0.000000,109514000.000000,-49126000.000000,-48194000.000000,-15090000.000000,-1000.000000,-17493000.000000,-17493000.000000,-17493000.000000,0.000000,0.000000,,17833000.000000,-17833000.000000,3480000.000000,0.000000,3.444000,-15.787000,-14.307000,59527000.000000,0.000000,23.750000,,,3630000.000000,-129791000.000000,0.000000,0.000000,12157000.000000,,,,,2468000.000000,5676000.000000,1.000000,40288329.000000,39862319.000000,39862319.000000,0.000000,329583000.000000,0.000000,0.000000,0.000000,8.268000
