dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2020-12-31,2021-02-23,2020-12-31,2021-Q4,-22691.000000,,2025-05-12,0.000000,43309.000000,,10309.000000,33000.000000,,0.002000,0.000000,0.000000,0.000000,0.000000,-14691.000000,0.312000,3.201000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,-14691.000000,-14691.000000,,-14691.000000,-14691.000000,-14691.000000,0.000000,0.000000,0.000000,10309.000000,,10309.000000,,,,0.000000,0.000000,1.000000,0.000000,,0.000000,0.000000,10309.000000,,0.000000,0.000000,0.000000,0.000000,33000.000000,33000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-14691.000000,-14691.000000,-14691.000000,0.000000,0.000000,,14291.000000,-14291.000000,0.000000,,,,,0.000000,0.000000,,,,0.000000,-14691.000000,0.000000,0.000000,0.000000,,,,,0.000000,14291.000000,1.000000,31250000.000000,5000000.000000,5000000.000000,0.000000,43309.000000,0.000000,0.000000,0.000000,0.009000
ARQ,2021-03-31,2021-06-16,2021-03-31,2022-Q1,1341287.000000,422193750.000000,2025-05-12,0.000000,346801623.000000,,1800037.000000,345001586.000000,,0.124000,0.000000,1385291.000000,1385291.000000,0.000000,-1159117.000000,3.924000,5.253000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1159117.000000,-1159117.000000,,-1159117.000000,-1159117.000000,-1159117.000000,-0.130000,-0.130000,-0.130000,5000003.000000,,5000003.000000,420808459.000000,,,-476570.000000,-0.012000,1.000000,0.000000,,0.000000,0.000000,344957582.000000,,0.000000,345001586.000000,0.000000,345001586.000000,26267320.000000,458750.000000,25808570.000000,1385291.000000,0.000000,353900000.000000,0.000000,0.000000,346861861.000000,-345000000.000000,-345000000.000000,-476570.000000,0.000000,-1159117.000000,-1159117.000000,-1159117.000000,0.000000,0.000000,,135253.000000,-135253.000000,70270.000000,0.000000,84.439000,,,0.000000,0.000000,9.790000,,,0.000000,-1173808.000000,0.000000,0.000000,0.000000,,,,,0.000000,135253.000000,1.000000,43125000.000000,40358398.000000,40358398.000000,0.000000,346801623.000000,0.000000,0.000000,0.000000,8.593000
ARQ,2021-06-30,2021-08-13,2021-06-30,2022-Q2,846828.000000,418528125.000000,2025-05-12,0.000000,346622172.000000,,1615433.000000,345006739.000000,,0.116000,0.000000,1231287.000000,1231287.000000,0.000000,-2445737.000000,2.102000,5.707000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-2445737.000000,-2445737.000000,,-2445737.000000,-2445737.000000,-2445737.000000,-0.210000,-0.210000,-0.210000,5000007.000000,,5000007.000000,417296838.000000,,,-88555.000000,-0.002000,1.000000,0.000000,,0.000000,0.000000,344622280.000000,,0.000000,345006739.000000,0.000000,345006739.000000,28533605.000000,768605.000000,27765000.000000,-154004.000000,0.000000,0.000000,0.000000,0.000000,-65449.000000,0.000000,0.000000,-88555.000000,0.000000,-2445737.000000,-2445737.000000,-2445737.000000,0.000000,0.000000,,489640.000000,-489640.000000,54000.000000,0.000000,83.706000,,,0.000000,0.000000,9.705000,,,23462.000000,-3619545.000000,0.000000,0.000000,0.000000,,,,,0.000000,489640.000000,1.000000,43125000.000000,43125000.000000,43125000.000000,0.000000,346622172.000000,0.000000,0.000000,0.000000,8.038000
ARQ,2021-09-30,2021-11-15,2021-09-30,2021-Q3,276432.000000,450225000.000000,2025-05-12,0.000000,346283633.000000,,1271684.000000,345011949.000000,,-0.516000,0.000000,925438.000000,925438.000000,0.000000,4664815.000000,1.278000,-1.058000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4664815.000000,4664815.000000,,4664815.000000,4664815.000000,4664815.000000,0.110000,0.110000,0.110000,-22246619.000000,,-22246619.000000,449299562.000000,430.000000,429.841000,-88848.000000,-0.002000,1.000000,0.000000,,0.000000,0.000000,344362943.000000,,0.000000,345011949.000000,0.000000,345011949.000000,23530252.000000,995252.000000,22535000.000000,-305849.000000,0.000000,0.000000,0.000000,0.000000,-217001.000000,0.000000,0.000000,-88848.000000,0.000000,4664815.000000,4664815.000000,4664815.000000,0.000000,0.000000,,570395.000000,-570395.000000,150000.000000,0.000000,-20.238000,430.726000,-45.391000,0.000000,0.000000,10.440000,,,0.000000,-22247482.000000,0.000000,0.000000,0.000000,,,,,0.000000,570395.000000,1.000000,43125000.000000,43125000.000000,43125000.000000,0.000000,346283633.000000,0.000000,0.000000,0.000000,8.030000
ARQ,2021-09-30,2022-01-14,2021-10-31,2021-Q3,12288809.000000,1135933281.000000,2025-05-12,49634.000000,46605099.000000,,17632805.000000,28972294.000000,,-0.555000,,13441419.000000,13441419.000000,,,3.300000,-0.447000,18198250.000000,0.000000,18198250.000000,18198250.000000,630993.000000,,0.000000,0.000000,0.000000,,,,,,,,,,-63149622.000000,,-63149622.000000,1140690112.000000,,,,,1.000000,,,5377255.000000,,40640679.000000,,0.000000,0.000000,0.000000,0.000000,28231580.000000,5343996.000000,22887584.000000,,,,,,,,,,,,,,,,,,,1650621.000000,,-17.988000,,,22396418.000000,,9.980000,,,1469557.000000,-198397159.000000,,,,,,,,,,1.000000,113820970.000000,113820970.000000,,,41227844.000000,0.000000,,0.000000,0.362000
ARQ,2021-12-31,2022-04-21,2021-12-31,2021-Q4,9788089.000000,657885207.000000,2025-05-12,51815.000000,46426430.000000,,18070216.000000,28356214.000000,,-3.260000,-7007742.000000,12045650.000000,12045650.000000,1623336.000000,-39301460.000000,2.182000,-0.509000,24791032.000000,1290538.000000,23500494.000000,24791032.000000,984976.000000,4651129.000000,0.000000,0.000000,0.000000,-36836325.000000,-32185196.000000,-3.927000,-32185196.000000,-36836325.000000,-39301460.000000,-1.510000,-1.510000,-1.510000,-71528671.000000,,-71528671.000000,670630589.000000,-19.000000,-21.546000,-35397129.000000,-1.613000,1.000000,6572970.000000,0.802000,5377255.000000,2465135.000000,45512430.000000,,0.000000,0.000000,0.000000,0.000000,36431960.000000,8282127.000000,28149833.000000,-11399310.000000,0.000000,-353522131.000000,27000000.000000,0.000000,-320997171.000000,337992258.000000,345000000.000000,-28389387.000000,-5010.000000,-39301460.000000,-39301460.000000,-39301460.000000,0.000000,0.000000,-4.795000,39506347.000000,-32933377.000000,1970998.000000,0.000000,-9.198000,-17.203000,-3.322000,22497484.000000,0.000000,5.780000,80.266000,15.473000,1542540.000000,-207131331.000000,8196306.000000,8196306.000000,26927599.000000,,,,,1765371.000000,12578748.000000,1.000000,113820970.000000,21941997.000000,21941997.000000,0.374000,41049175.000000,0.000000,0.000000,0.000000,1.871000
ARQ,2022-03-31,2022-05-16,2022-03-31,2022-Q1,203616000.000000,849104436.000000,2025-05-12,61000.000000,245903000.000000,,215183000.000000,30720000.000000,,3.081000,-2836000.000000,206943000.000000,206943000.000000,414000.000000,-10470000.000000,18.603000,0.486000,30043000.000000,2365000.000000,27678000.000000,30043000.000000,519000.000000,1390000.000000,0.000000,0.000000,0.000000,-9265000.000000,-7875000.000000,-3.743000,-7875000.000000,-9265000.000000,-10470000.000000,-0.200000,-0.200000,-0.200000,165430000.000000,,165430000.000000,672204436.000000,-15.000000,-17.764000,-18557000.000000,-0.346000,1.000000,1690000.000000,0.803000,5377000.000000,1205000.000000,52059000.000000,,0.000000,0.000000,0.000000,0.000000,80473000.000000,11567000.000000,68906000.000000,194897000.000000,0.000000,226206000.000000,4000000.000000,0.000000,213445000.000000,-2836000.000000,0.000000,-15721000.000000,9000.000000,-10470000.000000,-10470000.000000,-10470000.000000,0.000000,0.000000,-4.976000,25484000.000000,-23794000.000000,3453000.000000,0.000000,5.133000,-17.856000,-4.122000,23943000.000000,0.000000,7.460000,82.435000,38.886000,1261000.000000,-217601000.000000,2104000.000000,2104000.000000,12449000.000000,,,,,11481000.000000,13035000.000000,1.000000,113820970.000000,53691948.000000,53691948.000000,0.039000,240526000.000000,0.000000,0.000000,0.000000,4.480000
ARQ,2022-03-31,2022-06-01,2022-03-31,2022-Q1,203616000.000000,1042600085.000000,2025-05-12,61000.000000,245903000.000000,,215183000.000000,30720000.000000,,3.081000,-2836000.000000,206943000.000000,206943000.000000,414000.000000,-10470000.000000,18.603000,0.486000,30043000.000000,2365000.000000,27678000.000000,30043000.000000,519000.000000,1390000.000000,0.000000,0.000000,0.000000,-9265000.000000,-7875000.000000,-3.743000,-7875000.000000,-9265000.000000,-10470000.000000,-0.200000,-0.200000,-0.200000,165430000.000000,,165430000.000000,865700085.000000,-20.000000,-22.877000,-18557000.000000,-0.346000,1.000000,1690000.000000,0.803000,5377000.000000,1205000.000000,52059000.000000,,0.000000,0.000000,0.000000,0.000000,80473000.000000,11567000.000000,68906000.000000,194897000.000000,0.000000,226206000.000000,4000000.000000,0.000000,213445000.000000,-2836000.000000,0.000000,-15721000.000000,9000.000000,-10470000.000000,-10470000.000000,-10470000.000000,0.000000,0.000000,-4.976000,25484000.000000,-23794000.000000,3453000.000000,0.000000,6.302000,-21.925000,-5.061000,23943000.000000,0.000000,9.160000,101.220000,47.748000,1261000.000000,-217601000.000000,2104000.000000,2104000.000000,12449000.000000,,,,,11481000.000000,13035000.000000,1.000000,113820970.000000,53691948.000000,53691948.000000,0.039000,240526000.000000,0.000000,0.000000,0.000000,4.480000
ARQ,2022-06-30,2022-08-12,2022-06-30,2022-Q2,181104000.000000,572303143.000000,2025-05-12,99000.000000,228590000.000000,,192383000.000000,36207000.000000,,1.523000,-7800000.000000,184137000.000000,184137000.000000,873000.000000,-9974000.000000,17.057000,0.315000,29427000.000000,4226000.000000,25201000.000000,29427000.000000,1108000.000000,1588000.000000,0.000000,0.000000,0.000000,-8934000.000000,-7346000.000000,-3.442000,-7346000.000000,-8934000.000000,-9974000.000000,-0.090000,-0.090000,-0.090000,173825000.000000,,173825000.000000,417593143.000000,-10.000000,-11.795000,-27164000.000000,-0.238000,1.000000,1261000.000000,0.591000,5377000.000000,1040000.000000,57224000.000000,,0.000000,0.000000,0.000000,0.000000,54765000.000000,11279000.000000,43486000.000000,-22806000.000000,0.000000,5073000.000000,0.000000,0.000000,4321000.000000,-7800000.000000,0.000000,-19364000.000000,37000.000000,-9974000.000000,-9974000.000000,-9974000.000000,0.000000,0.000000,-4.674000,26906000.000000,-25645000.000000,1517000.000000,0.000000,3.292000,-13.320000,-2.674000,30583000.000000,0.000000,4.840000,58.514000,56.461000,2572000.000000,-227575000.000000,2134000.000000,2134000.000000,12634000.000000,,,,,11041000.000000,14272000.000000,1.000000,118244451.000000,114096390.000000,114096390.000000,0.019000,223213000.000000,0.000000,0.000000,0.000000,1.956000
ARQ,2022-06-30,2022-08-19,2022-06-30,2022-Q2,181104000.000000,593587144.000000,2025-05-12,99000.000000,228590000.000000,,192383000.000000,36207000.000000,,1.523000,-7800000.000000,184137000.000000,184137000.000000,873000.000000,-9974000.000000,17.057000,0.315000,29427000.000000,4226000.000000,25201000.000000,29427000.000000,1108000.000000,1588000.000000,0.000000,0.000000,0.000000,-8934000.000000,-7346000.000000,-3.442000,-7346000.000000,-8934000.000000,-9974000.000000,-0.090000,-0.090000,-0.090000,173825000.000000,,173825000.000000,438877144.000000,-11.000000,-12.397000,-27164000.000000,-0.238000,1.000000,1261000.000000,0.591000,5377000.000000,1040000.000000,57224000.000000,,0.000000,0.000000,0.000000,0.000000,54765000.000000,11279000.000000,43486000.000000,-22806000.000000,0.000000,5073000.000000,0.000000,0.000000,4321000.000000,-7800000.000000,0.000000,-19364000.000000,37000.000000,-9974000.000000,-9974000.000000,-9974000.000000,0.000000,0.000000,-4.674000,26906000.000000,-25645000.000000,1517000.000000,0.000000,3.415000,-13.815000,-2.773000,30583000.000000,0.000000,5.020000,60.690000,58.561000,2572000.000000,-227575000.000000,2134000.000000,2134000.000000,12634000.000000,,,,,11041000.000000,14272000.000000,1.000000,118244451.000000,114096390.000000,114096390.000000,0.019000,223213000.000000,0.000000,0.000000,0.000000,1.956000
