dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2020-06-30,2020-09-18,2020-07-30,2020-Q2,,,2025-05-09,0.000000,70390.000000,,,,,0.002000,0.000000,0.000000,0.000000,0.000000,-8110.000000,,3.168000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,-8110.000000,-8110.000000,,-8110.000000,-8110.000000,-8110.000000,0.000000,0.000000,0.000000,16890.000000,,16890.000000,,,,0.000000,0.000000,1.000000,0.000000,,0.000000,0.000000,16890.000000,,0.000000,0.000000,,,53500.000000,53500.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-8110.000000,-8110.000000,-8110.000000,0.000000,0.000000,,8110.000000,-8110.000000,0.000000,,,,,0.000000,0.000000,,,,0.000000,-8110.000000,0.000000,0.000000,0.000000,,,,,0.000000,8110.000000,1.000000,37500000.000000,7500000.000000,7500000.000000,0.000000,70390.000000,0.000000,0.000000,0.000000,0.009000
ARQ,2020-09-30,2020-11-16,2020-09-30,2020-Q3,,378860000.000000,2025-05-09,0.000000,301352520.000000,,1352520.000000,300000000.000000,,0.132000,0.000000,924370.000000,924370.000000,0.000000,-20698.000000,,2.100000,0.000000,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-20698.000000,-20698.000000,,-20698.000000,-20698.000000,-20698.000000,0.000000,0.000000,0.000000,5000010.000000,,5000010.000000,377935630.000000,,,-448248.000000,-0.012000,1.000000,0.000000,,0.000000,0.000000,300428150.000000,,0.000000,300000000.000000,0.000000,300000000.000000,10500600.000000,,,924370.000000,0.000000,294000000.000000,0.000000,0.000000,301372618.000000,-300000000.000000,-300000000.000000,-448248.000000,0.000000,-20698.000000,-20698.000000,-20698.000000,0.000000,0.000000,,20698.000000,-20698.000000,0.000000,,75.772000,,,0.000000,0.000000,9.970000,,,0.000000,-20698.000000,0.000000,0.000000,0.000000,,,,,0.000000,20698.000000,1.000000,38000000.000000,38000000.000000,38000000.000000,0.000000,301352520.000000,0.000000,0.000000,0.000000,7.930000
ARQ,2020-12-31,2021-03-31,2020-12-31,2020-Q4,,473600000.000000,2025-05-09,0.000000,321327396.000000,,1232550.000000,320094846.000000,,0.127000,,865903.000000,865903.000000,,,,2.283000,0.000000,,,0.000000,0.000000,,0.000000,0.000000,0.000000,,,,,,,,,,5000001.000000,,5000001.000000,472734097.000000,-1341.000000,-1340.645000,,,1.000000,,,0.000000,,320461493.000000,,0.000000,320004846.000000,0.000000,320004846.000000,11417395.000000,,,,,,,,,,,,,,,,,,,,,0.000000,,94.720000,-1343.100000,-236.800000,0.000000,,11.840000,,,0.000000,-352617.000000,,,,,,,,,,1.000000,40000000.000000,39285675.000000,,,321327396.000000,0.000000,,0.000000,8.179000
ARQ,2020-12-31,2021-05-03,2020-12-31,2020-Q4,,418800000.000000,2025-05-09,0.000000,321327396.000000,,1232550.000000,320094846.000000,,0.127000,,865903.000000,865903.000000,,,,7.196000,0.000000,,,0.000000,0.000000,,0.000000,0.000000,0.000000,,,,,,,,,,5000004.000000,,5000004.000000,417934097.000000,-34.000000,-33.863000,,,1.000000,,,0.000000,,320461493.000000,,0.000000,320004846.000000,0.000000,320004846.000000,35980062.000000,,,,,,,,,,,,,,,,,,,,,0.000000,,83.760000,-33.933000,-6.544000,0.000000,,10.470000,,,0.000000,-12341951.000000,,,,,,,,,,1.000000,40000000.000000,39285675.000000,,,321327396.000000,0.000000,,0.000000,8.179000
ARQ,2020-12-31,2021-06-25,2020-12-31,2020-Q4,44695000.000000,4716264610.000000,2025-05-09,1055000.000000,187869000.000000,,93114000.000000,94755000.000000,,-20.027000,,53933000.000000,53933000.000000,,,1.923000,-0.478000,27299000.000000,0.000000,27299000.000000,27299000.000000,26132000.000000,,0.000000,0.000000,0.000000,,,,,,,,,,-166708000.000000,,-166708000.000000,4689630610.000000,-86.000000,-107.398000,,,1.000000,,,14482000.000000,,98334000.000000,,26135000.000000,0.000000,0.000000,0.000000,79617000.000000,48419000.000000,31198000.000000,,,,,,,,,,,,,,,,,,,3368000.000000,,-28.291000,-85.742000,-1.590000,76734000.000000,,10.510000,134.137000,2.488000,2730000.000000,-187691000.000000,,,,,,,,,,1.000000,448740686.000000,8324000.000000,,,173387000.000000,2398000.000000,,0.000000,20.830000
ARQ,2021-03-31,2021-07-13,2021-03-31,2021-Q1,33329000.000000,4922685325.000000,2025-05-09,1796000.000000,168467000.000000,,72827000.000000,95640000.000000,,-20.711000,-4046000.000000,35339000.000000,35339000.000000,16781000.000000,-15882000.000000,1.844000,-0.409000,26522000.000000,0.000000,26522000.000000,26522000.000000,16187000.000000,2902000.000000,0.000000,0.000000,0.000000,-15491000.000000,-12589000.000000,-0.692000,-12589000.000000,-15491000.000000,-15618000.000000,-1.830000,-1.830000,-1.830000,-180205000.000000,,-180205000.000000,4913868325.000000,,,-19525000.000000,-2.244000,1.000000,1411000.000000,0.078000,14331000.000000,127000.000000,105821000.000000,,25842000.000000,0.000000,0.000000,0.000000,73712000.000000,39498000.000000,34214000.000000,-18594000.000000,0.000000,554000.000000,0.000000,0.000000,414000.000000,-4046000.000000,0.000000,-15479000.000000,517000.000000,-15882000.000000,-15882000.000000,-15882000.000000,0.000000,0.000000,-0.873000,13702000.000000,-12291000.000000,4069000.000000,0.000000,-27.317000,,,76246000.000000,0.000000,10.970000,,,2119000.000000,-203573000.000000,18192000.000000,18192000.000000,7078000.000000,,,,,1090000.000000,6624000.000000,1.000000,448740686.000000,8701000.000000,8701000.000000,2.091000,154136000.000000,2441000.000000,264000.000000,0.000000,17.715000
ARQ,2021-06-30,2021-09-24,2021-06-30,2021-Q2,115716000.000000,6304806638.000000,2025-05-09,2129000.000000,265908000.000000,,167570000.000000,98338000.000000,,-22.379000,-1653000.000000,109041000.000000,109041000.000000,8817000.000000,-16665000.000000,3.232000,-0.954000,124743000.000000,0.000000,124743000.000000,124743000.000000,31138000.000000,2942000.000000,0.000000,0.000000,0.000000,-15950000.000000,-13008000.000000,-1.153000,-13008000.000000,-15950000.000000,-16225000.000000,-1.910000,-1.910000,-1.910000,-195030000.000000,,-195030000.000000,6320508638.000000,,,-22756000.000000,-2.611000,1.000000,2463000.000000,0.218000,13966000.000000,275000.000000,215790000.000000,,31516000.000000,0.000000,0.000000,0.000000,185978000.000000,51854000.000000,134124000.000000,73702000.000000,0.000000,218000.000000,98895000.000000,0.000000,96955000.000000,-1653000.000000,0.000000,-21103000.000000,-497000.000000,-16665000.000000,-16665000.000000,-16665000.000000,0.000000,0.000000,-1.477000,15597000.000000,-13134000.000000,3620000.000000,0.000000,-32.327000,,,76932000.000000,0.000000,14.050000,,,22355000.000000,-220238000.000000,11280000.000000,11280000.000000,8529000.000000,,,,,1289000.000000,7068000.000000,1.000000,448740686.000000,8715000.000000,8715000.000000,1.294000,251942000.000000,2935000.000000,440000.000000,0.000000,28.909000
ARQ,2021-09-30,2021-11-15,2021-09-30,2021-Q3,778272000.000000,6419133105.000000,2025-05-09,1121000.000000,955377000.000000,,855016000.000000,100361000.000000,,2.953000,-5748000.000000,793789000.000000,793789000.000000,17738000.000000,-87969000.000000,11.141000,0.417000,125338000.000000,2807000.000000,122531000.000000,125338000.000000,51163000.000000,3045000.000000,0.000000,0.000000,0.000000,-86676000.000000,-83631000.000000,-15.818000,-83631000.000000,-86676000.000000,-89653000.000000,-0.390000,-0.390000,-0.390000,674118000.000000,,674118000.000000,5750682105.000000,,,-19043000.000000,-0.083000,1.000000,-12451000.000000,-2.355000,13087000.000000,2977000.000000,197095000.000000,,38365000.000000,0.000000,0.000000,0.000000,281259000.000000,76744000.000000,204515000.000000,684748000.000000,0.000000,702112000.000000,0.000000,0.000000,704410000.000000,-5748000.000000,0.000000,-13295000.000000,-619000.000000,-87969000.000000,-87969000.000000,-87969000.000000,0.000000,0.000000,-16.639000,39844000.000000,-52295000.000000,2205000.000000,0.000000,9.522000,,,80238000.000000,0.000000,14.290000,,,13336000.000000,-308207000.000000,5287000.000000,5287000.000000,14189000.000000,,,,,21794000.000000,25655000.000000,1.000000,449204556.000000,228266647.000000,228266647.000000,0.023000,942290000.000000,5907000.000000,-1684000.000000,0.000000,4.128000
ARQ,2021-12-31,2022-03-24,2021-12-31,2021-Q4,678457000.000000,4015669020.000000,2025-05-09,1308000.000000,980847000.000000,,774764000.000000,206083000.000000,,3.328000,-14252000.000000,692075000.000000,692075000.000000,20793000.000000,3196000.000000,8.045000,0.404000,128426000.000000,2827000.000000,125599000.000000,128426000.000000,59749000.000000,3972000.000000,0.000000,0.000000,0.000000,-594000.000000,3378000.000000,0.123000,3378000.000000,-594000.000000,-3345000.000000,0.370000,0.370000,0.370000,698448000.000000,,698448000.000000,3452020020.000000,-29.000000,-32.612000,-36166000.000000,-0.172000,1.000000,6685000.000000,0.243000,100795000.000000,2751000.000000,220096000.000000,,47904000.000000,0.000000,0.000000,0.000000,282399000.000000,96307000.000000,186092000.000000,-101714000.000000,-66435000.000000,-1840000.000000,0.000000,0.000000,-1840000.000000,-80687000.000000,0.000000,-21914000.000000,2727000.000000,3196000.000000,3196000.000000,3196000.000000,0.000000,0.000000,0.116000,31016000.000000,-24331000.000000,3489000.000000,0.000000,5.749000,-34.228000,-15.429000,93763000.000000,0.000000,8.640000,64.522000,29.139000,13957000.000000,-305011000.000000,27478000.000000,27478000.000000,11968000.000000,,,,,8384000.000000,19048000.000000,1.000000,464776507.000000,209895135.000000,209895135.000000,0.131000,880052000.000000,5859000.000000,-6541000.000000,466000.000000,4.193000
ARQ,2021-12-31,2022-05-09,2021-12-31,2021-Q4,678457000.000000,2629725520.000000,2025-05-09,1308000.000000,980847000.000000,,774764000.000000,206083000.000000,,3.328000,-14252000.000000,692075000.000000,692075000.000000,20793000.000000,3196000.000000,8.045000,0.404000,128426000.000000,2827000.000000,125599000.000000,128426000.000000,59749000.000000,3972000.000000,0.000000,0.000000,0.000000,-594000.000000,3378000.000000,0.123000,3378000.000000,-594000.000000,-3345000.000000,0.370000,0.370000,0.370000,698448000.000000,,698448000.000000,2066076520.000000,-17.000000,-19.519000,-36166000.000000,-0.172000,1.000000,6685000.000000,0.243000,100795000.000000,2751000.000000,220096000.000000,,47904000.000000,0.000000,0.000000,0.000000,282399000.000000,96307000.000000,186092000.000000,-101714000.000000,-66435000.000000,-1840000.000000,0.000000,0.000000,-1840000.000000,-80687000.000000,0.000000,-21914000.000000,2727000.000000,3196000.000000,3196000.000000,3196000.000000,0.000000,0.000000,0.116000,31016000.000000,-24331000.000000,3489000.000000,0.000000,3.765000,-22.415000,-10.125000,93763000.000000,0.000000,5.670000,42.253000,19.122000,13957000.000000,-305011000.000000,27478000.000000,27478000.000000,11968000.000000,,,,,8384000.000000,19048000.000000,1.000000,463796388.000000,209895135.000000,209895135.000000,0.131000,880052000.000000,5859000.000000,-6541000.000000,466000.000000,4.193000
