dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2020-03-31,2020-06-11,2020-03-31,2020-Q1,78916000.000000,,2025-05-08,0.000000,92678000.000000,,90257000.000000,2421000.000000,,-24.944000,-10000.000000,88751000.000000,88751000.000000,0.000000,-6085000.000000,7.958000,-2.306000,4175000.000000,2780000.000000,1395000.000000,4175000.000000,18320000.000000,140000.000000,0.000000,,0.000000,-6007000.000000,-5867000.000000,-4.320000,-5867000.000000,-6007000.000000,-6085000.000000,-2.140000,-2.140000,-2.140000,-70963000.000000,,-70963000.000000,,,,-7150000.000000,-2.513000,1.000000,1358000.000000,1.000000,0.000000,78000.000000,-3239000.000000,,0.000000,0.000000,0.000000,0.000000,163641000.000000,11341000.000000,152300000.000000,-5827000.000000,0.000000,16000.000000,-700000.000000,0.000000,1323000.000000,-10000.000000,0.000000,-7140000.000000,0.000000,-6085000.000000,-6085000.000000,-6085000.000000,0.000000,0.000000,-4.481000,7508000.000000,-6150000.000000,3540000.000000,0.000000,,,,558000.000000,0.000000,,,,0.000000,-28270000.000000,1358000.000000,1358000.000000,5544000.000000,,,,,449000.000000,1964000.000000,1.000000,32950798.000000,2844860.000000,2844860.000000,0.477000,92678000.000000,0.000000,0.000000,0.000000,32.577000
ARQ,2020-06-30,2020-08-11,2020-06-30,2020-Q2,342197000.000000,1098779756.000000,2025-05-08,0.000000,355355000.000000,,353817000.000000,1538000.000000,,38.469000,0.000000,352570000.000000,352570000.000000,0.000000,-10556000.000000,30.449000,0.076000,679000.000000,0.000000,679000.000000,679000.000000,17620000.000000,17000.000000,0.000000,0.000000,0.000000,-10425000.000000,-10408000.000000,-6.754000,-10408000.000000,-10425000.000000,-10556000.000000,-1.230000,-1.230000,-1.230000,330296000.000000,,330296000.000000,746888756.000000,,,-7791000.000000,-0.907000,1.000000,1541000.000000,1.000000,0.000000,131000.000000,-8156000.000000,,0.000000,0.000000,0.000000,0.000000,25059000.000000,11620000.000000,13439000.000000,263819000.000000,0.000000,275400000.000000,-3983000.000000,0.000000,271610000.000000,0.000000,0.000000,-7791000.000000,0.000000,-10556000.000000,-10556000.000000,-10556000.000000,0.000000,0.000000,-6.850000,11909000.000000,-10368000.000000,5441000.000000,0.000000,3.327000,,,771000.000000,0.000000,29.280000,,,0.000000,-38826000.000000,1541000.000000,1541000.000000,8984000.000000,,,,,687000.000000,2925000.000000,1.000000,37526631.000000,8586000.000000,8586000.000000,0.179000,355355000.000000,0.000000,0.000000,0.000000,41.388000
ARQ,2020-09-30,2020-11-10,2020-09-30,2020-Q3,330617000.000000,1117543071.000000,2025-05-08,0.000000,346133000.000000,,344297000.000000,1836000.000000,,8.556000,-845000.000000,341266000.000000,341266000.000000,0.000000,-11439000.000000,25.168000,0.081000,689000.000000,0.000000,689000.000000,689000.000000,16820000.000000,101000.000000,0.000000,0.000000,0.000000,-11439000.000000,-11338000.000000,-6.494000,-11338000.000000,-11439000.000000,-11439000.000000,-0.310000,-0.310000,-0.310000,320164000.000000,,320164000.000000,776966071.000000,,,-9958000.000000,-0.266000,1.000000,1746000.000000,1.000000,0.000000,0.000000,-8124000.000000,,0.000000,0.000000,0.000000,0.000000,25969000.000000,13680000.000000,12289000.000000,-11304000.000000,0.000000,-1346000.000000,0.000000,0.000000,-1346000.000000,-845000.000000,0.000000,-9113000.000000,0.000000,-11439000.000000,-11439000.000000,-11439000.000000,0.000000,0.000000,-6.552000,13212000.000000,-11466000.000000,6328000.000000,0.000000,3.491000,,,1295000.000000,0.000000,29.780000,,,0.000000,-50265000.000000,1746000.000000,1746000.000000,9455000.000000,,,,,1296000.000000,3757000.000000,1.000000,37526631.000000,37420000.000000,37420000.000000,0.047000,346133000.000000,0.000000,0.000000,0.000000,9.250000
ARQ,2020-12-31,2021-03-15,2020-12-31,2020-Q4,317091000.000000,997119438.000000,2025-05-08,-5000.000000,333898000.000000,,331678000.000000,2220000.000000,,14.136000,-237000.000000,321713000.000000,321713000.000000,0.000000,-16275000.000000,22.738000,0.090000,938000.000000,0.000000,938000.000000,938000.000000,15840000.000000,115000.000000,0.000000,0.000000,0.000000,-16275000.000000,-16160000.000000,-7.544000,-16160000.000000,-16275000.000000,-16275000.000000,-0.330000,-0.330000,-0.330000,306223000.000000,,306223000.000000,676344438.000000,-15.000000,-15.451000,-13310000.000000,-0.614000,1.000000,2142000.000000,1.000000,0.000000,0.000000,-1464000.000000,,0.000000,6679000.000000,6679000.000000,0.000000,27675000.000000,14587000.000000,13088000.000000,-19553000.000000,0.000000,450000.000000,0.000000,0.000000,450000.000000,-6930000.000000,-6693000.000000,-13073000.000000,0.000000,-16275000.000000,-16275000.000000,-16275000.000000,0.000000,0.000000,-7.598000,18435000.000000,-16293000.000000,7745000.000000,0.000000,3.256000,-22.480000,-12.941000,1468000.000000,0.000000,26.530000,146.916000,84.679000,0.000000,-66540000.000000,2142000.000000,2142000.000000,13619000.000000,,,,,1878000.000000,4816000.000000,1.000000,37584600.000000,21663000.000000,21663000.000000,0.099000,333898000.000000,0.000000,0.000000,0.000000,15.413000
ARQ,2021-03-31,2021-05-12,2021-03-31,2021-Q1,294436000.000000,876435581.000000,2025-05-08,-3000.000000,314752000.000000,,311950000.000000,2802000.000000,,7.625000,-525000.000000,301524000.000000,301524000.000000,0.000000,-23844000.000000,17.811000,0.100000,951000.000000,0.000000,951000.000000,951000.000000,14528000.000000,108000.000000,0.000000,0.000000,0.000000,-23844000.000000,-23736000.000000,-8.778000,-23736000.000000,-23844000.000000,-23844000.000000,-0.640000,-0.640000,-0.640000,286116000.000000,,286116000.000000,575862581.000000,-9.000000,-9.342000,-20206000.000000,-0.539000,1.000000,2704000.000000,1.000000,0.000000,0.000000,-3335000.000000,,0.000000,6641000.000000,6641000.000000,0.000000,28636000.000000,17514000.000000,11122000.000000,-20189000.000000,0.000000,17000.000000,0.000000,0.000000,17000.000000,-525000.000000,0.000000,-19681000.000000,0.000000,-23844000.000000,-23844000.000000,-23844000.000000,0.000000,0.000000,-8.818000,26561000.000000,-23857000.000000,10412000.000000,0.000000,3.063000,-14.110000,-9.283000,2187000.000000,0.000000,23.300000,107.763000,107.493000,0.000000,-90384000.000000,2704000.000000,2704000.000000,20677000.000000,,,,,3701000.000000,5884000.000000,1.000000,37615261.000000,37521000.000000,37521000.000000,0.072000,314752000.000000,0.000000,0.000000,0.000000,8.389000
ARQ,2021-06-30,2021-08-09,2021-06-30,2021-Q2,270971000.000000,727030942.000000,2025-05-08,0.000000,290523000.000000,,287309000.000000,3214000.000000,,7.037000,-708000.000000,276674000.000000,276674000.000000,0.000000,-26353000.000000,17.585000,0.098000,914000.000000,0.000000,914000.000000,914000.000000,13288000.000000,147000.000000,0.000000,0.000000,0.000000,-26353000.000000,-26206000.000000,-10.052000,-26206000.000000,-26353000.000000,-26353000.000000,-0.700000,-0.700000,-0.700000,264480000.000000,,264480000.000000,451270942.000000,-6.000000,-5.827000,-28843000.000000,-0.767000,1.000000,2607000.000000,1.000000,0.000000,0.000000,-1575000.000000,,0.000000,3035000.000000,3035000.000000,0.000000,26043000.000000,16338000.000000,9705000.000000,-24850000.000000,0.000000,423000.000000,-10000.000000,0.000000,413000.000000,2872000.000000,3580000.000000,-28135000.000000,0.000000,-26353000.000000,-26353000.000000,-26353000.000000,0.000000,0.000000,-10.109000,28974000.000000,-26367000.000000,8538000.000000,0.000000,2.749000,-9.332000,-9.747000,2556000.000000,0.000000,19.300000,79.034000,78.851000,0.000000,-116737000.000000,2607000.000000,2607000.000000,22706000.000000,,,,,4289000.000000,6268000.000000,1.000000,37669997.000000,37583000.000000,37583000.000000,0.069000,290523000.000000,0.000000,0.000000,0.000000,7.730000
ARQ,2021-09-30,2021-11-09,2021-09-30,2021-Q3,399540000.000000,1193061792.000000,2025-05-08,-1000.000000,425917000.000000,,421958000.000000,3959000.000000,,9.127000,-800000.000000,410264000.000000,410264000.000000,0.000000,-29274000.000000,18.822000,0.079000,877000.000000,0.000000,877000.000000,877000.000000,12006000.000000,176000.000000,0.000000,0.000000,0.000000,-29274000.000000,-29098000.000000,-13.453000,-29098000.000000,-29274000.000000,-29274000.000000,-0.680000,-0.680000,-0.680000,394877000.000000,,394877000.000000,783674792.000000,-8.000000,-8.232000,-21582000.000000,-0.499000,1.000000,2163000.000000,1.000000,0.000000,0.000000,-5888000.000000,,0.000000,3016000.000000,3016000.000000,0.000000,31040000.000000,22418000.000000,8622000.000000,133590000.000000,0.000000,155235000.000000,-63000.000000,0.000000,155172000.000000,-800000.000000,0.000000,-20782000.000000,0.000000,-29274000.000000,-29274000.000000,-29274000.000000,0.000000,0.000000,-13.534000,31443000.000000,-29280000.000000,12004000.000000,0.000000,3.021000,-12.461000,-10.826000,3220000.000000,0.000000,25.440000,124.070000,114.461000,0.000000,-146011000.000000,2163000.000000,2163000.000000,24831000.000000,,,,,4550000.000000,6612000.000000,1.000000,46897083.000000,43265000.000000,43265000.000000,0.050000,425917000.000000,0.000000,0.000000,0.000000,9.844000
ARQ,2021-12-31,2022-03-01,2021-12-31,2021-Q4,381483000.000000,780788969.000000,2025-05-08,-187000.000000,427580000.000000,,411141000.000000,16439000.000000,,8.067000,-1707000.000000,320699000.000000,320699000.000000,0.000000,-38538000.000000,13.863000,0.121000,11729000.000000,1769000.000000,9960000.000000,11729000.000000,11396000.000000,208000.000000,0.000000,0.000000,0.000000,-38538000.000000,-38330000.000000,-20.697000,-38330000.000000,-38538000.000000,-38538000.000000,-0.840000,-0.840000,-0.840000,381430000.000000,,381430000.000000,471818969.000000,-4.000000,-4.020000,-27922000.000000,-0.591000,1.000000,1852000.000000,1.000000,0.000000,0.000000,88952000.000000,,0.000000,85095000.000000,85095000.000000,0.000000,46150000.000000,29658000.000000,16492000.000000,-89565000.000000,0.000000,20641000.000000,73000.000000,0.000000,20714000.000000,-84064000.000000,-82357000.000000,-26215000.000000,0.000000,-38538000.000000,-38538000.000000,-38538000.000000,0.000000,0.000000,-20.809000,40399000.000000,-38547000.000000,14085000.000000,0.000000,2.047000,-6.616000,-5.737000,15589000.000000,0.000000,16.350000,83.722000,72.630000,0.000000,-184549000.000000,1852000.000000,1852000.000000,32968000.000000,,,,,4516000.000000,7431000.000000,1.000000,47754677.000000,47281000.000000,47281000.000000,0.039000,427580000.000000,0.000000,0.000000,0.000000,9.043000
ARQ,2022-03-31,2022-05-10,2022-03-31,2022-Q1,373880000.000000,607113029.000000,2025-05-08,-2026000.000000,421135000.000000,,404800000.000000,16335000.000000,,7.787000,-758000.000000,139763000.000000,139763000.000000,0.000000,-34235000.000000,13.092000,0.121000,11891000.000000,2544000.000000,9347000.000000,11891000.000000,10474000.000000,314000.000000,0.000000,0.000000,0.000000,-34235000.000000,-33921000.000000,-18.897000,-33921000.000000,-34235000.000000,-34235000.000000,-0.710000,-0.710000,-0.710000,375708000.000000,,375708000.000000,479241029.000000,-4.000000,-3.757000,-30332000.000000,-0.629000,1.000000,1795000.000000,1.000000,0.000000,0.000000,262343000.000000,,0.000000,257809000.000000,257809000.000000,0.000000,45427000.000000,30920000.000000,14507000.000000,-180936000.000000,0.000000,24113000.000000,0.000000,0.000000,24113000.000000,-175475000.000000,-174717000.000000,-29574000.000000,0.000000,-34235000.000000,-34235000.000000,-34235000.000000,0.000000,0.000000,-19.072000,36255000.000000,-34460000.000000,18821000.000000,0.000000,1.616000,-4.728000,-4.164000,15286000.000000,0.000000,12.200000,72.129000,69.930000,0.000000,-218784000.000000,1795000.000000,1795000.000000,27688000.000000,,,,,6238000.000000,8567000.000000,1.000000,49763363.000000,48246000.000000,48246000.000000,0.037000,421135000.000000,0.000000,0.000000,0.000000,8.729000
ARQ,2022-06-30,2022-08-09,2022-06-30,2022-Q2,370564000.000000,1007094258.000000,2025-05-08,-2986000.000000,420801000.000000,,404251000.000000,16550000.000000,,7.498000,-1322000.000000,125357000.000000,125357000.000000,0.000000,-45690000.000000,12.000000,0.124000,11821000.000000,3068000.000000,8753000.000000,11821000.000000,9390000.000000,322000.000000,0.000000,0.000000,0.000000,-45690000.000000,-45368000.000000,-20.830000,-45368000.000000,-45690000.000000,-45690000.000000,-0.920000,-0.920000,-0.920000,374351000.000000,,374351000.000000,893558258.000000,-6.000000,-6.090000,-36868000.000000,-0.738000,1.000000,2178000.000000,1.000000,0.000000,0.000000,273578000.000000,,0.000000,273112000.000000,273112000.000000,0.000000,46450000.000000,33687000.000000,12763000.000000,-14406000.000000,0.000000,38784000.000000,0.000000,0.000000,38784000.000000,-17644000.000000,-16322000.000000,-35546000.000000,0.000000,-45690000.000000,-45690000.000000,-45690000.000000,0.000000,0.000000,-20.978000,48477000.000000,-46299000.000000,20552000.000000,0.000000,2.690000,-6.817000,-6.133000,15884000.000000,0.000000,19.320000,126.076000,120.755000,0.000000,-264474000.000000,2178000.000000,2178000.000000,39789000.000000,,,,,6508000.000000,8688000.000000,1.000000,52127032.000000,49927000.000000,49927000.000000,0.044000,420801000.000000,0.000000,0.000000,0.000000,8.428000
