dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,1996-12-31,1997-03-26,1996-12-29,1996-Q4,38088000.000000,207417308.000000,2025-05-04,2033000.000000,119227000.000000,,62725000.000000,56502000.000000,,5.062000,,18675000.000000,18675000.000000,,,2.546000,0.544000,4200000.000000,600000.000000,3600000.000000,4200000.000000,0.000000,,0.000000,0.000000,0.000000,,,,,,,,,,77212000.000000,,77212000.000000,192942308.000000,11.000000,8.417000,,,1.000000,,,0.000000,,80115000.000000,,12673000.000000,5931000.000000,956000.000000,4975000.000000,42015000.000000,24637000.000000,17378000.000000,,,,,,,,,,,,,,,,,,,9726000.000000,,2.686000,14.870000,15.301000,36614000.000000,,14.000000,1.466000,1.510000,21108000.000000,38082000.000000,,,,,,,,,,1.000000,14815522.000000,15254368.000000,,,119227000.000000,2807000.000000,,4939000.000000,7.816000
ARQ,1997-03-31,1997-05-07,1997-03-30,1997-Q1,39514000.000000,250277702.000000,2025-05-04,1310000.000000,126792000.000000,,67984000.000000,58808000.000000,,5.222000,-3016000.000000,19691000.000000,19691000.000000,31266000.000000,4040000.000000,2.388000,0.569000,4200000.000000,600000.000000,3600000.000000,4200000.000000,0.000000,1933000.000000,0.000000,0.000000,0.000000,5534000.000000,7467000.000000,0.168000,7467000.000000,5534000.000000,5534000.000000,0.260000,0.260000,0.260000,80836000.000000,,80836000.000000,234786702.000000,,,1469000.000000,0.095000,1.000000,13074000.000000,0.295000,8715000.000000,0.000000,74116000.000000,,14057000.000000,5711000.000000,946000.000000,4765000.000000,45956000.000000,28470000.000000,17486000.000000,1016000.000000,-900000.000000,306000.000000,0.000000,0.000000,306000.000000,-3906000.000000,10000.000000,4485000.000000,131000.000000,4040000.000000,4040000.000000,4040000.000000,0.000000,0.000000,0.091000,8061000.000000,5013000.000000,12884000.000000,0.000000,3.096000,,,39412000.000000,0.000000,16.810000,,,24809000.000000,42122000.000000,44340000.000000,44340000.000000,2451000.000000,,,,,0.000000,5610000.000000,1.000000,14888620.000000,15480880.000000,15512942.000000,2.864000,118077000.000000,2812000.000000,1494000.000000,6366000.000000,7.627000
ARQ,1997-06-30,1997-08-08,1997-06-29,1997-Q2,42824000.000000,270151846.000000,2025-05-04,1090000.000000,131681000.000000,,71951000.000000,59730000.000000,,5.448000,-2889000.000000,22079000.000000,22079000.000000,32183000.000000,4105000.000000,2.470000,0.549000,4200000.000000,600000.000000,3600000.000000,4200000.000000,0.000000,2254000.000000,0.000000,0.000000,0.000000,5624000.000000,7878000.000000,0.172000,7878000.000000,5624000.000000,5624000.000000,0.265000,0.260000,0.265000,85002000.000000,,85002000.000000,252272846.000000,,,2341000.000000,0.150000,1.000000,13605000.000000,0.297000,8668000.000000,0.000000,76007000.000000,,16001000.000000,5836000.000000,934000.000000,4902000.000000,46679000.000000,29127000.000000,17552000.000000,2388000.000000,-8000.000000,283000.000000,0.000000,0.000000,283000.000000,-2885000.000000,12000.000000,5230000.000000,-240000.000000,4105000.000000,4105000.000000,4105000.000000,0.000000,0.000000,0.090000,8695000.000000,4910000.000000,11921000.000000,0.000000,3.178000,,,40308000.000000,0.000000,18.060000,,,24497000.000000,46227000.000000,45788000.000000,45788000.000000,2516000.000000,,,,,0.000000,6179000.000000,1.000000,14958574.000000,15601080.000000,15724416.000000,2.935000,123013000.000000,2812000.000000,1519000.000000,6203000.000000,7.885000
ARQ,1997-09-30,1997-11-07,1997-09-28,1997-Q3,48633000.000000,305812776.000000,2025-05-04,1030000.000000,147616000.000000,,78268000.000000,69348000.000000,,5.678000,-3759000.000000,20613000.000000,20613000.000000,33359000.000000,4338000.000000,2.641000,0.649000,14959000.000000,600000.000000,14359000.000000,14959000.000000,0.000000,1481000.000000,0.000000,0.000000,0.000000,5942000.000000,7423000.000000,0.155000,7423000.000000,5942000.000000,5942000.000000,0.275000,0.275000,0.275000,89522000.000000,,89522000.000000,300158776.000000,,,-2227000.000000,-0.141000,1.000000,14393000.000000,0.301000,8455000.000000,0.000000,103872000.000000,,16580000.000000,5820000.000000,710000.000000,5110000.000000,58094000.000000,29635000.000000,28459000.000000,-1466000.000000,-10759000.000000,241000.000000,10759000.000000,0.000000,11000000.000000,-14293000.000000,225000.000000,1532000.000000,295000.000000,4338000.000000,4338000.000000,4338000.000000,0.000000,0.000000,0.091000,8828000.000000,5565000.000000,12245000.000000,0.000000,3.416000,,,42296000.000000,0.000000,20.375000,,,28691000.000000,50565000.000000,47752000.000000,47752000.000000,2441000.000000,,,,,0.000000,6387000.000000,1.000000,15009216.000000,15766850.000000,15891984.000000,3.029000,139161000.000000,2814000.000000,1604000.000000,7432000.000000,8.826000
ARQ,1997-12-31,1998-03-20,1997-12-28,1997-Q4,45500000.000000,290055456.000000,2025-05-04,1155000.000000,158440000.000000,,79483000.000000,78957000.000000,,7.287000,-8016000.000000,18791000.000000,18791000.000000,36845000.000000,4017000.000000,2.339000,0.679000,14260000.000000,600000.000000,13660000.000000,14260000.000000,0.000000,946000.000000,0.000000,0.000000,0.000000,4338000.000000,5284000.000000,0.102000,5284000.000000,4338000.000000,4905000.000000,0.305000,0.265000,0.305000,94378000.000000,,94378000.000000,285524456.000000,13.000000,10.178000,-307000.000000,-0.024000,1.000000,14927000.000000,0.288000,14500000.000000,-567000.000000,105426000.000000,,21585000.000000,8137000.000000,2764000.000000,5373000.000000,64062000.000000,33983000.000000,30079000.000000,-1822000.000000,464000.000000,714000.000000,-600000.000000,0.000000,114000.000000,-9607000.000000,-2055000.000000,7709000.000000,-38000.000000,4017000.000000,4017000.000000,4017000.000000,0.000000,0.000000,0.078000,10085000.000000,4842000.000000,16771000.000000,0.000000,3.073000,17.579000,17.281000,52201000.000000,0.000000,19.095000,1.529000,1.505000,28658000.000000,54582000.000000,51772000.000000,51772000.000000,2200000.000000,,,,,0.000000,7885000.000000,1.000000,15190126.000000,12951126.000000,15281544.000000,3.997000,143940000.000000,1936000.000000,888000.000000,6778000.000000,11.114000
ARQ,1998-03-31,1998-05-19,1998-04-05,1998-Q1,45191000.000000,325852581.000000,2025-05-04,213000.000000,164081000.000000,,80468000.000000,83613000.000000,,6.494000,-7397000.000000,14263000.000000,14263000.000000,42233000.000000,4459000.000000,2.281000,0.665000,14260000.000000,600000.000000,13660000.000000,14260000.000000,0.000000,2236000.000000,0.000000,0.000000,0.000000,6280000.000000,8516000.000000,0.146000,8516000.000000,6280000.000000,6280000.000000,0.295000,0.280000,0.295000,98524000.000000,,98524000.000000,325849581.000000,15.000000,11.197000,-4853000.000000,-0.320000,1.000000,16080000.000000,0.276000,14407000.000000,0.000000,114394000.000000,,22650000.000000,8074000.000000,3022000.000000,5052000.000000,65557000.000000,35277000.000000,30280000.000000,-4528000.000000,333000.000000,630000.000000,19000.000000,0.000000,649000.000000,-7322000.000000,-258000.000000,2544000.000000,-399000.000000,4459000.000000,4459000.000000,4459000.000000,0.000000,0.000000,0.076000,9883000.000000,6197000.000000,16399000.000000,0.000000,3.307000,19.260000,18.807000,57280000.000000,0.000000,21.440000,1.600000,1.597000,32825000.000000,59040000.000000,58313000.000000,58313000.000000,2611000.000000,,,,,0.000000,7272000.000000,1.000000,15198348.000000,15172000.000000,15920000.000000,3.843000,149674000.000000,1940000.000000,1821000.000000,8585000.000000,9.865000
ARQ,1998-06-30,1998-08-18,1998-07-05,1998-Q2,40068000.000000,217014532.000000,2025-05-04,330000.000000,165335000.000000,,74283000.000000,91052000.000000,,6.629000,-9606000.000000,10081000.000000,10081000.000000,40242000.000000,2621000.000000,2.171000,0.642000,14260000.000000,600000.000000,13660000.000000,14260000.000000,0.000000,2300000.000000,0.000000,0.000000,0.000000,3691000.000000,5991000.000000,0.112000,5991000.000000,3691000.000000,3691000.000000,0.175000,0.165000,0.175000,100696000.000000,,100696000.000000,221193532.000000,11.000000,8.128000,-3795000.000000,-0.250000,1.000000,13147000.000000,0.246000,14316000.000000,0.000000,120983000.000000,,22262000.000000,8268000.000000,3015000.000000,5253000.000000,64639000.000000,34215000.000000,30424000.000000,-4182000.000000,0.000000,-564000.000000,-2000.000000,0.000000,-566000.000000,-9600000.000000,6000.000000,5811000.000000,173000.000000,2621000.000000,2621000.000000,2621000.000000,0.000000,0.000000,0.049000,10055000.000000,3092000.000000,15902000.000000,0.000000,2.155000,14.060000,13.571000,64659000.000000,0.000000,14.250000,1.027000,1.025000,31323000.000000,61660000.000000,53389000.000000,53389000.000000,2521000.000000,,,,,0.000000,7534000.000000,1.000000,15229090.000000,15190000.000000,15894000.000000,3.515000,151019000.000000,1936000.000000,1070000.000000,7154000.000000,9.942000
ARQ,1998-09-30,1998-11-18,1998-10-04,1998-Q3,34914000.000000,206664787.000000,2025-05-04,1185000.000000,169762000.000000,,70204000.000000,99558000.000000,,6.871000,-8504000.000000,9417000.000000,9417000.000000,38409000.000000,2693000.000000,1.989000,0.627000,13660000.000000,600000.000000,13060000.000000,13660000.000000,0.000000,2447000.000000,0.000000,0.000000,0.000000,3794000.000000,6241000.000000,0.122000,6241000.000000,3794000.000000,3794000.000000,0.180000,0.170000,0.180000,104350000.000000,,104350000.000000,210907787.000000,12.000000,8.102000,544000.000000,0.036000,1.000000,12910000.000000,0.252000,14253000.000000,0.000000,124462000.000000,,19245000.000000,6728000.000000,1369000.000000,5359000.000000,65412000.000000,35290000.000000,30122000.000000,-664000.000000,-2250000.000000,103000.000000,-330000.000000,0.000000,-227000.000000,-9107000.000000,1647000.000000,9048000.000000,-378000.000000,2693000.000000,2693000.000000,2693000.000000,0.000000,0.000000,0.052000,9365000.000000,3545000.000000,13780000.000000,0.000000,1.980000,14.987000,14.199000,72669000.000000,0.000000,13.560000,0.962000,0.959000,32342000.000000,64355000.000000,51319000.000000,51319000.000000,2933000.000000,,,,,0.000000,6432000.000000,1.000000,15240766.000000,15186000.000000,15674000.000000,3.379000,155509000.000000,1938000.000000,1101000.000000,9147000.000000,10.240000
ARQ,1998-12-31,1999-03-25,1999-01-03,1998-Q4,42017000.000000,184815700.000000,2025-05-04,1348000.000000,176174000.000000,,74322000.000000,101852000.000000,,7.222000,-3358000.000000,9593000.000000,9593000.000000,37625000.000000,3998000.000000,2.301000,0.598000,14287000.000000,600000.000000,13687000.000000,14287000.000000,0.000000,1456000.000000,0.000000,0.000000,0.000000,5361000.000000,6817000.000000,0.127000,6817000.000000,5361000.000000,5361000.000000,0.260000,0.255000,0.260000,110231000.000000,,110231000.000000,189509700.000000,10.000000,6.875000,-4836000.000000,-0.317000,1.000000,15928000.000000,0.297000,14935000.000000,0.000000,133628000.000000,,22757000.000000,5723000.000000,256000.000000,5467000.000000,65943000.000000,32305000.000000,33638000.000000,176000.000000,750000.000000,1721000.000000,446000.000000,0.000000,2167000.000000,-1495000.000000,1113000.000000,-1478000.000000,982000.000000,3998000.000000,3998000.000000,3998000.000000,0.000000,0.000000,0.075000,9122000.000000,6806000.000000,17766000.000000,0.000000,1.677000,13.421000,13.398000,74811000.000000,0.000000,12.125000,0.853000,0.851000,32590000.000000,68353000.000000,53553000.000000,53553000.000000,2287000.000000,,,,,0.000000,6835000.000000,1.000000,15242532.000000,15263880.000000,13325880.000000,3.508000,161239000.000000,3481000.000000,1363000.000000,8035000.000000,10.563000
ARQ,1999-03-31,1999-05-14,1999-04-04,1999-Q1,43272000.000000,211136671.000000,2025-05-04,277000.000000,183913000.000000,,80585000.000000,103328000.000000,,7.444000,-2894000.000000,10712000.000000,10712000.000000,46570000.000000,4697000.000000,2.160000,0.623000,14287000.000000,600000.000000,13687000.000000,14287000.000000,0.000000,2980000.000000,0.000000,0.000000,0.000000,6523000.000000,9503000.000000,0.146000,9503000.000000,6523000.000000,6523000.000000,0.310000,0.300000,0.310000,113344000.000000,,113344000.000000,214711671.000000,11.000000,7.520000,4950000.000000,0.325000,1.000000,18334000.000000,0.282000,14855000.000000,0.000000,135320000.000000,,20878000.000000,4843000.000000,0.000000,4843000.000000,70569000.000000,37313000.000000,33256000.000000,1120000.000000,-3565000.000000,-512000.000000,164000.000000,0.000000,-348000.000000,-6203000.000000,256000.000000,7844000.000000,-173000.000000,4697000.000000,4697000.000000,4697000.000000,0.000000,0.000000,0.072000,11477000.000000,6857000.000000,17204000.000000,0.000000,1.863000,15.072000,14.930000,77088000.000000,0.000000,13.810000,0.946000,0.942000,39741000.000000,73049000.000000,64904000.000000,64904000.000000,2624000.000000,,,,,0.000000,8853000.000000,1.000000,15288680.000000,15226000.000000,15684000.000000,4.263000,169058000.000000,3444000.000000,1826000.000000,10174000.000000,11.103000
