dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2020-06-30,2020-09-28,2020-07-23,2021-Q1,,,2025-02-10,0.000000,77000.000000,,,,,0.002000,0.000000,0.000000,0.000000,0.000000,-3000.000000,,2.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,-3000.000000,-3000.000000,,-3000.000000,-3000.000000,-3000.000000,0.000000,0.000000,0.000000,22000.000000,,22000.000000,,,,0.000000,0.000000,1.000000,0.000000,,0.000000,0.000000,22000.000000,,0.000000,0.000000,,,55000.000000,55000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3000.000000,-3000.000000,-3000.000000,0.000000,0.000000,,3000.000000,-3000.000000,0.000000,,,,,0.000000,0.000000,,,,0.000000,-3000.000000,0.000000,0.000000,0.000000,,,,,0.000000,3000.000000,1.000000,62500000.000000,12500000.000000,12500000.000000,0.000000,77000.000000,0.000000,0.000000,0.000000,0.006000
ARQ,2020-09-30,2020-11-19,2020-09-30,2021-Q2,-543906.000000,526243948.000000,2025-02-10,0.000000,532415.000000,,34130.000000,498285.000000,,-0.004000,0.000000,18130.000000,18130.000000,0.000000,-70621.000000,0.059000,-12.670000,200000.000000,200000.000000,0.000000,200000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-70621.000000,-70621.000000,,-70621.000000,-70621.000000,-70621.000000,-0.010000,-0.010000,-0.010000,-45621.000000,,-45621.000000,526425818.000000,,,-35.000000,0.000000,1.000000,0.000000,,0.000000,0.000000,136249.000000,,0.000000,0.000000,0.000000,0.000000,578036.000000,578036.000000,0.000000,18130.000000,0.000000,0.000000,200000.000000,0.000000,18165.000000,0.000000,0.000000,-35.000000,0.000000,-70621.000000,-70621.000000,-70621.000000,0.000000,0.000000,,70621.000000,-70621.000000,32817.000000,0.000000,-11535.125000,,,0.000000,0.000000,10.010000,,,0.000000,-70621.000000,0.000000,0.000000,0.000000,,,,,0.000000,23448.000000,1.000000,52571823.000000,10214363.000000,10214363.000000,0.000000,532415.000000,0.000000,0.000000,47173.000000,0.052000
ARQ,2020-12-31,2021-03-22,2020-12-31,2020-Q4,1424738.000000,500562845.000000,2025-02-10,0.000000,412780872.000000,,1977461.000000,410803411.000000,,0.455000,,1696491.000000,1696491.000000,,,3.578000,2.986000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,,,,,,,,,,5000001.000000,,5000001.000000,498866354.000000,-1349.000000,-1349.403000,,,1.000000,,,0.000000,,410531658.000000,,0.000000,410803411.000000,0.000000,410803411.000000,14927861.000000,552723.000000,14375138.000000,,,,,,,,,,,,,,,,,,,207029.000000,,100.113000,-1295.442000,-243.750000,0.000000,,9.750000,,,4877.000000,-386403.000000,,,,,,,,,,1.000000,51339779.000000,10985515.000000,,,412780872.000000,0.000000,,105292.000000,37.575000
ARQ,2020-12-31,2021-05-14,2020-12-31,2020-Q4,1424738.000000,506210221.000000,2025-02-10,0.000000,412780872.000000,,1977461.000000,410803411.000000,,0.375000,,1696491.000000,1696491.000000,,,3.578000,12.805000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,,,,,,,,,,5000001.000000,,5000001.000000,504513730.000000,-47.000000,-46.898000,,,1.000000,,,0.000000,,410531658.000000,,0.000000,410803411.000000,0.000000,410803411.000000,64025091.000000,552723.000000,63472368.000000,,,,,,,,,,,,,,,,,,,207029.000000,,101.242000,-46.983000,-12.173000,0.000000,,9.860000,,,4877.000000,-10774318.000000,,,,,,,,,,1.000000,51339779.000000,13324191.000000,,,412780872.000000,0.000000,,105292.000000,30.980000
ARQ,2021-03-31,2021-05-20,2021-03-31,2021-Q4,-2503247.000000,505696823.000000,2025-02-10,0.000000,412490902.000000,,1699907.000000,410790995.000000,,0.295000,0.000000,1463385.000000,1463385.000000,0.000000,19019100.000000,0.404000,8.943000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,19038604.000000,19038604.000000,,19038604.000000,19038604.000000,19038604.000000,1.120000,1.120000,1.120000,5000010.000000,,5000010.000000,504233438.000000,,,-237983.000000,-0.014000,1.000000,0.000000,,0.000000,0.000000,406824363.000000,,0.000000,410790995.000000,0.000000,410790995.000000,44716022.000000,4203154.000000,40512868.000000,-233106.000000,0.000000,0.000000,0.000000,0.000000,4877.000000,0.000000,0.000000,-237983.000000,0.000000,19019100.000000,19019100.000000,19019100.000000,0.000000,0.000000,,4013773.000000,-4013773.000000,113460.000000,0.000000,101.139000,,,0.000000,0.000000,9.850000,,,0.000000,4998504.000000,0.000000,0.000000,0.000000,,,,,0.000000,3964458.000000,1.000000,51339779.000000,16943069.000000,16943069.000000,0.000000,412490902.000000,0.000000,19504.000000,68819.000000,24.346000
ARQ,2021-03-31,2021-08-09,2021-03-31,2021-Q4,1968034000.000000,6782836719.000000,2025-02-10,1445000.000000,2589692000.000000,,2186995000.000000,402697000.000000,,8.350000,,2132745000.000000,2132745000.000000,,,9.988000,0.294000,244977000.000000,12313000.000000,232664000.000000,244977000.000000,0.000000,,0.000000,0.000000,0.000000,,,,,,,,,,1797788000.000000,,1797788000.000000,4895068719.000000,-6.000000,-6.062000,,,1.000000,,,0.000000,,482963000.000000,,0.000000,298472000.000000,0.000000,298472000.000000,527687000.000000,218961000.000000,308726000.000000,,,,,,,,,,,,,,,,,,,20550000.000000,,3.773000,-8.382000,-2.634000,77028000.000000,,9.905000,285.053000,89.627000,0.000000,-1918462000.000000,,,,,,,,,,1.000000,684789169.000000,215312273.000000,,,2589692000.000000,0.000000,,0.000000,12.028000
ARQ,2021-06-30,2021-09-21,2021-06-30,2022-Q1,1848451000.000000,6841043798.000000,2025-02-10,-1207000.000000,2454697000.000000,,2057609000.000000,397088000.000000,,7.759000,-2339000.000000,1999444000.000000,1999444000.000000,742000.000000,-101078000.000000,9.838000,0.276000,263668000.000000,12055000.000000,251613000.000000,263668000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-82090000.000000,-82090000.000000,-10.613000,-82090000.000000,-82090000.000000,-82090000.000000,-0.370000,-0.370000,-0.370000,1723122000.000000,,1723122000.000000,5105267798.000000,,,-143509000.000000,-0.646000,1.000000,6993000.000000,0.904000,0.000000,0.000000,509763000.000000,,0.000000,289855000.000000,0.000000,289855000.000000,474865000.000000,209158000.000000,265707000.000000,-133299000.000000,0.000000,0.000000,14810000.000000,0.000000,10210000.000000,-2339000.000000,0.000000,-141170000.000000,0.000000,-82183000.000000,-82183000.000000,-82183000.000000,0.000000,-18895000.000000,-10.625000,161380000.000000,-154387000.000000,15014000.000000,0.000000,3.970000,,,80713000.000000,0.000000,9.990000,,,0.000000,-2000645000.000000,7735000.000000,7735000.000000,78626000.000000,,,,,19269000.000000,82754000.000000,1.000000,684789169.000000,222081975.000000,222081975.000000,0.035000,2454697000.000000,0.000000,93000.000000,0.000000,11.053000
ARQ,2021-09-30,2021-11-15,2021-09-30,2022-Q2,2252310000.000000,5533096486.000000,2025-02-10,1281000.000000,3102906000.000000,,2555754000.000000,547152000.000000,,3.134000,-2761000.000000,2500191000.000000,2500191000.000000,6381000.000000,-225640000.000000,8.422000,0.320000,276608000.000000,11518000.000000,265090000.000000,276608000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-208080000.000000,-208080000.000000,-14.877000,-208080000.000000,-208080000.000000,-208080000.000000,-0.320000,-0.320000,-0.320000,2038015000.000000,,2038015000.000000,3309513486.000000,-3.000000,-3.015000,-123357000.000000,-0.190000,1.000000,7606000.000000,0.544000,0.000000,0.000000,575879000.000000,,0.000000,445713000.000000,0.000000,445713000.000000,652007000.000000,303444000.000000,348563000.000000,500747000.000000,0.000000,211177000.000000,0.000000,0.000000,303934000.000000,317409000.000000,320170000.000000,-120596000.000000,0.000000,-208481000.000000,-208481000.000000,-208481000.000000,0.000000,-17159000.000000,-14.905000,692035000.000000,-684429000.000000,77158000.000000,0.000000,2.715000,-5.031000,-1.924000,80102000.000000,0.000000,8.080000,121.561000,115.393000,0.000000,-2209126000.000000,13987000.000000,13987000.000000,254259000.000000,,,,,397312000.000000,437776000.000000,1.000000,684789169.000000,650225764.000000,650225764.000000,0.022000,3102906000.000000,0.000000,401000.000000,0.000000,4.772000
ARQ,2021-09-30,2021-12-22,2021-09-30,2022-Q2,2252310000.000000,8114751653.000000,2025-02-10,1281000.000000,3102906000.000000,,2555754000.000000,547152000.000000,,3.134000,-2761000.000000,2500191000.000000,2500191000.000000,6381000.000000,-225640000.000000,8.422000,0.320000,276608000.000000,11518000.000000,265090000.000000,276608000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-208080000.000000,-208080000.000000,-14.877000,-208080000.000000,-208080000.000000,-208080000.000000,-0.320000,-0.320000,-0.320000,2038015000.000000,,2038015000.000000,5891168653.000000,-5.000000,-5.367000,-123357000.000000,-0.190000,1.000000,7606000.000000,0.544000,0.000000,0.000000,575879000.000000,,0.000000,445713000.000000,0.000000,445713000.000000,652007000.000000,303444000.000000,348563000.000000,500747000.000000,0.000000,211177000.000000,0.000000,0.000000,303934000.000000,317409000.000000,320170000.000000,-120596000.000000,0.000000,-208481000.000000,-208481000.000000,-208481000.000000,0.000000,-17159000.000000,-14.905000,692035000.000000,-684429000.000000,77158000.000000,0.000000,3.982000,-7.378000,-2.821000,80102000.000000,0.000000,11.850000,178.280000,169.233000,0.000000,-2209126000.000000,13987000.000000,13987000.000000,254259000.000000,,,,,397312000.000000,437776000.000000,1.000000,684789169.000000,650225764.000000,650225764.000000,0.022000,3102906000.000000,0.000000,401000.000000,0.000000,4.772000
ARQ,2021-12-31,2022-02-14,2021-12-31,2022-Q3,2126820000.000000,4982919725.000000,2025-02-10,-1070000.000000,2799375000.000000,,2287533000.000000,511842000.000000,,2.717000,-6073000.000000,2217199000.000000,2217199000.000000,1384000.000000,-306085000.000000,14.234000,0.284000,277374000.000000,11241000.000000,266133000.000000,277374000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-284498000.000000,-284498000.000000,-11.688000,-284498000.000000,-284498000.000000,-284498000.000000,-0.410000,-0.410000,-0.410000,1865720000.000000,,1865720000.000000,3043094725.000000,-5.000000,-5.477000,-274567000.000000,-0.400000,1.000000,22957000.000000,0.943000,0.000000,0.000000,698837000.000000,,0.000000,407679000.000000,0.000000,407679000.000000,529622000.000000,160713000.000000,368909000.000000,-282989000.000000,0.000000,0.000000,0.000000,0.000000,-8422000.000000,-6073000.000000,0.000000,-268494000.000000,0.000000,-284536000.000000,-284536000.000000,-284536000.000000,0.000000,-21549000.000000,-11.690000,268980000.000000,-246023000.000000,24358000.000000,0.000000,2.671000,-8.959000,360.000000,83288000.000000,0.000000,7.200000,108.176000,107.319000,0.000000,-2493662000.000000,24341000.000000,24341000.000000,153450000.000000,,,,,71216000.000000,115530000.000000,1.000000,692072184.000000,686589478.000000,686589478.000000,0.035000,2799375000.000000,0.000000,38000.000000,0.000000,4.077000
