dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2019-12-31,2020-10-26,2019-12-31,2019-Q4,,,2025-05-07,600000.000000,728600000.000000,,,,,-198.619000,,416600000.000000,416600000.000000,,,,-1.450000,192200000.000000,,,192200000.000000,145400000.000000,,0.000000,,0.000000,,,,,,,,,,-374000000.000000,,-374000000.000000,,,,,,1.000000,,,0.000000,,504200000.000000,,0.000000,122800000.000000,,,542200000.000000,,,,,,,,,,,,,,,,,,,,,55500000.000000,,,,,10200000.000000,,,,,165400000.000000,-385000000.000000,,,,,,,,,,1.000000,13880531.000000,1883000.000000,,,728600000.000000,0.000000,,0.000000,386.936000
ARQ,2020-06-30,2020-10-27,2020-06-30,2020-Q2,,,2025-05-07,5500000.000000,706800000.000000,,,,,-35.100000,,241900000.000000,241900000.000000,,,,-1.300000,190100000.000000,,,190100000.000000,156100000.000000,,0.000000,,0.000000,,,,,,,,,,-487200000.000000,,-487200000.000000,,,,,,1.000000,,,0.000000,,655000000.000000,,0.000000,222400000.000000,,,633600000.000000,,,,,,,,,,,,,,,,,,,,,89300000.000000,,,,,10200000.000000,,,,,213600000.000000,-529500000.000000,,,,,,,,,,1.000000,13880531.000000,13880531.000000,,,706800000.000000,0.000000,,0.000000,50.920000
ARQ,2020-09-30,2020-12-02,2020-09-30,2020-Q3,,3686738332.000000,2025-05-07,5600000.000000,838500000.000000,,,,,-264.564000,-1700000.000000,218800000.000000,218800000.000000,76100000.000000,-85200000.000000,,-1.488000,220000000.000000,,,220000000.000000,165100000.000000,3500000.000000,0.000000,0.000000,0.000000,-65700000.000000,-62200000.000000,-1.232000,-62200000.000000,-65700000.000000,-85200000.000000,-39.600000,-39.600000,-39.600000,-570400000.000000,,-570400000.000000,3687938332.000000,,,-34100000.000000,-15.816000,1.000000,-25600000.000000,-0.507000,0.000000,19500000.000000,839700000.000000,,0.000000,224500000.000000,,,848500000.000000,,,-23100000.000000,0.000000,1100000.000000,12000000.000000,0.000000,13100000.000000,-3800000.000000,-2100000.000000,-32400000.000000,0.000000,-85200000.000000,-85200000.000000,-85200000.000000,0.000000,0.000000,-1.687000,40100000.000000,-65700000.000000,227900000.000000,0.000000,-6.463000,,,9600000.000000,0.000000,264.600000,,,361600000.000000,-614700000.000000,50500000.000000,50500000.000000,12900000.000000,,,,,800000.000000,53500000.000000,1.000000,13933238.000000,2156000.000000,2156000.000000,23.423000,838500000.000000,0.000000,0.000000,0.000000,388.915000
ARQ,2020-12-31,2021-03-04,2020-12-31,2020-Q4,,3382782655.000000,2025-05-07,5600000.000000,1762300000.000000,,,,,246.161000,-1600000.000000,1113800000.000000,1113800000.000000,59500000.000000,-133300000.000000,,0.707000,188200000.000000,,,188200000.000000,157100000.000000,5000000.000000,0.000000,0.000000,0.000000,-88500000.000000,-83500000.000000,-1.640000,-83500000.000000,-88500000.000000,-133300000.000000,20.340000,20.340000,20.340000,1032400000.000000,,1032400000.000000,2457182655.000000,-9.000000,-9.111000,-194000000.000000,-46.257000,1.000000,-8600000.000000,-0.169000,0.000000,44800000.000000,836700000.000000,,0.000000,224500000.000000,,,729900000.000000,,,895000000.000000,0.000000,1098800000.000000,-400000.000000,0.000000,1098400000.000000,-11000000.000000,-500000.000000,-192400000.000000,0.000000,-133300000.000000,-133300000.000000,-133300000.000000,0.000000,0.000000,-2.619000,79900000.000000,-88500000.000000,137100000.000000,0.000000,3.277000,-9.319000,-2.794000,0.000000,0.000000,241.920000,9.754000,2.926000,367700000.000000,-748000000.000000,50900000.000000,50900000.000000,12700000.000000,,,,,1800000.000000,69300000.000000,1.000000,13983049.000000,4194000.000000,4194000.000000,12.136000,1762300000.000000,0.000000,0.000000,0.000000,420.196000
ARQ,2021-03-31,2021-05-06,2021-03-31,2021-Q1,,2584924283.000000,2025-05-07,2100000.000000,1704200000.000000,,,,,68.058000,-2000000.000000,1107300000.000000,1107300000.000000,59900000.000000,-99600000.000000,,0.824000,192200000.000000,,,192200000.000000,199400000.000000,3500000.000000,0.000000,0.000000,0.000000,-94300000.000000,-90800000.000000,-1.324000,-90800000.000000,-94300000.000000,-99600000.000000,-7.200000,-7.200000,-7.200000,934300000.000000,,934300000.000000,1669824283.000000,,,-92900000.000000,-6.767000,1.000000,8700000.000000,0.127000,0.000000,5300000.000000,789100000.000000,,0.000000,139800000.000000,,,769900000.000000,,,-6500000.000000,0.000000,3300000.000000,-200000.000000,0.000000,3100000.000000,81300000.000000,83300000.000000,-90900000.000000,0.000000,-99600000.000000,-99600000.000000,-99600000.000000,0.000000,0.000000,-1.452000,103000000.000000,-94300000.000000,116200000.000000,0.000000,2.767000,,,0.000000,0.000000,183.960000,,,392300000.000000,-847600000.000000,68600000.000000,68600000.000000,13800000.000000,,,,,2300000.000000,86800000.000000,1.000000,14051542.000000,13728000.000000,13728000.000000,4.997000,1704200000.000000,0.000000,0.000000,0.000000,124.140000
ARQ,2021-06-30,2021-08-12,2021-06-30,2021-Q2,,1405472815.000000,2025-05-07,2100000.000000,1587700000.000000,,,,,55.106000,-2700000.000000,974100000.000000,974100000.000000,110200000.000000,-178600000.000000,,1.084000,197100000.000000,,,197100000.000000,195800000.000000,3700000.000000,0.000000,0.000000,0.000000,-172100000.000000,-168400000.000000,-1.875000,-168400000.000000,-172100000.000000,-178600000.000000,-12.960000,-12.960000,-12.960000,762000000.000000,,762000000.000000,628472815.000000,-1.000000,-1.552000,-138300000.000000,-10.001000,1.000000,-20400000.000000,-0.227000,0.000000,6500000.000000,810700000.000000,,0.000000,135500000.000000,,,825700000.000000,,,-133200000.000000,0.000000,1400000.000000,-300000.000000,0.000000,1100000.000000,1300000.000000,4000000.000000,-135600000.000000,0.000000,-178600000.000000,-178600000.000000,-178600000.000000,0.000000,0.000000,-1.989000,151700000.000000,-172100000.000000,139400000.000000,0.000000,1.844000,-2.830000,-2.530000,0.000000,0.000000,99.720000,5.410000,5.308000,413700000.000000,-1026200000.000000,89800000.000000,89800000.000000,17500000.000000,,,,,4900000.000000,135700000.000000,1.000000,14094178.000000,13828000.000000,13828000.000000,6.494000,1587700000.000000,0.000000,0.000000,0.000000,114.818000
ARQ,2021-09-30,2021-11-10,2021-09-30,2021-Q3,,1179175000.000000,2025-05-07,1600000.000000,1524500000.000000,,,,,45.755000,-2400000.000000,835100000.000000,835100000.000000,114400000.000000,-133000000.000000,,1.397000,201700000.000000,,,201700000.000000,210900000.000000,3800000.000000,0.000000,0.000000,0.000000,-126900000.000000,-123100000.000000,-1.312000,-123100000.000000,-126900000.000000,-133000000.000000,-9.540000,-9.540000,-9.540000,636000000.000000,,636000000.000000,545775000.000000,-1.000000,-1.172000,-140200000.000000,-10.086000,1.000000,-20600000.000000,-0.220000,0.000000,6100000.000000,891100000.000000,,0.000000,132100000.000000,,,888500000.000000,,,-139000000.000000,0.000000,-1700000.000000,-200000.000000,0.000000,-1900000.000000,700000.000000,3100000.000000,-137800000.000000,0.000000,-133000000.000000,-133000000.000000,-133000000.000000,0.000000,0.000000,-1.418000,106300000.000000,-126900000.000000,130500000.000000,0.000000,1.854000,-2.166000,-8.981000,0.000000,0.000000,84.060000,3.890000,3.855000,466900000.000000,-1159200000.000000,93800000.000000,93800000.000000,18000000.000000,,,,,7500000.000000,92800000.000000,1.000000,14027764.000000,13900000.000000,13900000.000000,6.748000,1524500000.000000,0.000000,0.000000,0.000000,109.676000
ARQ,2021-12-31,2022-02-23,2021-12-31,2021-Q4,,368300000.000000,2025-05-07,400000.000000,1319300000.000000,,,,,38.562000,-4100000.000000,707000000.000000,707000000.000000,107800000.000000,-109900000.000000,,1.251000,0.000000,,,0.000000,180100000.000000,5600000.000000,0.000000,0.000000,0.000000,-107800000.000000,-102200000.000000,-1.097000,-102200000.000000,-107800000.000000,-109900000.000000,-7.920000,-7.920000,-7.920000,536400000.000000,,536400000.000000,-338700000.000000,1.000000,0.699000,-43200000.000000,-3.106000,1.000000,-14600000.000000,-0.157000,0.000000,2100000.000000,612300000.000000,,0.000000,134600000.000000,,,670900000.000000,,,-128100000.000000,0.000000,200000.000000,-198800000.000000,0.000000,-82600000.000000,-6400000.000000,-2300000.000000,-39100000.000000,0.000000,-109900000.000000,-109900000.000000,-109900000.000000,0.000000,0.000000,-1.179000,77300000.000000,-91900000.000000,130700000.000000,0.000000,0.687000,-0.707000,-0.694000,0.000000,0.000000,26.100000,1.066000,1.046000,403900000.000000,-1270100000.000000,93200000.000000,93200000.000000,16200000.000000,,,,,13400000.000000,52500000.000000,1.000000,14111097.000000,13910000.000000,13910000.000000,6.700000,1319300000.000000,0.000000,0.000000,0.000000,94.845000
ARQ,2022-03-31,2022-05-04,2022-03-31,2022-Q1,,483550000.000000,2025-05-07,-3300000.000000,1563200000.000000,,,,,33.519000,-2700000.000000,935700000.000000,935700000.000000,96700000.000000,-76400000.000000,,2.096000,290800000.000000,,,290800000.000000,192500000.000000,3600000.000000,0.000000,0.000000,0.000000,-70900000.000000,-67300000.000000,-0.788000,-67300000.000000,-70900000.000000,-76400000.000000,-5.400000,-5.400000,-5.400000,468700000.000000,,468700000.000000,-161350000.000000,0.000000,0.350000,-53900000.000000,-3.855000,1.000000,-11300000.000000,-0.132000,0.000000,5500000.000000,918300000.000000,,0.000000,134000000.000000,,,982500000.000000,,,228700000.000000,0.000000,200000.000000,286000000.000000,0.000000,286200000.000000,-6300000.000000,-2300000.000000,-51200000.000000,0.000000,-76400000.000000,-76400000.000000,-76400000.000000,0.000000,0.000000,-0.895000,59600000.000000,-70900000.000000,150300000.000000,0.000000,1.032000,-0.971000,-0.955000,0.000000,0.000000,34.200000,1.335000,1.320000,423200000.000000,-1346500000.000000,85400000.000000,85400000.000000,13900000.000000,,,,,11900000.000000,44700000.000000,1.000000,14138875.000000,13983000.000000,13983000.000000,6.107000,1563200000.000000,0.000000,0.000000,0.000000,111.793000
ARQ,2022-06-30,2022-08-08,2022-06-30,2022-Q2,,349350000.000000,2025-05-07,-4600000.000000,1479800000.000000,,,,,27.604000,-2600000.000000,886600000.000000,886600000.000000,95700000.000000,-89900000.000000,,2.525000,292300000.000000,,,292300000.000000,161900000.000000,3000000.000000,0.000000,0.000000,0.000000,-80700000.000000,-77700000.000000,-0.966000,-77700000.000000,-80700000.000000,-89900000.000000,-6.480000,-6.480000,-6.480000,388000000.000000,,388000000.000000,-244950000.000000,1.000000,0.661000,-56300000.000000,-4.005000,1.000000,-15300000.000000,-0.190000,0.000000,9200000.000000,885500000.000000,,0.000000,125200000.000000,,,979800000.000000,,,-49100000.000000,0.000000,100000.000000,0.000000,0.000000,100000.000000,4500000.000000,7100000.000000,-53700000.000000,0.000000,-89900000.000000,-89900000.000000,-89900000.000000,0.000000,0.000000,-1.118000,65400000.000000,-80700000.000000,161700000.000000,0.000000,0.900000,-0.854000,-0.840000,0.000000,0.000000,24.660000,0.990000,0.982000,382100000.000000,-1436400000.000000,80400000.000000,80400000.000000,17900000.000000,,,,,10900000.000000,55300000.000000,1.000000,14166652.000000,14056000.000000,14056000.000000,5.720000,1479800000.000000,0.000000,0.000000,0.000000,105.279000
