dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,1993-12-31,1994-03-31,1993-12-31,1993-Q4,786000000.000000,7866332483.000000,2025-04-22,-266000000.000000,15618000000.000000,,7706000000.000000,7912000000.000000,,3.552000,,421000000.000000,421000000.000000,,,1.114000,3.341000,2959000000.000000,1020000000.000000,1939000000.000000,2959000000.000000,0.000000,,0.000000,0.029000,0.056000,,,,,,,,,,3598000000.000000,,3598000000.000000,10404332483.000000,10.000000,5.508000,,,1.000000,,,544000000.000000,,10692000000.000000,,3153000000.000000,457000000.000000,0.000000,457000000.000000,12020000000.000000,6920000000.000000,5100000000.000000,,,,,,,,,,,,,,,,,,,1815000000.000000,,2.186000,17.717000,17.611000,4565000000.000000,,7.766000,0.373000,0.373000,2981000000.000000,2466000000.000000,,,,,,,,,,1.000000,1012886848.000000,1012886848.000000,,,15074000000.000000,1492000000.000000,,491000000.000000,14.882000
ARQ,1994-03-31,1994-05-04,1994-03-31,1994-Q1,1078000000.000000,8156285897.000000,2025-04-22,-311000000.000000,15654000000.000000,,7877000000.000000,7777000000.000000,,3.514000,-128000000.000000,399000000.000000,399000000.000000,3735000000.000000,106000000.000000,1.159000,3.306000,3086000000.000000,1149000000.000000,1937000000.000000,3086000000.000000,0.000000,204000000.000000,0.000000,0.028000,0.056000,237000000.000000,441000000.000000,0.091000,441000000.000000,237000000.000000,181000000.000000,0.091000,0.089000,0.091000,3635000000.000000,,3635000000.000000,10843285897.000000,,,-116000000.000000,-0.112000,1.000000,1103000000.000000,0.228000,0.000000,56000000.000000,11542000000.000000,,3432000000.000000,0.000000,0.000000,0.000000,12019000000.000000,6799000000.000000,5220000000.000000,-22000000.000000,0.000000,0.000000,128000000.000000,-68000000.000000,96000000.000000,-113000000.000000,0.000000,12000000.000000,-17000000.000000,106000000.000000,95000000.000000,95000000.000000,0.000000,0.000000,0.020000,843000000.000000,260000000.000000,1525000000.000000,0.615000,2.244000,,,4513000000.000000,11000000.000000,8.031000,,,3011000000.000000,2504000000.000000,4838000000.000000,4838000000.000000,240000000.000000,,,,,0.000000,603000000.000000,1.000000,1015568672.000000,1034568000.000000,1135536000.000000,4.676000,15654000000.000000,736000000.000000,75000000.000000,173000000.000000,15.131000
ARQ,1994-06-30,1994-08-10,1994-06-30,1994-Q2,1401000000.000000,7862936940.000000,2025-04-22,-301000000.000000,15846000000.000000,,8227000000.000000,7619000000.000000,,3.583000,-162000000.000000,567000000.000000,567000000.000000,4202000000.000000,172000000.000000,1.205000,3.275000,3190000000.000000,1236000000.000000,1954000000.000000,3190000000.000000,0.000000,211000000.000000,0.000000,0.029000,0.056000,352000000.000000,563000000.000000,0.103000,563000000.000000,352000000.000000,289000000.000000,0.156000,0.147000,0.156000,3707000000.000000,,3707000000.000000,10485936940.000000,,,-36000000.000000,-0.035000,1.000000,1287000000.000000,0.234000,0.000000,63000000.000000,11643000000.000000,,3276000000.000000,0.000000,0.000000,0.000000,12139000000.000000,6826000000.000000,5313000000.000000,168000000.000000,144000000.000000,-52000000.000000,88000000.000000,-67000000.000000,-35000000.000000,82000000.000000,0.000000,126000000.000000,-5000000.000000,172000000.000000,161000000.000000,161000000.000000,0.000000,0.000000,0.029000,909000000.000000,378000000.000000,1599000000.000000,0.359000,2.121000,,,4467000000.000000,11000000.000000,7.781000,,,3454000000.000000,2609000000.000000,5489000000.000000,5489000000.000000,261000000.000000,,,,,0.000000,648000000.000000,1.000000,1010497920.000000,1034496000.000000,1135096000.000000,5.306000,15846000000.000000,687000000.000000,117000000.000000,198000000.000000,15.318000
ARQ,1994-09-30,1994-11-14,1994-09-30,1994-Q3,1259000000.000000,7354851441.000000,2025-04-22,-250000000.000000,15696000000.000000,,7903000000.000000,7793000000.000000,,3.682000,-199000000.000000,544000000.000000,544000000.000000,4013000000.000000,194000000.000000,1.189000,3.163000,2808000000.000000,914000000.000000,1894000000.000000,2808000000.000000,0.000000,208000000.000000,0.000000,0.040000,0.125000,371000000.000000,579000000.000000,0.110000,579000000.000000,371000000.000000,312000000.000000,0.179000,0.169000,0.179000,3770000000.000000,,3770000000.000000,9618851441.000000,,,563000000.000000,0.550000,1.000000,1240000000.000000,0.236000,0.000000,59000000.000000,11316000000.000000,,3139000000.000000,0.000000,0.000000,0.000000,11926000000.000000,6644000000.000000,5282000000.000000,-23000000.000000,-12000000.000000,-112000000.000000,-385000000.000000,-74000000.000000,-535000000.000000,-274000000.000000,0.000000,762000000.000000,24000000.000000,194000000.000000,184000000.000000,184000000.000000,0.000000,0.000000,0.035000,840000000.000000,400000000.000000,1613000000.000000,0.698000,1.951000,,,4480000000.000000,10000000.000000,7.375000,,,3439000000.000000,2730000000.000000,5253000000.000000,5253000000.000000,229000000.000000,,,,,0.000000,611000000.000000,1.000000,997267992.000000,1023800000.000000,1123768000.000000,5.131000,15696000000.000000,619000000.000000,118000000.000000,195000000.000000,15.331000
ARQ,1994-12-31,1995-03-29,1994-12-31,1994-Q4,1675000000.000000,8498086782.000000,2025-04-22,-239000000.000000,15624000000.000000,,8228000000.000000,7396000000.000000,,3.808000,-254000000.000000,386000000.000000,386000000.000000,4382000000.000000,220000000.000000,1.256000,3.164000,2443000000.000000,558000000.000000,1885000000.000000,2443000000.000000,0.000000,217000000.000000,0.000000,0.028000,0.062000,284000000.000000,501000000.000000,0.089000,501000000.000000,284000000.000000,187000000.000000,0.124000,0.145000,0.124000,3752000000.000000,,3752000000.000000,10555086782.000000,8.000000,5.065000,203000000.000000,0.206000,1.000000,1235000000.000000,0.220000,0.000000,97000000.000000,11128000000.000000,,2955000000.000000,0.000000,0.000000,0.000000,11872000000.000000,6553000000.000000,5319000000.000000,-158000000.000000,25000000.000000,-106000000.000000,-392000000.000000,-29000000.000000,-624000000.000000,16000000.000000,0.000000,457000000.000000,-7000000.000000,113000000.000000,123000000.000000,123000000.000000,0.000000,107000000.000000,0.022000,922000000.000000,313000000.000000,1924000000.000000,0.500000,2.265000,15.094000,15.682000,4532000000.000000,-10000000.000000,8.625000,0.401000,0.401000,3745000000.000000,2790000000.000000,5617000000.000000,5617000000.000000,248000000.000000,,,,,119000000.000000,674000000.000000,1.000000,985285424.000000,985285424.000000,,5.701000,15624000000.000000,1523000000.000000,74000000.000000,196000000.000000,15.857000
ARQ,1995-06-30,1995-08-03,1995-06-30,1995-Q2,2160000000.000000,10290148134.000000,2025-04-22,-251000000.000000,15826000000.000000,,8600000000.000000,7226000000.000000,,3.749000,,755000000.000000,755000000.000000,4486000000.000000,218000000.000000,1.335000,3.029000,2239000000.000000,486000000.000000,1753000000.000000,2239000000.000000,0.000000,,0.000000,0.024000,0.062000,417000000.000000,,,,417000000.000000,350000000.000000,0.206000,0.206000,0.206000,3928000000.000000,,3928000000.000000,11774148134.000000,,,,,1.000000,1354000000.000000,0.232000,0.000000,67000000.000000,10870000000.000000,,3148000000.000000,0.000000,0.000000,0.000000,11898000000.000000,6440000000.000000,5458000000.000000,,,,,,,,,,,218000000.000000,211000000.000000,211000000.000000,0.000000,0.000000,0.036000,905000000.000000,449000000.000000,1858000000.000000,0.301000,2.620000,,,4454000000.000000,7000000.000000,10.438000,,,3566000000.000000,3004000000.000000,5840000000.000000,5840000000.000000,233000000.000000,,,,,,672000000.000000,1.000000,985882456.000000,1047712000.000000,1047712000.000000,5.574000,15826000000.000000,932000000.000000,132000000.000000,0.000000,15.105000
ARQ,1995-09-30,1995-10-31,1995-09-30,1995-Q3,2278000000.000000,10828196155.000000,2025-04-22,-254000000.000000,15741000000.000000,,8636000000.000000,7105000000.000000,,3.776000,-155000000.000000,904000000.000000,904000000.000000,4325000000.000000,210000000.000000,1.358000,2.983000,2064000000.000000,357000000.000000,1707000000.000000,2064000000.000000,0.000000,200000000.000000,0.000000,0.023000,0.062000,398000000.000000,598000000.000000,0.106000,598000000.000000,398000000.000000,341000000.000000,0.200000,0.200000,0.200000,3952000000.000000,,3952000000.000000,11988196155.000000,,,514000000.000000,0.491000,1.000000,1326000000.000000,0.235000,0.000000,57000000.000000,10543000000.000000,,2957000000.000000,0.000000,0.000000,0.000000,11789000000.000000,6358000000.000000,5431000000.000000,149000000.000000,-119000000.000000,-125000000.000000,-153000000.000000,-62000000.000000,-343000000.000000,-165000000.000000,0.000000,669000000.000000,-12000000.000000,210000000.000000,203000000.000000,203000000.000000,0.000000,0.000000,0.036000,893000000.000000,433000000.000000,1851000000.000000,0.310000,2.740000,,,4349000000.000000,7000000.000000,11.094000,,,3713000000.000000,3143000000.000000,5651000000.000000,5651000000.000000,251000000.000000,,,,,13000000.000000,642000000.000000,1.000000,976062752.000000,1046504000.000000,1046504000.000000,5.400000,15741000000.000000,860000000.000000,131000000.000000,0.000000,15.042000
ARQ,1995-12-31,1996-03-28,1995-12-31,1995-Q4,2293000000.000000,14150461732.000000,2025-04-22,-312000000.000000,15958000000.000000,,8952000000.000000,7006000000.000000,,4.129000,-294000000.000000,900000000.000000,900000000.000000,,,1.344000,2.969000,2041000000.000000,392000000.000000,1649000000.000000,2041000000.000000,0.000000,223000000.000000,0.000000,0.018000,0.069000,,,,,,,,,,4021000000.000000,,4021000000.000000,15291461732.000000,10.000000,6.643000,236000000.000000,0.242000,1.000000,,,0.000000,,10440000000.000000,,2954000000.000000,0.000000,0.000000,0.000000,11937000000.000000,6659000000.000000,5278000000.000000,-4000000.000000,-53000000.000000,-6000000.000000,-6000000.000000,-67000000.000000,-85000000.000000,-446000000.000000,0.000000,530000000.000000,-3000000.000000,,,,,,,,,2084000000.000000,,3.519000,18.867000,20.380000,4420000000.000000,,14.531000,0.621000,0.621000,3682000000.000000,3252000000.000000,,,,,,,,7000000.000000,,1.000000,973795216.000000,973795216.000000,,,15958000000.000000,1502000000.000000,,130000000.000000,16.387000
ARQ,1996-03-31,1996-05-15,1996-03-31,1996-Q1,2576000000.000000,13351465978.000000,2025-04-22,-308000000.000000,16026000000.000000,,9169000000.000000,6857000000.000000,,3.878000,-129000000.000000,1088000000.000000,1088000000.000000,4209000000.000000,164000000.000000,1.391000,2.935000,2052000000.000000,411000000.000000,1641000000.000000,2052000000.000000,0.000000,209000000.000000,0.000000,0.015000,0.069000,321000000.000000,530000000.000000,0.096000,530000000.000000,321000000.000000,263000000.000000,0.155000,0.155000,0.155000,4073000000.000000,,4073000000.000000,14315465978.000000,,,204000000.000000,0.194000,1.000000,1284000000.000000,0.234000,0.000000,58000000.000000,10397000000.000000,,3259000000.000000,0.000000,0.000000,0.000000,11953000000.000000,6593000000.000000,5360000000.000000,188000000.000000,4000000.000000,-62000000.000000,-18000000.000000,-67000000.000000,-136000000.000000,-7000000.000000,0.000000,333000000.000000,-2000000.000000,164000000.000000,164000000.000000,164000000.000000,0.000000,0.000000,0.030000,933000000.000000,351000000.000000,1951000000.000000,0.445000,3.278000,,,4340000000.000000,0.000000,13.703000,,,3495000000.000000,3339000000.000000,5493000000.000000,5493000000.000000,250000000.000000,,,,,0.000000,683000000.000000,1.000000,974337312.000000,1050384000.000000,1050384000.000000,5.230000,16026000000.000000,908000000.000000,99000000.000000,0.000000,15.257000
ARQ,1996-06-30,1996-08-14,1996-06-30,1996-Q2,2438000000.000000,14215917545.000000,2025-04-22,-318000000.000000,16183000000.000000,,9214000000.000000,6969000000.000000,,3.948000,-178000000.000000,1075000000.000000,1075000000.000000,4558000000.000000,259000000.000000,1.360000,2.906000,1882000000.000000,339000000.000000,1543000000.000000,1882000000.000000,0.000000,215000000.000000,0.000000,0.018000,0.069000,466000000.000000,681000000.000000,0.113000,681000000.000000,466000000.000000,410000000.000000,0.245000,0.245000,0.245000,4143000000.000000,,4143000000.000000,15022917545.000000,,,527000000.000000,0.502000,1.000000,1485000000.000000,0.246000,0.000000,56000000.000000,10214000000.000000,,3164000000.000000,0.000000,0.000000,0.000000,12040000000.000000,6776000000.000000,5264000000.000000,-13000000.000000,-129000000.000000,-120000000.000000,-165000000.000000,-66000000.000000,-381000000.000000,-341000000.000000,0.000000,705000000.000000,4000000.000000,259000000.000000,259000000.000000,259000000.000000,0.000000,0.000000,0.043000,983000000.000000,502000000.000000,1986000000.000000,0.282000,3.431000,,,4283000000.000000,0.000000,14.703000,,,3772000000.000000,3522000000.000000,6043000000.000000,6043000000.000000,274000000.000000,,,,,0.000000,709000000.000000,1.000000,966863680.000000,1049304000.000000,1049304000.000000,5.759000,16183000000.000000,917000000.000000,151000000.000000,0.000000,15.423000
