dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2018-06-30,2018-08-16,2018-06-14,2019-Q1,,,2025-05-16,0.000000,71704.000000,,,,,0.009000,0.000000,30000.000000,30000.000000,0.000000,-13341.000000,,5.150000,56045.000000,56045.000000,0.000000,56045.000000,0.000000,0.000000,0.000000,,0.000000,-13341.000000,-13341.000000,,-13341.000000,-13341.000000,-13341.000000,-0.010000,-0.010000,-0.010000,11659.000000,,11659.000000,,,,-13341.000000,-0.011000,1.000000,0.000000,,0.000000,0.000000,37704.000000,,0.000000,0.000000,,,60045.000000,60045.000000,0.000000,30000.000000,0.000000,25000.000000,56045.000000,0.000000,43341.000000,0.000000,0.000000,-13341.000000,0.000000,-13341.000000,-13341.000000,-13341.000000,0.000000,0.000000,,13341.000000,-13341.000000,0.000000,0.000000,,,,0.000000,0.000000,,,,0.000000,-13341.000000,0.000000,0.000000,0.000000,,,,,0.000000,13341.000000,1.000000,6552500.000000,1250000.000000,1250000.000000,0.000000,71704.000000,0.000000,0.000000,0.000000,0.057000
ARQ,2018-09-30,2018-10-11,2018-08-31,2019-Q2,518249.000000,83229184.000000,2025-05-16,0.000000,65054784.000000,,519769.000000,64535015.000000,,3.423000,,441569.000000,441569.000000,0.000000,17687.000000,341.953000,0.443000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,17687.000000,,,,17687.000000,17687.000000,0.000000,0.000000,0.000000,5000009.000000,,5000009.000000,82787615.000000,,,,,1.000000,0.000000,,0.000000,0.000000,64611695.000000,,0.000000,64535015.000000,0.000000,64535015.000000,2215270.000000,1520.000000,2213750.000000,,,,,,,,,,,17687.000000,17687.000000,17687.000000,0.000000,0.000000,,2328.000000,-2328.000000,1520.000000,,16.646000,,,0.000000,0.000000,10.070000,,,0.000000,4346.000000,0.000000,0.000000,0.000000,,,,,,0.000000,1.000000,8265063.000000,1460688.000000,1460688.000000,0.000000,65054784.000000,0.000000,0.000000,0.000000,44.537000
ARQ,2018-12-31,2019-01-09,2018-11-30,2019-Q3,439103.000000,81163745.000000,2025-05-16,0.000000,65338890.000000,,461506.000000,64877384.000000,,1.926000,,400959.000000,400959.000000,0.000000,263222.000000,20.600000,0.447000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,263222.000000,,,,263222.000000,263222.000000,-0.020000,-0.020000,-0.020000,5000008.000000,,5000008.000000,80762786.000000,,,,,1.000000,0.000000,,0.000000,0.000000,64915528.000000,,0.000000,64877384.000000,0.000000,64877384.000000,2236153.000000,22403.000000,2213750.000000,,,,,,,,,,,263222.000000,263222.000000,263222.000000,0.000000,0.000000,,79147.000000,-79147.000000,22403.000000,0.000000,16.233000,,,0.000000,0.000000,9.820000,,,0.000000,267569.000000,0.000000,0.000000,0.000000,,,,,,0.000000,1.000000,8265063.000000,2596282.000000,2596282.000000,0.000000,65338890.000000,0.000000,0.000000,0.000000,25.166000
ARQ,2019-03-31,2019-05-22,2019-02-28,2019-Q4,381129.000000,84386293.000000,2025-05-16,0.000000,65646099.000000,,404179.000000,65241920.000000,,2.053000,,313049.000000,313049.000000,0.000000,306562.000000,17.535000,0.447000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,306562.000000,,,,306562.000000,306562.000000,-0.010000,-0.010000,-0.010000,5000008.000000,,5000008.000000,84073244.000000,146.000000,146.436000,,,1.000000,0.000000,,0.000000,0.000000,65310000.000000,,0.000000,65241920.000000,0.000000,65241920.000000,2236800.000000,23050.000000,2213750.000000,,,,,,,,,,,306562.000000,306562.000000,306562.000000,0.000000,0.000000,,57974.000000,-57974.000000,23050.000000,0.000000,16.877000,146.981000,-255.250000,0.000000,0.000000,10.210000,,,0.000000,574131.000000,0.000000,0.000000,0.000000,,,,,,0.000000,1.000000,8265063.000000,2435580.000000,2435580.000000,0.000000,65646099.000000,0.000000,0.000000,0.000000,26.953000
ARQ,2019-06-30,2019-07-03,2019-05-31,2020-Q1,309994.000000,84551594.000000,2025-05-16,0.000000,65989159.000000,,337678.000000,65651481.000000,,1.921000,0.000000,273686.000000,273686.000000,0.000000,338426.000000,12.198000,0.448000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,338426.000000,338426.000000,,338426.000000,338426.000000,338426.000000,-0.010000,-0.010000,-0.010000,5000009.000000,,5000009.000000,84277908.000000,91.000000,,-39363.000000,-0.015000,1.000000,0.000000,,0.000000,0.000000,65687789.000000,,0.000000,65651481.000000,0.000000,65651481.000000,2241434.000000,27684.000000,2213750.000000,-39363.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-39363.000000,0.000000,338426.000000,338426.000000,338426.000000,0.000000,0.000000,,71135.000000,-71135.000000,27684.000000,0.000000,16.910000,91.319000,-255.750000,0.000000,0.000000,10.230000,,,0.000000,912557.000000,0.000000,0.000000,0.000000,,,,,0.000000,0.000000,1.000000,8265063.000000,2602465.000000,2602465.000000,0.000000,65989159.000000,0.000000,0.000000,0.000000,25.356000
ARQ,2019-09-30,2019-10-08,2019-08-31,2020-Q2,215884.000000,85543402.000000,2025-05-16,0.000000,66269721.000000,,249810.000000,66019911.000000,,1.919000,0.000000,211237.000000,211237.000000,0.000000,274320.000000,7.363000,0.450000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,274320.000000,274320.000000,,274320.000000,274320.000000,274320.000000,-0.020000,-0.020000,-0.020000,5000005.000000,,5000005.000000,85332165.000000,72.000000,,-62449.000000,-0.024000,1.000000,0.000000,,0.000000,0.000000,66024558.000000,,0.000000,66019911.000000,0.000000,66019911.000000,2247676.000000,33926.000000,2213750.000000,-62449.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-62449.000000,0.000000,274320.000000,274320.000000,274320.000000,0.000000,0.000000,,94110.000000,-94110.000000,33926.000000,0.000000,17.109000,72.339000,-172.500000,0.000000,0.000000,10.350000,,,0.000000,1186877.000000,0.000000,0.000000,0.000000,,,,,0.000000,0.000000,1.000000,8265063.000000,2605186.000000,2605186.000000,0.000000,66269721.000000,0.000000,0.000000,0.000000,25.438000
ARQ,2019-12-31,2020-01-10,2019-11-30,2020-Q3,49862.000000,86369908.000000,2025-05-16,0.000000,66472705.000000,,149964.000000,66322741.000000,,1.915000,0.000000,134308.000000,134308.000000,0.000000,136808.000000,1.498000,0.463000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,136808.000000,136808.000000,,136808.000000,136808.000000,136808.000000,-0.050000,-0.050000,-0.050000,5000006.000000,,5000006.000000,86235600.000000,82.000000,,-76929.000000,-0.029000,1.000000,0.000000,,0.000000,0.000000,66238295.000000,,0.000000,66322741.000000,0.000000,66322741.000000,2313852.000000,100102.000000,2213750.000000,-76929.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-76929.000000,0.000000,136808.000000,136808.000000,136808.000000,0.000000,0.000000,,166022.000000,-166022.000000,100102.000000,0.000000,17.274000,81.781000,-116.111000,0.000000,0.000000,10.450000,,,0.000000,1323685.000000,0.000000,0.000000,0.000000,,,,,0.000000,0.000000,1.000000,8265063.000000,2610490.000000,2610490.000000,0.000000,66472705.000000,0.000000,0.000000,0.000000,25.464000
ARQ,2020-03-31,2020-05-04,2020-02-29,2020-Q4,-160793.000000,81446660.000000,2025-05-16,0.000000,61021809.000000,,138860.000000,60882949.000000,,1.906000,0.000000,69276.000000,69276.000000,0.000000,-131651.000000,0.463000,0.653000,750000.000000,0.000000,750000.000000,750000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-131651.000000,-131651.000000,,-131651.000000,-131651.000000,-131651.000000,-0.130000,-0.130000,-0.130000,5000007.000000,,5000007.000000,82127384.000000,133.000000,132.913000,-426591.000000,-0.163000,1.000000,0.000000,,0.000000,0.000000,61402880.000000,,0.000000,60882949.000000,0.000000,60882949.000000,3263403.000000,299653.000000,2963750.000000,-243773.000000,0.000000,-6268796.000000,750000.000000,0.000000,-5518796.000000,5701614.000000,5701614.000000,-426591.000000,0.000000,-131651.000000,-131651.000000,-131651.000000,0.000000,0.000000,,393473.000000,-393473.000000,299653.000000,0.000000,16.289000,131.811000,-50.571000,0.000000,0.000000,10.620000,,,0.000000,1192034.000000,0.000000,0.000000,0.000000,,,,,0.000000,0.000000,1.000000,7669177.000000,2623167.000000,2623167.000000,0.000000,61021809.000000,0.000000,0.000000,0.000000,23.263000
ARQ,2020-06-30,2020-07-07,2020-05-31,2021-Q1,-261570.000000,55109671.000000,2025-05-16,0.000000,34458896.000000,,239691.000000,34219205.000000,,1.849000,0.000000,197983.000000,197983.000000,0.000000,-155766.000000,0.478000,0.768000,1125000.000000,0.000000,1125000.000000,1125000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-155766.000000,-155766.000000,,-155766.000000,-155766.000000,-155766.000000,-0.090000,-0.090000,-0.090000,5000002.000000,,5000002.000000,56036688.000000,453.000000,452.964000,-35457.000000,-0.013000,1.000000,0.000000,,0.000000,0.000000,34884652.000000,,0.000000,34219205.000000,0.000000,34219205.000000,3840011.000000,501261.000000,3338750.000000,128707.000000,0.000000,-26983755.000000,375000.000000,0.000000,-26608755.000000,26772919.000000,26772919.000000,-35457.000000,0.000000,-155766.000000,-155766.000000,-155766.000000,0.000000,0.000000,,264941.000000,-264941.000000,501261.000000,0.000000,11.022000,445.471000,-37.011000,0.000000,0.000000,10.733000,,,0.000000,1036268.000000,0.000000,0.000000,0.000000,,,,,0.000000,0.000000,1.000000,5134553.000000,2704587.000000,2704587.000000,0.000000,34458896.000000,0.000000,0.000000,0.000000,12.741000
ARQ,2020-09-30,2020-10-14,2020-08-31,2021-Q2,-698330.000000,54985145.000000,2025-05-16,0.000000,34478040.000000,,38107.000000,34439933.000000,,1.823000,0.000000,15539.000000,15539.000000,0.000000,-516032.000000,0.052000,0.875000,1425000.000000,0.000000,1425000.000000,1425000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-516032.000000,-516032.000000,,-516032.000000,-516032.000000,-516032.000000,-0.190000,-0.190000,-0.190000,5000002.000000,,5000002.000000,56394606.000000,-85.000000,-84.595000,-271608.000000,-0.099000,1.000000,0.000000,,0.000000,0.000000,35151064.000000,,0.000000,34439933.000000,0.000000,34439933.000000,4375187.000000,736437.000000,3638750.000000,-182444.000000,0.000000,0.000000,300000.000000,0.000000,300000.000000,-210836.000000,-210836.000000,-271608.000000,0.000000,-516032.000000,-516032.000000,-516032.000000,0.000000,0.000000,,525924.000000,-525924.000000,736437.000000,0.000000,10.997000,-82.481000,-23.326000,0.000000,0.000000,10.730000,,,0.000000,520236.000000,0.000000,0.000000,0.000000,,,,,0.000000,0.000000,1.000000,5124431.000000,2742935.000000,2742935.000000,0.000000,34478040.000000,0.000000,0.000000,0.000000,12.570000
