dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2020-12-31,2021-04-15,2020-12-31,2020-Q4,246379000.000000,,2025-05-05,0.000000,298585000.000000,,269478000.000000,29107000.000000,,-9.471000,,267167000.000000,267167000.000000,,,11.666000,-0.274000,22487000.000000,11073000.000000,11414000.000000,22487000.000000,16667000.000000,,0.000000,,0.000000,,,,,,,,,,-206289000.000000,,-206289000.000000,,,,,,1.000000,,,2490000.000000,,28316000.000000,,0.000000,0.000000,0.000000,0.000000,56562000.000000,23099000.000000,33463000.000000,,,,,,,,,,,,,,,,,,,1074000.000000,,,,,25967000.000000,,,,,156000.000000,-213601000.000000,,,,,,,,,,1.000000,159912703.000000,21781386.000000,,,296095000.000000,0.000000,,0.000000,13.594000
ARQ,2021-03-31,2021-05-12,2021-03-31,2021-Q1,194968000.000000,3741770161.000000,2025-05-05,0.000000,271943000.000000,,221822000.000000,50121000.000000,,-10.116000,-19416000.000000,219130000.000000,219130000.000000,0.000000,-30717000.000000,8.260000,-0.243000,22484000.000000,12145000.000000,10339000.000000,22484000.000000,14167000.000000,1402000.000000,0.000000,0.000000,0.000000,-30717000.000000,-29315000.000000,-11.442000,-29315000.000000,-30717000.000000,-30717000.000000,-1.330000,-1.330000,-1.330000,-233031000.000000,,-233031000.000000,3545124161.000000,,,-50171000.000000,-2.178000,1.000000,2562000.000000,1.000000,2414000.000000,0.000000,46029000.000000,,0.000000,0.000000,0.000000,0.000000,56662000.000000,26854000.000000,29808000.000000,-48037000.000000,0.000000,2154000.000000,-20000.000000,0.000000,2134000.000000,-19416000.000000,0.000000,-30755000.000000,0.000000,-30717000.000000,-30717000.000000,-30717000.000000,0.000000,0.000000,-11.989000,33046000.000000,-30484000.000000,3125000.000000,0.000000,-16.057000,,,44642000.000000,0.000000,22.230000,,,71000.000000,-244318000.000000,2562000.000000,2562000.000000,24109000.000000,,,,,1821000.000000,8937000.000000,1.000000,168320745.000000,23035623.000000,23035623.000000,0.111000,269529000.000000,0.000000,0.000000,0.000000,11.701000
ARQ,2021-06-30,2021-08-13,2021-06-30,2021-Q2,618095000.000000,3785822762.000000,2025-05-05,0.000000,698590000.000000,,647635000.000000,50955000.000000,,4.645000,-6212000.000000,642970000.000000,642970000.000000,0.000000,-43401000.000000,21.924000,0.087000,22558000.000000,13135000.000000,9423000.000000,22558000.000000,11667000.000000,2331000.000000,0.000000,0.000000,0.000000,-43401000.000000,-41070000.000000,-16.112000,-41070000.000000,-43401000.000000,-43401000.000000,-0.310000,-0.310000,-0.310000,642714000.000000,,642714000.000000,3165410762.000000,,,-39865000.000000,-0.288000,1.000000,2549000.000000,1.000000,2338000.000000,0.000000,46300000.000000,,0.000000,0.000000,0.000000,0.000000,55876000.000000,29540000.000000,26336000.000000,423840000.000000,0.000000,463725000.000000,-20000.000000,0.000000,463705000.000000,-6212000.000000,0.000000,-33653000.000000,0.000000,-43401000.000000,-43401000.000000,-43401000.000000,0.000000,0.000000,-17.027000,43478000.000000,-40929000.000000,3196000.000000,0.000000,5.890000,,,48549000.000000,0.000000,22.470000,,,49000.000000,-287719000.000000,2549000.000000,2549000.000000,29624000.000000,,,,,5317000.000000,13854000.000000,1.000000,168483434.000000,138360646.000000,138360646.000000,0.018000,696252000.000000,0.000000,0.000000,0.000000,5.032000
ARQ,2021-09-30,2021-11-10,2021-09-30,2021-Q3,557927000.000000,2727548198.000000,2025-05-05,2000.000000,658606000.000000,,600870000.000000,57736000.000000,,3.554000,-9706000.000000,404954000.000000,404954000.000000,0.000000,-47428000.000000,13.992000,0.099000,10744000.000000,10088000.000000,656000.000000,10744000.000000,9167000.000000,2436000.000000,0.000000,0.000000,0.000000,-47428000.000000,-44992000.000000,-17.755000,-44992000.000000,-47428000.000000,-47428000.000000,-0.280000,-0.280000,-0.280000,599032000.000000,,599032000.000000,2333338198.000000,,,-42754000.000000,-0.254000,1.000000,2534000.000000,1.000000,2262000.000000,0.000000,219191000.000000,,0.000000,184189000.000000,184189000.000000,0.000000,59574000.000000,42943000.000000,16631000.000000,-238016000.000000,0.000000,1642000.000000,-12737000.000000,0.000000,-11095000.000000,-193873000.000000,-184167000.000000,-33048000.000000,0.000000,-47428000.000000,-47428000.000000,-47428000.000000,0.000000,0.000000,-18.717000,48936000.000000,-46402000.000000,6326000.000000,0.000000,4.553000,,,55439000.000000,0.000000,16.140000,,,2282000.000000,-335147000.000000,2534000.000000,2534000.000000,33246000.000000,,,,,3363000.000000,15690000.000000,1.000000,168993073.000000,168533550.000000,168533550.000000,0.015000,656344000.000000,0.000000,0.000000,0.000000,3.894000
ARQ,2021-12-31,2022-03-23,2021-12-31,2021-Q4,488060000.000000,1180045535.000000,2025-05-05,-126000.000000,610345000.000000,,534718000.000000,75627000.000000,,4.331000,-4464000.000000,286668000.000000,286668000.000000,0.000000,-64933000.000000,11.460000,0.124000,10723000.000000,10090000.000000,633000.000000,10723000.000000,6667000.000000,2236000.000000,0.000000,0.000000,0.000000,-64933000.000000,-62697000.000000,-24.752000,-62697000.000000,-64933000.000000,-64933000.000000,-0.390000,-0.390000,-0.390000,542938000.000000,,542938000.000000,904100535.000000,-5.000000,-5.077000,-65622000.000000,-0.524000,1.000000,2533000.000000,1.000000,2186000.000000,0.000000,285556000.000000,,0.000000,240127000.000000,231446000.000000,8681000.000000,67407000.000000,46658000.000000,20749000.000000,-109605000.000000,0.000000,3817000.000000,-21000.000000,0.000000,3796000.000000,-52243000.000000,-47779000.000000,-61158000.000000,0.000000,-64933000.000000,-64933000.000000,-64933000.000000,0.000000,0.000000,-25.635000,67493000.000000,-64960000.000000,2819000.000000,0.000000,2.173000,-6.328000,-4.638000,64725000.000000,0.000000,6.910000,115.941000,85.101000,9090000.000000,-400080000.000000,2533000.000000,2533000.000000,48292000.000000,,,,,4341000.000000,19201000.000000,1.000000,170773594.000000,125348110.000000,125348110.000000,0.020000,608159000.000000,0.000000,0.000000,0.000000,4.852000
ARQ,2022-03-31,2022-05-10,2022-03-31,2022-Q1,533750000.000000,978721913.000000,2025-05-05,-309000.000000,734319000.000000,,619455000.000000,114864000.000000,,2.892000,-4342000.000000,509412000.000000,509412000.000000,7799000.000000,-55979000.000000,7.228000,0.488000,52105000.000000,4178000.000000,47927000.000000,52105000.000000,161368000.000000,4509000.000000,0.000000,0.000000,0.000000,-55979000.000000,-51470000.000000,-9.651000,-51470000.000000,-55979000.000000,-55979000.000000,-0.330000,-0.330000,-0.330000,493566000.000000,,493566000.000000,521414913.000000,-2.000000,-2.604000,73046000.000000,0.428000,1.000000,-2466000.000000,-0.462000,2110000.000000,0.000000,189197000.000000,,0.000000,91927000.000000,83214000.000000,8713000.000000,240753000.000000,85705000.000000,155048000.000000,222776000.000000,0.000000,2106000.000000,-22000.000000,0.000000,2084000.000000,143304000.000000,147646000.000000,77388000.000000,0.000000,-55979000.000000,-55979000.000000,-55979000.000000,0.000000,0.000000,-10.497000,53515000.000000,-55981000.000000,4162000.000000,0.000000,1.983000,-4.622000,-4.344000,104005000.000000,0.000000,5.690000,75.583000,75.004000,11397000.000000,-456059000.000000,5333000.000000,5333000.000000,32441000.000000,,,,,5632000.000000,21074000.000000,1.000000,172007366.000000,170690392.000000,170690392.000000,0.031000,732209000.000000,0.000000,0.000000,0.000000,4.290000
ARQ,2022-06-30,2022-08-09,2022-06-30,2022-Q2,449343000.000000,1524805648.000000,2025-05-05,-197000.000000,672515000.000000,,545996000.000000,126519000.000000,,2.541000,-16475000.000000,455776000.000000,455776000.000000,14227000.000000,-65560000.000000,5.649000,0.537000,53684000.000000,5335000.000000,48349000.000000,53684000.000000,153715000.000000,4801000.000000,0.000000,0.000000,0.000000,-65560000.000000,-60759000.000000,-7.918000,-60759000.000000,-65560000.000000,-65560000.000000,-0.380000,-0.380000,-0.380000,437579000.000000,,437579000.000000,1122713648.000000,-5.000000,-5.105000,-78098000.000000,-0.453000,1.000000,-6553000.000000,-0.854000,2034000.000000,0.000000,171736000.000000,,0.000000,69895000.000000,61561000.000000,8334000.000000,234936000.000000,96653000.000000,138283000.000000,-54015000.000000,0.000000,2690000.000000,-22000.000000,0.000000,2668000.000000,4940000.000000,21415000.000000,-61623000.000000,0.000000,-65560000.000000,-65560000.000000,-65560000.000000,0.000000,0.000000,-8.543000,59638000.000000,-66191000.000000,3176000.000000,0.000000,3.485000,-6.519000,-6.384000,116151000.000000,0.000000,8.810000,84.365000,83.943000,11680000.000000,-521619000.000000,7674000.000000,7674000.000000,38439000.000000,,,,,5675000.000000,21199000.000000,1.000000,173076691.000000,172212390.000000,172212390.000000,0.045000,670481000.000000,0.000000,0.000000,0.000000,3.893000
ARQ,2022-09-30,2022-11-08,2022-09-30,2022-Q3,398582000.000000,1819735152.000000,2025-05-05,0.000000,611533000.000000,,481618000.000000,129915000.000000,,2.237000,-8263000.000000,456736000.000000,456736000.000000,15409000.000000,-60445000.000000,5.800000,0.576000,52190000.000000,5636000.000000,46554000.000000,52190000.000000,140662000.000000,4979000.000000,0.000000,0.000000,0.000000,-60445000.000000,-55466000.000000,-4.215000,-55466000.000000,-60445000.000000,-60445000.000000,-0.350000,-0.350000,-0.350000,388034000.000000,,388034000.000000,1415189152.000000,-6.000000,-6.143000,-62804000.000000,-0.362000,1.000000,-2249000.000000,-0.171000,2258000.000000,0.000000,121693000.000000,,0.000000,8154000.000000,0.000000,8154000.000000,223499000.000000,83036000.000000,140463000.000000,780000.000000,0.000000,2360000.000000,-23000.000000,0.000000,2337000.000000,52984000.000000,61547000.000000,-54541000.000000,0.000000,-60445000.000000,-60445000.000000,-60445000.000000,0.000000,0.000000,-4.593000,60324000.000000,-62573000.000000,3890000.000000,0.000000,4.690000,-7.370000,-6.621000,119503000.000000,0.000000,9.600000,63.405000,58.013000,11635000.000000,-582064000.000000,13160000.000000,13160000.000000,40836000.000000,,,,,8907000.000000,19488000.000000,1.000000,189555745.000000,173435970.000000,173435970.000000,0.076000,609275000.000000,0.000000,0.000000,0.000000,3.513000
ARQ,2022-12-31,2023-02-27,2022-12-31,2022-Q4,469549000.000000,1476316359.000000,2025-05-05,0.000000,701288000.000000,,569814000.000000,131474000.000000,,2.615000,-7979000.000000,551192000.000000,551192000.000000,10840000.000000,-57492000.000000,5.683000,0.444000,51005000.000000,6049000.000000,44956000.000000,51005000.000000,126987000.000000,5197000.000000,0.000000,0.000000,0.000000,-57492000.000000,-52295000.000000,-3.824000,-52295000.000000,-57492000.000000,-57492000.000000,-0.300000,-0.300000,-0.300000,485806000.000000,,485806000.000000,976129359.000000,-4.000000,-4.437000,-52727000.000000,-0.284000,1.000000,2836000.000000,0.207000,2107000.000000,0.000000,98729000.000000,,0.000000,7920000.000000,0.000000,7920000.000000,215482000.000000,100265000.000000,115217000.000000,94222000.000000,0.000000,147279000.000000,-23000.000000,0.000000,147256000.000000,-7979000.000000,0.000000,-44748000.000000,-307000.000000,-57492000.000000,-57492000.000000,-57492000.000000,0.000000,0.000000,-4.204000,63818000.000000,-60982000.000000,4586000.000000,0.000000,3.039000,-6.165000,-5.676000,121447000.000000,0.000000,7.720000,37.053000,34.012000,2753000.000000,-639556000.000000,13676000.000000,13676000.000000,43980000.000000,,,,,7695000.000000,19838000.000000,1.000000,191232689.000000,185781026.000000,185781026.000000,0.074000,699181000.000000,0.000000,0.000000,0.000000,3.763000
ARQ,2023-03-31,2023-05-08,2023-03-31,2023-Q1,399975000.000000,1077212528.000000,2025-05-05,0.000000,627366000.000000,,492125000.000000,135241000.000000,,2.245000,-5175000.000000,474456000.000000,474456000.000000,12448000.000000,-65327000.000000,5.340000,0.458000,53051000.000000,5101000.000000,47950000.000000,53051000.000000,114852000.000000,5716000.000000,0.000000,0.000000,0.000000,-65327000.000000,-59611000.000000,-4.913000,-59611000.000000,-65327000.000000,-65327000.000000,-0.340000,-0.340000,-0.340000,430175000.000000,,430175000.000000,655807528.000000,-3.000000,-2.875000,-78491000.000000,-0.410000,1.000000,-314000.000000,-0.026000,2119000.000000,0.000000,111692000.000000,,0.000000,7920000.000000,0.000000,7920000.000000,197191000.000000,92150000.000000,105041000.000000,-76736000.000000,0.000000,1946000.000000,-24000.000000,0.000000,1922000.000000,-5340000.000000,0.000000,-73316000.000000,-2000.000000,-65327000.000000,-65327000.000000,-65327000.000000,0.000000,0.000000,-5.384000,69551000.000000,-69865000.000000,4247000.000000,0.000000,2.504000,-4.329000,-4.088000,125120000.000000,0.000000,5.600000,23.094000,23.005000,2057000.000000,-704883000.000000,12134000.000000,12134000.000000,46677000.000000,,,,,8814000.000000,22874000.000000,1.000000,192359380.000000,191618238.000000,191618238.000000,0.063000,625247000.000000,0.000000,0.000000,0.000000,3.263000
