dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2019-12-31,2021-02-02,2019-12-31,2019-Q4,124434000.000000,,2025-05-08,26000.000000,415698000.000000,,144263000.000000,271435000.000000,,-29.075000,,81807000.000000,81807000.000000,,,7.275000,-0.988000,48207000.000000,1848000.000000,46359000.000000,48207000.000000,0.000000,,0.000000,,0.000000,,,,,,,,,,-142542000.000000,,-142542000.000000,,,,,,1.000000,,,199822000.000000,,162447000.000000,,0.000000,58952000.000000,58952000.000000,0.000000,140881000.000000,19829000.000000,121052000.000000,,,,,,,,,,,,,,,,,,,0.000000,,,,,69314000.000000,,,,,0.000000,-144127000.000000,,,,,,,,,,1.000000,182314776.000000,4902642.000000,,,215876000.000000,0.000000,,0.000000,44.033000
ARQ,2020-09-30,2021-02-03,2020-09-30,2020-Q3,429031000.000000,,2025-05-08,55000.000000,767715000.000000,,455568000.000000,312147000.000000,,-1.707000,,151364000.000000,151364000.000000,,,17.167000,-0.726000,70650000.000000,3189000.000000,67461000.000000,70650000.000000,0.000000,,0.000000,,0.000000,,,,,,,,,,-311175000.000000,,-311175000.000000,,,,,,1.000000,,,199822000.000000,,460642000.000000,,0.000000,309849000.000000,301640000.000000,8209000.000000,225993000.000000,26537000.000000,199456000.000000,,,,,,,,,,,,,,,,,,,3889000.000000,,,,,101735000.000000,,,,,0.000000,-316262000.000000,,,,,,,,,,1.000000,182314776.000000,182314776.000000,,,567893000.000000,0.000000,,0.000000,3.115000
ARQ,2020-12-31,2021-03-24,2020-12-31,2020-Q4,353016000.000000,6000000000.000000,2025-05-08,30000.000000,730296000.000000,,384467000.000000,345829000.000000,,-27.515000,-9266000.000000,126949000.000000,126949000.000000,0.000000,-113170000.000000,12.224000,-0.709000,71909000.000000,3712000.000000,68197000.000000,71909000.000000,0.000000,3116000.000000,0.000000,0.000000,0.000000,-113170000.000000,-110054000.000000,,-110054000.000000,-113170000.000000,-113170000.000000,-7.870000,-7.870000,-7.870000,-421184000.000000,,-421184000.000000,5944960000.000000,-21.000000,-21.608000,-46825000.000000,-3.059000,1.000000,0.000000,,199822000.000000,0.000000,443983000.000000,,0.000000,287189000.000000,253458000.000000,33731000.000000,298583000.000000,31451000.000000,267132000.000000,-24415000.000000,0.000000,103000.000000,0.000000,0.000000,103000.000000,13041000.000000,22307000.000000,-37559000.000000,0.000000,-113170000.000000,-113170000.000000,-113170000.000000,0.000000,0.000000,,113324000.000000,-113324000.000000,2253000.000000,0.000000,-14.246000,-21.030000,-1.460000,109943000.000000,0.000000,32.000000,,,0.000000,-429432000.000000,0.000000,0.000000,104117000.000000,,,,,2791000.000000,9207000.000000,1.000000,187500000.000000,15307554.000000,15307554.000000,0.000000,530474000.000000,0.000000,0.000000,0.000000,34.654000
ARQ,2021-03-31,2021-05-05,2021-03-31,2021-Q1,932324000.000000,3128553052.000000,2025-05-08,56000.000000,1304466000.000000,,967474000.000000,336992000.000000,,7.403000,-6440000.000000,752830000.000000,752830000.000000,0.000000,-180617000.000000,27.524000,0.479000,70259000.000000,3910000.000000,66349000.000000,70259000.000000,0.000000,3645000.000000,0.000000,0.000000,0.000000,-180617000.000000,-176972000.000000,,-176972000.000000,-180617000.000000,-180617000.000000,-1.520000,-1.520000,-1.520000,881983000.000000,,881983000.000000,2445982052.000000,,,-56353000.000000,-0.473000,1.000000,0.000000,,199822000.000000,0.000000,386923000.000000,,0.000000,231177000.000000,209550000.000000,21627000.000000,422483000.000000,35150000.000000,387333000.000000,625881000.000000,0.000000,626703000.000000,0.000000,0.000000,626703000.000000,49091000.000000,55531000.000000,-49913000.000000,0.000000,-180617000.000000,-180617000.000000,-180617000.000000,0.000000,0.000000,,180751000.000000,-180751000.000000,4258000.000000,0.000000,3.547000,,,112756000.000000,0.000000,16.670000,,,0.000000,-610049000.000000,0.000000,0.000000,168930000.000000,,,,,4158000.000000,11821000.000000,1.000000,187675648.000000,119131000.000000,119131000.000000,0.000000,1104644000.000000,0.000000,0.000000,0.000000,9.273000
ARQ,2021-06-30,2021-08-04,2021-06-30,2021-Q2,817508000.000000,3498526230.000000,2025-05-08,13000.000000,1259837000.000000,,860340000.000000,399497000.000000,,5.036000,-10156000.000000,677283000.000000,677283000.000000,0.000000,18683000.000000,20.086000,0.391000,72153000.000000,6004000.000000,66149000.000000,72153000.000000,0.000000,4046000.000000,0.000000,0.000000,0.000000,18683000.000000,22729000.000000,,22729000.000000,18683000.000000,18683000.000000,0.100000,0.090000,0.100000,905897000.000000,,905897000.000000,2893396230.000000,,,-50712000.000000,-0.282000,1.000000,0.000000,,199822000.000000,0.000000,412053000.000000,,0.000000,255630000.000000,177696000.000000,77934000.000000,353940000.000000,42832000.000000,311108000.000000,-75547000.000000,0.000000,333000.000000,0.000000,0.000000,333000.000000,-35324000.000000,-25168000.000000,-40556000.000000,0.000000,18683000.000000,18683000.000000,18683000.000000,0.000000,0.000000,,-18552000.000000,18552000.000000,3704000.000000,0.000000,3.862000,,,119000000.000000,0.000000,18.620000,,,0.000000,-591366000.000000,0.000000,0.000000,-31029000.000000,,,,,4941000.000000,12477000.000000,1.000000,187890775.000000,179899000.000000,190508000.000000,0.000000,1060015000.000000,0.000000,0.000000,0.000000,5.892000
ARQ,2021-09-30,2021-11-08,2021-09-30,2021-Q3,520835000.000000,4120335056.000000,2025-05-08,-82000.000000,1232751000.000000,,612845000.000000,619906000.000000,,4.565000,-8064000.000000,442489000.000000,442489000.000000,0.000000,-83263000.000000,6.661000,0.485000,98905000.000000,6502000.000000,92403000.000000,98905000.000000,0.000000,4641000.000000,0.000000,0.000000,0.000000,-83263000.000000,-78622000.000000,,-78622000.000000,-83263000.000000,-83263000.000000,-0.460000,-0.460000,-0.460000,830085000.000000,,830085000.000000,3776751056.000000,-11.000000,-11.014000,-58550000.000000,-0.322000,1.000000,0.000000,,199822000.000000,0.000000,597335000.000000,,0.000000,432442000.000000,170041000.000000,262401000.000000,402666000.000000,92010000.000000,310656000.000000,-234794000.000000,0.000000,1596000.000000,0.000000,0.000000,1596000.000000,-185904000.000000,-177840000.000000,-50486000.000000,0.000000,-83263000.000000,-83263000.000000,-83263000.000000,0.000000,0.000000,,83431000.000000,-83431000.000000,3947000.000000,0.000000,4.964000,-11.498000,-2.238000,148273000.000000,0.000000,21.820000,,,0.000000,-674629000.000000,0.000000,0.000000,69998000.000000,,,,,5950000.000000,13433000.000000,1.000000,188832954.000000,181827000.000000,181827000.000000,0.000000,1032929000.000000,0.000000,0.000000,0.000000,5.681000
ARQ,2021-12-31,2022-03-16,2021-12-31,2021-Q4,458866000.000000,1209286815.000000,2025-05-08,-1366000.000000,1129407000.000000,,558101000.000000,571306000.000000,,3.955000,-5202000.000000,261848000.000000,261848000.000000,0.000000,-110731000.000000,5.624000,0.550000,110943000.000000,9159000.000000,101784000.000000,110943000.000000,0.000000,5582000.000000,0.000000,0.000000,0.000000,-110731000.000000,-105149000.000000,,-105149000.000000,-110731000.000000,-110731000.000000,-0.610000,-0.610000,-0.610000,728502000.000000,,728502000.000000,1058381815.000000,-3.000000,-3.131000,-115301000.000000,-0.626000,1.000000,0.000000,,199822000.000000,0.000000,679445000.000000,,0.000000,493848000.000000,297967000.000000,195881000.000000,400905000.000000,99235000.000000,301670000.000000,-180641000.000000,0.000000,3119000.000000,0.000000,0.000000,3119000.000000,-73661000.000000,-63885000.000000,-110099000.000000,0.000000,-110731000.000000,-110731000.000000,-110731000.000000,0.000000,0.000000,,111279000.000000,-111279000.000000,2219000.000000,0.000000,1.660000,-3.398000,-2.981000,161784000.000000,0.000000,6.380000,,,0.000000,-785360000.000000,0.000000,0.000000,98600000.000000,,,,,7313000.000000,12679000.000000,1.000000,189543388.000000,184187000.000000,184187000.000000,0.000000,929585000.000000,0.000000,0.000000,0.000000,5.047000
ARQ,2022-03-31,2022-05-10,2022-03-31,2022-Q1,429710000.000000,1183527871.000000,2025-05-08,-5172000.000000,1047613000.000000,,523220000.000000,524393000.000000,,3.773000,-7533000.000000,197336000.000000,197336000.000000,0.000000,-31448000.000000,5.595000,0.493000,112153000.000000,9635000.000000,102518000.000000,112153000.000000,0.000000,6220000.000000,0.000000,0.000000,0.000000,-31448000.000000,-25228000.000000,,-25228000.000000,-31448000.000000,-31448000.000000,-0.170000,-0.170000,-0.170000,701655000.000000,,701655000.000000,1098344871.000000,-5.000000,-5.897000,-85242000.000000,-0.458000,1.000000,0.000000,,199822000.000000,0.000000,669098000.000000,,0.000000,468875000.000000,323861000.000000,145014000.000000,345958000.000000,93510000.000000,252448000.000000,-64512000.000000,0.000000,652000.000000,0.000000,0.000000,652000.000000,12545000.000000,20078000.000000,-77709000.000000,0.000000,-31448000.000000,-31448000.000000,-31448000.000000,0.000000,0.000000,,31685000.000000,-31685000.000000,4765000.000000,0.000000,1.687000,-5.724000,-5.474000,165838000.000000,0.000000,6.240000,,,0.000000,-816808000.000000,0.000000,0.000000,17251000.000000,,,,,7755000.000000,14434000.000000,1.000000,189667928.000000,185955000.000000,185955000.000000,0.000000,847791000.000000,0.000000,0.000000,0.000000,4.559000
ARQ,2022-06-30,2022-08-04,2022-06-30,2022-Q2,397306000.000000,1409616956.000000,2025-05-08,-6347000.000000,971089000.000000,,494414000.000000,476675000.000000,,3.408000,-4391000.000000,205167000.000000,205167000.000000,0.000000,-72465000.000000,5.091000,0.519000,113627000.000000,10667000.000000,102960000.000000,113627000.000000,0.000000,6876000.000000,0.000000,0.000000,0.000000,-72465000.000000,-65589000.000000,,-65589000.000000,-72465000.000000,-72465000.000000,-0.390000,-0.390000,-0.390000,639505000.000000,,639505000.000000,1318076956.000000,-4.000000,-4.800000,-75869000.000000,-0.404000,1.000000,0.000000,,199822000.000000,0.000000,582619000.000000,,0.000000,384907000.000000,290143000.000000,94764000.000000,331584000.000000,97108000.000000,234476000.000000,7831000.000000,0.000000,1579000.000000,0.000000,0.000000,1579000.000000,77730000.000000,82121000.000000,-71478000.000000,0.000000,-72465000.000000,-72465000.000000,-72465000.000000,0.000000,0.000000,,72904000.000000,-72904000.000000,3079000.000000,0.000000,2.204000,-4.732000,-4.546000,166756000.000000,0.000000,7.410000,,,0.000000,-889273000.000000,0.000000,0.000000,54612000.000000,,,,,9911000.000000,18292000.000000,1.000000,190231708.000000,187626000.000000,187626000.000000,0.000000,771267000.000000,0.000000,0.000000,0.000000,4.111000
ARQ,2022-09-30,2022-11-02,2022-09-30,2022-Q3,385437000.000000,1108120645.000000,2025-05-08,-6414000.000000,898102000.000000,,500250000.000000,397852000.000000,,2.990000,-4350000.000000,169443000.000000,169443000.000000,0.000000,-85120000.000000,4.357000,0.587000,111780000.000000,11921000.000000,99859000.000000,111780000.000000,0.000000,7193000.000000,0.000000,0.000000,0.000000,-85120000.000000,-77927000.000000,,-77927000.000000,-85120000.000000,-85120000.000000,-0.450000,-0.450000,-0.450000,566019000.000000,,566019000.000000,1050457645.000000,-4.000000,-3.835000,-69146000.000000,-0.365000,1.000000,0.000000,,199822000.000000,0.000000,525804000.000000,,0.000000,352638000.000000,322407000.000000,30231000.000000,332083000.000000,114813000.000000,217270000.000000,-31316000.000000,0.000000,1621000.000000,0.000000,0.000000,1621000.000000,31859000.000000,36209000.000000,-64796000.000000,0.000000,-85120000.000000,-85120000.000000,-85120000.000000,0.000000,0.000000,,86187000.000000,-86187000.000000,3993000.000000,0.000000,1.958000,-3.697000,-3.586000,163082000.000000,0.000000,5.810000,,,0.000000,-974393000.000000,0.000000,0.000000,70673000.000000,,,,,10080000.000000,15514000.000000,1.000000,190726445.000000,189303000.000000,189303000.000000,0.000000,698280000.000000,0.000000,0.000000,0.000000,3.689000
