dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2002-12-31,2003-03-21,2002-12-31,2002-Q4,1086337000.000000,25962169487.000000,2025-04-28,-125681000.000000,5609752000.000000,,3513281000.000000,2096471000.000000,,2.305000,,1237897000.000000,1305071648.000000,,,1.448000,0.953000,9668000.000000,9668000.000000,0.000000,10192635.000000,361457000.000000,,0.000000,0.002000,0.000000,,,,,,,,,,2872091000.000000,,3027945406.000000,24667290474.000000,14.000000,12.420000,,,0.949000,,,0.000000,,1954579000.000000,,10729000.000000,1349000.000000,1349000.000000,0.000000,2737661000.000000,2426944000.000000,310717000.000000,,,,,,,,,,,,,,,,,,,0.000000,,8.574000,48.418000,48.808000,1638563000.000000,,20.840000,3.322000,3.322000,2231013000.000000,2871106000.000000,,,,,,,,,,1.000000,1245785484.000000,1245785484.000000,,,5609752000.000000,402290000.000000,,0.000000,4.503000
ARQ,2003-12-31,2004-03-23,2003-12-31,2003-Q4,2019145000.000000,46689452661.000000,2025-04-28,-201979000.000000,6325865000.000000,,4270499000.000000,2055366000.000000,,2.983000,,2095956000.000000,2580409895.000000,,,1.897000,0.705000,10084000.000000,10084000.000000,0.000000,12414790.000000,304899000.000000,,0.000000,0.001000,0.000000,,,,,,,,,,3709445000.000000,,4566836605.000000,44121457556.000000,20.000000,18.202000,,,0.812000,,,0.000000,,1988639000.000000,,10375000.000000,1352000.000000,1352000.000000,0.000000,2616420000.000000,2251354000.000000,365066000.000000,,,,,,,,,,,,,,,,,,,0.000000,,10.224000,35.210000,35.139000,1608981000.000000,,37.550000,5.399000,5.399000,2276606000.000000,3761086000.000000,,,,,,,,,,1.000000,1243394212.000000,1243394212.000000,,,6325865000.000000,264453000.000000,,0.000000,5.088000
ARQ,2004-12-31,2005-03-22,2004-12-31,2004-Q4,1902453000.000000,48845127944.000000,2025-04-28,-305401000.000000,7585472000.000000,,4477537000.000000,3107935000.000000,,3.697000,,3196542000.000000,4200123775.000000,,,1.739000,0.651000,7277000.000000,7277000.000000,0.000000,9561677.000000,324720000.000000,,0.000000,0.002000,0.000000,,,,,,,,,,4594253000.000000,,6036658130.000000,44654565846.000000,17.000000,15.196000,,,0.761000,,,0.000000,,1821123000.000000,,11692000.000000,10164000.000000,10164000.000000,0.000000,2991219000.000000,2575084000.000000,416135000.000000,,,,,,,,,,,,,,,,,,,0.000000,,8.091000,28.366000,28.358000,1624358000.000000,,39.310000,4.947000,4.947000,2466745000.000000,4830156000.000000,,,,,,,,,,1.000000,1242562400.000000,1242562400.000000,,,7585472000.000000,205601000.000000,,0.000000,6.105000
ARQ,2005-12-31,2006-03-22,2005-12-31,2005-Q4,3459440000.000000,65450141981.000000,2025-04-28,-117855000.000000,9062742000.000000,,6241125000.000000,2821617000.000000,,4.666000,,3213572000.000000,3882729340.000000,,,2.244000,0.567000,6927000.000000,6927000.000000,0.000000,8369399.000000,404425000.000000,,0.000000,0.002000,0.000000,,,,,,,,,,5782238000.000000,,6986264858.000000,61575782040.000000,22.000000,20.335000,,,0.828000,,,0.000000,,3074412000.000000,,19376000.000000,209565000.000000,209565000.000000,0.000000,3280504000.000000,2781685000.000000,498819000.000000,,,,,,,,,,,,,,,,,,,0.000000,,9.368000,36.200000,36.189000,2395363000.000000,,52.820000,6.364000,6.364000,2886581000.000000,5986186000.000000,,,,,,,,,,1.000000,1239116660.000000,1239116660.000000,,,9062742000.000000,250698000.000000,,0.000000,7.314000
ARQ,2006-12-31,2007-04-03,2006-12-31,2006-Q4,3550818000.000000,55517319086.000000,2025-04-28,-337323000.000000,9502738000.000000,,6324079000.000000,3178659000.000000,,5.036000,,2398731000.000000,3201402689.000000,,,2.280000,0.547000,0.000000,0.000000,0.000000,0.000000,460185000.000000,,0.000000,0.002000,0.000000,,,,,,,,,,6135855000.000000,,8189056088.000000,52315916397.000000,15.000000,13.577000,,,0.749000,,,1250168000.000000,,3080578000.000000,,3977000.000000,1025931000.000000,930950000.000000,94981000.000000,3357428000.000000,2773261000.000000,584167000.000000,,,,,,,,,,,,,,,,,,,644379000.000000,,6.779000,22.228000,22.317000,1206195000.000000,,45.570000,4.424000,4.424000,2442863000.000000,6594809000.000000,,,,,,,,,,1.000000,1218286572.000000,1218286572.000000,,,8252570000.000000,176004000.000000,,380040000.000000,6.774000
ARQ,2007-12-31,2008-04-02,2007-12-31,2007-Q4,3209000000.000000,59106889252.000000,2025-04-28,-515000000.000000,10366000000.000000,,6408000000.000000,3958000000.000000,,5.427000,,2158000000.000000,3377194081.000000,,,2.003000,0.594000,0.000000,0.000000,0.000000,0.000000,519000000.000000,,0.000000,0.012000,0.000000,,,,,,,,,,6503000000.000000,,10176966222.000000,55729695171.000000,13.000000,11.484000,,,0.639000,,,1826000000.000000,,3183000000.000000,,0.000000,687000000.000000,598000000.000000,89000000.000000,3862000000.000000,3199000000.000000,663000000.000000,,,,,,,,,,,,,,,,,,,725000000.000000,,5.808000,19.682000,19.825000,1316000000.000000,,49.330000,3.688000,3.688000,2898000000.000000,7159000000.000000,,,,,,,,,,1.000000,1198193579.000000,1198193579.000000,,,8540000000.000000,271000000.000000,,551000000.000000,7.127000
ARQ,2008-12-31,2009-03-26,2008-12-31,2008-Q4,-52000000.000000,44844553890.000000,2025-04-28,-660000000.000000,14197000000.000000,,5782000000.000000,8415000000.000000,,6.092000,,1280000000.000000,1733635094.000000,,,0.991000,0.963000,2610000000.000000,2574000000.000000,36000000.000000,3534990309.000000,672000000.000000,,0.000000,0.021000,0.000000,,,,,,,,,,7233000000.000000,,9796392685.000000,46645909105.000000,13.000000,10.427000,,,0.738000,,,6136000000.000000,,3557000000.000000,,0.000000,477000000.000000,382000000.000000,95000000.000000,6962000000.000000,5834000000.000000,1128000000.000000,,,,,,,,,,,,,,,,,,,543000000.000000,,4.578000,17.725000,17.762000,1405000000.000000,,37.770000,2.863000,2.863000,3130000000.000000,7709000000.000000,,,,,,,,,,1.000000,1187306166.000000,1187306166.000000,,,8061000000.000000,390000000.000000,,846000000.000000,6.789000
ARQ,2009-12-31,2010-03-25,2009-12-31,2009-Q4,1839000000.000000,55860637950.000000,2025-04-28,0.000000,13374000000.000000,,5255000000.000000,8119000000.000000,,7.131000,,1884000000.000000,2508498137.000000,,,1.538000,0.576000,875000000.000000,146000000.000000,729000000.000000,1165040270.000000,662000000.000000,,0.000000,0.014000,0.000000,,,,,,,,,,8477000000.000000,,11286910140.000000,54517180083.000000,16.000000,13.644000,,,0.751000,,,5888000000.000000,,3061000000.000000,,0.000000,952000000.000000,633000000.000000,319000000.000000,4883000000.000000,3416000000.000000,1467000000.000000,,,,,,,,,,,,,,,,,,,673000000.000000,,4.949000,24.001000,24.008000,1371000000.000000,,46.990000,3.931000,3.931000,2598000000.000000,8571000000.000000,,,,,,,,,,1.000000,1188777143.000000,1188777143.000000,,,7486000000.000000,681000000.000000,,554000000.000000,6.297000
ARQ,2010-12-31,2011-01-27,2010-12-31,2010-Q4,2010000000.000000,68123951372.000000,2025-04-28,0.000000,20718000000.000000,,7143000000.000000,13575000000.000000,,8.215000,,3518000000.000000,4825193049.000000,1141000000.000000,437000000.000000,1.392000,1.122000,4591000000.000000,142000000.000000,4449000000.000000,6296890645.000000,974000000.000000,,0.000000,0.012000,0.000000,486000000.000000,,,,666584372.000000,451000000.000000,0.370000,0.370000,0.507000,9757000000.000000,,13382435639.000000,69595648968.000000,,,,,0.729000,2917000000.000000,0.719000,10754000000.000000,35000000.000000,5904000000.000000,,0.000000,773000000.000000,338000000.000000,435000000.000000,10944000000.000000,5133000000.000000,5811000000.000000,,,,,,,,,,,437000000.000000,437000000.000000,599377306.000000,0.000000,0.000000,0.108000,2374000000.000000,543000000.000000,958000000.000000,0.000000,5.091000,,,1450000000.000000,0.000000,57.360000,,,3179000000.000000,9769000000.000000,4058000000.000000,5565842351.000000,481000000.000000,,,,,,964000000.000000,1.000000,1187656056.000000,1187656056.000000,,4.686000,9964000000.000000,1044000000.000000,14000000.000000,1107000000.000000,8.390000
ARQ,2010-12-31,2011-03-18,2010-12-31,2010-Q4,1994000000.000000,68385235704.000000,2025-04-28,0.000000,20841000000.000000,,7143000000.000000,13698000000.000000,,8.257000,,3518000000.000000,4979462195.000000,,,1.387000,1.123000,4591000000.000000,142000000.000000,4449000000.000000,6498212319.000000,974000000.000000,,0.000000,0.012000,0.000000,,,,,,,,,,9807000000.000000,,13881064739.000000,69903985828.000000,21.000000,16.816000,,,0.707000,,,10807000000.000000,,5958000000.000000,,0.000000,845000000.000000,339000000.000000,506000000.000000,11017000000.000000,5149000000.000000,5868000000.000000,,,,,,,,,,,,,,,,,,,952000000.000000,,4.927000,26.678000,26.763000,1449000000.000000,,57.580000,3.876000,3.876000,3177000000.000000,9767000000.000000,,,,,,,,,,1.000000,1187656056.000000,1187656056.000000,,,10034000000.000000,1045000000.000000,,1113000000.000000,8.449000
