dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2000-03-31,2000-07-11,2000-03-31,2000-Q1,,,2025-05-11,0.000000,22864799.000000,,22283107.000000,581692.000000,,-0.422000,,22179362.000000,22179362.000000,,,,-0.313000,0.000000,,,0.000000,0.000000,,0.000000,,0.000000,,,,,,,,,,-1558362.000000,,-1558362.000000,,,,,,1.000000,,,0.000000,,685437.000000,,0.000000,0.000000,0.000000,0.000000,487663.000000,,,,,,,,,,,,,,,,,,,,,487663.000000,,,,,121513.000000,,,,,0.000000,-10696729.000000,,,,,,,,,,1.000000,3689592.000000,3689592.000000,,,22864799.000000,0.000000,,0.000000,6.197000
ARQ,2000-06-30,2000-08-11,2000-06-30,2000-Q2,,457674475.000000,2025-05-11,0.000000,21138709.000000,,20072974.000000,1065735.000000,,-2.507000,,20020844.000000,20020844.000000,0.000000,-3513291.000000,,-0.205000,0.000000,,,0.000000,0.000000,,0.000000,0.000000,0.000000,-3513091.000000,,,,-3513091.000000,-3513091.000000,-2.520000,-2.520000,-2.520000,-3517117.000000,,-3517117.000000,437653631.000000,,,,,1.000000,0.000000,,0.000000,0.000000,1117865.000000,,0.000000,0.000000,0.000000,0.000000,720328.000000,,,,,,,,,,,,,-3513291.000000,-3513291.000000,-3513291.000000,0.000000,0.000000,,3746546.000000,-3746546.000000,720328.000000,0.000000,-130.128000,,,123551.000000,0.000000,119.910000,,,0.000000,-14210020.000000,0.000000,0.000000,1359951.000000,,,,,,2386595.000000,1.000000,3816817.000000,1403070.000000,1403070.000000,0.000000,21138709.000000,0.000000,200.000000,0.000000,15.066000
ARQ,2000-09-30,2000-11-13,2000-09-30,2000-Q3,,587789752.000000,2025-05-11,0.000000,82840792.000000,,82575696.000000,265096.000000,,24.144000,,81996938.000000,81996938.000000,0.000000,-5270677.000000,,0.017000,0.000000,,,0.000000,0.000000,,0.000000,0.000000,0.000000,-5270477.000000,,,,-5270477.000000,-5270477.000000,-1.540000,-1.540000,-1.540000,81489237.000000,,81489237.000000,505792814.000000,,,,,1.000000,0.000000,,0.000000,0.000000,843854.000000,,0.000000,0.000000,0.000000,0.000000,1351555.000000,,,,,,,,,,,,,-5270677.000000,-5270677.000000,-5270677.000000,0.000000,0.000000,,6287764.000000,-6287764.000000,1351555.000000,0.000000,7.213000,,,265096.000000,0.000000,154.000000,,,0.000000,-19480697.000000,0.000000,0.000000,1615833.000000,,,,,,4671931.000000,1.000000,3816817.000000,3375088.000000,3375088.000000,0.000000,82840792.000000,0.000000,200.000000,0.000000,24.545000
ARQ,2000-12-31,2001-04-02,2000-12-31,2000-Q4,77320445.000000,272463440.000000,2025-05-11,0.000000,81147046.000000,,79772823.000000,1374223.000000,,48.068000,-1045183.000000,78926830.000000,78926830.000000,0.000000,-2887685.000000,32.529000,0.031000,0.000000,0.000000,0.000000,0.000000,0.000000,11056.000000,0.000000,0.000000,0.000000,-2887485.000000,-2876429.000000,,-2876429.000000,-2887485.000000,-2887485.000000,-2.240000,-2.240000,-2.240000,78694668.000000,,78694668.000000,193536610.000000,-11.000000,-11.101000,-3120620.000000,-1.906000,1.000000,0.000000,,0.000000,0.000000,-232162.000000,,0.000000,0.000000,0.000000,0.000000,2452378.000000,2452378.000000,0.000000,-3070108.000000,0.000000,12112.000000,0.000000,0.000000,50512.000000,-1045183.000000,0.000000,-2075437.000000,0.000000,-2887685.000000,-2887685.000000,-2887685.000000,0.000000,0.000000,,4217612.000000,-4217612.000000,2313279.000000,0.000000,3.462000,-8.592000,-4.373000,1299223.000000,0.000000,71.330000,,,0.000000,-22368382.000000,0.000000,0.000000,8187117.000000,,,,,-2603396.000000,-3969505.000000,1.000000,3819759.000000,1637165.000000,1637165.000000,0.000000,81147046.000000,0.000000,200.000000,0.000000,49.566000
ARQ,2001-03-31,2001-05-11,2001-03-31,2001-Q1,73985194.000000,243666751.000000,2025-05-11,0.000000,78830763.000000,,76585012.000000,2245751.000000,,21.865000,-933461.000000,75952528.000000,75952528.000000,0.000000,-2193029.000000,29.458000,0.034000,0.000000,0.000000,0.000000,0.000000,0.000000,12249.000000,0.000000,0.000000,0.000000,-2192829.000000,-2180580.000000,,-2180580.000000,-2192829.000000,-2192829.000000,-0.630000,-0.630000,-0.630000,76230945.000000,,76230945.000000,167714223.000000,-12.000000,,-2974502.000000,-0.853000,1.000000,0.000000,,0.000000,0.000000,278417.000000,,0.000000,0.000000,0.000000,0.000000,2599818.000000,2599818.000000,0.000000,-2974302.000000,0.000000,200.000000,0.000000,0.000000,200.000000,-933461.000000,0.000000,-2041041.000000,0.000000,-2193029.000000,-2193029.000000,-2193029.000000,0.000000,0.000000,,3288847.000000,-3288847.000000,2404669.000000,0.000000,3.196000,-17.575000,-9.192000,2170751.000000,0.000000,63.700000,,,0.000000,-24561411.000000,0.000000,0.000000,2074430.000000,,,,,-270894.000000,1214417.000000,1.000000,3825224.000000,3486380.000000,3486380.000000,0.000000,78830763.000000,0.000000,200.000000,0.000000,22.611000
ARQ,2001-06-30,2001-08-10,2001-06-30,2001-Q2,70477108.000000,197016684.000000,2025-05-11,0.000000,74504092.000000,,71964381.000000,2539711.000000,,20.421000,,71642092.000000,71642092.000000,0.000000,-3084052.000000,48.387000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,-3083852.000000,,,,-3083852.000000,-3083852.000000,-0.840000,-0.840000,-0.840000,73016819.000000,,73016819.000000,125374592.000000,-9.000000,,,,1.000000,0.000000,,0.000000,0.000000,1374727.000000,,0.000000,0.000000,0.000000,0.000000,1487273.000000,1487273.000000,0.000000,,,,,,,,,,,-3084052.000000,-3084052.000000,-3084052.000000,0.000000,0.000000,,3918965.000000,-3918965.000000,1343296.000000,0.000000,2.698000,-14.664000,-9.800000,2464711.000000,0.000000,51.450000,,,0.000000,-27645463.000000,0.000000,0.000000,2688527.000000,,,,,,1230438.000000,1.000000,3829284.000000,3575594.000000,3575594.000000,0.000000,74504092.000000,0.000000,200.000000,0.000000,20.837000
ARQ,2001-09-30,2001-11-13,2001-09-30,2001-Q3,67577288.000000,174381942.000000,2025-05-11,0.000000,71469611.000000,,68963317.000000,2506294.000000,,19.149000,,68441780.000000,68441780.000000,0.000000,-3370106.000000,49.756000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,-3369906.000000,,,,-3369906.000000,-3369906.000000,-0.910000,-0.910000,-0.910000,70083582.000000,,70083582.000000,105940162.000000,-9.000000,,,,1.000000,0.000000,,0.000000,0.000000,1641802.000000,,0.000000,0.000000,0.000000,0.000000,1386029.000000,1386029.000000,0.000000,,,,,,,,,,,-3370106.000000,-3370106.000000,-3370106.000000,0.000000,0.000000,,4008785.000000,-4008785.000000,1230872.000000,0.000000,2.488000,-15.118000,-9.848000,2431294.000000,0.000000,45.500000,,,0.000000,-31015569.000000,0.000000,0.000000,2610084.000000,,,,,,1398701.000000,1.000000,3832570.000000,3659820.000000,3659820.000000,0.000000,71469611.000000,0.000000,200.000000,0.000000,19.528000
ARQ,2001-12-31,2002-03-22,2001-12-31,2001-Q4,63194831.000000,227927799.000000,2025-05-11,0.000000,68135796.000000,,65714302.000000,2421494.000000,,17.502000,-2348.000000,65274291.000000,65274291.000000,0.000000,-5690163.000000,26.083000,0.038000,0.000000,0.000000,0.000000,0.000000,0.000000,87148.000000,0.000000,0.000000,0.000000,-5689963.000000,-5602815.000000,,-5602815.000000,-5689963.000000,-5689963.000000,-1.540000,-1.540000,-1.540000,65616325.000000,,65616325.000000,162653508.000000,-11.000000,-11.543000,-3200652.000000,-0.854000,1.000000,0.000000,,0.000000,0.000000,342034.000000,,0.000000,0.000000,0.000000,0.000000,2519471.000000,2519471.000000,0.000000,-3167489.000000,0.000000,-59837.000000,0.000000,0.000000,33163.000000,-2348.000000,0.000000,-3198304.000000,0.000000,-5690163.000000,-5690163.000000,-5690163.000000,0.000000,0.000000,,6098111.000000,-6098111.000000,2170211.000000,0.000000,3.474000,-15.897000,-14.719000,2346494.000000,0.000000,58.730000,,,0.000000,-36705732.000000,0.000000,0.000000,4294655.000000,,,,,1189743.000000,1803456.000000,1.000000,3880943.000000,3749092.000000,3749092.000000,0.000000,68135796.000000,0.000000,200.000000,0.000000,18.174000
ARQ,2002-06-30,2002-08-13,2002-06-30,2002-Q2,56385679.000000,211084261.000000,2025-05-11,0.000000,60639565.000000,,58388765.000000,2250800.000000,,15.181000,0.000000,57805993.000000,57805993.000000,0.000000,-3714514.000000,29.149000,0.034000,0.000000,0.000000,0.000000,0.000000,0.000000,87931.000000,0.000000,0.000000,0.000000,-3714314.000000,-3626383.000000,,-3626383.000000,-3714314.000000,-3714314.000000,-0.980000,-0.980000,-0.980000,58636479.000000,,58636479.000000,153278268.000000,-9.000000,,-3674473.000000,-0.951000,1.000000,0.000000,,0.000000,0.000000,830486.000000,,0.000000,0.000000,0.000000,0.000000,2003086.000000,2003086.000000,0.000000,-3552576.000000,0.000000,111216.000000,0.000000,0.000000,121897.000000,0.000000,0.000000,-3674473.000000,0.000000,-3714514.000000,-3714514.000000,-3714514.000000,0.000000,0.000000,,3980624.000000,-3980624.000000,1406197.000000,0.000000,3.600000,-12.564000,-12.125000,2175800.000000,0.000000,54.320000,,,0.000000,-44446324.000000,0.000000,0.000000,2673994.000000,,,,,190666.000000,1162072.000000,1.000000,3885940.000000,3862367.000000,3862367.000000,0.000000,60639565.000000,0.000000,200.000000,0.000000,15.700000
ARQ,2002-09-30,2002-11-12,2002-09-30,2002-Q3,53069987.000000,112805715.000000,2025-05-11,0.000000,56691296.000000,,54529936.000000,2161360.000000,,14.269000,0.000000,53892508.000000,53892508.000000,0.000000,-3050061.000000,37.351000,0.026000,0.000000,0.000000,0.000000,0.000000,0.000000,87494.000000,0.000000,0.000000,0.000000,-3049861.000000,-2962367.000000,,-2962367.000000,-3049861.000000,-3049861.000000,-0.770000,-0.770000,-0.770000,55231347.000000,,55231347.000000,58913207.000000,-4.000000,-3.652000,-3929623.000000,-1.015000,1.000000,0.000000,,0.000000,0.000000,1338839.000000,,0.000000,0.000000,0.000000,0.000000,1459949.000000,1459949.000000,0.000000,-3913485.000000,0.000000,-3896.000000,0.000000,0.000000,16138.000000,0.000000,0.000000,-3929623.000000,0.000000,-3050061.000000,-3050061.000000,-3050061.000000,0.000000,0.000000,,3289202.000000,-3289202.000000,1072243.000000,0.000000,2.042000,-6.845000,-6.694000,2086360.000000,0.000000,29.050000,,,0.000000,-47496385.000000,0.000000,0.000000,2130144.000000,,,,,-182401.000000,1153854.000000,1.000000,3883157.000000,3870628.000000,3870628.000000,0.000000,56691296.000000,0.000000,200.000000,0.000000,14.647000
