dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,1996-12-31,1997-03-28,1996-12-31,1996-Q4,,5883364328.000000,2025-05-09,3280000.000000,13778768000.000000,,,,,0.706000,,7869288000.000000,7869288000.000000,,,,15.124000,283816000.000000,,,283816000.000000,0.000000,,0.000000,0.006000,0.007000,,,,,,,,,,854555000.000000,,854555000.000000,-1702107672.000000,-4.000000,-3.457000,,,1.000000,,,68922000.000000,,6124374000.000000,,0.000000,127866000.000000,,,12924213000.000000,,,,,,,,,,,,,,,,,,,,,12279714000.000000,,6.885000,25.164000,25.623000,315376000.000000,,4.945000,3.179000,3.235000,5243758000.000000,723085000.000000,,,,,,,,,,1.000000,1189715674.000000,1210956750.000000,,,13709846000.000000,0.000000,,0.000000,11.321000
ARQ,1997-03-31,1997-05-14,1997-03-31,1997-Q1,,6440017076.000000,2025-05-09,715000.000000,14643061000.000000,,,,,0.768000,-32727000.000000,8195019000.000000,8195019000.000000,0.000000,66735000.000000,,14.613000,283317000.000000,,,283317000.000000,0.000000,27773000.000000,0.000000,0.006000,0.007000,110320000.000000,138093000.000000,0.258000,138093000.000000,110320000.000000,110320000.000000,0.055000,0.055000,0.055000,937875000.000000,,937875000.000000,-1471684924.000000,,,83679000.000000,0.069000,1.000000,535654000.000000,1.000000,63960000.000000,0.000000,6667399000.000000,,0.000000,201919000.000000,,,13705186000.000000,,,80079000.000000,0.000000,0.000000,0.000000,-8762000.000000,-3241000.000000,-32727000.000000,0.000000,116406000.000000,-359000.000000,66735000.000000,66735000.000000,66735000.000000,0.000000,0.000000,0.125000,425334000.000000,110320000.000000,13064448000.000000,0.127000,6.867000,,,322625000.000000,0.000000,5.427000,,,5749558000.000000,781058000.000000,535654000.000000,535654000.000000,0.000000,,,,,4969000.000000,351669000.000000,1.000000,1186735334.000000,1220568750.000000,1220568750.000000,0.439000,14579101000.000000,0.000000,43585000.000000,0.000000,11.945000
ARQ,1997-06-30,1997-07-29,1997-06-30,1997-Q2,,8182473741.000000,2025-05-09,1629000.000000,14678298000.000000,,,,,0.812000,-36894000.000000,7768104000.000000,7768104000.000000,0.000000,63962000.000000,,13.785000,289180000.000000,,,289180000.000000,0.000000,29686000.000000,0.000000,0.004000,0.000000,105743000.000000,135429000.000000,0.255000,135429000.000000,105743000.000000,105743000.000000,0.052000,0.052000,0.052000,992764000.000000,,992764000.000000,703549741.000000,,,35591000.000000,0.029000,1.000000,530784000.000000,1.000000,61943000.000000,0.000000,7137431000.000000,,0.000000,189979000.000000,,,13685534000.000000,,,20058000.000000,0.000000,-15702000.000000,10000000.000000,-8809000.000000,-16442000.000000,-36894000.000000,0.000000,72485000.000000,909000.000000,63962000.000000,63962000.000000,63962000.000000,0.000000,0.000000,0.121000,425041000.000000,105743000.000000,13031114000.000000,0.000000,8.242000,,,332664000.000000,0.000000,6.871000,,,6207301000.000000,836211000.000000,530784000.000000,530784000.000000,0.000000,,,,,8331000.000000,350647000.000000,1.000000,1190851612.000000,1222364250.000000,1222364250.000000,0.434000,14616355000.000000,0.000000,41781000.000000,0.000000,11.957000
ARQ,1997-09-30,1997-10-29,1997-09-30,1997-Q3,,8897133345.000000,2025-05-09,-88000.000000,15631483000.000000,,,,,0.877000,-33594000.000000,7445910000.000000,7445910000.000000,0.000000,76525000.000000,,13.501000,319980000.000000,,,319980000.000000,0.000000,34948000.000000,0.000000,0.004000,0.007000,126940000.000000,161888000.000000,0.265000,161888000.000000,126940000.000000,126940000.000000,0.062000,0.062000,0.062000,1077969000.000000,,1077969000.000000,1771203345.000000,,,100727000.000000,0.082000,1.000000,611839000.000000,1.000000,57961000.000000,0.000000,8447592000.000000,,0.000000,176173000.000000,,,14553514000.000000,,,124097000.000000,0.000000,-528000.000000,26315000.000000,-8811000.000000,24706000.000000,-33594000.000000,0.000000,134321000.000000,-1336000.000000,76525000.000000,76525000.000000,76525000.000000,0.000000,0.000000,0.125000,484899000.000000,126940000.000000,13778815000.000000,0.113000,8.254000,,,335754000.000000,0.000000,7.444000,,,7477199000.000000,903033000.000000,611839000.000000,611839000.000000,0.000000,,,,,8543000.000000,389341000.000000,1.000000,1195137315.000000,1228504500.000000,1228504500.000000,0.498000,15573522000.000000,0.000000,50415000.000000,0.000000,12.677000
ARQ,1997-12-31,1998-03-27,1997-12-31,1997-Q4,,10209018513.000000,2025-05-09,920000.000000,16481707000.000000,,,,,0.927000,-36201000.000000,7571471000.000000,7571471000.000000,0.000000,63055000.000000,,13.393000,361049000.000000,,,361049000.000000,0.000000,32275000.000000,0.000000,0.004000,0.009000,104244000.000000,136519000.000000,0.220000,136519000.000000,104244000.000000,104244000.000000,0.060000,0.051000,0.060000,1145117000.000000,,1145117000.000000,2998596513.000000,7.000000,5.243000,-91336000.000000,-0.074000,1.000000,620473000.000000,1.000000,55854000.000000,0.000000,9215431000.000000,,0.000000,282569000.000000,,,15336590000.000000,,,-60104000.000000,-1200000.000000,12526000.000000,41036000.000000,-10709000.000000,31533000.000000,-37401000.000000,0.000000,-55135000.000000,899000.000000,63055000.000000,63055000.000000,63055000.000000,0.000000,0.000000,0.102000,516229000.000000,104244000.000000,14497509000.000000,0.150000,8.915000,37.772000,37.001000,342273000.000000,0.000000,8.473000,4.441000,4.521000,8018583000.000000,955496000.000000,620473000.000000,620473000.000000,0.000000,,,,,2542000.000000,406220000.000000,1.000000,1204840894.000000,1234836000.000000,1234836000.000000,0.502000,16425853000.000000,0.000000,41189000.000000,0.000000,13.302000
ARQ,1998-03-31,1998-05-12,1998-03-31,1998-Q1,,9310465696.000000,2025-05-09,1654000.000000,18193537000.000000,,,,,0.952000,-37776000.000000,9050997000.000000,9050997000.000000,0.000000,67964000.000000,,14.454000,361037000.000000,,,361037000.000000,0.000000,34195000.000000,0.000000,0.004000,0.009000,112334000.000000,146529000.000000,0.242000,146529000.000000,112334000.000000,112334000.000000,0.058000,0.056000,0.058000,1177300000.000000,,1177300000.000000,620505696.000000,1.000000,1.069000,164524000.000000,0.133000,1.000000,604406000.000000,1.000000,53717000.000000,0.000000,9449860000.000000,,0.000000,234083000.000000,,,17016237000.000000,,,107755000.000000,0.000000,-46430000.000000,0.000000,-10604000.000000,-57034000.000000,-37776000.000000,0.000000,202300000.000000,265000.000000,67964000.000000,67964000.000000,67964000.000000,0.000000,0.000000,0.112000,492072000.000000,112334000.000000,16184002000.000000,0.155000,7.908000,34.292000,33.410000,348671000.000000,0.000000,7.751000,3.933000,4.049000,8340655000.000000,1012856000.000000,604406000.000000,604406000.000000,0.000000,,,,,6774000.000000,417284000.000000,1.000000,1201178200.000000,1236721500.000000,1236721500.000000,0.489000,18139820000.000000,0.000000,44370000.000000,0.000000,14.668000
ARQ,1998-06-30,1998-08-11,1998-06-30,1998-Q2,,9460031911.000000,2025-05-09,1518000.000000,18265142000.000000,,,,,0.988000,-47625000.000000,8024818000.000000,8024818000.000000,0.000000,76356000.000000,,14.037000,391004000.000000,,,391004000.000000,0.000000,35255000.000000,0.000000,0.005000,0.009000,125881000.000000,161136000.000000,0.253000,161136000.000000,125881000.000000,125881000.000000,0.064000,0.062000,0.064000,1214682000.000000,,1214682000.000000,1826217911.000000,4.000000,3.013000,51247000.000000,0.042000,1.000000,637960000.000000,1.000000,50791000.000000,0.000000,10580537000.000000,,0.000000,232389000.000000,,,17050460000.000000,,,10326000.000000,0.000000,-60121000.000000,30000000.000000,-10681000.000000,-40802000.000000,-47625000.000000,0.000000,98872000.000000,-119000.000000,76356000.000000,76356000.000000,76356000.000000,0.000000,0.000000,0.120000,512079000.000000,125881000.000000,16188014000.000000,0.141000,7.788000,33.322000,32.277000,364518000.000000,0.000000,7.876000,3.823000,3.911000,9427090000.000000,1078659000.000000,637960000.000000,637960000.000000,0.000000,,,,,8262000.000000,433375000.000000,1.000000,1201189154.000000,1229076000.000000,1229076000.000000,0.519000,18214351000.000000,0.000000,49525000.000000,0.000000,14.820000
ARQ,1998-09-30,1998-11-10,1998-09-30,1998-Q3,,13714356869.000000,2025-05-09,2416000.000000,18846013000.000000,,,,,1.061000,-59441000.000000,8786892000.000000,8786892000.000000,0.000000,97772000.000000,,13.431000,351002000.000000,,,351002000.000000,0.000000,35175000.000000,0.000000,0.004000,0.009000,162499000.000000,197674000.000000,0.280000,197674000.000000,162499000.000000,162499000.000000,0.082000,0.078000,0.082000,1305908000.000000,,1305908000.000000,5278466869.000000,10.000000,8.224000,174680000.000000,0.142000,1.000000,705271000.000000,1.000000,49270000.000000,0.000000,10360853000.000000,,0.000000,212538000.000000,,,17540105000.000000,,,105444000.000000,0.000000,-19065000.000000,-40047000.000000,-10640000.000000,-69752000.000000,-59441000.000000,0.000000,234121000.000000,516000.000000,97772000.000000,97772000.000000,97772000.000000,0.000000,0.000000,0.139000,542772000.000000,162499000.000000,16697514000.000000,0.110000,10.502000,44.943000,43.190000,389784000.000000,0.000000,11.402000,5.340000,5.464000,9271639000.000000,1165827000.000000,705271000.000000,705271000.000000,0.000000,,,,,12761000.000000,451178000.000000,1.000000,1202779300.000000,1230570000.000000,1230570000.000000,0.573000,18796743000.000000,0.000000,64727000.000000,0.000000,15.275000
ARQ,1998-12-31,1999-03-30,1998-12-31,1998-Q4,,38298794001.000000,2025-05-09,1308000.000000,22264390000.000000,,,,,1.151000,-40652000.000000,11398871000.000000,11398871000.000000,0.000000,106370000.000000,,14.585000,351000000.000000,,,351000000.000000,0.000000,33852000.000000,0.000000,0.001000,0.009000,175830000.000000,209682000.000000,0.266000,209682000.000000,175830000.000000,175830000.000000,0.089000,0.088000,0.089000,1428622000.000000,,1428622000.000000,27250923001.000000,47.000000,38.112000,142121000.000000,0.114000,1.000000,788584000.000000,1.000000,46274000.000000,0.000000,11170245000.000000,,0.000000,242115000.000000,,,20835768000.000000,,,134956000.000000,-1400000.000000,6202000.000000,-2000.000000,-11143000.000000,-4943000.000000,-42052000.000000,0.000000,182773000.000000,-822000.000000,106370000.000000,106370000.000000,106370000.000000,0.000000,0.000000,0.135000,612754000.000000,175830000.000000,19866519000.000000,0.101000,26.808000,109.908000,107.224000,396163000.000000,0.000000,31.417000,13.997000,14.174000,9980474000.000000,1254953000.000000,788584000.000000,788584000.000000,0.000000,,,,,392000.000000,510561000.000000,1.000000,1219059756.000000,1241679000.000000,1241679000.000000,0.635000,22218116000.000000,0.000000,69460000.000000,0.000000,17.894000
ARQ,1999-03-31,1999-05-11,1999-03-31,1999-Q1,,47474896153.000000,2025-05-09,61000.000000,23439279000.000000,,,,,1.367000,-55962000.000000,10113723000.000000,10113723000.000000,0.000000,142867000.000000,,12.636000,351080000.000000,,,351080000.000000,0.000000,34869000.000000,0.000000,0.001000,0.009000,236092000.000000,270961000.000000,0.285000,270961000.000000,236092000.000000,236092000.000000,0.120000,0.113000,0.120000,1718932000.000000,,1718932000.000000,37712253153.000000,54.000000,44.925000,-127044000.000000,-0.101000,1.000000,951585000.000000,1.000000,48852000.000000,0.000000,13627784000.000000,,0.000000,316656000.000000,,,21720347000.000000,,,-115965000.000000,-5657000.000000,28972000.000000,0.000000,-11287000.000000,17685000.000000,-61619000.000000,0.000000,-71082000.000000,-949000.000000,142867000.000000,142867000.000000,142867000.000000,0.000000,0.000000,0.150000,715493000.000000,236092000.000000,20763258000.000000,0.075000,27.619000,112.137000,108.895000,418890000.000000,0.000000,38.767000,15.397000,15.813000,12311085000.000000,1386533000.000000,951585000.000000,951585000.000000,0.000000,,,,,16759000.000000,601820000.000000,1.000000,1224631887.000000,1257753000.000000,1257753000.000000,0.757000,23390427000.000000,0.000000,93225000.000000,0.000000,18.597000
