dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2018-12-31,2020-01-10,2018-12-31,2018-Q4,77685000.000000,,2025-05-08,-9000.000000,120730000.000000,,104690000.000000,16040000.000000,,-1.659000,,77716000.000000,77716000.000000,,,3.877000,-0.428000,0.000000,0.000000,0.000000,0.000000,20730000.000000,,0.000000,,0.000000,,,,,,,,,,-71560000.000000,,-71560000.000000,,,,,,1.000000,,,0.000000,,16009000.000000,,0.000000,11795000.000000,6351000.000000,5444000.000000,30603000.000000,27005000.000000,3598000.000000,,,,,,,,,,,,,,,,,,,2773000.000000,,,,,7967000.000000,,,,,18021000.000000,-80525000.000000,,,,,,,,,,1.000000,59564846.000000,43142465.000000,,,120730000.000000,0.000000,,0.000000,2.798000
ARQ,2019-09-30,2020-01-27,2019-09-30,2019-Q3,78614000.000000,,2025-05-08,24000.000000,155346000.000000,,116447000.000000,38899000.000000,,-1.945000,,33089000.000000,33089000.000000,9249000.000000,-11961000.000000,3.078000,-0.584000,15540000.000000,5493000.000000,10047000.000000,15540000.000000,19129000.000000,,0.000000,,0.000000,-11765000.000000,,,,-11765000.000000,-11765000.000000,-0.257000,-0.257000,-0.257000,-87292000.000000,,-87292000.000000,,,,,,1.000000,10711000.000000,0.537000,0.000000,0.000000,99964000.000000,,0.000000,81265000.000000,65214000.000000,16051000.000000,51013000.000000,37833000.000000,13180000.000000,,,,,,,,,,,-11508000.000000,-11508000.000000,-11508000.000000,0.000000,-453000.000000,-0.577000,22003000.000000,-11292000.000000,6463000.000000,0.000000,,,,20823000.000000,0.000000,,,,14665000.000000,-98327000.000000,19960000.000000,19960000.000000,10353000.000000,,,,,,11650000.000000,1.000000,59564846.000000,44879190.000000,44879190.000000,0.445000,155346000.000000,0.000000,-257000.000000,0.000000,3.461000
ARQ,2019-12-31,2020-03-16,2019-12-31,2019-Q4,73516000.000000,1922001698.000000,2025-05-08,16000.000000,155270000.000000,,118536000.000000,36734000.000000,,-2.044000,-157000.000000,26486000.000000,26486000.000000,10305000.000000,-7145000.000000,2.633000,-0.611000,14472000.000000,5584000.000000,8888000.000000,14472000.000000,27259000.000000,5085000.000000,0.000000,0.000000,0.000000,-6798000.000000,-1713000.000000,-0.066000,-1713000.000000,-6798000.000000,-6798000.000000,-0.148000,-0.148000,-0.148000,-93364000.000000,,-93364000.000000,1909987698.000000,-77.000000,-112.056000,-11422000.000000,-0.250000,1.000000,15527000.000000,0.601000,0.000000,0.000000,98236000.000000,,0.000000,75210000.000000,59844000.000000,15366000.000000,57013000.000000,45020000.000000,11993000.000000,-6603000.000000,0.000000,124000.000000,0.000000,0.000000,-1715000.000000,6377000.000000,6534000.000000,-11265000.000000,0.000000,-6769000.000000,-6769000.000000,-6769000.000000,0.000000,-376000.000000,-0.262000,23374000.000000,-7847000.000000,3524000.000000,0.000000,-20.586000,-78.222000,-55.539000,19030000.000000,0.000000,30.380000,22.468000,15.941000,25738000.000000,-105096000.000000,25832000.000000,25832000.000000,11082000.000000,,,,,581000.000000,12292000.000000,1.000000,63265362.000000,45672563.000000,45672563.000000,0.566000,155270000.000000,0.000000,-29000.000000,0.000000,3.400000
ARQ,2020-03-31,2020-05-13,2020-03-31,2020-Q1,270649000.000000,3511052473.000000,2025-05-08,-442000.000000,349872000.000000,,312815000.000000,37057000.000000,,7.267000,-843000.000000,145249000.000000,145249000.000000,10549000.000000,-14271000.000000,7.419000,0.184000,14984000.000000,5851000.000000,9133000.000000,14984000.000000,23835000.000000,2176000.000000,0.000000,0.000000,0.000000,-13735000.000000,-11559000.000000,-0.442000,-11559000.000000,-13735000.000000,-13735000.000000,-0.340000,-0.340000,-0.340000,295517000.000000,,295517000.000000,3380787473.000000,,,-6621000.000000,-0.163000,1.000000,15625000.000000,0.597000,0.000000,0.000000,177441000.000000,,0.000000,158661000.000000,143505000.000000,15156000.000000,54324000.000000,42166000.000000,12158000.000000,118763000.000000,0.000000,212454000.000000,0.000000,0.000000,212454000.000000,-87913000.000000,-87070000.000000,-5778000.000000,0.000000,-13826000.000000,-13826000.000000,-13826000.000000,0.000000,-445000.000000,-0.528000,27425000.000000,-11800000.000000,6675000.000000,0.000000,11.881000,,,19729000.000000,0.000000,55.470000,,,18180000.000000,-118922000.000000,26174000.000000,26174000.000000,13700000.000000,,,,,1775000.000000,13725000.000000,1.000000,63296421.000000,40666970.000000,40666970.000000,0.644000,349872000.000000,0.000000,91000.000000,0.000000,8.603000
ARQ,2020-06-30,2020-08-10,2020-06-30,2020-Q2,263966000.000000,4701461567.000000,2025-05-08,727000.000000,349551000.000000,,307014000.000000,42537000.000000,,4.678000,-484000.000000,110880000.000000,110880000.000000,9509000.000000,-4066000.000000,7.132000,0.180000,13616000.000000,5839000.000000,7777000.000000,13616000.000000,25117000.000000,2204000.000000,0.000000,0.000000,0.000000,-3286000.000000,-1082000.000000,-0.047000,-1082000.000000,-3286000.000000,-3286000.000000,-0.050000,-0.050000,-0.050000,296120000.000000,,296120000.000000,4604197567.000000,-129.000000,,-9535000.000000,-0.151000,1.000000,13583000.000000,0.588000,0.000000,0.000000,209239000.000000,,0.000000,196326000.000000,173646000.000000,22680000.000000,53404000.000000,43048000.000000,10356000.000000,-34369000.000000,0.000000,-731000.000000,0.000000,0.000000,-731000.000000,-24587000.000000,-24103000.000000,-9051000.000000,0.000000,-3350000.000000,-3350000.000000,-3350000.000000,0.000000,-716000.000000,-0.145000,30670000.000000,-17087000.000000,5523000.000000,0.000000,15.877000,-132.611000,-93.409000,17755000.000000,0.000000,74.260000,49.459000,49.448000,17194000.000000,-122272000.000000,23092000.000000,23092000.000000,16657000.000000,,,,,2729000.000000,14013000.000000,1.000000,63310821.000000,63296366.000000,63296366.000000,0.365000,349551000.000000,0.000000,64000.000000,0.000000,5.522000
ARQ,2020-09-30,2020-11-12,2020-09-30,2020-Q3,581838000.000000,3661276405.000000,2025-05-08,480000.000000,680116000.000000,,621114000.000000,59002000.000000,,9.510000,-325000.000000,210990000.000000,210990000.000000,10525000.000000,3286000.000000,15.814000,0.078000,12253000.000000,5491000.000000,6762000.000000,12253000.000000,21659000.000000,2225000.000000,0.000000,0.000000,0.000000,3817000.000000,6042000.000000,0.234000,6042000.000000,3817000.000000,3817000.000000,0.060000,0.050000,0.060000,630878000.000000,,630878000.000000,3462539405.000000,-173.000000,-416.571000,-12357000.000000,-0.186000,1.000000,15272000.000000,0.592000,0.000000,0.000000,442103000.000000,,0.000000,429408000.000000,388494000.000000,40914000.000000,49230000.000000,39276000.000000,9954000.000000,100110000.000000,0.000000,328125000.000000,0.000000,0.000000,328125000.000000,-215983000.000000,-215658000.000000,-12032000.000000,0.000000,3852000.000000,3852000.000000,3852000.000000,0.000000,-566000.000000,0.149000,30717000.000000,-15445000.000000,4812000.000000,0.000000,5.803000,-182.217000,-110.230000,15879000.000000,0.000000,52.690000,36.288000,34.644000,17181000.000000,-118420000.000000,25797000.000000,25797000.000000,17019000.000000,,,,,3038000.000000,13698000.000000,1.000000,69487121.000000,66339570.000000,72693173.000000,0.389000,680116000.000000,0.000000,-35000.000000,0.000000,10.252000
ARQ,2020-12-31,2021-03-04,2020-12-31,2020-Q4,609773000.000000,5082191841.000000,2025-05-08,317000.000000,746263000.000000,,682978000.000000,63285000.000000,,8.954000,-886000.000000,202796000.000000,202796000.000000,14040000.000000,-11586000.000000,9.330000,0.196000,11764000.000000,4543000.000000,7221000.000000,11764000.000000,86567000.000000,2395000.000000,0.000000,0.000000,0.000000,-10914000.000000,-8519000.000000,-0.258000,-8519000.000000,-10914000.000000,-10914000.000000,-0.180000,-0.180000,-0.180000,624015000.000000,,624015000.000000,4891159841.000000,-203.000000,-323.532000,42732000.000000,0.613000,1.000000,18992000.000000,0.575000,0.000000,0.000000,482026000.000000,,0.000000,486059000.000000,440395000.000000,45664000.000000,122244000.000000,73205000.000000,49039000.000000,-8194000.000000,0.000000,1426000.000000,0.000000,0.000000,1426000.000000,-53238000.000000,-52352000.000000,43618000.000000,0.000000,-11139000.000000,-11139000.000000,-11139000.000000,0.000000,-447000.000000,-0.337000,35576000.000000,-16584000.000000,8398000.000000,0.000000,8.144000,-207.750000,-177.049000,15269000.000000,0.000000,72.590000,47.016000,40.309000,35378000.000000,-129559000.000000,33032000.000000,33032000.000000,17319000.000000,,,,,3003000.000000,18257000.000000,1.000000,70012286.000000,69690931.000000,69690931.000000,0.474000,746263000.000000,0.000000,225000.000000,0.000000,10.708000
ARQ,2021-03-31,2021-05-11,2021-03-31,2021-Q1,607617000.000000,4352986726.000000,2025-05-08,77000.000000,744189000.000000,,675238000.000000,68951000.000000,,9.016000,-513000.000000,133622000.000000,133622000.000000,15963000.000000,-523000.000000,9.986000,0.178000,10412000.000000,3576000.000000,6836000.000000,10412000.000000,78115000.000000,2151000.000000,0.000000,0.000000,0.000000,45000.000000,2196000.000000,0.068000,2196000.000000,45000.000000,45000.000000,0.000000,0.000000,0.000000,631768000.000000,,631768000.000000,4229776726.000000,-409.000000,-3103.284000,-11434000.000000,-0.163000,1.000000,16164000.000000,0.503000,0.000000,0.000000,553358000.000000,,0.000000,568303000.000000,515372000.000000,52931000.000000,112413000.000000,67621000.000000,44792000.000000,-69174000.000000,0.000000,3656000.000000,0.000000,0.000000,3656000.000000,-61909000.000000,-61396000.000000,-10921000.000000,0.000000,-29000.000000,-29000.000000,-29000.000000,0.000000,-494000.000000,-0.001000,40076000.000000,-23912000.000000,7220000.000000,,6.890000,-408.118000,-363.176000,13664000.000000,0.000000,61.740000,38.168000,37.933000,18290000.000000,-129588000.000000,32127000.000000,32127000.000000,21448000.000000,,,,,4366000.000000,18628000.000000,1.000000,70505130.000000,70071625.000000,70071625.000000,0.458000,744189000.000000,0.000000,74000.000000,0.000000,10.620000
ARQ,2021-06-30,2021-08-12,2021-06-30,2021-Q2,579410000.000000,4199731743.000000,2025-05-08,76000.000000,717334000.000000,,649788000.000000,67546000.000000,,8.582000,-2914000.000000,120699000.000000,120699000.000000,17804000.000000,-34970000.000000,9.233000,0.184000,8948000.000000,2520000.000000,6428000.000000,8948000.000000,78526000.000000,2126000.000000,0.000000,0.000000,0.000000,-34577000.000000,-32451000.000000,-1.090000,-32451000.000000,-34577000.000000,-34577000.000000,-0.490000,-0.490000,-0.490000,605751000.000000,,605751000.000000,4087980743.000000,-98.000000,-124.892000,-32286000.000000,-0.457000,1.000000,11980000.000000,0.402000,0.000000,0.000000,535205000.000000,,0.000000,545605000.000000,495892000.000000,49713000.000000,111563000.000000,70378000.000000,41185000.000000,-12923000.000000,0.000000,1612000.000000,0.000000,0.000000,1637000.000000,14812000.000000,17726000.000000,-29372000.000000,0.000000,-34644000.000000,-34644000.000000,-34644000.000000,0.000000,-326000.000000,-1.163000,42322000.000000,-30342000.000000,5960000.000000,0.000000,6.933000,-100.089000,-97.328000,14451000.000000,0.000000,59.370000,34.783000,34.706000,25904000.000000,-164232000.000000,29784000.000000,29784000.000000,21092000.000000,,,,,7016000.000000,21230000.000000,1.000000,70738281.000000,70582062.000000,70582062.000000,0.422000,717334000.000000,0.000000,67000.000000,0.000000,10.163000
ARQ,2021-09-30,2021-11-10,2021-09-30,2021-Q3,549109000.000000,3627024677.000000,2025-05-08,44000.000000,762617000.000000,,622025000.000000,140592000.000000,,8.191000,-2783000.000000,163879000.000000,163879000.000000,18735000.000000,-35011000.000000,8.531000,0.315000,79113000.000000,1978000.000000,77135000.000000,79113000.000000,76318000.000000,2642000.000000,0.000000,0.000000,0.000000,-35011000.000000,-32369000.000000,-1.084000,-32369000.000000,-35011000.000000,-35011000.000000,-0.490000,-0.490000,-0.490000,579806000.000000,,579806000.000000,3542258677.000000,-44.000000,-49.791000,-13421000.000000,-0.190000,1.000000,11115000.000000,0.372000,0.000000,0.000000,604935000.000000,,0.000000,487394000.000000,436307000.000000,51087000.000000,182795000.000000,72916000.000000,109879000.000000,43180000.000000,0.000000,1442000.000000,0.000000,0.000000,1442000.000000,52376000.000000,55159000.000000,-10638000.000000,0.000000,-35007000.000000,-35007000.000000,-35007000.000000,0.000000,-4000.000000,-1.173000,45789000.000000,-34674000.000000,8228000.000000,0.000000,6.256000,-44.878000,-44.103000,85533000.000000,0.000000,51.160000,29.064000,29.019000,16330000.000000,-199239000.000000,29850000.000000,29850000.000000,23219000.000000,,,,,7652000.000000,22570000.000000,1.000000,70895713.000000,70784184.000000,70784184.000000,0.422000,762617000.000000,0.000000,-4000.000000,0.000000,10.774000
