dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2020-12-31,2021-10-25,2020-12-27,2020-Q4,79541000.000000,,2025-05-09,0.000000,265683000.000000,,115859000.000000,149824000.000000,,-19.148000,,102765000.000000,102765000.000000,,,3.190000,-0.219000,0.000000,0.000000,0.000000,0.000000,2337000.000000,,0.000000,,0.000000,,,,,,,,,,-307362000.000000,,-307362000.000000,,,,,,1.000000,,,17217000.000000,,109383000.000000,,620000.000000,0.000000,0.000000,0.000000,67407000.000000,36318000.000000,31089000.000000,,,,,,,,,,,,,,,,,,,6232000.000000,,,,,127211000.000000,,,,,6610000.000000,-323041000.000000,,,,,,,,,,1.000000,106311529.000000,16051960.000000,,,248466000.000000,0.000000,,0.000000,15.479000
ARQ,2021-09-30,2021-11-09,2021-09-26,2021-Q3,113581000.000000,,2025-05-09,0.000000,406000000.000000,,167557000.000000,238443000.000000,,-17.146000,,137359000.000000,137359000.000000,82710000.000000,-30066000.000000,3.104000,-0.363000,0.000000,0.000000,0.000000,0.000000,1349000.000000,,0.000000,,0.000000,-30043000.000000,,,,-30043000.000000,-30066000.000000,-1.580000,-1.580000,-1.580000,-327217000.000000,,-327217000.000000,,,,,,1.000000,13134000.000000,0.137000,67866000.000000,23000.000000,146799000.000000,,833000.000000,0.000000,0.000000,0.000000,118721000.000000,53976000.000000,64745000.000000,,,,,,,,,,,-30066000.000000,-30066000.000000,-30066000.000000,0.000000,0.000000,-0.314000,45451000.000000,-32317000.000000,12980000.000000,0.000000,,,,164455000.000000,0.000000,,,,18803000.000000,-410035000.000000,95844000.000000,95844000.000000,0.000000,,,,,,28944000.000000,1.000000,106311529.000000,19084124.000000,19084124.000000,5.022000,338134000.000000,0.000000,0.000000,0.000000,17.718000
ARQ,2021-09-30,2021-11-17,2021-09-26,2021-Q3,113581000.000000,,2025-05-09,0.000000,406000000.000000,,167557000.000000,238443000.000000,,-17.146000,,137359000.000000,137359000.000000,82710000.000000,-30066000.000000,3.104000,-0.363000,0.000000,0.000000,0.000000,0.000000,1349000.000000,,0.000000,,0.000000,-30043000.000000,,,,-30043000.000000,-30066000.000000,-1.580000,-1.580000,-1.580000,-327217000.000000,,-327217000.000000,,,,,,1.000000,13134000.000000,0.137000,67866000.000000,23000.000000,146799000.000000,,833000.000000,0.000000,0.000000,0.000000,118721000.000000,53976000.000000,64745000.000000,,,,,,,,,,,-30066000.000000,-30066000.000000,-30066000.000000,0.000000,0.000000,-0.314000,45451000.000000,-32317000.000000,12980000.000000,0.000000,,,,164455000.000000,0.000000,,,,18803000.000000,-410035000.000000,95844000.000000,95844000.000000,0.000000,,,,,,28944000.000000,1.000000,106311529.000000,19084124.000000,19084124.000000,5.022000,338134000.000000,0.000000,0.000000,0.000000,17.718000
ARQ,2021-12-31,2022-03-04,2021-12-26,2021-Q4,459128000.000000,2953321350.000000,2025-05-09,0.000000,762649000.000000,,506656000.000000,255993000.000000,,23.508000,-24987000.000000,472299000.000000,472299000.000000,84081000.000000,-66181000.000000,10.660000,0.168000,0.000000,0.000000,0.000000,0.000000,1839000.000000,10093000.000000,0.000000,0.000000,0.000000,-66012000.000000,-55919000.000000,-0.580000,-55919000.000000,-66012000.000000,-66034000.000000,-0.630000,-0.630000,-0.630000,653117000.000000,,653117000.000000,2481022350.000000,-16.000000,-21.207000,-53301000.000000,-1.919000,1.000000,12345000.000000,0.128000,68838000.000000,22000.000000,173984000.000000,,903000.000000,0.000000,0.000000,0.000000,109532000.000000,47528000.000000,62004000.000000,334940000.000000,0.000000,387263000.000000,0.000000,0.000000,391056000.000000,-27802000.000000,0.000000,-28314000.000000,0.000000,-66181000.000000,-66181000.000000,-66181000.000000,0.000000,0.000000,-0.686000,79116000.000000,-66771000.000000,11197000.000000,0.000000,4.522000,-19.281000,-4.860000,180666000.000000,0.000000,26.780000,8.689000,2.189000,19339000.000000,-476216000.000000,96426000.000000,96426000.000000,0.000000,,,,,22793000.000000,46645000.000000,1.000000,110280857.000000,27782442.000000,27782442.000000,3.471000,693811000.000000,0.000000,147000.000000,125000.000000,24.973000
ARQ,2022-03-31,2022-05-06,2022-03-27,2022-Q1,423211000.000000,2608480359.000000,2025-05-09,0.000000,737725000.000000,,472648000.000000,265077000.000000,,5.727000,-18599000.000000,436790000.000000,436790000.000000,89292000.000000,-49200000.000000,9.561000,0.177000,0.000000,0.000000,0.000000,0.000000,1622000.000000,10806000.000000,0.000000,0.000000,0.000000,-49157000.000000,-38351000.000000,-0.374000,-38351000.000000,-49157000.000000,-49180000.000000,-0.450000,-0.450000,-0.450000,626931000.000000,,626931000.000000,2171690359.000000,,,-35352000.000000,-0.323000,1.000000,13299000.000000,0.130000,67847000.000000,23000.000000,183651000.000000,,956000.000000,0.000000,0.000000,0.000000,110794000.000000,49437000.000000,61357000.000000,-35509000.000000,0.000000,849000.000000,0.000000,0.000000,849000.000000,-19605000.000000,0.000000,-16753000.000000,0.000000,-49200000.000000,-49200000.000000,-49200000.000000,0.000000,0.000000,-0.480000,62869000.000000,-49570000.000000,13823000.000000,0.000000,4.161000,,,190605000.000000,0.000000,23.810000,,,21734000.000000,-525416000.000000,102591000.000000,102591000.000000,0.000000,,,,,22165000.000000,49672000.000000,1.000000,109553984.000000,109472050.000000,109472050.000000,0.937000,669878000.000000,0.000000,20000.000000,145000.000000,6.119000
ARQ,2022-06-30,2022-08-10,2022-06-26,2022-Q2,393160000.000000,2004839819.000000,2025-05-09,0.000000,727471000.000000,,443689000.000000,283782000.000000,,5.582000,-29115000.000000,407195000.000000,407195000.000000,101870000.000000,-40033000.000000,8.781000,0.188000,0.000000,0.000000,0.000000,0.000000,1640000.000000,11435000.000000,0.000000,0.000000,0.000000,-39991000.000000,-28556000.000000,-0.229000,-28556000.000000,-39991000.000000,-40013000.000000,-0.360000,-0.360000,-0.360000,612183000.000000,,612183000.000000,1597644819.000000,-9.000000,,-30278000.000000,-0.276000,1.000000,23048000.000000,0.185000,67333000.000000,22000.000000,202414000.000000,,1114000.000000,0.000000,0.000000,0.000000,115288000.000000,50529000.000000,64759000.000000,-29595000.000000,0.000000,2078000.000000,0.000000,0.000000,2078000.000000,-30510000.000000,0.000000,-1163000.000000,0.000000,-40033000.000000,-40033000.000000,-40033000.000000,0.000000,0.000000,-0.320000,65250000.000000,-42202000.000000,14353000.000000,0.000000,3.275000,-10.809000,-6.026000,209485000.000000,0.000000,18.200000,4.776000,4.755000,19980000.000000,-565449000.000000,124918000.000000,124918000.000000,0.000000,,,,,23207000.000000,51262000.000000,1.000000,110156034.000000,109679467.000000,109679467.000000,1.139000,660138000.000000,0.000000,20000.000000,164000.000000,6.019000
ARQ,2022-09-30,2022-11-09,2022-09-25,2022-Q3,365880000.000000,1517963124.000000,2025-05-09,0.000000,700233000.000000,,413493000.000000,286740000.000000,,5.286000,-19890000.000000,381201000.000000,381201000.000000,104203000.000000,-47397000.000000,8.684000,0.200000,0.000000,0.000000,0.000000,0.000000,1643000.000000,12031000.000000,0.000000,0.000000,0.000000,-47354000.000000,-35323000.000000,-0.285000,-35323000.000000,-47354000.000000,-47377000.000000,-0.430000,-0.430000,-0.430000,583438000.000000,,583438000.000000,1136762124.000000,-6.000000,-7.188000,-26055000.000000,-0.236000,1.000000,19823000.000000,0.160000,66640000.000000,23000.000000,204779000.000000,,1202000.000000,0.000000,0.000000,0.000000,116795000.000000,47613000.000000,69182000.000000,-25994000.000000,0.000000,1051000.000000,0.000000,0.000000,1051000.000000,-20880000.000000,0.000000,-6165000.000000,0.000000,-47397000.000000,-47397000.000000,-47397000.000000,0.000000,0.000000,-0.382000,69124000.000000,-49301000.000000,8688000.000000,0.000000,2.602000,-7.485000,-7.326000,208270000.000000,0.000000,13.700000,3.389000,3.376000,19727000.000000,-612846000.000000,124026000.000000,124026000.000000,0.000000,,,,,17601000.000000,41381000.000000,1.000000,110800228.000000,110375126.000000,110375126.000000,1.124000,633593000.000000,0.000000,20000.000000,184000.000000,5.740000
ARQ,2022-12-31,2023-02-23,2022-12-25,2022-Q4,273600000.000000,1034901912.000000,2025-05-09,0.000000,908935000.000000,,346149000.000000,562786000.000000,,4.877000,-29285000.000000,331739000.000000,331739000.000000,105453000.000000,-53811000.000000,4.771000,0.679000,300739000.000000,29642000.000000,271097000.000000,300739000.000000,2016000.000000,40870000.000000,0.000000,0.000000,0.000000,-52511000.000000,-11641000.000000,-0.098000,-11641000.000000,-52511000.000000,-52526000.000000,-0.490000,-0.490000,-0.490000,541226000.000000,,541226000.000000,1003901912.000000,-5.000000,-8.816000,-48373000.000000,-0.436000,1.000000,13117000.000000,0.111000,66532000.000000,15000.000000,738854000.000000,,1383000.000000,0.000000,0.000000,0.000000,367709000.000000,72549000.000000,295160000.000000,-49462000.000000,0.000000,780000.000000,0.000000,0.000000,654000.000000,-31028000.000000,0.000000,-19088000.000000,0.000000,-53811000.000000,-53811000.000000,-53811000.000000,0.000000,0.000000,-0.454000,66199000.000000,-53082000.000000,12242000.000000,0.000000,1.912000,-5.434000,-5.370000,489316000.000000,0.000000,9.290000,2.201000,2.176000,3244000.000000,-671601000.000000,118570000.000000,118570000.000000,0.000000,,,,,15763000.000000,45054000.000000,1.000000,111399560.000000,110968332.000000,110968332.000000,1.069000,842403000.000000,0.000000,1285000.000000,1414000.000000,7.591000
ARQ,2022-12-31,2023-03-03,2022-12-25,2022-Q4,273600000.000000,953580234.000000,2025-05-09,0.000000,908935000.000000,,346149000.000000,562786000.000000,,4.877000,-29285000.000000,331739000.000000,331739000.000000,105453000.000000,-53811000.000000,4.771000,0.679000,300739000.000000,29642000.000000,271097000.000000,300739000.000000,2016000.000000,40870000.000000,0.000000,0.000000,0.000000,-52511000.000000,-11641000.000000,-0.098000,-11641000.000000,-52511000.000000,-52526000.000000,-0.490000,-0.490000,-0.490000,541226000.000000,,541226000.000000,922580234.000000,-5.000000,-8.102000,-48373000.000000,-0.436000,1.000000,13117000.000000,0.111000,66532000.000000,15000.000000,738854000.000000,,1383000.000000,0.000000,0.000000,0.000000,367709000.000000,72549000.000000,295160000.000000,-49462000.000000,0.000000,780000.000000,0.000000,0.000000,654000.000000,-31028000.000000,0.000000,-19088000.000000,0.000000,-53811000.000000,-53811000.000000,-53811000.000000,0.000000,0.000000,-0.454000,66199000.000000,-53082000.000000,12242000.000000,0.000000,1.762000,-5.007000,-4.948000,489316000.000000,0.000000,8.560000,2.028000,2.005000,3244000.000000,-671601000.000000,118570000.000000,118570000.000000,0.000000,,,,,15763000.000000,45054000.000000,1.000000,111399560.000000,110968332.000000,110968332.000000,1.069000,842403000.000000,0.000000,1285000.000000,1414000.000000,7.591000
ARQ,2023-03-31,2023-05-05,2023-03-26,2023-Q1,245586000.000000,996382123.000000,2025-05-09,0.000000,895806000.000000,,318848000.000000,576958000.000000,,4.695000,-30860000.000000,296953000.000000,296953000.000000,108125000.000000,-33657000.000000,4.352000,0.714000,303421000.000000,28814000.000000,274607000.000000,303421000.000000,1836000.000000,25178000.000000,0.000000,0.000000,0.000000,-33318000.000000,-8140000.000000,-0.065000,-8140000.000000,-33318000.000000,-33339000.000000,-0.300000,-0.300000,-0.300000,522557000.000000,,522557000.000000,1002850123.000000,-6.000000,-11.987000,-33990000.000000,-0.305000,1.000000,16937000.000000,0.135000,66052000.000000,21000.000000,762960000.000000,,1284000.000000,0.000000,0.000000,0.000000,373249000.000000,73262000.000000,299987000.000000,-34786000.000000,0.000000,723000.000000,0.000000,0.000000,723000.000000,-32379000.000000,0.000000,-3130000.000000,0.000000,-33657000.000000,-33657000.000000,-33657000.000000,0.000000,0.000000,-0.269000,52259000.000000,-35322000.000000,13124000.000000,0.000000,1.907000,-5.697000,-5.658000,504059000.000000,0.000000,8.940000,2.023000,2.020000,5064000.000000,-705258000.000000,125062000.000000,125062000.000000,0.000000,,,,,14265000.000000,34907000.000000,1.000000,111452139.000000,111297064.000000,111297064.000000,1.124000,829754000.000000,0.000000,318000.000000,1733000.000000,7.455000
