dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2000-12-31,2001-03-06,2000-12-31,2000-Q4,24558165.000000,,2023-11-02,69196.000000,29873825.000000,,25368855.000000,4504970.000000,,-2.582000,,2618986.000000,2618986.000000,,,31.293000,-4.518000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,,0.000000,,,,,,,,,,-8492872.000000,,-8492872.000000,,,,,,1.000000,,,0.000000,,26444149.000000,,0.000000,25132707.000000,21711460.000000,3421247.000000,38366697.000000,810690.000000,37556007.000000,,,,,,,,,,,,,,,,,,,141992.000000,,,,,894304.000000,,,,,0.000000,-12762531.000000,,,,,,,,,,1.000000,29190371.000000,3289731.000000,,,29873825.000000,0.000000,,0.000000,9.081000
ARQ,2001-03-31,2001-05-14,2001-03-31,2001-Q1,69930721.000000,258239025.000000,2023-11-02,122178.000000,74947828.000000,,72339913.000000,2607915.000000,,7.817000,-127990.000000,54353910.000000,54353910.000000,0.000000,-4245931.000000,30.027000,0.033000,0.000000,0.000000,0.000000,0.000000,0.000000,78606.000000,0.000000,0.000000,0.000000,-4245931.000000,-4167325.000000,,-4167325.000000,-4245931.000000,-4245931.000000,-0.460000,-0.460000,-0.460000,72538636.000000,,72538636.000000,203885115.000000,,,-1719634.000000,-0.185000,1.000000,0.000000,,0.000000,0.000000,18184726.000000,,0.000000,18723763.000000,17248954.000000,1474809.000000,2409192.000000,2409192.000000,0.000000,51734924.000000,0.000000,46982841.000000,0.000000,0.000000,46982841.000000,6343727.000000,6471717.000000,-1591644.000000,0.000000,-4245931.000000,-4249226.000000,-4249226.000000,0.000000,0.000000,,4823692.000000,-4823692.000000,853730.000000,0.000000,3.560000,,,943687.000000,3295.000000,8.820000,,,0.000000,-17008462.000000,0.000000,0.000000,2855999.000000,,,,,1242371.000000,725322.000000,1.000000,29278801.000000,9279630.000000,9279630.000000,0.000000,74947828.000000,0.000000,0.000000,0.000000,8.077000
ARQ,2001-06-30,2001-08-13,2001-06-30,2001-Q2,43001943.000000,146484485.000000,2023-11-02,191895.000000,73445717.000000,,46980402.000000,26465315.000000,,2.417000,-941873.000000,4330636.000000,4330636.000000,0.000000,-5110343.000000,11.809000,0.062000,0.000000,0.000000,0.000000,0.000000,413195.000000,81984.000000,0.000000,0.000000,0.000000,-5110343.000000,-5028359.000000,-145.396000,-5028359.000000,-5110343.000000,-5110343.000000,-0.180000,-0.180000,-0.180000,69180437.000000,,69180437.000000,142153849.000000,,,-4747094.000000,-0.166000,1.000000,34584.000000,1.000000,0.000000,0.000000,65136622.000000,,0.000000,63925852.000000,39292504.000000,24633348.000000,4265280.000000,3978459.000000,286821.000000,-50023274.000000,0.000000,2716.000000,0.000000,0.000000,2716.000000,-46220769.000000,-45278896.000000,-3805221.000000,0.000000,-5110343.000000,-5110343.000000,-5110343.000000,0.000000,0.000000,-147.766000,6030995.000000,-5996411.000000,1847346.000000,0.000000,2.117000,,,1803576.000000,0.000000,5.000000,,,0.000000,-22118805.000000,34584.000000,34584.000000,3519105.000000,,,,,1679711.000000,832179.000000,1.000000,29296897.000000,28625420.000000,28625420.000000,0.001000,73445717.000000,0.000000,0.000000,0.000000,2.566000
ARQ,2001-09-30,2001-11-09,2001-09-30,2001-Q3,34264510.000000,123426776.000000,2023-11-02,618891.000000,68013961.000000,,37310352.000000,30703609.000000,,2.247000,-3705301.000000,5169624.000000,5169624.000000,0.000000,-6235703.000000,12.250000,0.052000,0.000000,0.000000,0.000000,0.000000,377778.000000,173430.000000,0.000000,0.000000,0.000000,-6235703.000000,-6062273.000000,-86.196000,-6062273.000000,-6235703.000000,-6235703.000000,-0.220000,-0.220000,-0.220000,64670835.000000,,64670835.000000,118257152.000000,,,-7855714.000000,-0.273000,1.000000,70331.000000,1.000000,0.000000,0.000000,59798495.000000,,0.000000,55494866.000000,30601054.000000,24893812.000000,3343126.000000,3045842.000000,297284.000000,838988.000000,0.000000,52185.000000,0.000000,0.000000,73436.000000,4915965.000000,8621266.000000,-4150413.000000,0.000000,-6235703.000000,-6235703.000000,-6235703.000000,0.000000,0.000000,-88.662000,7106406.000000,-7036075.000000,780291.000000,0.000000,1.909000,,,5808906.000000,0.000000,4.210000,,,0.000000,-28354508.000000,70331.000000,70331.000000,5093631.000000,,,,,1225670.000000,787105.000000,1.000000,29317524.000000,28781416.000000,28781416.000000,0.002000,68013961.000000,0.000000,0.000000,0.000000,2.363000
ARQ,2001-12-31,2002-03-29,2001-12-31,2001-Q4,41153181.000000,157068513.000000,2023-11-02,572980.000000,63028243.000000,,43202565.000000,19825678.000000,,2.532000,-654600.000000,8293504.000000,8293504.000000,0.000000,-5100988.000000,21.081000,0.039000,0.000000,0.000000,0.000000,0.000000,342361.000000,264678.000000,0.000000,0.000000,0.000000,-5100988.000000,-4836310.000000,-28.578000,-4836310.000000,-5100988.000000,-5100988.000000,-0.160000,-0.160000,-0.160000,60671113.000000,,60671113.000000,148775009.000000,-7.000000,-7.404000,-5191123.000000,-0.217000,1.000000,169233.000000,1.000000,0.000000,0.000000,52685355.000000,,0.000000,47063545.000000,33624723.000000,13438822.000000,2357130.000000,2049384.000000,307746.000000,3123880.000000,0.000000,4001.000000,0.000000,0.000000,119601.000000,7540802.000000,8195402.000000,-4536523.000000,0.000000,-5100988.000000,-5100988.000000,-5100988.000000,0.000000,0.000000,-30.142000,5912643.000000,-5743410.000000,895536.000000,0.000000,2.589000,-7.589000,-6.105000,6350450.000000,0.000000,5.250000,572.933000,458.941000,81603.000000,-33455496.000000,169233.000000,169233.000000,3931564.000000,,,,,1027576.000000,953503.000000,1.000000,29917812.000000,23965275.000000,23965275.000000,0.007000,63028243.000000,0.000000,0.000000,0.000000,2.630000
ARQ,2002-03-31,2002-05-14,2002-03-31,2002-Q1,45264212.000000,162318235.000000,2023-11-02,356769.000000,61114227.000000,,47645806.000000,13468421.000000,,1.980000,-762508.000000,6349334.000000,6349334.000000,0.000000,-5991936.000000,20.006000,0.046000,0.000000,0.000000,0.000000,0.000000,306945.000000,280781.000000,0.000000,0.000000,0.000000,-5991936.000000,-5711155.000000,-21.210000,-5711155.000000,-5991936.000000,-5991936.000000,-0.200000,-0.200000,-0.200000,58414424.000000,,58414424.000000,155968901.000000,-7.000000,-7.208000,-4847032.000000,-0.164000,1.000000,269272.000000,1.000000,0.000000,0.000000,52383299.000000,,0.000000,46820775.000000,39633659.000000,7187116.000000,2699803.000000,2381594.000000,318209.000000,-1944170.000000,0.000000,3071931.000000,0.000000,0.000000,3071931.000000,-931577.000000,-169069.000000,-4084524.000000,0.000000,-5991936.000000,-5991936.000000,-5991936.000000,0.000000,0.000000,-22.252000,6837835.000000,-6568563.000000,1339987.000000,0.000000,2.779000,-7.234000,-6.974000,6244899.000000,0.000000,5.300000,298.698000,287.797000,51576.000000,-39447432.000000,269272.000000,269272.000000,4852896.000000,,,,,879527.000000,1105412.000000,1.000000,30626082.000000,29508376.000000,29508376.000000,0.009000,61114227.000000,0.000000,0.000000,0.000000,2.071000
ARQ,2002-06-30,2002-08-13,2002-06-30,2002-Q2,34419686.000000,119654679.000000,2023-11-02,335577.000000,61776891.000000,,37167475.000000,24609416.000000,,1.871000,-257976.000000,4124998.000000,4124998.000000,0.000000,-6266085.000000,13.526000,0.094000,0.000000,0.000000,0.000000,0.000000,3140278.000000,297626.000000,0.000000,0.000000,0.000000,-6266085.000000,-5968459.000000,-15.899000,-5968459.000000,-6266085.000000,-6266085.000000,-0.210000,-0.210000,-0.210000,56459900.000000,,56459900.000000,115529681.000000,-5.000000,-5.117000,-2461409.000000,-0.082000,1.000000,375405.000000,1.000000,0.000000,0.000000,54904104.000000,,0.000000,49888214.000000,31520452.000000,18367762.000000,5316991.000000,2747789.000000,2569202.000000,-2224336.000000,0.000000,3504984.000000,0.000000,0.000000,3504984.000000,-3525887.000000,-3267911.000000,-2203433.000000,0.000000,-6266085.000000,-6266085.000000,-6266085.000000,0.000000,0.000000,-16.692000,7197169.000000,-6821764.000000,604362.000000,0.000000,2.119000,-5.071000,-4.937000,6205248.000000,0.000000,3.900000,135.319000,133.128000,140806.000000,-45713517.000000,375405.000000,375405.000000,5314607.000000,,,,,827769.000000,1054793.000000,1.000000,30680687.000000,30184006.000000,30184006.000000,0.012000,61776891.000000,0.000000,0.000000,0.000000,2.047000
ARQ,2002-09-30,2002-11-12,2002-09-30,2002-Q3,28753245.000000,90533957.000000,2023-11-02,307155.000000,57981894.000000,,32236309.000000,25745585.000000,,1.711000,-395251.000000,8895913.000000,8895913.000000,0.000000,-5088136.000000,9.255000,0.115000,0.000000,0.000000,0.000000,0.000000,3365278.000000,318149.000000,0.000000,0.000000,0.000000,-5088136.000000,-4769987.000000,-11.786000,-4769987.000000,-5088136.000000,-5088136.000000,-0.170000,-0.170000,-0.170000,52001744.000000,,52001744.000000,81638044.000000,-4.000000,-3.835000,-3554528.000000,-0.117000,1.000000,404706.000000,1.000000,0.000000,0.000000,45602917.000000,,0.000000,41427895.000000,22001068.000000,19426827.000000,5980150.000000,3483064.000000,2497086.000000,4770915.000000,0.000000,69596.000000,0.000000,0.000000,69596.000000,7860596.000000,8255847.000000,-3159277.000000,0.000000,-5088136.000000,-5088136.000000,-5088136.000000,0.000000,0.000000,-12.572000,5978783.000000,-5574077.000000,561395.000000,0.000000,1.741000,-4.033000,-3.986000,6282352.000000,0.000000,2.950000,74.292000,73.581000,128085.000000,-50801653.000000,404706.000000,404706.000000,4296664.000000,,,,,588806.000000,1093313.000000,1.000000,30689477.000000,30395760.000000,30395760.000000,0.013000,57981894.000000,0.000000,0.000000,0.000000,1.908000
ARQ,2002-12-31,2003-03-28,2002-12-31,2002-Q4,23951584.000000,76002337.000000,2023-11-02,294961.000000,52535688.000000,,27443632.000000,25092056.000000,,1.533000,-288835.000000,9180916.000000,9180916.000000,0.000000,-5814381.000000,7.859000,0.125000,0.000000,0.000000,0.000000,0.000000,3375475.000000,334917.000000,0.000000,0.000000,0.000000,-5814381.000000,-5479464.000000,-8.639000,-5479464.000000,-5814381.000000,-5814381.000000,-0.190000,-0.190000,-0.190000,46701455.000000,,46701455.000000,66821421.000000,-3.000000,-3.047000,-4982086.000000,-0.164000,1.000000,634285.000000,1.000000,0.000000,0.000000,39862724.000000,,0.000000,36018314.000000,17198934.000000,18819380.000000,5834233.000000,3492048.000000,2342185.000000,285003.000000,0.000000,1498.000000,0.000000,0.000000,1498.000000,4976756.000000,5265591.000000,-4693251.000000,0.000000,-5814381.000000,-5814381.000000,-5814381.000000,0.000000,0.000000,-9.167000,6865569.000000,-6231284.000000,2190732.000000,0.000000,1.627000,-3.282000,-3.208000,6236270.000000,0.000000,2.470000,45.141000,44.214000,372036.000000,-56616034.000000,634285.000000,634285.000000,5356063.000000,,,,,524788.000000,984718.000000,1.000000,30770177.000000,30454199.000000,30454199.000000,0.021000,52535688.000000,0.000000,0.000000,0.000000,1.725000
ARQ,2003-03-31,2003-05-09,2003-03-31,2003-Q1,19218273.000000,85574916.000000,2023-11-02,221734.000000,46895976.000000,,22892318.000000,24003658.000000,,1.345000,-136216.000000,10452933.000000,10452933.000000,0.000000,-5961606.000000,6.231000,0.141000,0.000000,0.000000,0.000000,0.000000,3050147.000000,330110.000000,0.000000,0.000000,0.000000,-5961606.000000,-5631496.000000,-7.927000,-5631496.000000,-5961606.000000,-5961606.000000,-0.200000,-0.200000,-0.200000,41085523.000000,,41085523.000000,75121983.000000,-3.000000,-3.438000,-5603006.000000,-0.183000,1.000000,710443.000000,1.000000,0.000000,0.000000,32768998.000000,,0.000000,29046822.000000,11121946.000000,17924876.000000,5810453.000000,3674045.000000,2136408.000000,1272017.000000,0.000000,74510.000000,0.000000,0.000000,74510.000000,6664297.000000,6800513.000000,-5466790.000000,0.000000,-5961606.000000,-5961606.000000,-5961606.000000,0.000000,0.000000,-8.391000,7009650.000000,-6299207.000000,2456062.000000,0.000000,2.083000,-3.700000,-3.610000,6042376.000000,0.000000,2.780000,40.274000,39.969000,308525.000000,-62577640.000000,710443.000000,710443.000000,5527432.000000,,,,,344391.000000,1137827.000000,1.000000,30782344.000000,30549829.000000,30549829.000000,0.023000,46895976.000000,0.000000,0.000000,0.000000,1.535000
