dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2014-12-31,2015-05-19,2014-12-31,2014-Q4,48610000.000000,,2025-05-08,0.000000,95193000.000000,,68384000.000000,26809000.000000,,0.091000,,41953000.000000,41953000.000000,,,3.458000,0.405000,0.000000,0.000000,0.000000,0.000000,7169000.000000,,0.000000,,0.000000,,,,,,,,,,67732000.000000,,67732000.000000,,,,,,1.000000,,,5081000.000000,,28385000.000000,,0.000000,17709000.000000,17709000.000000,0.000000,27461000.000000,19774000.000000,7687000.000000,,,,,,,,,,,,,,,,,,,12514000.000000,,,,,21728000.000000,,,,,7227000.000000,-29064000.000000,,,,,,,,,,1.000000,744374170.000000,744374170.000000,,,90112000.000000,0.000000,,0.000000,0.121000
ARQ,2015-06-30,2015-07-30,2015-06-30,2015-Q2,176901000.000000,2887378960.000000,2025-05-08,0.000000,236880000.000000,,205076000.000000,31804000.000000,,0.376000,,146668000.000000,146668000.000000,19674000.000000,-3296000.000000,7.279000,0.187000,0.000000,0.000000,0.000000,0.000000,10151000.000000,,0.000000,0.000000,0.000000,-3296000.000000,,,,-3296000.000000,-3296000.000000,-0.006000,-0.006000,-0.006000,199551000.000000,,199551000.000000,2740710960.000000,,,,,1.000000,25252000.000000,0.562000,6204000.000000,0.000000,55833000.000000,,0.000000,52161000.000000,52161000.000000,0.000000,37329000.000000,28175000.000000,9154000.000000,,,,,,,,,,,-3296000.000000,-3296000.000000,-3296000.000000,0.000000,0.000000,-0.073000,28713000.000000,-3461000.000000,17800000.000000,0.000000,14.469000,,,25600000.000000,0.000000,3.813000,,,3293000.000000,-36890000.000000,44926000.000000,44926000.000000,8800000.000000,,,,,,19913000.000000,1.000000,757245990.000000,530405390.000000,530405390.000000,0.085000,230676000.000000,0.000000,0.000000,0.000000,0.435000
ARQ,2015-09-30,2015-11-04,2015-09-30,2015-Q3,166966000.000000,2417998117.000000,2025-05-08,0.000000,235639000.000000,,195476000.000000,40163000.000000,,0.260000,-6732000.000000,115315000.000000,115315000.000000,24043000.000000,-4657000.000000,6.856000,0.194000,0.000000,0.000000,0.000000,0.000000,11610000.000000,1909000.000000,0.000000,0.000000,0.000000,-4657000.000000,-2748000.000000,-0.052000,-2748000.000000,-4657000.000000,-4657000.000000,-0.006000,-0.006000,-0.006000,197306000.000000,,197306000.000000,2302683117.000000,,,-6574000.000000,-0.009000,1.000000,28743000.000000,0.545000,6513000.000000,0.000000,85301000.000000,,0.000000,76166000.000000,71621000.000000,4545000.000000,38333000.000000,28510000.000000,9823000.000000,-31353000.000000,,52000.000000,,,52000.000000,-31079000.000000,-24347000.000000,158000.000000,-484000.000000,-4657000.000000,-4657000.000000,-4657000.000000,0.000000,0.000000,-0.088000,33043000.000000,-4300000.000000,16713000.000000,0.000000,12.255000,,,29105000.000000,0.000000,3.175000,,,3836000.000000,-41547000.000000,52786000.000000,52786000.000000,10068000.000000,,,,,2268000.000000,22975000.000000,1.000000,761574210.000000,759018400.000000,759018400.000000,0.070000,229126000.000000,0.000000,0.000000,0.000000,0.302000
ARQ,2015-12-31,2016-02-17,2015-12-31,2015-Q4,165228000.000000,1797228438.000000,2025-05-08,0.000000,243712000.000000,,202465000.000000,41247000.000000,,0.250000,-7272000.000000,110070000.000000,110070000.000000,34663000.000000,-6307000.000000,5.437000,0.248000,0.000000,0.000000,0.000000,0.000000,13387000.000000,2202000.000000,0.000000,0.000000,0.000000,-6307000.000000,-4105000.000000,-0.058000,-4105000.000000,-6307000.000000,-6307000.000000,-0.008000,-0.008000,-0.008000,195317000.000000,,195317000.000000,1687158438.000000,-90.000000,-146.024000,-2315000.000000,-0.003000,1.000000,35510000.000000,0.506000,8199000.000000,0.000000,88206000.000000,,0.000000,80103000.000000,80103000.000000,0.000000,48395000.000000,37237000.000000,11158000.000000,-5245000.000000,,1363000.000000,,,1363000.000000,-11239000.000000,-3967000.000000,4957000.000000,-326000.000000,-6307000.000000,-6307000.000000,-6307000.000000,0.000000,0.000000,-0.090000,42029000.000000,-6519000.000000,23689000.000000,0.000000,9.202000,-95.648000,-74.567000,33048000.000000,0.000000,2.237000,8.757000,6.727000,6089000.000000,-47854000.000000,70173000.000000,70173000.000000,13541000.000000,,,,,2879000.000000,28488000.000000,1.000000,803410120.000000,779966290.000000,779966290.000000,0.090000,235513000.000000,0.000000,0.000000,0.000000,0.302000
ARQ,2016-03-31,2016-05-04,2016-03-31,2016-Q1,160634000.000000,2399294599.000000,2025-05-08,221000.000000,245274000.000000,,203161000.000000,42113000.000000,,0.237000,-3045000.000000,83864000.000000,83864000.000000,33451000.000000,-8929000.000000,4.777000,0.284000,0.000000,0.000000,0.000000,0.000000,15299000.000000,3058000.000000,0.000000,0.000000,0.000000,-8929000.000000,-5871000.000000,-0.081000,-5871000.000000,-8929000.000000,-8929000.000000,-0.011000,-0.011000,-0.011000,190977000.000000,,190977000.000000,2315430599.000000,-100.000000,,-2390000.000000,-0.003000,1.000000,39271000.000000,0.540000,7555000.000000,0.000000,111328000.000000,,0.000000,105600000.000000,105600000.000000,0.000000,54297000.000000,42527000.000000,11770000.000000,-26206000.000000,,844000.000000,,,844000.000000,-28784000.000000,-25739000.000000,655000.000000,1079000.000000,-8929000.000000,-8929000.000000,-8929000.000000,0.000000,0.000000,-0.123000,48983000.000000,-9712000.000000,27070000.000000,0.000000,12.563000,-103.467000,-95.516000,34558000.000000,0.000000,2.961000,9.972000,9.905000,6548000.000000,-56783000.000000,72722000.000000,72722000.000000,13670000.000000,,,,,3460000.000000,35313000.000000,1.000000,810298750.000000,804884950.000000,804884950.000000,0.090000,237719000.000000,0.000000,0.000000,0.000000,0.295000
ARQ,2016-06-30,2016-08-03,2016-06-30,2016-Q2,146096000.000000,3008804553.000000,2025-05-08,141000.000000,251109000.000000,,195873000.000000,55236000.000000,,0.232000,-8268000.000000,68140000.000000,68140000.000000,40481000.000000,-8439000.000000,3.935000,0.330000,0.000000,0.000000,0.000000,0.000000,17300000.000000,2776000.000000,0.000000,0.000000,0.000000,-8439000.000000,-5663000.000000,-0.065000,-5663000.000000,-8439000.000000,-8439000.000000,-0.010000,-0.010000,-0.010000,188751000.000000,,188751000.000000,2940664553.000000,-104.000000,-159.932000,-2718000.000000,-0.003000,1.000000,46166000.000000,0.533000,16091000.000000,0.000000,117101000.000000,,0.000000,111506000.000000,111506000.000000,0.000000,62358000.000000,49777000.000000,12581000.000000,-15724000.000000,,988000.000000,,,988000.000000,-22434000.000000,-6197000.000000,5550000.000000,172000.000000,-8439000.000000,-8439000.000000,-8439000.000000,0.000000,0.000000,-0.097000,54825000.000000,-8659000.000000,32258000.000000,0.000000,15.941000,-106.198000,-105.114000,39145000.000000,0.000000,3.679000,10.657000,10.601000,9092000.000000,-65222000.000000,86647000.000000,86647000.000000,16732000.000000,,,,,5087000.000000,38093000.000000,1.000000,817832170.000000,813492480.000000,813492480.000000,0.107000,235018000.000000,0.000000,0.000000,0.000000,0.289000
ARQ,2016-09-30,2016-11-02,2016-09-30,2016-Q3,365525000.000000,3874952195.000000,2025-05-08,-476000.000000,486343000.000000,,427375000.000000,58968000.000000,,0.485000,-5977000.000000,187360000.000000,187360000.000000,47123000.000000,-9120000.000000,6.910000,0.182000,0.000000,0.000000,0.000000,0.000000,19167000.000000,3693000.000000,0.000000,0.000000,0.000000,-9120000.000000,-5427000.000000,-0.054000,-5427000.000000,-9120000.000000,-9120000.000000,-0.011000,-0.011000,-0.011000,411522000.000000,,411522000.000000,3687592195.000000,-112.000000,-175.049000,-4880000.000000,-0.006000,1.000000,52455000.000000,0.527000,16169000.000000,0.000000,220964000.000000,,0.000000,212927000.000000,212927000.000000,0.000000,74821000.000000,61850000.000000,12971000.000000,119220000.000000,0.000000,225821000.000000,,,225821000.000000,-107608000.000000,-101631000.000000,1097000.000000,-90000.000000,-9120000.000000,-9120000.000000,-9120000.000000,0.000000,0.000000,-0.092000,61944000.000000,-9489000.000000,42334000.000000,0.000000,9.416000,-118.157000,-108.925000,42799000.000000,0.000000,4.357000,11.774000,11.241000,7684000.000000,-74342000.000000,99578000.000000,99578000.000000,19462000.000000,,,,,6489000.000000,42482000.000000,1.000000,889362450.000000,849127570.000000,849127570.000000,0.117000,470174000.000000,0.000000,0.000000,0.000000,0.554000
ARQ,2016-12-31,2017-02-15,2016-12-31,2016-Q4,356366000.000000,5418866143.000000,2025-05-08,-1818000.000000,490558000.000000,,422898000.000000,67660000.000000,,0.460000,-8946000.000000,84013000.000000,84013000.000000,62248000.000000,-8867000.000000,6.356000,0.195000,0.000000,0.000000,0.000000,0.000000,21086000.000000,4440000.000000,0.000000,0.000000,0.000000,-8867000.000000,-4427000.000000,-0.034000,-4427000.000000,-8867000.000000,-8867000.000000,-0.010000,-0.010000,-0.010000,410476000.000000,,410476000.000000,5334853143.000000,-151.000000,-249.432000,-2231000.000000,-0.003000,1.000000,68135000.000000,0.523000,21941000.000000,0.000000,318072000.000000,,0.000000,308401000.000000,308401000.000000,0.000000,80082000.000000,66532000.000000,13550000.000000,-103347000.000000,-6145000.000000,932000.000000,,,932000.000000,-110860000.000000,-95769000.000000,6715000.000000,-134000.000000,-8867000.000000,-8867000.000000,-8867000.000000,0.000000,0.000000,-0.068000,77440000.000000,-9305000.000000,45057000.000000,0.000000,13.201000,-153.270000,-144.310000,45719000.000000,0.000000,6.061000,13.918000,13.075000,9599000.000000,-83209000.000000,130383000.000000,130383000.000000,24472000.000000,,,,,8062000.000000,52968000.000000,1.000000,894054800.000000,891371550.000000,891371550.000000,0.146000,468617000.000000,0.000000,0.000000,0.000000,0.526000
ARQ,2017-03-31,2017-05-02,2017-03-31,2017-Q1,357464000.000000,7578217290.000000,2025-05-08,-381000.000000,501338000.000000,,434301000.000000,67037000.000000,,0.455000,-3557000.000000,101268000.000000,101268000.000000,55138000.000000,-13598000.000000,5.652000,0.220000,0.000000,0.000000,0.000000,0.000000,24208000.000000,4534000.000000,0.000000,0.000000,0.000000,-13598000.000000,-9064000.000000,-0.071000,-9064000.000000,-13598000.000000,-13598000.000000,-0.015000,-0.015000,-0.015000,410864000.000000,,410864000.000000,7476949290.000000,-187.000000,-304.176000,442000.000000,0.000000,1.000000,72241000.000000,0.567000,22226000.000000,0.000000,301007000.000000,,0.000000,294422000.000000,294422000.000000,0.000000,90474000.000000,76837000.000000,13637000.000000,17255000.000000,,2980000.000000,,,2980000.000000,10303000.000000,13860000.000000,3999000.000000,-27000.000000,-13598000.000000,-13598000.000000,-13598000.000000,0.000000,0.000000,-0.107000,86702000.000000,-14461000.000000,52310000.000000,0.000000,18.445000,-189.342000,-180.391000,44811000.000000,0.000000,8.298000,17.069000,16.866000,9161000.000000,-96807000.000000,127379000.000000,127379000.000000,26594000.000000,,,,,9207000.000000,60108000.000000,1.000000,913258290.000000,902428890.000000,902428890.000000,0.141000,479112000.000000,0.000000,0.000000,0.000000,0.531000
ARQ,2017-06-30,2017-08-01,2017-06-30,2017-Q2,909994000.000000,10254725339.000000,2025-05-08,4250000.000000,1077233000.000000,,994237000.000000,82996000.000000,,1.037000,-3757000.000000,199397000.000000,199397000.000000,64815000.000000,-14030000.000000,11.802000,0.102000,0.000000,0.000000,0.000000,0.000000,26896000.000000,5353000.000000,0.000000,0.000000,0.000000,-14030000.000000,-8677000.000000,-0.057000,-8677000.000000,-14030000.000000,-14030000.000000,-0.015000,-0.015000,-0.015000,977444000.000000,,977444000.000000,10055328339.000000,-220.000000,-364.390000,-12615000.000000,-0.013000,1.000000,86840000.000000,0.573000,38761000.000000,0.000000,754832000.000000,,0.000000,733020000.000000,733020000.000000,0.000000,99789000.000000,84243000.000000,15546000.000000,98129000.000000,,564009000.000000,,,564009000.000000,-457938000.000000,-438463000.000000,-8858000.000000,916000.000000,-14030000.000000,-14030000.000000,-14030000.000000,0.000000,0.000000,-0.093000,102747000.000000,-15907000.000000,57118000.000000,0.000000,10.491000,-224.810000,-204.078000,44235000.000000,0.000000,10.408000,20.147000,19.281000,12599000.000000,-110837000.000000,151655000.000000,151655000.000000,32714000.000000,,,,,11601000.000000,70033000.000000,1.000000,985273380.000000,942905380.000000,942905380.000000,0.161000,1038472000.000000,0.000000,0.000000,1693000.000000,1.101000
