dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,1997-12-31,1998-03-27,1997-12-31,1997-Q4,88377000.000000,727573255.000000,2019-04-30,655000.000000,723936000.000000,,300606000.000000,423330000.000000,,4.846000,,113381000.000000,113381000.000000,,,1.416000,1.725000,95567000.000000,4726000.000000,90841000.000000,95567000.000000,29763000.000000,,0.000000,0.000000,0.000000,,,,,,,,,,265682000.000000,,265682000.000000,709759255.000000,22.000000,15.627000,,,1.000000,,,42803000.000000,,451090000.000000,,0.000000,270651000.000000,115498000.000000,155153000.000000,458254000.000000,212229000.000000,246025000.000000,,,,,,,,,,,,,,,,,,,55943000.000000,,2.739000,30.014000,29.491000,148831000.000000,,13.271000,1.008000,1.008000,42041000.000000,106242000.000000,,,,,,,,,,1.000000,54825000.000000,54825000.000000,,,681133000.000000,15496000.000000,,0.000000,12.424000
ARQ,1998-03-31,1998-05-15,1998-03-31,1998-Q1,71562000.000000,661746692.000000,2019-04-30,138000.000000,740704000.000000,,282421000.000000,458283000.000000,,5.138000,-9159000.000000,56557000.000000,56557000.000000,167538000.000000,12187000.000000,1.339000,1.630000,102430000.000000,4191000.000000,98239000.000000,102430000.000000,18695000.000000,4048000.000000,0.000000,0.000000,0.000000,17663000.000000,21711000.000000,0.103000,21711000.000000,17663000.000000,16382000.000000,0.223000,0.220000,0.223000,281615000.000000,,281615000.000000,707619692.000000,,,-12077000.000000,-0.220000,1.000000,42871000.000000,0.204000,42333000.000000,1281000.000000,533385000.000000,,0.000000,323368000.000000,139668000.000000,183700000.000000,459089000.000000,210859000.000000,248230000.000000,-57403000.000000,1373000.000000,3797000.000000,3793000.000000,0.000000,7590000.000000,-62075000.000000,-54289000.000000,-2918000.000000,0.000000,12187000.000000,12187000.000000,12187000.000000,0.000000,0.000000,0.058000,25208000.000000,17663000.000000,120206000.000000,0.000000,2.350000,,,157254000.000000,0.000000,12.021000,,,74404000.000000,118429000.000000,210409000.000000,210409000.000000,0.000000,,,,,0.000000,25208000.000000,1.000000,55050000.000000,54813000.000000,54813000.000000,3.839000,698371000.000000,0.000000,4195000.000000,0.000000,12.741000
ARQ,1998-06-30,1998-08-14,1998-06-30,1998-Q2,89363000.000000,454677688.000000,2019-04-30,846000.000000,783288000.000000,,326513000.000000,456775000.000000,,5.375000,9159000.000000,90447000.000000,90447000.000000,199038000.000000,12551000.000000,1.377000,1.645000,101409000.000000,6079000.000000,95330000.000000,101409000.000000,20750000.000000,4407000.000000,0.000000,0.000000,0.000000,18550000.000000,22957000.000000,0.094000,22957000.000000,18550000.000000,16931000.000000,0.230000,0.225000,0.230000,296139000.000000,,296139000.000000,465639688.000000,,,,,1.000000,45507000.000000,0.186000,41870000.000000,1619000.000000,515230000.000000,,0.000000,289180000.000000,120676000.000000,168504000.000000,487149000.000000,237150000.000000,249999000.000000,33835000.000000,-1373000.000000,0.000000,-1021000.000000,0.000000,-4818000.000000,27183000.000000,35909000.000000,,0.000000,12551000.000000,12551000.000000,12551000.000000,0.000000,0.000000,0.051000,26957000.000000,18550000.000000,138922000.000000,0.000000,1.535000,,,161953000.000000,0.000000,8.219000,,,106294000.000000,130980000.000000,244545000.000000,244545000.000000,0.000000,,,,,,26957000.000000,1.000000,55322000.000000,55092000.000000,56046000.000000,4.439000,741418000.000000,0.000000,4380000.000000,0.000000,13.458000
ARQ,1998-09-30,1998-11-16,1998-09-30,1998-Q3,87798000.000000,608729375.000000,2019-04-30,1508000.000000,794004000.000000,,346247000.000000,447757000.000000,,5.501000,-25597000.000000,102074000.000000,102074000.000000,235733000.000000,12584000.000000,1.340000,1.631000,89480000.000000,7995000.000000,81485000.000000,89480000.000000,18524000.000000,4819000.000000,0.000000,0.000000,0.000000,18213000.000000,23032000.000000,0.082000,23032000.000000,18213000.000000,17006000.000000,0.230000,0.230000,0.230000,301810000.000000,,301810000.000000,596135375.000000,,,,,1.000000,45349000.000000,0.161000,41403000.000000,1207000.000000,481558000.000000,,0.000000,290006000.000000,134022000.000000,155984000.000000,492194000.000000,258449000.000000,233745000.000000,10906000.000000,1373000.000000,0.000000,-11929000.000000,0.000000,-14784000.000000,-8943000.000000,-1231000.000000,,0.000000,12584000.000000,12584000.000000,12584000.000000,0.000000,0.000000,0.045000,27136000.000000,18213000.000000,157845000.000000,0.000000,2.017000,,,165847000.000000,0.000000,11.219000,,,101701000.000000,143564000.000000,281082000.000000,281082000.000000,0.000000,,,,,,27136000.000000,1.000000,54260000.000000,54866000.000000,55266000.000000,5.123000,752601000.000000,0.000000,4422000.000000,0.000000,13.717000
ARQ,1998-12-31,1999-03-18,1998-12-31,1998-Q4,47763000.000000,378277688.000000,2019-04-30,-1027000.000000,1045120000.000000,,393931000.000000,651189000.000000,,5.595000,-15146000.000000,101668000.000000,101668000.000000,249783000.000000,2274000.000000,1.138000,2.441000,247661000.000000,5263000.000000,242398000.000000,247661000.000000,39968000.000000,5989000.000000,0.000000,0.000000,0.000000,6147000.000000,12136000.000000,0.040000,12136000.000000,6147000.000000,3073000.000000,0.045000,0.045000,0.045000,303714000.000000,,303714000.000000,524270688.000000,9.000000,6.567000,-8243000.000000,-0.152000,1.000000,51384000.000000,0.171000,142471000.000000,3074000.000000,702474000.000000,,0.000000,290824000.000000,110008000.000000,180816000.000000,741406000.000000,346168000.000000,395238000.000000,-269000.000000,-111408000.000000,1689000.000000,122259000.000000,0.000000,123948000.000000,-131120000.000000,-4566000.000000,6903000.000000,0.000000,2274000.000000,2274000.000000,2274000.000000,0.000000,0.000000,0.008000,45237000.000000,6147000.000000,201126000.000000,0.000000,1.246000,9.553000,9.612000,229164000.000000,0.000000,6.969000,0.365000,0.365000,145728000.000000,145838000.000000,301167000.000000,301167000.000000,0.000000,,,,,0.000000,31386000.000000,1.000000,54282000.000000,54282000.000000,,5.548000,902649000.000000,14311000.000000,799000.000000,0.000000,16.629000
ARQ,1999-03-31,1999-05-17,1999-03-31,1999-Q1,24583000.000000,401775000.000000,2019-04-30,0.000000,1034831000.000000,,350856000.000000,683975000.000000,,5.370000,-14160000.000000,35135000.000000,35135000.000000,276082000.000000,-706000.000000,1.075000,2.544000,267660000.000000,4451000.000000,263209000.000000,267660000.000000,19976000.000000,6823000.000000,0.000000,0.000000,0.000000,2989000.000000,9812000.000000,0.031000,9812000.000000,2989000.000000,-1060000.000000,-0.015000,-0.015000,-0.015000,291984000.000000,,291984000.000000,634300000.000000,14.000000,9.337000,-63937000.000000,-1.176000,1.000000,41992000.000000,0.132000,141013000.000000,4049000.000000,800070000.000000,,0.000000,296483000.000000,98543000.000000,197940000.000000,742847000.000000,326273000.000000,416574000.000000,-65784000.000000,-3000000.000000,-5553000.000000,19999000.000000,0.000000,14446000.000000,-30453000.000000,-13293000.000000,-49777000.000000,0.000000,-706000.000000,-706000.000000,-706000.000000,0.000000,0.000000,-0.002000,39003000.000000,2989000.000000,222090000.000000,0.000000,1.376000,15.046000,15.306000,237594000.000000,0.000000,7.500000,0.351000,0.356000,173783000.000000,145132000.000000,318074000.000000,318074000.000000,0.000000,,,,,0.000000,33897000.000000,1.000000,53570000.000000,54372000.000000,54372000.000000,5.850000,893818000.000000,0.000000,-354000.000000,0.000000,16.439000
ARQ,1999-06-30,1999-08-16,1999-06-30,1999-Q2,-20118000.000000,304690750.000000,2019-04-30,-10590000.000000,1021568000.000000,,307321000.000000,714247000.000000,,5.510000,-12824000.000000,46030000.000000,46030000.000000,264200000.000000,8556000.000000,0.939000,2.460000,250540000.000000,4126000.000000,246414000.000000,250540000.000000,19930000.000000,6944000.000000,0.000000,0.000000,0.000000,16972000.000000,23916000.000000,0.076000,23916000.000000,16972000.000000,12846000.000000,0.160000,0.160000,0.160000,295281000.000000,,295281000.000000,509200750.000000,11.000000,7.391000,9143000.000000,0.171000,1.000000,51618000.000000,0.163000,154932000.000000,4126000.000000,743707000.000000,,0.000000,270848000.000000,78975000.000000,191873000.000000,726287000.000000,327439000.000000,398848000.000000,11075000.000000,0.000000,-1167000.000000,-17120000.000000,0.000000,-18287000.000000,7395000.000000,-6229300.000000,21967000.000000,0.000000,8556000.000000,8556000.000000,8556000.000000,0.000000,0.000000,0.027000,34646000.000000,16972000.000000,199690000.000000,0.000000,1.032000,13.418000,13.542000,244593000.000000,0.000000,5.688000,0.251000,0.251000,190988000.000000,153688000.000000,315818000.000000,315818000.000000,0.000000,,,,,0.000000,34646000.000000,1.000000,53572000.000000,53590000.000000,53650000.000000,5.893000,866636000.000000,0.000000,4290000.000000,0.000000,16.172000
ARQ,1999-09-30,1999-11-15,1999-09-30,1999-Q3,-20508000.000000,251962500.000000,2019-04-30,-13762000.000000,1088551000.000000,,332660000.000000,755891000.000000,,5.624000,-14088000.000000,55818000.000000,55818000.000000,270888000.000000,8863000.000000,0.942000,2.604000,285411000.000000,4690000.000000,280721000.000000,285411000.000000,20043000.000000,7179000.000000,0.000000,0.000000,0.000000,17436000.000000,24615000.000000,0.076000,24615000.000000,17436000.000000,13267000.000000,0.165000,0.165000,0.165000,302057000.000000,,302057000.000000,481555500.000000,11.000000,6.833000,-29607000.000000,-0.551000,1.000000,51682000.000000,0.160000,185785000.000000,4169000.000000,779191000.000000,,0.000000,263255000.000000,74882000.000000,188373000.000000,786494000.000000,353168000.000000,433326000.000000,7646000.000000,0.000000,1084000.000000,34871000.000000,0.000000,35955000.000000,-12790000.000000,27746300.000000,-15519000.000000,0.000000,8863000.000000,8863000.000000,8863000.000000,0.000000,0.000000,0.027000,34246000.000000,17436000.000000,221116000.000000,0.000000,0.834000,13.270000,13.204000,252750000.000000,0.000000,4.688000,0.200000,0.200000,220503000.000000,162551000.000000,322570000.000000,322570000.000000,0.000000,,,,,0.000000,34246000.000000,1.000000,53752000.000000,53712000.000000,53746000.000000,6.006000,902766000.000000,0.000000,4404000.000000,0.000000,16.808000
ARQ,1999-12-31,2000-03-24,1999-12-31,1999-Q4,114740000.000000,136895063.000000,2019-04-30,-16063000.000000,1130112000.000000,,524593000.000000,605519000.000000,,5.148000,-16422000.000000,77641000.000000,77641000.000000,311607000.000000,-21344000.000000,1.280000,3.059000,263595000.000000,4741000.000000,258854000.000000,263595000.000000,45333000.000000,7133000.000000,0.000000,0.000000,0.000000,-32983000.000000,-25850000.000000,-0.079000,-25850000.000000,-32983000.000000,-35619000.000000,-0.395000,-0.395000,-0.395000,278412000.000000,,278412000.000000,322849063.000000,73.000000,9.936000,19203000.000000,0.355000,1.000000,15742000.000000,0.048000,159514000.000000,2636000.000000,746699000.000000,,0.000000,233813000.000000,218951000.000000,14862000.000000,851700000.000000,409853000.000000,441847000.000000,19089000.000000,0.000000,0.000000,-21816000.000000,0.000000,-21816000.000000,5280000.000000,21702000.000000,35625000.000000,0.000000,-21344000.000000,-21344000.000000,-21344000.000000,0.000000,0.000000,-0.065000,48725000.000000,-32983000.000000,163490000.000000,0.000000,0.492000,-29.561000,-29.779000,264549000.000000,0.000000,2.531000,0.107000,0.107000,197215000.000000,141207000.000000,327349000.000000,327349000.000000,0.000000,,,,,0.000000,35023000.000000,1.000000,54082000.000000,54082000.000000,,6.053000,970598000.000000,40199000.000000,-14275000.000000,0.000000,17.947000
ARQ,2000-03-31,2000-05-15,2000-03-31,2000-Q1,130390000.000000,92953438.000000,2019-04-30,-11989000.000000,1138707000.000000,,526441000.000000,612266000.000000,,5.280000,-6246000.000000,61708000.000000,61708000.000000,282019000.000000,1556000.000000,1.329000,2.996000,277911000.000000,4591000.000000,273320000.000000,277911000.000000,47585000.000000,8693000.000000,0.000000,0.000000,0.000000,7928000.000000,16621000.000000,0.051000,16621000.000000,7928000.000000,2340000.000000,0.030000,0.030000,0.030000,284946000.000000,,284946000.000000,309156438.000000,33.000000,7.866000,-47616000.000000,-0.882000,1.000000,45157000.000000,0.138000,158300000.000000,5588000.000000,800559000.000000,,0.000000,224223000.000000,203592000.000000,20631000.000000,853761000.000000,396051000.000000,457710000.000000,-16320000.000000,0.000000,904000.000000,14316000.000000,0.000000,15220000.000000,9830000.000000,16076000.000000,-41370000.000000,0.000000,1556000.000000,1556000.000000,1556000.000000,0.000000,0.000000,0.005000,37229000.000000,7928000.000000,233443000.000000,0.000000,0.326000,-39.237000,-42.969000,261858000.000000,0.000000,1.719000,0.072000,0.072000,140627004.000000,142763000.000000,327176000.000000,327176000.000000,0.000000,,,,,0.000000,34329000.000000,1.000000,54082000.000000,53970000.000000,53970000.000000,6.062000,980407000.000000,0.000000,784000.000000,0.000000,18.166000
