dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2007-09-30,2008-02-13,2007-09-30,2007-Q3,12529000.000000,,2025-05-14,0.000000,14395000.000000,,14242000.000000,153000.000000,,29994.276000,,2419000.000000,2419000.000000,,,8.314000,0.135000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,,0.000000,,,,,,,,,,12682000.000000,,12682000.000000,,,,,,1.000000,,,0.000000,,10263000.000000,,0.000000,11826000.000000,11826000.000000,0.000000,1713000.000000,1713000.000000,0.000000,,,,,,,,,,,,,,,,,,,89000.000000,,,,,88000.000000,,,,,0.000000,-8367000.000000,,,,,,,,,,1.000000,423.000000,423.000000,,,14395000.000000,0.000000,,0.000000,34045.703000
ARQ,2007-12-31,2008-04-15,2007-12-31,2007-Q4,10413000.000000,99953230.000000,2025-05-14,0.000000,12147000.000000,,11737000.000000,410000.000000,,25661.940000,-171000.000000,1829000.000000,1829000.000000,0.000000,-2623000.000000,8.865000,0.122000,0.000000,0.000000,0.000000,0.000000,0.000000,18000.000000,0.000000,0.000000,0.000000,-2598000.000000,-2580000.000000,,-2580000.000000,-2598000.000000,-2598000.000000,-6000.000000,-6000.000000,-6000.000000,10823000.000000,,10823000.000000,98124230.000000,-9.000000,-8.978000,-2363000.000000,-5602.805000,1.000000,0.000000,,0.000000,0.000000,8994000.000000,,0.000000,9952000.000000,9952000.000000,0.000000,1324000.000000,1324000.000000,0.000000,-591000.000000,0.000000,330000.000000,0.000000,0.000000,-204000.000000,1805000.000000,1977000.000000,-2192000.000000,0.000000,-2623000.000000,-2623000.000000,-2623000.000000,0.000000,0.000000,,2742000.000000,-2742000.000000,55000.000000,0.000000,9.235000,-9.095000,-7.960000,344000.000000,0.000000,236400.000000,,,0.000000,-10990000.000000,0.000000,0.000000,1367000.000000,,,,,317000.000000,1375000.000000,1.000000,423.000000,422.000000,422.000000,0.000000,12147000.000000,0.000000,25000.000000,25000.000000,28801.218000
ARQ,2008-03-31,2008-05-15,2008-03-31,2008-Q1,8405000.000000,69891154.000000,2025-05-14,0.000000,10580000.000000,,10179000.000000,401000.000000,,20827.125000,-18000.000000,9894000.000000,9894000.000000,0.000000,-2646000.000000,5.738000,0.201000,0.000000,0.000000,0.000000,0.000000,0.000000,29000.000000,0.000000,0.000000,0.000000,-2646000.000000,-2617000.000000,,-2617000.000000,-2646000.000000,-2646000.000000,-6300.000000,-6300.000000,-6300.000000,8806000.000000,,8806000.000000,59997154.000000,,,-1686000.000000,-3987.569000,1.000000,0.000000,,0.000000,0.000000,-1088000.000000,,0.000000,0.000000,0.000000,0.000000,1774000.000000,1774000.000000,0.000000,8094000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9762000.000000,9780000.000000,-1668000.000000,0.000000,-2646000.000000,-2646000.000000,-2646000.000000,0.000000,0.000000,,2721000.000000,-2721000.000000,240000.000000,0.000000,7.937000,,,364000.000000,0.000000,165300.000000,,,0.000000,-13636000.000000,0.000000,0.000000,1088000.000000,,,,,629000.000000,1625000.000000,1.000000,423.000000,423.000000,423.000000,0.000000,10580000.000000,0.000000,0.000000,0.000000,25022.823000
ARQ,2008-06-30,2008-08-14,2008-06-30,2008-Q2,13911000.000000,104558748.000000,2025-05-14,0.000000,15842000.000000,,15433000.000000,409000.000000,,33680.964000,-58000.000000,9036000.000000,9036000.000000,0.000000,-4318000.000000,10.140000,0.107000,30000.000000,17000.000000,13000.000000,30000.000000,0.000000,33000.000000,0.000000,0.000000,0.000000,-4318000.000000,-4285000.000000,,-4285000.000000,-4318000.000000,-4318000.000000,-10200.000000,-10200.000000,-10200.000000,14307000.000000,,14307000.000000,95552748.000000,,,-2725000.000000,-6415.085000,1.000000,0.000000,,0.000000,0.000000,5314000.000000,,0.000000,6055000.000000,6055000.000000,0.000000,1535000.000000,1522000.000000,13000.000000,-837000.000000,0.000000,7934000.000000,-13000.000000,0.000000,7921000.000000,-6091000.000000,-6054000.000000,-2667000.000000,0.000000,-4318000.000000,-4318000.000000,-4318000.000000,0.000000,0.000000,,4346000.000000,-4346000.000000,471000.000000,0.000000,7.308000,,,393000.000000,0.000000,228000.000000,,,0.000000,-17954000.000000,0.000000,0.000000,2766000.000000,,,,,1885000.000000,1580000.000000,1.000000,459.000000,425.000000,425.000000,0.000000,15842000.000000,0.000000,0.000000,0.000000,37294.600000
ARQ,2008-09-30,2008-11-14,2008-09-30,2008-Q3,11825000.000000,120561602.000000,2025-05-14,0.000000,13379000.000000,,13005000.000000,374000.000000,,26581.420000,4000.000000,3680000.000000,3680000.000000,0.000000,-3408000.000000,11.021000,0.098000,26000.000000,17000.000000,9000.000000,26000.000000,0.000000,31000.000000,0.000000,0.000000,0.000000,-3408000.000000,-3377000.000000,,-3377000.000000,-3408000.000000,-3408000.000000,-7500.000000,-7500.000000,-7500.000000,12190000.000000,,12190000.000000,116907602.000000,-9.000000,-9.092000,-2355000.000000,-5135.295000,1.000000,0.000000,,0.000000,0.000000,8545000.000000,,0.000000,9015000.000000,9015000.000000,0.000000,1189000.000000,1180000.000000,9000.000000,-5356000.000000,0.000000,-16000.000000,-4000.000000,0.000000,-20000.000000,-2977000.000000,-2981000.000000,-2359000.000000,0.000000,-3408000.000000,-3408000.000000,-3408000.000000,0.000000,0.000000,,3464000.000000,-3464000.000000,264000.000000,0.000000,9.890000,-9.278000,-8.760000,358000.000000,0.000000,262800.000000,,,0.000000,-21362000.000000,0.000000,0.000000,1200000.000000,,,,,709000.000000,2264000.000000,1.000000,459.000000,459.000000,459.000000,0.000000,13379000.000000,0.000000,0.000000,0.000000,29174.144000
ARQ,2008-12-31,2009-03-18,2008-12-31,2008-Q4,8542000.000000,52660410.000000,2025-05-14,0.000000,10359000.000000,,9929000.000000,430000.000000,,19543.065000,-94000.000000,9872000.000000,9872000.000000,0.000000,-4001000.000000,7.159000,0.155000,21000.000000,17000.000000,4000.000000,21000.000000,0.000000,38000.000000,0.000000,0.000000,0.000000,-4001000.000000,-3963000.000000,,-3963000.000000,-4001000.000000,-4001000.000000,-9000.000000,-9000.000000,-9000.000000,8968000.000000,,8968000.000000,42809410.000000,-3.000000,-3.006000,-2829000.000000,-6164.957000,1.000000,0.000000,,0.000000,0.000000,-879000.000000,,0.000000,0.000000,0.000000,0.000000,1391000.000000,1387000.000000,4000.000000,6192000.000000,0.000000,26000.000000,-5000.000000,0.000000,21000.000000,8906000.000000,9000000.000000,-2735000.000000,0.000000,-4001000.000000,-4001000.000000,-4001000.000000,0.000000,0.000000,,4022000.000000,-4022000.000000,394000.000000,0.000000,5.872000,-3.664000,-3.495000,414000.000000,0.000000,114300.000000,,,0.000000,-25363000.000000,0.000000,0.000000,2000000.000000,,,,,601000.000000,2030000.000000,1.000000,461.000000,459.000000,459.000000,0.000000,10359000.000000,0.000000,0.000000,0.000000,22574.333000
ARQ,2009-03-31,2009-05-15,2009-03-31,2009-Q1,6071000.000000,83620862.000000,2025-05-14,0.000000,7963000.000000,,7563000.000000,400000.000000,,14064.517000,-8000.000000,7188000.000000,7188000.000000,0.000000,-4171000.000000,5.069000,0.231000,17000.000000,17000.000000,0.000000,17000.000000,0.000000,38000.000000,0.000000,0.000000,0.000000,-4171000.000000,-4133000.000000,,-4133000.000000,-4171000.000000,-4171000.000000,-9000.000000,-9000.000000,-9000.000000,6471000.000000,,6471000.000000,76449862.000000,-5.000000,-4.851000,-2680000.000000,-5824.897000,1.000000,0.000000,,0.000000,0.000000,-700000.000000,,0.000000,0.000000,0.000000,0.000000,1492000.000000,1492000.000000,0.000000,-2684000.000000,0.000000,0.000000,-4000.000000,0.000000,-4000.000000,-8000.000000,0.000000,-2672000.000000,0.000000,-4171000.000000,-4171000.000000,-4171000.000000,0.000000,0.000000,,4171000.000000,-4171000.000000,409000.000000,0.000000,12.922000,-5.260000,-5.084000,384000.000000,0.000000,181500.000000,,,0.000000,-29534000.000000,0.000000,0.000000,1416000.000000,,,,,659000.000000,2755000.000000,1.000000,461.000000,460.000000,460.000000,0.000000,7963000.000000,0.000000,0.000000,0.000000,17307.333000
ARQ,2009-06-30,2009-08-14,2009-06-30,2009-Q2,2827000.000000,55592137.000000,2025-05-14,0.000000,5102000.000000,,4695000.000000,407000.000000,,6995.466000,-39000.000000,4378000.000000,4378000.000000,0.000000,-5081000.000000,2.513000,0.583000,25000.000000,14000.000000,11000.000000,25000.000000,0.000000,42000.000000,0.000000,0.000000,0.000000,-5079000.000000,-5037000.000000,,-5037000.000000,-5079000.000000,-5081000.000000,-11100.000000,-11100.000000,-11100.000000,3223000.000000,,3223000.000000,51239137.000000,-3.000000,-3.104000,-2804000.000000,-6086.034000,1.000000,0.000000,,0.000000,2000.000000,-1119000.000000,,0.000000,0.000000,0.000000,0.000000,1879000.000000,1868000.000000,11000.000000,-2810000.000000,0.000000,0.000000,-6000.000000,0.000000,-6000.000000,-39000.000000,0.000000,-2765000.000000,0.000000,-5081000.000000,-5081000.000000,-5081000.000000,0.000000,0.000000,,5079000.000000,-5079000.000000,580000.000000,0.000000,17.249000,-3.337000,-2.811000,391000.000000,0.000000,102900.000000,,,0.000000,-34615000.000000,0.000000,0.000000,3026000.000000,,,,,1741000.000000,2049000.000000,1.000000,540.000000,461.000000,461.000000,0.000000,5102000.000000,0.000000,0.000000,0.000000,11073.803000
ARQ,2009-09-30,2009-11-16,2009-09-30,2009-Q3,5331000.000000,35332612.000000,2025-05-14,0.000000,9721000.000000,,9233000.000000,488000.000000,,11232.766000,-36000.000000,9004000.000000,9004000.000000,0.000000,-2987000.000000,2.366000,0.694000,104000.000000,24000.000000,80000.000000,104000.000000,0.000000,42000.000000,0.000000,0.000000,0.000000,-2986000.000000,-2944000.000000,,-2944000.000000,-2986000.000000,-2987000.000000,-5700.000000,-5700.000000,-5700.000000,5739000.000000,,5739000.000000,26432612.000000,-2.000000,-1.644000,-3080000.000000,-6028.388000,1.000000,0.000000,,0.000000,1000.000000,-3081000.000000,,0.000000,0.000000,0.000000,0.000000,3982000.000000,3902000.000000,80000.000000,4626000.000000,0.000000,7714000.000000,-8000.000000,0.000000,7706000.000000,-36000.000000,0.000000,-3044000.000000,0.000000,-2987000.000000,-2987000.000000,-2987000.000000,0.000000,0.000000,,2986000.000000,-2986000.000000,534000.000000,0.000000,6.157000,-2.176000,-1.879000,472000.000000,0.000000,65400.000000,,,0.000000,-37602000.000000,0.000000,0.000000,2091000.000000,,,,,652000.000000,895000.000000,1.000000,540.000000,511.000000,511.000000,0.000000,9721000.000000,0.000000,0.000000,0.000000,19026.611000
ARQ,2009-12-31,2010-03-31,2009-12-31,2009-Q4,329000.000000,83361953.000000,2025-05-14,0.000000,6252000.000000,,5804000.000000,448000.000000,,1369.825000,0.000000,5700000.000000,5700000.000000,0.000000,-6148000.000000,1.060000,7.437000,88000.000000,52000.000000,36000.000000,88000.000000,0.000000,40000.000000,0.000000,0.000000,0.000000,-6146000.000000,-6106000.000000,,-6106000.000000,-6146000.000000,-6148000.000000,-11700.000000,-11700.000000,-11700.000000,741000.000000,,741000.000000,77749953.000000,-4.000000,-4.267000,-3288000.000000,-6078.252000,1.000000,0.000000,,0.000000,2000.000000,-4835000.000000,,0.000000,0.000000,0.000000,0.000000,5511000.000000,5475000.000000,36000.000000,-3304000.000000,0.000000,0.000000,-16000.000000,0.000000,-16000.000000,0.000000,0.000000,-3288000.000000,0.000000,-6148000.000000,-6148000.000000,-6148000.000000,0.000000,0.000000,,5284000.000000,-5284000.000000,625000.000000,0.000000,112.499000,-4.534000,-3.677000,432000.000000,0.000000,136800.000000,,,0.000000,-43750000.000000,0.000000,0.000000,2359000.000000,,,,,1150000.000000,2929000.000000,1.000000,609.000000,541.000000,541.000000,0.000000,6252000.000000,0.000000,0.000000,0.000000,11557.552000
