dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2006-12-31,2007-03-27,2006-12-31,2007-Q2,45973000.000000,,2025-05-13,0.000000,168573000.000000,,137180000.000000,31393000.000000,,0.264000,,21632000.000000,21632000.000000,,,1.504000,1.873000,20136000.000000,1791000.000000,18345000.000000,20136000.000000,0.000000,,0.000000,,0.000000,,,,,,,,,,58667000.000000,,58667000.000000,,,,,,1.000000,,,0.000000,,75870000.000000,,74664000.000000,54000.000000,54000.000000,0.000000,109906000.000000,91207000.000000,18699000.000000,,,,,,,,,,,,,,,,,,,76420000.000000,,,,,31183000.000000,,,,,31159000.000000,49561000.000000,,,,,,,,,,1.000000,286232200.000000,222014380.000000,,,168573000.000000,3440000.000000,,2424000.000000,0.759000
ARQ,2007-03-31,2007-05-11,2007-03-31,2007-Q3,51540000.000000,313637532.000000,2025-05-13,0.000000,166807000.000000,,135380000.000000,31427000.000000,,0.290000,-758000.000000,20828000.000000,20828000.000000,87592000.000000,4071000.000000,1.615000,1.586000,19924000.000000,1759000.000000,18165000.000000,19924000.000000,0.000000,432000.000000,0.000000,0.000000,0.000000,6230000.000000,6662000.000000,0.063000,6662000.000000,6230000.000000,5861000.000000,0.018000,0.013000,0.018000,64502000.000000,,64502000.000000,312733532.000000,,,-1050000.000000,-0.005000,1.000000,18067000.000000,0.171000,0.000000,369000.000000,82063000.000000,,72996000.000000,0.000000,0.000000,0.000000,102305000.000000,83840000.000000,18465000.000000,-804000.000000,0.000000,1080000.000000,-212000.000000,0.000000,245000.000000,-757000.000000,53000.000000,-292000.000000,0.000000,4071000.000000,4071000.000000,4071000.000000,0.000000,0.000000,0.039000,11906000.000000,6161000.000000,66177000.000000,0.000000,4.862000,,,31165000.000000,0.000000,1.040000,,,32777000.000000,53632000.000000,105659000.000000,105659000.000000,5143000.000000,,,,,683000.000000,6763000.000000,1.000000,301574550.000000,222773390.000000,324341820.000000,0.474000,166807000.000000,3440000.000000,1790000.000000,1856000.000000,0.749000
ARQ,2007-06-30,2007-08-28,2007-06-30,2007-Q4,95086000.000000,253775177.000000,2025-05-13,0.000000,205583000.000000,,173506000.000000,32077000.000000,,0.480000,-400000.000000,50864000.000000,50864000.000000,91003000.000000,5501000.000000,2.213000,0.774000,12695000.000000,1404000.000000,11291000.000000,12695000.000000,0.000000,461000.000000,0.000000,0.000000,0.000000,8687000.000000,9148000.000000,0.082000,9148000.000000,8687000.000000,8395000.000000,0.018000,0.014000,0.018000,115872000.000000,,115872000.000000,215606177.000000,7.000000,6.673000,5022000.000000,0.021000,1.000000,19942000.000000,0.180000,0.000000,292000.000000,88994000.000000,,66772000.000000,15055000.000000,15055000.000000,0.000000,89711000.000000,78420000.000000,11291000.000000,30036000.000000,0.000000,44027000.000000,-7259000.000000,0.000000,40090000.000000,-15476000.000000,-14962000.000000,5422000.000000,0.000000,5501000.000000,5501000.000000,5501000.000000,0.000000,0.000000,0.050000,11830000.000000,8112000.000000,61453000.000000,0.000000,2.190000,13.122000,10.475000,31089000.000000,0.000000,0.838000,0.604000,0.481000,33426000.000000,59133000.000000,110945000.000000,110945000.000000,5534000.000000,,,,,757000.000000,6296000.000000,1.000000,302834340.000000,241527690.000000,386644440.000000,0.459000,205583000.000000,6254000.000000,2894000.000000,1489000.000000,0.851000
ARQ,2007-06-30,2007-09-25,2007-06-30,2007-Q4,95086000.000000,295263482.000000,2025-05-13,0.000000,205583000.000000,,173506000.000000,32077000.000000,,0.480000,-400000.000000,50864000.000000,50864000.000000,91003000.000000,5501000.000000,2.213000,0.774000,12695000.000000,1404000.000000,11291000.000000,12695000.000000,0.000000,461000.000000,0.000000,0.000000,0.000000,8687000.000000,9148000.000000,0.082000,9148000.000000,8687000.000000,8395000.000000,0.018000,0.014000,0.018000,115872000.000000,,115872000.000000,257094482.000000,8.000000,7.957000,5022000.000000,0.021000,1.000000,19942000.000000,0.180000,0.000000,292000.000000,88994000.000000,,66772000.000000,15055000.000000,15055000.000000,0.000000,89711000.000000,78420000.000000,11291000.000000,30036000.000000,0.000000,44027000.000000,-7259000.000000,0.000000,40090000.000000,-15476000.000000,-14962000.000000,5422000.000000,0.000000,5501000.000000,5501000.000000,5501000.000000,0.000000,0.000000,0.050000,11830000.000000,8112000.000000,61453000.000000,0.000000,2.548000,15.268000,12.188000,31089000.000000,0.000000,0.975000,0.702000,0.560000,33426000.000000,59133000.000000,110945000.000000,110945000.000000,5534000.000000,,,,,757000.000000,6296000.000000,1.000000,302834340.000000,241527690.000000,386644440.000000,0.459000,205583000.000000,6254000.000000,2894000.000000,1489000.000000,0.851000
ARQ,2007-09-30,2007-11-13,2007-09-30,2008-Q1,102637000.000000,273368473.000000,2025-05-13,0.000000,225998000.000000,,191783000.000000,34215000.000000,,0.403000,-580000.000000,50315000.000000,50315000.000000,94904000.000000,5807000.000000,2.151000,0.853000,12501000.000000,1314000.000000,11187000.000000,12501000.000000,0.000000,537000.000000,0.000000,0.000000,0.000000,9724000.000000,10261000.000000,0.087000,10261000.000000,9724000.000000,9472000.000000,0.019000,0.015000,0.019000,121935000.000000,,121935000.000000,235554473.000000,,,3419000.000000,0.011000,1.000000,23045000.000000,0.195000,0.000000,252000.000000,99038000.000000,,73427000.000000,19055000.000000,19055000.000000,0.000000,104063000.000000,89146000.000000,14917000.000000,-549000.000000,0.000000,290000.000000,-198000.000000,0.000000,72000.000000,-4620000.000000,-3835000.000000,3999000.000000,0.000000,5807000.000000,5807000.000000,5807000.000000,0.000000,0.000000,0.049000,13859000.000000,9186000.000000,70144000.000000,0.000000,2.242000,,,32758000.000000,0.000000,0.894000,,,40655000.000000,63951000.000000,117949000.000000,117949000.000000,6706000.000000,,,,,870000.000000,7153000.000000,1.000000,305781290.000000,302917430.000000,386192630.000000,0.389000,225998000.000000,7329000.000000,3665000.000000,3140000.000000,0.746000
ARQ,2007-12-31,2008-02-14,2007-12-31,2008-Q2,102423000.000000,283861761.000000,2025-05-13,0.000000,258161000.000000,,212498000.000000,45663000.000000,,0.435000,-11970000.000000,45400000.000000,45400000.000000,109678000.000000,7740000.000000,1.930000,0.927000,11431000.000000,1255000.000000,10176000.000000,11431000.000000,0.000000,600000.000000,0.000000,0.000000,0.000000,12690000.000000,13290000.000000,0.097000,13290000.000000,12690000.000000,12442000.000000,0.025000,0.020000,0.025000,133977000.000000,,133977000.000000,249892761.000000,7.000000,6.349000,-7434000.000000,-0.024000,1.000000,27255000.000000,0.199000,0.000000,248000.000000,114117000.000000,,92665000.000000,19331000.000000,19331000.000000,0.000000,124184000.000000,110075000.000000,14109000.000000,-4915000.000000,0.000000,1030000.000000,-1070000.000000,0.000000,2378000.000000,-11829000.000000,-60000.000000,4536000.000000,0.000000,7740000.000000,7740000.000000,7740000.000000,0.000000,0.000000,0.057000,15019000.000000,12236000.000000,94614000.000000,0.000000,2.119000,12.278000,11.287000,44398000.000000,0.000000,0.903000,0.602000,0.590000,45774000.000000,71691000.000000,136933000.000000,136933000.000000,6987000.000000,,,,,-1480000.000000,8032000.000000,1.000000,314354110.000000,308175520.000000,387411510.000000,0.444000,258161000.000000,8265000.000000,4702000.000000,1191000.000000,0.838000
ARQ,2007-12-31,2008-05-14,2007-12-31,2008-Q2,102423000.000000,234193812.000000,2025-05-13,0.000000,258161000.000000,,212498000.000000,45663000.000000,,0.435000,-11970000.000000,45400000.000000,45400000.000000,109678000.000000,7740000.000000,1.930000,0.927000,11431000.000000,1255000.000000,10176000.000000,11431000.000000,0.000000,600000.000000,0.000000,0.000000,0.000000,12690000.000000,13290000.000000,0.097000,13290000.000000,12690000.000000,12442000.000000,0.025000,0.020000,0.025000,133977000.000000,,133977000.000000,200224812.000000,5.000000,5.087000,-5016000.000000,-0.016000,1.000000,27255000.000000,0.199000,0.000000,248000.000000,114117000.000000,,92665000.000000,19331000.000000,19331000.000000,0.000000,124184000.000000,110075000.000000,14109000.000000,-4915000.000000,0.000000,1030000.000000,-1070000.000000,0.000000,-40000.000000,-11829000.000000,-60000.000000,6954000.000000,0.000000,7740000.000000,7740000.000000,7740000.000000,0.000000,0.000000,0.057000,15019000.000000,12236000.000000,94614000.000000,0.000000,1.748000,10.130000,9.312000,44398000.000000,0.000000,0.745000,0.497000,0.487000,45774000.000000,71691000.000000,136933000.000000,136933000.000000,6987000.000000,,,,,938000.000000,8032000.000000,1.000000,314354110.000000,308175520.000000,387411510.000000,0.444000,258161000.000000,8265000.000000,4702000.000000,1191000.000000,0.838000
ARQ,2008-03-31,2008-05-15,2008-03-31,2008-Q3,91525000.000000,243915142.000000,2025-05-13,-386000.000000,253654000.000000,,187297000.000000,66357000.000000,,0.451000,-2506000.000000,41354000.000000,41354000.000000,111929000.000000,5024000.000000,1.956000,0.769000,11831000.000000,1721000.000000,10110000.000000,11831000.000000,0.000000,784000.000000,0.000000,0.000000,0.000000,8598000.000000,9382000.000000,0.069000,9382000.000000,8598000.000000,8350000.000000,0.016000,0.013000,0.016000,143388000.000000,,143388000.000000,214392142.000000,5.000000,5.095000,-4148000.000000,-0.013000,1.000000,24826000.000000,0.182000,0.000000,248000.000000,128359000.000000,,93378000.000000,18020000.000000,456000.000000,17564000.000000,110266000.000000,95772000.000000,14494000.000000,-4046000.000000,0.000000,1097000.000000,377000.000000,0.000000,1474000.000000,-3878000.000000,294000.000000,-1642000.000000,0.000000,5024000.000000,5024000.000000,5024000.000000,0.000000,0.000000,0.037000,16555000.000000,8271000.000000,79756000.000000,0.000000,1.701000,10.133000,9.615000,45564000.000000,0.000000,0.750000,0.485000,0.474000,42141000.000000,76715000.000000,136755000.000000,136755000.000000,8050000.000000,,,,,1041000.000000,8505000.000000,1.000000,325220190.000000,317599580.000000,389612840.000000,0.431000,253654000.000000,9328000.000000,3326000.000000,0.000000,0.799000
ARQ,2008-06-30,2008-09-02,2008-06-30,2008-Q4,102392000.000000,333726851.000000,2025-05-13,-451000.000000,264385000.000000,,199883000.000000,64502000.000000,,0.467000,-1029000.000000,51481000.000000,51481000.000000,120439000.000000,6848000.000000,2.050000,0.741000,11639000.000000,1550000.000000,10089000.000000,11639000.000000,0.000000,743000.000000,0.000000,0.000000,0.000000,10817000.000000,11560000.000000,0.078000,11560000.000000,10817000.000000,10540000.000000,0.021000,0.017000,0.021000,151871000.000000,,151871000.000000,293884851.000000,7.000000,6.605000,8162000.000000,0.025000,1.000000,28427000.000000,0.191000,0.000000,277000.000000,127052000.000000,,85683000.000000,16163000.000000,57000.000000,16106000.000000,112514000.000000,97491000.000000,15023000.000000,10127000.000000,0.000000,515000.000000,-298000.000000,0.000000,217000.000000,719000.000000,1749000.000000,9191000.000000,0.000000,6848000.000000,6848000.000000,6848000.000000,0.000000,0.000000,0.046000,17849000.000000,10578000.000000,80962000.000000,0.000000,2.197000,13.129000,12.457000,45602000.000000,0.000000,1.009000,0.617000,0.585000,49501000.000000,83563000.000000,148866000.000000,148866000.000000,8794000.000000,,,,,1319000.000000,9055000.000000,1.000000,330750100.000000,325438440.000000,390300930.000000,0.457000,264385000.000000,12263000.000000,3692000.000000,189000.000000,0.812000
ARQ,2008-09-30,2008-11-10,2008-09-30,2009-Q1,114049000.000000,188153100.000000,2025-05-13,-544000.000000,286532000.000000,,222521000.000000,64011000.000000,,0.494000,-1425000.000000,64774000.000000,64774000.000000,116215000.000000,7172000.000000,2.051000,0.755000,11807000.000000,1788000.000000,10019000.000000,11807000.000000,0.000000,812000.000000,0.000000,0.000000,0.000000,12058000.000000,12870000.000000,0.089000,12870000.000000,12058000.000000,11821000.000000,0.022000,0.018000,0.022000,163270000.000000,,163270000.000000,135186100.000000,3.000000,2.870000,11281000.000000,0.034000,1.000000,27836000.000000,0.193000,0.000000,237000.000000,125093000.000000,,100853000.000000,15160000.000000,57000.000000,15103000.000000,123262000.000000,108472000.000000,14790000.000000,13293000.000000,0.000000,1037000.000000,168000.000000,0.000000,1205000.000000,-618000.000000,850000.000000,12706000.000000,0.000000,7172000.000000,7172000.000000,7172000.000000,0.000000,0.000000,0.050000,15996000.000000,11840000.000000,86872000.000000,0.000000,1.152000,7.025000,6.464000,46017000.000000,0.000000,0.543000,0.332000,0.317000,46200000.000000,90735000.000000,144051000.000000,144051000.000000,8085000.000000,,,,,1209000.000000,7911000.000000,1.000000,346506630.000000,330282940.000000,392989930.000000,0.436000,286532000.000000,10004000.000000,4649000.000000,261000.000000,0.868000
