dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2020-06-30,2020-09-14,2020-07-31,2021-Q2,315789000.000000,,2025-03-21,1146000.000000,1437241000.000000,,793448000.000000,643793000.000000,,-11.466000,,138900000.000000,138900000.000000,,,1.661000,-1.034000,201459000.000000,17204000.000000,184255000.000000,201459000.000000,376720000.000000,,0.000000,,0.000000,,,,,,,,,,-651399000.000000,,-651399000.000000,,,,,,1.000000,,,24144000.000000,,997997000.000000,,0.000000,747920000.000000,451976000.000000,295944000.000000,673593000.000000,477659000.000000,195934000.000000,,,,,,,,,,,,,,,,,,,7713000.000000,,,,,229817000.000000,,,,,151210000.000000,-871597000.000000,,,,,,,,,,1.000000,277290066.000000,56809625.000000,,,1413097000.000000,0.000000,,0.000000,24.874000
ARQ,2020-09-30,2020-12-03,2020-10-31,2021-Q3,4439112000.000000,96222859000.000000,2025-03-21,375000.000000,5712889000.000000,,4986771000.000000,726118000.000000,,29.771000,-18114000.000000,3939925000.000000,3939925000.000000,66681000.000000,-168889000.000000,9.106000,0.150000,206051000.000000,19333000.000000,186718000.000000,206051000.000000,441704000.000000,11352000.000000,0.000000,0.000000,0.000000,-168456000.000000,-157104000.000000,-0.984000,-157104000.000000,-168456000.000000,-168456000.000000,-1.010000,-1.010000,-1.010000,4967815000.000000,,4967815000.000000,92488985000.000000,,,-37868000.000000,-0.227000,1.000000,92943000.000000,0.582000,23269000.000000,0.000000,1408087000.000000,,0.000000,1161526000.000000,814123000.000000,347403000.000000,745074000.000000,547659000.000000,197415000.000000,3801031000.000000,0.000000,4252648000.000000,0.000000,0.000000,4254420000.000000,-433635000.000000,-415521000.000000,-19754000.000000,0.000000,-168889000.000000,-168889000.000000,-168889000.000000,0.000000,0.000000,-1.058000,262397000.000000,-169454000.000000,5061000.000000,0.000000,19.369000,,,242905000.000000,0.000000,339.890000,,,168982000.000000,-1040486000.000000,159624000.000000,159624000.000000,74138000.000000,,,,,119141000.000000,188259000.000000,1.000000,283100000.000000,166868200.000000,166868200.000000,0.957000,5689620000.000000,0.000000,433000.000000,0.000000,34.096000
ARQ,2020-12-31,2021-03-31,2021-01-31,2021-Q4,3511388000.000000,66193136000.000000,2025-03-21,439000.000000,5921739000.000000,,4300652000.000000,1621087000.000000,,34.859000,-12298000.000000,820177000.000000,820177000.000000,82904000.000000,-198935000.000000,5.449000,0.200000,204537000.000000,19650000.000000,184887000.000000,204537000.000000,642846000.000000,11850000.000000,0.000000,0.000000,0.000000,-197593000.000000,-185743000.000000,-0.975000,-185743000.000000,-197593000.000000,-197593000.000000,-0.180000,-0.180000,-0.180000,4936471000.000000,,4936471000.000000,65577496000.000000,-122.000000,-132.818000,7316000.000000,0.052000,1.000000,107561000.000000,0.565000,24540000.000000,0.000000,4492295000.000000,,0.000000,4253162000.000000,3087887000.000000,1165275000.000000,985268000.000000,789264000.000000,196004000.000000,-3119726000.000000,0.000000,22278000.000000,0.000000,0.000000,22278000.000000,-3161607000.000000,-3147119000.000000,19614000.000000,-11000.000000,-198935000.000000,-198935000.000000,-198935000.000000,0.000000,0.000000,-1.044000,307958000.000000,-200397000.000000,5647000.000000,0.000000,13.409000,-122.784000,-60.178000,255786000.000000,0.000000,229.280000,111.803000,54.842000,294017000.000000,-1239421000.000000,190465000.000000,190465000.000000,93997000.000000,,,,,143651000.000000,213961000.000000,1.000000,288700000.000000,141613196.000000,141613196.000000,1.345000,5897199000.000000,0.000000,1342000.000000,0.000000,41.643000
ARQ,2021-03-31,2021-06-04,2021-04-30,2022-Q1,3444338000.000000,71822016000.000000,2025-03-21,366000.000000,5929010000.000000,,4221336000.000000,1707674000.000000,,17.016000,-8910000.000000,644674000.000000,644674000.000000,97346000.000000,-203220000.000000,5.433000,0.196000,200530000.000000,20734000.000000,179796000.000000,200530000.000000,638736000.000000,13193000.000000,0.000000,0.000000,0.000000,-203471000.000000,-190278000.000000,-0.831000,-190278000.000000,-203471000.000000,-203471000.000000,-0.700000,-0.700000,-0.700000,4958321000.000000,,4958321000.000000,71377872000.000000,,,12944000.000000,0.044000,1.000000,131568000.000000,0.575000,38221000.000000,0.000000,4669647000.000000,,0.000000,4463426000.000000,3285751000.000000,1177675000.000000,970689000.000000,776998000.000000,193691000.000000,-174396000.000000,0.000000,67800000.000000,0.000000,0.000000,67800000.000000,-264069000.000000,-244699000.000000,21854000.000000,19000.000000,-203220000.000000,-203220000.000000,-203220000.000000,0.000000,0.000000,-0.888000,337163000.000000,-205595000.000000,4371000.000000,0.000000,14.485000,,,259132000.000000,0.000000,242.560000,,,166337000.000000,-1442641000.000000,228914000.000000,228914000.000000,109796000.000000,,,,,151014000.000000,227367000.000000,1.000000,296100000.000000,291385850.000000,291385850.000000,0.786000,5890789000.000000,0.000000,-251000.000000,0.000000,20.216000
ARQ,2021-06-30,2021-09-02,2021-07-31,2022-Q2,3632364000.000000,92343201000.000000,2025-03-21,1141000.000000,6032416000.000000,,4508102000.000000,1524314000.000000,,16.677000,-5841000.000000,698548000.000000,698548000.000000,106121000.000000,-189719000.000000,5.148000,0.215000,194897000.000000,20641000.000000,174256000.000000,194897000.000000,708858000.000000,13915000.000000,0.000000,0.000000,0.000000,-189205000.000000,-175290000.000000,-0.644000,-175290000.000000,-189205000.000000,-189205000.000000,-0.640000,-0.640000,-0.640000,4964965000.000000,,4964965000.000000,91839550000.000000,-121.000000,-129.641000,-11952000.000000,-0.040000,1.000000,166077000.000000,0.610000,36538000.000000,0.000000,4616489000.000000,,0.000000,4392952000.000000,3436941000.000000,956011000.000000,1067451000.000000,875738000.000000,191713000.000000,54586000.000000,0.000000,24463000.000000,0.000000,0.000000,24463000.000000,36038000.000000,42601000.000000,-6111000.000000,196000.000000,-189719000.000000,-189719000.000000,-189719000.000000,0.000000,0.000000,-0.697000,366218000.000000,-200141000.000000,9475000.000000,0.000000,18.599000,-121.382000,-121.300000,258617000.000000,0.000000,306.890000,108.486000,107.338000,237457000.000000,-1632360000.000000,272198000.000000,272198000.000000,118087000.000000,,,,,163991000.000000,248131000.000000,1.000000,300900000.000000,297717099.000000,297717099.000000,0.914000,5995878000.000000,0.000000,514000.000000,0.000000,20.140000
ARQ,2021-09-30,2021-12-03,2021-10-31,2022-Q3,3349522000.000000,105707193000.000000,2025-03-21,-3486000.000000,6163471000.000000,,4308257000.000000,1855214000.000000,,16.523000,-6070000.000000,935217000.000000,935217000.000000,120786000.000000,-154856000.000000,4.494000,0.231000,203891000.000000,25194000.000000,178697000.000000,203891000.000000,766876000.000000,14373000.000000,0.000000,0.000000,0.000000,-153677000.000000,-139304000.000000,-0.417000,-139304000.000000,-153677000.000000,-153677000.000000,-0.510000,-0.510000,-0.510000,5006682000.000000,,5006682000.000000,104975867000.000000,-141.000000,-152.003000,9468000.000000,0.031000,1.000000,213655000.000000,0.639000,34616000.000000,0.000000,4438794000.000000,,0.000000,4167471000.000000,2955613000.000000,1211858000.000000,1156789000.000000,958735000.000000,198054000.000000,236816000.000000,0.000000,50408000.000000,0.000000,0.000000,50408000.000000,171064000.000000,177134000.000000,15538000.000000,-194000.000000,-154856000.000000,-154856000.000000,-154856000.000000,0.000000,0.000000,-0.463000,370926000.000000,-157271000.000000,10559000.000000,0.000000,21.113000,-141.560000,-170.005000,278434000.000000,0.000000,345.110000,103.027000,101.919000,254243000.000000,-1787216000.000000,334441000.000000,334441000.000000,115900000.000000,,,,,144387000.000000,255026000.000000,1.000000,306300000.000000,303006685.000000,303006685.000000,1.104000,6128855000.000000,0.000000,1179000.000000,0.000000,20.227000
ARQ,2021-12-31,2022-03-30,2022-01-31,2022-Q4,3201550000.000000,72870798000.000000,2025-03-21,-16286000.000000,6649698000.000000,,4598643000.000000,2051055000.000000,,16.351000,-8172000.000000,1085729000.000000,1085729000.000000,134180000.000000,-132153000.000000,3.292000,0.317000,206297000.000000,25101000.000000,181196000.000000,206297000.000000,1169067000.000000,15570000.000000,0.000000,0.000000,0.000000,-130607000.000000,-115037000.000000,-0.300000,-115037000.000000,-130607000.000000,-130607000.000000,-0.420000,-0.420000,-0.420000,5049045000.000000,,5049045000.000000,71991366000.000000,-106.000000,-116.132000,70726000.000000,0.229000,1.000000,249594000.000000,0.650000,45590000.000000,0.000000,4327583000.000000,,0.000000,4022571000.000000,2766364000.000000,1256207000.000000,1600653000.000000,1397093000.000000,203560000.000000,150335000.000000,0.000000,36592000.000000,0.000000,0.000000,35527000.000000,36167000.000000,57491000.000000,78898000.000000,-257000.000000,-132153000.000000,-132153000.000000,-132153000.000000,0.000000,0.000000,-0.344000,401623000.000000,-152029000.000000,13441000.000000,0.000000,14.433000,-107.171000,-102.491000,295435000.000000,0.000000,231.630000,59.763000,57.042000,545629000.000000,-1919369000.000000,383774000.000000,383774000.000000,123149000.000000,,,,,145703000.000000,278474000.000000,1.000000,314600000.000000,308785997.000000,308785997.000000,1.243000,6604108000.000000,0.000000,1546000.000000,0.000000,21.387000
ARQ,2022-03-31,2022-06-03,2022-04-30,2023-Q1,2978015000.000000,41295742000.000000,2025-03-21,-46587000.000000,7022699000.000000,,4341733000.000000,2680966000.000000,,17.362000,-12217000.000000,1063401000.000000,1063401000.000000,147930000.000000,-165794000.000000,3.184000,0.287000,206549000.000000,27298000.000000,179251000.000000,206549000.000000,1143131000.000000,20032000.000000,0.000000,0.000000,0.000000,-192488000.000000,-172456000.000000,-0.408000,-172456000.000000,-192488000.000000,-192488000.000000,-0.530000,-0.530000,-0.530000,5457994000.000000,,5457994000.000000,40438890000.000000,-61.000000,-67.165000,172396000.000000,0.548000,1.000000,274441000.000000,0.650000,684465000.000000,0.000000,4117664000.000000,,0.000000,3964057000.000000,2751679000.000000,1212378000.000000,1564705000.000000,1363718000.000000,200987000.000000,-22123000.000000,-177925000.000000,41370000.000000,0.000000,0.000000,-11846000.000000,-189792000.000000,350000.000000,184613000.000000,-5098000.000000,-165794000.000000,-165794000.000000,-165794000.000000,0.000000,0.000000,-0.393000,463207000.000000,-188766000.000000,18442000.000000,0.000000,7.566000,-64.271000,-61.819000,307557000.000000,0.000000,129.820000,29.230000,28.886000,277559000.000000,-2085163000.000000,422371000.000000,422371000.000000,150798000.000000,,,,,172493000.000000,312409000.000000,1.000000,318100000.000000,314361000.000000,314361000.000000,1.344000,6338234000.000000,0.000000,-26694000.000000,0.000000,20.162000
ARQ,2022-06-30,2022-09-01,2022-07-31,2023-Q2,3102261000.000000,55408000000.000000,2025-03-21,-47857000.000000,7064115000.000000,,4503697000.000000,2560418000.000000,,17.045000,-10584000.000000,906663000.000000,906663000.000000,173232000.000000,-222806000.000000,3.214000,0.302000,241757000.000000,26605000.000000,215152000.000000,241757000.000000,1153566000.000000,27320000.000000,0.000000,0.000000,0.000000,-218960000.000000,-191640000.000000,-0.385000,-191640000.000000,-218960000.000000,-218960000.000000,-0.700000,-0.700000,-0.700000,5426323000.000000,,5426323000.000000,54743094000.000000,-79.000000,-88.518000,53849000.000000,0.169000,1.000000,324016000.000000,0.652000,674868000.000000,0.000000,4322905000.000000,,0.000000,4133161000.000000,3046477000.000000,1086684000.000000,1637792000.000000,1401436000.000000,236356000.000000,-156677000.000000,0.000000,8520000.000000,0.000000,0.000000,-22373000.000000,-196447000.000000,-185163000.000000,64433000.000000,-2290000.000000,-222806000.000000,-222806000.000000,-222806000.000000,0.000000,0.000000,-0.448000,531748000.000000,-207732000.000000,20286000.000000,0.000000,10.211000,-82.012000,-80.162000,352322000.000000,0.000000,173.150000,33.830000,33.656000,304964000.000000,-2307969000.000000,497248000.000000,497248000.000000,183748000.000000,,,,,209181000.000000,348000000.000000,1.000000,320000000.000000,318356000.000000,318356000.000000,1.562000,6389247000.000000,0.000000,3846000.000000,0.000000,20.070000
ARQ,2022-09-30,2022-12-02,2022-10-31,2023-Q3,3079862000.000000,48156384000.000000,2025-03-21,-69179000.000000,7155688000.000000,,4558904000.000000,2596784000.000000,,16.902000,-14284000.000000,819003000.000000,819003000.000000,190721000.000000,-201442000.000000,3.082000,0.320000,254276000.000000,29263000.000000,225013000.000000,254276000.000000,1207034000.000000,30036000.000000,0.000000,0.000000,0.000000,-196927000.000000,-166891000.000000,-0.300000,-166891000.000000,-196927000.000000,-196927000.000000,-0.630000,-0.630000,-0.630000,5410777000.000000,,5410777000.000000,47591657000.000000,-64.000000,-73.669000,64993000.000000,0.203000,1.000000,366307000.000000,0.658000,845257000.000000,0.000000,4266662000.000000,,0.000000,4066960000.000000,3123879000.000000,943081000.000000,1732417000.000000,1479042000.000000,253375000.000000,-87908000.000000,-174630000.000000,22136000.000000,0.000000,0.000000,-18321000.000000,-146862000.000000,42052000.000000,79277000.000000,-2002000.000000,-200936000.000000,-200936000.000000,-200936000.000000,0.000000,-506000.000000,-0.361000,572326000.000000,-206019000.000000,24757000.000000,0.000000,8.900000,-66.727000,-65.675000,380652000.000000,0.000000,149.740000,25.885000,25.767000,394063000.000000,-2508905000.000000,557028000.000000,557028000.000000,211387000.000000,,,,,229163000.000000,360939000.000000,1.000000,321600000.000000,320135000.000000,320135000.000000,1.740000,6310431000.000000,0.000000,4009000.000000,0.000000,19.712000
