dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2020-12-31,2021-03-08,2020-12-31,2020-Q4,,,2025-05-12,0.000000,0.000000,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,-716.000000,,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,-716.000000,-716.000000,,-716.000000,-716.000000,-716.000000,0.000000,0.000000,0.000000,-716.000000,,-716.000000,,,,0.000000,0.000000,1.000000,0.000000,,0.000000,0.000000,-716.000000,,0.000000,0.000000,,,716.000000,716.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-716.000000,-716.000000,-716.000000,0.000000,0.000000,,716.000000,-716.000000,716.000000,,,,,0.000000,0.000000,,,,0.000000,-716.000000,0.000000,0.000000,0.000000,,,,,0.000000,0.000000,1.000000,13200000.000000,13200000.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ARQ,2021-03-31,2021-07-27,2021-03-31,2021-Q1,1017496.000000,174435390.000000,2025-05-12,0.000000,134129933.000000,,1129408.000000,133000525.000000,,1.296000,0.000000,963695.000000,963695.000000,0.000000,-84033.000000,10.092000,0.077000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-84033.000000,-84033.000000,,-84033.000000,-84033.000000,-84033.000000,-0.020000,-0.020000,-0.020000,5000007.000000,,5000007.000000,173471695.000000,,,-185958.000000,-0.048000,1.000000,0.000000,,0.000000,0.000000,133054326.000000,,0.000000,133000525.000000,0.000000,133000525.000000,385336.000000,111912.000000,273424.000000,963695.000000,0.000000,134525000.000000,0.000000,0.000000,134149653.000000,-133000000.000000,-133000000.000000,-185958.000000,0.000000,-84033.000000,-84033.000000,-84033.000000,0.000000,0.000000,,81441.000000,-81441.000000,7097.000000,0.000000,34.887000,,,0.000000,0.000000,9.990000,,,0.000000,-84749.000000,0.000000,0.000000,0.000000,,,,,0.000000,81441.000000,1.000000,17461000.000000,3856614.000000,3856614.000000,0.000000,134129933.000000,0.000000,0.000000,0.000000,34.779000
ARQ,2021-06-30,2021-08-27,2021-06-30,2021-Q2,866595.000000,172165460.000000,2025-05-12,0.000000,133954391.000000,,950513.000000,133003878.000000,,0.161000,0.000000,803506.000000,803506.000000,0.000000,-70540.000000,11.327000,0.418000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-70540.000000,-70540.000000,,-70540.000000,-70540.000000,-70540.000000,0.000000,0.000000,0.000000,670179.000000,,670179.000000,171361954.000000,,,-110189.000000,-0.026000,1.000000,0.000000,,0.000000,0.000000,133066967.000000,,0.000000,133003878.000000,0.000000,133003878.000000,280334.000000,83918.000000,196416.000000,-160189.000000,0.000000,2660000.000000,0.000000,0.000000,-50000.000000,0.000000,0.000000,-110189.000000,0.000000,-70540.000000,-70540.000000,-70540.000000,0.000000,0.000000,,150901.000000,-150901.000000,10000.000000,,256.895000,,,0.000000,0.000000,9.860000,,,0.000000,-155289.000000,0.000000,0.000000,0.000000,,,,,0.000000,150901.000000,1.000000,17461000.000000,4161000.000000,4161000.000000,0.000000,133954391.000000,0.000000,0.000000,0.000000,32.193000
ARQ,2021-09-30,2021-11-15,2021-09-30,2021-Q3,637111.000000,174086170.000000,2025-05-12,0.000000,133770360.000000,,763130.000000,133007230.000000,,0.114000,0.000000,628652.000000,628652.000000,0.000000,-191075.000000,6.056000,0.604000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-191075.000000,-191075.000000,,-191075.000000,-191075.000000,-191075.000000,-0.010000,-0.010000,-0.010000,475752.000000,,475752.000000,173457518.000000,-501.000000,-500.795000,-174854.000000,-0.042000,1.000000,0.000000,,0.000000,0.000000,133015689.000000,,0.000000,133007230.000000,0.000000,133007230.000000,287378.000000,126019.000000,161359.000000,-174854.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-174854.000000,0.000000,-191075.000000,-191075.000000,-191075.000000,0.000000,0.000000,,229484.000000,-229484.000000,0.000000,0.000000,365.918000,-502.610000,-332.333000,0.000000,0.000000,9.970000,,,0.000000,-346364.000000,0.000000,0.000000,0.000000,,,,,0.000000,229484.000000,1.000000,17461000.000000,4161000.000000,4161000.000000,0.000000,133770360.000000,0.000000,0.000000,0.000000,32.149000
ARQ,2021-09-30,2022-01-10,2021-09-30,2021-Q3,637111.000000,178102200.000000,2025-05-12,0.000000,133770360.000000,,763130.000000,133007230.000000,,0.114000,0.000000,628652.000000,628652.000000,0.000000,-191075.000000,6.056000,0.604000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-191075.000000,-191075.000000,,-191075.000000,-191075.000000,-191075.000000,-0.010000,-0.010000,-0.010000,475752.000000,,475752.000000,177473548.000000,-512.000000,-512.390000,-174854.000000,-0.042000,1.000000,0.000000,,0.000000,0.000000,133015689.000000,,0.000000,133007230.000000,0.000000,133007230.000000,287378.000000,126019.000000,161359.000000,-174854.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-174854.000000,0.000000,-191075.000000,-191075.000000,-191075.000000,0.000000,0.000000,,229484.000000,-229484.000000,0.000000,0.000000,374.359000,-514.205000,-340.000000,0.000000,0.000000,10.200000,,,0.000000,-346364.000000,0.000000,0.000000,0.000000,,,,,0.000000,229484.000000,1.000000,17461000.000000,4161000.000000,4161000.000000,0.000000,133770360.000000,0.000000,0.000000,0.000000,32.149000
ARQ,2021-12-31,2022-03-09,2021-12-31,2021-Q4,83677.000000,174610000.000000,2025-05-12,0.000000,133343944.000000,,333361.000000,133010583.000000,,-0.039000,0.000000,235295.000000,235295.000000,0.000000,-636236.000000,1.335000,-3.035000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-636236.000000,-636236.000000,,-636236.000000,-636236.000000,-636236.000000,0.020000,0.020000,0.020000,-163837.000000,,-163837.000000,174374705.000000,-178.000000,-177.592000,-393357.000000,-0.094000,1.000000,0.000000,,0.000000,0.000000,132858965.000000,,0.000000,133010583.000000,0.000000,133010583.000000,497198.000000,249684.000000,247514.000000,-393357.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-393357.000000,0.000000,-636236.000000,-636236.000000,-636236.000000,0.000000,0.000000,,553434.000000,-553434.000000,1816.000000,0.000000,-1065.754000,-177.832000,-10.101000,0.000000,0.000000,10.000000,,,0.000000,-982600.000000,0.000000,0.000000,0.000000,,,,,0.000000,553434.000000,1.000000,17461000.000000,4163220.000000,4163220.000000,0.000000,133343944.000000,0.000000,0.000000,0.000000,32.029000
ARQ,2021-12-31,2022-03-25,2021-12-31,2021-Q4,-60268000.000000,1958151209.000000,2025-05-12,0.000000,49203000.000000,,27471000.000000,21732000.000000,,-28.356000,-636000.000000,22086000.000000,22086000.000000,6585000.000000,-79194352.000000,0.313000,-0.329000,73317000.000000,64414000.000000,8903000.000000,73317000.000000,21001000.000000,9088000.000000,0.000000,0.000000,0.000000,-70396352.000000,-61308352.000000,-2.892000,-61308352.000000,-70396352.000000,-78738352.000000,-5.560000,-5.560000,-5.560000,-343237000.000000,,-343237000.000000,2009382209.000000,-28.000000,-32.591000,-66341999.000000,-5.481000,1.000000,14612000.000000,0.689000,0.000000,8342000.000000,12695000.000000,,0.000000,736000.000000,0.000000,736000.000000,112937000.000000,87739000.000000,25198000.000000,-22788652.000000,0.000000,-134695000.000000,42163000.000000,0.000000,-89446653.000000,132364000.000000,133000000.000000,-65705999.000000,0.000000,-79194352.000000,-79194352.000000,-79194352.000000,0.000000,0.000000,-3.736000,84892174.000000,-70280174.000000,3760000.000000,0.000000,-5.705000,-24.618000,-1.528000,16446000.000000,0.000000,10.040000,92.379000,5.733000,2060000.000000,-386729000.000000,21197000.000000,21197000.000000,59178000.000000,,,,,6322000.000000,20299174.000000,1.000000,195034981.000000,12104523.000000,12104523.000000,1.751000,49203000.000000,2169000.000000,456000.000000,2737000.000000,4.065000
ARQ,2021-12-31,2022-05-16,2021-12-31,2021-Q4,-60268000.000000,1196484140.000000,2025-05-12,0.000000,49203000.000000,,27471000.000000,21732000.000000,,-28.356000,-636000.000000,22086000.000000,22086000.000000,6585000.000000,-79194352.000000,0.313000,-0.329000,73317000.000000,64414000.000000,8903000.000000,73317000.000000,21001000.000000,9088000.000000,0.000000,0.000000,0.000000,-70396352.000000,-61308352.000000,-2.892000,-61308352.000000,-70396352.000000,-78738352.000000,-5.560000,-5.560000,-5.560000,-343237000.000000,,-343237000.000000,1247715140.000000,-18.000000,-20.237000,-66341999.000000,-5.481000,1.000000,14612000.000000,0.689000,0.000000,8342000.000000,12695000.000000,,0.000000,736000.000000,0.000000,736000.000000,112937000.000000,87739000.000000,25198000.000000,-22788652.000000,0.000000,-134695000.000000,42163000.000000,0.000000,-89446653.000000,132364000.000000,133000000.000000,-65705999.000000,0.000000,-79194352.000000,-79194352.000000,-79194352.000000,0.000000,0.000000,-3.736000,84892174.000000,-70280174.000000,3760000.000000,0.000000,-3.486000,-15.043000,-0.928000,16446000.000000,0.000000,6.100000,56.446000,3.483000,2060000.000000,-386729000.000000,21197000.000000,21197000.000000,59178000.000000,,,,,6322000.000000,20299174.000000,1.000000,196144941.000000,12104523.000000,12104523.000000,1.751000,49203000.000000,2169000.000000,456000.000000,2737000.000000,4.065000
ARQ,2022-03-31,2022-05-17,2022-03-31,2022-Q1,-83791000.000000,1220021533.000000,2025-05-12,0.000000,35942000.000000,,13015000.000000,22927000.000000,,-29.009000,-611000.000000,8441000.000000,8441000.000000,1773000.000000,-25103000.000000,0.134000,-0.330000,73674000.000000,65349000.000000,8325000.000000,73674000.000000,19378000.000000,2138000.000000,0.000000,0.000000,0.000000,-21774000.000000,-19636000.000000,-4.577000,-19636000.000000,-21774000.000000,-24751000.000000,-2.000000,-2.000000,-2.000000,-363402000.000000,,-363402000.000000,1285254533.000000,-14.000000,-15.827000,-15600000.000000,-1.245000,1.000000,2517000.000000,0.587000,0.000000,2977000.000000,4369000.000000,,0.000000,736000.000000,0.000000,736000.000000,119841000.000000,96806000.000000,23035000.000000,-13645000.000000,0.000000,2474000.000000,-519000.000000,0.000000,1955000.000000,-611000.000000,0.000000,-14989000.000000,0.000000,-25103000.000000,-25103000.000000,-25103000.000000,0.000000,0.000000,-5.852000,24291000.000000,-21774000.000000,6938000.000000,0.000000,-3.357000,-11.668000,-0.822000,15699000.000000,0.000000,6.220000,47.868000,3.057000,1332000.000000,-411832000.000000,4290000.000000,4290000.000000,16650000.000000,,,,,2464000.000000,6584000.000000,1.000000,196144941.000000,12527229.000000,12527229.000000,0.342000,35942000.000000,2169000.000000,352000.000000,2730000.000000,2.869000
ARQ,2022-06-30,2022-08-15,2022-06-30,2022-Q2,30879000.000000,738478069.000000,2025-05-12,0.000000,89803000.000000,,71759000.000000,18044000.000000,,0.029000,-371000.000000,65010000.000000,65010000.000000,2488000.000000,-30668000.000000,1.755000,18.288000,54054000.000000,20590000.000000,33464000.000000,54054000.000000,15639000.000000,1676000.000000,0.000000,0.000000,0.000000,-28707000.000000,-27031000.000000,-4.394000,-27031000.000000,-28707000.000000,-30279000.000000,-0.190000,-0.190000,-0.190000,4656000.000000,,4656000.000000,727522069.000000,-6.000000,-6.726000,-32149000.000000,-0.198000,1.000000,3664000.000000,0.596000,0.000000,1572000.000000,37967000.000000,,0.000000,230000.000000,0.000000,230000.000000,85147000.000000,40880000.000000,44267000.000000,56063000.000000,0.000000,92125000.000000,-3913000.000000,0.000000,88212000.000000,-371000.000000,0.000000,-31778000.000000,0.000000,-30668000.000000,-30668000.000000,-30668000.000000,0.000000,0.000000,-4.985000,32371000.000000,-28707000.000000,5348000.000000,0.000000,158.608000,-5.464000,-0.483000,14403000.000000,0.000000,3.750000,23.341000,19.201000,1015000.000000,-442500000.000000,6152000.000000,6152000.000000,18862000.000000,,,,,7863000.000000,13732000.000000,1.000000,196927485.000000,162004172.000000,162004172.000000,0.038000,89803000.000000,2169000.000000,389000.000000,2829000.000000,0.554000
