dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2017-12-31,2018-02-28,2017-12-31,2017-Q4,38000000.000000,,2025-04-29,0.000000,3107000000.000000,,1898000000.000000,1209000000.000000,,1.569000,,477000000.000000,581494575.000000,,,1.020000,12.055000,944000000.000000,0.000000,944000000.000000,1150798488.000000,216000000.000000,,0.000000,,0.000000,,,,,,,,,,238000000.000000,,290137754.000000,,,,,,0.820000,,,162000000.000000,,1552000000.000000,,0.000000,1943000000.000000,1032000000.000000,911000000.000000,2869000000.000000,1860000000.000000,1009000000.000000,,,,,,,,,,,,,,,,,,,341000000.000000,,,,,73000000.000000,,,,,360000000.000000,-2427000000.000000,,,,,,,,,,1.000000,176976280.000000,151668769.000000,,,2945000000.000000,9000000.000000,,12000000.000000,19.417000
ARQ,2017-12-31,2018-03-23,2017-12-31,2017-Q4,38000000.000000,,2025-04-29,0.000000,3107000000.000000,,1898000000.000000,1209000000.000000,,1.569000,,477000000.000000,583971989.000000,,,1.020000,12.055000,944000000.000000,0.000000,944000000.000000,1155701379.000000,216000000.000000,,0.000000,,0.000000,,,,,,,,,,238000000.000000,,291373864.000000,,,,,,0.817000,,,162000000.000000,,1552000000.000000,,0.000000,1943000000.000000,1032000000.000000,911000000.000000,2869000000.000000,1860000000.000000,1009000000.000000,,,,,,,,,,,,,,,,,,,341000000.000000,,,,,73000000.000000,,,,,360000000.000000,-2427000000.000000,,,,,,,,,,1.000000,176976280.000000,151668769.000000,,,2945000000.000000,9000000.000000,,12000000.000000,19.417000
ARQ,2018-03-31,2018-05-02,2018-03-31,2018-Q1,-10000000.000000,30085967600.000000,2025-04-29,0.000000,3202000000.000000,,1938000000.000000,1264000000.000000,,0.960000,-7000000.000000,733000000.000000,897382532.000000,856000000.000000,-169000000.000000,0.995000,18.888000,1022000000.000000,0.000000,1022000000.000000,1251193653.000000,223000000.000000,11000000.000000,0.000000,0.000000,0.000000,-26000000.000000,-15000000.000000,-0.013000,-18363899.000000,-31830758.000000,-180000000.000000,-1.010000,-1.010000,-1.237000,161000000.000000,,197105850.000000,30439778721.000000,,,77000000.000000,0.459000,0.817000,283000000.000000,0.248000,161000000.000000,154000000.000000,1382000000.000000,,0.000000,1868000000.000000,843000000.000000,1025000000.000000,3041000000.000000,1948000000.000000,1093000000.000000,266000000.000000,0.000000,43000000.000000,0.000000,,43000000.000000,139000000.000000,150000000.000000,84000000.000000,-10000000.000000,-169000000.000000,-169000000.000000,-206899929.000000,0.000000,0.000000,-0.148000,324000000.000000,-41000000.000000,360000000.000000,0.000000,152.639000,,,68000000.000000,0.000000,170.000000,,,322000000.000000,-2596000000.000000,1139000000.000000,1394432066.000000,115000000.000000,,,,,18000000.000000,209000000.000000,1.000000,176976280.000000,167778952.000000,167778952.000000,8.311000,3041000000.000000,11000000.000000,-11000000.000000,7000000.000000,18.125000
ARQ,2018-03-31,2018-05-03,2018-03-31,2018-Q1,-10000000.000000,28383455786.000000,2025-04-29,0.000000,3202000000.000000,,1938000000.000000,1264000000.000000,,0.960000,-7000000.000000,733000000.000000,897382532.000000,856000000.000000,-169000000.000000,0.995000,18.888000,1022000000.000000,0.000000,1022000000.000000,1251193653.000000,223000000.000000,11000000.000000,0.000000,0.000000,0.000000,-26000000.000000,-15000000.000000,-0.013000,-18363899.000000,-31830758.000000,-180000000.000000,-1.010000,-1.010000,-1.237000,161000000.000000,,197105850.000000,28737266908.000000,,,77000000.000000,0.459000,0.817000,283000000.000000,0.248000,161000000.000000,154000000.000000,1382000000.000000,,0.000000,1812000000.000000,843000000.000000,969000000.000000,3041000000.000000,1948000000.000000,1093000000.000000,266000000.000000,0.000000,43000000.000000,0.000000,,43000000.000000,139000000.000000,150000000.000000,84000000.000000,-10000000.000000,-169000000.000000,-169000000.000000,-206899929.000000,0.000000,0.000000,-0.148000,324000000.000000,-41000000.000000,360000000.000000,0.000000,144.001000,,,68000000.000000,0.000000,160.380000,,,322000000.000000,-2596000000.000000,1139000000.000000,1394432066.000000,115000000.000000,,,,,18000000.000000,209000000.000000,1.000000,176976280.000000,167778952.000000,167778952.000000,8.311000,3041000000.000000,11000000.000000,-11000000.000000,7000000.000000,18.125000
ARQ,2018-06-30,2018-07-26,2018-06-30,2018-Q2,-222000000.000000,34736904238.000000,2025-04-29,0.000000,3360000000.000000,,2058000000.000000,1302000000.000000,,5.579000,-5000000.000000,810000000.000000,948477752.000000,944000000.000000,-394000000.000000,0.903000,2.363000,0.000000,0.000000,0.000000,0.000000,234000000.000000,6000000.000000,0.000000,0.000000,0.000000,-49000000.000000,-43000000.000000,-0.034000,-50351288.000000,-57377049.000000,-392000000.000000,-2.200000,-2.200000,-2.576000,999000000.000000,,1169789227.000000,33788426487.000000,,,25000000.000000,0.140000,0.854000,329000000.000000,0.258000,175000000.000000,343000000.000000,95000000.000000,,0.000000,1854000000.000000,885000000.000000,969000000.000000,2361000000.000000,2280000000.000000,81000000.000000,68000000.000000,,57000000.000000,,,55000000.000000,-17000000.000000,7000000.000000,30000000.000000,9000000.000000,-394000000.000000,-394000000.000000,-461358314.000000,0.000000,0.000000,-0.310000,419000000.000000,-90000000.000000,369000000.000000,0.000000,29.695000,,,83000000.000000,0.000000,196.280000,,,324000000.000000,-2990000000.000000,1273000000.000000,1490632319.000000,143000000.000000,,,,,23000000.000000,276000000.000000,1.000000,176976280.000000,179077124.000000,179077124.000000,8.324000,3185000000.000000,11000000.000000,2000000.000000,6000000.000000,17.786000
ARQ,2018-09-30,2018-11-01,2018-09-30,2018-Q3,-291000000.000000,24981971685.000000,2025-04-29,0.000000,4133000000.000000,,2160000000.000000,1973000000.000000,,8.831000,-49000000.000000,1095000000.000000,1244318182.000000,1010000000.000000,43000000.000000,0.881000,1.593000,0.000000,0.000000,0.000000,0.000000,240000000.000000,7000000.000000,0.000000,0.000000,0.000000,3000000.000000,10000000.000000,0.007000,11363636.000000,3409091.000000,-82000000.000000,0.240000,0.230000,0.273000,1594000000.000000,,1811363636.000000,23737653503.000000,-170.000000,-242.897000,31000000.000000,0.172000,0.880000,342000000.000000,0.253000,173000000.000000,85000000.000000,414000000.000000,,0.000000,2258000000.000000,669000000.000000,1589000000.000000,2539000000.000000,2451000000.000000,88000000.000000,285000000.000000,,50000000.000000,,,49000000.000000,156000000.000000,225000000.000000,80000000.000000,0.000000,43000000.000000,43000000.000000,48863636.000000,0.000000,0.000000,0.032000,348000000.000000,-6000000.000000,384000000.000000,0.000000,13.792000,-19.699000,-18.161000,135000000.000000,0.000000,141.160000,4.475000,4.564000,359000000.000000,-2947000000.000000,1352000000.000000,1536363636.000000,135000000.000000,,,,,24000000.000000,213000000.000000,1.000000,176976280.000000,180510524.000000,188120122.000000,8.511000,3960000000.000000,13000000.000000,-125000000.000000,5000000.000000,21.938000
ARQ,2018-12-31,2019-02-06,2018-12-31,2018-Q4,99000000.000000,23971437126.000000,2025-04-29,0.000000,4336000000.000000,,2246000000.000000,2090000000.000000,,11.565000,-65000000.000000,891000000.000000,1012500000.000000,1096000000.000000,442000000.000000,1.046000,1.071000,0.000000,0.000000,0.000000,0.000000,258000000.000000,8000000.000000,0.000000,0.000000,0.000000,483000000.000000,491000000.000000,0.328000,557954545.000000,548863636.000000,481000000.000000,2.440000,0.360000,2.773000,2094000000.000000,,2379545455.000000,22958937126.000000,49.000000,45.607000,85000000.000000,0.469000,0.880000,399000000.000000,0.267000,174000000.000000,2000000.000000,1124000000.000000,,0.000000,2561000000.000000,915000000.000000,1646000000.000000,2242000000.000000,2147000000.000000,95000000.000000,-205000000.000000,,-55000000.000000,,,-55000000.000000,-300000000.000000,-234000000.000000,150000000.000000,1000000.000000,442000000.000000,442000000.000000,502272727.000000,0.000000,0.000000,0.296000,305000000.000000,94000000.000000,427000000.000000,0.000000,10.074000,-270.447000,-270.900000,197000000.000000,0.000000,135.450000,4.011000,4.015000,400000000.000000,-2505000000.000000,1495000000.000000,1698863636.000000,100000000.000000,,,,,23000000.000000,205000000.000000,1.000000,176976280.000000,181067994.000000,190511148.000000,9.382000,4162000000.000000,10000000.000000,39000000.000000,7000000.000000,22.986000
ARQ,2018-12-31,2019-02-12,2018-12-31,2018-Q4,99000000.000000,25403045137.000000,2025-04-29,0.000000,4336000000.000000,,2246000000.000000,2090000000.000000,,11.562000,-65000000.000000,891000000.000000,1012500000.000000,1096000000.000000,442000000.000000,1.046000,1.071000,0.000000,0.000000,0.000000,0.000000,258000000.000000,8000000.000000,0.000000,0.000000,0.000000,483000000.000000,491000000.000000,0.328000,557954545.000000,548863636.000000,481000000.000000,2.520000,2.450000,2.864000,2094000000.000000,,2379545455.000000,24390545137.000000,52.000000,48.451000,85000000.000000,0.469000,0.880000,399000000.000000,0.267000,174000000.000000,2000000.000000,1124000000.000000,,0.000000,2561000000.000000,915000000.000000,1646000000.000000,2242000000.000000,2147000000.000000,95000000.000000,-205000000.000000,,-59000000.000000,,,-55000000.000000,-300000000.000000,-234000000.000000,150000000.000000,1000000.000000,442000000.000000,442000000.000000,502272727.000000,0.000000,0.000000,0.296000,305000000.000000,94000000.000000,427000000.000000,0.000000,10.676000,-286.598000,-280.920000,197000000.000000,0.000000,140.460000,4.251000,4.164000,400000000.000000,-2505000000.000000,1495000000.000000,1698863636.000000,100000000.000000,,,,,23000000.000000,205000000.000000,1.000000,180856081.000000,181111111.000000,197334659.000000,9.380000,4162000000.000000,10000000.000000,39000000.000000,7000000.000000,22.980000
ARQ,2019-03-31,2019-04-29,2019-03-31,2019-Q1,-436000000.000000,24983459029.000000,2025-04-29,0.000000,5593000000.000000,,2071000000.000000,3522000000.000000,,13.631000,-37000000.000000,966000000.000000,1097727273.000000,1138000000.000000,-142000000.000000,0.826000,1.272000,555000000.000000,0.000000,555000000.000000,630681818.000000,273000000.000000,21000000.000000,0.000000,0.000000,0.000000,-13000000.000000,8000000.000000,0.005000,9090909.000000,-14772727.000000,-169000000.000000,-0.790000,-0.790000,-0.898000,2462000000.000000,,2797727273.000000,24516413575.000000,51.000000,46.297000,172000000.000000,0.952000,0.880000,373000000.000000,0.247000,478000000.000000,156000000.000000,2197000000.000000,,0.000000,2959000000.000000,660000000.000000,2299000000.000000,3131000000.000000,2507000000.000000,624000000.000000,62000000.000000,-288000000.000000,-93000000.000000,-5000000.000000,,-98000000.000000,-49000000.000000,279000000.000000,209000000.000000,13000000.000000,-142000000.000000,-142000000.000000,-161363636.000000,0.000000,0.000000,-0.094000,420000000.000000,-47000000.000000,397000000.000000,0.000000,8.930000,-431.087000,-392.139000,665000000.000000,0.000000,138.140000,3.904000,3.899000,391000000.000000,-2665000000.000000,1511000000.000000,1717045455.000000,155000000.000000,,,,,26000000.000000,265000000.000000,1.000000,180856081.000000,180613539.000000,180613539.000000,9.507000,5115000000.000000,12000000.000000,-27000000.000000,65000000.000000,28.320000
ARQ,2019-06-30,2019-07-31,2019-06-30,2019-Q2,-641000000.000000,28021841190.000000,2025-04-29,0.000000,5113000000.000000,,1992000000.000000,3121000000.000000,,10.781000,-40000000.000000,909000000.000000,1010000000.000000,1233000000.000000,-76000000.000000,0.757000,1.629000,517000000.000000,0.000000,517000000.000000,574444444.000000,290000000.000000,20000000.000000,0.000000,0.000000,0.000000,5000000.000000,25000000.000000,0.015000,27777778.000000,5555556.000000,-59000000.000000,-0.420000,-0.420000,-0.467000,1945000000.000000,,2161111111.000000,27586285635.000000,52.000000,46.494000,50000000.000000,0.277000,0.900000,434000000.000000,0.260000,519000000.000000,64000000.000000,1569000000.000000,,0.000000,2469000000.000000,586000000.000000,1883000000.000000,3168000000.000000,2633000000.000000,535000000.000000,-58000000.000000,-36000000.000000,-137000000.000000,-4000000.000000,,-141000000.000000,-7000000.000000,72000000.000000,90000000.000000,1000000.000000,-76000000.000000,-76000000.000000,-84444444.000000,0.000000,0.000000,-0.046000,437000000.000000,-3000000.000000,440000000.000000,0.000000,12.966000,94.456000,94.861000,641000000.000000,0.000000,154.940000,4.186000,4.175000,429000000.000000,-2741000000.000000,1667000000.000000,1852222222.000000,151000000.000000,,,,,37000000.000000,286000000.000000,1.000000,180856081.000000,180409115.000000,180409115.000000,10.267000,4594000000.000000,12000000.000000,17000000.000000,6000000.000000,25.464000
