dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2019-12-31,2020-11-30,2019-12-31,2019-Q4,-7398000.000000,,2025-05-15,0.000000,15647000.000000,,10528000.000000,5119000.000000,,-88.936000,,10526000.000000,10526000.000000,,,0.587000,-0.362000,15620000.000000,12296000.000000,3324000.000000,15620000.000000,0.000000,,0.000000,,0.000000,,,,,,,,,,-58777000.000000,,-58777000.000000,,,,,,1.000000,,,0.000000,,2815000.000000,,0.000000,0.000000,0.000000,0.000000,21250000.000000,17926000.000000,3324000.000000,,,,,,,,,,,,,,,,,,,3518000.000000,,,,,4569000.000000,,,,,0.000000,-63787000.000000,,,,,,,,,,1.000000,28516709.000000,660893.000000,,,15647000.000000,0.000000,,0.000000,23.676000
ARQ,2020-09-30,2020-12-03,2020-09-30,2020-Q3,135177000.000000,,2025-05-15,0.000000,148911000.000000,,143182000.000000,5729000.000000,,-2.744000,,142867000.000000,142867000.000000,,,17.887000,-0.135000,4531000.000000,1943000.000000,2588000.000000,4531000.000000,0.000000,,0.000000,,0.000000,,,,,,,,,,-78249000.000000,,-78249000.000000,,,,,,1.000000,,,0.000000,,2570000.000000,,0.000000,0.000000,0.000000,0.000000,10593000.000000,8005000.000000,2588000.000000,,,,,,,,,,,,,,,,,,,2157000.000000,,,,,4159000.000000,,,,,0.000000,-83649000.000000,,,,,,,,,,1.000000,28516709.000000,28516709.000000,,,148911000.000000,0.000000,,0.000000,5.222000
ARQ,2020-12-31,2021-03-29,2020-12-31,2020-Q4,381055000.000000,1500850371.000000,2025-05-15,0.000000,394804000.000000,,390656000.000000,4148000.000000,,131.684000,-247000.000000,386919000.000000,386919000.000000,0.000000,-13085000.000000,40.689000,0.031000,4066000.000000,1740000.000000,2326000.000000,4066000.000000,0.000000,465000.000000,0.000000,0.000000,0.000000,-13101000.000000,-12636000.000000,,-12636000.000000,-13101000.000000,-13085000.000000,18.200000,18.200000,18.200000,382877000.000000,,382877000.000000,1117997371.000000,-34.000000,-35.824000,-11343000.000000,-3.901000,1.000000,0.000000,,0.000000,-16000.000000,2350000.000000,,0.000000,0.000000,0.000000,0.000000,11927000.000000,9601000.000000,2326000.000000,244052000.000000,0.000000,258284000.000000,-233000.000000,0.000000,255395000.000000,-247000.000000,0.000000,-11096000.000000,0.000000,-13085000.000000,-13085000.000000,-13085000.000000,0.000000,0.000000,,13101000.000000,-13101000.000000,2583000.000000,0.000000,3.920000,-45.553000,-3.795000,3798000.000000,0.000000,43.000000,,,0.000000,-96734000.000000,0.000000,0.000000,8837000.000000,,,,,2274000.000000,4264000.000000,1.000000,34903497.000000,2907542.000000,2907542.000000,0.000000,394804000.000000,0.000000,0.000000,0.000000,135.786000
ARQ,2021-03-31,2021-05-13,2021-03-31,2021-Q1,366751000.000000,862515177.000000,2025-05-15,0.000000,382199000.000000,,378346000.000000,3853000.000000,,10.598000,-35000.000000,374555000.000000,374555000.000000,0.000000,-18867000.000000,32.630000,0.037000,3477000.000000,1422000.000000,2055000.000000,3477000.000000,0.000000,466000.000000,0.000000,0.000000,0.000000,-18885000.000000,-18419000.000000,,-18419000.000000,-18885000.000000,-18867000.000000,-0.540000,-0.540000,-0.540000,368549000.000000,,368549000.000000,491437177.000000,,,-12236000.000000,-0.352000,1.000000,0.000000,,0.000000,-18000.000000,-474000.000000,,0.000000,0.000000,0.000000,0.000000,13650000.000000,11595000.000000,2055000.000000,-12364000.000000,0.000000,222000.000000,-350000.000000,0.000000,-128000.000000,-35000.000000,0.000000,-12201000.000000,0.000000,-18867000.000000,-18867000.000000,-18867000.000000,0.000000,0.000000,,18885000.000000,-18885000.000000,4374000.000000,0.000000,2.340000,,,3503000.000000,0.000000,24.710000,,,0.000000,-115601000.000000,0.000000,0.000000,12239000.000000,,,,,4285000.000000,6646000.000000,1.000000,34905511.000000,34773950.000000,34773950.000000,0.000000,382199000.000000,0.000000,0.000000,0.000000,10.991000
ARQ,2021-06-30,2021-08-12,2021-06-30,2021-Q2,347479000.000000,984875368.000000,2025-05-15,0.000000,366976000.000000,,363027000.000000,3949000.000000,,10.026000,-700000.000000,360039000.000000,360039000.000000,0.000000,-24496000.000000,23.349000,0.050000,2736000.000000,958000.000000,1778000.000000,2736000.000000,0.000000,492000.000000,0.000000,0.000000,0.000000,-24511000.000000,-24019000.000000,,-24019000.000000,-24511000.000000,-24496000.000000,-0.700000,-0.700000,-0.700000,349650000.000000,,349650000.000000,627572368.000000,,,-14835000.000000,-0.425000,1.000000,0.000000,,0.000000,-15000.000000,-5875000.000000,,0.000000,0.000000,0.000000,0.000000,17326000.000000,15548000.000000,1778000.000000,-14516000.000000,0.000000,815000.000000,-496000.000000,0.000000,319000.000000,-700000.000000,0.000000,-14135000.000000,0.000000,-24496000.000000,-24496000.000000,-24496000.000000,0.000000,0.000000,,24511000.000000,-24511000.000000,1805000.000000,0.000000,2.817000,,,3599000.000000,0.000000,28.110000,,,0.000000,-140097000.000000,0.000000,0.000000,17749000.000000,,,,,4730000.000000,6762000.000000,1.000000,35036477.000000,34876050.000000,34876050.000000,0.000000,366976000.000000,0.000000,0.000000,0.000000,10.522000
ARQ,2021-09-30,2021-11-10,2021-09-30,2021-Q3,290008000.000000,288676163.000000,2025-05-15,-34000.000000,352561000.000000,,305355000.000000,47206000.000000,,9.489000,-87000.000000,301010000.000000,301010000.000000,0.000000,-22655000.000000,19.897000,0.062000,6170000.000000,1090000.000000,5080000.000000,6170000.000000,0.000000,541000.000000,0.000000,0.000000,0.000000,-22681000.000000,-22140000.000000,,-22140000.000000,-22681000.000000,-22655000.000000,-0.650000,-0.650000,-0.650000,332134000.000000,,332134000.000000,-6163837.000000,0.000000,0.080000,-19206000.000000,-0.549000,1.000000,0.000000,,0.000000,-26000.000000,42374000.000000,,0.000000,39938000.000000,0.000000,39938000.000000,20427000.000000,15347000.000000,5080000.000000,-59029000.000000,0.000000,148000.000000,0.000000,0.000000,148000.000000,-40058000.000000,-39971000.000000,-19119000.000000,0.000000,-22655000.000000,-22655000.000000,-22655000.000000,0.000000,0.000000,,22681000.000000,-22681000.000000,1720000.000000,0.000000,0.869000,-3.649000,0.505000,6918000.000000,0.000000,8.230000,,,0.000000,-162752000.000000,0.000000,0.000000,15641000.000000,,,,,5019000.000000,7040000.000000,1.000000,35076083.000000,35001466.000000,35001466.000000,0.000000,352561000.000000,0.000000,0.000000,0.000000,10.073000
ARQ,2021-12-31,2022-03-31,2021-12-31,2021-Q4,246600000.000000,123352583.000000,2025-05-15,-326000.000000,333467000.000000,,261492000.000000,71975000.000000,,8.953000,-550000.000000,254295000.000000,254295000.000000,0.000000,-23460000.000000,17.559000,0.063000,5847000.000000,1087000.000000,4760000.000000,5847000.000000,0.000000,430000.000000,0.000000,0.000000,0.000000,-23507000.000000,-23077000.000000,,-23077000.000000,-23507000.000000,-23460000.000000,-0.670000,-0.670000,-0.670000,313815000.000000,,313815000.000000,-125095417.000000,1.000000,1.427000,-21855000.000000,-0.624000,1.000000,0.000000,,0.000000,-47000.000000,70127000.000000,,0.000000,64780000.000000,0.000000,64780000.000000,19652000.000000,14892000.000000,4760000.000000,-46715000.000000,0.000000,275000.000000,0.000000,0.000000,275000.000000,-25685000.000000,-25135000.000000,-21305000.000000,0.000000,-23460000.000000,-23460000.000000,-23460000.000000,0.000000,0.000000,,23507000.000000,-23507000.000000,2078000.000000,0.000000,0.393000,-1.379000,-1.371000,6945000.000000,0.000000,3.510000,,,0.000000,-186212000.000000,0.000000,0.000000,15871000.000000,,,,,5153000.000000,7636000.000000,1.000000,35143186.000000,35051644.000000,35051644.000000,0.000000,333467000.000000,0.000000,0.000000,0.000000,9.514000
ARQ,2022-03-31,2022-05-12,2022-03-31,2022-Q1,246524000.000000,106490201.000000,2025-05-15,-1248000.000000,312469000.000000,,261332000.000000,51137000.000000,,8.351000,-332000.000000,234239000.000000,234239000.000000,0.000000,-24631000.000000,17.648000,0.066000,5554000.000000,1123000.000000,4431000.000000,5554000.000000,0.000000,456000.000000,0.000000,0.000000,0.000000,-24631000.000000,-24175000.000000,,-24175000.000000,-24631000.000000,-24631000.000000,-0.700000,-0.700000,-0.700000,293230000.000000,,293230000.000000,-122194799.000000,1.000000,1.308000,-20075000.000000,-0.572000,1.000000,0.000000,,0.000000,0.000000,68976000.000000,,0.000000,63831000.000000,19858000.000000,43973000.000000,19239000.000000,14808000.000000,4431000.000000,-20056000.000000,0.000000,19000.000000,0.000000,0.000000,19000.000000,-332000.000000,0.000000,-19743000.000000,0.000000,-24631000.000000,-24631000.000000,-24631000.000000,0.000000,0.000000,,24698000.000000,-24698000.000000,2631000.000000,0.000000,0.363000,-1.118000,-1.114000,6914000.000000,0.000000,3.030000,,,0.000000,-210843000.000000,0.000000,0.000000,16897000.000000,,,,,4949000.000000,7801000.000000,1.000000,35145281.000000,35114131.000000,35114131.000000,0.000000,312469000.000000,0.000000,0.000000,0.000000,8.899000
ARQ,2022-06-30,2022-08-11,2022-06-30,2022-Q2,251986000.000000,183754496.000000,2025-05-15,-1548000.000000,293999000.000000,,263129000.000000,30870000.000000,,7.937000,-286000.000000,218940000.000000,218940000.000000,0.000000,-19429000.000000,23.614000,0.055000,4946000.000000,881000.000000,4065000.000000,4946000.000000,0.000000,488000.000000,0.000000,0.000000,0.000000,-19429000.000000,-18941000.000000,,-18941000.000000,-19429000.000000,-19429000.000000,-0.550000,-0.550000,-0.550000,278791000.000000,,278791000.000000,-30239504.000000,0.000000,0.342000,-15438000.000000,-0.439000,1.000000,0.000000,,0.000000,0.000000,68862000.000000,,0.000000,63503000.000000,39285000.000000,24218000.000000,15208000.000000,11143000.000000,4065000.000000,-15299000.000000,0.000000,139000.000000,0.000000,0.000000,139000.000000,-286000.000000,0.000000,-15152000.000000,0.000000,-19429000.000000,-19429000.000000,-19429000.000000,0.000000,0.000000,,19798000.000000,-19798000.000000,2114000.000000,0.000000,0.659000,-2.038000,-2.016000,6402000.000000,0.000000,5.180000,,,0.000000,-230272000.000000,0.000000,0.000000,12245000.000000,,,,,5140000.000000,7553000.000000,1.000000,35473841.000000,35126365.000000,35126365.000000,0.000000,293999000.000000,0.000000,0.000000,0.000000,8.370000
ARQ,2022-09-30,2022-11-02,2022-09-30,2022-Q3,266809000.000000,224643446.000000,2025-05-15,-1623000.000000,271064000.000000,,270799000.000000,265000.000000,,7.532000,-66000.000000,203474000.000000,203474000.000000,0.000000,-17864000.000000,67.869000,0.015000,215000.000000,215000.000000,0.000000,215000.000000,0.000000,317000.000000,0.000000,0.000000,0.000000,-17864000.000000,-17547000.000000,,-17547000.000000,-17864000.000000,-17864000.000000,-0.500000,-0.500000,-0.500000,267074000.000000,,267074000.000000,21384446.000000,0.000000,-0.255000,-16646000.000000,-0.469000,1.000000,0.000000,,0.000000,0.000000,63815000.000000,,0.000000,63400000.000000,63400000.000000,0.000000,3990000.000000,3990000.000000,0.000000,-15466000.000000,0.000000,1180000.000000,0.000000,0.000000,1180000.000000,-66000.000000,0.000000,-16580000.000000,0.000000,-17864000.000000,-17864000.000000,-17864000.000000,0.000000,0.000000,,18939000.000000,-18939000.000000,126000.000000,0.000000,0.841000,-2.631000,-2.574000,15000.000000,0.000000,6.230000,,,0.000000,-248136000.000000,0.000000,0.000000,8363000.000000,,,,,5037000.000000,10256000.000000,1.000000,36058338.000000,35457960.000000,35457960.000000,0.000000,271064000.000000,0.000000,0.000000,0.000000,7.645000
