dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2018-03-31,2018-05-14,2018-03-31,2018-Q1,45043000.000000,,2025-05-15,-1000.000000,54159000.000000,,50936000.000000,3223000.000000,,-22.154000,-176000.000000,23027000.000000,23027000.000000,0.000000,-8892000.000000,8.643000,-0.111000,885000.000000,641000.000000,244000.000000,885000.000000,0.000000,179000.000000,0.000000,,0.000000,-9036000.000000,-8857000.000000,,-8857000.000000,-9036000.000000,-8892000.000000,-3.180000,-3.180000,-3.180000,-61931000.000000,,-61931000.000000,,,,-10060000.000000,-3.599000,1.000000,0.000000,,0.000000,-144000.000000,26124000.000000,,0.000000,24941000.000000,24941000.000000,0.000000,6858000.000000,5893000.000000,965000.000000,-33639000.000000,0.000000,0.000000,-167000.000000,0.000000,-167000.000000,-23588000.000000,-23412000.000000,-9884000.000000,0.000000,-8892000.000000,-8892000.000000,-8892000.000000,0.000000,0.000000,,9016000.000000,-9016000.000000,3254000.000000,0.000000,,,,2033000.000000,0.000000,,,,0.000000,-66417000.000000,0.000000,0.000000,6701000.000000,,,,,482000.000000,2315000.000000,1.000000,24440536.000000,2795497.000000,2795497.000000,0.000000,54159000.000000,0.000000,0.000000,0.000000,19.374000
ARQ,2018-06-30,2018-08-08,2018-06-30,2018-Q2,110232000.000000,390772228.000000,2025-05-15,0.000000,118978000.000000,,116917000.000000,2061000.000000,,10.535000,-16000.000000,115266000.000000,115266000.000000,0.000000,-14707000.000000,17.489000,0.066000,731000.000000,731000.000000,0.000000,731000.000000,0.000000,180000.000000,0.000000,0.000000,0.000000,-14707000.000000,-14527000.000000,,-14527000.000000,-14707000.000000,-14707000.000000,-1.390000,-1.390000,-1.390000,111612000.000000,,111612000.000000,276237228.000000,,,-11642000.000000,-1.099000,1.000000,0.000000,,0.000000,0.000000,-2242000.000000,,0.000000,0.000000,0.000000,0.000000,7366000.000000,6685000.000000,681000.000000,92239000.000000,0.000000,79137000.000000,-166000.000000,0.000000,78971000.000000,24894000.000000,24910000.000000,-11626000.000000,0.000000,-14707000.000000,-14707000.000000,-14707000.000000,0.000000,0.000000,,14884000.000000,-14884000.000000,2598000.000000,0.000000,3.501000,,,1856000.000000,0.000000,15.480000,,,0.000000,-81124000.000000,0.000000,0.000000,11424000.000000,,,,,1089000.000000,3460000.000000,1.000000,25243684.000000,10593987.000000,10593987.000000,0.000000,118978000.000000,0.000000,0.000000,0.000000,11.231000
ARQ,2018-09-30,2018-11-08,2018-09-30,2018-Q3,100426000.000000,618815163.000000,2025-05-15,0.000000,109018000.000000,,106187000.000000,2831000.000000,,4.210000,-599000.000000,104191000.000000,104191000.000000,0.000000,-10762000.000000,18.432000,0.065000,620000.000000,592000.000000,28000.000000,620000.000000,0.000000,208000.000000,0.000000,0.000000,0.000000,-10762000.000000,-10554000.000000,,-10554000.000000,-10762000.000000,-10762000.000000,-0.440000,-0.440000,-0.440000,102343000.000000,,102343000.000000,515244163.000000,,,-9612000.000000,-0.395000,1.000000,0.000000,,0.000000,0.000000,-314000.000000,,0.000000,0.000000,0.000000,0.000000,6675000.000000,5761000.000000,914000.000000,-11075000.000000,0.000000,-1295000.000000,-169000.000000,0.000000,-1464000.000000,-598000.000000,1000.000000,-9013000.000000,0.000000,-10762000.000000,-10762000.000000,-10762000.000000,0.000000,0.000000,,11234000.000000,-11234000.000000,1809000.000000,0.000000,6.046000,,,2626000.000000,0.000000,24.520000,,,0.000000,-91886000.000000,0.000000,0.000000,8061000.000000,,,,,1486000.000000,3173000.000000,1.000000,25237160.000000,24310681.000000,24310681.000000,0.000000,109018000.000000,0.000000,0.000000,0.000000,4.484000
ARQ,2018-12-31,2019-03-19,2018-12-31,2018-Q4,146818000.000000,520977253.000000,2025-05-15,-8000.000000,181336000.000000,,177941000.000000,3395000.000000,,6.811000,-701000.000000,115274000.000000,115274000.000000,0.000000,-14966000.000000,5.717000,0.701000,462000.000000,438000.000000,24000.000000,462000.000000,62904000.000000,240000.000000,0.000000,0.000000,0.000000,-14966000.000000,-14726000.000000,,-14726000.000000,-14966000.000000,-14966000.000000,-0.430000,-0.430000,-0.430000,106623000.000000,,106623000.000000,406165253.000000,-8.000000,-8.371000,54393000.000000,3.474000,1.000000,0.000000,,0.000000,0.000000,35401000.000000,,0.000000,60576000.000000,60576000.000000,0.000000,74713000.000000,31123000.000000,43590000.000000,11083000.000000,0.000000,17099000.000000,-171000.000000,0.000000,16928000.000000,-60939000.000000,-60238000.000000,55094000.000000,0.000000,-14966000.000000,-14966000.000000,-14966000.000000,0.000000,0.000000,,15560000.000000,-15560000.000000,3303000.000000,0.000000,4.886000,-10.562000,-6.308000,3190000.000000,0.000000,19.870000,,,0.000000,-106848000.000000,0.000000,0.000000,10125000.000000,,,,,2154000.000000,5435000.000000,1.000000,26219288.000000,15655293.000000,15655293.000000,0.000000,181336000.000000,0.000000,0.000000,0.000000,11.583000
ARQ,2019-03-31,2019-05-15,2019-03-31,2019-Q1,127953000.000000,548914450.000000,2025-05-15,16000.000000,170982000.000000,,162028000.000000,8954000.000000,,3.811000,-681000.000000,67209000.000000,67209000.000000,0.000000,-10755000.000000,4.755000,0.753000,6236000.000000,1306000.000000,4930000.000000,6236000.000000,59798000.000000,515000.000000,0.000000,0.000000,0.000000,-10755000.000000,-10240000.000000,-3.297000,-10240000.000000,-10755000.000000,-10755000.000000,-0.420000,-0.420000,-0.420000,97523000.000000,,97523000.000000,487941450.000000,-10.000000,-9.750000,-16211000.000000,-0.633000,1.000000,3106000.000000,1.000000,0.000000,0.000000,75934000.000000,,0.000000,92662000.000000,92662000.000000,0.000000,73459000.000000,34075000.000000,39384000.000000,-48065000.000000,0.000000,13000.000000,-167000.000000,0.000000,-157000.000000,-32378000.000000,-31697000.000000,-15530000.000000,0.000000,-10755000.000000,-10755000.000000,-10755000.000000,0.000000,0.000000,-3.463000,14809000.000000,-11703000.000000,3249000.000000,0.000000,5.629000,-10.723000,-7.810000,8749000.000000,0.000000,20.930000,176.727000,172.458000,0.000000,-117603000.000000,3106000.000000,3106000.000000,10739000.000000,,,,,1618000.000000,4070000.000000,1.000000,26226204.000000,25592659.000000,25592659.000000,0.121000,170982000.000000,0.000000,0.000000,0.000000,6.681000
ARQ,2019-06-30,2019-08-14,2019-06-30,2019-Q2,156329000.000000,317876334.000000,2025-05-15,58000.000000,196911000.000000,,188378000.000000,8533000.000000,,4.975000,-598000.000000,114003000.000000,114003000.000000,0.000000,-12525000.000000,5.878000,0.527000,5718000.000000,1063000.000000,4655000.000000,5718000.000000,54759000.000000,563000.000000,0.000000,0.000000,0.000000,-12525000.000000,-11962000.000000,-2.374000,-11962000.000000,-12525000.000000,-12525000.000000,-0.480000,-0.480000,-0.480000,128955000.000000,,128955000.000000,209591334.000000,-4.000000,-4.414000,-17004000.000000,-0.656000,1.000000,5039000.000000,1.000000,0.000000,0.000000,56577000.000000,,0.000000,71333000.000000,71333000.000000,0.000000,67956000.000000,32049000.000000,35907000.000000,46794000.000000,0.000000,42299000.000000,-198000.000000,0.000000,42098000.000000,21102000.000000,21700000.000000,-16406000.000000,0.000000,-12525000.000000,-12525000.000000,-12525000.000000,0.000000,0.000000,-2.486000,18425000.000000,-13386000.000000,1863000.000000,0.000000,2.465000,-6.486000,-6.051000,8328000.000000,0.000000,10.710000,39.027000,34.086000,0.000000,-130128000.000000,5039000.000000,5039000.000000,13715000.000000,,,,,1814000.000000,4710000.000000,1.000000,29680330.000000,25922833.000000,25922833.000000,0.194000,196911000.000000,0.000000,0.000000,0.000000,7.596000
ARQ,2019-09-30,2019-11-12,2019-09-30,2019-Q3,146717000.000000,259092624.000000,2025-05-15,26000.000000,188542000.000000,,179239000.000000,9303000.000000,,4.166000,-358000.000000,32846000.000000,32846000.000000,0.000000,-16147000.000000,5.511000,0.548000,5566000.000000,1082000.000000,4484000.000000,5566000.000000,49985000.000000,581000.000000,0.000000,0.000000,0.000000,-16147000.000000,-15566000.000000,-3.261000,-15566000.000000,-16147000.000000,-16147000.000000,-0.550000,-0.550000,-0.550000,121790000.000000,,121790000.000000,231812624.000000,-4.000000,-4.416000,-15470000.000000,-0.529000,1.000000,4774000.000000,1.000000,0.000000,0.000000,128740000.000000,,0.000000,143441000.000000,143441000.000000,0.000000,66752000.000000,32522000.000000,34230000.000000,-81157000.000000,0.000000,6128000.000000,0.000000,0.000000,6124000.000000,-72169000.000000,-71811000.000000,-15112000.000000,0.000000,-16147000.000000,-16147000.000000,-16147000.000000,0.000000,0.000000,-3.382000,21880000.000000,-17106000.000000,3032000.000000,0.000000,2.127000,-4.763000,-4.644000,9013000.000000,0.000000,8.730000,20.055000,19.754000,0.000000,-146275000.000000,4774000.000000,4774000.000000,15699000.000000,,,,,2688000.000000,6181000.000000,1.000000,29678422.000000,29232158.000000,29232158.000000,0.163000,188542000.000000,0.000000,0.000000,0.000000,6.450000
ARQ,2019-12-31,2020-03-12,2019-12-31,2019-Q4,152353000.000000,446228365.000000,2025-05-15,37000.000000,196381000.000000,,185167000.000000,11214000.000000,,3.845000,-1470000.000000,38806000.000000,38806000.000000,0.000000,-11573000.000000,5.643000,0.739000,5303000.000000,1135000.000000,4168000.000000,5303000.000000,67412000.000000,641000.000000,0.000000,0.000000,0.000000,-11573000.000000,-10932000.000000,-1.444000,-10932000.000000,-11573000.000000,-11573000.000000,-0.390000,-0.390000,-0.390000,112901000.000000,,112901000.000000,412725365.000000,-8.000000,-8.475000,-17537000.000000,-0.597000,1.000000,7573000.000000,1.000000,0.000000,0.000000,130064000.000000,,0.000000,121140000.000000,121140000.000000,0.000000,83480000.000000,32814000.000000,50666000.000000,5960000.000000,0.000000,821000.000000,0.000000,0.000000,818000.000000,21209000.000000,22679000.000000,-16067000.000000,0.000000,-11573000.000000,-11573000.000000,-11573000.000000,0.000000,0.000000,-1.528000,19920000.000000,-12347000.000000,1130000.000000,0.000000,3.952000,-8.750000,-8.092000,8618000.000000,0.000000,14.970000,21.776000,20.117000,25000000.000000,-157848000.000000,7573000.000000,7573000.000000,14064000.000000,,,,,1852000.000000,5856000.000000,1.000000,29808174.000000,29364111.000000,29364111.000000,0.258000,196381000.000000,0.000000,0.000000,0.000000,6.688000
ARQ,2020-03-31,2020-05-07,2020-03-31,2020-Q1,137073000.000000,465435346.000000,2025-05-15,234000.000000,175702000.000000,,164173000.000000,11529000.000000,,3.341000,-209000.000000,97932000.000000,97932000.000000,0.000000,-17070000.000000,6.058000,0.781000,5035000.000000,1203000.000000,3832000.000000,5035000.000000,62382000.000000,650000.000000,0.000000,0.000000,0.000000,-17070000.000000,-16420000.000000,-3.264000,-16420000.000000,-17070000.000000,-17070000.000000,-0.580000,-0.580000,-0.580000,98647000.000000,,98647000.000000,372538346.000000,-6.000000,-6.788000,2427000.000000,0.082000,1.000000,5030000.000000,1.000000,0.000000,0.000000,55705000.000000,,0.000000,65214000.000000,65214000.000000,0.000000,77055000.000000,27100000.000000,49955000.000000,59126000.000000,0.000000,405000.000000,0.000000,0.000000,399000.000000,56091000.000000,56300000.000000,2636000.000000,0.000000,-17070000.000000,-17070000.000000,-17070000.000000,0.000000,0.000000,-3.394000,22724000.000000,-17694000.000000,2229000.000000,0.000000,4.718000,-8.121000,-7.790000,8201000.000000,0.000000,15.580000,20.764000,20.523000,0.000000,-174918000.000000,5030000.000000,5030000.000000,16902000.000000,,,,,2214000.000000,5822000.000000,1.000000,29873899.000000,29527349.000000,29527349.000000,0.170000,175702000.000000,0.000000,0.000000,0.000000,5.950000
ARQ,2020-06-30,2020-08-07,2020-06-30,2020-Q2,112620000.000000,420336846.000000,2025-05-15,49000.000000,156360000.000000,,145187000.000000,11173000.000000,,2.768000,-74000.000000,117626000.000000,117626000.000000,0.000000,-19281000.000000,4.458000,0.903000,4762000.000000,1272000.000000,3490000.000000,4762000.000000,58482000.000000,657000.000000,0.000000,0.000000,0.000000,-19281000.000000,-18624000.000000,-4.775000,-18624000.000000,-19281000.000000,-19281000.000000,-0.650000,-0.650000,-0.650000,82174000.000000,,82174000.000000,307472846.000000,-5.000000,-4.996000,-19901000.000000,-0.670000,1.000000,3900000.000000,1.000000,0.000000,0.000000,10929000.000000,,0.000000,26048000.000000,26048000.000000,0.000000,74186000.000000,32567000.000000,41619000.000000,19694000.000000,0.000000,598000.000000,0.000000,0.000000,595000.000000,38926000.000000,39000000.000000,-19827000.000000,0.000000,-19281000.000000,-19281000.000000,-19281000.000000,0.000000,0.000000,-4.944000,23362000.000000,-19462000.000000,2680000.000000,0.000000,5.115000,-6.560000,-6.484000,7614000.000000,0.000000,14.070000,19.755000,19.634000,0.000000,-194199000.000000,3900000.000000,3900000.000000,16997000.000000,,,,,2395000.000000,6365000.000000,1.000000,29874687.000000,29690280.000000,29690280.000000,0.131000,156360000.000000,0.000000,0.000000,0.000000,5.266000
ARQ,2020-09-30,2020-11-09,2020-09-30,2020-Q3,86512000.000000,1409803323.000000,2025-05-15,3000.000000,163421000.000000,,119381000.000000,44040000.000000,,2.115000,-1831000.000000,58725000.000000,58725000.000000,0.000000,-23561000.000000,3.632000,1.595000,32902000.000000,4072000.000000,28830000.000000,32902000.000000,55445000.000000,656000.000000,0.000000,0.000000,0.000000,-23561000.000000,-22905000.000000,-7.542000,-22905000.000000,-23561000.000000,-23561000.000000,-0.790000,-0.790000,-0.790000,62977000.000000,,62977000.000000,1383980323.000000,-19.000000,-20.092000,-25226000.000000,-0.847000,1.000000,3037000.000000,1.000000,0.000000,0.000000,104729000.000000,,0.000000,60037000.000000,60037000.000000,0.000000,100444000.000000,32869000.000000,67575000.000000,-58901000.000000,0.000000,374000.000000,0.000000,0.000000,368000.000000,-35874000.000000,-34043000.000000,-23395000.000000,0.000000,-23561000.000000,-23561000.000000,-23561000.000000,0.000000,0.000000,-7.758000,26655000.000000,-23618000.000000,1106000.000000,0.000000,22.386000,-19.722000,-17.390000,40492000.000000,0.000000,41.910000,72.150000,63.871000,0.000000,-217760000.000000,3037000.000000,3037000.000000,18383000.000000,,,,,4036000.000000,8272000.000000,1.000000,33638829.000000,29779114.000000,29779114.000000,0.102000,163421000.000000,0.000000,0.000000,0.000000,5.488000
ARQ,2020-12-31,2021-03-09,2020-12-31,2020-Q4,301840000.000000,1965309218.000000,2025-05-15,-2000.000000,388305000.000000,,344404000.000000,43901000.000000,,7.684000,-1974000.000000,162856000.000000,162856000.000000,0.000000,-26571000.000000,8.091000,0.489000,57139000.000000,5366000.000000,51773000.000000,57139000.000000,52009000.000000,1908000.000000,0.000000,0.000000,0.000000,-26571000.000000,-24663000.000000,-7.178000,-24663000.000000,-26571000.000000,-26571000.000000,-0.790000,-0.790000,-0.790000,260770000.000000,,260770000.000000,1859592218.000000,-22.000000,-22.510000,-21659000.000000,-0.638000,1.000000,3436000.000000,1.000000,0.000000,0.000000,240024000.000000,,0.000000,180673000.000000,180673000.000000,0.000000,127535000.000000,42564000.000000,84971000.000000,104131000.000000,0.000000,221839000.000000,24622000.000000,0.000000,246457000.000000,-122641000.000000,-120667000.000000,-19685000.000000,0.000000,-26571000.000000,-26571000.000000,-26571000.000000,0.000000,0.000000,-7.733000,29540000.000000,-26104000.000000,3409000.000000,0.000000,7.537000,-22.725000,-20.413000,40382000.000000,0.000000,57.360000,127.593000,114.452000,0.000000,-244331000.000000,3436000.000000,3436000.000000,21780000.000000,,,,,2530000.000000,7760000.000000,1.000000,34262713.000000,33938451.000000,33938451.000000,0.101000,388305000.000000,0.000000,0.000000,0.000000,11.441000
