dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2013-12-31,2014-10-10,2013-12-31,2013-Q4,,,2025-02-27,0.000000,87214000000.000000,,39398000000.000000,47816000000.000000,,4.915000,,19455000000.000000,24683166093.000000,,,,8.963000,30420000000.000000,,,38594804038.000000,0.000000,,0.000000,,0.000000,,,,,,,,,,8326000000.000000,,10563456227.000000,,,,,,0.788000,,,7074000000.000000,,91105000000.000000,,10278000000.000000,4868000000.000000,4204000000.000000,664000000.000000,74630000000.000000,,,,,,,,,,,,,,,,,,,,,17207000000.000000,,,,,23233000000.000000,,,,,2544000000.000000,,,,,,,,,,,1.000000,1693861272.000000,1693861272.000000,,,80140000000.000000,3215000000.000000,,592000000.000000,47.312000
ARQ,2014-09-30,2014-10-29,2014-09-30,2014-Q3,,18378394801.000000,2025-02-27,0.000000,94396000000.000000,,41720000000.000000,52676000000.000000,,6.147000,,18395000000.000000,23246556300.000000,20356000000.000000,188000000.000000,,8.036000,33484000000.000000,,,42315177556.000000,0.000000,,0.000000,0.000000,0.000000,912000000.000000,,,,1152533805.000000,401000000.000000,,,,10413000000.000000,,13159358018.000000,37447016057.000000,,,,,0.791000,3197000000.000000,0.136000,8263000000.000000,511000000.000000,101222000000.000000,,12978000000.000000,4662000000.000000,4044000000.000000,618000000.000000,83683000000.000000,,,,,,,,,,,,,174000000.000000,174000000.000000,219891318.000000,0.000000,14000000.000000,0.007000,2330000000.000000,867000000.000000,18846000000.000000,,1.397000,,,25321000000.000000,0.000000,10.850000,,,3030000000.000000,,23553000000.000000,29764943763.000000,598000000.000000,,,,,,1717000000.000000,1.000000,1693861272.000000,1693861272.000000,,17.572000,86133000000.000000,3706000000.000000,227000000.000000,530000000.000000,50.850000
ARQ,2014-09-30,2014-11-06,2014-09-30,2014-Q3,,18598596767.000000,2025-02-27,0.000000,94396000000.000000,,41720000000.000000,52676000000.000000,,6.147000,,18395000000.000000,22768371582.000000,20356000000.000000,188000000.000000,,8.036000,33484000000.000000,,,41444748793.000000,0.000000,,0.000000,0.000000,0.000000,912000000.000000,,,,1128826033.000000,401000000.000000,0.143000,0.142000,0.177000,10413000000.000000,,12888668295.000000,37274973978.000000,,,,,0.808000,3197000000.000000,0.136000,8263000000.000000,511000000.000000,101222000000.000000,,12978000000.000000,4662000000.000000,4044000000.000000,618000000.000000,83683000000.000000,,,,,,,,,,,,,174000000.000000,174000000.000000,215368125.000000,0.000000,14000000.000000,0.007000,2330000000.000000,867000000.000000,18846000000.000000,0.000000,1.443000,,,25321000000.000000,0.000000,10.980000,,,3030000000.000000,,23553000000.000000,29152674959.000000,598000000.000000,,,,,,1717000000.000000,1.000000,1693861272.000000,1693861272.000000,,17.211000,86133000000.000000,3706000000.000000,227000000.000000,530000000.000000,50.850000
ARQ,2014-12-31,2015-03-05,2014-12-31,2014-Q4,,26407297230.000000,2025-02-27,0.000000,100510000000.000000,,45564000000.000000,54946000000.000000,,7.926000,-2771000000.000000,22840000000.000000,25196002617.000000,23452000000.000000,420000000.000000,,6.463000,34472000000.000000,,,38027872251.000000,0.000000,1298000000.000000,0.000000,0.000000,0.000000,1054000000.000000,2352000000.000000,0.087000,2594614630.000000,1162722713.000000,517000000.000000,0.333000,0.330000,0.367000,13425000000.000000,,14809822028.000000,39239166864.000000,11.000000,4.415000,1148000000.000000,0.678000,0.906000,3632000000.000000,0.134000,8835000000.000000,537000000.000000,103307000000.000000,,12467000000.000000,4907000000.000000,4358000000.000000,549000000.000000,86772000000.000000,,,4445000000.000000,-6000000.000000,143000000.000000,370000000.000000,-15000000.000000,3214000000.000000,-3021000000.000000,-225000000.000000,3919000000.000000,333000000.000000,408000000.000000,408000000.000000,450086211.000000,0.000000,12000000.000000,0.015000,2672000000.000000,960000000.000000,19854000000.000000,0.000000,1.783000,42.144000,30.392000,26408000000.000000,0.000000,15.590000,0.249000,0.249000,2564000000.000000,,27084000000.000000,29877781737.000000,712000000.000000,,,,,,1933000000.000000,1.000000,1693861272.000000,1693861272.000000,,17.639000,91675000000.000000,3875000000.000000,109000000.000000,579000000.000000,54.122000
ARQ,2014-12-31,2015-03-09,2014-12-31,2014-Q4,,26153218040.000000,2025-02-27,0.000000,100510000000.000000,,45564000000.000000,54946000000.000000,,7.926000,-2771000000.000000,22840000000.000000,24780028425.000000,23452000000.000000,420000000.000000,,6.463000,34472000000.000000,,,37400049907.000000,0.000000,1298000000.000000,0.000000,0.000000,0.000000,1054000000.000000,2352000000.000000,0.087000,2551778759.000000,1143526706.000000,517000000.000000,0.333000,0.330000,0.361000,13425000000.000000,,14565318810.000000,38773239521.000000,11.000000,4.436000,1148000000.000000,0.678000,0.922000,3632000000.000000,0.134000,8835000000.000000,537000000.000000,103307000000.000000,,12467000000.000000,4907000000.000000,4358000000.000000,549000000.000000,86772000000.000000,,,4445000000.000000,-6000000.000000,143000000.000000,370000000.000000,-15000000.000000,3214000000.000000,-3021000000.000000,-225000000.000000,3919000000.000000,333000000.000000,408000000.000000,408000000.000000,442655499.000000,0.000000,12000000.000000,0.015000,2672000000.000000,960000000.000000,19854000000.000000,0.000000,1.796000,42.440000,30.605000,26408000000.000000,0.000000,15.440000,0.251000,0.251000,2564000000.000000,,27084000000.000000,29384513567.000000,712000000.000000,,,,,,1933000000.000000,1.000000,1693861272.000000,1693861272.000000,,17.348000,91675000000.000000,3875000000.000000,109000000.000000,579000000.000000,54.122000
ARQ,2015-03-31,2015-05-07,2015-03-31,2015-Q1,,25119962664.000000,2025-02-27,0.000000,106978000000.000000,,47654000000.000000,59324000000.000000,,8.792000,-2078000000.000000,21669000000.000000,24578505122.000000,22979000000.000000,92000000.000000,,6.160000,34666000000.000000,,,39320617406.000000,0.000000,1397000000.000000,0.000000,0.000000,0.000000,778000000.000000,2175000000.000000,0.082000,2467038102.000000,882462365.000000,172000000.000000,0.052000,0.052000,0.059000,14893000000.000000,,16892688947.000000,39862074947.000000,,,-1120000000.000000,-0.661000,0.882000,3417000000.000000,0.129000,9568000000.000000,606000000.000000,110407000000.000000,,12624000000.000000,5381000000.000000,4814000000.000000,567000000.000000,91743000000.000000,,,-1171000000.000000,-75000000.000000,5000000.000000,-1686000000.000000,,-1744000000.000000,-1788000000.000000,368000000.000000,958000000.000000,1403000000.000000,78000000.000000,78000000.000000,88473091.000000,0.000000,14000000.000000,0.003000,2717000000.000000,700000000.000000,22188000000.000000,0.000000,1.487000,,,28184000000.000000,0.000000,14.830000,,,2949000000.000000,,26396000000.000000,29940201265.000000,727000000.000000,,,,,,1986000000.000000,1.000000,1693861272.000000,1693861272.000000,,17.676000,97410000000.000000,3871000000.000000,94000000.000000,354000000.000000,57.508000
ARQ,2015-06-30,2015-08-06,2015-06-30,2015-Q2,,27491368445.000000,2025-02-27,0.000000,105795000000.000000,,47096000000.000000,58699000000.000000,,8.665000,-2215000000.000000,21117000000.000000,23020696497.000000,25079000000.000000,333000000.000000,,6.183000,33143000000.000000,,,36130839797.000000,0.000000,1425000000.000000,0.000000,0.000000,0.000000,1335000000.000000,2760000000.000000,0.094000,3008813862.000000,1455350183.000000,708000000.000000,0.212000,0.212000,0.231000,14678000000.000000,,16001220968.000000,40601511745.000000,9.000000,,896000000.000000,0.529000,0.917000,4149000000.000000,0.142000,9776000000.000000,627000000.000000,108045000000.000000,,12283000000.000000,4963000000.000000,4406000000.000000,557000000.000000,90758000000.000000,,,-552000000.000000,-2000000.000000,5000000.000000,-343000000.000000,,-767000000.000000,-2263000000.000000,-45000000.000000,3111000000.000000,-633000000.000000,320000000.000000,320000000.000000,348847984.000000,0.000000,13000000.000000,0.011000,2737000000.000000,1412000000.000000,22427000000.000000,0.000000,1.718000,25.733000,20.119000,28008000000.000000,0.000000,16.230000,0.237000,0.237000,3207000000.000000,,29228000000.000000,31862902742.000000,732000000.000000,,,,,,1997000000.000000,1.000000,1693861272.000000,1693861272.000000,,18.811000,96019000000.000000,3796000000.000000,388000000.000000,464000000.000000,56.686000
ARQ,2015-09-30,2015-11-06,2015-09-30,2015-Q3,,24425479542.000000,2025-02-27,0.000000,103551000000.000000,,45796000000.000000,57755000000.000000,,8.381000,-2176000000.000000,20177000000.000000,21659622843.000000,24493000000.000000,-299000000.000000,,6.269000,31844000000.000000,,,34183923766.000000,0.000000,1423000000.000000,0.000000,0.000000,0.000000,353000000.000000,1776000000.000000,0.065000,1906501966.000000,378938735.000000,-267000000.000000,-0.202000,-0.202000,-0.217000,14197000000.000000,,15240207439.000000,36949780465.000000,10.000000,3.798000,-772000000.000000,-0.456000,0.932000,2975000000.000000,0.108000,9857000000.000000,620000000.000000,105361000000.000000,,12162000000.000000,6551000000.000000,4534000000.000000,2017000000.000000,88997000000.000000,,,-940000000.000000,-3000000.000000,0.000000,-393000000.000000,-21000000.000000,64000000.000000,-2101000000.000000,57000000.000000,1404000000.000000,-307000000.000000,-306000000.000000,-306000000.000000,-328485136.000000,0.000000,7000000.000000,-0.011000,2658000000.000000,317000000.000000,21566000000.000000,0.000000,1.603000,45.507000,34.007000,27271000000.000000,0.000000,14.420000,0.207000,0.207000,3387000000.000000,,27468000000.000000,29486371624.000000,749000000.000000,,,,,,1896000000.000000,1.000000,1693861272.000000,1693861272.000000,,17.408000,93694000000.000000,3615000000.000000,39000000.000000,435000000.000000,55.314000
ARQ,2015-12-31,2016-02-29,2015-12-31,2015-Q4,,11630599779.000000,2025-02-27,0.000000,105040000000.000000,,47089000000.000000,57951000000.000000,,9.478000,-2350000000.000000,20662000000.000000,22461576594.000000,25069000000.000000,251000000.000000,,5.517000,28522000000.000000,,,31006150789.000000,0.000000,1169000000.000000,0.000000,0.000000,0.000000,400000000.000000,1569000000.000000,0.057000,1705653551.000000,434838381.000000,-113000000.000000,0.160000,0.160000,0.174000,16092000000.000000,,17493548086.000000,20175173975.000000,6.000000,2.241000,1928000000.000000,1.136000,0.920000,2434000000.000000,0.088000,9946000000.000000,513000000.000000,102954000000.000000,,11351000000.000000,3443000000.000000,2859000000.000000,584000000.000000,88785000000.000000,,,667000000.000000,-186000000.000000,0.000000,-3330000000.000000,-245000000.000000,-681000000.000000,-3148000000.000000,-226000000.000000,4278000000.000000,218000000.000000,242000000.000000,242000000.000000,263077221.000000,-284000000.000000,19000000.000000,0.009000,2533000000.000000,-99000000.000000,21465000000.000000,0.000000,0.665000,32.032000,28.512000,27454000000.000000,0.000000,6.850000,0.097000,0.097000,2668000000.000000,,27503000000.000000,29898400012.000000,656000000.000000,,,,,,1849000000.000000,1.000000,1697897778.000000,1697897778.000000,,17.609000,95094000000.000000,3748000000.000000,-355000000.000000,428000000.000000,56.007000
ARQ,2016-03-31,2016-05-04,2016-03-31,2016-Q1,,13294539602.000000,2025-02-27,0.000000,98444000000.000000,,41211000000.000000,57233000000.000000,,9.396000,-1821000000.000000,17963000000.000000,20642784334.000000,22803000000.000000,478000000.000000,,5.160000,27191000000.000000,,,31247450249.000000,0.000000,1417000000.000000,0.000000,0.000000,0.000000,1301000000.000000,2718000000.000000,0.102000,3123480923.000000,1495087815.000000,789000000.000000,0.312000,0.306000,0.359000,15954000000.000000,,18334074557.000000,23899205517.000000,6.000000,2.357000,-1051000000.000000,-0.619000,0.870000,3767000000.000000,0.142000,10064000000.000000,512000000.000000,97608000000.000000,,11383000000.000000,5299000000.000000,3132000000.000000,2167000000.000000,82315000000.000000,,,-2699000000.000000,-21000000.000000,,-701000000.000000,,-1186000000.000000,-1737000000.000000,80000000.000000,770000000.000000,-546000000.000000,472000000.000000,472000000.000000,542414642.000000,0.000000,12000000.000000,0.018000,2522000000.000000,1245000000.000000,20732000000.000000,0.000000,0.725000,15.891000,14.136000,27226000000.000000,0.000000,7.830000,0.104000,0.104000,3177000000.000000,,26570000000.000000,30533807257.000000,759000000.000000,,,,,,1756000000.000000,1.000000,1697897778.000000,1697897778.000000,,17.983000,88380000000.000000,3949000000.000000,317000000.000000,553000000.000000,52.053000
