dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,1996-12-31,1997-01-14,1996-11-30,1997-Q3,254413000.000000,554638079.000000,2025-04-23,0.000000,1119513000.000000,,591332000.000000,528181000.000000,,2.285000,,4997000.000000,4997000.000000,236050000.000000,8311000.000000,1.755000,2.122000,520498000.000000,170597000.000000,349901000.000000,520498000.000000,0.000000,,0.000000,0.000000,0.000000,23414000.000000,,,,23414000.000000,14749000.000000,0.052000,0.052000,0.052000,358565000.000000,,358565000.000000,1070139079.000000,,,,,1.000000,81683000.000000,0.257000,0.000000,8665000.000000,1298095000.000000,,373631000.000000,0.000000,0.000000,0.000000,760948000.000000,336919000.000000,424029000.000000,,,,,,,,,,,8311000.000000,8311000.000000,8311000.000000,0.000000,0.000000,0.026000,58269000.000000,23414000.000000,79567000.000000,0.000000,1.547000,,,251218000.000000,0.000000,3.672000,,,198106000.000000,164353000.000000,317733000.000000,317733000.000000,0.000000,,,,,,58269000.000000,1.000000,151024664.000000,156942832.000000,158231944.000000,2.025000,1119513000.000000,0.000000,6438000.000000,87043000.000000,7.133000
ARQ,1996-12-31,1997-01-31,1996-11-30,1997-Q3,254413000.000000,531040475.000000,2025-04-23,0.000000,1119513000.000000,,591332000.000000,528181000.000000,,2.285000,,4997000.000000,4997000.000000,236050000.000000,8311000.000000,1.755000,2.122000,520498000.000000,170597000.000000,349901000.000000,520498000.000000,0.000000,,0.000000,0.000000,0.000000,23414000.000000,,,,23414000.000000,14749000.000000,0.052000,0.052000,0.052000,358565000.000000,,358565000.000000,1046541475.000000,,,,,1.000000,81683000.000000,0.257000,0.000000,8665000.000000,1298095000.000000,,373631000.000000,0.000000,0.000000,0.000000,760948000.000000,336919000.000000,424029000.000000,,,,,,,,,,,8311000.000000,8311000.000000,8311000.000000,0.000000,0.000000,0.026000,58269000.000000,23414000.000000,79567000.000000,0.000000,1.481000,,,251218000.000000,0.000000,3.516000,,,198106000.000000,164353000.000000,317733000.000000,317733000.000000,0.000000,,,,,,58269000.000000,1.000000,151024664.000000,156942832.000000,158231944.000000,2.025000,1119513000.000000,0.000000,6438000.000000,87043000.000000,7.133000
ARQ,1997-03-31,1997-05-29,1997-02-28,1997-Q4,254442000.000000,586488869.000000,2025-04-23,0.000000,1020901000.000000,,501015000.000000,519886000.000000,,2.395000,-2328000.000000,10010000.000000,10010000.000000,195162000.000000,5922000.000000,2.032000,1.799000,436351000.000000,97467000.000000,338884000.000000,436351000.000000,0.000000,6029000.000000,0.000000,0.000000,0.000000,18555000.000000,24584000.000000,0.094000,24584000.000000,18555000.000000,9973000.000000,0.039000,0.037000,0.039000,364733000.000000,,364733000.000000,1012829869.000000,12.000000,8.907000,90076000.000000,0.592000,1.000000,66407000.000000,0.254000,0.000000,8582000.000000,1200669000.000000,,326626000.000000,0.000000,0.000000,0.000000,656168000.000000,246573000.000000,409595000.000000,5013000.000000,0.000000,-768000.000000,-84302000.000000,0.000000,-85063000.000000,-2328000.000000,0.000000,92404000.000000,0.000000,5922000.000000,5922000.000000,5922000.000000,0.000000,0.000000,0.023000,47852000.000000,18555000.000000,63492000.000000,0.000000,1.608000,21.192000,22.464000,249552000.000000,0.000000,3.954000,0.517000,0.548000,142592000.000000,170275000.000000,261569000.000000,261569000.000000,0.000000,,,,,248000.000000,47852000.000000,1.000000,148337368.000000,152275880.000000,153843048.000000,1.718000,1020901000.000000,0.000000,4051000.000000,78453000.000000,6.704000
ARQ,1997-06-30,1997-07-15,1997-05-31,1998-Q1,255726000.000000,695569800.000000,2025-04-23,0.000000,981658000.000000,,471760000.000000,509898000.000000,,2.380000,-808000.000000,1621000.000000,1621000.000000,225279000.000000,10046000.000000,2.184000,1.680000,390820000.000000,61851000.000000,328969000.000000,390820000.000000,0.000000,8834000.000000,0.000000,0.000000,0.000000,25507000.000000,34341000.000000,0.112000,34341000.000000,25507000.000000,17028000.000000,0.065000,0.065000,0.065000,366318000.000000,,366318000.000000,1084768800.000000,,,46361000.000000,0.301000,1.000000,80732000.000000,0.264000,0.000000,8479000.000000,1154823000.000000,,290286000.000000,0.000000,0.000000,0.000000,615340000.000000,216034000.000000,399306000.000000,-8389000.000000,0.000000,-9029000.000000,-45994000.000000,0.000000,-54750000.000000,-808000.000000,0.000000,47169000.000000,0.000000,10046000.000000,10046000.000000,10046000.000000,0.000000,0.000000,0.033000,55225000.000000,25507000.000000,54131000.000000,0.000000,1.899000,,,241633000.000000,0.000000,4.688000,,,160797000.000000,180321000.000000,306011000.000000,306011000.000000,0.000000,,,,,0.000000,55225000.000000,1.000000,148388224.000000,153888208.000000,154575424.000000,1.989000,981658000.000000,0.000000,6982000.000000,82424000.000000,6.379000
ARQ,1997-09-30,1997-09-30,1997-08-31,1998-Q2,237211000.000000,879232867.000000,2025-04-23,0.000000,1032950000.000000,,520481000.000000,512469000.000000,,2.465000,-8893000.000000,4278000.000000,4278000.000000,216765000.000000,12365000.000000,1.837000,1.722000,368314000.000000,69319000.000000,298995000.000000,368314000.000000,0.000000,8490000.000000,0.000000,0.000000,0.000000,28501000.000000,36991000.000000,0.123000,36991000.000000,28501000.000000,20956000.000000,0.080000,0.080000,0.080000,379413000.000000,,379413000.000000,1243268867.000000,13.000000,,24792000.000000,0.161000,1.000000,84759000.000000,0.281000,0.000000,7545000.000000,1113716000.000000,,334756000.000000,0.000000,0.000000,0.000000,653537000.000000,283270000.000000,370267000.000000,2657000.000000,0.000000,0.000000,-22603000.000000,0.000000,-22135000.000000,-8893000.000000,0.000000,33685000.000000,0.000000,12365000.000000,12365000.000000,12365000.000000,0.000000,0.000000,0.041000,56258000.000000,28501000.000000,120511000.000000,0.000000,2.317000,23.994000,24.963000,246712000.000000,0.000000,5.891000,0.741000,0.764000,160885000.000000,192686000.000000,301524000.000000,301524000.000000,0.000000,,,,,350000.000000,56258000.000000,1.000000,149243856.000000,153935752.000000,154542920.000000,1.959000,1032950000.000000,0.000000,8591000.000000,82422000.000000,6.710000
ARQ,1997-12-31,1997-12-23,1997-11-30,1998-Q3,240999000.000000,989269786.000000,2025-04-23,0.000000,1131513000.000000,,625977000.000000,505536000.000000,,2.550000,-958000.000000,2298000.000000,2298000.000000,224703000.000000,17611000.000000,1.626000,1.838000,476419000.000000,201119000.000000,275300000.000000,476419000.000000,0.000000,8469000.000000,0.000000,0.000000,0.000000,37711000.000000,46180000.000000,0.143000,46180000.000000,37711000.000000,29850000.000000,0.113000,0.113000,0.113000,398678000.000000,,398678000.000000,1463390786.000000,13.000000,10.299000,-111328000.000000,-0.712000,1.000000,98000000.000000,0.304000,0.000000,7861000.000000,1220656000.000000,,419392000.000000,0.000000,0.000000,0.000000,732835000.000000,384978000.000000,347857000.000000,-1980000.000000,0.000000,1052000.000000,107843000.000000,0.000000,109348000.000000,-958000.000000,0.000000,-110370000.000000,0.000000,17611000.000000,17611000.000000,17611000.000000,0.000000,0.000000,0.055000,60289000.000000,37711000.000000,69838000.000000,0.000000,2.481000,21.532000,22.331000,241381000.000000,0.000000,6.610000,0.830000,0.867000,184992000.000000,210297000.000000,322703000.000000,322703000.000000,0.000000,,,,,179000.000000,60289000.000000,1.000000,149662600.000000,156355672.000000,156504160.000000,2.064000,1131513000.000000,0.000000,12239000.000000,84913000.000000,7.237000
ARQ,1998-03-31,1998-05-29,1998-02-28,1998-Q4,281004000.000000,865723647.000000,2025-04-23,0.000000,1073159000.000000,,564338000.000000,508821000.000000,,3.105000,-7992000.000000,1232000.000000,1232000.000000,197306000.000000,10049000.000000,1.992000,1.585000,425236000.000000,116018000.000000,309218000.000000,425236000.000000,0.000000,7368000.000000,0.000000,0.000000,0.000000,25336000.000000,32704000.000000,0.116000,32704000.000000,25336000.000000,17032000.000000,0.076000,0.071000,0.076000,415164000.000000,,415164000.000000,1289727647.000000,11.000000,8.586000,50279000.000000,0.376000,1.000000,85244000.000000,0.302000,0.000000,8304000.000000,1213829000.000000,,394028000.000000,0.000000,0.000000,0.000000,657995000.000000,283334000.000000,374661000.000000,-1066000.000000,0.000000,0.000000,-51927000.000000,0.000000,-51345000.000000,-7992000.000000,0.000000,58271000.000000,0.000000,10049000.000000,10049000.000000,10049000.000000,0.000000,0.000000,0.036000,59908000.000000,25336000.000000,52055000.000000,0.000000,2.085000,17.290000,17.213000,244035000.000000,0.000000,5.766000,0.714000,0.710000,142615000.000000,220346000.000000,282550000.000000,282550000.000000,0.000000,,,,,1218000.000000,59908000.000000,1.000000,150136336.000000,133726248.000000,143070896.000000,2.113000,1073159000.000000,0.000000,6983000.000000,76735000.000000,8.025000
ARQ,1998-06-30,1998-06-23,1998-05-31,1999-Q1,290052000.000000,896671322.000000,2025-04-23,0.000000,1063447000.000000,,555327000.000000,508120000.000000,,2.866000,-5628000.000000,765000.000000,765000.000000,219992000.000000,13615000.000000,2.093000,1.474000,407429000.000000,104118000.000000,303311000.000000,407429000.000000,0.000000,8508000.000000,0.000000,0.000000,0.000000,31604000.000000,40112000.000000,0.128000,40112000.000000,31604000.000000,23077000.000000,0.091000,0.087000,0.091000,429797000.000000,,429797000.000000,1303335322.000000,11.000000,8.355000,17141000.000000,0.114000,1.000000,92936000.000000,0.297000,0.000000,8527000.000000,1204836000.000000,,362915000.000000,0.000000,0.000000,0.000000,633650000.000000,265275000.000000,368375000.000000,-467000.000000,-706000.000000,650000.000000,-17900000.000000,0.000000,-16902000.000000,-6334000.000000,0.000000,22769000.000000,0.000000,13615000.000000,13615000.000000,13615000.000000,0.000000,0.000000,0.044000,61332000.000000,31604000.000000,44020000.000000,0.000000,2.086000,16.716000,16.580000,243663000.000000,0.000000,5.969000,0.735000,0.734000,169592000.000000,233961000.000000,312928000.000000,312928000.000000,0.000000,,,,,25000.000000,61332000.000000,1.000000,150227656.000000,149984000.000000,154624000.000000,2.086000,1063447000.000000,0.000000,9462000.000000,80579000.000000,7.090000
ARQ,1998-09-30,1998-09-29,1998-08-31,1999-Q2,263673000.000000,714987880.000000,2025-04-23,0.000000,1047706000.000000,,539545000.000000,508161000.000000,,2.755000,-8443000.000000,1473000.000000,1473000.000000,247775000.000000,15772000.000000,1.956000,1.557000,384525000.000000,87118000.000000,297407000.000000,384525000.000000,0.000000,8459000.000000,0.000000,0.000000,0.000000,34157000.000000,42616000.000000,0.122000,42616000.000000,34157000.000000,26732000.000000,0.106000,0.104000,0.106000,409745000.000000,,409745000.000000,1098039880.000000,9.000000,6.794000,57292000.000000,0.385000,1.000000,101611000.000000,0.291000,0.000000,7425000.000000,1154886000.000000,,345972000.000000,0.000000,0.000000,0.000000,637961000.000000,275872000.000000,362089000.000000,708000.000000,-10000.000000,-35380000.000000,-23000000.000000,0.000000,-56574000.000000,-8453000.000000,0.000000,65735000.000000,0.000000,15772000.000000,15772000.000000,15772000.000000,0.000000,0.000000,0.045000,67454000.000000,34157000.000000,65624000.000000,0.000000,1.745000,12.533000,12.953000,246157000.000000,0.000000,5.000000,0.564000,0.587000,154550000.000000,249733000.000000,349386000.000000,349386000.000000,0.000000,,,,,26000.000000,67454000.000000,1.000000,142997576.000000,148712000.000000,152408000.000000,2.349000,1047706000.000000,0.000000,10960000.000000,80798000.000000,7.045000
ARQ,1998-12-31,1998-12-22,1998-11-30,1999-Q3,271460000.000000,895182100.000000,2025-04-23,0.000000,1167233000.000000,,659322000.000000,507911000.000000,,2.960000,-7544000.000000,2141000.000000,2141000.000000,260759000.000000,19650000.000000,1.700000,1.755000,430004000.000000,138618000.000000,291386000.000000,430004000.000000,0.000000,8722000.000000,0.000000,0.000000,0.000000,41052000.000000,49774000.000000,0.133000,49774000.000000,41052000.000000,33304000.000000,0.138000,0.134000,0.138000,423630000.000000,,423630000.000000,1323045100.000000,10.000000,8.008000,-36717000.000000,-0.257000,1.000000,114827000.000000,0.306000,0.000000,7748000.000000,1207234000.000000,,441048000.000000,0.000000,0.000000,0.000000,743603000.000000,387862000.000000,355741000.000000,668000.000000,0.000000,-8863000.000000,45381000.000000,0.000000,37385000.000000,-7544000.000000,0.000000,-29173000.000000,0.000000,19650000.000000,19650000.000000,19650000.000000,0.000000,0.000000,0.052000,73775000.000000,41052000.000000,71379000.000000,0.000000,2.113000,15.150000,15.207000,247499000.000000,0.000000,6.250000,0.678000,0.677000,173760000.000000,269383000.000000,375586000.000000,375586000.000000,0.000000,,,,,25000.000000,73775000.000000,1.000000,143229136.000000,143136000.000000,146600000.000000,2.624000,1167233000.000000,0.000000,13654000.000000,83969000.000000,8.155000
