dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2016-03-31,2016-06-20,2016-03-31,2016-Q1,57824000.000000,,2024-11-01,0.000000,70825000.000000,,63225000.000000,7600000.000000,,-241.765000,-1525000.000000,62616000.000000,62616000.000000,0.000000,-10588000.000000,11.706000,-2.223000,322000.000000,156000.000000,166000.000000,322000.000000,0.000000,304000.000000,0.000000,,0.000000,-10588000.000000,-10284000.000000,,-10284000.000000,-10588000.000000,-10588000.000000,-51.500000,-51.500000,-51.500000,-57890000.000000,,-57890000.000000,,,,-12143000.000000,-50.713000,1.000000,0.000000,,0.000000,0.000000,3130000.000000,,0.000000,0.000000,0.000000,0.000000,128715000.000000,5401000.000000,123314000.000000,26224000.000000,0.000000,0.000000,-17000.000000,0.000000,38367000.000000,-1525000.000000,0.000000,-10618000.000000,0.000000,-10588000.000000,-12325000.000000,-12325000.000000,0.000000,0.000000,,10636000.000000,-10636000.000000,2260000.000000,0.000000,,,,4857000.000000,1737000.000000,,,,0.000000,-64101000.000000,0.000000,0.000000,8265000.000000,,,,,662000.000000,2371000.000000,1.000000,2276016.000000,239447.000000,239447.000000,0.000000,70825000.000000,0.000000,0.000000,0.000000,295.786000
ARQ,2016-06-30,2016-08-15,2016-06-30,2016-Q2,46004000.000000,210369339.000000,2024-11-01,0.000000,60946000.000000,,52153000.000000,8793000.000000,,-267.956000,-302000.000000,50599000.000000,50599000.000000,0.000000,-12021000.000000,8.482000,-1.891000,301000.000000,163000.000000,138000.000000,301000.000000,0.000000,316000.000000,0.000000,0.000000,0.000000,-12021000.000000,-11705000.000000,,-11705000.000000,-12021000.000000,-12021000.000000,-54.200000,-54.200000,-54.200000,-68413000.000000,,-68413000.000000,160071339.000000,,,-11453000.000000,-44.858000,1.000000,0.000000,,0.000000,0.000000,4499000.000000,,0.000000,0.000000,0.000000,0.000000,129359000.000000,6149000.000000,123210000.000000,-12017000.000000,0.000000,357000.000000,-38000.000000,0.000000,-564000.000000,-302000.000000,0.000000,-11151000.000000,0.000000,-12021000.000000,-13844000.000000,-13844000.000000,0.000000,0.000000,,12065000.000000,-12065000.000000,1645000.000000,0.000000,-3.075000,,,4773000.000000,1823000.000000,90.000000,,,0.000000,-76122000.000000,0.000000,0.000000,9525000.000000,,,,,1148000.000000,2540000.000000,1.000000,2337437.000000,255315.000000,255315.000000,0.000000,60946000.000000,0.000000,0.000000,0.000000,238.709000
ARQ,2016-09-30,2016-11-14,2016-09-30,2016-Q3,86533000.000000,298100980.000000,2024-11-01,0.000000,100410000.000000,,94881000.000000,5529000.000000,,41.240000,-181000.000000,93977000.000000,93977000.000000,0.000000,-14169000.000000,11.366000,0.106000,261000.000000,165000.000000,96000.000000,261000.000000,0.000000,315000.000000,0.000000,0.000000,0.000000,-14169000.000000,-13854000.000000,,-13854000.000000,-14169000.000000,-14169000.000000,-6.500000,-6.500000,-6.500000,90781000.000000,,90781000.000000,204384980.000000,,,-9352000.000000,-4.248000,1.000000,0.000000,,0.000000,0.000000,-1654000.000000,,0.000000,0.000000,0.000000,0.000000,9629000.000000,8348000.000000,1281000.000000,43378000.000000,0.000000,50458000.000000,-40000.000000,0.000000,52730000.000000,-181000.000000,0.000000,-9171000.000000,0.000000,-14169000.000000,-14290000.000000,-14290000.000000,0.000000,0.000000,,14217000.000000,-14217000.000000,4039000.000000,0.000000,3.284000,,,4603000.000000,121000.000000,127.500000,,,0.000000,-90291000.000000,0.000000,0.000000,11584000.000000,,,,,1694000.000000,2633000.000000,1.000000,2338047.000000,2201274.000000,2201274.000000,0.000000,100410000.000000,0.000000,0.000000,0.000000,45.614000
ARQ,2016-12-31,2017-03-20,2016-12-31,2016-Q4,75941000.000000,374988476.000000,2024-11-01,-9000.000000,91323000.000000,,85508000.000000,5815000.000000,,63.484000,-314000.000000,59071000.000000,59071000.000000,0.000000,-10965000.000000,8.938000,0.133000,221000.000000,168000.000000,53000.000000,221000.000000,550000.000000,338000.000000,0.000000,0.000000,0.000000,-10965000.000000,-10627000.000000,-33.524000,-10627000.000000,-10965000.000000,-10965000.000000,3.900000,3.900000,3.900000,80602000.000000,,80602000.000000,316138476.000000,-7.000000,-6.803000,-9910000.000000,-7.805000,1.000000,317000.000000,1.000000,0.000000,0.000000,22906000.000000,,0.000000,25005000.000000,25005000.000000,0.000000,10721000.000000,9567000.000000,1154000.000000,-34906000.000000,0.000000,3060000.000000,-40000.000000,0.000000,24000.000000,-25334000.000000,-25020000.000000,-9596000.000000,0.000000,-10965000.000000,-10965000.000000,-10965000.000000,0.000000,0.000000,-34.590000,11362000.000000,-11045000.000000,2415000.000000,0.000000,4.652000,-7.292000,-3.958000,4850000.000000,0.000000,160.300000,1182.929000,642.030000,867000.000000,-101256000.000000,317000.000000,317000.000000,8443000.000000,,,,,730000.000000,2919000.000000,1.000000,2339292.000000,1269641.000000,1269641.000000,0.250000,91323000.000000,0.000000,0.000000,0.000000,71.928000
ARQ,2017-03-31,2017-05-15,2017-03-31,2017-Q1,65640000.000000,392963541.000000,2024-11-01,-13000.000000,78023000.000000,,72505000.000000,5518000.000000,,29.981000,-396000.000000,48482000.000000,48482000.000000,0.000000,-11515000.000000,10.562000,0.112000,180000.000000,171000.000000,9000.000000,180000.000000,0.000000,365000.000000,0.000000,0.000000,0.000000,-11515000.000000,-11150000.000000,-10.127000,-11150000.000000,-11515000.000000,-11515000.000000,-4.900000,-4.900000,-4.900000,70136000.000000,,70136000.000000,344661541.000000,-7.000000,-7.281000,-13216000.000000,-5.649000,1.000000,1101000.000000,1.000000,0.000000,0.000000,22856000.000000,,0.000000,22495000.000000,22495000.000000,0.000000,7887000.000000,6865000.000000,1022000.000000,-10589000.000000,0.000000,169000.000000,-41000.000000,0.000000,128000.000000,2103000.000000,2499000.000000,-12820000.000000,0.000000,-11515000.000000,-11515000.000000,-11515000.000000,0.000000,0.000000,-10.459000,12714000.000000,-11613000.000000,2377000.000000,0.000000,5.603000,-7.764000,-2.433000,4546000.000000,0.000000,150.100000,277.125000,247.627000,551000.000000,-112771000.000000,1101000.000000,1101000.000000,9628000.000000,,,,,884000.000000,3086000.000000,1.000000,2618012.000000,2339345.000000,2339345.000000,0.471000,78023000.000000,0.000000,0.000000,0.000000,33.353000
ARQ,2017-06-30,2017-08-09,2017-06-30,2017-Q2,86174000.000000,599783037.000000,2024-11-01,-6000.000000,99031000.000000,,93190000.000000,5841000.000000,,35.601000,-312000.000000,80014000.000000,80014000.000000,0.000000,-13368000.000000,13.282000,0.087000,138000.000000,130000.000000,8000.000000,138000.000000,0.000000,381000.000000,0.000000,0.000000,0.000000,-13368000.000000,-12987000.000000,,-12987000.000000,-13368000.000000,-13368000.000000,-5.200000,-5.200000,-5.200000,91081000.000000,,91081000.000000,519907037.000000,-10.000000,-10.694000,-12122000.000000,-4.738000,1.000000,0.000000,,0.000000,0.000000,12139000.000000,,0.000000,11990000.000000,11990000.000000,0.000000,7950000.000000,7016000.000000,934000.000000,31532000.000000,0.000000,33414000.000000,-42000.000000,0.000000,33148000.000000,10194000.000000,10506000.000000,-11810000.000000,0.000000,-13368000.000000,-13368000.000000,-13368000.000000,0.000000,0.000000,,13513000.000000,-13513000.000000,1348000.000000,0.000000,6.585000,-11.963000,-17.984000,4508000.000000,0.000000,228.400000,422.978000,412.089000,0.000000,-126139000.000000,0.000000,0.000000,10041000.000000,,,,,1156000.000000,3472000.000000,1.000000,2626020.000000,2558415.000000,2558415.000000,0.000000,99031000.000000,0.000000,0.000000,0.000000,38.708000
ARQ,2017-09-30,2017-11-08,2017-09-30,2017-Q3,73928000.000000,305170140.000000,2024-11-01,-10000.000000,88677000.000000,,83167000.000000,5510000.000000,,29.929000,-46000.000000,42632000.000000,42632000.000000,0.000000,-13825000.000000,9.002000,0.128000,96000.000000,89000.000000,7000.000000,96000.000000,0.000000,391000.000000,0.000000,0.000000,0.000000,-13825000.000000,-13434000.000000,,-13434000.000000,-13825000.000000,-13825000.000000,-5.300000,-5.300000,-5.300000,78592000.000000,,78592000.000000,262634140.000000,-5.000000,-5.449000,-9578000.000000,-3.647000,1.000000,0.000000,,0.000000,0.000000,36902000.000000,,0.000000,39799000.000000,39799000.000000,0.000000,10085000.000000,9239000.000000,846000.000000,-37382000.000000,0.000000,200000.000000,-42000.000000,0.000000,-31000.000000,-27819000.000000,-27773000.000000,-9532000.000000,0.000000,-13825000.000000,-13825000.000000,-13825000.000000,0.000000,0.000000,,14040000.000000,-14040000.000000,1846000.000000,0.000000,3.883000,-6.144000,-10.091000,4127000.000000,0.000000,116.050000,215.212000,214.907000,0.000000,-139964000.000000,0.000000,0.000000,10447000.000000,,,,,1108000.000000,3593000.000000,1.000000,2629644.000000,2625922.000000,2625922.000000,0.000000,88677000.000000,0.000000,0.000000,0.000000,33.770000
ARQ,2017-12-31,2018-03-12,2017-12-31,2017-Q4,60746000.000000,396629600.000000,2024-11-01,-42000.000000,78488000.000000,,73159000.000000,5329000.000000,,24.813000,-67000.000000,32688000.000000,32688000.000000,0.000000,-15302000.000000,5.894000,0.202000,53000.000000,47000.000000,6000.000000,53000.000000,0.000000,390000.000000,0.000000,0.000000,0.000000,-15302000.000000,-14912000.000000,,-14912000.000000,-15302000.000000,-15302000.000000,-5.900000,-5.900000,-5.900000,65324000.000000,,65324000.000000,363994600.000000,-7.000000,-6.935000,-10634000.000000,-4.039000,1.000000,0.000000,,0.000000,0.000000,33440000.000000,,0.000000,39844000.000000,39844000.000000,0.000000,13164000.000000,12413000.000000,751000.000000,-9944000.000000,0.000000,322000.000000,-43000.000000,0.000000,692000.000000,-69000.000000,-2000.000000,-10567000.000000,0.000000,-15302000.000000,-15302000.000000,-15302000.000000,0.000000,0.000000,,15520000.000000,-15520000.000000,2283000.000000,0.000000,6.072000,-7.344000,-5.784000,3938000.000000,0.000000,123.200000,360.245000,284.298000,0.000000,-155266000.000000,0.000000,0.000000,11780000.000000,,,,,1271000.000000,3740000.000000,1.000000,3219396.000000,2632655.000000,2632655.000000,0.000000,78488000.000000,0.000000,0.000000,0.000000,29.813000
ARQ,2018-03-31,2018-05-10,2018-03-31,2018-Q1,102033000.000000,375628030.000000,2024-11-01,-34000.000000,128100000.000000,,123370000.000000,4730000.000000,,34.448000,-152000.000000,94817000.000000,94817000.000000,0.000000,-14463000.000000,5.782000,0.226000,9000.000000,4000.000000,5000.000000,9000.000000,11882000.000000,388000.000000,0.000000,0.000000,0.000000,-14463000.000000,-14075000.000000,-38.041000,-14075000.000000,-14463000.000000,-14463000.000000,-4.800000,-4.800000,-4.800000,104499000.000000,,104499000.000000,280820030.000000,-5.000000,-5.068000,-2552000.000000,-0.841000,1.000000,370000.000000,1.000000,0.000000,0.000000,11955000.000000,,0.000000,27407000.000000,27407000.000000,0.000000,23601000.000000,21337000.000000,2264000.000000,62129000.000000,0.000000,52211000.000000,-44000.000000,0.000000,52167000.000000,12362000.000000,12514000.000000,-2400000.000000,0.000000,-14463000.000000,-14463000.000000,-14463000.000000,0.000000,0.000000,-39.089000,15191000.000000,-14821000.000000,1717000.000000,0.000000,3.595000,-6.595000,-5.439000,3565000.000000,0.000000,115.300000,1015.211000,945.309000,0.000000,-169729000.000000,370000.000000,370000.000000,11116000.000000,,,,,1696000.000000,4075000.000000,1.000000,3257832.000000,3033516.000000,3033516.000000,0.122000,128100000.000000,0.000000,0.000000,0.000000,42.228000
ARQ,2018-06-30,2018-08-07,2018-06-30,2018-Q2,109272000.000000,389381281.000000,2024-11-01,-7000.000000,131379000.000000,,126951000.000000,4428000.000000,,33.050000,-16000.000000,114386000.000000,114386000.000000,0.000000,-14047000.000000,7.181000,0.209000,36000.000000,9000.000000,27000.000000,36000.000000,11507000.000000,376000.000000,0.000000,0.000000,0.000000,-14047000.000000,-13671000.000000,-36.456000,-13671000.000000,-14047000.000000,-14047000.000000,-4.300000,-4.300000,-4.300000,108712000.000000,,108712000.000000,275031281.000000,-5.000000,-4.903000,-14094000.000000,-4.285000,1.000000,375000.000000,1.000000,0.000000,0.000000,-650000.000000,,0.000000,10270000.000000,9980000.000000,290000.000000,22667000.000000,17679000.000000,4988000.000000,19859000.000000,0.000000,16455000.000000,-2000.000000,0.000000,16453000.000000,17484000.000000,17500000.000000,-14078000.000000,0.000000,-14047000.000000,-14047000.000000,-14047000.000000,0.000000,0.000000,-37.459000,14923000.000000,-14548000.000000,1263000.000000,0.000000,3.582000,-6.756000,-5.700000,3275000.000000,0.000000,115.700000,522.659000,510.830000,0.000000,-183776000.000000,375000.000000,375000.000000,11082000.000000,,,,,1744000.000000,3841000.000000,1.000000,3365439.000000,3289271.000000,3289271.000000,0.114000,131379000.000000,0.000000,0.000000,0.000000,39.942000
