dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,1996-12-31,1997-03-11,1996-12-31,1996-Q4,-1908000000.000000,34583156281.000000,2025-04-29,-633000000.000000,23449000000.000000,,3912000000.000000,19537000000.000000,,5.630000,,242000000.000000,242000000.000000,,,0.672000,2.431000,7227000000.000000,1722000000.000000,5505000000.000000,7227000000.000000,0.000000,,0.000000,0.030000,0.215000,,,,,,,,,,6835000000.000000,,6835000000.000000,41568156281.000000,11.000000,6.952000,,,1.000000,,,2485000000.000000,,22129000000.000000,,116000000.000000,2468000000.000000,513000000.000000,1955000000.000000,16614000000.000000,5820000000.000000,10794000000.000000,,,,,,,,,,,,,,,,,,,3839000000.000000,,5.060000,16.460000,16.691000,14007000000.000000,,28.875000,2.488000,2.522000,2575000000.000000,1739000000.000000,,,,,,,,,,1.000000,1197685066.000000,1214000000.000000,,,20964000000.000000,0.000000,,1039000000.000000,17.269000
ARQ,1997-03-31,1997-05-09,1997-03-31,1997-Q1,-1326000000.000000,51431171248.000000,2025-04-29,-534000000.000000,23737000000.000000,,4241000000.000000,19496000000.000000,,5.962000,-662000000.000000,733000000.000000,733000000.000000,1179000000.000000,517000000.000000,0.762000,2.324000,7794000000.000000,2054000000.000000,5740000000.000000,7794000000.000000,0.000000,578000000.000000,0.000000,0.031000,0.224000,910000000.000000,1488000000.000000,0.431000,1488000000.000000,910000000.000000,794000000.000000,0.430000,,0.430000,7142000000.000000,,7142000000.000000,58492171248.000000,,,-209000000.000000,-0.174000,1.000000,2277000000.000000,0.659000,2466000000.000000,116000000.000000,22765000000.000000,,0.000000,2114000000.000000,307000000.000000,1807000000.000000,16595000000.000000,5567000000.000000,11028000000.000000,491000000.000000,302000000.000000,-65000000.000000,596000000.000000,-258000000.000000,273000000.000000,-235000000.000000,125000000.000000,453000000.000000,0.000000,517000000.000000,517000000.000000,517000000.000000,0.000000,0.000000,0.150000,1387000000.000000,890000000.000000,3245000000.000000,0.521000,7.201000,,,14126000000.000000,0.000000,28.190000,,,2379000000.000000,1989000000.000000,3456000000.000000,3456000000.000000,0.000000,,,,,0.000000,809000000.000000,1.000000,1824447366.000000,1198000000.000000,,2.885000,21271000000.000000,0.000000,277000000.000000,1094000000.000000,17.755000
ARQ,1997-06-30,1997-08-13,1997-06-30,1997-Q2,-4471000000.000000,52551969462.000000,2025-04-29,-555000000.000000,41246000000.000000,,7430000000.000000,33816000000.000000,,4.953000,-2109000000.000000,744000000.000000,744000000.000000,2227000000.000000,-787000000.000000,0.624000,3.560000,14852000000.000000,3754000000.000000,11098000000.000000,14852000000.000000,0.000000,2136000000.000000,0.000000,0.031000,0.224000,-942000000.000000,1194000000.000000,0.201000,1194000000.000000,-942000000.000000,-1187000000.000000,-0.430000,,-0.430000,9045000000.000000,,9045000000.000000,66659969462.000000,,,95000000.000000,0.052000,1.000000,3709000000.000000,0.625000,3308000000.000000,245000000.000000,40145000000.000000,,0.000000,2737000000.000000,241000000.000000,2496000000.000000,32201000000.000000,11901000000.000000,20300000000.000000,-61000000.000000,-767000000.000000,51000000.000000,1045000000.000000,-544000000.000000,545000000.000000,-2810000000.000000,66000000.000000,2204000000.000000,0.000000,-787000000.000000,-787000000.000000,-787000000.000000,0.000000,0.000000,-0.133000,4642000000.000000,-933000000.000000,7738000000.000000,-0.521000,5.810000,,,26433000000.000000,0.000000,28.750000,,,4700000000.000000,551000000.000000,5936000000.000000,5936000000.000000,0.000000,,,,,0.000000,2996000000.000000,1.000000,1827894590.000000,1826000000.000000,,3.251000,37938000000.000000,812000000.000000,-400000000.000000,1175000000.000000,20.777000
ARQ,1997-09-30,1997-11-12,1997-09-30,1997-Q3,-4110000000.000000,61585545973.000000,2025-04-29,-551000000.000000,42056000000.000000,,7623000000.000000,34433000000.000000,,5.217000,-1356000000.000000,705000000.000000,705000000.000000,2365000000.000000,816000000.000000,0.650000,3.410000,15084000000.000000,3448000000.000000,11636000000.000000,15084000000.000000,0.000000,1086000000.000000,0.000000,0.026000,0.224000,1508000000.000000,2594000000.000000,0.409000,2594000000.000000,1508000000.000000,1268000000.000000,0.445000,,0.445000,9536000000.000000,,9536000000.000000,75964545973.000000,,,517000000.000000,0.283000,1.000000,3980000000.000000,0.627000,3289000000.000000,240000000.000000,41413000000.000000,,0.000000,3226000000.000000,504000000.000000,2722000000.000000,32520000000.000000,11733000000.000000,20787000000.000000,-39000000.000000,-179000000.000000,63000000.000000,231000000.000000,-408000000.000000,-114000000.000000,-1798000000.000000,-263000000.000000,1873000000.000000,0.000000,816000000.000000,816000000.000000,816000000.000000,0.000000,0.000000,0.129000,2508000000.000000,1472000000.000000,5874000000.000000,0.503000,6.458000,,,26774000000.000000,0.000000,33.595000,,,4867000000.000000,958000000.000000,6345000000.000000,6345000000.000000,0.000000,,,,,0.000000,1422000000.000000,1.000000,1833175948.000000,1828000000.000000,,3.471000,38767000000.000000,755000000.000000,452000000.000000,3211000000.000000,21.207000
ARQ,1997-12-31,1998-03-11,1997-12-31,1997-Q4,-3190000000.000000,72178018357.000000,2025-04-29,-574000000.000000,42132000000.000000,,7062000000.000000,35070000000.000000,,5.379000,-1639000000.000000,398000000.000000,398000000.000000,2728000000.000000,588000000.000000,0.689000,3.259000,13972000000.000000,1953000000.000000,12019000000.000000,13972000000.000000,0.000000,1122000000.000000,0.000000,0.023000,0.224000,1125000000.000000,2247000000.000000,0.341000,2247000000.000000,1125000000.000000,871000000.000000,-0.080000,,-0.080000,9892000000.000000,,9892000000.000000,85752018357.000000,26.000000,10.450000,801000000.000000,0.436000,1.000000,3856000000.000000,0.586000,3269000000.000000,254000000.000000,42185000000.000000,,0.000000,3060000000.000000,320000000.000000,2740000000.000000,32240000000.000000,10252000000.000000,21988000000.000000,-307000000.000000,81000000.000000,149000000.000000,-1111000000.000000,-412000000.000000,-1374000000.000000,-1373000000.000000,185000000.000000,2440000000.000000,0.000000,588000000.000000,588000000.000000,588000000.000000,0.000000,0.000000,0.089000,2811000000.000000,1045000000.000000,7888000000.000000,-2.800000,7.297000,48.967000,96.914000,27339000000.000000,0.000000,39.250000,2.904000,2.904000,5015000000.000000,1146000000.000000,6584000000.000000,6584000000.000000,0.000000,,,,,0.000000,1689000000.000000,1.000000,1838930404.000000,1838930404.000000,,3.580000,38863000000.000000,622000000.000000,283000000.000000,2056000000.000000,21.133000
ARQ,1998-03-31,1998-05-11,1998-03-31,1998-Q1,-2863000000.000000,71365547050.000000,2025-04-29,-582000000.000000,42114000000.000000,,6969000000.000000,35145000000.000000,,5.671000,-1066000000.000000,674000000.000000,674000000.000000,2306000000.000000,912000000.000000,0.709000,3.038000,14419000000.000000,2661000000.000000,11758000000.000000,14419000000.000000,0.000000,1106000000.000000,0.000000,0.023000,0.234000,1674000000.000000,2780000000.000000,0.433000,2780000000.000000,1674000000.000000,1441000000.000000,0.500000,0.490000,0.500000,10429000000.000000,,10429000000.000000,85110547050.000000,25.000000,9.655000,20000000.000000,0.011000,1.000000,4118000000.000000,0.641000,3238000000.000000,233000000.000000,42789000000.000000,,0.000000,2757000000.000000,176000000.000000,2581000000.000000,31685000000.000000,9832000000.000000,21853000000.000000,276000000.000000,94000000.000000,-2000000.000000,431000000.000000,-411000000.000000,18000000.000000,-828000000.000000,144000000.000000,1086000000.000000,0.000000,912000000.000000,912000000.000000,912000000.000000,0.000000,0.000000,0.142000,2459000000.000000,1659000000.000000,6741000000.000000,0.468000,6.843000,46.675000,89.218000,27380000000.000000,0.000000,38.810000,2.822000,2.822000,4730000000.000000,1629000000.000000,6424000000.000000,6424000000.000000,0.000000,,,,,0.000000,1353000000.000000,1.000000,1838844294.000000,1839000000.000000,1839000000.000000,3.493000,38876000000.000000,551000000.000000,529000000.000000,2321000000.000000,21.140000
ARQ,1998-06-30,1998-08-13,1998-06-30,1998-Q2,-2989000000.000000,72572862926.000000,2025-04-29,-650000000.000000,42600000000.000000,,7035000000.000000,35565000000.000000,,5.908000,-1437000000.000000,615000000.000000,615000000.000000,2330000000.000000,966000000.000000,0.702000,2.921000,13758000000.000000,2211000000.000000,11547000000.000000,13758000000.000000,0.000000,1139000000.000000,0.000000,0.023000,0.234000,1743000000.000000,2882000000.000000,0.437000,2882000000.000000,1743000000.000000,1505000000.000000,0.530000,0.520000,0.530000,10865000000.000000,,10865000000.000000,85715862926.000000,14.000000,8.161000,986000000.000000,0.536000,1.000000,4261000000.000000,0.646000,3208000000.000000,238000000.000000,42511000000.000000,,0.000000,2575000000.000000,91000000.000000,2484000000.000000,31735000000.000000,10024000000.000000,21711000000.000000,-59000000.000000,-6000000.000000,-67000000.000000,-625000000.000000,-431000000.000000,-1123000000.000000,-1359000000.000000,84000000.000000,2423000000.000000,0.000000,966000000.000000,966000000.000000,966000000.000000,0.000000,0.000000,0.147000,2552000000.000000,1709000000.000000,5919000000.000000,0.442000,6.680000,22.112000,28.315000,27758000000.000000,0.000000,39.500000,2.797000,2.800000,4847000000.000000,2167000000.000000,6591000000.000000,6591000000.000000,0.000000,,,,,0.000000,1413000000.000000,1.000000,1837287669.000000,1839000000.000000,1839000000.000000,3.584000,39392000000.000000,678000000.000000,539000000.000000,3730000000.000000,21.420000
ARQ,1998-09-30,1998-11-04,1998-09-30,1998-Q3,-2401000000.000000,92304390274.000000,2025-04-29,-553000000.000000,42529000000.000000,,7158000000.000000,35371000000.000000,,6.284000,-1357000000.000000,779000000.000000,779000000.000000,2403000000.000000,1207000000.000000,0.749000,2.688000,12847000000.000000,1630000000.000000,11217000000.000000,12847000000.000000,0.000000,1151000000.000000,0.000000,0.020000,0.234000,2133000000.000000,3284000000.000000,0.485000,3284000000.000000,2133000000.000000,1911000000.000000,0.660000,0.650000,0.660000,11531000000.000000,,11531000000.000000,104372390274.000000,16.000000,9.325000,775000000.000000,0.422000,1.000000,4373000000.000000,0.645000,2742000000.000000,222000000.000000,42296000000.000000,,0.000000,2582000000.000000,37000000.000000,2545000000.000000,30998000000.000000,9559000000.000000,21439000000.000000,164000000.000000,591000000.000000,-252000000.000000,-575000000.000000,-430000000.000000,-1257000000.000000,-711000000.000000,55000000.000000,2132000000.000000,0.000000,1207000000.000000,1207000000.000000,1207000000.000000,0.000000,0.000000,0.178000,2583000000.000000,1790000000.000000,5889000000.000000,0.355000,8.005000,25.131000,29.311000,27920000000.000000,0.000000,47.190000,3.500000,3.283000,4895000000.000000,2947000000.000000,6776000000.000000,6776000000.000000,0.000000,,,,,0.000000,1432000000.000000,1.000000,1956015899.000000,1835000000.000000,1835000000.000000,3.693000,39787000000.000000,504000000.000000,704000000.000000,3957000000.000000,21.682000
ARQ,1998-12-31,1999-03-12,1998-12-31,1998-Q4,-2451000000.000000,104122096588.000000,2025-04-29,-632000000.000000,45066000000.000000,,7538000000.000000,37528000000.000000,,6.513000,-2067000000.000000,460000000.000000,460000000.000000,9675000000.000000,938000000.000000,0.755000,2.526000,13163000000.000000,1551000000.000000,11612000000.000000,13163000000.000000,0.000000,1781000000.000000,0.000000,0.018000,0.234000,1772000000.000000,3553000000.000000,0.395000,3553000000.000000,1772000000.000000,1472000000.000000,0.380000,0.370000,0.380000,12780000000.000000,,12780000000.000000,116825096588.000000,16.000000,9.347000,673000000.000000,0.343000,1.000000,-689000000.000000,-0.077000,3087000000.000000,300000000.000000,44693000000.000000,,0.000000,2520000000.000000,6000000.000000,2514000000.000000,32286000000.000000,9989000000.000000,22297000000.000000,-331000000.000000,376000000.000000,195000000.000000,-312000000.000000,-539000000.000000,-1421000000.000000,-1650000000.000000,30000000.000000,2740000000.000000,0.000000,938000000.000000,938000000.000000,938000000.000000,0.000000,0.000000,0.104000,-2417000000.000000,1728000000.000000,7980000000.000000,0.616000,8.147000,25.882000,25.757000,29920000000.000000,0.000000,53.060000,3.618000,3.618000,5790000000.000000,3396000000.000000,8986000000.000000,8986000000.000000,0.000000,,,,,0.000000,-4198000000.000000,1.000000,1962346336.000000,1962346336.000000,,4.579000,41979000000.000000,489000000.000000,534000000.000000,2349000000.000000,21.392000
ARQ,1999-03-31,1999-05-11,1999-03-31,1999-Q1,-2132000000.000000,103592548448.000000,2025-04-29,-651000000.000000,45396000000.000000,,7663000000.000000,37733000000.000000,,6.898000,-1399000000.000000,547000000.000000,547000000.000000,4077000000.000000,1115000000.000000,0.782000,2.354000,13244000000.000000,1840000000.000000,11404000000.000000,13244000000.000000,0.000000,1247000000.000000,0.000000,0.018000,0.244000,1972000000.000000,3219000000.000000,0.440000,3219000000.000000,1972000000.000000,1749000000.000000,0.570000,0.560000,0.570000,13533000000.000000,,13533000000.000000,116289548448.000000,15.000000,8.988000,358000000.000000,0.182000,1.000000,3240000000.000000,0.443000,3124000000.000000,223000000.000000,45174000000.000000,,0.000000,2430000000.000000,0.000000,2430000000.000000,31863000000.000000,9795000000.000000,22068000000.000000,87000000.000000,88000000.000000,66000000.000000,23000000.000000,-455000000.000000,-366000000.000000,-1304000000.000000,5000000.000000,1757000000.000000,0.000000,1115000000.000000,1115000000.000000,1115000000.000000,0.000000,0.000000,0.152000,1247000000.000000,1993000000.000000,5959000000.000000,0.428000,7.655000,24.513000,24.650000,30044000000.000000,0.000000,52.750000,3.491000,3.488000,5376000000.000000,4034000000.000000,7317000000.000000,7317000000.000000,0.000000,,,,,0.000000,0.000000,1.000000,1963839781.000000,1962000000.000000,1962000000.000000,3.729000,42272000000.000000,678000000.000000,634000000.000000,4003000000.000000,21.545000
