dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2014-12-31,2015-06-24,2014-12-31,2014-Q4,41638000.000000,,2025-05-01,0.000000,92007000.000000,,54662000.000000,37345000.000000,,-34.407000,,46436000.000000,46436000.000000,,,4.197000,-2.362000,26029000.000000,833000.000000,25196000.000000,26029000.000000,0.000000,,0.000000,,0.000000,,,,,,,,,,-67535000.000000,,-67535000.000000,,,,,,1.000000,,,35984000.000000,,22592000.000000,,0.000000,0.000000,0.000000,0.000000,159542000.000000,13024000.000000,146518000.000000,,,,,,,,,,,,,,,,,,,2210000.000000,,,,,1065000.000000,,,,,6839000.000000,-72490000.000000,,,,,,,,,,1.000000,35796346.000000,1962845.000000,,,56023000.000000,12000.000000,,494000.000000,28.542000
ARQ,2015-06-30,2015-08-12,2015-06-30,2015-Q2,3968000.000000,1094474125.000000,2025-05-01,0.000000,106941000.000000,,30059000.000000,76882000.000000,,-33.284000,,15423000.000000,15423000.000000,4793000.000000,-17064000.000000,1.152000,-2.356000,32658000.000000,1250000.000000,31408000.000000,32658000.000000,0.000000,,0.000000,0.000000,0.000000,-16251000.000000,,,,-16251000.000000,-16893000.000000,-7.200000,-7.200000,-7.200000,-78888000.000000,,-78888000.000000,1111709125.000000,,,,,1.000000,13490000.000000,0.738000,72463000.000000,642000.000000,25622000.000000,,0.000000,0.000000,0.000000,0.000000,185829000.000000,26091000.000000,159738000.000000,,,,,,,,,,,-17064000.000000,-17064000.000000,-17064000.000000,0.000000,0.000000,-0.933000,29741000.000000,-16251000.000000,6962000.000000,0.000000,-13.874000,,,4154000.000000,0.000000,28.510000,,,8954000.000000,-102257000.000000,18283000.000000,18283000.000000,3203000.000000,,,,,,25615000.000000,1.000000,38389131.000000,2370113.000000,2370113.000000,7.714000,34478000.000000,78000.000000,171000.000000,939000.000000,14.547000
ARQ,2015-09-30,2015-11-02,2015-09-30,2015-Q3,146641000.000000,753307728.000000,2025-05-01,4000.000000,243280000.000000,,163948000.000000,79332000.000000,,5.334000,-2340000.000000,54064000.000000,54064000.000000,4488000.000000,-13246000.000000,9.473000,0.264000,27113000.000000,1250000.000000,25863000.000000,27113000.000000,0.000000,1491000.000000,0.000000,0.000000,0.000000,-12595000.000000,-11104000.000000,-0.556000,-11104000.000000,-12595000.000000,-13084000.000000,-0.370000,-0.370000,-0.370000,192537000.000000,,192537000.000000,726356728.000000,,,-19122000.000000,-0.530000,1.000000,15485000.000000,0.775000,73196000.000000,489000.000000,125826000.000000,,0.000000,97934000.000000,97934000.000000,0.000000,50743000.000000,17307000.000000,33436000.000000,38641000.000000,-4222000.000000,163183000.000000,-5562000.000000,0.000000,160032000.000000,-104609000.000000,-98047000.000000,-16782000.000000,0.000000,-13246000.000000,-13246000.000000,-13246000.000000,0.000000,0.000000,-0.663000,28080000.000000,-12595000.000000,2056000.000000,0.000000,3.913000,,,5852000.000000,0.000000,19.590000,,,9370000.000000,-115503000.000000,19973000.000000,19973000.000000,3941000.000000,,,,,718000.000000,22648000.000000,1.000000,38453687.000000,36099556.000000,36099556.000000,0.553000,170084000.000000,33000.000000,162000.000000,1056000.000000,4.712000
ARQ,2015-12-31,2016-03-03,2015-12-31,2015-Q4,133592000.000000,491701289.000000,2025-05-01,-42000.000000,229737000.000000,,151578000.000000,78159000.000000,,8.965000,-1162000.000000,55066000.000000,55066000.000000,6478000.000000,-15007000.000000,8.428000,0.287000,26477000.000000,1250000.000000,25227000.000000,26477000.000000,0.000000,1546000.000000,0.000000,0.000000,0.000000,-14346000.000000,-12800000.000000,-0.565000,-12800000.000000,-14346000.000000,-14846000.000000,0.240000,0.240000,0.240000,178564000.000000,,178564000.000000,463112289.000000,-8.000000,-9.095000,-13966000.000000,-0.701000,1.000000,16161000.000000,0.714000,71607000.000000,500000.000000,111555000.000000,,0.000000,82282000.000000,82282000.000000,0.000000,51173000.000000,17986000.000000,33187000.000000,1002000.000000,0.000000,102000.000000,-562000.000000,0.000000,-460000.000000,14266000.000000,15428000.000000,-12804000.000000,0.000000,-15007000.000000,-15007000.000000,-15007000.000000,0.000000,0.000000,-0.663000,30507000.000000,-14346000.000000,2213000.000000,0.000000,2.754000,-8.475000,-4.381000,6259000.000000,0.000000,12.750000,6.354000,3.282000,12134000.000000,-130510000.000000,22639000.000000,22639000.000000,4160000.000000,,,,,979000.000000,24801000.000000,1.000000,38564807.000000,19917348.000000,19917348.000000,1.137000,158130000.000000,0.000000,161000.000000,1185000.000000,7.939000
ARQ,2016-03-31,2016-05-10,2016-03-31,2016-Q1,121225000.000000,456790886.000000,2025-05-01,17000.000000,213483000.000000,,136173000.000000,77310000.000000,,4.279000,-660000.000000,50193000.000000,50193000.000000,7943000.000000,-15304000.000000,9.110000,0.293000,26207000.000000,1250000.000000,24957000.000000,26207000.000000,0.000000,1508000.000000,0.000000,0.000000,0.000000,-14715000.000000,-13207000.000000,-0.491000,-13207000.000000,-14715000.000000,-15142000.000000,-0.400000,-0.400000,-0.400000,165103000.000000,,165103000.000000,432804886.000000,-7.000000,,-17790000.000000,-0.461000,1.000000,18945000.000000,0.705000,70930000.000000,427000.000000,103619000.000000,,0.000000,69522000.000000,69522000.000000,0.000000,48380000.000000,14948000.000000,33432000.000000,-4873000.000000,0.000000,496000.000000,-313000.000000,0.000000,183000.000000,12074000.000000,12734000.000000,-17130000.000000,0.000000,-15304000.000000,-15304000.000000,-15304000.000000,0.000000,0.000000,-0.569000,33660000.000000,-14715000.000000,1078000.000000,0.000000,2.767000,-7.535000,-1.527000,6087000.000000,0.000000,11.800000,5.204000,5.187000,13819000.000000,-145814000.000000,26888000.000000,26888000.000000,5225000.000000,,,,,1288000.000000,26927000.000000,1.000000,38711092.000000,38584345.000000,38584345.000000,0.697000,142553000.000000,0.000000,162000.000000,1347000.000000,3.695000
ARQ,2016-06-30,2016-08-03,2016-06-30,2016-Q2,111354000.000000,812184816.000000,2025-05-01,25000.000000,203890000.000000,,127349000.000000,76541000.000000,,3.925000,-776000.000000,55781000.000000,55781000.000000,6891000.000000,-14879000.000000,7.962000,0.342000,31387000.000000,4250000.000000,27137000.000000,31387000.000000,0.000000,1558000.000000,0.000000,0.000000,0.000000,-14462000.000000,-12904000.000000,-0.487000,-12904000.000000,-14462000.000000,-14869000.000000,-0.380000,-0.380000,-0.380000,151960000.000000,,151960000.000000,787790816.000000,-14.000000,-15.751000,-12521000.000000,-0.323000,1.000000,19597000.000000,0.740000,70136000.000000,407000.000000,93365000.000000,,0.000000,56698000.000000,56698000.000000,0.000000,51930000.000000,15995000.000000,35935000.000000,5588000.000000,0.000000,94000.000000,5188000.000000,0.000000,5282000.000000,12051000.000000,12827000.000000,-11745000.000000,0.000000,-14879000.000000,-14879000.000000,-14879000.000000,0.000000,0.000000,-0.562000,34059000.000000,-14462000.000000,506000.000000,0.000000,5.345000,-13.899000,-19.527000,6100000.000000,0.000000,17.770000,8.461000,7.168000,13209000.000000,-160693000.000000,26488000.000000,26488000.000000,4829000.000000,,,,,1634000.000000,27672000.000000,1.000000,45705392.000000,38717186.000000,38717186.000000,0.684000,133754000.000000,0.000000,10000.000000,1357000.000000,3.455000
ARQ,2016-09-30,2016-10-27,2016-09-30,2016-Q3,70933000.000000,685883892.000000,2025-05-01,8000.000000,313268000.000000,,91232000.000000,222036000.000000,,5.283000,-534000.000000,44032000.000000,44032000.000000,7112000.000000,-29772000.000000,4.494000,0.293000,44469000.000000,2000000.000000,42469000.000000,44469000.000000,0.000000,2607000.000000,0.000000,0.000000,0.000000,-28711000.000000,-26104000.000000,-0.806000,-26104000.000000,-28711000.000000,-29584000.000000,-0.650000,-0.650000,-0.650000,242300000.000000,,242300000.000000,686320892.000000,-10.000000,-10.556000,-15409000.000000,-0.336000,1.000000,25269000.000000,0.780000,214522000.000000,873000.000000,78884000.000000,,0.000000,30916000.000000,30916000.000000,0.000000,70968000.000000,20299000.000000,50669000.000000,-11749000.000000,-37013000.000000,1869000.000000,12948000.000000,0.000000,14817000.000000,-11691000.000000,25856000.000000,-14875000.000000,0.000000,-29772000.000000,-29772000.000000,-29772000.000000,0.000000,0.000000,-0.919000,45526000.000000,-20257000.000000,785000.000000,0.000000,2.831000,-9.150000,-12.521000,7124000.000000,0.000000,14.900000,6.328000,6.304000,12904000.000000,-190465000.000000,32381000.000000,32381000.000000,5867000.000000,,,,,2276000.000000,30856000.000000,1.000000,46032476.000000,45860269.000000,45860269.000000,0.706000,98746000.000000,0.000000,188000.000000,1545000.000000,2.153000
ARQ,2016-12-31,2017-03-01,2016-12-31,2016-Q4,61644000.000000,1217692333.000000,2025-05-01,-1000.000000,303670000.000000,,82717000.000000,220953000.000000,,5.007000,-1442000.000000,50015000.000000,50015000.000000,10025000.000000,-14261000.000000,3.925000,0.315000,44424000.000000,2000000.000000,42424000.000000,44424000.000000,0.000000,2597000.000000,0.000000,0.000000,0.000000,-13230000.000000,-10633000.000000,-0.284000,-10633000.000000,-13230000.000000,-14111000.000000,-0.290000,-0.290000,-0.290000,230870000.000000,,230870000.000000,1212101333.000000,-17.000000,-19.286000,-9487000.000000,-0.206000,1.000000,27375000.000000,0.732000,213059000.000000,881000.000000,63947000.000000,,0.000000,15793000.000000,15793000.000000,0.000000,72800000.000000,21073000.000000,51727000.000000,5983000.000000,0.000000,315000.000000,1000.000000,0.000000,316000.000000,13712000.000000,15154000.000000,-8045000.000000,0.000000,-14261000.000000,-14261000.000000,-14261000.000000,0.000000,0.000000,-0.381000,40605000.000000,-13230000.000000,2236000.000000,0.000000,5.274000,-16.407000,-12.829000,7479000.000000,0.000000,22.450000,9.887000,7.716000,13806000.000000,-204726000.000000,37400000.000000,37400000.000000,5894000.000000,,,,,2525000.000000,32114000.000000,1.000000,54240193.000000,46109210.000000,46109210.000000,0.811000,90611000.000000,0.000000,150000.000000,1694000.000000,1.965000
ARQ,2017-03-31,2017-05-08,2017-03-31,2017-Q1,176688000.000000,1244393931.000000,2025-05-01,-4000.000000,413953000.000000,,194826000.000000,219127000.000000,,6.580000,-620000.000000,139948000.000000,139948000.000000,12139000.000000,-15654000.000000,10.741000,0.205000,42434000.000000,0.000000,42434000.000000,42434000.000000,0.000000,2607000.000000,0.000000,0.000000,0.000000,-14802000.000000,-12195000.000000,-0.284000,-12195000.000000,-14802000.000000,-15504000.000000,-0.300000,-0.300000,-0.300000,343433000.000000,,343433000.000000,1146879931.000000,-16.000000,-18.547000,-13127000.000000,-0.252000,1.000000,30759000.000000,0.717000,211262000.000000,702000.000000,87039000.000000,,0.000000,36005000.000000,36005000.000000,0.000000,70520000.000000,18138000.000000,52382000.000000,89933000.000000,0.000000,125123000.000000,-2000000.000000,0.000000,123429000.000000,-20989000.000000,-20217000.000000,-12507000.000000,0.000000,-15654000.000000,-15654000.000000,-15654000.000000,0.000000,0.000000,-0.365000,45561000.000000,-14802000.000000,1949000.000000,0.000000,3.623000,-16.688000,-14.105000,7441000.000000,0.000000,22.850000,8.942000,8.570000,15309000.000000,-220449000.000000,42898000.000000,42898000.000000,6512000.000000,,,,,3097000.000000,36442000.000000,1.000000,54459253.000000,52192859.000000,52192859.000000,0.822000,202691000.000000,0.000000,150000.000000,1844000.000000,3.884000
ARQ,2017-06-30,2017-08-02,2017-06-30,2017-Q2,437304000.000000,1742117911.000000,2025-05-01,-1000.000000,674146000.000000,,456991000.000000,217155000.000000,,7.318000,-679000.000000,409224000.000000,409224000.000000,10026000.000000,-15415000.000000,23.213000,0.688000,243835000.000000,0.000000,243835000.000000,243835000.000000,0.000000,2668000.000000,0.000000,0.000000,0.000000,-14492000.000000,-11824000.000000,-0.265000,-11824000.000000,-14492000.000000,-15266000.000000,-0.280000,-0.280000,-0.280000,399376000.000000,,399376000.000000,1576728911.000000,-22.000000,-25.952000,-3593000.000000,-0.066000,1.000000,34565000.000000,0.775000,209423000.000000,774000.000000,279647000.000000,,0.000000,31070000.000000,31070000.000000,0.000000,274770000.000000,19687000.000000,255083000.000000,269276000.000000,0.000000,4386000.000000,263722000.000000,0.000000,268062000.000000,4128000.000000,4940000.000000,-2914000.000000,0.000000,-15415000.000000,-15415000.000000,-15415000.000000,0.000000,0.000000,-0.346000,49057000.000000,-14492000.000000,1150000.000000,0.000000,4.362000,-23.197000,-20.230000,7424000.000000,0.000000,30.750000,11.077000,10.670000,14229000.000000,-235864000.000000,44591000.000000,44591000.000000,7537000.000000,,,,,4565000.000000,36739000.000000,1.000000,56654241.000000,54572862.000000,54572862.000000,0.817000,464723000.000000,0.000000,149000.000000,1994000.000000,8.516000
